Outcome,Nuclear,Wind,Dist_nuclear,Dist_wind,Region,Urban_rural,Health,Job,Landscape,Supply,Trust_reg,Trust_health,Trust_plant,Env,Gender,Age,Income,Education,Race,Religion,PID,AC1,AC2,AC3,AC
30,65,35,173.362837307107,32.6087063272694,Eastern,0,4,3,1,4,3,3,3,2,Female,1946 to 1964,"$40,000 to $69,999",College (no degree),Caucasian,Not religious,Democrat,1,2,2,3
-8,46,54,66.3204971357749,34.0836477238813,Eastern,0,4,4,3,4,2,3,3,1,Female,1946 to 1964,"$70,000 to $104,999",High,Caucasian,Other Christians,Democrat,1,2,2,3
-100,0,100,164.321590680486,71.3009667734846,Western,0,3,4,3,3,2,3,1,2,Female,1965 to 1996,"$70,000 to $104,999",4 yrs college,Asian,Catholic,Republican,1,2,1,2
-10,45,55,161.483195171359,63.3863806645429,Western,0,4,4,4,4,4,1,4,1,Male,1965 to 1996,"$40,000 to $69,999",4 yrs college,African-American,Other faiths,Republican,1,3,1,1
-44,28,72,149.990609086701,36.1262878923535,Western,0,2,3,1,2,3,3,3,2,Female,1946 to 1964,"$40,000 to $69,999",College (no degree),Caucasian,Not religious,Independent,1,2,2,3
0,50,50,159.620133195415,39.1946535617096,Western,0,2,4,2,3,1,1,2,2,Female,1965 to 1996,"$70,000 to $104,999",College (no degree),Latin or Hispanic,Catholic,Republican,1,3,3,1
26,63,37,154.45310740171,66.1345657262036,Western,0,2,3,3,2,2,3,2,2,Female,After 1996,"$40,000 to $69,999",High,Asian,Not religious,Independent,1,3,2,2
0,50,50,156.902094596001,55.7683283740268,Western,0,3,2,2,3,2,3,2,2,Female,1965 to 1996,"Less than $40,000",College (no degree),Caucasian,Not religious,Independent,1,2,2,3
-18,41,59,126.536463880416,36.054377487275,Eastern,0,4,2,2,4,4,3,2,2,Male,1965 to 1996,"$70,000 to $104,999",High,African-American,Orthodox,Democrat,3,1,3,0
-100,0,100,166.575196828744,74.1505226503211,Western,0,3,4,2,3,2,3,2,2,Female,1946 to 1964,"$40,000 to $69,999",4 yrs college,Caucasian,Not religious,Democrat,1,2,2,3
-50,25,75,151.120894117175,39.4006145062358,Western,1,3,3,1,2,2,3,2,1,Female,1965 to 1996,"$70,000 to $104,999",4 yrs college,African-American,Not religious,Democrat,1,2,2,3
38,69,31,31.6118420716773,28.0384180397904,Eastern,0,2,3,2,3,3,3,3,2,Female,1965 to 1996,"Less than $40,000",4 yrs college,Caucasian,Other Christians,Republican,3,1,2,1
14,57,43,55.7344895323095,23.5739287707253,Eastern,0,4,3,2,4,2,2,2,2,Male,1965 to 1996,"Less than $40,000",College (no degree),Caucasian,Not religious,Independent,1,2,1,2
-38,31,69,224.593439472523,146.354632870556,Western,0,3,3,4,4,2,4,3,2,Female,1965 to 1996,"$70,000 to $104,999",College (no degree),Caucasian,Not religious,Independent,1,1,2,2
52,76,24,156.020295055705,74.6480202201442,Western,0,4,3,4,1,1,1,1,2,Female,1965 to 1996,"$70,000 to $104,999",College (no degree),Caucasian,Not religious,Republican,1,2,2,3
22,61,39,215.574570131122,137.155601704645,Western,0,4,4,2,4,4,3,4,1,Female,1965 to 1996,"Less than $40,000",High,Caucasian,Other Christians,Independent,1,2,2,3
-100,0,100,154.62513085366,43.129202947055,Western,0,4,3,4,4,2,4,2,2,Male,1965 to 1996,"Less than $40,000",High,Caucasian,Catholic,Independent,1,1,2,2
60,80,20,175.205935309115,64.5383278312901,Western,0,2,4,3,4,2,1,2,1,Male,1965 to 1996,"$70,000 to $104,999",4 yrs college,Caucasian,Protestant,Independent,1,1,2,2
-50,25,75,166.946951734315,84.2104814665944,Western,0,4,4,4,4,1,3,1,2,Female,1965 to 1996,"Less than $40,000",High,Caucasian,Not religious,Independent,1,3,2,2
-20,40,60,166.946951734315,84.2104814665944,Western,0,4,4,2,4,1,3,1,2,Female,After 1996,"Less than $40,000",College (no degree),African-American,Muslim,Independent,1,3,2,2
-42,29,71,196.55888186935,34.6714756584268,Western,0,3,3,3,4,2,2,2,2,Male,After 1996,"$40,000 to $69,999",College (no degree),Caucasian,Not religious,Republican,1,2,2,3
-6,47,53,173.362837307107,32.6087063272694,Eastern,0,3,3,3,4,3,3,2,1,Female,1965 to 1996,"Less than $40,000",High (incomplete),Caucasian,Other Christians,Democrat,1,3,1,1
-20,40,60,148.243848219088,37.0482327253547,Western,0,4,3,2,3,2,2,2,2,Female,1965 to 1996,"$40,000 to $69,999",High,Caucasian,Not religious,Democrat,1,2,2,3
-40,30,70,169.068431125037,84.2976101541168,Western,0,2,3,1,3,3,4,3,2,Female,1965 to 1996,"$40,000 to $69,999",College (no degree),Caucasian,Not religious,Democrat,1,3,1,1
-20,40,60,73.9189799185787,57.690823635844,Eastern,1,4,2,1,3,2,4,1,2,Female,1965 to 1996,"$105,000 to $159,999",Grad school,Caucasian,Not religious,Democrat,1,2,2,3
-20,40,60,72.8575208108064,25.2426792156058,Eastern,1,4,4,4,4,3,4,3,2,Female,1946 to 1964,"Less than $40,000",High (incomplete),Native Hawaiian or Pacific Islander,Catholic,Democrat,1,1,2,2
6,53,47,156.385386574582,36.5978101824259,Western,0,4,4,3,4,2,2,2,1,Male,1965 to 1996,"Less than $40,000",High,Other/Unknown,Other Christians,Independent,1,2,2,3
20,60,40,210.477577619296,132.092920310355,Western,0,2,3,1,4,2,3,2,2,Female,1965 to 1996,"$105,000 to $159,999",4 yrs college,Caucasian,Other Christians,Democrat,1,1,2,2
-10,45,55,215.574570131122,137.155601704645,Western,0,3,4,1,3,3,3,4,2,Female,1965 to 1996,"$105,000 to $159,999",Grad school,Caucasian,Catholic,Democrat,2,2,1,1
-14,43,57,154.255458780208,56.6645469502323,Western,0,3,4,3,3,2,2,1,2,Male,1965 to 1996,"$40,000 to $69,999",Grad school,Asian,Buddhist,Democrat,1,1,2,2
-44,28,72,132.0155553618,44.6613869003542,Eastern,1,4,3,2,2,1,2,1,2,Female,1965 to 1996,"$40,000 to $69,999",Grad school,Caucasian,Not religious,Independent,1,2,2,3
40,70,30,191.156423882729,112.106375692073,Western,0,4,4,4,4,4,4,4,2,Male,1965 to 1996,"$40,000 to $69,999",4 yrs college,Caucasian,Other Christians,Democrat,1,2,2,3
-70,15,85,58.5434999589411,10.0703840952998,Eastern,1,4,4,1,4,2,2,2,2,Male,1946 to 1964,"Less than $40,000",College (no degree),Caucasian,Other Christians,Democrat,1,2,2,3
-40,30,70,22.0203157405858,6.61761714204683,Eastern,0,4,3,3,3,3,3,3,2,Female,Before 1946,"Less than $40,000",College (no degree),Caucasian,Protestant,Democrat,1,1,2,2
-42,29,71,152.707196872698,37.8646859360308,Western,0,4,2,1,4,4,4,4,1,Female,1965 to 1996,"$70,000 to $104,999",4 yrs college,Caucasian,Other Christians,Independent,1,2,2,3
-70,15,85,166.946951734315,84.2104814665944,Western,0,4,4,1,4,3,2,3,2,Female,1965 to 1996,"$70,000 to $104,999",4 yrs college,Caucasian,Catholic,Republican,1,2,1,2
18,59,41,148.412655218251,29.7152201753648,Western,0,4,4,4,3,4,4,3,2,Female,1946 to 1964,"$160,000 or higher",High,Caucasian,Other Christians,Republican,1,1,2,2
20,60,40,10.127407308518,17.0959185123389,Eastern,0,4,4,4,4,4,4,4,2,Male,1965 to 1996,"$40,000 to $69,999",4 yrs college,Caucasian,Not religious,Republican,1,2,2,3
-40,30,70,162.300622556934,28.1443020245854,Western,1,2,2,3,4,3,3,2,1,Female,1965 to 1996,"$70,000 to $104,999",4 yrs college,Caucasian,Catholic,Independent,1,2,2,3
100,100,0,224.169396795106,147.062222453433,Western,0,2,4,3,4,2,1,4,1,Female,After 1996,"Less than $40,000",High,Caucasian,Other Christians,Independent,1,1,2,2
-60,20,80,158.470821536314,69.679228305157,Western,0,1,4,2,4,2,3,2,2,Female,1946 to 1964,"$105,000 to $159,999",4 yrs college,Caucasian,Jewish,Democrat,1,2,2,3
0,50,50,224.169396795106,147.062222453433,Western,0,3,1,2,4,2,2,2,2,Female,1946 to 1964,"$105,000 to $159,999",4 yrs college,Caucasian,Protestant,Democrat,1,2,2,3
-70,15,85,150.103353404061,49.9400598747611,Western,0,4,3,4,3,3,3,3,2,Female,1965 to 1996,"$40,000 to $69,999",4 yrs college,Asian,Buddhist,Independent,1,2,2,3
0,50,50,181.878227417958,37.7881283052653,Eastern,0,4,4,3,3,2,3,3,2,Female,1965 to 1996,"$40,000 to $69,999",High,African-American,Not religious,Independent,1,2,2,3
40,70,30,176.161828966036,61.2830070868692,Western,0,4,4,1,4,1,2,3,2,Female,1965 to 1996,"$70,000 to $104,999",4 yrs college,Native American,Other faiths,Democrat,1,2,2,3
40,70,30,138.735191392792,53.377782389535,Eastern,1,1,4,4,4,3,2,2,2,Male,1965 to 1996,"$70,000 to $104,999",4 yrs college,Caucasian,Not religious,Independent,1,2,1,2
-100,0,100,178.273244689419,29.378720306096,Eastern,0,4,4,1,3,1,1,1,2,Male,1965 to 1996,"Less than $40,000",High,Caucasian,Catholic,Independent,1,2,2,3
22,61,39,160.192906520265,72.3130435127626,Western,0,3,4,2,4,4,4,4,2,Female,1965 to 1996,"$70,000 to $104,999",4 yrs college,Asian,Hindu,Democrat,1,2,2,3
86,93,7,215.574570131122,137.155601704645,Western,0,4,4,1,4,2,1,3,1,Male,1965 to 1996,"$40,000 to $69,999",4 yrs college,Caucasian,Catholic,Republican,1,2,2,3
-82,9,91,156.056426604351,61.3095449365209,Western,0,4,2,1,4,2,3,1,2,Female,1965 to 1996,"$70,000 to $104,999",Grad school,Caucasian,Protestant,Independent,1,2,1,2
-12,44,56,172.311591975572,27.5284241849545,Eastern,0,1,4,1,3,2,4,2,2,Female,1965 to 1996,"$40,000 to $69,999",4 yrs college,Caucasian,Not religious,Democrat,1,2,2,3
0,50,50,123.082390346128,38.3401743011657,Eastern,0,4,3,3,4,1,2,2,1,Female,1946 to 1964,"Less than $40,000",College (no degree),Caucasian,Other Christians,Independent,1,1,2,2
0,50,50,164.481551425419,68.0467993952303,Western,0,4,4,2,4,2,3,2,2,Female,1965 to 1996,"$105,000 to $159,999",4 yrs college,Other/Unknown,Not religious,Republican,1,2,2,3
40,70,30,158.98497153453,59.2313471742502,Western,0,3,3,2,4,3,4,4,2,Male,1965 to 1996,"$70,000 to $104,999",High,African-American,Not religious,Democrat,1,2,2,3
-68,16,84,175.101052683325,43.0797997109575,Western,0,3,4,1,4,4,4,3,2,Female,1965 to 1996,"$105,000 to $159,999",4 yrs college,Caucasian,Catholic,Democrat,1,2,2,3
-20,40,60,155.579989094842,69.9973567842287,Western,0,4,4,2,4,3,4,1,2,Male,1965 to 1996,"$105,000 to $159,999",4 yrs college,Caucasian,Not religious,Independent,1,2,2,3
-28,36,64,154.612765852599,35.9795353383299,Western,0,4,4,4,4,3,2,3,2,Male,After 1996,"$105,000 to $159,999",Grad school,Latin or Hispanic,Catholic,Independent,1,2,2,3
0,50,50,167.134059489138,86.1633041596194,Western,0,4,4,2,3,3,4,3,2,Female,1965 to 1996,"$105,000 to $159,999",4 yrs college,Caucasian,Not religious,Democrat,1,2,2,3
-62,19,81,46.0736839547976,43.6359724175005,Eastern,0,3,3,2,4,1,2,1,1,Female,1946 to 1964,"$40,000 to $69,999",High,Caucasian,Not religious,Republican,1,1,2,2
-50,25,75,168.798407890208,69.8549950437337,Western,0,2,4,1,4,2,3,2,2,Female,1965 to 1996,"$40,000 to $69,999",4 yrs college,Caucasian,Other faiths,Democrat,1,2,2,3
-20,40,60,170.811740260623,89.4147334704969,Western,0,3,3,1,4,3,3,3,2,Female,1965 to 1996,"Less than $40,000",College (no degree),Caucasian,Not religious,Democrat,1,2,2,3
-54,23,77,169.467420846471,68.1438401109752,Western,0,3,3,2,4,3,3,3,2,Female,1965 to 1996,"$40,000 to $69,999",Grad school,Caucasian,Not religious,Democrat,1,2,2,3
10,55,45,169.467420846471,68.1438401109752,Western,0,3,3,4,4,3,3,4,2,Female,1965 to 1996,"$105,000 to $159,999",Grad school,Caucasian,Catholic,Democrat,1,3,2,2
-56,22,78,164.321590680486,71.3009667734846,Western,0,4,4,3,4,3,3,3,2,Female,1965 to 1996,"$40,000 to $69,999",College (no degree),Caucasian,Not religious,Democrat,1,2,2,3
-28,36,64,157.398910862361,59.550876743526,Western,0,2,2,1,3,3,4,4,2,Female,1965 to 1996,"$160,000 or higher",4 yrs college,Caucasian,Not religious,Democrat,1,2,2,3
-50,25,75,155.288800178408,31.2686397535704,Western,0,2,4,1,4,2,1,3,2,Female,1965 to 1996,"Less than $40,000",College (no degree),Caucasian,Other Christians,Independent,1,2,2,3
-40,30,70,145.6276234501,25.1827539104539,Western,0,3,4,1,4,2,1,2,1,Female,1946 to 1964,"$40,000 to $69,999",College (no degree),Caucasian,Protestant,Republican,1,2,2,3
-20,40,60,215.574570131122,137.155601704645,Western,0,4,3,2,3,2,4,2,2,Male,Before 1946,"Less than $40,000",4 yrs college,Caucasian,Protestant,Democrat,1,2,2,3
20,60,40,131.396523285318,40.9665452600517,Eastern,0,3,3,2,3,2,2,3,2,Male,1965 to 1996,"Less than $40,000",College (no degree),Caucasian,Other faiths,Independent,1,2,2,3
40,70,30,145.709675088364,50.1741698719064,Western,0,3,4,1,4,2,2,4,1,Male,1946 to 1964,"$70,000 to $104,999",4 yrs college,Caucasian,Protestant,Democrat,1,2,2,3
42,71,29,56.5926436267736,28.6802675422737,Eastern,0,3,4,3,4,2,1,3,2,Female,1946 to 1964,"$40,000 to $69,999",College (no degree),Caucasian,Protestant,Independent,1,2,2,3
-40,30,70,148.412655218251,29.7152201753648,Western,0,4,4,1,4,1,1,3,2,Female,1965 to 1996,"$40,000 to $69,999",4 yrs college,Caucasian,Other faiths,Independent,1,2,2,3
20,60,40,131.396523285318,40.9665452600517,Eastern,0,3,4,2,4,2,2,2,2,Female,1946 to 1964,"Less than $40,000",4 yrs college,Caucasian,Not religious,Democrat,1,2,2,3
-22,39,61,169.467420846471,68.1438401109752,Western,0,4,4,2,4,3,2,3,2,Male,1965 to 1996,"$40,000 to $69,999",College (no degree),Caucasian,Not religious,Democrat,1,2,2,3
32,66,34,155.33299557658,65.6797648157114,Western,0,4,4,2,4,3,4,4,2,Male,1965 to 1996,"$105,000 to $159,999",Grad school,Caucasian,Catholic,Democrat,1,2,2,3
24,62,38,169.346357301436,31.2121004524357,Eastern,0,2,2,2,2,3,2,2,2,Female,1965 to 1996,"Less than $40,000",Grad school,Asian,Catholic,Democrat,1,2,2,3
100,100,0,169.612852937177,79.2439173987583,Western,0,2,2,2,3,2,2,1,2,Female,After 1996,"$160,000 or higher",College (no degree),Asian,Not religious,Democrat,2,1,3,0
-100,0,100,175.296964883511,94.3372300129595,Western,0,4,4,1,4,1,4,1,2,Female,1946 to 1964,"Less than $40,000",College (no degree),Caucasian,Not religious,Democrat,1,2,1,2
-80,10,90,175.296964883511,94.3372300129595,Western,0,4,4,3,4,4,4,4,2,Male,Before 1946,"$40,000 to $69,999",Grad school,Caucasian,Not religious,Democrat,1,2,2,3
0,50,50,178.273244689419,29.378720306096,Eastern,0,4,3,2,4,3,3,2,2,Female,1946 to 1964,"Less than $40,000",College (no degree),Caucasian,Catholic,Democrat,1,1,2,2
-100,0,100,152.704350550552,44.2727340258406,Western,0,4,3,2,3,1,3,1,2,Female,After 1996,"Less than $40,000",College (no degree),Caucasian,Other Christians,Republican,2,2,2,2
-100,0,100,138.464178491541,56.8671244767576,Western,0,4,2,1,2,2,2,1,2,Female,After 1996,"Less than $40,000",College (no degree),Latin or Hispanic,Not religious,Independent,1,2,2,3
-100,0,100,142.565238418352,45.6026940256011,Western,0,4,4,4,4,4,4,3,2,Female,Before 1946,"Less than $40,000",Middle or below,Caucasian,Catholic,Democrat,3,2,2,2
0,50,50,168.286963681735,72.9774256047688,Western,0,4,4,2,4,3,3,4,2,Male,1965 to 1996,"$40,000 to $69,999",High,Caucasian,Other Christians,Republican,2,1,1,0
62,81,19,18.8511911433631,10.25140513964,Eastern,0,4,4,4,4,4,3,4,1,Male,1965 to 1996,"$40,000 to $69,999",College (no degree),Caucasian,Other Christians,Independent,1,2,2,3
0,50,50,156.441135195962,16.5636565025132,Western,1,2,4,2,4,4,4,4,1,Male,1965 to 1996,"Less than $40,000",College (no degree),Asian,Orthodox,Republican,1,2,3,2
-100,0,100,164.193405615397,65.4963254867206,Western,0,4,4,3,3,1,3,1,2,Female,1965 to 1996,"$70,000 to $104,999",Grad school,Caucasian,Not religious,Democrat,1,1,2,2
-58,21,79,159.620133195415,39.1946535617096,Western,0,4,4,3,4,1,1,1,1,Female,1965 to 1996,"$70,000 to $104,999",Grad school,Caucasian,Other Christians,Democrat,1,3,2,2
0,50,50,175.101052683325,43.0797997109575,Western,0,4,4,4,4,2,2,3,2,Male,1965 to 1996,"Less than $40,000",High,Caucasian,Not religious,Independent,1,3,1,1
100,100,0,224.593439472523,146.354632870556,Western,0,4,4,4,4,4,4,4,2,Female,1965 to 1996,"$160,000 or higher",Grad school,Caucasian,Jewish,Democrat,1,2,2,3
84,92,8,169.612852937177,79.2439173987583,Western,0,4,3,3,4,1,2,2,2,Male,1946 to 1964,"$105,000 to $159,999",College (no degree),Caucasian,Protestant,Republican,1,2,1,2
44,72,28,79.1058979183621,26.4165604622724,Eastern,0,1,3,1,3,4,4,4,2,Male,1965 to 1996,"$70,000 to $104,999",Grad school,Caucasian,Protestant,Democrat,1,2,2,3
20,60,40,175.205935309115,64.5383278312901,Western,0,4,3,3,4,4,3,3,2,Male,1946 to 1964,"$70,000 to $104,999",High,Caucasian,Protestant,Republican,1,2,2,3
20,60,40,168.286963681735,72.9774256047688,Western,0,2,3,2,4,3,2,2,1,Female,After 1996,"$40,000 to $69,999",College (no degree),Caucasian,Other Christians,Independent,1,2,2,3
-36,32,68,215.574570131122,137.155601704645,Western,0,3,3,2,4,1,2,1,2,Female,1965 to 1996,"Less than $40,000",College (no degree),Caucasian,Not religious,Democrat,1,1,2,2
-100,0,100,163.967363250126,76.996793633522,Western,0,4,4,2,4,2,1,2,1,Female,1965 to 1996,"$70,000 to $104,999",4 yrs college,Caucasian,Other Christians,Republican,1,1,1,1
-20,40,60,215.574570131122,137.155601704645,Western,0,4,3,1,3,2,4,2,2,Female,1965 to 1996,"$40,000 to $69,999",4 yrs college,Caucasian,Not religious,Democrat,1,2,2,3
16,58,42,158.004007746906,52.7782019897556,Western,0,3,4,3,4,3,3,3,2,Male,After 1996,"$70,000 to $104,999",High,Latin or Hispanic,Other Christians,Republican,1,1,1,1
94,97,3,145.6276234501,25.1827539104539,Western,0,4,3,4,4,2,1,3,1,Male,1946 to 1964,"$40,000 to $69,999",Grad school,Caucasian,Catholic,Independent,1,2,1,2
-50,25,75,175.101052683325,43.0797997109575,Western,0,4,3,2,3,3,4,3,2,Male,After 1996,"$40,000 to $69,999",College (no degree),Caucasian,Not religious,Republican,1,1,2,2
-60,20,80,162.643654690012,64.0472602438719,Western,0,4,1,1,4,1,1,2,2,Female,1946 to 1964,"Less than $40,000",College (no degree),Caucasian,Other Christians,Republican,1,2,2,3
-40,30,70,166.575196828744,74.1505226503211,Western,0,4,2,4,3,1,1,2,2,Female,1965 to 1996,"$70,000 to $104,999",4 yrs college,Caucasian,Not religious,Republican,1,2,2,3
-40,30,70,168.137850229831,79.7622835455743,Western,0,1,2,2,4,2,3,2,2,Female,1965 to 1996,"$40,000 to $69,999",4 yrs college,Caucasian,Protestant,Democrat,1,2,2,3
18,59,41,162.080580058526,74.216532443247,Western,0,4,4,2,3,2,2,3,2,Female,After 1996,"$105,000 to $159,999",College (no degree),Asian,Other Christians,Independent,1,2,2,3
60,80,20,159.833689651383,62.2777674717998,Western,0,3,4,2,4,3,4,4,2,Male,1946 to 1964,"$40,000 to $69,999",College (no degree),Latin or Hispanic,Not religious,Independent,1,2,2,3
-50,25,75,157.74839161027,32.5960297543833,Western,0,4,4,3,4,2,3,3,2,Female,1965 to 1996,"$40,000 to $69,999",College (no degree),Caucasian,Other Christians,Independent,1,1,2,2
0,50,50,80.9485408362033,24.9863522772537,Eastern,0,3,3,2,3,2,2,2,2,Female,1965 to 1996,"$40,000 to $69,999",4 yrs college,Caucasian,Other Christians,Democrat,1,2,1,2
-20,40,60,174.140304107875,62.7749059129735,Western,0,4,4,4,4,2,3,3,2,Female,1965 to 1996,"$40,000 to $69,999",College (no degree),Caucasian,Not religious,Independent,1,2,2,3
-44,28,72,155.288800178408,31.2686397535704,Western,0,3,4,2,4,3,4,4,1,Male,1965 to 1996,"$70,000 to $104,999",Grad school,Caucasian,Other Christians,Independent,1,2,2,3
40,70,30,145.6276234501,25.1827539104539,Western,0,2,2,3,4,2,2,3,2,Male,1965 to 1996,"$105,000 to $159,999",Grad school,African-American,Other Christians,Independent,1,3,1,1
80,90,10,165.749189574095,67.6459974503873,Western,0,4,3,1,4,2,2,2,1,Male,1965 to 1996,"$40,000 to $69,999",4 yrs college,Asian,Not religious,Independent,1,2,1,2
0,50,50,165.653518698864,73.9678456291263,Western,0,4,4,2,3,2,4,3,2,Female,1965 to 1996,"Less than $40,000",Grad school,Latin or Hispanic,Other Christians,Democrat,1,1,2,2
-40,30,70,104.481272438878,29.339058808783,Eastern,0,4,4,2,4,2,4,2,2,Female,After 1996,"Less than $40,000",College (no degree),Native American,Other Christians,Democrat,1,1,2,2
28,64,36,142.565238418352,45.6026940256011,Western,0,2,3,2,4,2,1,3,1,Male,1965 to 1996,"$160,000 or higher",4 yrs college,Caucasian,Orthodox,Republican,1,1,1,1
42,71,29,153.084860086042,62.2544198030429,Western,0,4,4,2,4,2,3,3,2,Female,1965 to 1996,"$40,000 to $69,999",4 yrs college,Caucasian,Not religious,Democrat,1,2,2,3
-60,20,80,151.120894117175,39.4006145062358,Western,1,3,3,1,2,2,3,2,2,Male,1946 to 1964,"Less than $40,000",4 yrs college,Caucasian,Not religious,Democrat,1,2,2,3
-56,22,78,163.375803190704,65.3172484690425,Western,0,3,3,3,3,2,3,1,2,Female,1965 to 1996,"$40,000 to $69,999",4 yrs college,Caucasian,Not religious,Independent,1,1,3,1
-62,19,81,173.854450768189,21.1481680212887,Eastern,0,4,4,3,4,3,3,2,2,Female,1965 to 1996,"Less than $40,000",High (incomplete),Caucasian,Other Christians,Independent,1,1,2,2
70,85,15,18.8511911433631,10.25140513964,Eastern,0,3,4,1,4,3,3,3,2,Male,1965 to 1996,"$70,000 to $104,999",Grad school,Asian,Protestant,Democrat,1,1,2,2
-100,0,100,223.527853948482,95.4410882653901,Western,0,3,2,3,4,2,2,1,2,Female,1965 to 1996,"$70,000 to $104,999",4 yrs college,Caucasian,Not religious,Independent,3,3,1,0
-90,5,95,134.671749378053,56.2286105467661,Eastern,0,1,4,1,4,1,2,1,2,Female,1965 to 1996,"$70,000 to $104,999",High (incomplete),Caucasian,Not religious,Republican,1,2,2,3
4,52,48,152.704350550552,44.2727340258406,Western,0,4,4,4,3,4,4,3,2,Male,1965 to 1996,"$70,000 to $104,999",4 yrs college,Caucasian,Protestant,Democrat,3,2,2,2
24,62,38,126.536463880416,36.054377487275,Eastern,0,3,4,4,4,3,3,4,2,Male,1965 to 1996,"$40,000 to $69,999",4 yrs college,Caucasian,Other Christians,Republican,1,2,2,3
-62,19,81,148.983315501818,65.6437927874965,Western,0,4,3,2,4,2,4,1,2,Male,1965 to 1996,"$160,000 or higher",4 yrs college,Caucasian,Catholic,Democrat,1,1,2,2
50,75,25,22.0203157405858,6.61761714204683,Eastern,0,4,1,4,3,3,1,3,1,Male,1946 to 1964,"$105,000 to $159,999",4 yrs college,Caucasian,Other Christians,Republican,1,1,1,1
-24,38,62,127.386434203304,34.8719736363821,Eastern,0,3,2,1,4,1,1,2,1,Female,1946 to 1964,"$70,000 to $104,999",4 yrs college,Caucasian,Other Christians,Republican,1,2,2,3
20,60,40,186.307034556003,104.199035939036,Western,0,4,3,4,3,4,3,4,2,Male,After 1996,"Less than $40,000",High (incomplete),Caucasian,Not religious,Independent,1,3,1,1
-42,29,71,161.937904131718,63.8859554462273,Western,0,2,2,3,4,2,3,2,1,Female,1965 to 1996,"$40,000 to $69,999",High,Caucasian,Catholic,Independent,1,1,3,1
52,76,24,157.732167522325,38.2590054495107,Western,0,3,3,3,3,2,3,3,2,Female,1965 to 1996,"Less than $40,000",High,Caucasian,Catholic,Republican,1,1,3,1
-28,36,64,180.487871569551,69.3930486715253,Western,1,3,3,3,4,2,2,2,2,Male,1965 to 1996,"Less than $40,000",College (no degree),Caucasian,Other Christians,Republican,3,1,2,1
-62,19,81,166.575196828744,74.1505226503211,Western,0,4,3,2,4,2,3,2,2,Female,1965 to 1996,"$40,000 to $69,999",4 yrs college,Caucasian,Not religious,Democrat,1,2,2,3
-64,18,82,193.670551960232,52.9108447667466,Western,1,4,3,3,3,3,4,2,2,Female,1946 to 1964,"$70,000 to $104,999",College (no degree),Caucasian,Catholic,Democrat,1,2,2,3
0,50,50,142.565238418352,45.6026940256011,Western,0,4,4,4,4,4,4,3,2,Male,After 1996,"$70,000 to $104,999",College (no degree),Other/Unknown,Muslim,Independent,2,1,2,1
-20,40,60,159.715769122867,56.0359151287392,Western,0,4,3,4,3,4,3,3,2,Male,1965 to 1996,"Less than $40,000",College (no degree),Latin or Hispanic,Buddhist,Democrat,1,2,2,3
-40,30,70,161.619374163912,59.0313481810424,Western,0,2,4,3,4,3,2,2,2,Male,1965 to 1996,"$105,000 to $159,999",4 yrs college,Caucasian,Catholic,Republican,1,2,1,2
-40,30,70,170.811740260623,89.4147334704969,Western,0,3,4,2,4,3,4,3,2,Male,1946 to 1964,"$40,000 to $69,999",Grad school,Caucasian,Jewish,Democrat,1,2,2,3
60,80,20,176.161828966036,61.2830070868692,Western,0,2,3,2,4,3,3,4,2,Male,1965 to 1996,"Less than $40,000",College (no degree),Caucasian,Protestant,Independent,1,2,2,3
-20,40,60,145.6276234501,25.1827539104539,Western,0,4,1,1,4,2,2,1,2,Female,1946 to 1964,"Less than $40,000",College (no degree),Caucasian,Protestant,Independent,1,2,2,3
-40,30,70,162.499224062517,67.6291510813492,Western,0,4,2,1,3,2,3,2,2,Female,1965 to 1996,"$70,000 to $104,999",Grad school,Caucasian,Not religious,Independent,1,2,2,3
-42,29,71,147.729869824252,44.6567682794698,Western,0,4,3,2,3,3,4,2,2,Male,1965 to 1996,"$40,000 to $69,999",High,Caucasian,Not religious,Democrat,1,2,2,3
0,50,50,142.565238418352,45.6026940256011,Western,0,3,4,4,4,2,3,2,2,Female,1965 to 1996,"Less than $40,000",Grad school,Caucasian,Other Christians,Republican,1,2,2,3
-42,29,71,67.7672814322987,37.1344826515032,Eastern,1,3,3,3,3,2,4,1,2,Male,1965 to 1996,"$70,000 to $104,999",College (no degree),Caucasian,Not religious,Democrat,1,1,1,1
8,54,46,148.412655218251,29.7152201753648,Western,0,3,3,3,3,2,2,2,2,Male,After 1996,"Less than $40,000",High,Caucasian,Not religious,Democrat,1,1,1,1
-2,49,51,165.653518698864,73.9678456291263,Western,0,3,2,2,2,3,1,2,2,Female,After 1996,"$40,000 to $69,999",College (no degree),Caucasian,Catholic,Democrat,2,3,1,0
-40,30,70,150.846968758173,68.0310683594815,Western,0,4,2,2,3,4,4,4,2,Male,1965 to 1996,"$160,000 or higher",4 yrs college,Caucasian,Not religious,Democrat,1,2,2,3
0,50,50,210.095828764107,99.8756110503019,Western,0,3,4,2,4,3,3,2,1,Female,1965 to 1996,"$40,000 to $69,999",4 yrs college,Caucasian,Buddhist,Democrat,1,2,2,3
-80,10,90,172.311591975572,27.5284241849545,Eastern,0,2,1,1,4,1,3,1,2,Female,1965 to 1996,"$105,000 to $159,999",Grad school,Caucasian,Catholic,Democrat,1,2,2,3
