X,duration,cblame_1,tblame_1,mc,lc_c,direct_c,lt_c,lc_t,direct_t,lt_t,sex,age,race,income,worry,twitter,party,lean,ideology,state,ch,covid,virus,list,blame,direct,ict.c,ict.t,ict,Y.c,Y.t,ido,ido1,inc,wor,social,ID,Item,ch1,male,female,young,midage,old,white,blk,his,asian,other,hwor,lwor,hsocial,lsocial,Dem,Rep,Ind,lib,con,mod,low,med,high,mcr,group
311,651,88,NA,COVID-19,NA,NA,1,NA,NA,NA,1,34,Other,"$25,000 to $34,999",Very worried,Never,Independent,Democratic,Very Liberal,Ohio,0,1,NA,1,88,NA,1,NA,1,1,NA,5,3,2,3,0,311,4-item,a,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,covid4
312,193,40,NA,COVID-19,1,0,NA,NA,NA,NA,0,50,White,"$75,000 to $99,999",Very worried,Always,Republican,,Moderate,Missouri,0,0,NA,0,40,0,1,NA,1,1,NA,3,2,5,3,4,312,3-item,a,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,covid3
313,269,82,NA,COVID-19,NA,NA,4,NA,NA,NA,1,42,White,"$35,000 to $49,999",Not too worried,Sometimes,Republican,,Conservative,Tennessee,0,1,NA,1,82,NA,4,NA,4,4,NA,2,1,3,1,1,313,4-item,a,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,covid4
314,154,NA,65,Chinese Virus,NA,NA,NA,1,0,NA,1,50,White,"$150,000 or more",Somewhat worried,Most of the time,Independent,Democratic,Moderate,Massachusetts,1,NA,0,0,65,0,NA,1,1,NA,1,3,2,7,2,3,314,3-item,b,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,virus3
315,207,NA,20,Chinese Virus,NA,NA,NA,NA,NA,1,0,51,White,"$50,000 to $74,999",Somewhat worried,Sometimes,Democrat,,Liberal,Michigan,1,NA,1,1,20,NA,NA,1,1,NA,1,4,3,4,2,1,315,4-item,b,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,virus4
316,142,NA,0,Chinese Virus,NA,NA,NA,NA,NA,3,1,49,White,"$50,000 to $74,999",Somewhat worried,Never,Republican,,Very conservative,Tennessee,1,NA,1,1,0,NA,NA,3,3,NA,3,1,1,4,2,0,316,4-item,b,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,virus4
317,417,NA,70,Chinese Virus,NA,NA,NA,NA,NA,2,0,54,White,"$75,000 to $99,999",Somewhat worried,Sometimes,Democrat,,Moderate,Illinois,1,NA,1,1,70,NA,NA,2,2,NA,2,3,2,5,2,1,317,4-item,b,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,virus4
318,203,NA,14,COVID-19,NA,NA,NA,NA,NA,1,0,47,White,"Less than $25,000",Somewhat worried,Sometimes,Independent,Democratic,Liberal,California,1,NA,1,1,14,NA,NA,1,1,NA,1,4,3,1,2,1,318,4-item,b,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,virus4
319,215,35,NA,COVID-19,1,0,NA,NA,NA,NA,0,43,White,"Less than $25,000",Somewhat worried,Sometimes,Independent,No opinion,Conservative,North Carolina,0,0,NA,0,35,0,1,NA,1,1,NA,2,1,1,2,1,319,3-item,a,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,covid3
320,164,38,NA,COVID-19,NA,NA,2,NA,NA,NA,0,54,Hispanic,"$50,000 to $74,999",Not too worried,Most of the time,Democrat,,Liberal,North Carolina,0,1,NA,1,38,NA,2,NA,2,2,NA,4,3,4,1,3,320,4-item,a,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,covid4
321,1115,NA,10,Chinese Virus,NA,NA,NA,2,0,NA,0,49,White,"$100,000 to $149,999",Somewhat worried,Sometimes,Republican,,Very conservative,Minnesota,1,NA,0,0,10,0,NA,2,2,NA,2,1,1,6,2,1,321,3-item,b,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,virus3
322,95,NA,44,Chinese Virus,NA,NA,NA,NA,NA,1,1,27,White,"$75,000 to $99,999",Not too worried,Sometimes,Democrat,,Liberal,North Carolina,1,NA,1,1,44,NA,NA,1,1,NA,1,4,3,5,1,1,322,4-item,b,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,virus4
323,130,0,NA,COVID-19,NA,NA,2,NA,NA,NA,1,25,White,"$150,000 or more",Somewhat worried,Never,Republican,,Conservative,New Hampshire,0,1,NA,1,0,NA,2,NA,2,2,NA,2,1,7,2,0,323,4-item,a,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,covid4
324,263,NA,100,Chinese Virus,NA,NA,NA,NA,NA,1,1,64,White,"$50,000 to $74,999",Not too worried,Most of the time,Independent,Democratic,Liberal,Wisconsin,1,NA,1,1,100,NA,NA,1,1,NA,1,4,3,4,1,3,324,4-item,b,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,virus4
325,114,NA,71,Chinese Virus,NA,NA,NA,NA,NA,1,0,42,White,"$75,000 to $99,999",Somewhat worried,Most of the time,Democrat,,Liberal,Idaho,1,NA,1,1,71,NA,NA,1,1,NA,1,4,3,5,2,3,325,4-item,b,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,virus4
326,136,64,NA,COVID-19,NA,NA,2,NA,NA,NA,1,41,White,"$50,000 to $74,999",Very worried,Sometimes,Independent,Democratic,Very Liberal,Ohio,0,1,NA,1,64,NA,2,NA,2,2,NA,5,3,4,3,1,326,4-item,a,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,covid4
327,172,NA,9,COVID-19,NA,NA,NA,NA,NA,1,0,68,White,"$35,000 to $49,999",Somewhat worried,Never,Republican,,Conservative,Nevada,1,NA,1,1,9,NA,NA,1,1,NA,1,2,1,3,2,0,327,4-item,b,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,virus4
328,291,0,NA,COVID-19,1,0,NA,NA,NA,NA,0,27,Black,"$100,000 to $149,999",Very worried,Sometimes,Republican,,Conservative,Maryland,0,0,NA,0,0,0,1,NA,1,1,NA,2,1,6,3,1,328,3-item,a,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,covid3
329,157,NA,20,Chinese Virus,NA,NA,NA,NA,NA,2,1,26,White,"$35,000 to $49,999",Somewhat worried,Sometimes,Republican,,Conservative,New York,1,NA,1,1,20,NA,NA,2,2,NA,2,2,1,3,2,1,329,4-item,b,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,virus4
330,824,11,NA,COVID-19,2,0,NA,NA,NA,NA,1,33,White,"$75,000 to $99,999",Somewhat worried,Never,Democrat,,Very Liberal,Maryland,0,0,NA,0,11,0,2,NA,2,2,NA,5,3,5,2,0,330,3-item,a,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,covid3
331,73,65,NA,COVID-19,NA,NA,1,NA,NA,NA,1,50,White,"$150,000 or more",Not too worried,About half the time,Independent,Democratic,Moderate,Pennsylvania,0,1,NA,1,65,NA,1,NA,1,1,NA,3,2,7,1,2,331,4-item,a,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,covid4
332,170,NA,50,Chinese Virus,NA,NA,NA,2,0,NA,0,59,White,"$75,000 to $99,999",Somewhat worried,Most of the time,Democrat,,Moderate,New York,1,NA,0,0,50,0,NA,2,2,NA,2,3,2,5,2,3,332,3-item,b,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,virus3
333,153,NA,9,Chinese Virus,NA,NA,NA,NA,NA,2,1,47,White,"$25,000 to $34,999",Somewhat worried,Sometimes,Independent,Republican,Conservative,Tennessee,1,NA,1,1,9,NA,NA,2,2,NA,2,2,1,2,2,1,333,4-item,b,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,virus4
334,84,29,NA,COVID-19,NA,NA,1,NA,NA,NA,0,23,White,"$75,000 to $99,999",Very worried,Always,Democrat,,Very Liberal,New York,0,1,NA,1,29,NA,1,NA,1,1,NA,5,3,5,3,4,334,4-item,a,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,covid4
335,126,NA,80,Chinese Virus,NA,NA,NA,NA,NA,1,0,58,White,"$75,000 to $99,999",Very worried,Sometimes,Democrat,,Liberal,Massachusetts,1,NA,1,1,80,NA,NA,1,1,NA,1,4,3,5,3,1,335,4-item,b,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,virus4
336,1345,74,NA,COVID-19,2,0,NA,NA,NA,NA,0,34,White,"$35,000 to $49,999",Very worried,Always,Democrat,,Liberal,Texas,0,0,NA,0,74,0,2,NA,2,2,NA,4,3,3,3,4,336,3-item,a,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,covid3
337,125,NA,60,Chinese Virus,NA,NA,NA,NA,NA,1,1,30,White,"$25,000 to $34,999",Somewhat worried,Never,Democrat,,Liberal,Oklahoma,1,NA,1,1,60,NA,NA,1,1,NA,1,4,3,2,2,0,337,4-item,b,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,virus4
338,234,21,NA,COVID-19,1,0,NA,NA,NA,NA,1,37,White,"$75,000 to $99,999",Somewhat worried,Never,Independent,Democratic,Very Liberal,California,0,0,NA,0,21,0,1,NA,1,1,NA,5,3,5,2,0,338,3-item,a,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,covid3
339,634,0,NA,COVID-19,1,0,NA,NA,NA,NA,1,33,Other,"Less than $25,000",Not worried at all,About half the time,Independent,No opinion,Moderate,Washington,0,0,NA,0,0,0,1,NA,1,1,NA,3,2,1,0,2,339,3-item,a,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,covid3
340,197,66,NA,COVID-19,2,0,NA,NA,NA,NA,1,30,Other,"Less than $25,000",Very worried,About half the time,Independent,No opinion,No opinion,Texas,0,0,NA,0,66,0,2,NA,2,2,NA,3,4,1,3,2,340,3-item,a,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,covid3
341,119,60,NA,COVID-19,1,0,NA,NA,NA,NA,0,30,White,"Less than $25,000",Very worried,About half the time,Democrat,,Liberal,California,0,0,NA,0,60,0,1,NA,1,1,NA,4,3,1,3,2,341,3-item,a,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,covid3
342,758,95,NA,COVID-19,NA,NA,2,NA,NA,NA,0,44,Asian,"$75,000 to $99,999",Very worried,Always,Republican,,Conservative,Texas,0,1,NA,1,95,NA,2,NA,2,2,NA,2,1,5,3,4,342,4-item,a,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,covid4
343,146,25,NA,COVID-19,NA,NA,2,NA,NA,NA,1,30,Hispanic,"$75,000 to $99,999",Very worried,Sometimes,Republican,,Conservative,New Jersey,0,1,NA,1,25,NA,2,NA,2,2,NA,2,1,5,3,1,343,4-item,a,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,covid4
344,219,85,NA,COVID-19,1,0,NA,NA,NA,NA,0,60,White,"Less than $25,000",Very worried,Never,Democrat,,Liberal,Arizona,0,0,NA,0,85,0,1,NA,1,1,NA,4,3,1,3,0,344,3-item,a,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,covid3
345,141,NA,20,Chinese Virus,NA,NA,NA,NA,NA,2,0,34,White,"$75,000 to $99,999",Very worried,Always,Democrat,,Liberal,West Virginia,1,NA,1,1,20,NA,NA,2,2,NA,2,4,3,5,3,4,345,4-item,b,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,virus4
346,149,NA,1,Chinese Virus,NA,NA,NA,2,0,NA,0,49,White,"$100,000 to $149,999",Somewhat worried,Most of the time,Republican,,Conservative,Pennsylvania,1,NA,0,0,1,0,NA,2,2,NA,2,2,1,6,2,3,346,3-item,b,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,virus3
347,107,13,NA,COVID-19,1,0,NA,NA,NA,NA,1,33,White,"$100,000 to $149,999",Somewhat worried,About half the time,Democrat,,Moderate,West Virginia,0,0,NA,0,13,0,1,NA,1,1,NA,3,2,6,2,2,347,3-item,a,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,covid3
348,128,60,NA,COVID-19,1,0,NA,NA,NA,NA,0,33,White,"$50,000 to $74,999",Somewhat worried,About half the time,Republican,,Conservative,Ohio,0,0,NA,0,60,0,1,NA,1,1,NA,2,1,4,2,2,348,3-item,a,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,covid3
349,265,NA,35,Chinese Virus,NA,NA,NA,NA,NA,1,0,65,White,"$25,000 to $34,999",Somewhat worried,Never,Democrat,,Liberal,Montana,1,NA,1,1,35,NA,NA,1,1,NA,1,4,3,2,2,0,349,4-item,b,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,virus4
350,1280,8,NA,COVID-19,2,0,NA,NA,NA,NA,1,34,White,"$100,000 to $149,999",Very worried,Most of the time,Independent,No opinion,Moderate,New York,0,0,NA,0,8,0,2,NA,2,2,NA,3,2,6,3,3,350,3-item,a,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,covid3
351,150,0,NA,COVID-19,NA,NA,3,NA,NA,NA,0,43,White,"$50,000 to $74,999",Somewhat worried,Always,Republican,,Conservative,Florida,0,1,NA,1,0,NA,3,NA,3,3,NA,2,1,4,2,4,351,4-item,a,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,covid4
352,198,NA,70,Chinese Virus,NA,NA,NA,NA,NA,1,0,56,White,"$50,000 to $74,999",Very worried,Never,Democrat,,Liberal,Arizona,1,NA,1,1,70,NA,NA,1,1,NA,1,4,3,4,3,0,352,4-item,b,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,virus4
353,66,33,NA,COVID-19,3,1,NA,NA,NA,NA,1,30,White,"$75,000 to $99,999",Somewhat worried,Sometimes,Democrat,,Liberal,California,0,0,NA,0,33,1,3,NA,3,4,NA,4,3,5,2,1,353,3-item,a,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,covid3
354,270,100,NA,COVID-19,1,0,NA,NA,NA,NA,1,38,Hispanic,"$100,000 to $149,999",Very worried,Never,Independent,Democratic,Very Liberal,Connecticut,0,0,NA,0,100,0,1,NA,1,1,NA,5,3,6,3,0,354,3-item,a,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,covid3
355,300,80,NA,COVID-19,1,0,NA,NA,NA,NA,1,27,White,"$75,000 to $99,999",Not too worried,Sometimes,Independent,No opinion,Liberal,Pennsylvania,0,0,NA,0,80,0,1,NA,1,1,NA,4,3,5,1,1,355,3-item,a,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,covid3
356,134,NA,0,Chinese Virus,NA,NA,NA,1,0,NA,0,33,White,"$25,000 to $34,999",Somewhat worried,Sometimes,Democrat,,Liberal,Florida,1,NA,0,0,0,0,NA,1,1,NA,1,4,3,2,2,1,356,3-item,b,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,virus3
357,186,30,NA,COVID-19,NA,NA,1,NA,NA,NA,0,48,White,"$25,000 to $34,999",Somewhat worried,Never,Republican,,Conservative,Tennessee,0,1,NA,1,30,NA,1,NA,1,1,NA,2,1,2,2,0,357,4-item,a,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,covid4
358,101,50,NA,COVID-19,NA,NA,1,NA,NA,NA,1,59,White,"Less than $25,000",Somewhat worried,Never,Democrat,,Very Liberal,Pennsylvania,0,1,NA,1,50,NA,1,NA,1,1,NA,5,3,1,2,0,358,4-item,a,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,covid4
359,183,NA,0,Chinese Virus,NA,NA,NA,NA,NA,0,1,36,White,"$100,000 to $149,999",Somewhat worried,About half the time,Republican,,Very conservative,Texas,1,NA,1,1,0,NA,NA,0,0,NA,0,1,1,6,2,2,359,4-item,b,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,virus4
360,315,NA,50,Chinese Virus,NA,NA,NA,NA,NA,2,0,55,White,"Less than $25,000",Very worried,Sometimes,Democrat,,Liberal,Oklahoma,1,NA,1,1,50,NA,NA,2,2,NA,2,4,3,1,3,1,360,4-item,b,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,virus4
361,112,32,NA,COVID-19,NA,NA,2,NA,NA,NA,0,34,White,"$25,000 to $34,999",Somewhat worried,Sometimes,Independent,Democratic,Liberal,South Carolina,0,1,NA,1,32,NA,2,NA,2,2,NA,4,3,2,2,1,361,4-item,a,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,covid4
362,187,NA,5,Chinese Virus,NA,NA,NA,2,0,NA,1,52,White,"$150,000 or more",Somewhat worried,Always,Republican,,Moderate,Georgia,1,NA,0,0,5,0,NA,2,2,NA,2,3,2,7,2,4,362,3-item,b,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,virus3
363,137,NA,8,Chinese Virus,NA,NA,NA,NA,NA,2,1,29,White,"$100,000 to $149,999",Somewhat worried,Never,Republican,,Conservative,Pennsylvania,1,NA,1,1,8,NA,NA,2,2,NA,2,2,1,6,2,0,363,4-item,b,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,virus4
364,465,62,NA,COVID-19,2,1,NA,NA,NA,NA,1,38,Hispanic,"$75,000 to $99,999",Very worried,Always,Republican,,Very conservative,Washington,0,0,NA,0,62,1,2,NA,2,3,NA,1,1,5,3,4,364,3-item,a,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,covid3
365,283,NA,60,Chinese Virus,NA,NA,NA,NA,NA,1,0,46,White,"$50,000 to $74,999",Very worried,Sometimes,Republican,,Conservative,South Carolina,1,NA,1,1,60,NA,NA,1,1,NA,1,2,1,4,3,1,365,4-item,b,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,virus4
366,152,NA,82,Chinese Virus,NA,NA,NA,1,0,NA,1,31,White,"Less than $25,000",Very worried,Sometimes,Democrat,,Very Liberal,California,1,NA,0,0,82,0,NA,1,1,NA,1,5,3,1,3,1,366,3-item,b,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,virus3
367,136,NA,19,Chinese Virus,NA,NA,NA,NA,NA,1,0,62,White,"$35,000 to $49,999",Not too worried,Most of the time,Democrat,,Moderate,Iowa,1,NA,1,1,19,NA,NA,1,1,NA,1,3,2,3,1,3,367,4-item,b,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,virus4
368,152,NA,66,COVID-19,NA,NA,NA,NA,NA,1,0,36,White,"$50,000 to $74,999",Somewhat worried,Sometimes,Republican,,Moderate,New York,1,NA,1,1,66,NA,NA,1,1,NA,1,3,2,4,2,1,368,4-item,b,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,virus4
369,86,NA,61,Chinese Virus,NA,NA,NA,NA,NA,0,0,21,White,"$25,000 to $34,999",Somewhat worried,Sometimes,Democrat,,Liberal,Florida,1,NA,1,1,61,NA,NA,0,0,NA,0,4,3,2,2,1,369,4-item,b,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,virus4
370,174,NA,5,Chinese Virus,NA,NA,NA,NA,NA,1,0,24,White,"$75,000 to $99,999",Somewhat worried,Sometimes,Republican,,Conservative,Utah,1,NA,1,1,5,NA,NA,1,1,NA,1,2,1,5,2,1,370,4-item,b,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,virus4
371,147,20,NA,COVID-19,NA,NA,2,NA,NA,NA,0,45,Asian,"Less than $25,000",Very worried,Most of the time,Republican,,Conservative,Hawaii,0,1,NA,1,20,NA,2,NA,2,2,NA,2,1,1,3,3,371,4-item,a,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,covid4
372,123,NA,100,Chinese Virus,NA,NA,NA,3,1,NA,0,33,White,"$25,000 to $34,999",Very worried,Always,Republican,,Very conservative,Florida,1,NA,0,0,100,1,NA,3,3,NA,4,1,1,2,3,4,372,3-item,b,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,virus3
373,114,33,NA,COVID-19,2,0,NA,NA,NA,NA,1,30,White,"Less than $25,000",Somewhat worried,Sometimes,Republican,,Conservative,Arkansas,0,0,NA,0,33,0,2,NA,2,2,NA,2,1,1,2,1,373,3-item,a,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,covid3
374,130,NA,96,COVID-19,NA,NA,NA,3,1,NA,0,25,White,"$25,000 to $34,999",Somewhat worried,Always,Democrat,,Liberal,Texas,1,NA,0,0,96,1,NA,3,3,NA,4,4,3,2,2,4,374,3-item,b,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,virus3
375,631,40,NA,COVID-19,2,0,NA,NA,NA,NA,1,36,White,"$25,000 to $34,999",Very worried,About half the time,Independent,Republican,Conservative,South Carolina,0,0,NA,0,40,0,2,NA,2,2,NA,2,1,2,3,2,375,3-item,a,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,covid3
376,115,84,NA,COVID-19,NA,NA,2,NA,NA,NA,0,27,White,"Less than $25,000",Very worried,Always,Independent,Democratic,Very Liberal,Michigan,0,1,NA,1,84,NA,2,NA,2,2,NA,5,3,1,3,4,376,4-item,a,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,covid4
377,144,NA,28,Chinese Virus,NA,NA,NA,NA,NA,2,0,39,White,"$75,000 to $99,999",Very worried,Always,Republican,,Conservative,New Jersey,1,NA,1,1,28,NA,NA,2,2,NA,2,2,1,5,3,4,377,4-item,b,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,virus4
378,627,15,NA,COVID-19,NA,NA,2,NA,NA,NA,1,32,White,"$25,000 to $34,999",Somewhat worried,Sometimes,Republican,,Conservative,Pennsylvania,0,1,NA,1,15,NA,2,NA,2,2,NA,2,1,2,2,1,378,4-item,a,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,covid4
379,168,NA,95,COVID-19,NA,NA,NA,NA,NA,1,1,69,White,"Less than $25,000",Very worried,Never,Independent,Democratic,Liberal,Maryland,1,NA,1,1,95,NA,NA,1,1,NA,1,4,3,1,3,0,379,4-item,b,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,virus4
380,93,60,NA,COVID-19,NA,NA,2,NA,NA,NA,1,25,Asian,"$25,000 to $34,999",Very worried,Always,Democrat,,Liberal,Alabama,0,1,NA,1,60,NA,2,NA,2,2,NA,4,3,2,3,4,380,4-item,a,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,covid4
381,200,NA,70,Chinese Virus,NA,NA,NA,NA,NA,1,1,28,White,"Less than $25,000",Not too worried,Never,Independent,Democratic,Liberal,Illinois,1,NA,1,1,70,NA,NA,1,1,NA,1,4,3,1,1,0,381,4-item,b,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,virus4
382,132,89,NA,COVID-19,NA,NA,2,NA,NA,NA,0,28,White,"$100,000 to $149,999",Very worried,About half the time,Democrat,,Very Liberal,Tennessee,0,1,NA,1,89,NA,2,NA,2,2,NA,5,3,6,3,2,382,4-item,a,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,covid4
383,140,NA,10,Chinese Virus,NA,NA,NA,2,0,NA,0,47,White,"$50,000 to $74,999",Not too worried,Sometimes,Republican,,Conservative,Virginia,1,NA,0,0,10,0,NA,2,2,NA,2,2,1,4,1,1,383,3-item,b,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,virus3
384,173,6,NA,COVID-19,2,0,NA,NA,NA,NA,0,48,White,"$35,000 to $49,999",Somewhat worried,Most of the time,Republican,,Moderate,New York,0,0,NA,0,6,0,2,NA,2,2,NA,3,2,3,2,3,384,3-item,a,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,covid3
385,236,NA,100,Chinese Virus,NA,NA,NA,NA,NA,2,1,49,White,"$50,000 to $74,999",Not too worried,About half the time,Republican,,Conservative,Rhode Island,1,NA,1,1,100,NA,NA,2,2,NA,2,2,1,4,1,2,385,4-item,b,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,virus4
386,123,0,NA,COVID-19,1,0,NA,NA,NA,NA,1,66,White,"$100,000 to $149,999",Not too worried,Always,Republican,,Conservative,Ohio,0,0,NA,0,0,0,1,NA,1,1,NA,2,1,6,1,4,386,3-item,a,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,covid3
387,236,100,NA,COVID-19,2,0,NA,NA,NA,NA,0,39,White,"$50,000 to $74,999",Not too worried,About half the time,Independent,No opinion,No opinion,Rhode Island,0,0,NA,0,100,0,2,NA,2,2,NA,3,4,4,1,2,387,3-item,a,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,covid3
388,216,NA,25,Chinese Virus,NA,NA,NA,1,0,NA,1,50,White,"Less than $25,000",Very worried,Sometimes,Independent,Democratic,Liberal,Florida,1,NA,0,0,25,0,NA,1,1,NA,1,4,3,1,3,1,388,3-item,b,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,virus3
389,177,NA,100,Chinese Virus,NA,NA,NA,2,0,NA,0,39,White,"$25,000 to $34,999",Very worried,Sometimes,Democrat,,Very Liberal,Vermont,1,NA,0,0,100,0,NA,2,2,NA,2,5,3,2,3,1,389,3-item,b,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,virus3
