defendant_age,previous_convictions,case_complexity,public_defender,plea_bargain,felony_charge,alternative_sentencing,recidivism_rate
32,18,5,0,1,1,1,32.644358947776944
19,17,11,0,0,1,0,34.71995196950637
21,23,6,1,0,1,1,32.73563378217594
30,13,6,1,0,1,1,33.706467784689885
40,16,8,0,0,0,1,27.84499979594493
25,17,9,0,1,1,1,33.722099337948926
40,17,13,1,1,1,0,22.80200911966079
17,26,8,1,1,0,1,34.578555588446335
24,21,6,1,1,0,1,32.85334650681406
28,16,8,1,0,1,1,33.091924990381855
25,19,9,1,1,1,1,32.59700149014233
31,27,13,1,1,0,0,24.85187909923411
26,20,13,1,1,0,0,30.09531463160977
33,17,8,1,1,1,1,29.68590751684256
25,17,10,1,0,0,0,30.637913179675188
41,15,10,1,0,0,0,22.687197079216435
28,29,8,1,0,0,1,29.114886240874245
28,28,8,1,1,1,1,27.14698722724265
37,15,16,1,1,1,1,32.98792762594306
45,25,4,1,1,1,0,14.641055893455263
23,17,8,1,0,1,1,35.051142554998634
32,21,8,0,1,1,1,30.722633903708907
33,30,10,1,1,1,0,20.34775812198748
29,18,8,0,1,1,1,32.53842981095209
30,26,6,0,1,0,0,23.92600017567369
29,10,12,0,1,1,0,32.81466206763794
35,17,12,1,1,1,1,30.54390715326198
33,22,9,1,1,1,1,28.12258606408018
26,22,5,1,1,1,1,31.449222955935603
35,22,11,1,1,1,0,23.022427794080425
26,23,10,1,1,0,0,28.350903969963397
19,6,9,1,1,0,1,42.31422401036346
33,16,9,0,0,1,1,31.88723323372925
27,22,9,1,1,0,0,27.266565431248576
17,21,12,0,1,0,1,37.25308988391822
36,20,10,0,0,1,0,22.4860581718673
30,29,11,0,1,1,1,27.791233344520176
30,25,12,1,0,1,0,23.67357460725704
35,10,7,1,1,1,1,32.282887193033496
35,22,7,0,0,1,0,22.55701245454805
21,21,12,0,1,1,1,36.53495354500188
23,25,10,1,1,0,0,28.23211573579886
13,18,9,1,0,1,1,39.81713254433644
17,4,7,0,1,1,1,44.590817515657335
22,31,11,0,1,1,1,29.05786656414551
28,22,7,1,1,1,1,29.534299323194748
42,22,11,0,1,1,1,23.639442824052896
22,17,12,1,1,0,0,31.446952187728023
22,19,6,1,1,1,1,33.66516015348482
30,21,10,1,1,0,1,30.78595643467356
35,23,6,0,1,1,0,20.287069725275614
44,7,6,1,1,0,1,28.57040340754354
25,9,8,1,1,1,0,34.4274980040087
32,17,6,0,0,1,0,25.153347164267693
29,26,11,0,1,1,0,25.685034809575107
30,18,12,1,0,1,0,26.23907204355988
22,20,10,1,1,0,0,31.090796007493097
23,11,11,1,1,0,1,38.47741855280911
18,22,7,1,0,0,0,29.862236593541446
11,20,10,1,1,1,1,40.78699613168418
25,18,10,0,1,1,0,32.03073227314885
29,24,12,1,1,1,1,31.430019088231408
27,9,14,0,0,0,0,35.0287367375454
23,11,6,1,1,1,1,35.466534404262724
27,36,13,1,0,1,1,26.849363408814007
25,11,12,1,0,1,1,37.944892732032336
41,13,9,1,0,0,0,23.425428197229547
24,18,9,1,1,1,1,34.91014396521709
27,28,11,0,1,1,1,28.59162593781722
32,27,8,0,1,0,0,22.703020636139048
35,17,10,0,0,0,0,25.20639740513521
26,20,8,1,1,1,1,32.2599770449613
43,30,12,0,0,1,0,16.219636761116938
34,24,15,0,0,0,0,25.146248038708173
39,21,4,1,1,1,1,25.637283786213644
17,10,13,1,0,1,0,40.32757592671353
32,17,11,1,0,1,0,27.63747125407729
15,31,10,0,1,1,0,30.27202697704701
32,14,10,1,1,1,1,33.72876882876771
27,16,6,1,0,1,1,33.0389553889851
40,25,10,1,1,1,0,19.73115341241378
40,20,5,1,1,1,0,20.45397742582256
37,20,10,0,1,0,0,23.114332174574
38,20,11,1,1,1,0,22.04359255714652
27,22,13,1,1,0,0,28.208513826572396
38,23,7,1,0,1,1,24.65404416344848
41,6,9,1,1,0,0,25.59680571758128
26,27,15,1,1,1,1,30.116614510984828
28,26,8,1,1,0,1,28.448513260052174
26,19,8,0,1,1,1,33.8850007925874
36,20,12,0,0,0,0,23.63357860481498
23,11,7,0,0,1,0,35.37633724269524
24,13,11,1,0,1,1,37.116650380825874
30,19,10,1,1,1,0,26.083924990735277
31,22,6,1,0,1,1,27.7078682592344
37,33,9,0,0,1,0,17.002229739752156
43,17,8,1,1,1,0,19.59851047927621
14,22,10,0,0,1,1,39.718240310534654
19,15,6,1,1,1,1,38.34589409423066
44,14,7,0,1,1,1,25.6311779171614
30,27,13,1,1,1,0,25.546924083268458
44,23,14,1,0,0,0,18.77729508915775
36,24,9,1,1,1,1,25.80967065471732
25,20,12,1,1,0,0,29.13480445218152
14,26,9,0,1,1,1,38.11102260089249
14,16,9,1,1,1,1,42.04436642332777
36,29,13,1,0,1,0,18.562226690764085
34,16,14,1,1,1,0,29.3783232173476
34,16,10,0,1,0,0,27.82927394948091
16,23,12,1,0,1,1,37.46452571962557
31,20,11,1,1,1,0,26.5743558213776
20,28,11,1,1,1,1,32.17160048419331
18,21,5,1,1,1,1,36.86239597091261
31,19,4,1,0,0,0,24.915516134460525
35,20,9,1,1,0,0,24.774104635820542
41,14,7,0,1,1,0,23.644565367503056
33,14,10,1,1,0,0,27.086143658281028
21,17,6,0,1,1,1,35.62537727849887
32,21,12,0,1,0,0,27.152609798203923
34,24,16,1,0,1,0,24.618746464658045
19,27,12,1,1,1,0,29.685891903218828
34,25,12,0,1,0,0,21.358020024853914
29,24,15,1,1,1,0,26.75942496909124
28,15,9,1,0,1,1,35.57465911340959
32,30,8,0,1,1,0,19.156617475091544
32,15,9,1,1,1,0,26.937702633130865
27,16,1,1,0,1,1,31.271296192161568
57,25,12,1,1,1,0,10.686351575607576
27,11,5,1,1,1,0,30.853091756650105
31,25,8,1,0,1,1,27.06453425902622
31,17,4,0,0,1,1,31.199433450254112
24,19,9,0,1,0,0,28.37405900229266
39,29,12,1,0,1,1,23.10134939364174
19,31,10,1,0,1,1,31.64532157590603
32,15,9,1,1,1,1,30.864873379268744
33,17,13,1,1,1,0,27.85045306813017
36,13,8,1,1,1,1,29.53760979959229
43,17,8,1,1,1,0,21.234348968308705
27,15,6,1,1,1,1,34.72976552547975
28,16,9,0,1,0,0,28.86050398946812
35,21,12,0,0,1,0,25.802885691572158
21,11,13,0,0,0,0,35.395539156925054
25,24,8,1,0,1,1,29.883463450412176
21,26,18,1,1,1,0,30.666091815343144
30,27,11,1,1,1,1,29.097435522506373
22,11,12,1,1,1,0,34.8576423829572
19,11,15,0,1,1,0,36.81580838570176
23,26,8,1,1,0,0,27.24519805194037
37,24,10,0,0,1,0,22.560983836411555
35,22,8,0,1,0,0,25.11256801178157
23,34,8,0,0,0,0,24.78639481118943
33,25,5,1,1,1,1,27.37524847494859
28,21,6,0,0,0,0,27.684422333264244
14,18,9,1,1,1,1,38.64080715690021
29,22,6,1,0,0,0,25.308408921931225
23,19,6,1,1,0,1,34.977106595395185
22,22,12,1,1,1,1,34.02081339009053
29,22,4,1,1,0,0,24.35816794170576
18,13,3,1,0,0,0,37.1707169792616
29,25,12,1,1,1,0,26.468331545562133
33,30,14,1,1,1,0,21.429363072639944
31,15,5,1,0,1,1,31.062075702302675
40,25,10,1,1,1,0,18.54899138356194
33,25,10,1,0,1,0,23.529685001393783
21,23,12,1,0,1,0,30.06432572631656
27,20,9,0,1,0,0,28.780487342821587
34,17,4,1,0,1,0,24.356741447571
39,25,9,0,1,0,0,19.7470927523816
37,17,13,0,0,0,0,26.094468893369523
49,15,15,1,0,1,0,20.456595752540277
41,29,11,1,1,1,0,14.817354861534486
26,27,15,1,1,0,0,28.024282631353888
23,11,7,0,0,1,1,37.474397088091344
27,19,4,1,1,1,0,26.581868145775665
26,20,13,0,1,1,0,30.652805914559472
29,27,6,1,0,0,0,23.51065162710365
10,31,10,1,1,1,1,36.675492066479066
20,26,7,1,1,1,1,34.65139287932797
22,26,10,1,1,1,0,27.766193613070936
31,9,8,1,0,1,1,35.11848924878061
12,27,12,1,1,0,0,33.607956630147484
29,11,10,0,0,0,0,31.84502457674009
22,19,5,1,1,0,1,34.95798536390428
26,17,14,1,0,1,1,36.41852905134253
17,22,6,1,1,1,1,35.27262479277915
24,20,6,1,0,0,1,32.322741663288895
24,20,10,1,1,0,1,32.52525420269661
34,21,12,1,1,1,0,24.22008001972549
31,9,12,1,1,1,1,36.31994164890348
40,20,9,1,1,1,0,20.53994961375804
29,23,8,1,1,0,1,29.985008658366112
40,22,8,1,0,1,0,18.035631317656332
34,27,8,0,1,1,1,25.931865842490968
32,31,10,1,1,0,0,20.591681426741523
30,24,9,1,1,0,0,26.25838167395485
44,23,10,1,0,1,1,19.53186167714954
27,18,9,1,1,0,0,28.757449567099613
35,20,8,0,1,0,0,25.00129854290469
34,25,6,1,1,1,1,25.988567191947222
37,29,12,1,1,0,0,20.35234832663104
18,14,8,1,0,1,1,40.68911810001228
27,17,12,1,1,1,1,35.00995785545424
31,27,7,1,0,1,1,25.443829899478995
32,7,12,0,1,1,0,34.381281466244026
36,20,10,0,0,1,1,28.41881401506982
21,20,12,1,0,1,0,31.83016252071436
21,21,9,1,1,1,1,34.434422812547204
26,10,8,1,1,0,0,32.962741819482915
37,17,10,1,0,0,0,24.42146894597876
24,28,7,0,0,0,1,30.541356838301503
28,9,8,1,0,1,1,37.94652487851974
27,18,6,1,1,1,1,33.21786648307376
39,29,9,1,0,1,0,17.111924849308817
37,17,10,1,1,0,0,25.82556517690817
32,27,6,1,0,1,1,25.503978187566112
28,22,11,1,0,1,1,30.041851664806345
37,22,6,1,0,1,1,25.548214565001643
21,15,13,0,0,1,0,34.56127297083721
36,32,10,1,1,1,0,19.43454851944653
25,22,6,1,0,1,0,26.96038577433616
24,18,9,0,0,0,1,34.48477859163337
40,24,11,1,1,1,1,22.264705155051477
20,17,8,0,1,1,1,37.8861087312505
30,21,8,1,1,0,1,30.949162508806086
27,21,13,0,1,0,0,29.21051983404176
25,18,10,0,1,1,0,30.77709704953625
31,19,5,0,1,0,1,30.457688611846084
34,26,8,0,1,1,1,25.726620426666976
30,17,8,1,1,1,0,29.276448823847275
25,25,11,0,1,1,0,28.444897212046097
33,17,11,0,1,0,0,29.58568925564492
31,13,4,0,1,0,1,33.648839525822794
20,22,9,1,1,1,1,36.67470170083224
35,13,10,1,1,1,0,27.172728731573784
11,7,11,0,1,1,1,49.046206890560335
23,21,9,1,1,1,0,30.352290979885336
31,11,4,1,1,1,1,33.2318077048912
26,24,11,1,1,0,0,28.732141808276207
39,20,13,1,0,1,0,23.14314537766596
26,21,12,1,0,1,0,30.0249793225735
31,16,12,1,1,0,0,27.632521562600285
31,23,5,1,0,1,1,26.981767108599943
31,16,5,0,1,1,1,30.42167320138912
22,13,15,1,1,1,0,36.70777675444804
35,18,3,0,1,1,1,27.01151628189438
28,24,9,0,1,1,0,24.72979899696876
32,18,10,1,1,1,1,30.81927616495804
33,12,8,1,1,1,1,33.06809038864292
31,10,13,1,1,1,0,31.85610057690921
23,7,13,1,1,0,0,37.450776058575286
34,15,9,0,1,1,1,31.5048827776984
27,19,8,1,1,1,0,27.62468857429903
32,13,7,0,1,1,1,33.54387274663483
28,6,16,1,1,0,0,35.43185787810257
30,8,10,1,1,1,0,32.50185290763598
22,25,8,1,1,1,0,30.65211293042193
31,18,9,1,1,1,0,26.51460849382198
23,24,10,1,1,1,0,29.94959503585273
43,16,14,0,1,0,0,22.88965990699315
29,23,12,1,0,0,0,26.53300978472648
28,19,10,0,0,1,1,32.53195066091157
31,19,11,1,1,1,1,31.6363758028496
36,12,11,0,1,1,0,28.16676325516116
36,17,8,0,1,1,1,28.25227756743582
40,17,9,1,0,1,0,22.93725090848018
28,12,9,1,0,1,1,34.50082324560074
27,15,10,1,1,1,0,28.910805242675032
34,24,9,0,0,1,0,22.56413514116024
33,17,11,1,0,0,0,27.22355212509897
39,19,12,1,1,0,0,23.973486140896263
32,13,8,1,1,1,1,33.63393794922914
37,13,10,1,0,1,1,31.10340485523636
24,22,11,1,1,0,1,33.460310480277634
24,17,11,1,1,1,0,32.97205691655024
19,18,9,0,1,1,1,39.84417684899219
20,19,9,1,0,0,0,34.17318833079439
32,14,13,1,1,1,0,30.35669676497728
35,26,7,0,1,0,1,24.72323274992904
23,23,11,1,0,1,0,29.732365929988525
38,23,11,1,1,0,0,21.28692536789208
38,31,13,1,1,1,0,20.425570640638547
38,33,13,0,1,0,0,17.09731014467166
32,25,12,1,1,1,0,24.707408220996744
44,22,9,1,0,1,0,17.38187326866912
30,29,12,1,0,1,0,23.56628667355744
32,17,10,0,1,0,0,29.034401340069287
21,16,9,0,1,1,1,38.322253665677714
22,11,12,0,1,1,1,40.57126285488447
23,14,12,0,1,1,1,38.69383166354264
24,30,12,1,0,1,1,29.772148206284776
30,21,13,1,0,1,1,31.26174744491533
58,11,15,1,1,1,0,17.58173856609791
27,19,6,1,1,1,1,31.50443993292212
30,21,11,1,1,1,1,30.87662590466871
28,20,9,1,1,1,1,32.705595686936235
27,20,10,1,1,1,1,33.456053981168324
28,27,6,1,1,1,0,22.84337225148926
21,18,5,0,0,1,1,35.45176187168018
31,14,15,1,0,1,1,34.40750381848305
27,17,6,1,1,1,1,32.09109409788451
21,14,11,1,0,1,1,39.22568882392275
14,20,9,1,1,0,0,33.5248572035725
53,16,12,0,1,1,0,16.7087446054219
17,19,14,1,1,0,0,33.63445474353251
26,16,6,1,1,1,1,35.37402634270144
24,22,6,1,1,1,1,32.49920133154912
40,24,7,1,1,1,1,24.53509267335308
26,9,11,1,1,0,1,38.95046529644134
25,13,11,1,1,1,1,36.2589276368366
38,25,8,1,1,1,0,17.55831325161749
45,15,7,1,1,0,0,19.401928194531955
37,20,10,1,1,1,0,22.88714341492165
29,17,3,1,1,1,1,29.60254773507549
27,13,11,1,0,0,0,33.302964069566855
26,21,13,1,1,1,1,32.10907648989838
38,11,8,1,0,0,1,30.95449870881673
19,19,8,0,1,1,1,38.4418748613257
24,11,13,1,1,1,1,39.99074514146703
21,19,10,1,0,1,1,35.542946939701665
34,17,9,0,1,0,0,27.263332300338845
35,21,8,0,0,1,1,28.38556797764153
28,21,7,1,1,1,1,29.191645289533152
25,18,6,0,0,0,0,31.175210147002183
26,15,4,0,1,0,1,34.05855248710307
43,18,15,1,1,1,0,20.97587457608458
37,16,8,1,0,1,1,28.503681414401576
44,26,15,1,1,0,0,15.05870737824302
40,19,9,0,0,1,0,21.571423178810093
36,15,10,1,1,0,0,26.910606724777416
26,23,7,0,1,1,1,32.61246260297653
15,16,15,1,1,0,0,36.73445665819106
18,29,7,1,1,1,0,29.77658857360189
17,18,9,1,1,1,1,37.35976919317021
47,18,10,0,0,1,1,24.74493651564165
14,16,6,1,1,0,1,40.670903787892605
39,10,12,0,1,1,1,31.884555805833863
26,17,13,0,1,0,0,31.749988867505596
34,33,7,1,1,0,0,17.279173886256768
39,22,16,1,1,1,0,21.970187434142403
37,16,11,1,1,1,1,30.85875731708095
23,18,9,1,1,1,1,36.6096091748726
16,19,11,1,1,1,0,35.30642109415347
40,21,8,0,0,0,1,24.32851471227313
38,20,12,0,0,1,0,23.302787573839385
20,25,7,0,1,1,1,34.371079616376406
22,22,4,1,1,0,1,33.34198052517024
33,26,13,0,0,1,1,26.53775803402944
13,20,9,1,0,1,1,40.4956712813124
36,15,13,0,1,1,1,32.011162945237174
35,22,2,1,1,1,1,25.42725962257511
17,21,16,1,1,1,0,35.27178632179604
38,16,7,0,1,1,0,25.76500953106318
34,22,8,1,1,1,0,21.368473833331688
18,29,9,0,1,0,0,27.801714358411896
19,34,10,1,1,1,1,29.110895382829494
42,30,9,1,1,1,0,14.342777534925784
36,18,12,1,1,0,0,26.8038127415572
21,14,9,0,1,0,1,38.53001320381616
31,23,8,1,1,0,0,24.06611365688117
42,16,8,1,0,1,0,21.930299721214094
39,24,10,0,1,1,0,20.67214789771621
30,29,4,0,1,0,1,25.644668974117888
46,25,9,1,1,1,0,13.309863105142073
36,21,9,1,1,1,0,22.256688492392836
30,20,11,1,1,0,0,28.07229718127984
20,19,8,1,0,1,0,32.157193922693104
33,17,0,1,1,1,1,28.82076378037324
15,15,11,1,0,1,1,41.5773852270822
37,22,15,0,1,0,0,23.208323695478075
