defendant_age,judge_experience_years,gender,public_defender_assigned,prior_convictions,public_defender_experience_years,legal_representation_hours,trial_length_days
5,32,0,1,0,10,27,213.926191053892
9,28,0,1,1,10,22,183.11248414807383
13,29,0,0,1,10,20,173.32792582047443
8,27,0,0,0,7,24,195.591750216862
11,29,0,0,1,7,20,178.73214643112755
4,27,1,1,1,9,27,206.07783465631243
9,30,0,1,1,9,25,202.92542463151636
9,33,1,0,0,8,23,190.43837273235283
11,30,0,1,1,9,23,191.1129620165669
12,34,1,1,1,11,23,190.77301560141623
6,27,1,1,1,11,29,223.3074858610229
10,32,1,1,0,8,21,179.3149805241957
5,25,0,0,1,10,26,205.49405149512785
10,27,0,0,1,8,24,199.9869782702509
9,32,1,1,0,10,23,190.31716139787957
6,28,0,0,1,17,28,215.40062411534944
9,27,0,0,1,8,22,183.13684269582623
9,29,1,1,1,12,24,194.5072493241918
11,31,0,0,0,14,26,210.88717407535287
9,26,1,1,0,9,24,192.82913059115936
9,26,1,1,1,12,27,209.9881811269912
8,28,0,1,1,7,24,197.86408937798737
3,29,0,0,0,10,30,232.4078502662913
6,28,1,0,0,10,28,218.192740003416
5,29,1,1,1,11,29,223.40648446665736
11,28,0,0,1,6,22,185.1596539003367
10,29,1,0,0,11,25,202.58977550540345
9,29,1,0,0,9,25,203.7893580732708
7,29,1,1,0,11,29,224.45445074492864
12,28,0,1,1,11,22,181.8273156240038
19,29,1,1,1,10,17,154.5572162433555
14,31,0,1,0,8,19,170.19933514203603
6,31,1,0,0,9,26,209.4670236120441
9,30,1,1,0,11,23,189.2489416425444
8,30,0,0,1,9,23,191.50889074263583
10,28,0,0,1,10,22,183.6687808029587
6,29,0,1,1,10,28,219.88929698391613
2,29,1,0,1,10,28,215.1921017944725
13,25,0,1,1,7,21,181.0957781914073
6,31,1,1,0,11,26,207.2196363506921
15,34,1,1,0,11,21,183.2919175801755
10,24,0,1,0,10,24,192.10515354127267
8,27,0,1,1,9,27,213.24782300856324
13,34,0,0,0,13,20,176.53700382932874
11,32,0,0,1,8,24,201.83552418863184
12,31,0,1,1,8,21,180.83329932242236
13,26,0,1,0,14,27,214.54674845801432
10,31,0,1,0,11,24,198.19859845016757
10,26,1,0,0,8,22,182.31608298902344
7,29,0,0,0,10,25,201.9504126454656
7,28,1,0,0,10,25,200.95587779874683
13,30,0,1,1,10,22,186.63069213765417
12,32,1,1,0,11,22,187.32137889622496
10,33,0,0,0,13,25,207.27123773592376
10,28,1,1,0,12,26,207.81052417303115
3,32,0,0,1,9,28,220.95455025016275
17,28,0,0,0,9,21,179.22345021180217
7,30,1,0,0,13,27,213.56706869267825
7,32,1,0,0,10,26,208.65671754547543
14,34,0,1,1,10,23,195.9973511500164
7,32,1,0,0,7,25,205.55731456544947
7,27,1,0,0,9,25,202.2935087222181
10,32,0,1,1,9,21,181.29475410311488
8,27,0,0,1,9,24,193.95316961895185
2,32,1,1,1,10,26,202.62184173873064
11,28,0,1,0,9,22,185.47683098540384
8,31,1,1,1,9,20,169.59978761492923
7,27,1,1,1,8,26,206.24844101414143
8,28,1,0,0,10,23,188.38708896131877
9,31,0,1,0,11,25,203.4865793280431
10,27,0,1,1,10,25,203.2551323428511
10,26,0,0,1,8,24,197.319763167135
5,32,0,1,0,10,28,222.65908904441804
10,29,0,1,1,11,25,204.6148012391434
8,33,1,1,1,8,24,201.55251850901288
13,31,1,1,0,12,22,185.12148393501425
10,35,0,1,1,7,22,189.35509232408128
11,28,1,0,0,8,22,184.94007063693687
13,31,1,0,1,10,22,187.0813768142381
9,28,0,0,1,10,25,200.54123085578908
5,27,1,0,1,12,28,216.09457378880649
8,27,1,0,0,7,24,192.9761225196748
4,29,0,0,1,7,26,208.16079958932772
3,29,0,1,1,11,30,228.894421303068
8,30,1,1,0,10,22,182.4140576476583
12,28,1,0,0,13,25,202.58729814100977
5,31,1,0,1,11,26,206.0242343759865
14,29,1,1,1,12,24,200.33203670610632
5,28,0,1,0,6,28,216.37492381013772
12,32,0,0,0,10,21,179.55356902552452
8,31,1,1,0,11,24,194.93914607734916
10,35,1,0,0,12,23,194.13906849949765
9,27,0,0,1,11,25,200.7176102860524
14,27,0,0,0,10,23,194.42626512475107
6,30,1,0,1,12,25,200.3307117473738
2,25,0,0,1,6,24,192.499891798839
10,28,0,0,1,7,22,185.6988598475529
8,29,1,0,0,8,24,194.601970999784
13,29,1,0,1,10,22,186.6575853383265
9,30,0,0,1,8,24,198.0417258401264
12,27,1,0,1,15,27,213.26517489047689
8,26,1,1,0,9,24,192.9127859598977
12,30,1,1,1,10,24,196.58137348014816
6,29,1,1,0,10,25,200.89708413854365
9,31,1,1,0,10,23,190.52769595171796
9,31,0,0,1,9,23,193.304479233444
9,28,0,1,1,10,25,203.46797299870184
7,30,1,1,1,8,24,194.36362622825868
15,27,0,1,0,12,22,182.6958192453194
6,27,0,1,0,10,26,204.91878076483425
6,29,0,0,1,13,28,216.2675658582055
8,35,0,1,0,12,26,211.4461401708465
9,26,1,0,1,11,24,193.55368568800083
8,27,0,0,0,9,27,213.88106656612817
13,30,0,0,1,12,23,193.57480804534745
7,33,1,0,1,8,23,192.4899600997845
11,29,0,0,0,11,25,202.81830573261
9,29,0,0,0,9,26,208.9664520631456
12,25,1,1,0,9,26,208.01124958589037
7,30,1,1,0,8,24,196.66963687182715
7,30,0,0,1,12,25,203.0804796049582
10,30,1,1,0,9,24,196.9600502202769
12,29,1,0,0,13,24,194.9744749666508
7,33,0,0,1,12,26,212.11817944045964
10,28,0,0,0,10,23,189.1656856803676
11,30,1,0,1,8,22,186.2446923168412
14,30,0,1,1,9,23,192.1891960614292
14,32,0,1,1,11,21,183.12561160930323
8,32,1,0,0,13,25,201.1971348741613
11,29,1,1,0,12,24,193.0000677335313
10,28,0,0,1,10,23,191.17353147823147
9,29,0,0,1,11,23,191.181414770127
9,28,0,1,0,9,22,185.75051291106715
3,32,1,1,1,10,24,194.1122566432315
6,29,0,1,1,6,26,208.76561021463905
13,26,1,1,1,15,23,187.08368419488795
9,31,0,1,0,12,24,195.36350817125745
7,30,1,1,1,9,25,201.88151201883235
9,31,1,1,0,9,25,203.19770770689024
6,29,0,1,0,13,28,218.54579081308137
6,31,0,0,1,11,28,220.8206167915492
6,29,1,0,0,10,26,206.14242506983933
6,29,0,0,0,10,26,205.0303131037364
10,33,0,1,0,11,24,200.24943247010265
5,31,1,1,0,11,27,213.05605999214364
3,31,1,0,0,11,29,223.7731081749802
9,27,0,1,1,13,26,205.6775082761529
6,33,1,0,0,9,27,216.4781135773989
7,29,0,1,1,8,25,202.7473598576531
10,30,0,1,0,10,25,204.10671521684887
12,28,1,0,1,11,22,182.87125251554903
7,32,0,0,1,9,23,190.6456898057724
11,27,0,0,0,8,23,191.2780248406621
12,29,0,1,0,10,23,190.05905006602643
9,36,1,0,1,7,21,184.52477796191235
10,31,1,0,1,8,23,193.29692211951277
6,30,0,0,0,10,29,225.67381855893197
10,31,1,1,1,9,24,196.836262707665
4,32,1,1,0,9,28,220.7922134007796
5,32,0,1,1,14,28,217.5803085724856
14,28,1,0,0,6,20,176.01983789732148
10,29,1,0,0,8,23,191.87467935549915
4,30,1,0,0,11,25,199.17253041328956
8,31,1,0,0,7,22,185.98041186327063
9,28,1,0,1,12,25,199.49619467417892
9,34,0,1,1,12,25,202.162122585134
16,26,0,1,0,6,20,175.9466562626844
13,23,0,0,1,11,23,188.99036796157645
10,26,0,1,1,11,24,192.65811232865912
10,31,0,0,1,12,26,210.80970535012264
8,31,1,1,0,11,24,194.74784904157545
11,30,0,0,1,11,26,211.0654246057438
12,29,0,1,1,9,23,190.2008577391531
11,34,1,0,1,10,20,175.74175360974587
12,30,1,0,1,12,23,193.72196973492143
12,31,1,0,1,10,23,193.4823889565771
11,28,1,1,1,10,23,188.05342202778388
11,26,1,0,1,11,24,195.9429717373778
6,31,1,0,0,11,29,227.0675306694164
12,27,0,1,0,11,24,196.7139064641625
11,28,0,1,0,8,23,189.79462724316843
9,33,1,0,1,10,23,191.57407737278783
10,31,1,1,0,6,20,174.34600630703645
12,29,1,1,1,10,20,172.85263732038774
10,29,1,1,0,9,22,184.3489885249998
10,30,1,0,0,12,25,205.82894101180068
11,31,1,0,0,10,24,197.8909125499612
11,26,0,1,0,13,28,220.1695749764585
8,31,1,1,0,10,26,209.4020787070205
11,28,1,0,1,10,24,198.1757990266748
7,26,1,1,0,14,28,214.89357873435907
11,29,1,0,1,10,23,189.70917914113755
4,28,1,1,1,12,29,220.284723695425
11,30,0,1,0,8,22,185.3713170936053
10,30,0,1,1,13,25,201.34000783392963
13,29,1,1,0,11,25,203.2614028256316
6,34,1,1,0,12,25,202.8220941183721
10,29,1,1,1,11,26,206.8237398002495
8,27,0,0,1,15,29,222.22488853967653
11,29,1,1,0,10,24,193.34094300473436
11,28,1,0,0,11,24,193.33155717335245
12,28,1,0,1,12,22,183.6283557292216
7,29,0,0,1,15,27,213.38955131208567
11,30,0,1,0,12,24,197.7845417782281
7,31,1,0,1,10,26,209.1426187204991
8,29,0,1,1,13,26,206.92035749872164
7,30,1,1,1,11,25,203.60673827057835
11,27,0,1,0,11,26,205.36511619401065
14,29,1,0,1,11,21,176.93355145768388
4,28,0,1,0,14,30,230.92610375138253
11,33,0,1,0,12,23,192.50753916226893
13,32,1,1,1,10,22,184.9177153257342
7,29,0,0,0,11,29,227.5040577434655
11,29,1,0,1,11,23,189.7924360272373
8,34,0,0,0,9,23,193.7331367723939
11,25,1,0,0,9,25,201.81875451180076
6,28,1,0,0,12,27,210.5839151964249
9,29,0,1,1,13,24,195.71070771521565
14,29,1,0,1,11,20,172.78555045689143
13,31,0,0,1,9,21,181.754297486878
14,31,0,1,0,7,19,171.9996207403774
7,27,0,1,0,6,23,188.689986184236
8,26,1,0,0,13,25,197.85722020390267
7,29,1,0,1,10,26,209.8972363306721
8,30,1,1,0,11,24,194.03199077940013
7,28,0,0,1,7,25,201.51326047356952
7,26,1,1,0,11,26,202.68592442414288
11,31,1,0,1,11,23,191.8984485994553
8,33,1,0,1,10,26,209.35509947985628
10,32,0,0,0,7,21,182.9473230951785
7,27,1,0,1,10,24,194.7712850353262
11,31,0,0,0,8,23,195.0713702163548
12,30,0,0,0,11,24,199.62740012538407
13,28,0,0,0,8,19,171.13753668262737
10,31,0,1,0,12,25,203.86046058947585
10,28,1,1,1,10,25,200.3473403562224
8,31,1,1,1,11,23,189.84788638321925
7,27,1,0,1,11,26,205.5621698808388
11,31,0,0,1,16,24,196.2576540369651
12,29,0,0,0,10,23,192.211185388298
10,30,0,0,1,13,23,190.63203821145487
12,29,1,1,0,5,19,167.11226345690685
12,29,0,0,1,13,21,180.44114529088012
7,28,1,1,1,6,26,207.3647146437791
5,30,0,1,1,12,26,207.21762374487324
9,28,0,1,1,9,24,194.7652349198824
12,28,0,0,1,14,25,202.9453784202988
13,27,0,1,1,10,22,184.9621395341077
12,30,1,1,1,8,24,200.33674220153424
8,31,0,0,0,9,23,191.92792653067076
14,27,0,1,1,13,23,192.09858004715497
16,30,0,1,0,11,22,189.81964332000803
8,28,1,0,0,10,24,193.8159230184103
7,29,1,0,0,15,28,216.0474177478972
13,29,0,0,0,9,20,174.2879887597958
10,27,0,1,1,7,23,189.44905169054545
14,29,1,1,0,11,21,179.91094323342062
10,33,0,0,0,11,26,210.99277025845888
12,29,1,1,1,10,24,196.38194119355143
8,29,1,0,1,8,24,195.2039057864808
10,30,0,0,1,9,22,186.01531199663847
5,33,0,0,0,12,27,215.30887298185056
12,30,0,0,1,9,22,189.50556185581584
10,30,0,1,0,11,23,191.08058876916053
7,30,0,1,1,10,23,188.4556799527748
7,30,1,1,0,7,24,196.1958393491243
7,34,1,0,1,6,22,186.03769259941197
7,31,1,0,0,9,25,201.8153151859462
10,27,1,0,0,11,24,192.85529363409856
11,30,1,1,0,13,24,195.4659534376966
13,31,1,0,1,13,24,197.880435163333
11,33,1,0,0,8,23,197.21449888066385
13,29,1,1,1,10,21,178.96814041190086
12,28,0,0,1,9,23,191.7127510017456
9,30,1,1,0,7,23,190.26758255940695
7,30,1,1,1,10,26,206.29691898599845
10,27,0,1,0,8,22,183.14002631494773
4,33,0,1,1,9,26,207.84268434934376
11,24,1,0,0,12,26,205.208852458446
8,29,0,0,0,9,26,209.2650247698351
12,29,0,1,0,13,23,189.2969328591201
7,34,1,1,1,8,23,189.64161650290828
12,36,1,1,1,8,20,175.86081129455573
7,27,0,0,1,9,25,201.62821242641468
11,30,1,1,0,9,22,185.2191079639736
11,33,1,0,1,12,23,194.72056571595107
9,27,1,1,0,7,21,179.54049765569218
11,25,0,0,0,10,25,200.45104346316373
6,32,0,1,1,7,23,191.2599061536584
12,26,1,0,0,9,23,191.6401821016732
7,31,0,0,1,12,25,202.8987866844862
9,30,0,1,1,13,24,195.3551856713255
14,30,1,0,0,14,28,224.16925907427412
9,30,0,0,0,13,25,201.3542620800073
5,29,0,0,1,10,27,212.56124709220336
9,32,0,1,0,7,23,190.40658505231383
13,28,1,0,0,10,23,192.6851862885145
7,30,1,0,0,15,30,230.89004696687704
11,28,1,0,1,9,26,210.39469043723497
7,29,1,0,0,10,28,220.6894058063118
14,29,0,0,0,10,23,194.9569529862491
11,29,0,0,1,9,21,180.32206261763477
9,28,1,0,1,14,27,214.4063218416891
12,28,1,0,0,12,24,197.26170527865037
9,32,1,0,1,7,21,179.73775989370793
8,29,1,0,1,13,27,214.44693865250545
12,29,1,1,1,9,24,197.83854002512112
4,28,1,1,1,11,30,228.1840969574204
7,30,0,1,1,7,23,189.9668437502634
10,28,1,0,0,13,26,207.93239635730689
8,28,0,1,1,9,24,196.34167871090224
11,32,0,1,1,9,24,201.66683522300107
9,30,0,1,0,12,26,210.9024052867112
11,30,1,0,1,8,22,187.37066336871797
12,33,1,0,1,12,24,198.65236413063988
7,31,1,1,1,11,27,214.56308246372149
8,32,0,0,1,10,26,212.69037888530795
9,27,0,1,1,7,20,171.29499991441787
12,27,1,0,0,10,24,195.30719671902625
6,28,1,1,0,12,26,203.21847534681427
9,28,0,0,1,8,21,180.7119661590187
9,30,1,0,0,14,27,214.02271745397232
8,29,1,0,0,10,24,194.0421727591636
4,28,0,0,1,8,25,201.52567504340973
10,33,0,1,0,8,23,193.41982612705607
12,29,1,1,0,9,21,177.3399099579435
7,29,1,1,1,13,27,209.42874827190263
10,32,0,1,1,10,23,192.75904546941308
8,32,1,1,1,11,25,202.7111428133364
9,26,0,0,0,10,26,209.261960059884
10,29,1,0,0,12,25,199.97192805182505
10,32,0,0,1,9,23,195.0574313473749
11,30,0,1,0,10,22,187.3750325815682
5,31,1,1,0,11,25,198.7177354478233
6,23,0,0,0,14,29,222.824883836852
2,29,1,1,1,11,29,219.0898769299048
11,29,1,1,0,12,25,201.80829261981165
12,32,0,0,0,12,24,201.1210770700092
13,29,0,1,1,8,21,180.0998304535749
11,31,1,0,1,9,22,187.7388132048364
7,28,0,1,0,10,24,190.61311287634777
16,31,0,1,0,10,21,183.3494064222435
8,31,0,1,0,9,26,208.8442411940861
14,32,1,1,1,9,20,176.91043480566594
10,28,0,0,1,14,26,209.97689632565127
8,31,1,0,1,13,26,208.0642859863224
12,32,1,1,0,9,20,176.20045368499422
8,35,0,0,1,11,22,188.70175427037825
8,29,0,1,0,8,23,191.33198602479595
11,27,0,0,0,10,25,203.2028731546625
9,26,1,1,0,15,28,215.38933205252349
9,31,1,1,1,8,19,167.5313782230219
12,27,0,1,1,14,29,224.91101160681484
6,28,0,0,1,10,26,204.4021489082342
11,27,0,0,0,8,24,196.1295969258516
12,32,1,1,1,12,22,185.14317526267524
10,28,0,1,0,9,24,193.7304695057692
17,30,1,0,1,8,20,177.10254619832386
11,33,1,1,0,12,23,191.15002633374328
13,32,1,1,1,12,24,200.6158687125068
10,31,0,0,1,11,25,208.3864643710274
11,29,1,1,1,11,25,201.66809449754743
5,30,0,1,1,9,26,207.1536490673381
6,30,0,1,1,11,26,205.60849797415528
6,27,0,0,1,9,25,199.91860077942425
8,32,1,1,0,14,27,211.95161954841151
10,24,0,0,1,13,26,204.57393295469973
7,30,0,0,1,8,25,203.38368697605296
