education_years,job_experience_years,has_college_degree,is_union_member,invited_to_skill_training,attended_skill_training,annual_income
2,2,0,0,0,1,61.01343090819159
0,2,1,1,0,0,52.54662214212365
1,2,1,0,0,0,53.22521165994306
1,2,0,0,1,0,52.66699682451977
3,2,1,0,0,1,62.48719006435608
3,2,1,0,0,0,52.49675481489902
5,3,0,1,1,1,61.805774141919
3,2,1,0,0,0,52.1087064490519
10,2,0,0,1,1,61.10684286249889
1,2,0,0,1,1,61.07924771351291
5,3,1,0,0,1,60.34616639086615
3,2,1,0,0,0,54.0284347970411
5,3,1,0,1,0,53.74914598413705
4,2,0,1,1,1,61.630411407658826
2,3,0,0,1,0,51.98897160231212
3,2,0,1,0,0,54.46319865594372
5,2,0,0,1,1,59.38313131323308
2,2,0,0,1,0,52.64118455825354
4,2,0,0,1,0,53.98559710770503
1,2,0,0,0,1,61.82723935518626
6,3,1,1,1,0,53.09275289853522
0,3,0,0,1,0,53.3371091103309
6,2,0,1,0,1,62.99135747899813
1,2,0,1,0,0,52.052265060869786
1,3,0,0,0,1,60.98445544764848
4,3,0,1,1,0,52.319550176649045
3,3,0,0,1,0,54.01004874391342
3,3,0,1,1,0,53.9552391869135
2,3,0,0,1,1,62.16792855138337
3,3,0,1,0,1,62.84078554081159
2,3,0,1,0,0,52.68289495170939
2,2,1,0,1,1,60.89831061777046
2,1,0,0,1,1,62.335784349346646
0,2,0,1,0,0,52.8325634161167
0,3,0,1,1,0,52.83211602051316
3,2,0,0,1,0,52.922074904574
4,2,1,0,0,1,60.55444573376904
3,3,0,0,0,0,53.563193952286646
1,2,0,1,1,0,52.61576544321151
7,4,0,0,0,0,50.61118697913866
5,3,0,1,1,0,53.3694883184117
5,3,0,0,0,1,59.26280552340577
4,3,1,0,1,0,53.36818170867816
2,2,0,0,1,1,63.00338715661832
7,2,1,0,1,1,60.90615008357422
4,3,1,0,0,0,53.03971589404266
3,2,1,0,1,1,59.18516457067076
3,3,0,1,1,0,53.3723589418812
6,3,0,0,1,1,62.43454014167678
3,3,0,0,1,0,51.76437489452824
2,2,0,0,1,1,60.15232318124771
6,3,1,0,0,0,53.40635622270648
4,3,1,0,1,0,52.0417395360403
4,2,0,1,0,0,52.55547473275092
7,3,1,1,1,1,61.78102521928795
7,4,1,0,1,0,51.5581233514292
-1,3,1,0,1,0,54.73934353984573
7,3,0,0,0,0,52.53476215621322
1,3,0,0,1,0,52.948340742378505
3,3,1,0,1,1,62.27824680585906
2,2,0,1,1,0,52.14121025568927
3,2,1,0,1,1,61.01139110152883
2,3,0,0,0,1,61.304711119791165
3,3,0,1,1,1,61.09958858443972
0,3,1,0,1,1,58.86152332157464
4,3,0,1,0,1,63.43970536612485
4,2,0,1,1,1,61.852197745674445
6,3,0,1,1,0,52.09505435810405
5,3,1,1,1,0,52.015826554420784
3,3,0,0,1,1,60.26890932531017
9,3,0,0,0,1,61.730119294022245
5,3,1,0,1,1,60.12350223280767
3,3,1,0,1,1,62.20546804955413
4,3,1,1,1,1,60.03545819737578
5,2,1,0,0,0,53.227561721562914
2,2,0,1,1,1,61.20557531339763
5,3,1,0,1,0,52.376809238047045
1,2,0,1,1,1,62.03720681691611
4,2,0,0,1,1,61.16328653894552
5,3,0,0,0,0,54.37063916521065
3,3,1,0,1,1,61.55755633439538
6,3,0,0,1,1,61.86251856223021
1,2,0,1,0,0,51.67693084892585
6,3,1,0,0,1,61.49294568178429
3,2,1,0,1,1,63.43695772298695
1,3,1,0,1,1,59.69717968489876
3,2,1,1,0,0,52.36530293644616
4,2,0,0,1,0,51.7815727946341
5,3,0,0,1,0,51.67505964453056
3,2,0,1,0,0,53.32910903439996
4,2,0,0,1,1,62.15895662199958
4,4,1,0,0,1,62.61346490906283
5,2,1,0,1,1,61.93144448721407
1,2,0,1,0,1,60.73632759179348
5,3,0,1,0,0,51.65971275916744
4,3,0,0,1,1,61.3679614568454
2,2,0,0,1,1,61.61565984729625
2,3,1,0,0,0,52.57776755432819
7,2,0,1,0,1,61.06740359407331
3,3,0,1,1,1,62.26595205534591
0,4,0,0,0,0,53.05541775404354
2,2,0,0,1,0,53.125584314206
1,3,0,1,1,0,51.81353196913941
4,2,0,0,0,1,60.6400598759736
1,2,0,1,1,0,54.28645355980883
8,3,1,1,0,1,61.088489937972106
2,2,0,1,0,0,53.87693470490584
2,2,1,1,0,0,51.63491349705119
3,2,0,0,0,0,52.27458886634624
9,3,0,0,1,1,60.00018358571892
5,3,0,0,0,1,61.10272133276781
4,3,0,0,1,0,53.56566965760282
4,2,0,0,1,1,60.64620634875573
3,2,1,0,1,0,53.28782893264008
5,3,1,0,1,1,61.46512860423209
4,2,0,0,1,0,54.17267680054539
3,3,0,0,1,0,53.0517733776924
3,3,0,1,1,0,51.64678645048173
5,4,1,1,1,0,54.212195846324505
5,3,1,0,0,1,62.507492852262615
3,3,0,0,1,0,51.986592206510906
3,2,0,1,1,0,53.119240564936646
3,3,0,0,0,1,62.91486704501445
0,2,1,0,1,1,58.85209926368152
5,2,0,1,1,0,50.498875164795976
9,2,1,0,1,1,59.68939139179697
0,3,0,0,1,0,53.26985981072588
4,2,0,0,1,0,52.9507366488066
0,2,1,0,1,0,54.547539042769806
2,2,1,0,1,0,51.75986134741719
7,2,0,0,1,1,61.84077519046414
4,3,1,0,1,1,61.8510183629384
0,2,0,0,1,0,52.92727765513527
3,2,0,1,1,0,54.879680401964194
6,3,0,0,1,0,52.43711745271796
5,2,0,0,1,1,60.98058618308515
2,2,1,1,0,1,60.86615633721107
2,2,0,1,1,1,60.40644148295108
2,3,1,1,1,0,53.34473256603026
2,2,0,1,0,1,60.65788626040723
3,2,0,1,0,1,62.53769787189906
8,2,0,0,1,0,51.99273963039969
2,2,0,1,1,0,53.49085025052976
3,2,1,0,1,0,53.14169320876204
7,3,1,1,0,0,51.65619565994379
3,2,1,0,1,0,53.72925357403581
7,2,0,0,1,1,62.19501336025614
2,3,0,0,1,0,52.87219343844706
4,3,1,0,1,0,54.29817810262084
5,2,0,0,1,1,62.37649805605509
5,1,0,0,1,1,60.05432293747106
5,3,0,0,1,0,53.12673501474585
5,3,1,0,1,1,61.70956743567828
3,3,0,1,1,1,60.88133392873742
4,2,0,0,0,0,52.542915750514496
2,4,0,0,1,0,52.26071022516426
3,3,0,0,1,0,54.2546058272788
4,2,1,0,1,1,62.08075503641987
3,3,0,1,1,0,52.96202589569286
2,3,1,0,1,1,60.92995960524623
4,3,0,0,1,0,50.11080502659341
2,2,0,1,0,1,63.07732065554818
7,2,0,1,1,1,59.9122371312397
2,3,0,0,1,1,60.98643600206584
1,2,0,0,0,0,53.45813950925448
3,1,1,0,1,1,61.52231813392228
4,3,0,0,1,0,53.82243604100466
4,2,0,0,0,0,52.83879677697369
0,3,0,1,1,0,53.81461661696465
2,3,1,1,1,0,53.42722875738704
3,2,0,0,1,0,53.142083242217645
4,3,1,0,1,1,59.63173754806391
4,2,0,0,1,0,50.80132831705449
4,2,1,1,0,0,54.81231285680632
3,2,0,1,1,1,61.824272846777966
5,3,0,0,0,0,53.973412458505045
3,2,1,0,1,1,61.03914904276252
1,2,1,1,0,0,52.51099268576125
6,1,1,0,1,1,59.10942888527914
5,2,1,0,0,0,52.54161430628013
4,4,0,0,1,0,52.61934521747375
4,2,1,1,0,0,53.91145004259135
7,2,1,1,1,0,53.67798686148151
1,3,1,0,0,1,61.681047926016895
3,3,0,0,1,1,61.15485187911324
0,2,1,0,0,0,53.99412841006564
6,2,1,0,0,0,51.3511189629047
6,2,0,1,1,1,62.03057140731568
3,3,0,1,0,1,59.584173767063504
4,2,0,1,1,0,54.1807430058892
3,2,0,0,0,0,52.39832215539501
6,3,1,1,0,1,59.76641182756203
2,3,1,1,1,1,62.63433995986452
3,3,0,0,1,1,60.8610434496752
5,3,1,0,1,1,61.57973253046988
5,2,1,0,0,1,59.43408098355968
6,3,1,0,1,1,61.88404142321497
6,3,1,0,1,1,62.34432289686137
5,3,0,0,1,1,61.49399082648453
8,2,1,0,1,1,60.8855727900917
6,2,1,0,1,1,60.628843970948346
8,3,0,1,0,0,52.91548317414282
6,3,0,1,1,1,61.55143847245692
0,3,0,1,1,0,52.59939237935002
4,2,0,0,1,0,52.875290752501975
9,2,0,0,1,1,59.322697149166245
4,2,0,0,1,0,53.62617362838861
3,3,0,0,1,1,60.09719460635349
7,3,0,0,1,1,61.28621969531388
6,3,0,0,1,1,60.03365186853252
3,2,0,0,1,1,60.659067664700814
2,3,1,1,0,1,60.14068882841002
1,3,0,1,1,0,52.635530459994165
5,3,0,1,0,0,53.20701843252893
4,2,1,0,0,1,61.04115957874276
3,2,0,0,0,1,60.80347637808359
3,2,1,1,1,0,55.24006491236133
3,2,1,0,0,0,53.81283999462941
2,2,0,0,1,0,52.347026841913326
4,2,1,1,1,1,61.85609892495021
5,3,0,0,1,0,52.92370565555883
7,3,0,0,1,0,52.10385800557345
5,3,0,1,1,1,60.21514033352005
4,2,0,1,0,0,53.45612689424808
2,4,0,1,1,0,53.49601085647965
8,3,0,1,0,1,60.9735568915576
3,3,0,1,1,0,53.95197151517685
6,3,0,1,1,1,61.16559410234302
4,3,0,1,1,1,61.59789640608589
5,3,1,1,1,1,60.6930825792444
5,3,1,1,1,1,61.68500561182172
-2,2,1,0,0,0,53.39271865152623
2,3,0,0,1,0,53.21252921719467
6,2,0,0,1,1,62.19133284094701
3,3,0,1,1,1,61.72738918278749
2,2,1,0,0,0,52.22491425218403
0,2,1,0,0,0,53.26831438573397
1,2,0,0,1,0,52.90997411738063
1,2,0,0,1,0,53.68834371645341
2,2,0,0,1,1,60.7522710132949
3,2,1,0,0,0,51.15312099726075
2,3,0,0,1,1,62.44334366619701
5,3,1,0,0,1,60.41293336209459
5,2,0,1,1,1,61.921562379767735
0,3,1,1,1,1,61.48538488733975
4,2,0,0,1,1,61.09263856397288
3,2,0,0,1,0,52.99624985075653
2,3,0,0,1,0,52.777602552755525
1,3,1,0,1,0,53.426489334627135
0,2,0,0,1,0,53.80682759090909
0,1,0,0,1,0,52.87794637249437
4,3,0,0,1,1,62.51873358882151
5,4,1,1,0,1,61.8704092547822
9,2,0,0,1,1,61.644012359796186
3,3,1,0,0,0,52.66994972124767
5,2,1,0,1,0,52.81492955837519
6,2,0,0,0,1,61.66661147314042
1,2,0,0,0,0,54.79476479766538
2,2,0,0,1,0,52.33164166182078
2,2,1,1,0,0,53.256169335921626
3,2,0,1,0,1,60.21981988618112
8,2,0,0,1,1,61.89370640913162
5,2,0,0,1,0,53.59007788496409
4,3,0,0,1,1,62.70382360341358
2,3,1,0,1,1,60.256806047557184
4,3,0,0,1,1,61.077386338948095
3,3,1,1,1,1,61.30053761256286
8,2,1,1,1,1,61.4483361813696
2,3,0,0,0,1,62.2001433872707
5,2,0,1,1,1,61.36038132246577
7,3,0,0,1,1,59.33564986963079
4,3,1,1,1,1,62.7143018348919
1,3,0,0,1,0,53.13912616989442
0,2,0,1,0,0,51.96857580922233
0,2,0,0,1,0,50.47852888296287
6,3,1,0,0,0,51.337697761123295
0,2,0,0,1,1,60.047328172616304
1,3,1,0,0,1,61.458142764821005
6,4,0,1,0,0,50.94254001324016
2,2,0,1,1,0,53.10941732049393
4,3,0,0,1,0,53.3973637908569
5,3,1,0,1,1,61.70248210918008
1,3,0,0,1,1,62.22227406683348
3,3,1,0,1,1,61.98816727586126
7,3,0,1,1,1,60.54449193021871
3,3,1,1,1,0,52.88583510592007
0,2,0,0,1,0,52.89047498146733
6,3,0,1,0,1,60.74334867689426
5,2,0,0,1,1,61.9886754995858
6,2,1,1,1,1,59.38876070247287
5,2,1,0,1,1,61.27123240475923
7,3,1,1,1,1,63.31560793719152
4,2,0,0,0,0,52.16412900387911
2,2,0,0,0,1,60.272403409072
0,3,0,0,1,0,51.95095608944341
4,2,0,0,0,1,61.317648062568736
0,2,0,0,1,0,51.207888739456095
6,2,0,1,1,0,53.02819004633623
3,4,0,0,1,0,51.932638437317735
1,2,1,1,1,0,54.06688179936003
0,3,0,1,1,0,53.48856948133376
3,3,0,0,1,0,53.22669948787694
4,4,1,1,1,1,60.21900443679567
7,2,0,1,0,1,61.05513987942574
4,3,1,0,0,0,51.38652498582393
0,3,1,0,1,1,62.14435738292968
