parent_education_years,baseline_gpa,low_income_status,english_language_learner,invited_to_college_readiness_program,participated_in_college_readiness_program,final_exam_score
2,2,0,0,0,0,46.82177730541727
-2,3,1,1,1,1,57.405684387506895
5,2,1,0,1,0,45.01196430668733
9,3,0,0,1,0,44.318981213926
3,3,1,0,1,0,44.79128526183174
6,2,0,0,1,0,43.91452369214245
3,3,0,0,1,1,55.66304810722154
3,3,1,0,1,0,46.57852337604892
0,2,1,1,1,1,54.08323319707197
2,3,0,0,1,0,47.79427138741779
4,2,1,1,1,1,52.68097082973013
2,2,1,0,1,0,48.14882817854706
2,3,1,1,1,0,45.32027623093629
1,3,0,1,0,1,54.68017197345433
7,3,0,0,0,0,44.49296072255638
0,3,1,1,1,1,54.23141695578422
3,2,1,1,1,0,44.39304667071392
2,3,1,0,1,0,47.04084968060761
1,3,1,1,1,0,44.75423825888443
8,2,0,0,1,0,44.64605686662928
2,2,0,0,1,1,56.19679674309031
4,3,0,1,0,0,45.56042804925312
4,3,0,1,0,1,51.55438823163748
2,3,0,0,1,1,56.511703272079245
6,3,1,0,1,0,43.09827899295316
4,2,0,1,1,0,45.74574197387448
3,2,0,0,1,1,55.222666977705344
5,2,1,1,1,0,44.03425770471426
0,3,0,1,1,1,55.34915616677165
2,2,1,1,1,0,44.57209398098459
3,2,0,1,0,1,53.34899832348549
5,3,1,1,1,0,42.92994045777476
3,2,0,0,0,1,53.181869599171065
6,2,0,0,1,0,46.68520367337025
4,2,1,0,1,0,44.114347209637
0,3,1,1,1,1,54.27535104586669
4,2,0,1,0,0,45.45476474883966
3,2,0,0,0,1,54.40514920605882
2,2,0,0,1,1,55.63461251258461
0,3,0,1,1,1,54.42081385051922
4,3,1,1,1,1,52.82636107524015
3,2,1,0,1,0,46.23599616302144
4,1,0,0,0,0,47.087622196619456
5,2,0,1,0,0,44.2545683675502
4,3,0,0,1,1,55.81084074879448
2,3,0,0,0,1,54.32093026742912
2,2,0,1,1,1,54.11848427152546
6,2,1,1,1,0,44.14067555068451
4,1,0,0,1,0,46.09563828995069
4,2,0,0,1,1,54.57497904245099
4,2,1,0,1,1,54.63078523328295
2,4,1,0,1,1,54.82064090793986
5,2,1,0,1,0,44.10831288746618
4,3,1,0,1,1,52.90671071198884
-1,3,0,0,1,1,56.20538460458352
7,3,1,1,1,0,43.2696318912816
3,2,1,0,1,0,45.11471316017062
1,3,0,1,0,0,44.92823286704774
7,3,0,0,0,0,46.521868309668506
8,2,1,0,1,0,44.80725776583324
6,3,1,1,1,1,52.21525766438226
6,1,1,0,0,0,43.91435618962993
5,2,0,0,0,0,46.025257231371725
4,3,0,1,0,0,44.95484261135335
2,3,1,0,0,1,54.43122885644668
6,3,0,0,1,0,44.79083991631588
2,3,1,1,1,1,53.34675080051159
2,3,0,1,1,0,47.19014094475893
2,3,0,0,1,1,56.21732524908799
4,2,0,0,1,1,53.07579487344531
7,3,0,1,0,1,52.42410549029138
5,3,1,1,0,0,42.65472081790901
3,4,0,1,1,1,54.59885492496876
5,2,0,0,1,1,54.019217023371255
5,2,0,1,1,0,44.13354541201398
1,2,1,0,1,0,46.1341432509015
3,3,1,1,1,1,53.70370127620782
5,2,1,1,1,1,52.9739263937715
3,2,1,0,0,0,45.69763635630719
5,2,0,1,1,0,46.058555523325126
7,2,0,0,1,1,55.08759182686181
0,3,0,0,0,1,55.16925046725423
2,2,0,0,1,1,55.44986961829155
1,2,0,0,0,0,46.892490834170815
2,2,1,1,1,1,53.83973300011789
4,2,1,1,0,0,44.73328140422532
4,4,0,1,1,1,55.43069261232896
3,2,1,1,1,1,52.51742820701457
7,2,0,1,1,0,43.600040792306416
1,3,0,1,1,1,54.18523880567222
4,3,1,0,1,0,45.51173347682148
3,2,0,1,1,0,45.62415264967037
-1,4,0,0,0,1,57.43322041020697
4,3,0,0,1,1,56.2335853037602
3,2,0,0,1,1,53.92838484331393
4,3,0,1,1,0,44.15142879180191
0,3,1,1,0,1,54.79724719545723
4,2,1,0,1,0,43.560210082768194
5,4,0,1,0,1,53.14751865683287
5,3,1,1,1,1,51.8210795215853
4,2,0,0,1,0,45.18677583759968
4,3,0,0,1,1,55.47587832659795
4,2,1,1,1,1,52.44970308782149
2,2,0,1,1,0,45.61214904299775
5,2,0,0,0,0,45.6828070795143
5,2,1,1,1,1,52.53193014534684
3,3,1,1,0,0,45.82535451624295
5,3,1,0,1,0,43.833705640866384
4,2,0,1,1,1,53.72126404697081
6,3,0,0,0,1,54.04883510121546
0,3,0,0,1,1,55.6324124532982
5,3,0,0,1,1,53.29966983685788
4,2,0,0,1,1,54.19747560616708
2,2,0,1,1,0,46.31355008253996
3,2,0,1,1,1,52.06301755177982
0,3,1,0,1,1,58.34418268419046
6,3,0,0,0,1,53.373138129771895
5,2,1,1,1,0,44.19271615542058
4,2,1,1,1,0,45.496549307416885
3,3,0,0,1,0,43.895997776504025
4,3,0,1,0,0,45.103034236148254
1,4,0,1,1,1,53.95351922517182
4,2,0,1,1,0,43.70598176568413
1,2,1,0,1,0,46.18270579585059
4,3,1,0,1,1,53.47963909588372
0,2,1,1,0,1,54.47261623920561
6,2,1,0,0,1,52.53869660939385
1,2,0,0,1,1,56.846585484793366
0,3,1,1,0,1,55.025331518253495
2,2,1,1,0,0,44.44954351549886
4,2,0,1,1,0,44.32368733719145
2,4,0,0,0,1,55.2462305199324
3,3,0,0,1,1,54.38852536957128
3,2,0,1,1,1,54.16918411183736
4,3,1,1,1,1,53.88455002499095
3,3,0,0,1,0,47.00561301532517
4,3,1,0,1,1,52.81994794052727
-3,2,0,1,0,1,56.37774367179521
6,3,1,0,1,0,43.48519065323906
2,3,0,1,1,1,55.19444322058679
0,3,1,1,1,1,53.79349761480705
2,3,0,1,0,0,44.7076814741896
2,4,1,0,0,1,53.77780084444605
1,3,0,0,1,1,55.69219934691996
4,4,0,0,1,1,53.88406976581757
3,1,0,0,0,1,54.87788985535292
3,2,1,0,0,0,44.469915898595936
2,3,0,0,1,1,55.34964455165875
6,2,0,1,1,0,42.91351721701035
2,3,0,0,1,1,56.1421937612617
4,2,0,1,1,0,46.03784765872855
6,2,1,0,1,0,45.466656032165446
5,3,1,1,1,1,53.93432039214479
4,2,1,1,1,0,43.38944228785128
4,3,0,0,0,0,45.14386247209407
0,2,0,0,1,1,55.61955573809988
5,3,0,0,0,0,46.25778382187109
2,3,1,0,1,0,47.19339151910568
1,1,1,0,1,1,55.88722654275291
3,3,0,1,0,0,44.0951963811974
4,3,0,0,1,0,47.326350390908495
1,2,0,1,0,0,47.93516197957387
0,2,0,0,1,1,55.225023805804994
0,2,1,1,1,0,46.814565451538506
5,2,0,1,1,0,44.58571111051084
2,2,1,0,1,1,53.36581041007724
0,2,0,0,0,1,56.59786832146538
1,3,0,0,1,1,56.15681467885944
5,2,0,0,1,0,45.51382477011631
2,2,0,0,1,1,55.857576547116366
0,2,0,0,1,1,53.827656837178566
4,3,0,0,1,0,45.82499131402217
6,3,0,1,0,0,45.794889811137104
4,2,0,0,0,1,56.37394915429676
1,2,1,0,1,1,54.8260527437222
3,3,0,0,1,1,55.704343601032285
4,2,0,1,1,0,44.224737292057846
2,3,0,1,0,1,53.43309698621721
2,3,0,0,1,1,54.03162940586747
4,2,1,0,1,1,54.69225799862394
2,2,1,1,1,1,53.63860356828315
8,3,1,0,1,1,52.52950535191845
3,2,1,0,0,0,46.72999942599026
3,3,1,0,1,0,45.65123104696164
3,3,0,0,1,1,53.49817807557883
2,3,1,1,0,1,52.00586009658108
6,3,0,1,1,0,44.25851303420794
8,3,0,0,1,0,42.98726290025402
0,2,0,1,1,1,54.714496231444194
0,3,1,0,1,1,57.560046110933726
1,3,0,0,0,1,56.93907112926001
4,3,0,1,0,1,52.52450512834092
4,3,1,0,1,0,44.37803933513991
6,2,1,0,1,0,43.99118849253586
2,3,0,0,1,0,47.93522362682985
2,2,1,1,1,1,54.54846394532901
3,3,0,1,0,0,46.12688204115607
1,2,1,0,0,1,56.987716523855816
4,2,1,1,0,0,43.71554365839076
2,2,1,1,1,0,44.92770586045601
3,2,0,1,0,0,47.276950767173766
8,3,1,0,1,0,43.24802541487418
3,3,0,0,1,1,54.24505635250662
3,2,1,1,1,0,45.46791376722093
1,2,1,0,1,1,55.99365883452786
7,3,1,0,1,1,52.20359681158433
8,2,1,1,0,0,41.90133107223657
7,4,1,0,1,0,45.78954693472543
7,2,0,0,0,1,53.648499946303225
2,3,0,0,1,1,55.3114572452669
5,3,0,0,0,0,45.2313775510772
5,2,0,0,0,0,46.10054544615817
1,3,1,1,1,1,53.80630804602403
3,2,1,0,1,0,45.64628869315797
9,2,1,1,1,0,42.10025334565037
5,3,0,1,1,1,53.31441397555649
2,3,1,0,1,1,54.007828399643685
2,2,0,0,1,0,46.25046051353257
5,3,1,0,1,1,54.00470866983548
6,2,1,1,1,0,42.47337818557388
2,3,0,0,1,1,55.9671272249888
2,4,0,1,1,1,56.348569462940816
0,3,0,1,1,1,54.72308734814002
4,2,1,1,0,0,45.15625094672079
3,2,1,0,1,1,55.62141560494636
4,2,1,0,1,1,54.73581319477519
0,3,0,0,1,1,55.71072565572976
7,2,0,0,0,0,43.65769844965797
0,3,0,1,1,1,55.21845375016068
4,2,0,1,1,0,45.64622109510421
3,2,0,0,0,0,47.78208971380572
4,2,0,1,0,0,46.02200170680332
1,3,1,0,1,1,56.387718578424725
6,2,0,0,1,1,53.57127395561835
5,2,0,0,0,0,47.15641793454328
0,3,0,0,0,1,54.95938029861301
3,2,0,0,0,0,45.80011805679933
2,1,0,1,1,1,55.13240718244187
4,3,0,0,0,0,46.58293517159587
3,3,1,1,0,0,46.76855723935765
0,4,1,0,0,1,55.03136845682821
5,2,1,0,0,0,43.71286766587255
4,2,0,0,1,1,55.02131725631166
0,2,0,0,0,1,56.52184135268118
3,2,1,1,1,1,52.09568388956749
6,3,1,0,0,0,44.90663782944191
1,2,0,1,0,1,53.31163350583808
3,3,0,0,1,1,54.43727476909488
4,2,0,0,0,0,45.57461222118297
3,3,0,1,0,1,53.759353916949
1,2,1,0,1,1,55.726921932251024
4,2,0,1,0,0,45.85795665940659
3,2,0,1,1,0,44.84383065507344
5,2,0,1,1,1,54.21315632425095
2,3,0,1,1,1,53.98087460919646
1,3,0,1,0,0,45.64514720497862
3,1,0,1,0,0,45.51486417739565
1,2,0,1,1,1,55.06393844440246
6,2,1,1,1,0,44.68202049446171
5,3,1,1,1,0,44.40061523507027
3,2,1,1,1,0,45.65270351774489
3,3,1,1,0,0,44.47829587220329
0,2,0,0,1,1,54.79321481770224
2,3,0,1,1,0,46.00485983769236
3,3,1,0,1,1,55.36874580622753
5,2,0,0,1,0,45.08129819997911
1,3,1,1,1,1,53.825879727652016
6,2,0,1,1,0,45.15433415509483
2,2,0,1,0,0,44.978779370293154
6,2,0,0,1,0,44.006427697926405
3,2,1,0,1,1,55.4894533694979
3,2,1,1,1,0,44.08334453774805
8,1,1,0,1,0,43.323311197578704
2,2,0,0,1,1,57.68347531505198
5,2,0,0,1,1,53.716537523765474
0,3,1,0,0,0,46.81639028748883
4,2,1,0,1,1,53.70306628166904
4,3,1,1,1,0,43.58206243393119
3,2,0,0,1,1,54.74622275141796
5,2,1,1,0,0,42.13532870278844
2,2,1,0,1,0,46.93349032513289
6,2,0,0,1,0,45.31544555188001
3,3,0,1,1,1,53.83075993615312
4,2,1,0,1,0,46.264928775934536
4,2,1,1,1,0,44.29000272862757
5,2,0,1,1,0,43.10290406552963
5,3,1,0,1,0,45.1006888503652
7,2,1,1,0,0,43.96893487322162
5,3,0,0,1,0,44.8287798328406
6,3,0,0,1,0,46.00762725723352
0,3,0,0,1,1,57.36143326507159
0,3,1,0,1,1,55.56693219139201
2,3,0,0,0,0,45.846259282777375
4,3,0,1,0,1,54.56232878099952
4,2,1,0,1,0,46.9164930798372
6,2,0,0,1,0,45.60667668244861
0,3,0,1,1,1,54.65829429255199
4,3,0,1,1,0,44.92309920363244
3,3,0,1,1,1,53.51773588083858
6,3,0,0,1,1,54.31108228647141
0,3,1,0,1,1,56.69887216245949
1,2,0,0,1,1,55.697639547550985
4,3,0,0,1,0,45.29753357996293
2,3,0,0,1,1,55.53808040804349
9,3,0,0,1,0,43.30203784319498
5,2,1,1,0,0,46.819516157335
8,3,0,1,1,0,42.90299074556024
