teacher_age,average_study_hours,low_income_status,rural_school,online_learning,end_of_year_grades
24,13,0,1,0,42.80531891919196
30,15,0,1,1,43.88385574978573
29,9,1,1,1,48.10841168354841
34,21,0,1,1,41.380694147742624
42,20,1,0,1,43.51177777750378
39,22,1,1,0,38.18479548185187
26,16,1,0,0,38.526109353628
18,22,0,1,0,36.24864512531757
17,11,0,1,0,41.881966362878295
32,19,1,1,1,43.084577320649856
27,27,0,1,1,36.628197109869845
34,16,0,0,1,45.08017966487866
20,21,1,1,1,40.7436643984527
33,23,1,1,1,40.8651643567325
16,16,1,0,1,41.04130973217308
30,18,1,1,1,44.42886456581409
16,32,1,0,1,34.339790421348354
27,13,0,1,0,41.79819337323197
40,23,1,0,0,36.80011228894437
14,25,1,0,1,36.04854490107592
18,18,1,0,0,38.75823854835455
30,24,1,1,1,39.71401472608207
22,27,1,1,0,32.920687691175104
31,20,1,0,1,42.83330650067704
19,23,1,0,0,36.28138240689196
22,16,1,0,0,39.34794430518272
29,19,1,1,0,39.28753557134641
36,12,0,1,0,42.64436277916473
29,24,1,1,1,38.93423187112207
23,13,1,1,1,45.88045766134695
14,26,1,1,0,31.988138697633737
30,17,1,1,1,44.107853419216575
46,13,1,0,1,48.20683412675631
32,24,0,0,0,35.52141654277895
40,22,1,1,1,41.29802795091808
25,13,1,0,0,42.05653289832442
33,14,1,1,0,41.65609501534325
29,15,1,0,0,40.8955378639572
14,25,0,1,0,34.11934952723359
20,12,1,0,0,41.4409176031786
25,14,0,1,1,44.19722800866182
27,14,0,1,1,45.12489019166943
13,20,1,1,0,34.29746633335419
18,18,0,1,0,38.951976017651376
29,13,1,1,0,40.83767027953984
32,18,1,1,0,38.46249095271207
28,18,0,1,1,42.575253541993455
33,8,1,0,1,48.77694170063516
27,30,1,1,0,32.31270453710169
44,18,0,0,1,44.73516230048088
11,18,0,0,1,41.49398834177077
29,20,1,0,0,38.53263914283424
24,20,0,1,1,41.729531301022185
36,13,1,1,0,43.04057722245038
32,19,0,0,0,40.36661117009236
29,25,1,0,1,38.91600107465914
18,10,1,0,1,46.27326595020806
23,24,1,1,0,34.85085822831273
22,20,1,0,1,43.09908957314022
23,14,1,0,0,40.4517376502068
17,12,0,0,0,43.64239721303225
33,13,1,1,1,46.44359021211402
21,19,1,1,1,41.1181712316283
30,29,1,1,0,32.69745357993646
43,8,1,1,1,49.93983069133094
54,27,0,1,0,35.33536461628642
36,20,1,1,0,38.12136297694734
47,22,1,1,0,39.91202679605792
42,16,0,1,1,44.127825213106114
38,17,1,1,1,44.08629365847703
27,20,1,1,0,35.291299403954035
41,24,0,1,1,40.79006699956223
32,29,0,0,1,37.281968033022856
28,28,1,0,1,37.02244905903112
31,29,1,1,1,37.75561146694283
24,14,1,0,1,45.37110184693715
24,32,1,0,1,35.86841406190459
34,29,1,0,1,38.89679798766832
19,23,1,1,1,39.13054149327539
40,17,1,1,1,42.92458408172728
26,26,0,1,0,33.2275779317325
41,16,1,0,1,46.26296867230581
17,25,0,0,1,38.920005016447405
24,0,1,1,1,53.09890287217769
32,23,0,0,0,36.56546879052292
13,11,1,1,1,46.96063611834788
30,17,1,1,0,39.43969733972663
34,19,0,0,1,42.73962704825261
20,13,1,1,0,40.59424981387152
40,15,1,1,1,43.91325736353151
44,17,1,1,1,45.64124042362905
27,11,0,1,0,40.89921168566608
43,15,1,1,1,45.50334905741585
36,23,1,0,0,38.63478236302513
35,19,0,1,0,36.92673775836626
45,27,1,0,0,34.58517450038658
32,22,1,1,0,38.11228610859759
33,15,0,1,0,40.28333062687553
42,15,0,1,0,42.33318385415824
17,10,1,1,0,42.65557924633676
23,19,1,0,0,38.39115610209708
18,11,0,1,1,46.94958908741895
23,19,1,0,1,41.89872526016794
19,12,0,1,1,46.04962235648878
31,12,1,1,1,45.88358983689813
27,11,1,1,0,44.01542383427301
35,22,1,1,1,42.37923463584145
43,16,1,1,0,42.48639674475104
22,26,0,1,1,37.73292238106256
29,21,1,1,1,41.75184267100428
32,15,1,1,1,44.99394456126369
31,13,1,1,0,41.70362601779184
35,20,1,1,0,36.73390046248655
29,4,0,1,0,45.82206148640225
26,12,1,1,0,41.52166913853447
16,25,0,1,0,33.214126864090986
35,21,1,1,0,36.328131053415554
38,18,0,1,1,43.79850231445763
31,16,1,1,0,39.6878211376401
28,23,1,1,1,40.21227899673027
26,28,0,0,1,37.86004929274301
21,7,0,1,1,49.52934051601065
36,25,0,0,1,39.86444534849559
30,20,1,1,1,41.84853659791534
18,21,1,0,0,35.83321798613391
20,19,1,0,1,41.09949115975913
32,18,0,1,0,38.555881761623255
19,20,0,0,0,36.88144452359108
32,14,0,1,0,40.95541792204745
27,16,0,1,0,41.06646142446027
19,15,1,1,1,42.2404672677658
36,30,1,0,1,37.08432038028182
27,15,1,1,1,42.92433669088899
26,15,1,0,0,40.35201519267221
23,27,1,1,1,37.0208278894843
51,19,1,1,0,39.90567568553816
26,20,1,1,0,36.593592426535885
37,11,1,1,0,42.447556081269134
39,15,0,0,1,44.661378155579264
24,20,1,1,0,38.05952606758384
27,23,1,1,0,34.05710709108607
34,13,0,1,1,46.00521730649277
19,26,1,1,0,31.251849610701434
34,17,1,1,0,38.019936989224014
30,7,1,0,0,44.98053982996515
32,19,1,1,1,43.02771089366035
37,24,0,1,0,35.74688294275135
26,32,1,1,0,30.119871604557066
22,23,1,0,0,34.675898896953946
25,22,1,0,0,36.67358314611416
42,10,0,1,0,44.2143072026317
29,22,1,1,1,39.81661708657205
33,25,0,1,0,36.488702236349766
22,18,1,1,0,39.44284443779132
28,27,1,1,0,33.744244306315096
30,20,1,0,1,42.57821580338779
27,22,0,0,0,35.9742914232493
11,18,1,1,0,35.74697242922404
29,13,1,0,0,41.08526510905839
53,7,0,1,0,48.09986618623735
22,23,1,1,1,37.37687431456415
28,25,1,1,1,38.596793664966384
39,13,1,1,1,48.93542109611227
23,19,1,1,0,37.86996898187044
28,14,0,1,0,40.21380325178784
16,13,0,0,1,43.20209794143049
37,13,0,1,0,42.34021070476019
22,24,0,1,0,35.77924839659162
26,27,0,1,1,38.4906896399103
25,15,1,1,0,39.565106265200605
16,16,1,1,1,43.98784651918754
26,20,1,1,1,41.36841115938588
32,10,1,1,0,42.80742127206618
34,15,1,1,0,40.90424993515676
27,21,1,1,1,40.52331559964865
31,21,1,0,0,37.10144732970473
23,18,1,1,0,35.79669719786915
47,23,1,0,0,36.72788255668431
35,21,0,0,1,44.62438364883153
39,13,1,1,1,48.05149390267949
34,17,1,1,0,38.05115081720061
36,30,1,1,0,34.51442176331515
24,32,1,0,0,28.314616933105256
33,27,0,1,1,37.85915843980149
30,20,0,1,0,36.56372409303223
21,20,1,0,0,36.58578769945611
30,27,1,0,1,38.24595419232747
12,22,0,0,1,40.33835536154026
24,19,0,0,0,36.15621900218205
43,24,1,1,0,35.46360545122606
15,28,0,1,1,36.57944559049394
41,19,1,0,1,43.28728802461857
33,21,0,1,1,42.08482844289996
29,18,0,1,1,41.670713261965815
36,26,1,1,1,38.96142988480928
36,18,1,1,0,39.07255304350798
29,11,1,1,1,47.17724111073343
14,13,1,1,0,39.92545397925454
35,27,1,0,0,34.43653312976176
15,7,0,1,1,48.41506244063216
50,30,1,0,1,38.757208865403314
35,16,1,1,1,46.08444015565516
33,25,0,1,0,32.81807193872648
24,33,0,1,0,29.28483849880494
27,20,0,1,1,41.79000023293035
12,12,1,0,0,41.8865676446787
35,15,1,1,1,46.84274917942938
37,30,1,0,0,32.84799320495293
23,34,1,1,1,32.35644477153571
26,15,1,0,1,44.81691137759731
39,25,0,1,0,35.396402729255136
32,19,1,0,1,43.05466060471118
21,8,0,1,0,43.99987664663749
29,21,1,0,1,40.6603989216248
25,21,1,0,1,40.8682837854893
28,18,1,0,0,38.98937505001592
26,32,1,0,1,35.83317181560317
12,20,1,0,1,40.36313248092037
17,9,0,0,1,47.01307082431241
24,18,1,0,1,40.777551450335054
27,12,1,1,1,46.20839035544849
14,16,0,0,1,43.55691837615916
36,18,0,1,1,43.27572817683876
43,24,1,0,0,37.50070166336644
28,22,1,1,0,37.3374832875736
26,19,0,0,0,40.23746127503902
