defendant_age,trial_length_days,prior_convictions,legal_representation,alternative_sentencing,recidivism
28,14,1,1,1,69.31844514983285
27,17,1,1,1,70.09221554944439
22,19,1,0,0,63.43976886426181
34,24,0,0,1,75.06629186691553
42,22,1,1,0,76.30914484949584
32,25,0,1,1,75.75341496940848
32,25,1,1,0,71.37905881380182
19,20,0,1,1,65.98111392926317
16,13,1,1,0,61.23443201554393
23,20,1,0,0,66.55619527270825
33,20,1,1,1,74.78927967840885
24,16,1,0,0,64.59775132511118
40,10,1,0,0,74.24554880780433
21,18,1,1,1,68.2813361764499
22,18,0,1,1,67.72521411359095
35,15,1,0,1,73.61900080728623
30,22,1,1,1,72.30158727086315
32,16,0,0,0,69.6212656501975
18,17,0,0,1,65.55434555343669
37,26,1,1,0,75.22134254159234
21,12,0,0,0,64.07106795359748
27,20,1,1,1,71.52517981813212
29,15,0,1,1,73.9706595262623
28,18,1,0,0,69.58079929077553
43,18,1,1,0,78.89236333953613
21,15,0,1,1,66.90601668681853
41,26,1,1,1,77.73195435659447
35,26,1,1,1,74.03683816515762
43,23,0,1,1,79.32702387050858
35,12,0,1,1,72.44467296267612
36,16,1,0,0,69.85444686404469
38,21,1,1,1,75.29290666750357
44,16,1,1,0,77.58385766826565
30,22,0,1,1,74.33989694116515
17,18,1,0,0,61.74365850464464
40,24,1,1,1,78.69686927505823
30,22,1,1,0,70.99660225588934
28,23,1,1,0,69.7072064740271
22,14,0,1,1,67.06666908173253
23,23,1,1,1,70.03434637401564
17,12,1,1,1,63.42679997761427
22,17,1,1,0,65.44068503512361
41,16,1,1,0,75.86190808005072
48,12,1,1,1,82.01770101270697
32,21,0,1,1,72.93411745855578
51,23,1,1,0,80.29475455410187
29,28,1,1,0,70.11812191211263
25,19,1,0,0,68.48150870610846
34,26,0,1,1,76.88527744164259
30,29,1,0,0,70.4107704266085
36,12,0,1,0,71.53153471657495
34,25,1,1,0,71.50856213673882
36,-5,1,1,0,69.93830787534857
38,19,1,0,0,72.30732878700208
21,12,0,1,0,64.66767182602374
25,16,1,1,0,66.80196277898351
42,26,0,1,1,77.97269317616927
33,18,0,0,1,73.87181320688998
33,16,1,1,0,70.69201280098684
40,15,0,0,1,77.87426130588092
44,12,1,1,1,79.17185997547914
38,23,0,1,1,75.70391221996267
26,15,1,1,1,70.68035309364133
18,19,1,0,0,64.15721342900964
19,7,1,1,0,63.21787348911261
27,18,1,0,0,70.1982509286612
22,11,1,1,0,64.1706217191251
26,28,1,1,1,70.7834266576458
19,15,0,1,1,66.87668866853605
43,24,0,0,0,77.48393308787978
30,22,1,1,0,69.8740931523015
34,14,1,1,1,73.21251248228842
18,13,0,1,1,65.50128430123848
33,23,0,1,1,72.88456009244459
24,17,1,0,0,65.56270523136101
27,13,0,1,1,72.24964281485884
24,25,1,1,1,68.03519040148589
35,15,1,1,1,73.48762006504867
26,19,0,1,1,70.25106494639452
26,25,0,0,1,69.30827535878048
20,14,1,0,1,68.08664724983889
0,14,0,1,1,57.21337945955747
28,17,1,1,0,68.19896191592457
34,19,0,1,1,73.71354818556026
46,17,1,1,1,79.24573585222576
24,17,1,0,1,68.06442623204462
40,21,1,1,0,76.85947538878631
22,12,1,1,1,67.27976655378701
15,19,1,1,0,61.97800472705229
39,21,0,0,1,76.97101031968
18,37,1,1,1,68.43346167830455
20,25,1,0,0,65.7936120366902
28,23,0,1,1,71.26933626313706
39,17,1,1,1,77.28563756303656
24,16,1,1,0,67.32750246458694
30,22,0,1,1,72.65882456488002
43,20,1,1,0,76.52654547435523
32,24,1,1,1,73.91329634138205
21,27,1,1,1,69.21092477283894
28,10,1,0,1,69.33297940695303
37,12,0,1,1,74.68655268701067
27,17,1,1,1,72.41340200843085
32,20,1,0,0,71.35224223933734
32,19,1,0,1,71.23795309697465
21,25,0,0,0,66.13460510129845
32,17,1,1,0,69.82104075177426
28,15,1,0,0,68.05228830978625
36,33,0,1,1,76.95209502140791
36,25,0,1,0,73.62603522870099
24,18,0,1,1,69.92307624056605
19,12,0,0,0,63.66927274843911
39,21,1,0,0,73.88432092703756
24,22,1,1,1,69.47333568596099
44,23,0,0,0,77.47487342788666
25,22,1,1,1,69.44106103547209
27,22,1,1,0,69.52353888146295
41,4,1,1,1,77.93587636009951
28,22,0,1,1,70.91142952806884
28,12,1,1,0,68.12225400565104
34,13,0,1,0,73.06267839644507
32,21,0,1,1,74.33754089834021
22,10,1,1,0,63.803244731461966
36,23,1,1,0,75.65436364460871
47,19,0,1,1,80.88359324653558
36,13,1,1,0,73.62284272215409
30,17,1,1,1,71.69292888062063
32,25,0,1,1,73.6856471055539
17,22,1,1,1,63.70934338204868
23,26,1,1,0,68.31553289508173
40,15,1,1,1,76.3537453361168
42,11,0,0,0,76.39685413878941
49,17,0,1,0,79.52401297622491
30,19,0,1,1,74.33668748701852
28,17,1,1,0,69.88968196462992
36,18,1,1,0,72.03788170642873
23,19,1,1,0,67.31798984304284
34,12,0,1,1,73.32690426365292
27,15,1,1,0,68.06568804896689
26,23,0,0,1,70.46560062774775
35,11,1,1,0,71.85514633904194
47,15,0,0,1,80.03490531956983
18,23,0,0,1,66.03632811979178
23,24,0,0,0,64.93457110941767
16,18,1,1,1,64.96899707821035
35,23,1,0,1,76.36863211306091
33,15,1,1,0,72.38181229463439
34,25,1,0,0,74.18819003335113
27,16,0,1,1,70.06393197351802
28,21,1,1,1,70.75530234345976
28,22,0,1,1,70.35027145590172
24,17,0,1,1,69.00435642035384
20,13,0,1,1,66.5090398966986
42,25,1,1,1,79.1568967008619
49,24,1,1,1,82.14882874467399
43,23,1,1,0,75.46910799199519
30,23,0,1,1,71.76173764611421
33,11,0,1,1,74.13038258092959
30,16,1,0,0,70.34197899501017
34,22,1,0,0,73.97353550996502
43,14,1,1,0,75.77457615728717
38,17,1,1,0,74.7898256615061
28,16,1,0,0,68.49155448235032
29,27,1,1,0,74.12581847870571
29,27,1,0,0,69.92940710109052
22,20,0,1,1,68.44658885966605
20,32,1,0,0,66.69120294491931
23,15,1,1,1,68.67130379279781
25,27,1,1,1,70.12904434928099
26,19,0,1,1,70.17400681850691
26,21,1,1,1,69.48571233177354
26,24,0,0,0,68.24401887909285
39,16,1,1,0,74.95914500003009
31,29,1,1,0,71.84777502433595
32,14,0,1,0,71.34567643919074
22,27,1,1,0,66.21248211917168
25,5,0,1,0,65.6305302083485
28,23,1,0,1,71.84411393258142
30,13,1,1,0,71.06187771588597
29,27,1,1,1,74.84735722158236
26,22,0,0,0,67.8314711818507
34,13,1,1,0,71.51575235986309
36,24,1,1,1,75.55472560391392
42,24,1,1,1,78.45233923457737
35,27,1,1,0,75.27338896585222
31,6,1,0,0,69.92464637635534
33,12,0,1,1,72.96630669635168
17,20,1,1,1,65.14375758129286
39,30,0,1,0,76.6617043176893
30,15,1,0,0,70.2445852312885
34,14,1,0,0,70.82494820339183
30,23,0,1,1,74.2763316758949
23,34,0,0,0,67.27603015392611
32,23,1,0,1,72.13259087878438
26,27,1,1,1,71.05127437508649
36,23,1,0,0,73.11666402211364
32,21,1,1,1,75.18849691765645
25,19,1,0,1,70.83515459980984
31,10,1,1,1,72.81770155557773
22,19,0,0,0,64.36903075633171
40,16,1,1,1,77.07394752887072
34,15,1,0,0,72.58684087422985
32,15,1,1,0,71.7619570185653
37,19,1,1,1,75.58678961371365
37,10,1,1,0,73.98779876517202
22,24,1,1,1,70.03687116830044
39,13,1,0,0,74.81780004374546
35,19,0,0,0,71.96259065521033
36,19,1,1,0,71.74230678470919
12,27,0,1,1,63.11737868176414
36,29,1,1,1,75.46024687943603
23,18,1,1,1,68.74526680250182
39,8,1,1,1,76.40971286669483
34,19,1,1,1,74.89860604946847
36,16,1,1,0,73.15260737513927
23,22,0,1,1,70.86107445638379
22,29,1,1,1,70.84474418973974
33,22,1,1,0,73.46264866202242
29,25,0,1,1,74.72788866035015
14,21,1,1,1,65.31580795585738
21,15,0,1,1,66.89090713549992
34,15,0,1,1,74.15134345630251
30,27,1,1,0,73.36852782034751
30,31,1,1,1,74.31125303986602
30,14,1,0,0,69.5759007783449
28,19,0,1,1,70.27196255913198
28,16,1,1,0,69.76911411295171
37,19,0,0,0,72.83734365132634
