education_years,age,previous_income,gender,union_membership,minority_status,local_unemployment_rate,job_training_hours,annual_income
11,28,11,1,0,0,6,18,133.81262096641925
12,29,11,0,0,0,11,17,127.0864903119518
12,30,1,1,0,0,10,24,152.5744257777981
6,34,9,0,0,0,8,18,128.11657565093645
9,31,8,0,0,0,9,19,134.47551904137464
8,30,3,1,0,0,10,25,157.6488122938729
6,29,8,0,0,0,9,22,145.36717548926686
12,30,11,0,0,0,8,15,119.57063909986806
13,29,6,1,0,0,8,20,139.9705097808135
11,31,9,1,1,1,11,18,132.0695679692132
14,30,11,1,1,0,6,12,106.6829852676286
5,24,10,1,0,0,7,17,125.0684743261332
12,27,12,0,0,0,9,15,119.34981006051612
7,30,15,0,1,1,10,11,98.25399721435495
11,28,11,0,1,0,8,14,112.961321146564
7,30,10,1,1,0,10,18,129.4710869847015
4,31,9,0,0,1,8,18,127.1817093464028
17,30,10,1,0,1,10,18,138.49075003856862
14,29,3,0,1,0,10,22,146.8749487087448
7,31,5,0,0,0,4,21,141.82819814906193
8,29,2,0,0,0,5,24,152.6949641106536
10,25,8,0,1,0,7,20,142.19275244280428
5,28,8,1,0,0,12,21,140.46462863467113
8,32,9,1,1,0,5,14,110.49018738605588
10,31,7,1,0,0,10,22,146.51667500894692
11,30,6,0,1,1,6,20,140.88616587402666
7,26,6,0,1,0,9,22,146.36483464175893
11,28,9,1,1,1,9,15,117.84873377205032
10,28,11,1,0,1,8,14,116.63496576258235
8,28,4,1,1,0,10,24,155.83819756834362
15,30,8,0,1,1,11,18,131.54264189204795
8,29,2,0,1,1,8,24,153.74641832964087
12,30,8,0,0,0,11,20,139.64123590329336
8,31,4,0,0,1,6,23,150.3019766157577
12,31,10,0,0,1,9,17,127.44978837834448
10,30,2,1,1,1,9,25,160.59275752872898
11,29,14,0,1,0,7,12,105.75803500795368
9,27,2,1,0,0,9,26,163.71747328833
14,29,9,0,0,1,6,14,114.72052106664314
13,31,9,0,0,1,12,17,127.0476344724431
11,33,10,0,1,0,9,14,111.39648092363454
19,27,6,0,0,0,9,18,134.1572023412424
13,32,12,0,0,1,7,15,123.36332664402156
8,26,8,0,0,0,10,21,143.6367769379227
9,26,6,0,0,1,6,19,132.6212085528749
7,28,6,1,0,0,11,22,149.18928282762533
14,29,6,0,0,1,10,20,142.11394618675817
9,28,9,0,0,1,11,17,124.99453561016738
10,28,7,1,0,0,6,18,126.46874923048608
7,34,14,1,1,1,8,11,98.36024048134708
13,27,10,0,0,0,7,16,121.14219966037076
13,29,7,1,1,1,9,18,132.37840668522523
12,27,8,0,1,1,8,18,134.41951923289338
8,31,8,0,1,1,6,19,137.21234408531788
10,26,5,1,0,1,10,23,154.30299494739612
7,26,7,0,1,0,6,21,141.36754120163113
0,30,6,0,1,0,10,24,153.9733880577953
9,27,8,0,0,1,13,23,154.31951387931068
10,29,5,0,1,0,4,18,130.73427991089687
10,31,10,1,0,1,12,18,131.01660543621634
14,29,15,0,0,0,8,15,123.205782007775
8,30,8,0,1,0,15,22,148.60887161485917
6,30,8,0,0,0,8,20,137.10468533362405
8,30,6,0,0,0,7,21,144.18845407144823
10,34,7,0,0,1,8,20,139.26006261203426
7,30,4,1,0,1,4,22,144.71520582573876
5,32,9,0,0,1,10,16,117.70899936393748
10,29,8,0,1,1,7,19,137.57856740399026
6,31,13,1,1,1,8,12,103.59853076977326
14,30,10,0,1,0,8,14,116.26466421496092
9,29,4,0,1,0,12,25,160.97441239846123
9,28,10,0,0,0,8,18,133.25346884921117
8,29,4,0,0,0,11,26,162.47595949033445
5,33,7,1,1,0,10,23,151.1360169093033
8,30,3,0,1,0,10,26,164.05749380030804
15,34,4,1,0,1,11,22,149.52450510115574
9,27,10,0,0,0,9,19,136.71976830264214
10,28,8,0,0,0,11,18,131.14102904247017
9,29,8,0,0,0,6,21,141.75125356862327
9,30,4,0,0,0,8,24,153.23558546346317
13,28,7,1,0,1,8,19,137.77913675885003
6,33,8,0,0,0,7,18,125.70166449059472
6,29,9,0,1,1,9,19,133.90229805945282
10,29,7,1,0,0,5,18,127.98115244575594
4,27,9,0,0,0,9,18,126.76812888259828
3,33,0,1,0,0,7,26,157.16274493666683
9,29,11,0,1,0,12,16,122.74644949238964
14,31,11,0,0,0,7,14,114.34177802880193
4,31,9,1,0,0,6,19,130.12852287123658
9,35,3,0,0,0,11,24,153.37616824783038
6,32,2,0,1,0,6,23,147.4267026714951
10,29,4,0,1,0,11,22,144.22841540429798
8,28,8,1,1,0,9,16,121.68543438950822
12,25,6,0,0,1,9,21,145.06912565538275
6,28,7,0,0,0,9,23,152.46581771833064
9,30,3,1,0,1,7,21,141.4706346158174
7,28,6,1,1,0,5,16,118.45645971571813
5,25,11,1,1,1,7,14,112.34104986732429
5,27,5,0,0,1,6,23,152.16352091341142
9,30,13,0,1,1,6,14,119.11769272940224
15,29,6,1,1,1,8,18,132.34649650806594
10,28,8,1,1,1,9,18,130.2467125745882
11,37,7,0,1,0,8,15,112.29374649987126
12,28,6,0,1,0,5,17,124.84867473597107
9,28,8,0,1,0,7,19,133.90533876340598
12,28,6,0,0,0,6,18,129.28845561541556
9,29,5,0,1,0,9,21,139.59010725947078
9,29,11,1,0,0,11,19,136.2408894039349
7,29,7,1,1,1,5,16,121.08837298923542
9,32,6,0,1,1,5,17,125.98530885989142
11,30,6,0,0,0,8,20,137.44827406346442
15,31,9,0,0,0,7,14,114.85115137355056
7,29,8,1,0,1,8,20,135.48842492360174
7,32,6,1,1,0,10,20,132.49501671602067
12,24,0,1,0,0,10,25,159.73989001069987
13,29,7,1,0,0,11,17,124.97572938506634
7,29,8,1,0,1,12,23,151.88296572901737
11,30,9,0,0,0,11,20,140.26784908079682
9,32,10,0,1,0,9,15,114.92046144079134
11,27,10,1,0,0,7,15,116.17646038207565
13,29,10,1,0,0,10,19,140.4816499036738
9,29,13,0,0,1,6,13,111.53060246622336
12,33,10,0,1,1,8,12,101.9230561920254
12,24,11,1,1,1,7,14,116.47651730827012
4,32,7,0,0,0,9,19,130.24267450034563
6,26,7,1,0,0,7,18,126.97075588223358
3,29,6,0,1,1,8,21,139.59605914509933
16,27,6,0,0,0,5,16,122.22661291053704
3,32,8,0,0,0,5,17,117.86391133008522
10,26,12,0,0,0,4,16,124.05580613405898
11,30,4,0,0,1,12,25,161.5672387325063
7,28,7,0,0,0,6,20,136.65019920900176
12,33,6,0,1,1,13,23,153.75171124475278
6,31,12,0,0,0,10,17,122.49165974605532
11,27,9,0,1,0,8,17,124.940940716986
12,27,9,0,0,0,9,18,132.36762118997845
12,30,10,1,0,1,7,14,114.0428916301898
5,31,8,0,0,0,10,22,146.7856374624283
11,32,11,1,1,1,12,16,123.26410661279772
10,31,6,0,0,0,6,21,143.61233183424375
8,32,11,0,1,0,10,16,120.7260044223536
16,28,4,1,1,1,12,21,146.7633360196558
6,28,9,0,0,0,9,19,134.84457302798796
13,31,13,0,1,1,11,13,111.7797980079159
13,32,10,1,0,0,9,15,116.63203349210532
6,30,11,0,1,0,6,16,123.56519639256318
12,30,10,1,0,0,9,14,114.16382586948184
6,32,6,0,1,0,8,19,133.33674608105025
13,31,3,1,1,0,10,22,144.9549082951844
11,31,9,1,0,0,6,17,125.51001862180016
3,31,5,1,1,1,8,21,138.73026837169786
5,27,9,0,0,1,8,18,127.61442016038934
9,29,7,0,1,0,9,22,150.5086965337262
9,29,0,0,0,1,7,26,160.48269670072384
15,29,8,0,1,0,8,14,113.5063406977532
10,28,6,0,1,1,9,21,144.4894542551472
12,29,7,1,0,0,12,20,141.17947068494422
10,27,5,0,1,0,8,20,138.98593311504902
18,29,7,1,0,1,11,18,131.9500193797673
9,32,7,1,0,1,9,22,150.03948704046869
12,31,4,1,1,0,11,19,131.7921388472668
8,26,9,0,1,1,9,18,130.2617843765781
7,26,2,0,1,0,4,21,141.26096139442828
12,31,5,0,0,1,10,22,148.51582352347512
7,30,1,1,1,0,8,23,149.32322039820667
9,28,12,1,0,1,10,15,117.22552676216894
9,28,9,0,0,0,7,17,124.28322181678504
10,27,10,0,0,0,11,21,147.0333312003527
4,29,11,0,1,1,12,20,139.4734149536098
16,29,4,0,0,1,6,17,125.31901058865296
15,25,-1,0,0,1,9,25,158.83571504391543
9,29,9,1,0,1,10,19,132.3678737468599
6,30,6,1,0,1,8,21,140.44069705666516
12,35,10,0,0,0,7,14,111.03348050484308
8,30,10,0,0,0,10,20,139.44513977571827
12,28,7,0,0,0,10,18,128.95093275095556
9,36,1,0,0,0,9,23,146.49116840522856
7,27,0,0,1,0,6,24,152.0457939527051
8,32,9,0,0,1,10,21,145.50933996601768
11,34,9,0,0,0,8,15,114.52045868854977
6,29,17,1,0,1,8,12,107.026997220086
14,30,7,0,0,0,9,21,148.28935746014164
8,28,4,0,0,0,7,24,152.5275040923132
13,32,6,0,1,0,8,16,119.82567162923552
11,30,10,0,1,1,8,19,139.27917459569676
14,29,9,1,1,1,12,18,134.9371148091329
14,28,5,0,1,1,7,18,131.5054542267613
10,26,6,0,0,0,10,23,151.57770288112243
12,32,9,1,0,1,11,20,143.64611359625675
4,30,7,0,0,0,7,17,119.42963243382982
9,30,14,0,0,1,9,12,105.60454658183866
12,28,8,1,0,0,11,19,135.93462664221312
9,29,9,0,0,1,9,20,142.22908272136118
7,29,7,0,0,0,8,22,144.56217976281513
11,31,7,1,0,1,9,18,129.78218720283235
7,27,8,1,0,1,7,20,142.956603244763
8,27,7,1,0,0,11,21,142.0418596636539
12,30,13,1,1,0,9,13,114.1596576499353
12,29,5,1,1,1,7,22,152.01463234138265
11,35,9,0,1,1,6,13,110.45293448593044
11,31,7,0,0,1,6,17,124.13478157499766
9,31,3,0,0,1,6,22,144.69047992177204
4,31,10,1,1,1,9,16,120.95300658663282
8,31,8,1,0,0,8,17,123.356664100678
10,29,7,0,1,1,9,22,150.97864032044302
6,30,6,1,0,1,7,21,142.34784179299697
7,26,5,0,1,0,9,21,140.76196792678857
3,29,5,0,0,1,12,25,158.101440649801
9,28,11,0,0,0,8,17,129.19027050963345
12,29,9,1,0,1,12,21,147.76521357419986
8,33,8,0,0,1,7,19,131.81694537230763
13,28,8,0,0,0,5,16,124.03364095984746
7,26,10,0,0,0,8,18,130.02983026449266
11,31,8,0,0,0,6,17,127.36094259452078
11,31,15,0,1,0,9,12,104.63867169758691
11,27,5,1,1,1,5,19,136.11844179085392
4,32,13,0,1,0,10,17,127.28947926845832
8,36,4,0,0,1,7,24,155.61669464626988
12,34,10,0,0,0,10,17,127.40363376289262
10,30,6,0,1,0,8,19,133.84261584042883
7,28,9,0,0,0,4,17,124.9800338123835
10,27,8,0,0,0,8,20,138.66035161303998
9,31,6,1,1,0,10,21,145.590118758754
9,33,9,1,0,1,11,19,135.07139851031715
7,28,9,0,1,1,5,17,125.4923378866446
10,31,7,0,0,0,9,22,147.06239231205282
6,26,8,1,0,1,11,22,145.72680410360763
7,31,0,0,0,0,9,26,157.8102292111796
3,29,14,0,1,0,8,17,128.3922152870685
11,30,7,0,0,1,8,18,127.84933678532488
10,28,6,1,0,1,12,20,136.66789775107978
12,26,5,0,1,0,8,20,138.88921147899865
11,31,10,1,1,0,7,16,124.41737904738858
10,28,9,0,1,0,12,17,122.56509862428364
6,29,7,0,0,0,10,23,150.13572021471902
14,28,10,0,0,0,9,16,125.6408077047929
14,30,8,1,0,1,9,19,138.63490320115406
11,32,7,1,0,0,8,19,134.48685274498973
12,31,1,0,0,0,4,23,149.65385824598084
10,30,7,1,0,0,12,20,138.40148848369702
12,32,3,0,0,0,9,21,142.23464720467356
8,29,2,0,1,0,9,22,142.0735747241066
12,30,9,1,1,1,6,17,130.83705663421046
9,31,8,1,0,1,4,17,124.89944527712824
7,28,6,0,0,0,10,21,139.26682434541777
10,31,8,1,0,1,10,20,143.65316075682912
12,31,10,0,1,0,9,13,104.97788144146996
6,36,7,1,0,0,9,19,130.02982625779455
11,27,6,1,0,1,8,22,146.8950228199395
11,30,7,1,1,0,9,18,131.97133362722985
6,30,5,0,0,0,9,25,160.3562891861327
5,30,3,1,1,0,10,25,159.31293311389302
12,32,2,0,1,1,8,24,156.1937320591679
10,31,6,1,0,0,10,21,141.27204273139907
13,29,9,0,1,1,12,18,135.87777490750327
13,28,10,1,1,0,12,17,129.91204705826743
11,29,10,1,0,1,10,17,127.4690739391123
15,32,4,1,1,1,9,19,136.26156644015754
9,34,14,0,0,0,11,14,115.6370262955885
8,31,8,0,0,0,8,16,117.778275117004
9,32,9,1,0,0,7,20,142.41882757982276
7,32,6,0,0,0,8,21,140.71589474769414
10,34,9,1,0,1,10,16,120.00295623354415
11,27,10,1,1,0,7,15,117.64656148576564
6,32,9,1,0,1,7,18,128.1472940199974
9,30,3,0,1,1,7,21,140.77425219515425
7,28,7,1,0,0,5,19,134.01393691204075
4,34,9,0,0,1,7,20,137.7965485995062
8,30,6,0,0,0,6,21,142.70236825315487
11,29,6,0,0,0,7,20,140.01128449284906
5,27,8,0,0,0,11,19,130.55325599090634
10,30,7,0,1,1,12,24,159.5654871394094
8,31,4,1,1,0,6,21,139.74730595040535
8,25,8,1,0,0,10,21,144.24307938205948
8,29,10,0,1,1,8,18,134.7294632542433
12,30,6,0,1,0,10,20,137.58965132189726
13,28,7,0,0,1,5,18,132.95059671877786
10,30,3,1,0,0,9,21,140.3172005067184
11,30,6,0,1,1,3,16,121.0149597531271
9,35,8,0,1,1,14,19,132.98382417285518
7,30,11,1,1,1,9,16,123.68777042202316
15,29,8,1,1,0,7,14,115.90223912957856
8,26,6,1,1,0,10,19,130.23287667463933
12,28,7,1,0,0,9,18,131.3930367198349
8,30,5,1,0,0,10,24,154.31744874867815
10,27,8,0,0,0,10,20,139.73578329519674
11,31,14,0,0,0,5,13,112.16966907090556
5,29,9,1,0,0,7,19,134.67599247963923
8,32,8,1,1,1,10,18,127.4586176385382
8,32,9,1,0,1,12,21,144.9927028994856
10,28,7,0,1,1,9,16,120.65026965919206
8,29,9,0,0,1,11,20,139.47799825780905
8,27,9,1,1,0,9,16,120.15284022551532
11,28,8,1,0,0,6,17,122.52895690606292
6,29,7,0,0,0,8,21,142.20844574454892
9,27,8,0,0,0,8,20,139.4580974174905
8,24,7,1,0,0,12,22,146.5276208550632
12,29,0,0,0,1,8,24,156.66083778319302
7,32,5,1,1,0,7,21,139.95164805053847
8,29,6,1,0,0,10,22,149.80081118136178
12,32,8,1,1,0,7,16,124.97163800935937
8,30,8,0,0,1,9,19,136.2366947269189
7,27,6,1,0,0,8,21,144.5382134240312
5,32,13,1,1,0,8,16,122.91966231800974
10,24,2,0,1,0,8,22,143.20871740208744
9,33,10,0,0,1,8,17,126.14772140003788
12,30,5,1,1,0,10,19,131.07919219831743
11,29,0,0,0,0,6,24,152.39176520207084
10,32,9,0,0,1,11,18,129.81334574904923
12,28,6,1,0,0,9,20,139.25517742091589
9,29,6,1,0,0,7,18,126.73356117321524
10,30,8,0,1,0,10,18,129.72044782331645
9,27,6,1,1,1,7,22,150.65283824773408
9,28,6,1,0,0,8,21,143.90692329746156
5,30,6,1,0,1,8,25,160.74195415823246
8,29,13,1,1,0,9,16,123.70203588100073
8,32,11,1,0,0,7,16,123.05092122574963
5,31,10,0,0,0,9,20,137.86726650287616
12,30,6,0,1,1,11,20,138.65655180791327
14,30,7,1,1,0,7,15,119.40845359495115
8,30,11,0,0,1,9,18,134.49742950845646
5,30,13,1,1,1,11,17,129.0778278014286
12,32,12,0,0,0,10,16,121.9138697782633
13,30,4,0,0,0,6,20,137.7916884783874
13,32,6,0,1,1,4,19,135.28291199994948
10,29,11,0,0,0,10,15,115.68021764859866
12,30,12,1,0,1,7,14,115.698257272709
7,33,9,0,0,0,7,19,134.01961146784953
10,29,5,1,0,1,12,24,156.25991913767172
12,28,13,1,1,0,9,12,107.07295712692684
7,29,16,1,0,0,7,10,96.15650148754226
11,34,0,1,1,0,13,25,157.2829890530764
4,31,8,0,1,1,10,22,147.1702187986933
9,29,14,0,0,0,12,16,123.30439146334103
8,30,5,1,0,1,7,23,151.77554238270628
10,29,6,0,1,0,6,15,111.9236531612656
12,30,9,0,0,1,12,18,129.80655984733465
9,31,9,0,1,1,9,16,117.50104263938763
8,25,7,1,1,0,9,21,143.91768678299442
10,30,3,1,0,0,8,25,159.54180992847324
14,31,6,1,0,0,8,19,132.59748921514034
15,30,4,1,0,0,8,21,146.86613795867393
12,27,7,0,0,1,9,19,135.5855461088207
12,30,9,1,0,0,11,20,139.56418201630643
7,31,3,0,0,1,7,25,159.58472049387564
7,31,6,0,0,1,9,22,146.76332751524703
2,28,6,0,0,1,8,24,154.77710767413512
8,32,8,0,0,0,12,18,124.03303232108264
4,30,5,0,0,0,10,22,143.7369944687395
14,29,2,0,0,0,10,24,155.09317388458447
5,32,7,1,0,1,11,21,139.9141677220426
6,34,9,0,0,1,10,19,131.27702208183206
11,32,5,0,1,0,8,22,147.2886512869363
9,29,9,0,0,0,8,19,134.30304162806593
11,31,7,0,1,1,9,19,138.0022571758698
9,29,1,1,0,0,8,24,153.9145044339875
8,24,5,0,0,0,10,24,155.4760189356622
13,28,10,1,0,1,7,17,130.6315083430367
6,25,9,1,0,1,6,18,132.2229599230155
13,28,4,0,1,0,10,20,137.1325990886119
11,31,8,1,0,0,10,21,144.6870888464842
12,27,4,1,0,1,6,20,139.41737895268523
8,27,7,0,1,0,7,20,140.02435554822273
16,33,5,0,0,1,7,19,138.4354113877602
9,30,9,1,0,0,6,14,110.94766189783768
7,26,9,0,0,0,10,21,144.72210577380744
10,27,8,0,1,1,9,20,142.00447065717546
12,29,7,0,1,0,7,16,121.8893944296839
9,32,6,0,1,1,8,22,147.94486355402717
10,27,9,0,0,1,7,17,127.26330580815832
10,28,15,1,0,1,8,11,102.14187437485128
11,29,1,1,1,1,8,22,144.38543076112072
6,25,7,0,0,1,8,20,139.5747055556062
7,36,6,0,0,0,9,22,142.91675034997954
7,28,4,1,1,0,10,24,155.8190319595778
11,29,6,0,1,1,11,22,150.7587270504101
15,30,5,1,1,0,8,19,136.46439100832598
14,31,9,1,1,0,11,14,117.45478027434946
10,27,6,0,0,1,8,20,138.75923672025368
10,30,6,0,0,1,9,20,140.56824950943292
10,31,15,0,0,0,7,14,117.58896764674896
12,29,12,0,1,0,10,13,108.63115555990832
9,31,11,0,0,0,9,18,129.73161119974975
11,29,10,0,0,1,9,17,127.2440783564169
12,30,6,0,0,0,11,19,132.88362105118168
8,29,10,0,0,1,7,18,131.81726993080105
9,30,12,0,0,0,7,15,115.45724912063768
9,31,1,0,1,0,10,25,157.32724424357633
15,35,3,0,0,0,7,21,142.9429826926022
6,27,8,0,1,1,11,20,138.83533689575407
7,32,12,0,1,0,10,16,121.0994858880888
3,28,11,0,0,1,10,18,128.5298416211824
9,28,9,0,0,1,11,21,146.71553674235625
14,30,5,1,0,1,7,22,149.40522598839473
1,30,3,0,0,0,8,25,153.66409515028505
10,29,4,1,0,0,6,19,133.07496036349485
6,30,5,0,0,1,6,21,138.8965480519222
11,27,7,1,0,0,9,20,138.67788614220572
9,28,3,0,0,0,7,23,149.90396518473332
12,27,12,0,0,0,10,18,136.31278809980623
6,27,11,0,1,0,11,19,134.32196977526274
12,30,7,1,0,0,7,19,133.39099484679602
8,30,12,1,0,0,8,15,118.03866762123972
5,29,10,0,1,0,12,19,131.2789416702429
9,27,7,0,0,0,10,22,147.3422109727306
6,34,7,1,0,1,6,17,120.51249512527492
7,34,7,1,0,0,8,21,141.7969714108299
13,28,6,0,0,1,9,20,139.94239131601182
11,32,6,0,1,0,9,21,142.0403935071731
13,28,7,0,0,0,12,20,140.6935007819448
4,28,3,0,1,0,11,25,156.10761531237236
9,30,10,0,0,1,11,23,155.35354864795917
10,31,8,0,1,1,11,22,148.26748972595317
8,27,8,0,0,1,5,19,136.76019342262714
10,32,3,0,1,0,7,22,146.76840579831966
9,32,7,0,1,1,9,18,130.88012221796222
14,34,6,0,0,1,6,16,121.51940126573038
9,32,7,0,1,0,8,17,124.05617241258636
10,32,6,1,0,0,9,18,127.73983862038972
5,29,12,0,0,0,6,16,121.01508749081948
