defendant_age,years_of_experience,severity_of_crime,previous_convictions,legal_aid,plea_bargain,community_service,restorative_justice,recidivism_rate
10,19,5,11,0,1,1,1,81.11463465612398
38,31,9,12,0,0,0,0,98.33733307714826
0,19,2,14,1,1,0,0,67.00217406595208
31,23,6,15,1,1,0,1,97.99581950102584
33,21,4,10,1,1,1,0,87.09483618809608
35,31,6,16,0,0,1,0,93.77782114204985
23,27,5,20,1,1,1,1,97.00326296530676
18,30,4,19,0,1,0,0,86.21222951919658
41,27,7,24,1,1,0,1,109.56079163743463
21,22,6,13,1,1,0,1,92.3536411500409
20,30,7,17,1,0,1,1,94.818544773928
25,22,7,16,1,1,1,1,95.05385922864797
32,24,2,20,0,0,1,0,87.46313262498721
15,24,8,18,1,0,0,1,90.97838637213164
34,17,7,20,0,1,1,0,95.12003422185607
17,23,9,11,0,1,1,0,81.1793450237829
21,24,7,8,1,1,0,0,82.27628147948738
12,24,6,20,0,0,0,0,80.35581816180107
14,22,6,15,0,0,0,1,86.00559097601328
33,23,3,17,0,1,0,1,97.15243357232384
35,24,7,9,1,0,0,0,89.04327541772204
28,21,6,8,0,1,1,1,91.3510506622928
17,23,5,16,1,0,1,1,88.03196488808877
35,18,6,21,1,1,0,0,94.0091725223168
35,22,5,19,1,0,0,1,99.91272271402816
19,21,0,19,1,0,0,1,88.8984524881726
37,18,5,9,0,1,1,0,89.72483309890363
21,28,8,15,1,0,0,0,86.67892815030491
27,13,7,16,0,0,0,1,92.99410150689158
16,31,6,10,1,0,1,1,90.76615181106934
38,32,7,19,0,1,0,1,107.13669561962872
18,22,9,17,1,1,1,0,85.3396603703373
22,25,7,20,1,1,0,0,88.62718805549144
35,27,8,14,0,0,0,1,100.34644622170082
28,29,5,12,0,0,0,1,95.0717893802099
35,26,5,21,1,1,0,0,95.5989879721748
26,27,9,13,1,1,0,1,97.9044511759364
24,21,5,15,1,0,0,0,83.50963605342248
29,28,7,8,0,0,0,1,96.21230397474508
39,22,4,12,1,1,1,1,101.77679801655908
27,28,7,14,0,0,0,0,90.60103469838086
17,22,5,12,0,0,0,1,84.91086564146558
12,27,6,8,0,1,0,1,85.1710775394121
26,23,5,21,1,1,0,1,98.86083061561476
1,24,5,17,0,0,0,1,81.83608718531225
26,29,5,23,0,0,0,0,90.35194791998396
13,23,3,17,0,0,0,0,75.98437916198165
38,26,7,15,0,0,0,0,91.65059181129402
27,20,7,11,0,0,0,0,82.77004122360223
27,24,7,15,1,1,0,1,95.86724098927344
14,23,3,10,0,0,0,0,73.45474662542962
21,22,3,12,1,0,0,1,86.57696344704857
20,20,4,15,0,0,1,1,88.26989536299591
26,26,3,18,1,1,1,0,87.5238824211921
41,27,5,7,0,0,0,1,100.15970926876216
19,24,4,17,0,1,1,0,82.34860029475696
31,22,7,11,1,0,0,1,96.06659525188294
17,23,5,26,1,1,1,1,94.2420373119459
16,25,5,15,0,0,1,1,88.75346478053656
34,13,8,10,0,0,1,0,88.34153733445551
50,27,5,19,0,1,0,1,111.92881028579954
29,25,4,17,0,0,0,1,93.83328046744812
21,23,6,25,1,0,0,0,89.46572142640463
30,18,6,16,0,1,0,1,96.0922632986324
37,18,6,18,0,0,1,1,99.356062161535
20,20,9,14,1,0,0,1,93.41647201267756
40,29,5,13,0,0,0,0,93.44556735516856
24,25,6,23,0,0,0,0,88.80724728611331
23,26,5,17,1,1,0,1,95.05172550081949
20,25,6,11,1,1,1,1,91.99120819822228
15,24,6,19,0,1,0,1,90.58552385607769
42,21,5,14,1,0,1,0,95.63847760682413
29,21,6,9,0,0,0,0,83.47935448896041
13,23,6,17,1,0,1,0,81.72419288039306
17,22,7,14,0,0,1,1,90.02677246897156
35,22,6,15,1,1,0,0,90.71937331539768
13,26,3,17,0,1,1,1,86.86339733711044
31,18,6,8,1,1,0,1,93.96958917494148
26,27,8,15,0,1,0,0,89.6427450049578
26,27,5,14,1,0,0,0,86.25138298939851
30,26,2,21,1,1,0,1,98.2821365027222
35,25,4,14,0,0,0,1,98.1378062318436
39,28,3,11,0,0,1,0,90.66733322110592
36,23,9,19,0,0,0,1,101.4511599559114
31,22,6,14,0,1,0,1,97.03357776449523
35,25,8,17,0,0,0,1,100.9985078529355
25,28,4,27,0,1,1,1,100.83767194687812
33,27,8,12,1,1,1,1,100.99745164396911
28,26,7,19,0,1,0,0,92.34440109972572
27,20,6,12,1,0,1,0,87.25137436679638
32,16,5,17,0,0,0,1,93.6203421757288
23,25,7,17,0,0,1,1,94.67014545756864
15,23,2,14,1,0,1,1,84.6147145876445
34,23,8,14,0,0,1,0,90.17561611595134
38,20,4,19,0,0,0,1,101.46692055832592
29,31,6,18,0,0,0,0,91.32115286322696
17,28,4,10,0,0,1,0,80.06900733019957
7,23,1,18,1,0,0,0,73.00667558585502
26,20,3,15,1,1,0,0,84.17607183466941
20,23,9,18,1,1,0,1,95.8911053683688
32,22,8,11,0,0,1,0,88.40005425365221
21,22,1,14,1,1,0,1,88.09520424136227
5,26,4,18,1,0,0,1,83.1167638855493
10,26,5,6,0,0,0,1,80.04511544677149
8,22,8,23,1,0,0,1,88.23564970735613
21,24,5,12,1,1,0,0,82.03981979891124
16,21,6,26,0,1,1,1,92.62961785146616
16,28,5,13,1,1,0,1,89.09657451082153
25,28,4,17,0,0,1,1,93.80471203855382
7,21,4,12,0,0,0,0,71.88392212223904
33,23,5,14,1,0,1,1,97.35530677447709
27,25,8,15,1,1,0,1,98.62738233207358
19,20,7,17,0,0,1,1,89.55510620227253
25,24,5,15,0,0,1,0,83.21358457612646
42,21,8,20,0,0,0,0,100.14352264639008
25,22,2,18,1,0,0,0,83.99071667604707
30,29,5,17,0,1,0,0,90.36787765554736
28,25,11,15,0,1,0,1,100.23249669620714
20,25,8,20,0,0,0,0,86.14868483100693
21,24,5,12,0,1,0,1,89.91517768110143
24,22,5,13,1,0,1,0,82.33152529296723
26,21,5,15,1,1,0,0,86.16579247473955
3,19,3,12,0,0,0,1,73.75695713537011
13,23,2,15,0,1,0,0,76.33677415311159
22,21,3,20,0,0,1,0,83.91768325744079
18,20,8,12,0,1,0,0,82.2138294526616
34,24,6,21,0,0,1,0,92.32885785377542
32,22,7,11,1,0,0,0,90.43275122809018
12,19,6,19,1,1,0,1,86.35964559359581
37,25,5,13,1,0,1,0,91.00684244123184
22,25,8,18,1,0,0,0,85.659646404541
13,20,6,12,1,0,1,1,86.03660266526899
49,26,4,16,1,0,0,0,99.9352978558312
18,26,5,19,1,0,1,0,83.98175750351334
26,18,5,19,0,1,1,0,88.34918549384815
39,16,4,14,0,1,0,1,97.97963945087182
25,23,6,18,0,1,1,1,96.73384727163533
13,24,4,11,1,0,1,1,83.18820696853638
41,24,3,21,1,1,0,0,99.56974075551268
14,25,8,16,0,1,1,1,92.9343335195454
23,25,8,19,0,0,0,1,95.07212430289324
23,25,4,11,1,0,0,0,81.51633220629151
32,28,8,17,0,1,0,1,102.36309634981062
18,30,4,17,1,1,0,0,85.14183051960579
24,25,5,21,0,1,0,0,87.30750372849036
30,24,3,12,0,1,1,1,93.80261519564527
21,17,5,19,1,1,0,0,84.40100444126216
33,21,5,14,0,0,1,1,95.81574960051609
33,22,4,18,1,0,0,0,88.73056446480335
24,26,7,13,0,0,0,1,91.95568343342184
36,19,6,15,0,0,1,0,91.1610117466242
8,26,6,11,1,1,1,1,84.97220737088345
43,22,4,17,1,0,1,1,104.37095841755742
14,26,8,21,1,0,1,1,92.59325597288888
29,22,6,23,0,1,0,1,99.62094340254752
20,27,4,21,0,0,0,0,84.7872083312129
20,30,3,5,0,1,0,1,86.38974387067982
28,32,8,7,0,0,1,1,95.62899945706307
13,17,4,16,1,0,1,1,82.61349845858439
22,23,0,20,0,0,0,1,89.11816317393206
33,21,4,12,0,0,1,1,94.79975459454732
23,26,5,11,1,0,1,0,83.96630109793848
24,30,6,12,0,0,0,1,90.3869927389068
30,29,4,12,1,0,0,0,88.90486680008138
12,21,1,20,1,1,1,0,76.92724174549114
29,32,4,15,0,1,0,1,97.91682322074
28,21,7,9,1,1,1,0,85.45403742194468
16,26,6,17,1,0,0,1,91.70160376982318
25,18,2,17,1,0,0,1,90.77082714983251
43,23,5,8,0,0,1,0,90.48784241567424
13,19,5,19,0,1,0,1,88.65047804917671
21,23,6,18,1,0,1,0,83.7442963466099
23,27,3,15,0,0,1,1,90.27954197845132
29,31,9,19,0,1,1,1,106.1487191703658
18,19,8,15,0,1,0,0,82.49862143760913
25,27,7,14,1,0,0,1,98.10513514299926
17,29,4,25,1,1,1,0,87.45344020535381
18,22,7,6,1,1,0,0,77.22084221575366
41,28,5,19,1,0,0,1,105.8391690344902
40,18,8,17,0,1,1,1,103.054569200956
30,22,3,17,0,0,0,0,84.73871659161958
41,22,3,14,0,0,1,0,91.16935757292974
24,22,7,21,0,1,1,1,98.56469545784446
17,25,8,20,0,1,0,1,94.40988988454558
23,21,0,15,1,1,0,0,78.84202201414712
14,27,8,14,1,1,0,1,89.9817004008488
33,21,2,15,0,0,0,1,93.56565661340598
30,18,8,15,1,1,1,0,89.72425979061961
48,26,6,12,1,0,0,1,106.99409404676145
14,25,7,10,0,1,1,0,78.18371457010461
23,20,3,16,0,0,0,1,89.93215347193205
20,24,6,17,0,1,1,0,86.43476291192574
39,25,5,16,0,0,1,1,101.69662416299111
38,21,3,21,0,0,1,0,94.28142655562348
20,27,8,11,1,1,1,0,84.5294931527359
11,18,3,9,1,0,0,0,71.28624477979749
20,20,5,13,0,1,0,1,89.56701318246473
12,26,1,10,0,0,0,0,74.16716414251185
37,25,5,22,0,1,0,1,104.95843575111978
32,23,12,15,1,0,0,0,94.47650731785762
30,26,9,14,0,0,1,0,89.87236967019508
5,17,5,14,0,0,0,1,79.67283879250623
17,20,5,10,0,0,0,0,76.53418360455612
32,24,2,11,1,0,1,0,84.13551796223585
35,21,6,14,1,0,0,1,97.3361701212832
26,26,2,14,0,1,0,0,85.09637233127626
9,24,2,19,1,1,1,1,84.24622312958323
21,21,5,14,0,1,1,1,90.13636338081623
32,27,4,13,0,1,0,0,88.60707235035034
33,30,5,13,0,0,0,0,91.80033497444776
10,20,4,15,0,0,1,1,81.82251175040234
26,16,5,14,1,1,0,0,83.63667358398254
28,22,9,17,0,0,1,0,89.18532698167999
21,21,5,14,0,1,0,0,80.44779472667648
37,17,6,3,0,1,0,0,86.11355966107178
43,29,8,6,0,0,0,0,95.56601828887312
11,18,10,19,1,0,0,1,90.62116681542048
21,21,9,17,0,0,0,1,93.94184145066843
29,21,3,16,0,0,0,0,83.67722875018696
33,25,10,21,1,0,1,1,104.2176825796844
26,25,0,12,1,0,0,0,81.5996697333565
20,13,6,18,0,1,1,0,80.02246176102183
27,24,2,22,0,1,0,0,85.85679749290101
17,22,1,14,1,0,1,1,82.72328044535165
16,28,2,21,0,1,1,0,82.23451265970488
16,29,3,19,0,0,0,1,89.37532272027734
27,22,5,13,0,1,1,1,91.70478677379826
29,29,9,19,0,0,0,0,93.79023962229836
23,26,3,9,0,0,0,1,86.7512192360266
20,24,6,13,0,1,0,0,83.71762833530035
26,26,6,10,1,0,0,1,92.73594624898446
28,19,3,23,0,1,1,1,95.86321583749172
21,17,7,19,0,0,0,1,91.31035856860848
15,20,7,22,1,0,0,0,81.0726431969018
26,23,4,11,0,0,1,1,89.8776528800235
12,28,0,20,1,1,0,1,86.19888785742036
37,19,4,9,0,0,1,1,94.37038239901658
20,26,4,21,1,1,0,1,94.24923737850992
22,15,7,10,1,0,0,1,86.99026000705557
24,15,4,16,1,0,1,0,80.88849392786159
47,18,7,15,1,0,1,1,106.40138891683856
21,28,8,11,0,1,0,1,92.78764185462748
25,24,8,13,0,0,0,1,94.04650589332644
27,26,6,15,0,1,0,0,87.45847481953619
32,29,3,15,1,1,1,1,98.28091103237324
20,19,8,21,0,0,0,1,92.50126322608264
16,17,1,17,1,1,0,1,84.21892017190127
8,22,8,13,0,1,0,0,76.34393715455346
13,15,11,17,1,0,0,1,89.97634312789225
22,23,4,18,0,1,1,0,84.97562933037912
30,20,6,13,0,0,0,0,86.51246437850618
28,24,9,15,0,1,0,0,89.4000593737623
34,21,5,14,1,1,0,0,90.2114431154332
34,20,8,12,1,0,0,1,98.07383874150952
26,18,4,12,0,1,1,1,89.7422514310924
21,26,7,12,1,1,1,0,86.28091074652836
43,23,7,16,1,0,0,0,97.80214350152082
27,25,5,19,1,0,0,0,88.91340525728447
20,30,9,13,0,0,0,1,93.5464325775605
18,22,3,17,0,0,0,1,87.71782102034787
24,20,4,10,1,0,0,1,88.86656064338874
13,20,11,21,0,0,0,1,92.46838095490848
32,23,6,22,0,1,0,1,100.55040653392122
23,22,4,17,1,1,0,1,91.78909573529786
32,28,5,15,0,0,1,0,90.38904321292112
31,27,4,15,1,0,0,0,89.4658210702441
19,33,8,7,0,1,1,1,90.29358462740456
17,30,5,10,1,1,0,1,90.24046840649144
11,27,8,19,0,0,0,1,90.73885347779922
19,29,7,16,1,0,1,1,96.04397522251722
46,26,7,16,0,0,0,1,108.15332844846156
30,14,2,23,1,1,1,0,88.18088560672543
11,25,6,16,0,0,1,0,78.51449785197131
38,29,7,5,1,0,1,0,90.54563889413524
44,23,6,16,0,1,1,1,107.48571904969263
23,24,6,9,0,0,0,1,90.08359759715384
11,29,10,12,1,1,0,0,81.7360903549254
28,15,5,16,0,1,0,1,93.72461871539608
14,27,6,14,0,0,0,1,87.63226006478614
35,21,5,11,1,1,0,0,89.8733535099537
31,16,9,22,0,1,0,0,91.79278923464938
29,26,0,19,0,0,1,0,86.05373451727998
12,24,2,18,1,1,0,0,79.03060024696507
42,13,6,16,0,0,1,0,92.8196048431424
29,30,5,9,1,1,0,0,86.62592290500795
29,22,8,19,0,1,1,0,92.03670284697328
28,24,5,12,0,1,0,1,96.3439845741547
21,22,3,16,1,0,0,0,81.67308648748869
24,25,6,18,0,0,0,1,94.51907242130792
11,23,7,13,0,0,1,1,84.65233805557476
38,25,8,19,1,0,1,0,99.00415977979584
29,22,4,8,0,1,0,0,85.66086295836227
18,17,3,11,0,0,0,1,82.93089787106838
22,21,6,20,1,1,1,1,93.51194756093784
24,21,5,10,1,0,0,0,81.05475016213843
24,29,2,18,0,0,0,1,91.21621395523772
25,24,7,17,0,0,1,1,95.914919823172
18,24,9,9,0,0,1,0,81.28282582350606
24,24,5,13,0,0,1,0,84.19743428467945
15,24,10,9,0,1,0,0,81.21099172899731
12,23,9,20,0,0,0,1,90.21946809244078
16,27,9,19,0,0,1,1,93.66453356022726
32,20,9,25,1,0,1,1,103.89645534300212
48,25,9,17,0,0,1,0,101.20661374576846
17,25,5,17,1,0,1,1,89.90762819211434
38,33,7,17,0,0,1,1,106.05170918521722
8,27,0,17,0,1,0,1,80.68956507729185
16,24,4,14,0,1,1,1,86.14739129298748
11,28,6,17,1,1,1,1,86.97551665078369
19,27,8,18,0,0,0,1,92.30339324794085
34,31,4,14,0,0,0,1,99.2012501893932
16,28,8,18,0,0,0,1,91.5360084503407
22,21,5,12,0,1,1,1,87.66763374014876
40,19,6,15,1,1,0,1,100.71675730469762
0,28,2,15,0,1,0,0,70.4360143304629
10,29,9,11,1,0,0,1,87.89623361723704
41,26,8,14,1,1,1,1,103.99982331424306
15,20,6,18,0,1,0,0,80.11011300324341
16,21,3,10,0,0,0,0,73.14578937353518
19,24,5,15,1,0,0,0,82.76865520802738
17,22,10,14,1,0,0,0,85.9295329933477
22,30,3,12,0,0,1,0,81.8364148257472
27,24,7,16,0,1,1,0,87.74054955579506
38,22,7,20,1,0,1,0,97.74714982316036
24,21,9,12,0,0,1,0,83.80565333934949
25,25,3,12,0,0,0,1,88.93882466193621
29,29,6,19,0,1,1,0,94.50609595413292
11,25,13,18,0,0,1,0,85.39873528098636
28,27,5,26,0,0,0,0,89.64155673840945
20,31,5,21,0,1,0,1,96.06636071762716
18,21,3,9,1,1,0,0,77.31604720269094
36,29,5,5,1,0,0,0,89.55046186464756
26,24,5,12,0,0,0,0,83.6283211651781
12,26,9,16,0,0,1,0,82.11378862434717
23,26,7,17,1,1,0,1,95.49871146062756
11,21,10,12,0,0,0,0,78.90360921275796
26,25,6,19,0,1,0,0,89.54543150149136
30,21,5,14,0,0,0,1,95.45745316210088
46,23,4,17,1,0,1,1,106.59919227384889
6,22,3,18,1,0,1,1,81.0095447508661
19,23,4,21,1,0,0,1,92.73330505717476
23,26,8,20,0,1,0,1,97.86918081131792
34,22,6,13,0,0,1,1,96.1649495320386
21,25,4,11,0,0,0,0,79.4326469496627
20,29,5,17,0,0,0,1,92.42946971763004
21,26,7,13,1,0,0,0,83.32117963119656
28,26,1,13,0,1,1,0,83.80079010966652
7,21,8,15,1,1,0,1,83.00282399899248
4,28,6,18,1,0,0,1,83.31472650802117
1,30,5,13,0,1,1,1,80.16181044183367
22,28,8,19,0,0,1,0,88.3542767128851
19,20,8,7,1,1,1,1,87.60318328420452
20,24,2,12,0,1,1,1,86.13969917217489
27,23,9,11,0,0,0,0,85.82136470786153
24,25,7,13,1,0,1,1,95.12547499894872
32,15,10,8,0,0,1,1,94.49493682477583
30,25,6,9,0,0,0,0,86.29521487926058
13,25,6,12,0,1,0,0,78.79604268202132
32,23,6,17,1,1,1,1,101.6122301472452
30,23,9,14,0,0,0,0,89.16558507893603
18,21,5,14,1,1,1,0,83.46225083658143
15,19,4,12,1,1,0,1,83.3164079151296
2,16,8,15,1,0,1,1,79.53162492541529
26,32,9,23,1,0,0,0,94.68497136270776
12,26,8,11,1,0,0,0,78.73063413763145
45,23,5,22,0,1,1,0,100.88037870542686
13,19,5,18,0,0,0,1,86.33421895617415
40,27,4,16,1,0,0,0,94.07412436776713
6,26,5,12,0,0,0,1,80.11909829286091
12,24,3,17,1,0,1,0,74.8824094740308
27,21,3,17,0,0,1,1,92.41415108180222
37,26,5,22,1,0,0,0,97.85105353853628
22,26,7,13,1,1,1,0,85.05944257704991
30,23,6,22,1,0,0,0,92.5223111521379
14,24,7,14,1,0,0,1,89.4385196748957
26,23,4,19,0,1,1,0,86.98473964635451
20,24,9,13,1,1,1,1,94.22237945809935
30,22,7,11,1,1,0,0,88.77769492930787
27,21,4,23,0,0,1,0,86.7291357554891
28,27,2,14,0,1,0,1,93.37243297274468
20,22,0,16,0,1,0,0,77.85688925839662
11,23,2,5,1,0,0,0,71.02050743452101
42,23,6,11,1,0,0,1,100.88369554718044
13,26,1,20,0,1,0,1,89.14257301941387
20,19,7,21,1,1,1,1,94.30138869519456
32,19,7,19,1,1,0,0,91.55289564805048
30,17,8,9,1,1,0,1,92.8574472422724
15,19,8,19,1,1,0,1,90.8629690897405
18,25,6,24,0,0,1,1,93.7843186315268
12,21,7,11,0,1,1,0,76.73580407848904
26,29,6,23,1,0,1,1,98.40751702765782
25,21,7,13,0,0,1,1,92.81122518161897
31,24,6,16,0,0,0,1,98.10752456936682
23,21,7,9,1,0,1,1,92.04276968781298
26,19,3,14,0,0,0,0,81.16109320200155
32,18,4,16,1,0,0,0,86.38686730999288
11,24,4,14,0,0,0,0,75.63278247054241
26,26,8,15,0,0,0,1,97.29501916638532
25,25,6,12,0,0,0,1,92.73485628060943
29,23,5,16,0,1,0,0,86.68988390324007
31,19,5,7,1,1,1,0,85.33011520624788
13,24,2,21,0,1,0,0,80.46414522873759
25,19,5,21,1,1,1,0,86.98862110031199
13,12,4,16,0,1,0,1,83.49556017314039
23,19,7,19,1,1,0,1,94.01416327713922
33,21,5,19,0,1,1,1,100.2134665809931
55,28,3,12,0,0,1,0,101.86686355730065
22,22,5,12,1,0,0,0,81.6820425642404
22,22,6,15,0,0,0,0,82.55176908864686
20,26,7,8,0,0,1,0,81.4406133704807
10,31,0,13,1,0,1,0,75.33154419066261
20,15,7,15,1,0,0,0,80.7548848659809
19,21,6,9,1,0,0,0,78.03819046663556
16,27,2,17,0,0,1,1,86.19965159695478
1,26,7,12,0,1,0,1,79.18998544685996
33,24,6,19,1,0,1,0,94.19189997072588
32,26,3,22,0,0,1,1,99.86800227457375
11,26,5,14,0,0,0,0,77.01026844302898
15,29,5,28,0,0,1,1,94.13137645474146
41,23,2,15,0,0,0,1,99.45167414645336
37,19,10,11,0,0,0,1,100.02219243489792
23,24,2,10,0,0,0,1,85.10096827374373
