defendant_age,lawyer_experience_years,previous_convictions,legal_aid_received,plea_bargain_accepted,community_service_completed,restorative_justice_program_participation,recidivism_within_2_years
27,32,6,1,0,1,0,84.75964193933909
21,22,8,1,1,1,0,78.22031602105864
25,22,5,1,1,0,1,84.79286748098669
27,22,6,0,1,0,1,83.84319623611135
11,24,9,0,1,1,0,79.88138359562099
0,28,4,0,0,1,0,77.49113035731537
20,20,5,1,1,1,0,76.9633385727979
25,22,7,1,0,1,0,78.54481283268505
40,22,2,1,1,1,0,80.40922677954836
1,25,6,1,0,1,0,77.50282700705387
26,27,5,1,0,1,1,88.31088337755885
25,29,8,1,0,1,1,91.86466799345706
38,24,4,1,1,1,1,87.3686638975566
18,26,7,0,1,0,1,86.7142070883331
13,16,8,1,1,0,0,72.96581737173697
16,23,6,0,1,1,1,83.2079289829072
42,22,5,1,0,0,0,79.3623779699773
26,18,4,0,1,1,0,73.68739581852051
34,15,3,0,0,1,1,79.73909996842848
17,17,5,1,1,0,0,74.06615711436761
7,26,8,0,0,1,0,80.44150611347708
0,20,6,1,1,0,1,81.26219349552657
33,29,8,1,1,1,0,86.53449926206851
25,23,7,0,1,1,1,84.65146980356101
8,26,3,1,0,1,1,85.79272604157067
26,26,7,1,1,1,1,87.48220684363315
15,15,6,0,1,0,1,77.8236198394516
31,34,8,0,1,0,1,92.55474732857398
2,23,7,1,1,0,1,82.77818175943706
10,28,3,0,1,1,1,88.04475713143543
16,23,7,0,1,0,0,78.47774321105348
17,22,4,1,0,0,0,76.46664245120596
28,32,7,0,1,1,0,86.92044561908084
21,24,5,1,1,1,0,81.00006402966137
19,25,5,0,1,1,0,80.42688301541902
43,22,6,1,0,0,1,85.34759098993234
32,23,2,1,1,1,0,78.42869771671589
41,21,4,1,0,1,0,78.48834680514626
32,25,5,0,1,1,1,86.29605859556412
11,24,6,1,1,0,1,85.53607348953891
13,20,5,1,1,1,1,82.97197541975102
26,29,3,0,1,0,1,87.86458969217038
10,23,2,1,1,1,0,76.36010643908257
21,25,4,1,1,0,1,87.03675296109454
36,22,5,1,1,1,0,80.87184546016475
24,28,5,1,1,1,0,81.3622247564616
29,29,8,1,1,1,1,89.68079604290759
42,26,6,0,0,1,0,81.22853332371871
29,18,6,1,0,1,1,83.64328647463891
25,22,5,1,1,1,0,79.37056385565315
29,20,9,1,1,1,0,76.80309297496939
12,27,7,1,0,0,1,85.74266197552767
32,21,5,1,1,1,1,85.81129039235289
22,29,10,1,0,0,1,87.57798845488581
23,29,5,1,0,1,1,89.7969411840826
20,32,9,1,1,1,0,84.85556737807003
24,23,6,0,1,1,1,86.39716719003572
42,23,2,0,0,1,1,87.20431138491868
34,30,3,1,1,1,0,85.66022882268294
37,27,7,1,0,1,0,83.8630547511692
27,23,7,1,1,1,0,81.54327313666596
19,25,7,0,1,0,1,87.966419928431
24,23,2,0,1,1,0,78.66820466394384
35,23,11,0,1,1,1,86.65692035091206
20,27,7,1,1,1,1,87.07939583270876
31,22,4,1,1,1,1,86.66495671312285
14,25,5,0,0,1,0,79.76937791152214
44,19,6,0,1,1,1,84.31516846765074
12,24,4,1,1,1,0,78.73788977278959
18,21,4,0,1,1,0,76.96771454531985
37,26,5,1,1,0,1,88.64672113573069
19,31,7,1,1,0,0,85.69914318764646
11,20,3,0,1,1,1,80.99019132684104
14,19,7,0,1,0,0,76.97532402546233
28,25,3,0,1,1,0,81.04713655476604
33,24,3,1,1,1,0,81.69324540994147
16,29,7,1,1,1,1,88.45638038322943
46,26,5,1,1,1,0,82.0592822158599
25,24,2,1,0,1,0,79.61655373116652
27,22,4,0,0,1,0,79.40408860525973
13,30,9,1,1,1,1,91.8029961895006
32,24,5,1,1,1,0,81.33792730830731
35,23,6,0,1,0,0,81.5580708675945
33,25,8,0,1,0,1,87.40875145662419
31,25,12,1,1,0,1,88.43256610981673
35,26,5,0,1,0,0,79.74132505637306
39,18,7,1,0,0,0,78.22919958992387
23,18,6,0,1,1,1,80.62406087179993
28,27,12,1,1,1,1,90.5462938357786
33,22,7,0,0,1,1,85.03562720136836
23,22,4,0,1,1,0,78.54340869879604
38,26,7,0,1,0,0,80.46163086781401
17,24,9,1,1,1,0,79.72460575949074
24,21,6,1,0,1,0,76.28201223560475
39,25,12,1,1,1,0,83.8556613606305
18,27,0,1,1,1,1,88.0309157012896
27,16,6,1,1,1,1,77.7153782849522
17,14,4,1,1,0,1,78.26506626904455
12,26,6,1,1,1,1,87.12125715685636
43,26,9,0,0,1,0,83.62172297638325
20,29,6,0,1,1,1,89.29836505986157
13,22,6,1,0,1,1,82.55085182753552
23,19,2,1,0,1,1,81.67020048797127
13,15,4,1,1,1,0,74.80951932929119
6,25,7,0,1,1,1,85.98683828738695
13,23,6,1,1,1,0,78.63736056442775
36,29,6,1,1,1,0,84.74646201006816
25,17,2,1,1,0,1,79.32789746215344
17,26,6,0,1,1,0,80.38010076304207
8,29,3,0,1,0,1,86.1132653623282
26,25,5,1,0,1,0,79.1811311140395
41,15,5,1,0,1,0,73.90358453716946
10,25,4,1,0,0,1,85.58799843115771
8,26,4,1,1,1,1,87.70475815988571
29,21,3,0,0,1,0,77.85761155379889
28,22,5,1,1,1,1,84.93788926624188
16,24,5,1,1,1,0,79.72793543656384
31,28,3,1,0,1,1,86.1740488813838
11,25,3,0,1,0,0,78.17335142466266
9,25,8,1,1,1,0,78.8057399044527
30,25,5,0,1,1,0,81.54756870211938
44,26,3,1,0,0,1,87.68586903934393
22,20,4,1,1,1,0,76.15539658108325
36,25,6,1,1,1,0,81.98082082935119
29,28,3,0,0,1,0,82.86224874999978
14,17,4,1,1,0,0,74.99621827924732
33,23,4,0,1,1,0,78.6856295533035
39,20,5,1,0,1,0,76.92233880205056
9,31,8,1,1,0,0,84.37336166632717
29,20,4,1,1,1,1,83.88088995656051
18,20,4,0,1,0,0,73.76946983663305
32,29,8,0,1,0,0,85.12546330577234
29,24,4,1,1,0,1,85.56916106103016
21,30,6,1,0,1,0,83.10346168150352
12,22,8,1,1,1,0,78.18157722467303
31,23,6,1,0,0,1,86.38889903329671
25,23,8,1,1,1,0,79.38200176776458
43,24,4,1,1,0,0,81.09651256780009
12,26,6,0,1,1,0,79.8122338162251
7,20,3,1,1,0,0,74.17592483335704
34,21,9,1,1,1,1,88.56682287620909
8,26,10,0,0,1,1,85.54126998435466
45,28,1,0,1,0,1,90.8070431470065
29,20,6,1,1,1,0,78.6682132921112
28,24,4,1,1,0,0,80.36138718978053
35,28,6,0,1,1,1,91.24565658455197
20,27,8,0,0,1,1,87.99063369431269
24,28,7,1,0,0,1,89.34894258573232
30,24,7,1,0,0,0,81.12158313786189
29,28,4,1,1,1,0,84.71768481363645
3,21,8,1,1,1,0,76.06469173754972
21,24,7,0,1,0,1,86.12745048684354
27,22,6,0,0,1,1,83.52756683360066
29,25,2,1,1,1,0,79.2975629058127
60,26,10,0,0,1,0,85.37377839908316
16,21,4,1,1,1,1,83.32984780505625
35,28,12,0,1,0,0,84.69403006629145
26,18,1,0,1,1,0,75.7654593753289
32,25,4,1,0,1,0,80.71609629699715
-13,23,5,0,1,0,0,74.52353297919987
35,19,1,0,1,0,1,81.3835308012981
23,22,7,1,1,1,1,86.65590517997742
19,23,5,1,1,1,0,79.3394280720035
28,24,7,0,1,0,1,86.79316382810899
8,24,4,0,0,1,1,84.35623409023218
41,19,2,1,1,1,1,84.10601796679876
36,18,5,1,0,1,1,83.49325082362164
39,22,0,0,1,1,1,84.6026056827376
26,20,6,1,1,0,1,82.12441066263364
20,29,0,1,1,1,1,88.75509761088165
32,24,5,1,0,1,0,79.5822853415996
27,25,6,0,1,1,1,86.0111570992064
26,24,3,0,1,1,1,86.38750870811187
22,26,4,0,1,1,1,86.78373003270791
13,23,6,1,1,0,1,84.18692384967204
41,24,7,1,0,1,0,81.67964622935035
16,26,8,1,1,1,0,80.20205603132798
19,20,2,0,1,1,1,81.74456563814903
19,22,5,1,0,1,1,84.04192044848163
22,27,5,1,1,0,0,82.31494431151815
59,20,7,1,1,1,0,80.07675347555364
23,26,8,0,0,1,1,87.77420112520967
40,24,7,1,0,0,1,87.03251694039994
-1,20,6,0,0,0,1,80.31965535871436
15,25,2,1,1,1,1,84.40501673805127
24,19,1,1,1,1,0,76.07865062816958
25,21,4,1,1,1,0,78.48005407266372
6,20,4,0,0,0,0,73.46393722872031
15,22,6,1,0,0,1,82.43416497034528
32,23,3,1,1,1,0,79.47436115646107
25,27,6,1,0,1,1,89.19099106041972
19,26,8,1,1,1,0,82.11073435268324
20,28,4,0,1,1,1,88.00205509235751
21,25,7,0,1,1,0,81.35292913496917
15,22,4,1,1,1,1,83.12751480650292
19,29,8,1,1,1,1,89.87446424177207
18,31,4,1,1,1,0,85.652602111324
17,19,10,1,1,0,0,76.2168234385307
29,22,4,0,1,0,0,77.82974915547639
24,17,4,0,0,1,0,74.14350404956632
13,28,3,1,1,0,0,80.12663202721639
20,23,1,0,1,1,0,77.97874664793136
21,23,7,1,0,1,0,77.82888056445516
41,19,5,0,1,1,1,84.08329237134167
21,21,6,1,1,1,0,77.67449786569067
30,30,7,1,1,1,1,94.11349647904468
31,25,7,1,0,1,1,86.73054374830441
26,21,4,1,1,0,1,83.17198978200511
28,22,4,1,1,1,0,80.62343063373044
44,23,4,0,0,1,0,79.92345616256142
40,22,4,0,0,0,0,78.61186703982257
26,26,2,1,1,1,0,81.20409474644767
20,29,5,1,0,0,1,87.72905961271935
49,25,3,0,1,1,1,88.92300070359862
5,28,6,0,1,1,0,80.8339073719171
34,23,5,1,1,0,1,85.61356223699029
7,28,6,1,1,1,1,87.91048865499191
20,19,8,1,1,1,1,82.91314113963318
27,17,6,1,1,0,1,81.72618705188907
33,18,7,1,1,1,0,77.30131846707415
31,25,3,0,0,1,0,81.47024334842865
17,17,5,1,1,1,0,75.21415811457656
29,27,5,1,1,1,1,90.33549007152271
22,27,9,1,1,0,0,81.49141112507344
15,25,8,1,0,1,1,84.92267674139553
30,20,1,1,1,1,1,84.8495792195626
16,29,10,1,0,1,0,81.65968893459055
14,15,9,1,1,1,1,78.82697922041825
15,27,5,0,1,0,0,79.37268575169671
14,27,6,0,0,1,0,79.87110520137323
32,23,9,0,1,0,0,81.07156123810466
0,21,4,1,0,0,0,74.13304755893728
25,20,7,1,1,1,0,76.7856836116077
39,20,4,1,0,1,1,84.19724887363762
37,17,7,1,1,0,1,84.13196445219785
15,26,6,1,1,1,0,81.120134382215
19,26,2,1,1,1,0,79.58466325793064
28,29,6,0,0,1,1,91.01310692964984
14,22,7,0,0,1,0,75.86775116783531
23,22,3,0,1,0,0,77.8096681591371
27,23,6,1,1,1,0,79.65697182573587
36,20,4,1,0,0,0,75.89890502082537
43,28,7,1,1,1,1,90.49787920955288
28,25,9,1,1,1,1,88.85684024933869
16,20,7,0,0,1,0,75.71182742372629
32,20,5,1,1,0,0,77.72316509176619
25,17,3,0,0,0,0,72.85859129617187
40,27,8,1,1,1,0,84.2840825866432
26,15,9,1,1,1,0,74.16584493950552
41,25,4,1,1,0,1,87.55664802743782
17,27,7,1,0,1,0,80.70652533871939
27,19,6,1,1,1,1,83.22297391563443
30,21,7,0,1,1,0,78.0741746351276
27,26,5,0,1,1,0,82.12477060834277
20,29,7,0,1,0,1,87.91536653163656
35,22,7,1,0,1,0,79.86898871721432
38,20,6,1,1,1,1,85.16130975495963
17,25,9,0,1,1,1,85.07588560672562
1,27,6,0,1,0,0,77.67659162264937
17,28,5,1,0,1,0,81.12508506299982
18,27,8,0,1,1,1,88.90353810052393
19,23,8,0,1,1,1,84.54687411128069
27,19,7,0,0,1,1,83.99578373679932
34,20,6,1,1,0,1,82.87711838369
31,21,4,0,1,0,1,84.41057156264235
29,21,2,0,1,0,0,77.56370528434833
21,17,5,1,0,0,0,73.60006488395346
37,28,6,0,1,1,1,91.49626319828737
-5,20,2,0,1,1,0,73.6734278668431
12,20,5,1,1,1,1,84.1808827076432
19,25,7,1,0,1,0,79.30831175036728
32,28,6,0,1,1,0,83.17621321257582
25,27,6,1,1,1,1,88.85999951803291
45,28,8,0,1,0,0,84.99611915668729
10,18,6,1,0,1,0,74.44550735362803
9,26,6,0,1,1,0,81.04883108420064
45,22,6,1,1,1,0,80.91786800916168
22,21,5,1,1,1,0,77.29815326604154
28,26,7,1,1,1,1,89.1032664738619
16,20,1,1,1,1,1,81.72837459527359
35,27,7,1,0,1,1,89.75411085587396
34,24,11,1,1,1,1,91.0160087980114
27,23,5,0,1,0,1,86.13147720607566
32,28,6,1,1,1,0,84.91813892720653
42,21,3,1,1,1,1,86.86806110786524
20,26,1,1,1,1,1,85.18872483162642
17,26,8,0,1,1,1,87.70542420871779
31,14,5,0,0,1,1,79.13426541418795
38,24,4,1,1,1,0,82.62841648861115
17,25,3,0,0,1,0,78.89504678494002
39,26,7,0,0,1,0,84.9359713047589
29,15,7,0,0,1,0,72.91614091743914
0,27,3,1,1,1,1,84.69749310216255
31,26,4,1,1,1,1,86.18420097437435
28,23,9,1,1,0,0,79.21156455189694
27,24,7,0,1,1,1,85.32646774456003
21,18,6,0,1,1,1,80.64661687078143
6,25,6,1,0,1,0,79.11589095846331
25,18,9,1,1,0,1,82.05383852575474
33,19,4,1,1,1,1,82.81537959173424
24,22,7,0,1,1,0,77.1360010093168
55,18,9,1,1,0,1,84.47594704457003
32,22,6,0,1,1,0,79.1399131364254
21,25,6,1,0,1,0,80.97949147270201
37,21,6,1,1,1,1,86.32521284262636
37,17,3,1,1,1,0,76.58448201905534
27,24,5,1,0,1,0,78.4256456220809
25,28,7,0,1,1,1,91.61147378829256
40,35,10,0,1,1,1,96.47996021682688
27,23,5,1,0,1,1,84.18116139458479
29,21,6,1,1,1,1,84.68895801306245
28,18,5,1,1,1,1,84.38504744100777
15,21,1,1,0,1,1,81.54948652251699
31,23,3,0,0,1,1,86.11983315934404
19,20,5,1,0,1,1,82.96259761898939
20,24,10,0,0,1,1,85.6869198733335
33,25,6,1,1,1,1,86.72861424783675
24,23,3,0,1,1,1,84.98969089318979
20,21,4,0,0,1,0,77.92947822109086
22,19,11,0,1,1,1,81.55507002134829
28,30,2,0,1,1,0,83.911203088683
18,28,9,0,1,1,0,83.87853813249527
12,23,9,1,0,1,0,79.36684817936451
9,24,3,1,1,1,0,77.16918774688203
18,20,4,1,1,1,0,78.48224495551862
29,28,10,1,1,1,0,81.93287719204523
19,21,5,1,0,1,0,76.38319762580183
32,19,10,1,0,1,0,77.64866294784399
23,23,6,1,0,1,0,79.08377142216833
29,21,5,1,1,1,0,79.272914982443
19,28,2,1,1,1,0,80.70604769806607
24,27,0,1,0,0,1,87.78956267691093
24,22,6,1,0,1,0,78.10742854023569
24,25,6,0,1,1,1,85.2761354779585
16,16,3,0,1,1,0,72.32134860284545
33,20,1,1,1,1,0,76.72270334859107
36,18,6,1,0,1,1,82.32599401734288
28,24,2,1,1,1,0,80.11498150757156
29,21,7,0,1,1,0,79.74416324128909
38,25,6,1,1,0,1,86.69061646959608
18,14,4,1,1,1,0,72.17643203336223
6,28,4,1,1,1,0,81.82476092185216
13,25,6,1,0,0,0,77.6603773878601
27,21,5,1,1,1,0,79.73955222175607
6,24,6,1,0,1,1,85.26296128961424
21,26,1,1,0,1,1,85.62371890397398
25,19,5,1,1,1,0,76.35317606980868
20,28,4,1,0,0,0,79.49191368458752
28,26,6,0,1,1,0,82.35837151373002
58,20,7,1,1,1,1,85.2213319976731
11,22,3,1,0,0,0,75.95949443572012
39,25,6,1,0,1,1,88.55934347289316
27,26,2,1,1,1,1,88.12209956845666
3,21,3,0,1,1,0,75.06260862736283
8,27,9,1,1,0,1,86.0126267677246
25,23,6,0,0,1,1,85.88823282872059
30,23,8,1,1,1,0,80.85972890510399
6,18,4,1,1,0,1,81.41870848247274
27,26,8,0,1,0,1,87.85121101712647
24,24,6,0,0,1,0,80.21741816063393
17,34,5,1,0,1,0,85.63565184583746
20,25,9,1,0,0,1,87.61328679039025
25,25,5,0,0,1,1,86.06205346036991
23,21,4,1,1,1,1,84.5403288138531
33,24,6,1,1,1,1,87.76888861419387
23,23,7,0,1,1,1,82.59623962331582
5,22,3,1,1,0,1,81.53788555263243
22,25,5,0,1,1,0,80.18653497035594
23,14,7,1,1,1,1,78.15824447032655
8,20,4,0,1,1,1,80.80369465104745
