age_of_candidate,candidate_education_years,previous_campaigns,political_party_affiliation,gender,incumbent,minority_status,population_wealth,campaign_funding,election_result
4,28,16,14,1,0,1,7,8,95.66902848786845
7,27,6,12,0,0,1,11,26,237.44777437462375
11,32,5,16,0,0,0,7,23,209.41251512502467
12,28,9,13,1,1,1,14,28,251.5631853242911
6,32,9,16,1,1,1,12,19,181.9198852649116
10,27,3,13,1,1,1,13,32,287.5407680911372
12,30,8,10,0,1,1,6,27,243.66074203003507
8,30,10,12,0,0,0,12,23,210.75349537374524
13,29,1,14,0,0,0,12,35,307.68988619967774
13,26,5,12,1,1,0,9,28,249.3325590544246
9,27,5,8,1,1,1,10,33,290.7715311416072
4,27,7,14,1,1,1,12,21,200.55402337690975
4,30,4,18,0,0,0,10,25,238.2747203803392
8,33,16,15,1,1,1,14,14,139.35637526458575
9,28,6,16,1,1,1,9,22,208.14687087239972
10,31,11,18,1,1,0,12,17,165.80765750816772
8,30,5,13,0,0,1,8,24,217.7990227956765
6,30,6,14,1,0,1,9,24,220.626727542422
8,27,5,16,0,0,1,13,24,224.69189639037728
11,31,5,14,0,1,1,13,29,260.3665119599428
4,32,11,12,0,1,1,13,20,186.90488119345284
8,29,7,14,1,0,0,15,28,255.57681823676205
16,29,3,11,1,0,1,16,39,335.4296027837556
12,26,5,12,1,1,0,9,31,279.1873071629687
10,35,2,10,1,1,0,9,34,297.0867121524555
6,30,6,15,0,0,1,11,22,207.3043666738422
9,29,11,12,0,1,1,15,20,183.79880642714616
7,28,5,16,0,1,1,12,26,240.267358208606
7,28,9,12,0,0,0,11,24,221.77432469260543
7,27,9,13,1,1,0,13,23,213.81572635585607
14,27,4,13,0,1,1,15,32,281.0380997991033
5,30,4,16,1,0,0,9,25,232.2986892758
13,32,8,14,0,0,1,13,28,249.2190380060752
6,27,8,15,0,0,0,9,21,200.5158284760031
8,30,4,8,0,1,0,9,33,288.1131273982048
11,29,7,14,0,1,1,13,27,244.99521296643027
6,34,7,14,0,0,1,11,22,203.65234217791027
16,30,4,13,1,0,0,9,32,281.1291217409937
10,24,11,12,0,1,1,12,22,205.93855133252669
10,32,4,14,0,1,1,8,28,250.19281763605105
8,31,10,18,1,1,1,13,21,204.0672494897688
13,27,12,16,1,1,1,10,18,173.60785984162314
6,29,8,16,1,1,1,10,21,200.7170858074016
5,27,2,14,0,0,1,15,27,245.98781822761927
9,27,5,14,1,1,1,17,30,270.50176403982505
10,30,6,13,1,1,0,9,25,227.207058162593
9,23,7,11,1,1,1,12,25,229.6306252725609
15,26,11,16,0,0,1,10,20,188.86528427356896
10,30,8,13,0,0,1,9,22,201.17339640003027
9,29,4,14,0,0,1,7,26,238.03365011269003
8,30,6,14,1,1,1,12,27,248.46639424532225
7,30,5,12,1,0,1,12,29,265.3821712070871
10,30,10,10,1,0,0,10,25,224.64273740476
6,30,8,17,1,0,1,16,20,190.40167152701576
11,31,7,16,0,0,1,9,22,205.276240417052
11,29,6,13,0,1,0,11,29,260.5622959821925
7,29,10,17,1,1,0,11,20,193.60832029104745
6,31,4,17,0,1,1,12,24,223.01213004476335
8,28,4,17,0,0,1,13,23,214.0223014266022
10,28,5,10,1,1,1,10,30,271.166904968953
11,29,12,9,0,1,1,9,22,196.3519855826392
11,30,3,12,1,1,0,12,32,282.3187556245575
7,31,7,9,1,1,1,13,29,259.6054620740898
7,28,10,14,1,0,1,11,21,200.4135762270982
8,32,8,16,0,1,1,11,19,178.20170462193778
11,33,7,14,0,0,0,11,27,245.6524360099542
7,31,4,9,1,0,0,8,33,293.446130368439
5,30,10,11,1,0,1,16,25,228.63610643121916
9,28,10,13,1,0,0,12,22,203.78060238550427
12,31,5,11,1,1,1,11,33,290.27985667495346
13,23,5,11,0,0,0,9,32,283.03232964878674
5,27,9,14,1,0,1,14,20,191.34036802117828
15,30,5,13,0,0,1,10,30,264.58208624092345
6,31,7,13,0,0,0,15,30,270.916379891555
8,32,10,9,1,1,0,11,24,214.890633957904
7,32,2,11,0,0,1,11,35,309.920367908047
9,33,7,17,0,1,1,13,24,220.3777767764911
7,27,9,8,0,0,0,11,27,242.2480526045866
12,28,10,21,1,0,0,13,17,167.1640153487903
6,30,10,16,1,1,1,13,19,183.2572991976905
10,33,7,15,0,0,1,10,24,219.46007746960615
6,28,7,14,0,1,1,12,23,214.3123661470556
6,28,9,13,1,1,0,11,22,205.89922854292257
11,32,5,15,1,1,1,11,28,252.26693373842872
8,27,7,9,0,1,1,15,31,276.4927996180119
6,33,3,13,1,0,1,11,30,271.9218893290155
8,30,10,15,1,1,1,12,23,218.46848615049265
9,32,6,14,1,0,0,10,26,238.49179742961235
11,32,7,16,1,0,0,9,24,220.934553949804
12,30,6,17,1,0,1,12,26,239.41796198039336
8,32,5,14,1,0,0,12,25,228.78165060993817
10,33,7,13,0,0,1,12,25,227.82971431832465
7,31,4,10,1,1,0,11,32,284.6214394125723
11,29,10,10,0,1,1,13,27,240.02627989296624
10,29,8,14,1,0,1,11,25,228.12199197993127
12,25,5,13,1,1,0,12,29,263.8598137441014
6,28,7,13,1,1,1,13,24,223.50493375453476
13,30,6,13,0,1,1,16,32,284.96367030798683
10,24,6,13,0,1,1,12,28,255.75116443527364
7,32,13,15,1,1,1,13,18,173.09430083584172
8,28,13,19,1,0,1,13,16,163.24650050381825
10,28,8,17,1,1,1,13,21,199.5679201035159
10,28,6,12,1,1,1,11,27,243.37009036110663
7,32,10,17,1,1,1,12,17,167.1129429360506
10,33,7,13,0,0,0,12,29,260.4604621234247
10,28,11,18,0,0,1,13,18,173.78198215110282
13,29,8,16,1,1,1,10,23,216.948845039393
9,29,8,17,0,1,1,10,20,189.9669760548514
11,29,10,12,1,0,1,11,24,217.84037115144503
5,32,7,9,1,1,0,11,26,233.16385448465
9,30,7,14,0,0,1,15,26,234.5464419932524
9,26,8,11,1,0,0,15,30,268.7054489682364
6,31,6,17,0,0,0,11,22,207.04071237465095
7,33,8,13,1,0,0,11,25,230.83989338437445
16,27,9,14,1,1,0,12,30,270.00381650959554
8,28,9,17,1,1,1,12,19,183.4275165147117
9,32,2,13,1,0,1,11,30,268.48390586326883
15,31,9,13,1,0,1,16,30,267.3127426083749
10,34,10,14,1,1,0,10,25,226.3924415887937
8,26,12,14,0,1,0,14,21,197.43149518101583
11,32,11,11,1,0,1,8,22,201.4443883951427
5,31,0,16,0,1,1,8,27,248.43942460154963
8,28,6,10,1,0,1,12,31,276.3062678064495
9,28,8,15,0,0,1,13,21,197.30086748531625
6,28,8,15,1,1,0,10,22,209.0126563652297
11,28,6,13,1,0,1,10,26,238.55769013844983
17,25,5,13,0,1,1,14,35,305.01184690194253
9,32,9,15,1,1,1,13,20,187.60174979604096
6,28,9,11,1,1,0,11,24,221.85806312144052
14,32,7,11,0,1,0,11,30,260.8552533411327
11,27,4,18,1,0,1,10,22,208.0702064814326
10,31,11,17,1,0,1,9,16,158.59855091427343
6,29,8,12,1,1,1,10,21,197.3379699539651
8,32,7,17,1,0,0,16,26,238.98441389150923
8,34,10,16,1,1,0,12,21,197.26003179620352
6,33,9,11,0,1,0,13,26,235.5145403154624
6,28,11,9,0,1,0,11,22,202.55799444085943
9,31,7,16,1,0,0,13,24,220.9871373799809
8,31,11,15,0,1,0,11,19,179.81252405326657
6,30,6,11,1,0,0,10,26,236.77921395340456
9,28,15,11,0,1,1,11,18,167.49277164928287
8,27,8,12,1,1,0,14,27,245.49103903158004
10,28,11,6,0,0,0,11,26,229.7198163906429
13,25,8,8,1,0,0,10,31,274.0623133600505
11,29,8,11,0,0,1,12,27,241.00106602043076
11,28,11,18,0,1,1,9,15,149.50334375114065
8,27,9,14,1,0,1,15,23,213.78508833112053
12,29,0,12,1,1,1,10,36,317.7784396351193
9,29,10,17,0,1,0,9,17,164.54927078773042
8,29,9,10,0,0,1,8,24,217.7410250606009
9,29,7,12,0,1,1,9,25,228.31648482256645
11,25,8,14,1,1,1,12,23,215.84107517797364
11,29,9,8,1,1,0,13,29,255.46128152434764
13,32,5,15,0,1,0,9,28,252.54752264427484
6,26,11,10,1,0,1,12,24,225.56515575727832
14,27,10,11,1,1,0,14,28,251.08058170685135
7,29,11,15,0,1,0,10,19,182.7255998485562
10,27,4,14,0,1,1,10,28,256.4995802316174
8,31,11,15,1,0,1,14,22,206.06160484534445
9,30,6,16,0,1,0,14,27,243.45555211606484
7,30,5,14,1,1,0,12,27,248.65659529132796
7,33,7,13,1,1,0,13,25,224.65913399510785
12,27,7,16,0,0,0,10,24,222.4436928519778
8,31,7,18,1,0,1,13,20,190.51184432671013
2,30,3,17,1,0,1,13,24,229.8127912390892
9,27,5,15,1,1,1,11,25,231.59885378432037
4,29,8,14,0,0,1,12,21,199.511761214998
10,35,8,15,0,0,0,13,27,241.03181584670247
7,31,2,14,1,1,0,12,30,270.42086397493705
16,29,12,12,1,1,1,13,24,214.60255365630164
6,31,10,13,1,0,0,16,23,212.62228668331431
9,32,4,12,1,1,1,10,31,277.929321594004
10,29,8,11,1,1,0,12,27,241.5511944370789
12,29,5,12,0,0,1,11,31,276.37025725969846
6,28,8,11,0,1,0,16,28,249.1079688144819
13,27,6,14,1,1,1,15,30,269.2581913342964
9,29,7,14,1,1,1,11,23,211.74312654394924
13,30,6,6,1,1,1,8,33,285.2349937125255
10,28,5,12,1,1,1,10,29,260.3743906905118
12,25,0,10,1,1,1,11,35,309.7819062232893
11,33,10,7,0,0,1,8,28,244.1121018506425
10,32,4,18,1,0,0,13,27,247.7717439190158
7,34,5,18,0,1,1,15,23,212.00822552834785
11,30,9,10,1,0,0,11,26,229.30420253371776
7,30,7,15,1,0,1,9,23,216.72812174002968
9,29,5,10,1,1,1,11,32,282.9366098138377
13,30,9,15,1,0,1,9,24,220.95853484149796
8,29,4,15,1,1,1,13,28,257.58467010709086
7,25,8,13,1,0,0,10,21,200.43267612434403
11,31,6,15,0,1,1,16,30,267.2885318977447
10,29,4,15,0,0,1,11,27,245.90156827857072
14,32,14,12,1,1,0,15,25,225.77679773612525
11,31,9,11,0,0,1,11,26,233.98887147633863
9,31,5,15,1,1,1,15,27,247.23286816631068
9,32,12,10,0,1,0,13,23,207.45058302493015
10,30,5,15,0,0,1,11,29,262.2702472623229
10,33,3,8,1,0,1,11,34,296.7573111944219
12,31,4,13,0,0,0,14,35,306.31052676983006
4,31,10,11,1,0,1,10,20,189.2486778269621
6,32,12,13,1,1,1,12,17,163.4139624384276
2,32,11,11,0,1,1,9,18,175.6400194516303
6,28,1,9,1,1,0,12,35,307.7580012363821
15,34,11,17,1,1,1,14,25,227.08928199624745
12,28,7,16,1,1,0,9,24,219.90367105068268
5,30,5,11,1,0,1,13,29,263.8802296178355
13,27,7,14,1,0,1,11,29,262.9060159836457
12,34,9,14,1,1,1,11,25,226.87209448713404
9,32,5,16,0,1,0,13,27,245.60442350219705
9,36,12,19,1,0,1,12,14,138.36474510385105
9,33,11,16,1,1,1,13,18,172.7667810368897
4,32,6,17,1,0,1,11,20,191.0611554954979
10,28,7,11,1,1,1,16,31,274.69374067757786
13,27,10,13,0,0,0,13,29,262.5191170197967
8,28,7,12,1,0,1,12,28,254.4154191622927
11,31,11,18,1,0,1,9,20,192.5351733800561
11,28,7,10,1,1,1,13,29,255.13673306496676
16,28,11,10,1,1,1,9,26,235.33916041160916
4,32,10,16,1,0,1,10,14,142.40146614088007
11,31,3,14,1,0,1,9,30,269.7411538427282
9,28,6,15,0,1,1,12,26,237.413704684518
12,29,14,11,1,1,1,12,21,193.0829949367222
1,33,12,11,1,1,0,11,18,173.3833216052818
11,27,7,16,0,0,0,13,27,244.3827512705977
7,29,5,13,1,1,0,12,29,262.5789499897666
14,26,5,15,1,0,0,10,29,259.09074592386565
11,30,11,14,0,0,0,10,24,220.1025660819417
12,31,6,8,1,0,0,11,33,288.547559475724
8,31,7,10,0,0,1,8,26,233.9905606278501
10,30,8,10,0,1,0,13,31,273.81819458515974
10,30,5,16,0,1,0,10,25,229.88952989900667
5,36,8,16,1,0,1,13,20,189.5069491941589
10,31,9,16,1,0,1,12,21,197.64119147320807
10,28,5,10,1,1,0,14,34,300.24469292418604
10,27,11,14,1,1,1,9,19,183.65346657164463
9,28,7,12,0,1,0,11,27,243.3054661460025
5,28,11,15,1,1,1,12,17,166.18965065867272
11,30,8,15,1,0,0,8,22,203.88819401773205
9,28,8,14,1,1,1,13,22,207.8264751812036
12,25,7,17,0,1,0,10,22,205.4916152652331
13,31,7,17,1,1,1,9,25,229.5710809068633
12,33,4,20,0,1,1,12,26,236.4038654879988
6,32,10,13,1,0,0,10,19,179.78236228960333
9,31,10,12,1,1,0,7,24,220.99969794055664
13,31,10,15,0,0,1,11,20,185.48578184856623
9,31,7,12,0,1,1,11,26,234.1947734252688
10,28,7,11,1,1,1,9,24,219.20442464457705
7,26,10,11,1,1,1,13,25,228.22428968689343
9,31,11,11,1,1,1,14,25,227.44219705575009
8,32,5,15,1,0,0,13,27,247.11798912824105
9,29,9,13,1,1,1,7,18,171.404648832488
8,30,5,17,0,1,1,13,24,220.7046942494936
5,30,10,14,1,1,1,13,19,183.83333309885515
8,31,9,12,1,1,1,14,29,260.3810589159095
12,26,11,16,0,1,1,9,16,156.93347241314473
10,28,7,14,1,0,1,12,27,246.0482630767246
8,30,0,16,0,1,0,15,34,305.33350420820057
10,30,5,17,0,1,1,10,26,239.0566856101601
13,30,3,13,0,1,1,12,33,291.31436472715626
9,24,9,14,0,1,1,11,19,179.42942265707936
11,28,6,13,1,0,1,11,27,247.60063112300745
13,30,10,13,1,1,1,11,26,232.40287979520943
10,29,5,18,1,1,1,14,26,242.429149297646
13,31,10,16,1,1,1,16,24,218.87298486542
11,29,5,12,1,1,0,12,32,284.36661496146314
11,30,9,13,1,1,1,12,23,209.4407703829933
11,27,11,14,1,0,1,14,23,212.266479422993
9,29,6,15,1,0,1,13,28,255.82725051114423
7,31,8,17,1,1,0,13,23,219.77554658825872
4,30,10,16,0,1,1,15,16,160.43184600604235
12,36,9,13,1,1,1,14,28,248.6281582671677
9,29,10,10,1,1,1,12,22,199.94131885128508
16,33,9,14,1,0,1,11,27,240.5805365784853
8,29,9,9,1,1,0,13,29,261.07129185727786
8,30,6,18,1,1,1,11,21,198.64870785335515
10,33,12,10,1,0,0,11,26,232.2898570229594
8,30,10,14,1,1,1,10,21,197.603685054
9,28,8,14,0,1,1,13,26,237.60516089448123
16,31,7,10,1,1,0,12,33,286.1242989844339
9,28,9,11,1,1,1,8,23,212.11571035920184
16,30,6,15,1,0,0,10,29,257.9044278366665
8,28,3,15,1,1,0,11,30,274.0507860183335
8,34,7,15,0,1,1,12,24,219.91613628041105
9,30,6,17,1,1,0,12,23,216.49896918126308
6,31,5,13,1,0,0,13,26,236.26063226997985
11,31,7,12,0,1,1,13,30,266.7628636551344
5,30,7,16,1,1,1,14,22,206.47389648496136
5,31,10,7,1,1,1,11,25,226.5272382355737
8,28,11,16,0,0,1,13,18,173.01159464096494
13,33,3,14,1,0,0,9,32,282.30559445889
9,29,6,13,1,1,1,12,26,239.9427492622719
7,28,6,11,0,1,1,9,26,238.29130847719227
8,30,8,12,1,0,1,16,28,252.9799917585388
6,26,11,15,1,1,1,13,19,186.5203362902845
12,30,8,8,0,0,0,13,31,269.5023208473573
12,26,13,19,1,1,0,11,17,169.72052755986755
12,27,9,8,1,1,1,14,30,265.39073068599214
8,29,6,15,1,0,1,13,27,246.68151031494685
10,30,13,16,1,0,1,13,17,166.46438137088032
6,29,7,17,0,1,0,12,22,210.5008481174532
9,28,8,15,1,0,1,15,25,232.5993539927411
8,28,7,11,1,0,1,15,29,261.27052302936414
6,26,6,13,1,0,1,10,22,208.5699542304471
7,33,9,18,1,1,0,10,14,141.7060612220015
11,30,2,13,1,1,0,13,35,308.30651018834175
5,29,8,13,0,1,0,9,22,207.2305764867808
7,31,11,13,1,0,1,11,22,206.9752707973246
7,26,8,15,0,1,1,9,20,189.8557054675371
5,33,11,14,0,1,1,12,19,179.3350179182756
12,27,3,13,1,0,1,12,32,287.22598207890456
5,28,8,12,1,1,0,10,24,224.0247452008895
6,26,4,12,0,1,0,9,26,237.67627211650523
12,30,8,12,1,0,1,13,30,267.70519434009555
11,29,6,15,1,1,0,11,26,238.76736516944527
11,28,6,15,1,0,1,8,24,223.49839215099416
6,26,7,6,1,1,1,12,32,285.7615989871252
9,31,5,16,0,1,1,13,28,254.964640946648
16,31,11,12,0,1,0,10,26,228.18848204571705
10,28,10,16,1,0,1,14,22,207.36249063851943
10,27,6,11,1,0,1,11,28,252.9382460248232
12,33,5,13,0,0,1,13,33,290.9151040480449
13,28,10,14,0,0,1,12,22,197.90226351223333
9,31,11,13,1,1,0,12,22,202.92257326138463
7,29,14,13,1,1,1,6,13,132.39366367115144
14,30,11,16,1,1,0,13,23,207.64043586019108
14,29,8,10,1,0,1,11,30,263.2107530502009
8,27,9,9,1,0,0,14,30,268.4504794898573
11,29,8,12,1,0,0,11,26,235.37111105659585
10,32,10,15,1,1,0,12,21,194.6925508201625
12,32,11,15,0,1,0,11,23,211.4495587751526
10,33,7,16,1,1,0,15,26,235.6121713484592
14,32,7,14,1,0,1,11,26,236.06795438432772
4,29,6,12,1,1,1,12,25,232.0442122772788
5,28,10,10,0,0,0,11,24,218.1228998865609
11,27,9,14,0,0,0,12,24,217.89719651012916
8,26,4,17,1,0,1,12,27,251.73134597126688
7,32,8,14,1,1,1,10,23,216.15379194215456
11,27,8,18,1,1,1,11,20,190.8330572865857
4,27,10,10,0,0,0,9,21,197.76545304411948
9,26,13,13,0,1,0,11,16,155.48150238069246
11,30,4,14,1,1,0,11,28,252.6870554748185
14,29,3,11,1,1,1,12,36,313.68104203680576
14,33,7,19,1,1,1,15,24,219.43615000542985
13,27,9,11,0,1,1,12,27,242.28404064912635
4,32,7,15,0,0,1,11,19,181.51037437464456
12,30,9,11,1,0,1,10,27,240.18249125230705
9,33,13,16,1,1,0,11,18,172.3325189679454
9,28,10,19,0,0,1,12,16,159.6063643601546
1,31,10,9,0,1,1,9,19,177.46619528581633
6,31,7,13,0,1,1,7,23,214.81624161668543
9,26,8,14,1,1,1,11,23,214.64042341822736
12,30,4,17,1,0,0,9,28,256.31863234191
14,29,5,15,0,1,1,12,30,267.9482276272251
10,30,10,9,1,1,0,8,24,216.7745422886988
9,27,2,13,1,1,0,15,36,318.8534238961221
9,28,9,12,1,1,1,16,26,238.01690433751864
14,31,1,10,1,1,1,12,39,338.2926213743327
11,34,11,8,0,1,0,12,25,218.5619545596144
5,26,7,15,1,1,1,15,23,217.5266316042854
12,26,8,16,1,1,0,9,22,207.6408219728059
6,25,4,18,1,0,1,12,22,211.8729775671576
7,30,9,18,0,1,1,12,16,158.0340963419623
9,31,5,13,1,1,0,11,26,235.9750822294164
9,36,7,18,1,0,1,12,20,189.182771391454
11,30,6,15,1,1,1,13,26,237.31674872688532
6,32,15,10,0,1,0,10,17,159.7657033120557
13,29,7,17,1,1,1,10,26,241.3175542299209
9,27,4,16,0,0,0,7,27,249.0272688623812
13,28,2,10,1,0,0,9,35,304.2172167559392
13,30,8,18,1,1,0,10,23,214.4454182650948
12,29,7,11,1,1,1,15,33,289.96314558124686
8,31,8,13,1,0,1,12,24,221.8678568163649
11,30,13,13,0,1,1,11,19,177.5863546743036
7,30,12,12,1,1,1,14,22,204.67651838728383
4,31,7,13,1,0,1,12,20,189.6338204081489
10,31,8,14,0,0,1,15,25,228.04224325944057
10,27,5,15,1,0,0,10,27,247.52372120262
10,28,9,14,1,1,1,10,22,206.4834071167525
9,31,7,14,1,1,1,9,21,193.65179285780104
8,29,8,16,1,1,0,11,23,215.9631466297756
8,33,7,16,1,0,1,12,24,225.14536162756528
11,29,9,18,0,0,1,7,17,164.97954592507455
8,32,4,12,1,1,1,12,31,276.3070219194183
7,34,6,13,1,0,1,10,23,213.1935445839337
5,33,6,16,1,1,1,16,26,241.5977709804136
11,33,6,14,0,0,1,11,29,255.17882797935368
7,30,8,17,1,0,0,12,20,192.2740518974796
12,28,8,11,1,1,1,10,28,252.28069819457903
10,26,8,13,1,0,1,11,24,220.13884126056283
11,29,7,13,0,0,1,12,27,245.0256443912175
7,28,12,20,0,0,1,12,12,131.2820496804615
12,29,4,18,1,0,0,10,25,231.0531638979629
9,27,1,14,1,1,1,10,32,290.0718856365595
3,28,10,9,0,0,0,11,22,205.2306676940921
9,28,7,19,0,1,1,11,23,216.78565729217945
10,29,3,12,1,0,1,12,32,284.9811575047426
12,28,7,13,0,0,0,9,28,253.63688406150004
12,31,5,8,0,1,1,10,35,304.05315539892274
10,30,4,12,1,0,1,10,32,288.5102568538073
6,32,8,14,0,1,1,14,23,211.6537742913062
10,30,12,14,1,0,0,14,21,193.8084331331952
11,31,13,14,1,0,1,15,25,227.1187805336098
7,29,6,14,1,1,1,11,23,215.9356268318724
12,31,4,9,0,1,0,8,34,294.44282111991845
13,30,6,10,1,1,1,12,34,294.21923909884583
9,32,6,12,1,1,1,8,27,240.2319765284575
8,26,12,18,1,1,1,14,15,153.18213852610788
4,31,6,13,0,1,1,11,23,212.6682418451375
9,29,11,14,0,1,0,8,17,162.90105643982486
9,30,4,7,0,1,0,13,36,311.77267090877274
8,31,6,15,0,0,1,12,24,221.71559177502084
12,26,10,11,0,1,0,12,26,231.61342356912832
13,30,4,15,1,1,0,13,31,276.3982128224076
9,32,7,15,1,1,1,11,26,237.1087890088297
6,29,9,16,1,0,0,12,20,193.83602161499283
11,29,2,12,1,1,0,10,37,326.564772505094
7,30,12,11,0,0,0,10,21,195.67497089399896
7,30,7,16,1,1,0,5,21,203.6163329135482
8,29,14,9,0,0,1,9,18,167.55515484179526
10,28,6,18,0,1,1,7,20,191.5671775190309
9,30,8,13,1,1,1,15,27,247.221964903844
11,32,5,14,1,1,0,10,26,233.1147100080816
10,30,11,16,0,0,1,13,17,161.80600839725983
11,32,1,16,1,1,1,14,33,294.1088919564065
11,30,5,15,0,0,1,11,26,233.36061024366097
9,30,8,14,1,0,0,6,20,187.6867479695283
9,27,9,13,1,1,1,13,26,241.1322432408349
12,33,11,13,1,0,1,8,23,209.92877948272923
5,30,6,10,0,1,0,8,24,219.4133652531478
11,30,4,14,0,1,0,11,29,257.4641186263317
15,29,4,17,1,1,1,12,29,260.87061853710395
5,27,9,11,1,1,1,8,23,215.2168629753257
12,32,9,16,1,1,0,9,22,204.6675119415
6,34,5,14,1,0,0,12,28,256.5528664817012
7,31,8,10,1,1,0,9,26,237.2303866739213
9,29,13,12,1,1,1,12,22,204.81339166911908
6,30,11,9,0,1,1,14,22,199.0008422986392
5,27,7,11,0,1,0,12,27,247.37022358279827
5,27,7,11,0,1,1,9,23,211.4225623513869
7,28,13,13,1,1,1,11,18,175.9961974677528
9,29,8,10,1,0,1,11,27,243.6457046284516
9,27,8,13,1,0,0,11,24,219.72348750782865
9,28,3,9,1,1,1,14,36,316.653244577504
10,32,8,15,1,1,0,12,23,211.01035154544184
13,30,10,13,1,0,0,13,28,251.79882634649007
8,28,8,13,0,0,0,16,25,227.89197595755505
14,32,9,12,1,0,1,13,29,256.751355990436
9,30,12,10,0,0,1,12,21,192.71363520700345
6,28,11,6,1,1,1,14,26,234.6548650817849
13,30,4,11,1,0,1,11,33,287.9247700071226
10,27,6,15,0,0,1,12,23,209.85933449577465
9,29,9,12,0,0,0,10,23,211.27053473386013
11,31,3,14,1,0,0,11,33,292.7513373230344
9,27,8,16,1,1,1,11,21,200.61606156528995
9,29,12,8,0,1,0,9,24,217.83311234529677
10,32,10,10,1,0,0,12,25,225.26441413303317
11,31,12,13,1,1,1,13,24,221.6405592418582
4,32,8,13,1,0,0,13,24,221.8397044324903
12,26,7,16,1,1,0,12,25,228.4457257075825
11,32,9,13,0,0,0,15,29,252.23058328657257
9,27,11,10,1,1,1,12,24,220.46926791605352
14,29,7,13,0,1,0,10,27,240.0362765132124
10,31,11,10,0,1,0,10,24,215.33453743534565
12,29,7,14,1,1,1,13,27,241.9087306588731
10,31,9,17,1,1,1,8,19,184.2688685256229
12,29,6,7,1,1,1,9,35,306.8491669809504
