individual_income,age,gender,minority_status,community_resource_availability,social_program_participation,social_mobility_score
6,28,0,1,9,10,84.99116388344241
8,27,0,0,7,13,99.40454816667032
3,30,1,1,5,11,82.86576021915016
11,25,0,0,9,12,95.17698577775596
8,30,1,1,12,11,86.34887496954859
10,29,0,0,6,9,83.6476457901924
11,31,0,1,12,9,79.39417582511399
16,31,0,0,10,5,64.03597465106472
7,29,0,1,9,10,83.17091633585369
12,32,0,0,5,5,64.4291018118218
11,30,0,1,9,10,86.79505295142633
10,31,1,0,10,10,85.79429900077098
13,26,1,1,6,10,84.77636391013633
7,32,1,0,6,10,84.77390039419632
5,31,1,1,4,11,91.51877697192134
8,26,0,0,7,15,112.73817215243824
7,25,1,1,6,14,104.63818077676756
7,30,0,0,8,12,94.53769923133736
7,32,1,1,9,8,73.63704717864589
6,25,1,1,10,15,105.06370584131768
11,28,0,0,7,10,86.1156199397027
12,34,1,0,6,4,59.187343795679965
14,35,1,1,7,4,59.453065886959415
17,31,1,0,8,3,56.2990416893705
10,33,0,1,10,6,65.28682556536066
13,27,1,0,7,12,97.84089661943658
10,30,1,1,9,8,75.7806497839545
15,32,1,0,9,10,89.96859752965682
12,31,0,0,9,8,78.59822786695926
11,31,0,1,4,7,70.74311975522053
11,31,0,1,6,6,66.63650448859005
4,30,1,1,5,8,73.43119948388502
11,33,0,0,8,6,67.73970176596245
8,28,0,0,8,11,91.3973450675724
8,30,0,0,5,8,75.72364119394899
11,29,0,0,10,10,87.63163266463347
4,29,1,1,8,10,82.09903184252099
9,28,0,1,7,7,70.05835211360717
11,32,0,0,8,7,71.46219200053146
5,29,0,1,7,14,105.36808636220466
8,29,0,1,5,7,72.85009042366107
7,30,1,1,9,11,89.4012235377509
11,30,1,1,4,9,83.06098008615788
14,33,0,0,4,2,53.70497988650041
12,34,1,0,5,4,61.293822434405385
12,30,1,0,10,8,76.5012561682082
12,30,0,0,9,10,85.8321670247079
15,28,1,0,4,7,75.32546931246513
10,35,0,0,8,8,79.42986160085212
10,26,0,0,6,13,101.94554294054294
9,31,1,0,7,11,90.983947897014
9,28,1,0,8,10,84.60948071164526
10,32,0,0,10,8,76.28421115815529
10,32,1,0,10,9,80.92008431997957
8,29,0,0,8,13,99.2565664145139
10,29,0,1,7,13,100.62138011841884
11,27,0,0,5,7,71.80703735030038
16,30,0,0,4,5,67.04524393744066
7,34,0,0,8,12,99.90524630268686
10,30,0,0,7,9,80.20253312849407
7,28,0,0,8,14,104.07360171849798
9,29,0,1,7,9,82.72818813643595
13,30,1,1,7,7,74.9568222094891
10,25,0,1,8,14,106.9753146951636
8,32,1,1,9,9,77.51271809817227
4,33,0,0,6,9,77.92808193063453
11,29,1,0,6,8,75.10429013351938
9,30,0,0,10,9,80.1488960798486
7,28,0,0,10,16,112.49612239533418
13,29,1,1,5,9,85.7626143830101
9,27,0,1,9,12,96.28579793674056
10,31,1,0,6,13,100.39464185089062
11,25,1,0,10,12,91.16364699826174
13,31,1,1,7,6,67.54430445617955
11,29,1,0,10,13,99.90812874150032
5,30,0,0,11,14,104.7974552861152
7,32,1,1,8,7,66.93617730515109
10,31,1,0,9,12,96.64530238953262
10,31,0,0,8,8,77.33120832127776
10,23,1,0,5,13,101.08000556761718
7,30,0,1,10,11,92.20311402759292
7,27,0,1,7,11,90.25559866517553
11,26,1,1,9,12,93.4748776950369
12,32,0,1,5,6,68.66823087733033
15,27,1,1,5,7,73.60576722449116
6,32,1,1,3,8,73.7155978701581
8,27,0,0,6,9,79.70026862831494
12,29,0,1,9,9,83.51559086173705
6,26,0,1,10,16,112.32399874563131
6,29,0,1,6,11,92.39454871310178
12,27,1,1,7,8,74.68882410629477
7,35,0,1,7,8,77.06937762213347
8,29,0,0,10,12,93.39423109579418
8,26,1,0,9,12,89.84388268648158
12,29,0,0,9,8,77.47437020073178
7,28,1,0,6,12,91.9423997248352
13,30,1,1,8,6,67.85125352040916
10,29,1,0,7,8,76.40214540662369
11,26,1,0,11,12,94.03486601738072
12,28,1,1,6,10,88.50512573367304
9,29,1,1,9,10,84.82101121833617
8,31,1,0,7,11,89.13031566179268
7,27,1,0,10,13,98.40209258682768
9,34,0,1,8,8,79.63248526215231
9,31,0,1,8,7,71.595841516299
10,31,1,1,7,9,83.45096722248027
11,31,1,1,6,7,73.37400204295768
7,26,1,1,9,14,101.48149457488888
5,32,1,1,6,9,80.30943421962526
9,33,0,1,11,9,81.63003352791102
10,31,1,0,5,7,69.13439376531443
7,28,1,0,8,13,98.4081146995573
9,27,0,0,9,14,105.71837446250596
10,26,1,0,10,14,103.797876689157
13,30,0,0,5,6,69.35000295617205
9,32,0,0,3,7,73.71974999450364
11,27,0,0,8,10,86.24076278811202
8,27,1,1,11,12,91.9134784332658
10,29,1,1,10,10,87.65339111091377
10,28,1,1,12,13,100.97750737534857
5,31,1,0,10,13,93.18331467200214
9,29,0,0,7,11,89.2893043280428
11,32,0,1,7,6,66.6812562672763
10,27,1,0,8,13,100.3386100289351
12,34,1,1,3,3,55.84975576841154
6,32,1,0,7,8,73.02181124325033
7,27,1,0,7,12,92.90498457947076
15,33,1,1,4,4,59.30325830347868
8,28,0,1,7,10,86.30627501608218
12,27,0,1,6,5,63.36404281500192
9,33,1,1,5,7,73.09116471931969
15,30,1,0,10,6,70.86269300481774
8,29,0,1,10,12,94.8617334738422
13,28,1,0,8,8,75.66554829780198
7,28,1,0,4,11,88.86552409230796
6,29,0,1,6,10,82.75853553998924
8,35,1,1,8,6,64.94017204247713
9,29,0,0,10,12,96.0361830533593
5,28,1,0,10,16,111.30488378010035
11,28,1,0,5,9,83.02777784727107
7,28,0,0,10,14,101.4360349981703
8,29,1,0,7,14,103.09360738653548
7,29,1,1,6,10,86.59195150023132
8,27,1,0,1,8,77.40899925655793
15,28,1,1,8,9,83.40832919663106
10,28,0,1,8,10,86.51639736599877
10,34,1,1,6,6,68.51445635455202
9,34,1,0,5,4,56.95116988917781
12,29,0,0,7,8,78.91368874869327
6,29,0,0,9,12,92.40686747619134
6,30,1,1,11,10,80.29404496314518
9,29,0,0,7,9,78.93266214447112
8,31,1,0,8,11,89.30871783781639
9,31,0,0,5,8,76.76658681852446
9,32,1,1,10,10,84.19824748221183
7,26,1,0,8,11,87.76109938045609
5,30,1,1,6,7,67.06241994685436
4,25,1,0,8,15,107.17468601182505
6,34,0,1,6,8,75.75477909183381
9,30,1,1,8,9,78.35212491181014
7,27,0,0,4,12,95.72752378572272
7,29,1,0,7,11,89.02798511110159
10,28,0,1,7,11,91.7415900210958
9,26,1,0,7,12,94.86010395134616
4,27,1,1,4,11,85.99246072435663
12,32,0,0,2,5,63.311571525045125
7,30,1,0,7,12,93.98050755010988
12,33,0,1,10,8,79.07636003469875
9,28,1,0,8,12,95.060690361697
10,27,0,0,7,11,92.89471599232076
14,26,0,1,7,10,90.34158683566726
12,32,1,1,9,7,71.70357324198955
10,29,1,0,8,10,84.56348421391405
12,28,0,0,6,7,71.87151271922842
8,26,0,1,8,11,88.90088878333648
7,33,0,1,9,9,80.4260188936814
14,25,0,1,6,8,79.43834515423715
10,30,1,1,4,6,68.91172047323343
10,30,0,1,6,9,82.99077533977344
4,31,0,0,7,9,78.12178779506071
9,31,1,0,9,10,83.91094652237317
8,31,0,1,10,10,85.77199147890138
14,30,1,1,9,6,65.90346039959758
11,31,0,1,8,7,70.20508821555421
8,30,1,1,7,11,90.05523516448662
7,32,1,1,9,11,89.27234546096842
11,30,0,0,10,9,83.50732546653073
18,29,1,1,5,5,64.75779203315955
5,31,1,0,10,13,96.44064336186274
11,32,1,1,5,4,57.53226950891589
10,29,0,1,5,7,73.4681168427327
11,27,1,0,9,12,92.07594630411796
13,30,1,0,10,11,93.5370919129936
14,30,0,0,6,4,61.744147583696495
6,31,0,1,8,10,84.34754645194319
6,35,0,0,8,9,81.33747488840301
6,25,1,0,9,15,105.48796028081397
8,30,0,1,7,9,80.76864707246357
9,30,1,0,9,13,99.45864518514028
11,28,1,0,8,11,87.3901223787858
7,32,1,1,11,11,88.27199481548618
11,31,0,0,7,8,79.88107883414231
13,28,1,1,8,10,86.02292749996036
7,31,1,1,5,9,80.83062291076205
6,31,1,1,4,8,72.67939667233553
8,27,0,0,5,10,85.96869137214644
9,29,1,1,9,9,80.59262563710813
8,30,1,1,6,10,84.29156151531099
13,30,1,1,7,8,77.15503534525911
9,32,0,0,5,7,73.91866122545355
10,30,1,0,11,14,102.97629389033231
14,26,1,1,10,15,112.81801540351252
7,28,0,1,7,10,84.39562462356352
11,31,0,1,6,8,79.01031551886966
7,27,0,1,6,10,84.58624113354392
7,31,0,0,8,11,91.79759728198118
13,28,0,0,3,5,63.09970133582936
10,32,0,1,7,6,65.31331401819244
12,30,0,1,7,7,72.64099008763574
7,32,1,0,8,8,74.7280201287781
8,34,0,1,7,8,78.0476970707732
9,30,0,1,8,9,79.81204927113684
9,27,0,1,10,11,91.0109692230378
12,33,1,1,7,5,62.95547004215964
8,30,1,0,7,9,82.12005896148476
10,34,0,0,6,7,73.48768450697555
8,27,0,1,8,12,94.62162303570088
8,31,1,1,8,9,80.08578353098262
11,29,1,0,6,8,75.58038639331063
13,32,1,0,5,3,54.71437934155543
12,32,1,0,7,7,72.2798920877177
7,26,0,0,7,12,94.85178036141784
7,29,0,0,6,10,86.00489878190776
6,29,1,0,9,15,107.25344117445567
12,32,0,1,9,8,76.78169517599694
9,22,0,1,6,10,85.76767675051235
9,28,1,0,7,11,88.53264961293125
5,30,0,0,6,11,89.55440025956501
11,28,0,0,10,10,89.22775393197414
9,31,0,0,9,9,81.19671464905593
11,29,0,0,5,6,69.32869228746587
9,29,1,1,6,8,74.92629584090817
15,31,1,1,4,5,65.02053080845275
4,28,1,0,9,15,106.40213866677648
14,28,0,1,4,8,80.57963566233182
13,27,1,1,5,7,70.73712218191561
5,28,0,0,7,14,104.4697669357715
6,33,0,1,8,8,76.2745496249063
7,30,1,1,7,10,82.4222188760325
9,30,0,0,9,13,101.38941204639296
11,34,0,1,9,7,75.70933748369829
8,30,1,0,7,8,75.70846372943919
10,33,0,0,7,9,85.75009907087409
11,31,1,0,11,8,73.6919369109951
8,31,0,1,6,9,79.93813555061553
10,27,1,1,5,10,84.52717836661677
9,28,0,0,7,13,98.012662160617
12,28,1,0,7,8,77.01741672381375
2,31,1,1,11,14,100.93776672892972
9,26,1,0,9,12,91.77520371434083
9,29,1,1,6,7,70.9822049656432
11,30,0,1,6,8,76.4251481852791
11,31,0,1,5,7,74.6333673172514
9,29,1,1,4,9,83.88330892924893
11,27,1,1,11,10,85.22523389697658
10,32,0,0,9,11,90.09970283305172
12,28,0,0,5,8,78.47141926395526
10,32,0,0,8,9,82.82688729090034
5,26,1,0,7,15,106.9463714744056
14,27,1,0,7,9,82.03803559015945
11,28,0,1,6,8,78.02509651437947
0,28,1,0,9,18,119.77216923636624
12,29,1,0,8,11,89.72006384777464
9,27,1,0,4,9,79.3116884756439
10,29,1,1,8,9,78.85902022210496
12,29,0,1,5,10,86.57111917284541
8,32,0,1,4,6,67.06406935074348
8,33,1,1,4,5,61.464459159062834
13,28,1,1,8,10,87.82546003407691
7,30,1,1,8,15,110.9521027761418
10,26,0,0,8,12,95.88705227396932
4,28,1,1,8,15,104.46838017714713
6,28,0,0,5,13,99.64655739140012
15,28,1,0,5,7,71.69355462497161
8,31,1,1,7,8,77.09957440198109
8,29,1,0,5,11,91.18228475112316
8,28,1,0,10,13,98.5647558653339
15,28,0,1,6,7,75.3207843569085
13,33,0,1,8,3,52.70397059135287
11,28,1,1,6,7,74.02903887961378
15,30,0,1,7,7,74.83562456896888
9,33,1,0,9,11,90.07850779707252
13,26,0,0,3,10,86.45144855165633
5,26,1,1,6,16,110.97892185505911
13,29,0,0,3,6,69.5566191267142
17,34,1,0,10,4,59.89704707818408
6,26,1,0,5,12,94.53220735904236
11,31,1,1,9,9,82.32880380242001
8,25,1,0,6,13,98.8495345303208
7,29,1,0,5,10,82.82051873908667
9,33,0,1,9,7,69.71475381247748
13,30,0,1,6,10,89.97321398663644
6,31,1,1,10,12,94.26446835393732
9,25,0,0,8,13,99.91252013938008
