age_years,education_level,gender,minority_status,local_unemployment_rate,workforce_training_hours,annual_income_dollars
9,37,1,0,7,58,213.3993793195452
14,31,0,0,7,61,227.5048452366875
15,28,1,0,5,58,216.24697286422992
10,33,0,1,11,63,231.61270984758363
8,32,1,0,7,59,220.35758944692827
12,26,0,0,5,57,216.55982268833904
10,25,0,0,11,59,222.78137447494967
15,28,0,0,8,61,227.8076774202705
11,27,0,0,6,57,214.98172602368507
9,32,0,0,8,59,217.0228062890347
10,28,1,1,11,58,215.5512479394408
7,33,1,1,4,57,215.3950972283873
3,30,0,0,5,51,188.88284820391328
13,29,0,0,10,58,217.71573577720804
7,29,0,0,8,56,210.16299894551543
9,27,0,0,6,53,200.39142073128767
8,32,0,0,9,60,223.1731406031515
8,31,0,0,8,58,212.7358146931328
7,29,1,1,6,56,211.2521991231253
5,29,0,0,6,58,216.63266269914425
10,36,0,0,9,60,221.31829591094973
13,29,0,0,8,59,220.3563230673191
5,30,0,0,5,55,208.40342539794443
13,27,1,0,7,59,226.05412294597315
10,29,0,0,6,57,216.89396121506144
11,29,0,0,8,58,219.20371962551852
10,24,1,0,9,57,214.06924602047096
9,29,0,1,6,56,212.96507449759423
10,30,0,0,9,59,219.4779577674549
9,31,1,1,9,59,219.2014782968361
9,30,1,0,7,57,216.1642023462071
4,26,0,0,8,53,199.42417472514217
9,32,1,1,8,60,223.9145990109752
11,28,1,0,8,60,224.1079390938237
13,28,0,0,7,59,224.4655521612083
6,31,1,0,7,59,218.43079186765863
7,29,1,0,9,56,206.57323587220387
14,29,0,0,8,61,229.01772966582345
11,30,0,0,7,58,217.96243534264204
11,28,0,0,7,61,228.84676504331975
10,26,0,1,7,57,215.0660700380428
9,27,1,0,6,57,216.8043595043647
11,29,1,0,5,58,218.83435217667895
12,26,0,0,8,58,221.13953459777844
7,29,0,1,4,57,212.31481523321767
7,31,1,0,6,56,209.46069453652075
15,31,0,1,8,64,237.9706573487213
9,30,0,0,6,59,221.85764653451704
12,28,0,0,10,59,220.34169193553848
11,30,0,0,8,59,220.34808140164915
7,30,0,0,6,58,217.51444357741485
15,28,0,1,8,59,221.854394095032
14,31,0,1,4,59,223.2535678793227
10,29,1,0,4,56,212.2683830391598
7,29,0,1,4,57,215.05817654107312
11,27,0,0,8,59,221.13002228922545
13,27,1,0,11,60,223.4052957999602
6,32,0,0,8,56,209.54195998371208
9,28,0,1,8,59,220.06795600526863
8,27,0,0,7,55,208.53420523046844
12,30,0,0,6,59,223.53030502858556
15,31,1,0,7,60,226.63036442450863
14,30,1,0,6,59,224.79433734349865
8,32,0,0,9,59,217.18903349679144
12,30,0,0,10,61,227.41676766029167
10,29,0,0,8,56,211.8030178831508
11,31,0,0,10,62,230.85879682438497
11,30,1,0,12,62,230.82419885217143
7,35,0,0,9,61,223.83573090158052
9,29,0,0,12,60,224.3703818238602
9,29,0,0,11,60,222.9015360399595
8,30,0,1,7,60,225.1542236599069
11,34,0,1,10,63,234.52467622201945
11,31,1,1,4,61,228.18327050826048
13,28,0,0,10,60,223.10231519237024
12,31,0,0,7,60,223.00919859404075
10,32,0,1,6,59,220.89860954595176
9,32,0,0,8,60,221.51945029621163
8,32,1,0,2,55,207.7776131251167
10,32,0,0,12,62,226.65714993893667
9,30,0,0,10,58,215.3877383992387
5,26,0,0,5,53,197.443885564288
10,34,0,0,9,59,220.5346562585148
1,26,0,0,6,52,196.11082206180407
8,26,0,0,10,57,213.5764111254749
8,31,1,0,7,57,215.0100543443085
12,27,0,1,7,59,222.1804785159721
11,25,0,0,8,55,211.50781648869832
8,32,0,1,8,59,220.36602531281684
9,34,1,0,7,60,222.42747355150323
2,27,1,0,10,53,201.63473947601892
10,31,0,0,8,60,222.95333414674064
12,29,0,0,5,59,221.9146994610515
11,28,1,0,6,57,214.19377285569863
12,31,1,0,7,59,222.34220526582988
6,32,0,0,5,56,210.0516424853164
6,28,1,0,7,56,210.0516129479195
10,27,1,0,7,54,205.9781772153779
5,32,1,0,7,57,210.68220556274417
13,26,0,0,4,56,214.19433566396475
10,28,1,0,4,56,210.7943106722167
6,27,0,0,7,53,199.0045471653332
8,25,0,1,8,57,211.88438828361092
9,29,1,0,8,58,215.93077567460776
10,27,0,0,6,56,209.5169766122257
7,27,0,0,7,56,211.71619287771645
13,30,0,0,9,61,228.70169231456484
6,30,1,0,5,54,204.13193529572567
13,32,0,1,7,61,227.9928518582281
6,31,0,1,8,57,212.68852783407087
10,27,0,0,6,55,208.2242588439981
14,26,0,1,8,57,215.83768219525783
13,30,0,0,4,58,220.03909566768584
8,29,1,0,7,55,206.54310817359416
8,32,0,0,10,61,225.00585377711587
13,34,0,0,6,62,231.02938758395416
9,30,0,0,9,57,214.6990388885488
6,22,0,0,8,54,205.58218883273136
7,28,0,1,9,56,208.40447284152995
14,32,0,0,2,55,209.29469737133076
7,30,0,0,7,57,213.71366616637349
8,27,0,1,7,57,216.34701367576469
6,25,0,0,9,54,205.7746525028435
10,30,0,0,6,58,216.73312376995992
8,30,1,0,6,58,218.22744806761625
9,29,1,0,9,56,211.0797219389348
5,33,1,0,10,62,228.26331842983356
11,30,1,0,8,57,215.09791858141176
8,29,0,0,8,58,214.21319011888724
12,29,1,0,3,55,209.2014789716991
13,27,1,0,10,58,219.26025727459017
10,29,0,1,10,59,216.5455848297052
8,30,0,0,7,59,220.52956256990765
12,27,0,0,11,58,215.87260210529064
14,26,0,0,9,59,221.615102038643
13,34,0,1,8,63,237.32527339233317
10,31,0,0,6,59,222.1947972416154
8,28,1,0,12,59,218.5462305731122
16,27,1,0,7,60,229.8530998472852
6,29,1,0,4,55,207.4741683584403
9,32,0,1,8,61,224.53589822053328
12,29,0,1,9,60,225.7699877991316
9,34,0,0,8,56,206.99051542236415
7,27,0,0,8,55,207.5094705095581
10,33,1,0,9,61,225.35866387134743
14,31,1,0,9,62,231.622765544646
11,32,1,0,6,56,205.85804787552053
6,27,1,1,7,55,205.2084298514398
15,33,1,0,7,63,238.0108528139206
17,30,0,0,7,61,229.5466777636237
9,30,1,1,5,57,212.33330860236475
9,32,0,0,4,59,221.38476542682324
12,28,1,1,6,59,223.2370008267483
10,29,1,0,7,59,221.32380440219197
6,30,1,0,8,58,215.9359596597722
9,30,0,1,5,57,213.2039601575805
10,31,0,0,10,58,214.60834474464383
10,32,0,0,6,60,222.900391431323
10,25,0,0,7,59,220.9138343315107
7,31,1,0,8,58,217.5045731599029
8,31,0,0,11,62,227.12497479823293
13,29,1,0,8,59,222.90169240698535
5,30,0,0,8,59,215.68305133341184
12,32,0,0,8,61,230.15873854486148
9,32,1,1,8,59,220.9815177136648
11,27,1,0,8,55,208.0130350322032
7,27,1,1,9,54,201.7495401739664
8,30,1,0,10,59,217.83903853656173
10,33,1,0,8,60,223.8137486066213
7,30,1,0,6,58,212.99616847025337
13,28,1,0,7,59,222.04028434021663
10,28,0,0,5,57,215.46770217691736
9,29,1,0,3,55,206.9355193847176
9,29,0,0,7,56,212.79287564594944
11,30,0,0,7,60,224.4577791000238
8,34,1,1,8,59,219.01048824042903
12,33,0,0,4,59,219.5854258329576
13,30,1,0,7,59,223.9180473931293
12,34,0,0,5,64,239.2410994731693
5,30,1,0,7,56,209.05654951248584
10,29,0,1,5,60,223.33079183412408
13,26,0,0,7,58,217.5942763340201
9,31,0,0,8,59,218.26937781012256
8,30,0,0,8,57,211.3788887659922
7,32,1,1,9,62,230.479267401616
9,32,0,1,8,59,217.36728113093585
9,30,0,0,10,60,221.31677823553636
12,30,1,0,9,61,229.7056401400037
11,32,0,0,6,60,223.10947837831347
11,29,1,0,11,63,233.11460412360088
11,28,0,1,9,59,219.80081777245263
11,26,0,0,11,57,213.92395987603248
10,34,0,0,10,63,233.2299270902816
12,32,1,0,9,61,227.1331188436744
13,31,0,1,5,61,227.88009423466625
6,26,1,1,6,54,200.5859446071104
8,33,0,0,6,58,216.2819392504635
13,29,0,1,9,61,228.1764195643551
12,30,1,0,9,60,226.00214748893305
10,26,0,0,10,58,218.9430992492133
13,32,1,0,9,60,225.45003911744223
13,30,0,0,7,62,231.11256365391995
8,34,0,0,8,63,230.49465311468452
8,28,0,0,8,57,212.802284000412
9,29,0,0,8,60,223.79451887508424
6,31,0,1,8,60,218.696785880902
13,30,1,1,7,57,214.43469615794268
10,30,1,0,6,57,215.1458920680087
6,30,1,1,12,57,211.80242706947573
14,30,0,0,5,59,220.52393831895284
11,30,1,1,9,60,222.7140273305812
10,29,0,0,6,57,216.51442923128897
3,33,0,0,6,55,203.9885037339534
9,29,1,0,8,57,215.36213918901976
6,30,0,0,7,58,214.1827754736124
13,28,0,1,8,58,216.4172795170977
12,33,0,0,10,64,237.697514768822
14,30,0,1,2,59,223.7260447804896
9,31,0,1,6,58,218.0700514148796
9,30,1,0,7,54,203.52489282565816
13,27,0,0,8,57,215.81038707522956
9,29,0,0,10,58,218.0028827860877
11,32,0,0,6,59,221.91927829789688
13,32,0,0,8,60,224.45943675930317
11,31,0,1,6,55,208.31571031107785
11,30,0,0,7,57,213.14744311057208
8,35,1,0,7,61,226.2430047921288
6,29,0,0,9,58,215.05623686012305
11,28,0,0,6,56,209.1165257191764
12,33,1,0,8,62,230.354006055093
10,30,0,0,7,57,211.37948223156576
8,28,0,1,8,59,221.59836261128447
10,31,0,0,5,58,217.53063945453923
7,28,0,0,7,57,212.45799363257527
7,31,0,0,4,53,200.47951021151724
8,24,0,1,6,55,207.66653201191613
8,26,0,0,10,58,216.83739593460191
10,27,0,0,6,57,217.62637963776757
10,29,1,0,5,57,216.0819661265612
10,28,1,0,8,56,213.51689651494155
11,28,0,0,9,62,228.9869950138097
9,34,0,0,6,59,219.71387759065848
12,29,1,0,7,59,219.8359277863648
14,29,0,1,7,59,222.820441582251
9,31,0,0,11,58,215.00483519077957
9,29,0,0,7,57,216.67594899939056
8,28,0,0,6,55,206.39317776080395
7,30,1,1,9,58,213.8865079485652
10,25,1,0,9,57,215.8228228485414
10,32,1,1,6,59,220.59066030549351
5,29,1,0,8,56,207.3885281660292
11,30,0,0,9,58,218.37115485489235
9,30,0,0,7,59,219.6688882029844
8,27,0,0,9,56,210.09700342829663
5,26,1,0,6,55,208.3168171112124
11,25,0,0,9,58,216.43667290029583
8,31,0,0,7,57,212.39604226626648
15,28,0,1,5,59,222.62790369938693
10,29,0,1,6,57,212.58332176415357
14,28,1,0,9,60,227.1147408921053
10,32,1,0,8,60,222.81937405139155
10,27,0,0,10,59,219.9587227483087
10,30,1,0,5,57,212.5328361868167
10,31,0,1,9,60,220.73352507134732
9,31,0,0,6,56,211.9223734284086
5,32,0,0,5,57,214.03243241457872
8,30,0,0,4,53,199.8713468685909
12,30,0,0,8,60,222.658800063036
4,28,0,0,7,55,206.97317738877967
17,26,0,1,7,59,221.9037650093047
13,27,0,1,8,59,223.0409072022524
10,28,0,1,4,56,211.01073113227625
5,30,0,0,7,56,207.4735932654281
11,27,0,0,9,60,224.3667993653034
7,31,1,1,6,56,208.82873117876252
5,31,0,0,7,57,212.6838437790393
13,26,0,0,7,57,218.30780981316727
11,31,0,0,9,61,228.33126107391783
10,27,0,1,5,57,215.23425970556295
12,27,0,0,4,57,215.7018026415296
12,30,0,1,7,57,214.56322550976145
9,30,0,1,8,60,222.83682934850103
10,32,1,0,4,55,210.11999162432076
8,32,0,0,9,58,219.11075229583503
10,28,0,0,8,56,210.7951535529966
9,32,0,1,9,61,226.9380436658637
11,28,0,1,6,57,215.91291786017783
9,30,1,1,12,62,226.62757253499564
10,26,1,0,7,56,208.80823324077676
10,29,1,0,9,62,230.7154300829457
7,29,1,0,10,58,214.3435505322455
8,30,0,1,9,60,220.3323954899943
11,34,0,1,10,64,235.2179451082727
9,28,0,1,8,57,214.3564627460113
11,29,0,1,6,61,227.05615226871907
6,33,0,1,6,57,214.8919622946688
12,30,0,0,8,59,221.1734661392467
9,32,0,1,9,63,230.95186128594327
6,30,1,0,6,54,203.61818888084815
8,30,0,1,6,60,220.6774317704989
10,28,0,0,9,60,222.1253494937788
11,29,0,0,4,55,206.4015783210181
8,28,1,1,8,58,218.82283121288964
