education_years,political_interest,urban_resident,party_member,voter_outreach_invitation,community_meeting_attendance,political_knowledge_score
2,2,0,0,1,1,57.04519998135942
5,2,0,0,1,0,45.03420819724623
6,3,0,0,1,0,45.08863552362567
2,2,0,1,1,1,53.0843954733217
5,2,0,0,1,1,52.1805577279717
3,2,0,1,0,0,48.92541832348771
5,3,0,0,0,0,46.80605810826879
1,2,1,0,1,1,54.79142522936318
1,2,0,1,1,1,54.74848640074959
2,3,1,0,1,1,53.42164464896853
6,3,0,0,0,0,44.36605937129213
5,2,0,0,1,0,46.255096661918486
3,1,1,1,1,1,53.98761562842217
0,2,0,1,1,1,56.76566120584752
0,2,0,1,1,1,57.34357635946251
5,3,0,1,1,0,47.112957595824646
5,2,0,1,1,0,46.17355488461717
-2,2,1,1,1,1,57.21088054698741
0,2,1,0,1,1,55.986995375280905
3,2,1,0,0,0,47.619369590683824
5,3,0,0,1,0,44.49207168940508
3,3,0,0,0,0,48.07679509173408
4,2,0,0,0,0,46.090519033296886
4,4,1,1,0,0,46.32701227398088
7,2,1,0,1,1,50.95764020092525
1,3,1,0,1,1,55.9151129903598
0,3,0,0,0,1,56.395925240827445
4,3,1,0,1,0,46.46297576260056
4,3,0,0,1,0,47.93346249081725
4,3,1,0,1,1,54.07891803056901
1,3,1,1,1,1,55.95693814118616
4,3,1,1,1,0,48.25833632668722
6,3,0,1,0,0,43.84862597318686
1,3,1,1,1,0,48.16305589721403
4,2,0,1,1,1,53.21098856049223
5,2,0,1,0,0,46.5945705086826
6,3,1,1,1,0,46.109530845019705
5,3,0,0,1,0,47.08194647408745
5,2,1,0,1,0,45.92843202100082
2,3,0,0,0,1,54.76962508334094
6,2,1,0,1,0,46.28908789720393
6,3,1,0,0,0,47.63889183957762
6,2,0,0,1,0,44.72985805050056
4,3,0,1,0,0,48.05876558409413
2,3,1,0,1,1,54.69536868607473
3,3,0,0,1,0,47.23082699841051
6,2,0,1,1,0,45.27060219743625
1,2,0,0,1,1,53.68095517005841
3,2,1,1,0,0,46.05807070364935
3,3,0,0,1,1,54.74513706353307
7,3,1,0,1,0,43.688619114618334
6,2,1,1,0,0,45.70919934432076
5,3,0,0,1,0,44.85527356023856
2,3,0,0,0,0,47.27251542293138
4,3,0,0,0,0,44.63362156565978
4,2,1,1,1,1,53.972740292623264
3,2,0,0,1,1,55.84228645280231
1,3,1,0,0,1,56.64539144522585
4,2,1,1,0,1,53.87255076234111
4,3,0,1,1,1,52.9383732266878
7,3,1,0,1,0,44.47563754672899
3,2,0,1,1,1,55.288350018554894
0,2,0,0,1,1,56.45157887125027
6,2,0,0,1,0,45.28112246271546
5,2,1,0,1,0,44.9048298812911
2,3,0,0,1,0,47.82854427221249
5,3,0,0,1,0,45.72187445209803
4,3,0,0,0,0,46.63454608421661
2,3,1,0,1,1,54.70174608723551
4,2,0,0,1,1,54.21332962898285
-1,1,1,1,1,1,56.76171440059044
5,3,1,1,1,0,45.72372510028665
4,1,0,0,0,0,45.69869128240142
3,2,1,0,0,1,55.01455208985068
8,2,0,1,0,0,42.60939060609866
5,4,0,1,1,0,48.36941404668542
1,2,1,0,0,1,54.75199777025401
5,3,0,0,0,0,44.96259789044053
1,2,0,0,0,1,58.3814129740429
6,2,1,1,1,0,45.31822291049519
7,3,0,0,0,0,44.615225127254
4,3,0,1,1,1,54.43251311939551
3,3,0,0,1,1,53.48323374317986
8,3,1,1,1,0,43.61096083453346
5,3,0,1,1,0,45.3848746559289
6,2,1,0,1,0,44.23819210015132
8,2,0,0,1,0,44.33582376712747
4,3,0,0,0,1,54.15578378254223
5,2,1,1,1,1,53.70688101523999
4,3,0,0,0,1,54.5635003515272
3,3,0,0,0,0,47.74633541766077
5,3,0,1,1,0,45.15814105442777
3,2,0,0,1,1,53.917026771070624
5,2,0,0,0,0,46.03276118617102
4,2,1,0,1,1,52.72383815506912
6,2,1,1,0,0,43.93407724555267
5,2,0,1,1,0,45.07689974258949
4,3,0,0,1,0,47.82810444080665
7,3,1,1,0,0,42.95273929531972
9,2,0,1,1,0,43.13675809039872
7,2,0,0,0,0,45.72739040830303
2,3,1,0,1,1,53.22542541380022
3,3,0,0,1,1,52.91921798238786
3,2,0,0,1,1,53.04941246627496
5,2,0,0,1,1,51.876580566878
0,2,0,0,1,1,55.50900199376154
0,2,1,1,1,1,56.27793071163714
2,3,0,0,1,1,54.66844093756606
2,4,0,1,1,1,55.44188187588863
3,3,1,0,1,0,46.84312447639611
8,2,0,0,1,0,44.49017077387453
2,3,0,0,1,0,49.30861584497007
7,2,0,1,1,0,44.35889998249396
4,3,0,0,1,0,46.55200000755036
2,3,0,0,0,1,54.8708493548091
3,3,1,0,1,1,53.246075653176206
2,2,1,0,1,1,56.44476865394968
1,2,1,1,0,1,54.629193140591454
1,3,1,0,1,1,55.7002226840426
2,3,1,0,1,1,55.19632362098593
7,3,1,0,0,0,43.63673185863697
5,3,1,0,1,0,48.18582384549404
0,3,1,0,0,1,56.60823921726815
3,3,0,0,1,0,47.919690091662254
1,3,0,0,1,1,56.20433181274274
3,3,0,0,1,1,54.43295815231093
5,2,0,1,0,0,47.91058150843644
-1,3,0,1,0,1,55.67105793880107
7,2,1,1,1,1,50.52351581712718
4,2,1,1,1,1,52.650447103456926
1,2,1,1,0,1,55.97150767716839
5,2,0,1,1,1,52.86508147159165
4,4,1,1,1,0,47.37431290381373
5,2,1,1,1,1,52.23592813867084
4,3,0,0,0,1,54.80012851157143
0,2,0,0,1,1,55.53437361189125
1,3,1,0,0,1,55.79854860471902
2,3,0,0,1,1,53.73987820025301
2,1,0,0,1,1,54.43869357245806
2,2,0,0,1,1,55.18495157758136
6,3,0,1,1,0,44.4077335760743
4,2,0,1,1,1,56.5976703567437
1,3,1,1,0,1,57.25618676329308
7,3,1,1,0,0,45.48246285127483
3,2,0,1,0,1,54.21876633423443
3,2,0,0,0,1,54.33293488084669
0,3,1,0,0,1,55.49312177879749
2,3,1,0,1,1,54.69659715344289
2,3,0,0,0,0,48.58307783408701
1,3,1,1,1,1,56.33501132184237
3,3,1,1,0,0,48.1637472885498
3,3,0,0,1,1,54.64852725157037
3,2,0,1,0,1,52.379857057454544
1,2,0,1,1,0,48.4865806898388
3,3,1,1,1,1,55.64586715555519
6,3,0,0,1,0,44.261460793061445
6,2,0,1,0,1,52.29472382479032
6,2,1,0,1,1,52.473620079107576
4,3,0,0,0,0,46.41484353220507
6,3,1,0,1,0,46.02805535017212
3,3,1,1,1,1,54.100170580161176
6,2,1,0,1,0,45.60056289148798
6,3,1,1,0,0,44.78814380323366
4,3,0,0,0,0,45.66243989159351
6,2,1,1,1,1,52.16732889930778
7,2,1,0,1,0,44.02775863604736
2,3,1,1,1,1,55.57231500135206
2,1,0,0,0,1,55.2547045667425
2,3,1,1,1,1,55.4857033895639
2,3,1,0,0,1,54.34918724529206
5,2,0,0,0,0,45.83525986707558
0,2,0,0,0,1,56.47912722143101
4,2,1,0,0,1,51.524310405312136
0,2,1,1,1,1,55.81719326536292
3,3,1,0,1,1,55.38709891927799
3,3,0,0,1,1,52.26404533135442
5,3,1,1,1,0,46.668755163638025
10,1,0,1,1,0,42.32704788922357
4,2,0,0,1,0,46.20317642174288
1,3,1,0,1,1,53.129246167739744
2,2,1,0,1,1,55.23695777057205
4,3,0,0,1,0,45.881411762756166
8,3,1,0,1,0,45.476518884376326
1,3,0,0,1,1,55.690163982350384
7,2,0,1,1,0,46.57293167269343
2,2,1,0,1,1,53.42034599104643
1,1,1,0,0,0,47.85202614572231
6,2,0,1,1,0,44.79512530478391
5,2,1,0,1,1,53.574354030695865
3,3,1,0,0,0,47.59920421382272
4,3,0,0,1,0,46.60344492358347
8,3,0,0,0,0,44.454601621746406
6,3,0,0,0,0,44.5980492198641
4,2,1,0,1,1,55.09300488100292
2,2,1,1,1,1,53.52352187370045
4,3,1,1,1,1,54.994086850163896
5,3,0,0,1,0,46.41768699144325
6,2,0,0,1,0,44.44845727408583
0,4,0,1,1,1,57.417932894642206
1,2,0,1,1,1,55.444734279870886
5,3,0,1,1,0,45.746400967412654
0,3,1,0,1,1,58.19241621567863
1,2,1,0,1,1,54.52313036316827
4,2,0,1,1,1,54.923969607103935
4,3,0,1,0,0,45.32757565966404
4,3,0,0,0,0,44.88582938497058
5,3,1,0,0,0,48.33008030080671
4,3,1,0,0,0,45.52976776427835
5,3,0,0,0,0,45.69219622197714
4,3,1,1,0,0,46.523429838502175
3,2,1,0,1,1,53.95380893842353
4,2,0,1,1,0,47.26665409065998
3,2,1,0,1,1,54.808763452966765
5,3,0,1,1,0,45.45028448523252
4,2,1,1,1,1,53.77319407401391
2,2,0,1,1,1,54.24790661247647
4,2,1,1,1,0,47.11055599455357
5,2,0,1,1,0,45.26936901092625
4,3,1,0,1,0,47.102850082374125
3,1,0,0,0,1,55.90820951794125
3,3,1,1,1,1,53.33517140165643
3,2,1,1,1,1,55.84675712251638
3,2,0,0,1,0,45.71117258616035
7,4,0,1,1,0,44.42625728306931
0,3,0,1,0,1,56.97415530391239
0,2,0,0,0,1,54.943909577716816
5,3,0,1,1,0,46.14658348137621
3,3,0,0,0,0,47.831601388556095
3,2,1,0,1,1,54.22987046430964
5,3,1,1,1,0,46.81218416324152
2,2,0,1,1,1,56.41725221127582
3,3,1,0,1,1,54.11100045887653
9,2,1,1,1,0,42.71276364850538
6,3,1,0,1,0,45.83480508939151
2,3,0,1,1,1,53.14587715706158
3,3,0,1,1,1,53.6973293531232
5,2,0,1,1,0,46.53975219102066
3,2,0,0,1,0,46.42237203914978
2,3,0,0,1,1,54.85448741225291
5,3,1,0,1,0,47.11528364170801
4,2,0,0,1,1,53.7550238390788
4,2,1,0,1,1,52.003704549273046
6,4,1,0,0,0,45.801986021521856
4,2,0,0,1,1,54.165933220910006
2,3,1,1,1,1,55.29164245579081
2,2,1,1,0,1,51.90649174666799
3,4,0,0,1,1,52.249260573782685
5,3,1,1,0,0,45.534423071330615
2,2,0,0,1,1,54.13312527946045
1,2,0,0,0,1,55.15167139829868
7,2,1,0,0,0,44.63526187621397
0,3,0,0,1,1,57.030954216498245
6,3,1,0,1,0,44.742850374246046
2,3,0,1,0,1,56.21260263957642
5,2,0,1,1,0,45.48946417741611
1,2,1,0,0,0,47.5655181210478
6,2,1,1,1,0,47.11731476345487
0,3,1,1,1,1,56.140139055241065
7,3,1,1,1,0,43.42152136483036
2,3,0,0,1,1,54.9702735688832
6,3,1,0,1,0,44.24130679733344
5,3,1,0,1,1,53.51621614089663
4,2,1,1,1,1,53.34850175108518
5,2,0,1,0,0,44.77885969572786
0,3,0,1,0,1,55.854021851587895
4,2,0,1,1,0,46.28248642236454
1,2,1,1,0,1,57.440965439473416
0,2,1,1,1,1,56.00610536995694
2,2,1,1,1,1,54.92864323836
5,2,1,0,1,0,44.39910107535242
0,2,0,1,0,1,55.82778363447176
8,2,1,0,1,0,43.58464578383429
7,3,0,0,1,0,44.35035969368153
8,4,0,0,0,0,43.83300182320219
-1,2,1,0,0,1,57.801478033390254
5,2,0,1,1,0,46.33188532936105
5,4,0,1,0,0,46.137210748537925
3,2,1,0,1,0,47.8605314830336
6,2,0,1,1,0,45.54508075869932
3,2,0,1,1,1,52.063858231259736
6,3,1,1,1,0,47.27401842841255
2,2,0,0,1,0,48.137777889367776
1,3,0,0,1,1,54.505912271294456
6,3,0,0,0,0,42.33067681126379
3,4,1,1,1,1,54.25433883379724
1,2,0,0,1,1,54.344067057288456
5,1,0,0,0,0,47.25303105931193
0,2,0,0,0,1,54.94517438555073
5,3,0,1,1,0,46.21883216432953
3,2,0,0,1,1,53.13934691542268
3,3,0,0,1,0,46.66056845515236
3,3,0,0,1,0,46.30301886356136
5,2,0,0,1,1,51.03040130828789
4,2,0,1,1,0,46.62459832141381
1,2,0,1,1,1,53.98963206734985
6,3,1,1,1,0,45.89428678736374
5,3,1,0,0,0,45.92879237898996
1,2,1,0,1,1,55.736925514682646
5,3,0,0,1,0,45.11668463273385
2,3,1,0,1,1,55.59567171623296
4,2,0,1,0,0,47.2144412535974
0,2,0,1,1,1,55.65016023952477
5,4,0,0,0,0,45.30753405635798
5,2,1,1,1,1,53.34590264503132
3,2,0,0,0,1,53.66064586367721
