participant_age,education_years,prior_income,work_hours,union_membership,job_security,job_training,minimum_wage_increase,job_satisfaction
35,24,9,18,1,1,1,0,67.73661621879543
25,23,6,22,1,0,0,0,65.6099161101831
19,28,5,14,1,1,1,1,66.51393692898003
16,17,7,20,1,1,1,0,66.20165356742693
16,17,8,17,0,1,1,1,68.19267412019394
29,25,8,13,1,0,1,1,68.10988203888557
30,23,5,19,0,0,0,1,69.50499773974617
37,23,2,16,0,1,1,1,67.06540444313664
34,29,5,10,0,1,1,1,62.70742932944289
32,22,3,20,1,1,1,0,66.36143142953824
13,21,5,18,0,1,1,0,62.44614103588052
23,21,2,20,0,0,1,0,62.84909880442732
21,23,5,10,0,0,0,1,63.14036466153088
24,21,3,13,1,0,0,1,63.733271823156045
21,20,6,19,1,1,1,0,66.05551991957655
10,20,2,17,1,0,0,1,62.48685855617433
16,21,4,23,1,1,1,1,71.08857692911079
24,24,6,30,1,1,0,1,74.82779771355116
30,23,6,14,1,1,0,0,61.916759639073234
9,23,3,16,0,1,0,1,63.99927078678147
27,24,10,10,1,1,0,0,61.8065659563925
17,16,3,23,0,1,1,1,68.76246079631238
19,23,5,18,1,0,0,0,62.36748021370008
24,25,4,11,0,1,0,1,62.51858122683761
20,27,5,15,1,1,1,1,66.44833195314612
20,29,5,17,1,1,1,1,67.8512343272527
33,23,6,18,1,0,0,0,66.15883333073013
22,25,6,26,1,1,0,0,70.10199259519348
45,29,8,14,1,1,0,1,72.22297259764515
36,19,5,9,1,0,1,1,63.38157588696834
0,25,6,20,1,0,1,0,63.37207154527929
32,18,8,18,0,0,1,0,68.8242022387756
30,16,5,14,0,0,1,1,65.641882150933
32,22,7,20,0,1,0,1,70.58173892137434
32,34,6,28,0,1,1,0,72.51009539542369
19,22,2,14,1,1,1,1,62.18190593863862
36,24,7,9,1,1,1,0,61.17540168698069
32,22,7,15,0,1,1,0,62.13718059353198
40,25,4,18,0,0,0,0,63.72679373328993
43,27,7,12,1,1,0,1,68.39310522834765
41,27,3,23,1,1,0,0,69.00398946819168
37,26,9,25,0,1,0,0,72.40486299499749
42,21,9,18,0,1,1,0,67.71787769835655
42,17,6,13,1,1,1,0,65.28338719566158
26,20,4,21,0,0,0,0,65.19847674889336
15,25,1,13,1,1,0,0,56.527871752882106
15,21,5,17,1,1,0,1,66.53080037356129
23,21,7,19,1,0,1,1,68.5194917404531
30,13,9,18,0,1,1,0,68.98723347685281
27,23,9,10,1,1,1,1,67.3170310482145
24,23,4,10,1,1,1,1,62.378301601247934
22,24,6,21,1,1,1,1,69.80890254938265
40,22,5,25,0,0,1,1,74.97548645173944
22,21,5,21,0,1,1,0,65.43254523793074
14,21,6,24,1,0,1,1,71.4662933365169
23,23,6,15,1,1,0,0,63.04689392983479
18,24,4,19,0,1,1,0,63.90929638087088
31,24,7,9,0,1,1,0,61.8623013636696
23,21,3,19,1,1,1,1,67.44522793353579
20,24,7,12,0,1,1,1,64.98384979509494
27,18,4,22,1,0,1,0,65.71785151539869
28,23,2,15,0,1,0,0,59.377647739369394
8,26,5,16,1,0,1,0,60.42293418078559
20,16,3,17,1,1,1,0,62.08558635601006
7,29,3,18,1,1,1,1,65.15992647810428
44,21,6,7,1,1,0,1,64.94678828710578
29,32,6,14,0,1,0,0,62.43446876459218
18,18,3,15,1,1,0,0,60.91294285980334
34,27,2,16,1,1,1,1,68.26183922361005
33,29,7,17,0,0,1,1,70.43839227178121
34,25,4,18,1,1,1,1,70.43578864883894
29,28,6,18,1,1,0,1,68.70664281881348
13,26,5,23,1,1,0,0,68.63222247036903
35,23,4,19,1,1,0,0,65.4757732857452
37,18,8,15,1,0,1,1,69.61473697147068
19,24,4,18,0,1,1,1,66.68311893268307
22,20,4,14,1,1,0,1,64.17431041344821
31,25,7,12,1,1,1,1,67.90836009942174
23,15,3,18,0,1,1,0,60.7643589211139
29,20,0,22,1,0,1,0,64.3917227790934
25,23,4,20,1,1,1,1,68.88124322731571
26,28,7,22,1,0,0,0,69.12521870274496
11,25,8,13,1,1,1,1,67.33764769738707
28,19,7,9,0,1,0,1,63.87134419560896
27,13,8,17,0,0,0,0,65.91501166971919
18,19,8,15,1,1,1,1,69.48398860590603
25,21,5,18,0,1,1,0,64.18468958004499
20,23,6,15,0,1,1,0,62.857544949406574
28,22,5,24,1,0,0,1,71.47719401710279
19,22,7,15,0,1,1,1,67.92123194041545
24,24,6,16,0,0,0,0,63.3929492854409
29,31,4,15,1,1,1,1,65.82275108716719
25,26,2,15,1,0,1,0,60.90097583309464
26,30,5,15,0,1,0,1,64.43457495610642
41,25,4,18,1,1,0,0,65.65456034617766
9,30,6,10,1,0,1,0,57.452494350103805
29,25,5,15,1,0,1,1,65.95696623866567
17,24,5,16,0,1,0,0,61.8180775420266
7,15,3,14,1,1,0,0,58.29266008652748
60,20,7,22,0,1,0,0,70.81366974498896
22,22,4,19,1,1,1,1,68.84362652025995
26,24,6,16,1,1,0,0,64.96188310053424
19,21,4,12,0,0,0,1,61.32938346627618
27,27,3,19,1,0,1,1,67.56736675919231
27,17,4,20,0,1,1,0,65.48463336734612
18,21,2,20,1,1,1,1,67.8251558926204
21,21,7,13,0,1,1,1,65.53881029178255
25,24,4,23,0,0,1,1,69.13479979568919
24,24,4,15,1,1,0,0,61.75364856214092
7,22,9,20,1,0,0,0,65.78938160291743
9,18,2,8,1,1,0,0,54.19559020075378
32,28,8,14,0,1,0,0,63.91425634611147
22,25,5,12,1,1,1,0,60.87318018206107
32,21,5,18,1,1,0,0,64.18810830692358
10,18,4,22,0,1,1,1,67.31110263843013
17,30,3,14,0,0,1,1,62.97297215039118
48,21,6,10,1,1,0,1,65.85492051677558
35,20,7,13,1,0,0,0,61.65912458713063
29,24,6,17,1,1,1,1,71.72089563301247
28,22,4,13,0,1,1,0,60.43476784610804
21,22,3,18,1,0,0,0,61.47021430386529
6,28,7,15,0,0,1,1,65.00996259316062
16,23,3,13,1,0,1,0,60.59094609869975
11,18,8,13,0,1,1,1,65.08307102626411
18,30,6,16,0,0,1,0,63.80333491649712
13,23,8,14,1,0,0,1,67.04378722459914
17,30,0,19,1,1,1,0,62.30718280206319
16,22,11,22,1,0,1,1,72.38635734066338
22,25,5,12,1,1,1,1,63.5485460127479
18,19,5,9,1,1,0,1,62.12121658771848
15,25,7,14,0,0,0,1,65.01271045200988
8,12,7,20,1,1,0,0,64.01929800779011
19,22,8,15,1,1,1,0,64.74398941671342
18,30,2,17,1,1,1,1,64.00443676277047
31,22,2,16,1,1,1,0,61.15577973857676
28,25,8,27,1,0,0,1,76.50144917883473
42,20,9,13,0,1,1,0,64.82458424488858
13,20,7,23,0,1,1,1,72.22448133816668
28,19,7,11,0,0,0,1,63.90210250438209
52,24,4,15,1,1,1,1,67.1734771166319
19,24,6,19,1,1,1,1,67.63005064283776
23,20,1,19,0,1,0,0,62.70243120152817
10,19,9,21,0,0,1,1,70.6981438070827
20,24,4,12,0,1,1,1,61.46050043687711
33,25,9,15,1,1,1,0,66.66905066629937
34,23,7,17,0,1,1,1,68.20892211151258
26,22,3,18,0,1,1,0,62.72629119797315
19,20,6,21,1,1,1,0,65.93436388864356
20,22,3,17,1,1,1,0,62.25283777877794
35,22,8,18,0,1,1,0,66.71685665921521
39,28,6,15,0,1,1,1,67.873959806809
27,26,7,28,1,1,1,0,74.08789546145886
15,26,6,17,1,1,1,1,67.61219030103558
30,20,3,17,1,1,0,1,65.49684199260261
24,24,6,17,0,1,1,1,67.44250135348918
32,16,3,11,1,1,1,0,57.068241912190125
20,20,7,14,1,1,0,0,62.04136160344814
25,29,8,16,0,1,1,1,69.21226282372281
18,29,6,12,1,1,0,0,60.91388957163533
3,23,4,19,1,0,1,1,65.45412939773844
20,27,1,12,1,1,0,1,61.02034047438588
35,20,7,17,1,1,1,0,66.0871685688334
42,21,8,13,0,0,1,1,69.74930040286007
28,24,4,22,1,1,0,0,66.50385605614068
26,20,2,19,1,1,0,0,63.12511926784269
16,20,6,15,1,0,0,0,59.91940261179493
18,21,0,10,1,1,1,0,55.78583377459105
18,14,2,15,0,1,1,1,64.45800903287598
33,17,7,17,1,1,0,1,68.99936747008857
21,26,9,14,0,1,1,0,64.64844394223661
19,20,6,9,0,1,1,0,58.62460172958302
19,26,3,23,1,0,1,1,70.25299610891578
23,26,4,16,0,1,0,1,66.08989013648542
23,25,4,22,0,1,1,0,66.97068660283641
17,21,3,19,0,1,1,0,63.54160662183961
17,25,5,17,1,1,0,1,66.86740579262045
15,22,6,15,1,1,0,1,65.28865235185017
15,24,7,19,1,1,1,1,69.93149591371814
12,21,6,20,1,1,1,1,69.19185534618178
28,22,5,18,0,0,1,1,68.40637229463162
19,26,1,12,0,0,1,1,61.742566173886416
28,25,4,11,0,1,0,1,64.49187009506443
24,25,5,22,1,0,1,1,70.49827289059128
3,25,4,7,1,1,1,0,53.11210027708475
34,20,3,17,1,0,1,1,65.86613642089618
13,25,8,21,1,1,1,1,71.38619919228708
39,22,3,14,0,1,1,0,60.955090557357366
3,22,6,9,0,1,1,1,60.00764015649897
19,28,7,18,0,1,0,1,68.90897376408681
43,21,6,17,1,1,1,1,71.16379973686007
29,27,8,25,0,1,1,0,70.86556029160997
19,26,9,18,0,1,1,0,67.71009445909154
26,27,8,13,1,0,1,0,62.9781049470393
22,30,2,8,1,1,1,1,60.206879663858
30,18,4,17,1,1,1,1,68.09684942077759
33,27,5,15,0,0,1,0,62.53907079014013
20,22,10,18,0,1,1,0,67.83108879889389
9,32,11,15,1,1,1,1,69.0562443356384
40,24,4,3,0,1,1,1,58.53840333776187
15,22,4,9,1,1,1,0,56.91482927379639
29,25,7,15,1,1,1,1,68.76454993386086
20,16,4,8,1,0,1,1,61.97848045785653
33,24,6,19,1,1,1,1,70.21640268979426
30,29,0,19,1,1,0,0,62.2634522557594
38,28,2,13,0,1,1,1,62.96271850394231
23,20,2,14,0,1,1,0,60.403421051402646
43,19,3,11,1,0,0,0,58.89568881300296
19,26,1,9,1,1,1,0,55.16422173854812
15,18,3,16,1,1,1,1,66.16232633828405
11,22,3,10,1,1,1,0,57.6795077891596
11,23,3,18,1,0,1,0,62.80704056575204
14,29,6,13,0,1,0,0,61.01724556855893
19,18,6,16,1,1,0,1,67.03213407709771
16,17,4,18,1,0,0,1,66.20288296925537
21,19,7,16,0,1,1,1,66.46042642274654
11,25,4,4,1,1,1,1,57.54622192650047
38,20,3,9,0,1,1,1,62.63261590544204
40,14,2,8,1,1,1,1,60.70896397520577
18,26,4,13,1,1,1,0,60.40623995673712
15,22,8,19,1,0,0,1,69.5304241773306
47,17,6,16,0,1,0,0,63.42856746541519
34,28,5,13,1,0,1,0,62.51922571804471
33,23,5,14,1,1,0,0,62.30785513969968
36,26,2,18,1,0,1,0,63.23865597342384
35,26,5,10,1,1,0,1,64.77507734183804
19,21,4,17,1,0,1,0,64.58949922152256
14,30,8,17,1,0,1,1,69.2115085723063
21,22,4,18,1,1,1,1,67.14581575281407
29,14,7,12,1,0,0,0,61.45900488540263
45,17,5,24,0,0,1,1,74.38662379691367
24,19,7,13,0,1,0,1,65.22901725537027
28,33,6,18,1,1,1,1,70.57174296786226
25,27,11,19,1,1,0,1,72.78879820079422
26,20,11,18,1,1,1,1,72.34037079087929
35,27,7,14,1,1,0,1,68.01428746974793
25,21,4,18,0,0,0,0,62.57823188906048
22,24,6,9,1,1,1,0,58.660859021401336
20,26,8,17,1,0,1,0,66.3654071251987
54,23,6,15,1,0,0,1,71.67495637179307
33,25,7,12,0,1,1,0,60.563354957290976
27,25,6,8,1,0,1,0,58.989928245974106
33,19,7,10,0,0,1,1,65.78470927858253
36,21,3,11,1,0,1,0,62.36631870169772
22,14,4,16,1,1,1,0,61.21994012776655
25,27,7,9,0,0,0,0,61.0935297031368
24,25,2,10,0,0,0,1,60.55102479436892
35,19,5,18,0,1,1,0,64.25218542445297
28,28,4,8,0,1,1,1,59.86105933135211
9,17,5,18,1,1,1,1,65.9758621643871
18,24,5,12,1,1,1,1,64.06764472676251
7,30,4,17,1,1,1,1,65.0415810385356
14,17,7,17,1,0,1,0,64.37218696452375
29,28,7,20,1,1,1,0,68.3390171986768
28,28,5,14,1,1,1,1,69.24226073871984
23,25,6,20,0,0,1,1,69.13840769811813
19,26,6,15,1,1,0,1,66.51902011898899
26,27,3,12,0,0,1,0,60.19221369006227
24,20,6,10,1,1,0,0,61.03998336144162
20,17,6,16,0,0,1,0,61.90752938900474
31,22,9,18,1,1,1,1,69.53667923736309
20,26,5,9,1,1,1,1,61.302359409733
11,22,4,22,1,1,1,1,68.99994193842906
27,27,8,20,1,1,0,1,72.5054165202962
28,18,4,17,1,0,1,0,65.72508791262871
23,16,9,17,1,1,0,1,70.08645348112132
29,24,0,20,0,1,0,1,66.56442975870326
15,25,3,20,0,1,1,0,62.38478131817868
21,20,3,14,1,0,1,0,60.319282992640495
9,23,6,16,1,0,1,0,60.87342646971641
19,19,4,22,0,0,1,1,67.46840249549408
20,25,4,15,0,1,1,1,65.19328618001578
14,22,8,12,1,0,1,0,61.11799519430982
23,23,1,17,1,1,1,1,65.54868352250973
26,29,5,18,1,0,0,0,62.22223583658177
41,25,7,20,1,1,1,0,68.80582709676935
23,22,0,11,0,1,1,1,61.14092205453098
22,22,4,12,1,0,1,1,62.16925552557253
45,29,8,22,0,0,1,1,74.6126177035022
17,23,7,17,1,1,1,1,67.50603637394009
22,19,4,8,1,1,1,1,59.93083910907313
33,22,5,13,0,0,1,0,62.47225318014412
17,17,9,17,0,1,1,1,68.26390793753204
33,19,5,21,1,0,1,1,73.8547957890187
20,17,6,11,1,0,1,0,60.8828350863616
40,26,5,19,1,1,0,0,66.03025678630738
13,25,5,17,0,0,1,1,65.89181767269787
34,27,5,13,1,1,1,0,63.65864660403095
25,18,6,19,0,1,1,0,66.44307092554405
24,27,6,19,1,1,1,1,69.70782004785073
27,21,7,21,0,1,0,1,71.3479627278753
12,25,8,22,1,0,0,0,66.13201003729185
17,23,4,4,1,0,0,0,53.09480730498155
33,19,4,13,0,0,0,0,61.32111626557752
15,21,8,14,0,1,0,1,65.95857419600677
35,22,7,16,0,0,1,0,65.83343097189575
19,24,4,22,1,1,0,1,67.83077010946394
19,30,5,9,1,0,1,1,62.29646027593133
37,29,4,14,1,1,1,0,63.62688846351365
32,24,6,14,1,1,1,0,62.44642706275894
13,35,6,17,1,1,0,1,66.62162230320946
24,25,11,13,1,0,0,0,65.21757669570071
20,16,2,18,1,1,0,1,66.15565716790672
15,29,6,14,1,1,0,1,66.50955529069286
28,22,4,15,1,1,1,0,62.21290424557728
36,20,4,11,1,1,1,1,62.51981616593719
47,22,5,16,1,1,1,1,69.15515745350048
38,18,7,14,0,0,1,0,65.12508361982603
31,27,9,19,1,1,0,1,72.39643137041328
20,27,4,16,1,1,1,0,64.76700246736117
21,15,7,21,1,1,0,0,68.31158475009934
29,32,5,15,1,1,1,1,67.46292327278343
18,24,6,23,1,0,0,0,67.25837175831099
12,23,5,19,1,1,1,1,67.42991662723286
-3,26,6,20,0,1,1,0,63.02026576879314
16,27,3,16,1,1,0,0,61.80920985632511
25,20,5,13,0,0,0,0,59.367595259188015
15,23,3,21,1,1,0,1,66.76057179001565
27,27,7,21,0,1,0,1,73.01037140916475
8,24,6,19,1,1,1,0,63.15236127354281
13,25,1,14,1,1,0,1,61.74383555919324
11,30,6,14,0,1,1,1,66.52518077175033
21,17,3,17,0,1,0,0,61.57962503517511
31,30,5,15,0,1,0,0,63.46892151575418
24,26,5,20,0,1,1,0,65.2189744341135
10,21,2,13,1,1,1,0,59.14496867423121
14,24,8,20,0,1,0,1,69.05824073242553
13,28,3,7,1,1,1,0,55.47171891236135
50,24,5,12,1,1,1,0,65.07717210694695
7,24,5,19,1,0,1,1,67.09457637624071
12,27,5,25,0,0,0,0,67.30801613533369
19,28,3,13,1,1,0,1,64.11775649209697
30,29,2,16,1,0,1,0,63.12360196814198
11,24,5,10,1,1,0,1,60.61029144684756
7,23,4,13,1,1,1,0,60.20391418762205
31,20,8,17,1,1,0,0,64.9724684863109
26,25,5,9,1,1,1,0,60.54007870946203
16,34,7,10,1,0,1,0,59.5073592335014
29,27,1,17,1,0,1,0,62.72596313494136
24,22,2,16,1,0,1,1,65.40461474750272
23,21,8,13,0,1,1,0,63.481498890085895
38,18,8,21,1,1,1,0,68.59704582880275
24,15,10,14,0,1,1,1,67.1794836289611
15,22,5,8,1,1,1,0,57.07228648531587
24,19,2,19,0,1,1,0,63.40425164256253
20,27,7,11,1,1,1,0,61.10032912771073
31,29,9,17,1,1,1,1,72.35014343419458
28,21,5,19,1,0,1,0,64.44738276737836
34,24,8,17,1,1,0,0,66.27980438853245
34,30,8,16,1,1,1,0,66.4218898399764
17,21,3,13,1,1,1,1,64.73987365425617
26,28,6,17,1,1,1,0,65.68341443903097
20,19,5,18,1,1,1,1,66.67968133046575
33,28,7,19,1,1,1,0,69.4064075720591
14,20,3,15,1,0,0,0,59.85214555193482
29,25,6,19,1,0,0,1,70.12272821011751
20,24,4,17,0,0,1,1,66.60292732077305
20,27,4,8,0,1,1,0,56.3875878007924
33,23,5,14,1,1,0,1,64.49232757100484
45,24,6,13,0,1,0,0,64.32821520684706
31,22,3,14,1,1,0,0,60.086114801428266
24,21,10,17,0,1,1,1,71.07239983419473
39,19,4,6,1,0,1,1,60.04778231430021
36,21,4,18,0,1,0,1,68.70160637729953
15,23,4,22,0,0,0,1,66.60080960274769
31,23,4,18,1,0,0,1,69.52167684693073
29,30,5,18,0,1,0,0,63.943775956186194
23,19,6,24,1,1,1,0,68.80402533179956
40,20,6,17,1,1,1,0,66.85524845314748
20,24,5,13,1,1,1,0,60.07003050789328
29,23,5,18,0,0,1,1,66.87040956169236
22,26,5,9,0,0,0,1,61.944145045834695
25,22,8,10,1,0,0,1,66.10628644176634
12,22,6,15,1,1,1,0,63.6852144925907
17,28,4,18,1,1,0,1,67.5468453478938
38,22,4,19,1,1,0,0,65.08863677292753
27,20,8,17,1,1,0,0,64.76168851955254
23,26,5,16,1,0,1,1,66.15430062462718
46,26,0,13,1,1,0,1,63.3365777737955
35,27,7,8,0,1,1,0,60.61039154828565
37,25,5,17,0,1,0,1,68.30338897130812
20,27,4,21,1,1,0,0,64.56159544531025
15,23,7,15,1,0,1,0,62.932879606122384
13,22,2,10,0,0,0,1,59.16763645665993
36,17,8,17,0,1,1,1,69.83165886663647
-2,29,9,19,0,0,1,0,65.5998114743609
15,29,5,12,1,1,1,1,63.75759388127381
22,20,3,17,0,0,0,0,60.4544827875023
22,26,6,10,0,1,1,0,59.684153403830166
23,25,5,11,1,1,1,0,60.31012585943831
36,13,5,20,0,1,1,0,65.88716072383065
33,20,5,12,1,1,0,1,64.65878399172315
15,22,8,18,0,0,0,0,65.88937197546484
15,27,6,12,1,1,0,1,64.52866529297617
35,17,8,17,1,1,1,1,69.48895663287715
25,26,4,18,0,1,1,0,64.02224092780958
15,23,6,8,1,0,1,0,57.16150526397778
19,21,2,11,1,0,1,0,57.754297421966136
19,29,6,22,1,1,1,0,67.62874354275822
22,16,4,21,1,1,1,1,68.46479995254069
15,21,7,16,1,1,0,1,65.71272338407503
39,26,9,3,0,1,0,1,64.23105457266043
28,23,4,11,0,1,1,1,63.28516467618916
28,15,10,11,1,0,0,0,64.62091961626604
33,25,6,20,1,1,0,0,69.61603155334487
25,24,5,18,1,0,0,0,64.72675409014134
13,22,7,18,0,1,1,1,68.14104965871084
22,24,8,16,1,1,0,1,68.96358440160739
43,22,5,10,1,0,1,1,63.29704941304449
23,26,5,14,1,0,1,1,65.92332877694531
34,25,4,22,1,1,0,0,66.99847263913165
22,18,7,15,1,1,0,0,62.34701040929681
29,28,6,33,1,1,1,1,77.93799157212963
15,27,6,7,1,0,1,1,61.517995271691824
37,19,9,12,0,1,1,1,69.0340876438058
33,24,5,13,0,1,1,0,62.30694211610352
12,24,6,9,1,0,0,0,57.36683180556812
4,17,7,16,0,1,1,0,60.69660379652546
11,22,7,15,1,0,0,1,65.98234328015872
41,26,7,11,1,1,1,0,65.4265356913372
32,23,8,15,1,0,1,0,66.69438365398982
32,23,4,23,0,1,0,0,66.72116648439386
