age_years,household_income,unemployment_rate,gender,minority_status,local_employment_growth,job_training_hours,individual_income
7,31,10,1,1,9,33,163.71220580192053
6,32,4,0,0,10,32,158.94159949552918
8,33,8,1,0,10,33,161.0711026122335
9,28,10,0,1,9,31,153.4741587068281
6,29,3,1,1,12,35,164.28145990283744
13,26,11,1,1,12,29,145.21118217291416
11,22,7,1,0,10,27,138.09188314540157
10,28,3,0,1,11,31,157.63923339840056
11,33,5,0,0,8,31,160.4569426796244
15,34,4,0,1,13,28,152.16199867028496
13,27,9,0,1,9,27,141.54338160969283
12,31,2,0,0,11,30,158.01945098369353
12,32,12,1,0,7,29,148.42238231888874
6,28,0,0,0,13,35,170.8158990448932
7,28,7,0,1,10,32,157.58215118318233
6,35,9,1,1,11,32,157.67667646430348
7,30,13,0,1,8,29,143.84993896976755
14,27,6,0,1,12,30,154.94372694376796
8,33,4,1,0,10,32,161.2390114349817
8,28,10,1,1,9,31,152.0653305345267
9,27,3,0,1,12,31,154.23590716032328
9,23,5,1,1,13,31,150.48681286936372
5,31,4,0,1,10,31,153.5554333636162
7,29,11,0,1,12,32,151.72936529666367
10,29,3,0,0,12,34,167.59339666711924
10,29,4,0,1,12,31,155.27813480594227
9,30,7,0,1,12,35,168.67815375719377
6,30,9,1,1,9,34,162.470965393643
12,32,8,0,1,10,27,143.55644978993394
14,29,9,0,1,13,28,145.75056122137036
11,28,9,0,0,10,29,148.17246070084892
10,29,8,1,1,12,32,160.09123539743493
7,27,3,1,0,11,34,164.7354670266601
9,30,9,0,0,10,31,152.03628473947177
9,32,3,1,0,12,32,163.6131798615606
15,32,8,0,0,10,29,154.49759704248052
8,31,14,0,1,11,32,156.33762873848465
12,30,6,1,0,15,31,155.5324355634778
14,28,8,1,0,10,28,147.16631391511552
16,28,10,1,1,8,26,140.34879690779673
11,31,9,1,0,7,31,154.72682061663528
9,29,11,1,1,12,33,158.19139708728304
13,30,12,1,1,9,28,144.81358093250665
8,31,10,1,1,10,31,154.71846251598058
9,34,6,1,0,8,32,162.32804524294156
14,29,5,0,1,12,30,154.9083755169882
8,29,6,1,1,8,30,153.7760531705381
10,30,9,0,1,8,31,155.01131156384412
9,31,5,1,1,10,33,165.67937832229353
4,32,9,0,1,9,37,172.00170629835802
10,29,0,1,0,13,32,162.6611598195838
9,30,8,1,0,9,32,160.96578235921922
12,31,5,0,0,11,30,155.1182838832518
7,31,9,0,1,8,32,153.69269439892702
6,29,9,0,0,12,35,164.85877571306773
10,29,4,0,0,13,32,158.62199535521717
9,28,7,0,1,11,29,144.83694523428187
11,32,7,0,0,12,29,149.72176138228912
8,31,6,1,0,10,30,151.99824362017222
7,28,4,0,1,11,33,161.58346377589544
9,28,10,0,1,13,33,158.5555242277194
13,31,7,1,1,10,28,147.82830448713483
13,28,13,1,0,11,28,140.9825104195882
9,28,10,1,0,10,29,145.77292954137312
11,31,5,0,0,14,35,168.144321203386
13,26,4,1,0,12,31,155.8050379410807
7,26,9,0,0,8,30,147.65616426134693
4,30,6,1,0,10,35,165.74521959960515
7,30,8,1,1,12,35,169.43351899733932
9,33,9,0,1,8,28,145.45808707781134
7,32,7,1,0,7,28,146.4538652484871
14,30,14,0,1,8,27,141.40679482924557
7,29,9,0,1,9,31,154.52266994869424
12,27,6,1,0,12,30,153.51956321773238
7,29,4,1,0,8,30,152.12752349215876
7,27,10,0,0,9,33,159.4009872051636
5,28,4,0,1,10,33,160.1727011787532
13,28,8,0,0,10,26,138.931538206178
8,32,10,1,0,10,31,153.07492827833903
7,27,3,0,0,8,31,153.18898963557066
7,25,12,1,1,14,34,158.76183499399974
7,28,7,1,1,10,33,159.68764761028095
8,29,7,1,1,15,33,159.6435392371034
11,28,12,1,1,8,28,142.55992390262068
8,31,9,0,1,11,33,163.37891718441963
12,31,11,1,0,7,26,139.16155236155456
0,28,9,0,0,10,37,168.3969622187986
9,33,5,0,1,11,32,161.7500610139562
8,27,8,1,1,9,30,151.51744547730272
10,33,7,1,0,11,32,160.07641163990291
7,28,10,0,0,11,35,162.06989696062294
12,32,8,1,1,10,31,158.2798753608417
10,31,6,0,0,9,30,152.96080726284524
7,29,6,1,1,9,32,157.82455473550556
8,29,11,0,0,10,34,163.5918766111161
8,32,10,0,0,13,33,157.468792223872
9,32,6,1,1,10,32,161.04544050117832
6,27,8,1,0,11,34,157.68519089317886
13,29,9,1,1,9,28,146.2367102657957
6,31,2,0,0,10,34,166.6010355951519
7,30,10,1,1,5,28,146.53247435046583
12,22,9,1,0,9,26,131.72850506874462
9,33,5,0,0,11,32,161.08198449242815
8,29,7,1,0,12,35,166.1556501915405
12,27,5,0,1,12,30,152.96801464097248
15,33,10,0,1,12,31,158.79139132309746
9,30,10,0,0,13,34,164.8171834825224
15,27,4,1,0,12,28,147.31456112356906
8,28,6,1,0,10,33,158.57280894251704
6,29,11,1,0,9,33,157.23543480159628
13,32,10,0,1,11,31,156.458367768797
6,34,9,0,0,9,33,159.5703689143782
10,31,5,1,1,13,27,143.44573786586793
10,31,4,0,1,9,30,155.44241683210564
8,25,8,1,1,9,30,145.903512980444
9,29,7,0,1,9,32,160.21845859401787
6,31,6,0,0,13,35,165.3566339885972
10,31,5,0,1,14,35,171.1195139890791
13,31,6,1,1,8,30,153.9919421088514
7,30,8,1,0,9,32,159.26736681655157
9,30,11,1,0,12,33,160.9660559708731
13,26,9,1,1,14,28,143.34144284124153
11,30,6,0,0,9,33,164.4825684779847
8,28,4,1,0,10,35,172.39344276373603
5,29,7,1,1,11,33,160.46400857173032
6,33,6,1,1,10,33,164.62090132701775
14,29,7,1,1,12,28,145.19517463362055
7,28,1,0,0,9,32,158.7805964725426
7,31,12,1,1,5,30,150.8273479344941
9,30,7,0,1,12,31,154.384032654832
6,36,8,0,1,11,33,164.20226705311862
9,30,2,1,0,9,30,157.0885040812891
8,33,11,0,0,13,36,171.06512349493437
10,29,5,0,0,12,31,154.33618388266268
11,30,4,1,1,10,31,158.31398026011212
9,33,3,1,0,9,33,169.7038348726464
10,31,12,0,0,12,32,157.64213516438954
13,30,7,1,0,14,33,161.93832713664438
6,30,12,1,1,13,34,160.98028938969432
7,34,6,0,0,13,36,171.12379538970518
5,29,10,0,0,12,34,159.73171469865937
14,31,11,0,0,12,30,151.89321656418417
15,30,8,0,0,6,24,134.0202599508928
10,27,10,1,1,11,31,152.14620749883557
11,32,5,1,1,13,33,164.15874283131225
3,32,6,0,1,9,36,173.41239453705222
11,34,3,0,0,7,26,142.43050353974672
16,25,7,1,1,6,23,128.41094207236512
12,32,8,0,0,8,31,156.65642226093036
11,31,8,1,1,12,31,157.78858432888583
12,31,0,0,0,10,29,154.42075089333983
9,28,6,1,0,7,27,140.31945039114495
8,28,2,0,0,10,30,153.00096765486205
7,26,3,0,1,13,36,173.50094721832306
12,29,7,1,1,12,30,154.06305010927537
11,30,8,1,1,9,31,155.21834206302762
5,27,5,0,1,10,32,155.06270813573727
5,29,8,0,1,8,31,151.61493124911308
9,27,4,1,0,7,30,154.03950600768317
8,28,9,1,1,11,30,152.39315252374655
7,28,5,1,1,8,31,155.88506329952614
8,28,6,1,1,12,29,146.46762960165483
11,29,2,0,0,9,28,150.31076508263024
12,26,12,1,0,12,27,134.3376449437335
10,28,8,1,1,9,29,147.67744453734923
11,25,12,1,0,12,32,153.43642760792562
9,31,12,1,1,10,33,160.52439237212246
7,28,7,0,0,8,32,157.19150562273597
9,31,13,0,1,10,29,145.61499557639627
11,30,2,1,0,11,33,166.27047372109638
15,30,6,0,0,11,29,150.95805633289902
9,30,7,1,1,10,31,152.36231390152682
6,32,10,0,1,11,35,167.29545426588652
13,28,9,0,0,10,27,142.68559719650077
12,34,8,0,1,11,28,148.18615407412864
10,31,13,1,1,11,31,152.89925214994904
12,30,5,0,0,10,29,149.62772579982607
10,29,5,1,0,8,30,154.13832285090123
9,30,12,0,0,15,33,158.7417758731779
6,30,6,0,1,8,33,161.579501006499
11,33,7,1,0,12,33,164.7729161331722
9,32,8,1,1,11,35,168.64271038322786
6,27,9,0,1,10,35,165.6933240399904
4,30,3,1,1,12,35,168.1322748122544
6,29,8,1,1,11,34,163.82332647767967
12,27,4,0,0,11,29,147.161994169873
13,30,2,0,0,8,29,155.18033427989857
13,28,9,1,0,7,28,146.00853539266615
11,36,10,1,1,8,28,148.54967215399694
15,30,6,0,1,16,30,153.8798944994423
10,31,6,1,0,15,36,171.69330668863958
12,32,3,1,1,12,31,160.7096288462286
3,30,7,1,1,9,33,159.43234816353873
9,25,5,0,1,9,28,144.07611633160727
12,31,12,1,0,9,27,140.60795501529518
12,30,5,0,0,13,33,163.04724148950646
6,26,10,1,0,8,31,147.72219042601336
8,29,10,1,1,10,30,147.601332922758
5,34,7,1,0,12,34,164.24997594408424
10,28,8,1,1,9,26,139.23283402107697
11,29,8,0,0,11,33,158.98753172048322
9,33,13,1,0,12,32,157.1152434225274
12,31,11,0,0,11,30,152.95984540444243
9,26,10,1,0,11,31,148.7830807174621
5,32,9,1,1,12,37,175.09622851042818
9,30,15,0,0,12,33,156.3273364425126
4,32,9,1,0,12,34,163.3408251070619
7,27,7,1,0,13,33,157.77499905235695
10,32,8,0,1,9,32,161.1689687990987
10,29,11,1,0,14,34,159.91081995401473
6,31,8,0,0,10,31,152.51989606297198
4,28,9,0,1,10,34,160.74547121405394
15,28,11,0,1,12,27,141.57364590730967
15,31,9,1,1,12,29,149.2154239890063
10,30,6,0,0,12,31,156.08183193268576
10,24,8,1,1,14,29,144.20658713172716
8,27,4,0,1,10,30,150.17095532560498
10,27,7,0,0,10,31,153.2903652316825
9,27,12,0,0,7,28,139.71072651670352
8,27,5,1,0,12,33,159.56596621663
15,28,6,1,1,11,27,143.81217953181618
16,30,5,1,1,11,27,144.04065007711296
12,31,4,1,0,10,30,155.14373449325808
14,32,5,1,0,11,30,155.84097695853112
11,30,5,0,1,12,32,160.32000486449394
11,29,12,0,0,12,29,144.29761764806688
14,30,9,1,1,11,29,149.1951093566407
6,28,9,1,0,11,34,159.17009414768444
16,28,6,1,1,14,26,139.6654916408361
12,28,10,0,0,8,27,139.04583122830556
6,31,10,1,1,12,33,158.79734081360826
8,31,8,0,0,10,30,151.36274719790185
10,32,5,1,1,8,32,159.70576848666315
8,24,8,0,1,10,28,140.34167221388807
14,33,9,0,0,9,28,147.51694872100634
12,29,13,0,1,6,28,142.78281559785302
15,31,8,1,0,10,28,149.4686725683436
10,25,7,1,1,11,30,151.51619209769686
12,30,10,1,0,12,30,150.72710374763858
10,33,9,0,1,11,31,154.89970959487567
9,29,3,0,1,14,33,163.61647755073668
11,30,9,0,1,9,28,143.55704738240937
8,30,8,0,1,11,32,157.40111092670114
7,29,2,1,1,8,32,161.68321241651165
4,27,4,0,1,10,36,173.0983412078897
10,27,12,1,0,11,31,149.81402969945952
7,35,9,1,1,9,30,152.83970763347884
14,30,2,0,0,10,29,154.37565707611435
9,34,4,1,0,9,34,168.68782141708093
11,31,12,0,0,10,30,149.8780075969661
8,26,7,0,0,12,31,148.7579165368791
9,31,6,0,1,15,34,168.11867980343462
14,26,-1,1,0,8,25,140.4094368502642
11,27,5,0,1,6,27,146.33790460767293
7,27,3,0,0,11,35,166.1355385094313
7,28,7,0,0,14,33,155.24934523299214
12,28,8,0,1,14,31,156.1499644535381
12,27,5,0,1,9,29,152.4112808170479
10,29,8,1,1,10,29,147.75480985857982
11,27,4,1,1,14,31,156.52768629098935
8,29,4,1,1,11,31,156.56066519725275
9,27,4,0,1,9,30,151.6245550898672
10,29,8,0,0,13,32,154.72780574220695
14,29,13,1,1,10,27,143.3760211521292
7,30,16,1,0,8,31,148.5784346720375
13,30,11,1,1,10,27,141.09934166271813
5,28,4,1,0,13,34,161.79342658760967
13,30,6,1,1,11,28,149.94221907942529
6,28,8,0,1,11,32,156.61115560528475
14,28,5,0,0,10,28,148.74289368798424
8,30,5,1,0,7,31,157.38001561377592
11,31,4,1,1,9,31,161.45283094051192
13,30,4,0,1,15,31,159.68500397794446
12,28,11,0,1,15,32,157.57186228847112
12,31,4,0,0,9,30,155.16428653320938
6,32,3,0,1,9,31,158.69204358390536
5,29,4,0,0,8,32,159.1953541987737
11,29,8,0,1,13,30,151.87688584296066
12,30,4,0,1,12,30,152.71092934601728
10,30,11,0,0,10,31,153.51097490831063
7,28,10,0,0,12,34,161.36352017830393
12,28,9,1,0,12,30,150.17519286487064
12,29,15,0,0,12,30,147.52051019506052
10,26,3,1,1,6,28,146.30541865952324
5,30,13,0,1,10,31,148.81808054325222
13,30,9,0,1,9,25,136.63486709025764
12,25,9,1,0,10,29,143.42006871745014
11,28,3,1,0,12,32,156.67050557859514
7,31,5,1,0,9,33,165.39273372029498
9,30,9,0,0,13,34,163.79906765079866
8,29,8,0,0,11,31,152.23627616815926
9,29,6,0,0,10,35,167.89034086482624
11,33,12,0,0,9,31,156.62536040994914
11,30,8,0,0,9,31,153.85900971376026
8,35,8,0,0,11,36,170.72696156681656
11,35,3,0,0,13,32,161.13830180194566
9,31,8,1,0,10,32,153.93203216934904
5,30,12,1,0,8,35,164.64649222152826
13,28,9,0,1,14,30,148.73242516348176
9,36,8,0,0,11,34,168.4032511811102
7,28,10,0,1,9,29,146.98113206505852
7,30,10,1,1,10,32,157.60393015911848
14,33,12,1,1,9,29,151.80061354257677
6,29,12,1,1,8,30,145.92849210550963
12,28,6,0,1,10,29,150.25537202689748
15,31,17,0,1,15,32,157.59813947680078
9,30,4,1,1,9,31,159.78505006175484
8,31,9,0,1,11,31,153.5285336909813
12,35,5,0,0,5,28,151.88918664867563
8,31,8,0,0,11,31,154.09459915581144
14,31,9,0,0,9,29,148.59369640677454
12,27,8,0,0,11,29,147.54716228930434
11,31,6,0,0,11,30,153.43706995140897
10,29,7,1,1,12,31,152.85375173899118
9,27,11,0,0,9,30,147.66635502946474
6,27,10,0,1,9,32,152.60007079363186
11,31,6,0,0,11,31,156.8060734711907
6,29,7,0,0,13,35,163.16091386633718
14,29,14,0,0,5,25,135.40601149683232
8,29,-1,1,1,11,32,162.5450718022108
4,31,8,1,0,8,35,165.0344136299041
12,29,7,1,0,13,32,160.06806132410944
12,33,11,1,1,10,32,162.72584736101527
9,29,10,1,1,11,30,150.3983124316799
8,31,8,0,1,10,31,156.27503214972526
4,27,19,0,0,9,34,156.15325201595567
7,29,5,1,0,12,33,161.0960539200635
7,28,5,0,0,10,33,159.02061735932136
14,28,11,1,0,16,32,155.4680596742546
7,31,5,0,0,11,36,172.68155396972895
8,31,5,1,1,10,32,160.42355961296772
10,29,6,1,0,10,30,151.38370058409916
10,33,6,0,0,10,32,163.54620458213546
16,26,14,0,0,11,27,137.7189377593113
13,27,7,0,1,14,29,148.40213495520308
6,29,5,1,1,12,33,161.6242481364288
12,32,7,0,0,7,26,140.41981174753764
7,27,7,0,0,10,31,150.27396605983014
12,31,6,1,1,9,29,152.77894775694037
10,33,11,0,0,10,33,161.372261963178
9,28,2,0,1,10,28,145.34831615941434
13,29,10,0,1,12,29,148.32034949673576
3,28,10,0,0,11,36,166.49014865477804
9,30,11,1,0,12,32,156.36828903278015
13,27,7,0,0,10,29,148.53965296431187
12,31,7,0,0,10,30,151.84939429761013
4,27,10,0,1,9,36,167.0086586404115
16,28,12,0,0,10,25,131.11786222079886
9,31,11,1,1,13,30,150.82178435985674
12,30,11,0,1,11,31,153.7768089974658
12,31,10,0,0,8,30,151.69972195544025
7,28,6,0,1,14,36,173.6338424827099
10,32,8,0,1,6,28,145.24673061822347
12,31,12,1,1,8,30,150.8761650434541
9,31,9,1,1,9,30,151.41396943631864
7,31,9,1,1,8,32,158.6418617552967
8,28,7,1,0,8,31,151.66408544026078
12,31,7,1,1,13,32,161.96092966800512
13,29,8,1,1,13,30,152.43598683256567
11,30,3,1,0,8,28,148.89275952642393
4,31,5,1,0,8,32,159.52011833512304
8,30,5,0,1,10,32,159.77158787427865
7,30,6,0,1,9,34,163.43724755577725
10,27,10,0,1,10,29,146.40332966116796
10,29,10,1,1,7,28,143.8254528029491
8,31,9,0,0,9,34,163.86723091558335
13,29,10,0,0,9,27,140.97197546225834
11,30,10,1,0,10,29,145.90154816597015
