student_age,parents_education_years,weekly_study_hours,class_size,low_income_status,gender,rural_residence,scholarship_received,end_year_grade
24,11,11,9,1,1,1,0,75.06119396617945
6,29,16,20,1,1,0,1,72.71021593352883
43,14,14,15,1,1,1,1,104.96726781162567
18,20,9,18,0,1,1,0,74.5715058233398
32,13,11,14,1,1,1,0,84.82178271194161
6,16,9,15,0,0,1,1,69.00325596460753
29,30,9,13,0,1,1,1,97.90049769170474
30,36,7,15,0,1,0,0,91.23543711466064
42,14,10,24,1,1,0,0,97.30583471037448
32,30,12,11,1,1,1,0,89.42008548047075
39,18,10,13,1,1,0,0,95.42233568590636
16,27,9,15,0,1,1,1,83.48323448950522
16,12,7,21,1,1,0,1,77.50938797568743
30,17,10,20,1,1,0,0,87.13945113702454
37,19,9,15,1,0,1,0,93.69028915685246
26,27,15,14,1,1,1,1,92.0116413716864
34,14,9,18,1,0,0,0,88.6536247665182
10,28,7,10,0,1,0,1,77.79768348467915
41,23,11,6,0,0,1,1,106.00105768021128
37,23,10,19,1,0,1,0,94.84177549613264
37,18,9,14,0,0,1,1,101.5316537102668
21,13,9,12,1,1,1,0,73.152348759697
15,15,6,9,1,1,1,1,79.02625044159957
32,26,4,17,1,1,0,0,91.60989313135607
33,32,8,11,0,1,1,1,101.48171032313996
32,28,11,18,1,1,0,0,88.70995833619834
32,19,14,12,0,1,0,1,93.30590954825568
18,11,9,12,1,1,1,0,69.7035280505915
36,20,10,18,1,1,1,0,91.82577113947468
24,23,8,18,1,0,1,1,90.62460143178562
40,26,4,22,0,1,1,0,101.10503211185772
32,24,6,18,0,1,1,0,90.728938306707
19,16,16,17,0,1,1,1,81.09966670555521
19,32,11,15,1,0,0,1,86.73188740623506
35,8,5,15,1,1,0,0,89.22945718740786
25,20,8,25,0,1,1,1,91.1972218080712
39,20,4,13,1,1,1,0,95.69103836990875
43,15,12,11,0,1,0,0,97.7395234871334
28,25,8,23,1,1,1,0,86.00325608139129
23,24,8,8,0,1,1,1,88.10719708744612
29,23,12,19,0,1,1,1,95.4621112673736
19,14,3,14,1,1,1,0,74.19685048634096
23,14,8,17,1,1,1,0,78.25420367347637
21,20,12,20,1,1,0,0,76.46155594146956
23,25,11,10,1,1,0,0,80.48866634836831
36,18,15,11,0,1,0,1,98.3932184561088
36,27,11,10,1,0,1,1,102.92217209927604
23,14,11,7,0,0,1,1,83.86673959643821
38,18,13,11,0,1,0,1,103.16216874698452
41,25,6,12,1,1,1,0,99.00062838825846
33,25,10,27,1,1,0,0,92.38169930492586
30,21,12,3,0,0,0,1,93.59181839700165
33,24,6,14,0,1,1,1,99.83097386026904
33,33,11,13,0,1,0,0,93.3829678628839
33,20,7,22,1,0,1,0,90.5201266898133
34,24,9,15,1,0,0,0,90.61599747684154
27,27,10,14,1,0,0,1,91.91198518928526
33,19,9,10,0,0,1,1,98.21535800165395
32,23,16,16,1,1,1,0,86.05177735882529
30,17,8,19,1,0,1,1,93.05224384108048
34,18,10,14,1,1,0,0,86.8003192972476
34,18,8,19,1,0,1,0,88.52475705776904
18,20,10,0,0,1,1,1,82.7837726038054
20,24,11,18,1,1,1,1,85.51953624248567
25,20,8,13,0,1,0,0,79.92508752362437
37,25,4,18,0,1,0,0,96.46221646394156
35,24,10,20,0,1,1,0,92.30074519982632
43,20,2,21,0,0,1,1,112.93822283736306
25,27,11,13,1,1,0,0,81.32946507046775
32,18,10,3,1,1,0,1,93.1676512867825
32,20,8,14,1,1,1,0,87.59592389132969
43,20,8,17,0,0,1,1,108.36692346181177
30,16,5,23,1,1,1,1,94.6935500956685
40,27,10,13,0,0,1,1,105.9076816287369
40,22,6,21,0,0,1,1,105.88180840933114
37,27,12,20,1,1,0,1,103.47293818503474
27,33,13,6,0,1,0,0,85.06827080911563
21,13,9,4,1,1,1,0,73.36166741335396
39,26,8,3,1,1,1,0,95.78166692313384
28,24,14,16,1,0,0,1,93.12591638605716
34,20,12,4,1,1,1,1,97.55631955995132
15,9,10,18,1,1,0,0,67.11582600731407
38,19,10,10,1,1,1,0,95.00420648326433
27,31,15,17,1,1,1,1,94.90715931645076
33,13,16,11,1,1,1,1,93.22873202498651
26,12,9,17,0,1,0,1,88.08216198645056
30,13,7,14,1,1,1,0,84.4593097220378
9,22,14,11,1,1,0,1,72.02416232527288
37,18,5,12,0,1,0,0,92.87450887815052
42,25,11,12,1,1,1,1,108.13732823746466
33,25,9,17,1,0,1,1,99.90433770389777
35,20,12,13,1,1,0,1,98.95694847367484
20,23,7,11,0,1,0,0,78.12456876434103
45,15,9,15,1,0,0,1,109.8632872456105
37,18,5,21,1,1,1,0,94.53675131397836
21,19,14,16,0,0,1,1,83.9928631316061
33,19,12,16,1,1,0,0,87.69792336084907
25,17,11,10,1,0,1,1,87.52252432842717
38,11,7,12,1,1,1,0,91.11326501277009
28,18,10,8,1,0,0,1,92.24040116031595
18,30,13,18,0,1,1,1,84.866529623148
40,20,15,10,1,1,0,0,93.78779112280132
36,22,7,10,1,1,1,0,92.67159440948905
24,14,12,24,1,1,1,0,79.84959863399042
29,24,9,15,1,1,1,1,94.62085319108216
32,22,4,15,1,1,1,0,90.63896376322606
37,25,6,10,1,1,0,0,97.62079107017377
33,20,10,6,0,0,0,1,95.81572339211333
35,13,10,17,0,0,1,1,98.01067100876962
23,21,7,17,1,1,0,0,80.68491728660656
34,16,17,8,1,0,1,1,93.05413884524292
26,19,7,13,1,0,1,1,90.43493327989094
23,24,10,18,0,1,0,0,80.74414068332655
26,21,15,13,0,1,1,1,89.1748175080998
25,10,5,13,0,1,1,0,78.11960237321868
26,24,6,12,0,0,1,1,91.57525250190864
22,23,6,19,1,0,0,1,88.35208088098464
30,19,12,9,1,1,0,1,92.77890407250642
34,21,10,5,1,1,1,0,87.58767707496492
29,24,13,10,0,0,0,1,95.24344275218168
28,16,16,17,1,1,1,0,80.44832914662345
23,25,11,16,1,1,1,0,78.71412993018322
30,22,10,22,1,0,0,0,88.87503490287766
44,14,10,14,0,1,0,0,98.7891439301256
27,10,12,16,1,0,0,1,88.77486630229271
41,20,8,17,0,0,1,1,107.64313496461018
30,16,13,17,1,0,1,1,92.14848172400724
38,25,8,18,0,1,0,0,97.52044038234165
30,25,12,14,1,1,1,1,96.10613966171962
31,18,10,12,1,1,1,0,85.66518075257534
27,19,10,15,0,1,1,1,92.91133962035433
11,19,10,21,1,1,1,1,75.61640134721448
42,19,7,17,1,1,1,0,96.81695929378188
41,24,9,15,0,0,1,1,105.30519079980516
18,11,14,17,0,0,1,1,80.20142113645119
15,12,12,13,1,1,0,1,74.71226930085308
29,8,9,1,1,1,1,0,79.7179225906433
35,8,8,16,1,1,1,0,86.20866253024077
40,21,5,10,1,1,1,0,97.51334173157484
13,16,9,18,0,0,0,0,66.94488851167364
16,18,4,8,1,0,0,0,71.4839116026035
22,24,9,23,1,0,1,1,88.79011547697807
37,17,8,16,0,1,1,0,91.657962992106
29,25,7,10,1,1,1,0,86.08501071321808
26,20,6,13,0,0,1,1,92.53985188134196
20,20,12,9,0,0,0,1,83.25349995405122
18,29,12,12,0,1,1,1,85.79328604934064
20,26,8,17,1,1,0,0,76.31214336122159
44,21,7,1,0,0,1,1,108.0573767024472
24,24,11,8,1,1,1,1,88.30213588469717
35,13,12,5,1,1,1,0,88.17808307350205
40,27,10,16,1,0,1,0,99.33971853179784
37,18,12,12,0,0,1,1,99.1993763889714
35,18,7,9,1,1,1,0,90.54849435428828
32,21,11,12,1,0,0,0,86.00947644907185
22,24,13,18,1,1,1,1,86.31642921554375
30,22,17,15,1,0,1,1,93.98444294981606
30,29,11,14,1,1,1,0,87.96824156924212
37,23,10,12,0,0,0,1,102.02338301069108
35,21,11,14,1,1,0,0,91.31072441329052
22,25,9,15,0,1,0,0,80.29881038383294
30,26,10,16,0,1,1,1,96.94788528907864
30,18,12,17,1,0,1,0,85.235480005724
27,15,8,13,1,0,1,0,81.06465731486723
44,32,5,17,1,1,1,0,104.10241564931871
13,23,6,16,1,1,1,0,71.1969053104851
28,21,11,18,0,1,0,0,84.0151151108701
33,24,8,10,0,1,0,1,99.5666779068994
33,13,4,15,1,1,1,0,89.35235038917504
39,13,8,14,0,1,1,0,94.64005999074313
38,8,14,13,1,0,0,1,97.00336075115676
32,15,8,13,1,1,1,0,86.65265034492487
28,21,7,15,1,0,1,0,83.34472023291615
43,15,8,8,1,1,1,0,98.07606050226534
24,10,10,18,1,1,1,1,86.24582379216356
34,43,10,12,1,1,0,0,96.46771146585904
34,8,9,17,1,1,1,1,94.02311328918564
36,21,8,15,1,0,0,1,101.17127472562504
18,20,10,18,0,0,1,1,83.04130543830998
26,34,11,15,1,1,0,0,86.16727108952959
42,23,14,5,1,0,1,1,104.62118848627956
34,23,9,22,0,1,1,0,92.41159187500566
34,14,13,12,1,1,1,0,86.71506433302186
35,15,7,9,1,1,0,0,90.02683889526239
33,33,6,11,0,0,0,1,101.8133050095256
44,18,8,5,0,1,1,0,99.38705619447886
25,15,9,10,0,0,0,1,87.73648959846052
31,25,9,13,0,0,0,1,98.56507186319853
20,15,8,20,0,0,1,1,83.68199368289571
33,20,9,5,1,1,0,1,96.33088716579786
33,28,13,15,1,1,0,0,89.9176318320708
28,28,13,11,1,1,1,0,83.99950615488933
31,23,8,17,1,0,1,1,98.04634359184688
22,25,10,14,1,0,0,1,87.78364650084457
30,17,6,21,1,0,1,1,93.75741074740692
23,5,7,7,1,0,0,1,81.85937452367484
21,28,14,2,1,1,1,1,85.43640332175409
16,17,5,16,0,1,1,1,77.87059342042431
28,16,14,0,0,0,0,1,89.32051402071849
34,14,12,13,1,1,0,0,89.88356559961663
11,17,11,7,1,0,1,1,73.38015643827042
33,23,11,12,1,1,0,0,90.26948892903744
31,34,9,16,1,1,0,1,100.53681985415297
31,25,10,16,1,0,1,0,88.52789597099948
53,7,11,15,1,1,1,0,105.54288598756592
41,13,6,12,0,1,0,0,95.86716705006415
35,17,8,11,0,1,0,0,93.14350831784132
38,23,6,10,1,1,0,0,96.63042184240484
30,16,12,13,0,0,0,1,92.71412879893796
34,15,12,19,0,1,0,0,90.2213867588608
33,25,11,10,1,1,0,0,89.44267534830134
29,21,11,9,0,0,0,1,94.33259264729904
15,26,3,14,1,1,1,0,71.47526732340185
20,14,9,19,0,1,1,1,82.63280782461088
43,5,14,13,1,1,0,0,91.91325681580746
35,27,8,16,1,0,0,0,95.1262341434754
29,4,10,5,1,1,1,1,86.58686542018383
19,15,8,10,1,0,1,1,83.19421132470612
36,10,11,13,1,1,1,0,89.71081597947796
27,26,12,21,1,1,0,0,85.21848816220896
29,17,7,4,1,0,1,0,83.44336281748376
28,19,11,16,0,1,0,1,92.3335321806018
32,22,9,21,1,1,0,0,90.15045427051292
23,26,10,6,0,0,1,1,88.55093141243258
34,17,10,23,1,1,1,0,91.95585452798412
20,21,11,12,0,1,1,1,85.41660925002422
16,22,11,19,0,1,1,1,81.17443227531422
33,24,11,1,0,0,1,1,97.19847096253554
41,21,6,8,0,0,0,1,108.70290232465008
18,9,11,11,1,0,1,1,78.03953580820219
26,20,10,10,1,1,0,0,79.29230955740609
41,21,7,13,0,1,1,0,97.72966715375694
27,32,16,16,0,1,0,1,95.0477690137064
35,18,6,24,0,0,1,1,101.14233274913104
40,19,12,14,1,1,0,0,94.55241004797216
17,17,9,17,1,0,0,1,79.06222775914885
15,23,11,21,1,1,0,1,81.80663018195197
29,21,15,21,1,1,0,0,84.81827282175804
48,11,6,6,1,0,0,0,102.73783109311664
22,14,14,13,1,1,0,0,74.88441031814318
30,26,10,10,1,1,1,0,86.22731038668284
39,28,9,12,0,1,1,0,97.24031071812144
27,29,15,15,0,1,1,1,93.02086835029375
29,23,14,9,1,0,1,0,83.38766140109333
20,25,14,14,0,1,0,1,86.29572605583009
29,21,14,5,1,1,0,1,90.20005996986625
32,28,7,6,1,1,0,0,89.33225288974538
37,24,6,14,0,0,1,0,96.21140317120783
41,22,13,14,0,0,1,1,106.55622033881166
32,23,11,20,1,1,1,0,87.72886836130255
44,24,8,11,0,1,1,1,109.0198586164088
31,25,11,4,1,1,1,0,88.04431581606914
35,15,13,17,1,1,1,0,89.15884799973698
24,11,9,27,1,0,0,0,76.82274795852935
44,10,8,10,1,1,1,0,96.54541302548296
18,16,7,10,0,0,0,1,81.62575577095362
35,14,10,11,0,1,0,1,97.06110674835124
31,19,7,11,1,1,1,0,86.1729906595506
21,27,8,15,0,0,1,1,89.27157103961149
25,22,9,20,1,0,1,1,89.47670551300384
14,8,7,12,0,1,1,1,76.31291366054053
20,24,12,15,1,1,0,0,75.84994771595188
19,22,9,17,1,0,1,1,82.34243303875768
37,16,5,9,1,0,0,1,100.70236135246648
26,18,5,15,1,0,0,0,82.94035932324219
49,14,15,19,0,1,1,1,111.98300818237156
19,18,12,11,1,1,0,1,81.97733976499127
33,19,6,17,1,0,1,1,98.10036165983834
23,15,7,15,1,0,0,1,87.72841679268879
14,19,7,8,1,1,0,0,69.8097049197456
30,16,3,12,1,1,0,0,85.18578535949938
32,23,8,11,1,0,0,1,97.1623868153502
27,22,7,10,0,1,1,0,84.68722118516563
30,27,7,8,1,0,1,0,90.14518278243042
32,22,7,21,1,1,1,1,98.7412485447106
36,16,12,16,0,1,0,0,88.63244256218212
24,21,3,10,1,0,1,1,89.51660886129217
22,7,11,8,1,1,0,0,72.3960154442314
28,35,10,17,1,0,0,1,98.31563349584783
16,25,8,9,1,1,1,0,71.79827811391962
34,19,9,7,0,1,1,0,87.22542705608507
38,24,13,9,0,1,1,0,92.83193804636342
21,20,8,15,0,1,1,1,87.23970905931606
41,15,15,10,0,1,1,1,101.21263645073913
34,20,11,25,1,1,0,1,100.77863298048126
28,20,10,18,1,1,1,1,93.2333432718569
44,22,9,7,1,0,0,1,109.3586362624477
12,23,8,16,1,1,1,0,69.92845523443533
33,16,8,24,0,1,1,0,89.38997823940589
23,17,8,11,1,1,1,0,76.72802810108757
25,20,11,16,1,1,1,1,88.3039140194502
25,25,7,19,0,0,1,1,93.21697202593327
47,19,11,15,1,1,1,0,103.47984438068752
30,24,5,11,0,0,0,1,95.99379395307608
32,19,11,14,0,1,1,1,96.24501622363508
31,26,8,19,1,1,1,1,97.78953757348874
30,19,8,4,0,1,0,1,93.7443475361576
31,27,11,12,0,1,0,1,97.80215822173584
26,33,6,22,0,1,0,0,88.01684733927452
43,14,9,16,0,1,1,0,99.97875314754484
22,27,5,12,1,1,1,0,82.29218057540969
12,30,4,10,1,1,0,0,70.43650933032976
27,30,9,17,1,0,1,0,85.73235421000857
31,14,12,21,1,0,1,0,87.23150587884389
35,22,10,20,1,0,1,1,99.71110693721646
29,28,13,21,1,1,1,1,94.68265826216007
25,21,11,14,0,1,0,0,81.17469724013246
21,26,8,13,0,1,0,1,89.1464913450487
33,8,10,5,1,0,1,0,82.64252305169963
9,12,6,7,0,1,1,1,72.13052577056983
47,25,17,13,1,1,1,0,102.34330061676542
18,23,9,8,1,0,0,1,82.6930553368452
16,17,10,10,1,1,0,0,69.85202809438262
31,17,11,20,1,1,0,0,86.49501495819548
52,19,5,10,1,0,0,0,109.0323427396778
28,27,10,22,1,0,1,0,88.78115055446943
21,19,10,3,0,1,1,1,83.93586057916097
21,10,10,13,1,0,1,0,73.232669490982
33,23,12,22,1,1,0,0,88.33263195476991
25,25,8,12,1,1,1,0,82.18057681324555
25,20,10,16,1,1,1,0,81.21301975686107
31,16,10,11,0,1,1,0,84.15564024798182
19,30,9,12,1,1,1,0,76.30037698793208
26,31,10,8,1,0,1,0,84.12217161448707
25,24,6,5,0,1,1,0,81.95334682951835
36,20,9,14,1,1,0,0,93.08276571026862
27,27,12,17,1,1,1,1,91.61665046542848
25,6,12,7,1,0,0,1,83.99202244911551
30,16,13,18,1,1,0,0,82.95406416034933
20,22,10,8,1,0,1,1,83.20730653355608
27,19,4,18,1,1,1,0,82.30661976421392
33,21,16,12,1,0,0,0,87.52968617668542
26,17,9,16,1,1,0,0,79.44598532768508
34,28,8,15,0,1,0,0,92.68527924015144
25,24,9,17,1,0,1,1,89.66514602354559
32,16,8,20,1,0,1,0,86.81981446449313
30,18,7,19,1,0,0,0,86.25415677890003
30,15,10,14,1,1,1,1,93.84830136283142
29,10,9,13,1,0,1,1,90.93768199035212
16,16,14,14,0,1,1,1,78.24396633009898
35,6,6,17,0,1,1,0,86.78027699515229
42,20,9,11,1,0,1,0,99.04469237911256
35,14,8,13,0,0,0,0,89.92939897743071
35,15,15,16,0,0,0,1,96.10845236522036
38,11,14,2,0,1,0,1,97.60773777766734
23,26,8,4,0,0,1,1,90.04302853968593
33,20,14,10,1,1,0,0,88.50119110290593
21,34,7,14,1,0,0,0,81.68032958586771
19,29,7,17,1,1,0,1,86.83432709048328
35,26,6,16,1,0,1,1,100.5734480499216
25,5,7,20,1,0,1,0,76.68297297523247
23,31,9,14,0,0,0,1,91.99279236574218
36,19,7,20,1,1,0,0,93.14102187495573
25,21,14,13,1,0,0,1,90.0075524142241
26,20,8,11,0,1,0,1,93.22816940594944
43,18,5,15,1,1,1,0,98.51438874176002
24,24,9,11,1,1,0,1,88.3114120080492
25,21,5,11,1,0,0,1,90.61128547684426
31,18,8,12,0,0,1,0,87.45259140199195
16,24,8,10,1,1,1,0,72.32591929286373
25,33,8,15,1,1,0,0,84.1075475237548
22,31,9,12,0,1,0,0,79.49032824551283
31,30,7,5,1,0,1,0,88.9331867137746
34,11,14,14,1,1,0,0,86.57524859044612
25,32,15,16,1,0,1,1,90.04287612451998
31,17,10,17,1,1,1,0,85.12559987499341
33,17,16,16,0,1,1,1,93.79405546674892
24,20,9,21,1,0,1,1,90.7523834914094
31,19,9,23,0,0,1,1,97.37612661160426
35,24,7,14,1,1,1,0,90.29293292818002
30,23,6,18,0,0,1,1,98.36455860731708
28,23,13,14,0,1,0,1,92.52163798340813
17,22,5,14,0,1,1,1,84.48888919576815
25,16,8,6,1,1,0,0,79.55701870272767
30,7,13,11,1,1,0,1,87.62947878080062
31,15,8,16,0,1,0,1,93.85145072388868
32,20,13,10,1,0,0,1,94.27770608268736
20,20,8,13,1,0,0,1,84.55214496947096
10,11,9,10,1,0,1,1,71.8199200737944
25,22,6,15,0,1,0,0,82.42936207523833
28,21,9,8,1,0,0,1,93.56838999997068
30,22,10,17,1,0,1,1,93.99586859253358
27,18,7,10,0,1,1,1,91.56821009238055
28,12,11,10,0,0,1,1,87.51274229639117
17,24,10,13,0,1,1,0,72.67943642234906
40,10,10,6,1,1,0,1,99.95463807371785
32,26,11,7,1,1,1,0,87.93058833927456
31,19,8,15,0,1,0,1,96.51318990888986
28,16,4,10,1,0,1,0,83.70762692548571
29,27,8,14,0,1,1,1,98.52368394086812
32,18,9,9,0,1,1,0,84.78749562314127
32,32,11,11,1,0,1,1,100.8803073474076
36,26,10,14,0,1,0,1,103.13165393379768
37,14,8,19,0,1,1,1,100.02587581288851
23,15,8,8,1,1,1,0,76.18833403490443
35,23,14,16,1,1,1,0,90.48734578416774
34,19,12,10,1,1,1,0,88.45949985958447
27,17,12,16,1,1,1,0,81.50546949068725
36,11,6,15,1,1,0,0,92.84808550839314
36,14,7,16,1,0,1,1,99.82935611134528
39,13,10,4,1,0,1,1,101.26169712402496
20,23,10,3,0,1,0,1,84.9837766887012
26,16,7,15,0,0,0,1,91.49326489837942
33,21,5,11,0,1,1,1,97.19367229538652
40,15,9,16,0,1,0,0,96.02104530419912
16,24,12,4,1,1,1,1,78.93325767487744
37,21,11,14,1,1,1,0,92.56908273742224
27,17,6,15,1,0,0,1,90.50652737577607
21,20,5,21,0,0,0,1,85.62678487132195
27,26,10,17,1,1,1,0,86.87666473579455
29,26,10,23,1,0,1,0,88.49196263535876
36,29,13,17,0,1,1,1,101.7699502974357
38,11,14,15,1,1,0,0,90.6608868095734
22,21,11,14,0,1,1,0,77.58143476805407
29,15,14,14,1,1,1,1,89.55880408038674
24,12,3,25,1,0,0,1,87.60490970829987
38,20,4,9,1,0,1,1,102.299941014031
45,11,10,15,1,1,0,0,98.75909781567204
28,27,13,9,0,1,1,1,94.70644115863274
42,29,6,7,1,0,1,0,101.34435159884262
22,9,10,10,0,0,1,1,83.0295896079733
