age,education_years,previous_year_income,gender,rural_residence,minority_status,trade_agreement_intensity,trade_agreement_participation,annual_income
13,32,4,0,1,1,11,69,404.675317558489
8,35,11,0,0,0,12,72,415.91722036525937
12,31,9,1,0,1,10,66,386.9687114538428
10,29,8,0,1,1,10,67,392.5264793431981
12,31,11,1,1,0,11,68,397.7851801937396
9,30,8,0,0,1,7,65,381.8138905820026
9,29,4,1,1,1,10,68,403.22047848893095
12,26,5,1,1,1,5,59,352.3470249797814
12,27,9,1,1,1,9,64,378.8782479799132
8,32,11,1,0,0,12,68,395.6706068103941
3,27,10,0,0,1,6,59,346.3882560755102
8,29,7,1,1,0,9,66,391.9840225489315
8,32,14,0,1,1,13,68,390.3684543759565
13,30,6,0,0,0,12,70,405.5947904540991
9,28,5,1,1,0,9,65,384.16084451802215
7,29,15,0,1,1,8,60,346.5371619282386
11,28,6,1,0,1,12,64,379.9289993336065
6,29,3,0,0,1,10,67,395.5127670389924
9,27,5,0,0,0,9,66,390.2413009238037
11,30,10,0,1,1,10,66,388.69941286570247
9,30,12,1,1,0,10,63,366.7861927548644
11,29,4,1,1,1,11,67,397.8444572284188
9,27,6,0,1,0,11,66,390.6360871551583
13,29,7,0,1,1,8,67,395.4069965647788
11,30,4,1,0,0,9,66,390.86782319043255
11,26,7,0,1,0,6,60,354.77425943107227
9,29,14,1,0,1,13,67,389.8788125016495
12,31,1,0,1,1,12,71,418.9906702502124
10,33,8,1,1,0,12,73,428.0741357821852
4,34,7,0,1,1,10,69,399.69316888479466
11,25,9,1,0,0,8,60,357.53646693097033
11,26,8,1,0,1,11,63,373.7532919095022
10,30,3,0,1,1,12,71,419.761571338457
14,29,6,1,1,0,9,67,394.5056508814405
10,27,3,1,0,0,11,68,407.638714625395
7,34,7,1,1,1,8,70,409.9960937237962
8,26,8,0,1,1,9,63,374.6723244280097
10,31,10,0,0,1,14,71,413.4452380625435
8,31,7,1,0,0,5,64,376.3717154009614
13,23,12,0,0,1,8,59,349.69923554549416
13,30,4,1,1,1,8,66,390.3380496885383
14,28,12,0,1,0,11,66,385.3998017936317
7,29,10,1,0,1,8,64,377.4321572659972
9,31,7,1,1,1,10,68,398.6498896390522
12,32,7,1,0,1,15,73,427.98403794263913
10,25,6,1,0,0,10,60,357.64372748554115
5,27,6,0,0,0,10,64,381.2906390677186
10,29,12,1,0,1,14,68,395.6752303455274
10,30,9,0,1,1,10,66,389.1639633034456
8,34,4,0,0,0,10,73,425.8052415329816
10,27,5,1,0,0,10,64,383.26286333355273
11,28,6,1,0,1,14,67,396.286066747913
6,30,9,1,1,1,13,66,384.17539581212566
12,30,6,1,1,1,11,69,407.2063412541702
13,29,4,0,0,0,10,69,407.3585383568551
12,30,9,0,1,1,11,68,398.1354011437976
7,29,3,1,1,0,13,69,407.4527954556923
12,30,10,1,0,0,11,65,380.35812271833663
7,30,7,1,0,1,12,68,403.7672213874623
8,29,8,1,1,0,13,70,412.11236963372266
8,27,6,1,1,0,10,62,367.8174956456717
12,28,8,1,1,1,12,64,376.5131728867123
11,31,6,0,1,1,8,67,392.4211086015852
9,26,1,0,1,1,7,62,374.9518081178381
9,27,3,1,1,1,8,65,391.5233562153316
10,31,10,0,1,0,12,71,414.1451168772083
5,31,7,0,1,0,12,70,408.41059166193617
9,29,11,1,1,1,10,65,378.9344443051286
6,27,7,0,0,1,10,61,359.34308361526104
15,30,7,0,0,0,10,72,424.8251513658316
5,30,9,0,0,1,9,64,373.8602048222653
8,30,13,1,1,1,7,65,380.2508298364164
6,29,8,0,1,0,10,67,393.4290817347854
9,30,12,0,1,0,9,67,390.0715603641746
9,30,5,1,0,0,9,67,393.2852879683053
9,25,6,1,0,1,9,63,374.1815089038048
11,26,7,1,0,0,15,69,409.40248264719577
12,30,9,1,1,1,10,67,391.9536881685128
6,28,0,1,0,1,11,65,390.6202070220824
11,32,4,0,0,1,10,68,396.4646723795147
8,29,10,0,1,0,13,70,411.487353658043
5,31,6,1,1,1,13,69,406.774870837125
5,30,7,1,1,1,12,68,400.90386761144015
9,30,1,0,1,1,8,67,398.3190809627752
7,32,4,0,0,0,11,71,417.8634164477307
8,29,8,0,0,0,12,67,391.46885006585376
11,34,11,1,1,0,10,70,408.171235909338
11,32,13,1,1,1,8,66,381.3553034739047
14,31,8,1,1,0,8,66,385.5171926827575
9,29,10,1,0,0,10,65,379.6021705034976
13,26,4,0,1,1,11,65,387.1161342725024
10,30,6,1,1,0,14,69,403.78214281223137
9,31,3,0,1,0,9,67,393.3540655156944
10,31,2,0,1,1,9,68,401.8704612831996
9,31,11,1,1,1,10,67,391.090717574818
6,26,5,0,0,0,8,61,364.63280429970325
9,30,6,0,0,1,10,67,391.1451300851551
14,24,5,1,1,1,11,62,372.9454811313228
11,26,4,1,0,1,12,65,388.7895247499637
12,27,10,0,0,0,14,65,379.6137682612525
11,30,3,0,1,1,9,67,392.9249348742484
12,28,12,1,0,1,9,64,375.4762824774779
10,29,7,0,1,0,12,67,390.73173011592087
7,27,6,0,0,0,7,63,372.93094332115
16,29,11,1,0,1,8,66,386.1804211435283
7,31,10,1,0,0,13,66,385.5564353407433
14,30,5,1,1,0,11,70,409.8235553503864
5,30,6,1,1,0,11,67,393.63785818011286
8,29,8,1,1,1,5,65,386.800259757994
11,28,9,1,0,1,8,65,383.22489570340144
8,26,5,0,0,1,12,65,385.4126942518419
13,29,9,1,0,0,10,65,381.2376290802352
12,29,6,0,1,1,8,65,385.0627714878373
6,31,10,0,1,1,13,71,414.7812274878095
6,33,7,1,1,0,9,67,390.6539619316096
6,27,7,0,1,1,11,65,382.3493938261718
5,30,5,0,1,0,4,64,377.082178648817
12,27,11,1,0,1,11,66,389.6191891695811
8,26,6,0,0,1,10,65,387.1170864497293
8,26,10,1,1,0,13,62,367.1503491566335
8,28,11,1,0,1,9,64,375.85950084808286
6,34,10,0,0,0,13,73,420.6793224902263
15,34,2,0,0,0,12,74,433.3823916966281
15,28,10,1,0,1,9,63,370.5569364700596
9,28,7,1,1,0,12,67,395.4148851843708
10,29,4,1,1,1,15,71,417.0991815886798
11,35,8,0,1,1,13,72,417.0493336135629
12,25,10,0,1,0,10,60,351.95600160992745
16,28,4,0,1,0,13,71,421.0683912945558
8,33,11,0,0,1,10,70,405.3532310752021
13,27,0,1,1,0,11,67,403.7108847477225
6,32,5,1,1,1,11,69,406.2956847661938
11,32,6,1,1,1,12,72,420.8454477211056
10,29,13,1,1,0,11,66,385.5475490854764
10,31,5,0,1,1,9,68,399.9905908049165
6,28,7,1,0,1,10,62,368.6981168846736
12,24,4,0,1,0,9,63,378.3637475695642
13,29,5,0,0,0,9,68,402.0314083002041
10,26,3,1,1,0,11,68,403.1723419551366
3,30,4,1,1,0,8,67,397.08756533048535
9,30,6,0,1,1,12,67,391.6476119533308
8,30,6,0,1,0,14,72,422.6029754364224
8,29,8,0,1,0,10,66,385.5563593536549
14,30,5,1,1,1,8,67,395.2639152075125
14,32,9,0,0,1,10,70,409.2878345056295
7,28,13,1,1,1,12,66,385.29885041392055
8,31,13,0,0,0,10,67,387.0206562908779
15,24,4,1,0,0,9,64,386.8224067248401
11,30,6,1,1,0,13,70,412.3802229029744
5,25,11,0,1,1,13,60,352.40195827004663
13,29,10,0,0,1,13,66,382.21283396575495
9,30,4,0,0,0,12,69,405.99524142787743
9,31,11,0,0,1,9,65,379.687043839699
8,31,6,0,1,0,16,70,408.7189462559829
11,30,7,1,0,1,8,65,380.9004673439849
8,30,6,1,1,1,10,65,382.2382584544216
11,30,7,0,0,0,7,66,387.9473819173387
14,30,9,0,0,1,9,67,393.8170842240731
10,27,3,1,1,1,8,63,376.7163577869022
2,29,8,0,0,0,13,66,389.055041552473
10,28,9,1,1,0,10,64,375.5491131802859
8,28,12,1,1,0,8,61,355.59319170865376
10,29,3,1,1,0,8,65,385.7585769067268
12,27,8,1,0,1,12,66,393.22049987519705
7,28,9,1,0,0,13,66,387.57815356278553
7,32,5,1,1,1,8,70,413.6074930646232
11,25,13,1,1,0,10,62,364.0385623606925
8,28,4,0,1,1,13,65,384.3122789869427
11,27,2,1,0,0,12,67,400.8410316514005
15,29,7,0,1,0,9,67,395.7834222041965
11,29,9,1,1,1,12,65,383.7064203667978
13,30,0,1,0,1,9,69,409.76738996793046
12,29,11,1,1,1,10,65,379.6524352082714
15,29,7,0,1,0,11,67,389.85072117698815
4,30,6,1,1,0,10,68,402.0948301323592
14,30,9,0,1,1,9,67,390.7772884956562
14,30,4,1,0,0,8,67,397.0820951637399
8,31,6,1,0,0,11,70,410.71134927899305
9,30,15,0,1,0,9,65,377.1511547344164
8,31,13,0,0,1,14,66,379.6288709093939
10,27,6,1,0,0,12,67,395.9812384164876
8,33,11,0,0,1,10,69,397.56271008473016
8,27,6,0,1,0,8,68,401.0511287454409
11,27,8,0,1,0,9,62,363.9322930081341
9,28,10,1,0,0,11,65,384.53955170374246
11,28,4,0,1,1,14,67,392.88974372463775
8,26,8,0,0,0,13,65,384.2393179687813
6,30,10,1,1,1,8,64,373.74161675997743
10,31,8,0,1,1,6,66,387.4851456414435
7,30,5,1,1,0,10,69,404.9761405031471
13,29,17,1,0,1,15,65,375.2953135185392
11,35,7,0,1,1,9,74,432.93170042346856
14,29,14,1,1,1,10,65,380.62233406413793
9,33,14,1,1,0,10,68,391.0263510886275
15,26,5,1,1,0,10,66,392.0540740992935
7,27,11,1,0,1,12,62,362.61059572412574
8,32,2,1,1,1,9,69,407.2574260830116
12,28,11,1,1,1,13,64,373.4186901969749
11,34,15,0,1,1,11,68,390.1287574108594
12,29,13,1,0,1,15,68,395.5606676939695
8,29,9,0,0,1,12,65,377.9015773335744
9,34,11,0,1,0,6,70,407.5320044431708
4,33,1,1,1,1,11,70,411.0377764960161
13,29,4,0,1,0,9,66,387.81112081263313
8,30,6,1,1,0,10,68,402.68997035802624
12,29,13,0,0,1,10,65,377.9661164573122
13,31,8,1,0,1,9,66,387.498995767304
11,28,9,0,1,0,12,65,381.562255141906
9,32,5,0,0,1,10,68,399.8717662470753
9,30,10,1,1,0,12,66,385.1280219848028
10,28,4,0,0,0,6,64,381.8191049891794
6,32,8,0,0,0,8,68,395.3473857698439
8,29,7,1,0,0,14,70,411.7244564318407
9,29,7,1,1,0,11,68,403.4863406154108
13,31,3,0,1,0,13,72,422.8554706960778
13,31,9,1,0,1,11,67,392.6933773776153
10,27,2,0,1,0,7,65,386.2861635126939
9,31,13,0,0,1,11,70,404.4809782672592
10,29,10,1,0,1,6,65,382.1211401187092
4,28,9,1,0,1,9,62,367.91047643004896
7,31,5,1,0,0,7,66,387.4252950503393
9,24,9,1,1,0,10,61,364.2534285811402
10,29,4,0,1,1,13,69,405.6439948891523
9,24,3,0,1,1,11,61,367.0318261163677
6,30,9,0,1,0,11,67,391.89346443718455
11,27,5,1,1,1,11,66,390.606563783064
8,32,3,1,1,0,8,68,401.93821498859086
9,23,8,1,0,0,11,60,358.96659604176307
16,33,7,1,0,0,13,77,448.3983332273367
7,31,8,0,0,1,7,65,381.1330734964978
10,31,4,1,1,1,16,73,430.521455185774
6,29,11,1,0,1,9,62,365.01386323046336
6,26,5,0,0,0,11,64,380.9252222464893
12,28,14,1,0,1,10,64,373.15208169149054
9,28,9,0,0,1,11,65,381.47271523586767
8,29,4,1,0,0,8,64,381.23929434692747
10,31,5,1,1,0,9,68,398.40491595712086
11,30,8,0,1,0,13,67,391.7736667035993
9,32,10,0,1,1,11,70,407.5787927429148
7,28,10,0,1,0,9,64,377.279886261896
13,25,8,0,0,1,11,63,374.0145474664722
12,28,7,1,0,0,10,63,369.8939576469636
14,33,7,1,0,0,9,68,397.66013780998566
5,29,8,0,0,1,11,65,380.2499488608223
9,28,4,0,0,1,8,64,379.2383532964647
6,25,7,0,0,1,9,61,363.5721378964117
9,29,5,1,1,0,7,65,385.2972648935152
9,31,1,1,1,0,9,70,413.8357478844162
9,31,11,1,0,0,9,65,377.9420121997474
10,34,3,1,0,1,11,73,429.2847516079601
6,28,9,1,0,1,8,62,365.9899433912627
15,26,12,0,1,0,13,64,373.11813196214325
9,33,5,0,1,0,12,75,437.8165460734542
7,28,4,1,1,1,10,67,401.15479852495287
13,32,11,0,1,1,10,71,408.68460675250645
11,24,10,1,0,1,7,57,339.0724654915266
8,32,9,0,1,0,12,72,420.0148737646341
7,30,10,1,1,1,12,67,391.4862351309828
7,28,10,0,0,0,11,66,385.36951331784906
14,32,4,1,1,0,11,72,421.58374310482543
7,28,9,0,1,1,10,67,395.307284565034
8,29,9,1,0,0,14,68,401.6950158633365
10,27,4,1,0,1,11,61,363.27469331007455
10,30,9,1,1,1,7,66,387.6413297766808
9,28,6,1,1,1,14,67,394.8415272022871
18,33,10,0,1,1,13,72,416.2196668856757
10,32,2,1,0,1,11,71,418.58551672698746
7,25,4,1,1,0,8,63,377.2485092335508
8,29,7,0,0,0,13,69,404.39890718360886
7,31,11,0,1,0,11,67,390.5889610273496
6,31,5,1,1,0,7,67,396.5264844744033
8,32,4,1,0,1,8,69,404.7904759802066
11,32,6,1,1,1,12,70,407.4584507648739
11,26,7,0,0,0,12,64,379.1747247670799
9,30,8,0,0,0,7,64,374.4580218008978
12,29,8,1,1,1,12,67,392.926933052781
10,27,7,1,0,1,11,62,366.6765231535482
10,28,4,0,0,1,11,65,384.3362671163546
12,30,6,1,0,0,10,68,398.2606282612744
8,29,11,1,1,1,13,66,387.4746150795949
12,28,2,1,1,1,13,67,399.5880123140947
12,29,3,1,0,1,9,64,379.9245013671932
6,28,6,1,0,0,11,67,395.8184819818237
11,30,8,0,1,1,12,70,412.344216074746
11,27,4,0,0,1,10,66,392.0959698589079
7,28,7,0,1,1,12,68,401.4091091528337
6,33,15,1,0,1,12,68,389.8641998266903
10,32,7,1,0,0,13,67,392.12443847565794
11,31,6,1,0,1,10,67,393.675868858777
6,33,13,1,1,0,12,70,405.9864384919887
6,30,5,1,0,1,9,66,389.17818971311925
7,29,4,1,0,1,11,65,383.7181227789167
6,30,9,0,1,1,13,69,404.36104901650754
10,24,5,0,0,1,10,59,353.4524745536451
15,29,10,1,1,0,11,66,385.6562347049578
10,26,8,1,1,1,13,64,377.8304840455555
9,25,10,0,0,1,11,60,355.6686419751225
7,28,10,1,0,1,12,66,390.3827815072131
5,28,9,1,0,0,10,64,377.2677246616407
9,31,2,0,1,0,11,69,406.8513750923228
6,29,10,1,0,1,12,64,375.7002387493383
11,31,14,0,1,1,10,67,390.53682359774086
0,30,12,1,0,0,8,65,380.1450745797168
5,29,8,1,1,0,10,67,394.0981724670237
6,30,6,1,1,0,9,65,383.0971281798877
16,27,2,0,1,0,10,67,397.3897266591897
8,28,0,0,1,0,11,69,412.193975849684
11,31,10,0,0,0,9,66,382.5214167173335
10,30,6,0,1,1,8,66,385.38918903742376
8,29,9,1,1,1,13,67,395.3871203413673
4,32,8,1,0,1,12,69,404.6938822174821
10,28,12,1,0,1,11,63,371.2759301829173
13,24,10,1,0,1,11,60,357.440932928898
14,32,9,1,0,1,10,70,406.6990621444015
6,31,7,0,0,0,8,68,398.1907101294281
10,33,8,1,1,1,11,68,396.3577139408033
9,31,7,1,0,1,11,66,385.7612372062
11,31,6,1,0,0,10,69,403.2416274470601
11,26,8,0,1,1,10,63,372.1386266319096
8,26,8,0,1,0,12,64,377.6306951844838
8,27,9,0,0,1,7,62,366.9427697824387
12,30,9,1,1,0,14,67,392.4443492893094
5,34,5,1,0,1,8,68,397.80951302245774
4,27,14,1,1,1,12,64,377.453968071318
11,30,14,1,1,0,12,68,391.0616637881976
11,27,10,0,1,1,9,62,366.7474056441701
7,30,0,0,1,1,13,71,419.4585233862666
11,25,17,0,0,0,8,59,343.3460458364418
9,27,12,1,0,0,14,66,387.4518051945873
3,27,10,0,1,0,8,62,363.7851424018818
6,32,4,0,0,0,8,67,391.8985068420006
9,28,10,0,0,0,9,63,369.3770191960814
10,31,16,1,0,0,10,67,388.7820268848226
7,29,5,1,0,0,5,62,367.4431578799397
11,26,6,0,0,0,12,64,382.8585183130702
7,28,15,0,0,1,13,65,381.1158384948481
3,33,7,1,1,1,14,71,415.94482794290326
9,29,10,1,1,0,12,64,375.7952873759522
13,28,8,0,1,0,11,66,390.080252710048
12,28,5,1,1,1,9,65,384.675086761063
18,31,10,1,1,1,11,69,402.3717900842976
7,32,6,1,1,0,8,67,394.227580025139
10,28,8,1,0,0,9,62,365.6104505478218
10,28,14,1,0,1,13,64,373.8569213849892
8,32,9,1,1,0,13,68,393.4921283897463
13,30,7,1,0,0,10,67,394.1038329721403
6,30,6,1,1,1,13,69,407.3257138901968
15,28,7,1,0,0,12,67,393.7165125331152
8,34,9,0,1,0,9,72,417.6394088565722
9,31,10,0,1,1,11,67,389.7715655322796
10,31,5,1,1,1,12,69,404.7872435504236
14,32,11,1,0,1,13,68,394.8206196597581
13,29,6,1,0,1,9,65,385.3296148300097
9,26,6,1,1,1,8,60,356.88435043524726
10,30,5,0,1,0,10,70,411.5178976794987
8,34,9,1,0,1,10,70,405.173652509941
9,32,3,0,1,1,10,71,415.17860203741793
2,30,3,0,0,1,13,67,395.8636135460957
10,27,4,1,1,1,12,64,380.8295610151208
10,29,15,1,1,0,9,63,367.4471306833576
10,27,9,0,1,1,13,65,381.07042325927216
11,30,3,0,0,1,10,68,401.2944048375181
6,30,9,1,1,1,10,64,373.3630931128503
14,30,12,1,1,0,10,67,389.68746612343887
3,28,7,1,1,0,9,63,371.7910157129536
4,30,2,1,1,1,10,67,399.2812603851657
18,30,7,0,1,1,10,67,392.237928026229
10,27,12,0,1,1,13,67,393.9037681373438
9,31,11,1,0,0,9,66,383.8262523245412
11,26,6,1,0,1,8,65,386.44150079224914
7,34,7,1,1,1,11,70,406.509524964182
10,28,3,0,0,0,10,64,380.1517193649908
9,29,8,0,1,1,11,65,379.4029869021412
6,29,7,0,1,0,9,66,387.67470186344553
9,34,4,0,1,1,11,72,422.08602253843577
14,28,8,1,1,0,12,67,393.5737639442222
6,27,10,1,1,1,14,65,382.6629495277675
11,35,10,1,0,1,12,71,407.8416420598453
10,26,7,0,0,1,10,63,370.9912942516151
8,27,12,1,0,0,9,63,370.5837139160545
11,26,9,1,0,0,8,61,358.34442865137805
8,27,5,0,0,0,10,65,384.9377202699604
11,30,8,0,0,1,9,64,372.8414471942803
10,30,3,1,1,0,11,69,407.712602459645
13,34,10,1,1,0,12,73,422.20116054905134
10,28,5,0,0,0,10,68,402.2420498489618
3,30,5,1,0,1,5,61,358.403071088543
10,24,4,0,1,0,9,61,363.26278231263245
12,29,12,1,1,1,10,64,374.6861448288766
9,28,10,0,0,1,9,65,381.58636565248486
11,29,6,1,1,1,10,67,396.20107285441577
9,32,5,1,1,0,11,70,413.13162439864334
4,29,11,1,1,1,10,65,381.5866743111491
13,28,8,0,1,0,10,66,387.0468486900519
7,32,4,1,0,0,12,67,393.1194104405828
11,29,7,0,0,0,11,66,388.3643293328228
9,28,10,0,0,0,10,65,381.9954253356702
7,32,6,0,1,0,14,73,423.6872678425909
8,30,9,1,1,0,7,66,387.02692784717857
5,30,12,0,1,1,9,62,361.2272573625515
8,28,8,0,1,1,9,63,372.1445240982204
10,33,5,1,0,1,8,68,396.68518121531866
5,32,6,1,1,1,9,68,401.6570823450665
13,31,10,0,1,0,13,71,413.25814987292654
14,28,7,1,1,1,12,65,382.83652474512536
3,27,5,1,1,1,11,63,375.6770459307718
6,26,9,0,0,1,13,64,378.9920096360184
14,30,7,1,1,1,13,70,409.7269609004133
9,31,7,1,0,1,10,65,380.5216832959549
8,28,3,0,0,0,11,68,404.2162238624132
9,28,9,0,0,1,12,65,381.144865555449
8,33,2,1,0,1,10,71,419.7337276686562
9,26,7,0,0,0,8,61,362.7828333210838
13,27,8,1,1,0,13,65,384.11806375725087
13,28,5,1,0,1,9,67,398.026314266154
3,29,5,0,1,1,9,66,392.7682407158219
5,30,5,0,0,0,14,70,411.3662407899645
9,28,9,1,1,1,13,66,388.8253216783155
7,29,7,1,0,1,8,65,385.00916863990585
