years_of_schooling,age,gender,minority_status,local_unemployment_rate,job_training_intensity,annual_income
14,32,0,0,6,25,258.08724159657174
6,31,1,0,12,36,339.8884017357106
11,30,0,0,11,28,275.70973338413
12,26,0,0,8,27,266.1324495615132
6,30,1,0,14,32,306.0807607018442
5,29,1,0,10,33,315.8237076474983
7,28,0,0,13,33,314.6487737384996
12,31,1,0,10,29,287.5736913624543
13,30,0,0,12,28,277.5268533275192
12,31,0,0,12,30,293.6220854955505
7,29,0,0,10,33,318.3493333991877
12,32,0,0,11,30,296.5442048334789
1,31,0,0,14,36,336.0859770933196
12,29,0,0,13,31,301.64482262680724
7,31,1,1,10,33,314.4188073422482
11,27,1,0,10,31,298.3489326870213
4,32,1,0,12,34,322.71490490599354
8,31,0,0,12,34,326.5853812244939
10,29,0,1,12,33,315.68607751680355
12,28,1,1,13,33,317.1297505830387
10,32,0,0,12,29,283.8876677075343
8,31,1,0,13,33,314.8326306826516
11,26,0,1,16,35,331.9061338547468
13,29,0,1,11,31,301.0075836617285
13,30,0,0,13,30,297.92251994938994
12,30,0,0,10,29,283.9683632826411
7,30,1,1,13,37,349.34962165074654
10,32,0,0,13,36,344.60584627518693
10,29,0,1,11,34,324.6433795031197
4,29,1,0,9,33,316.5733554827899
9,29,1,1,13,32,307.95717570135605
12,30,0,1,12,31,302.21904673545333
9,31,1,0,15,35,334.2020958655111
14,29,1,0,14,30,292.07092475881745
13,32,0,0,8,27,269.5240615729216
10,31,1,0,13,30,292.0023088472127
5,32,0,0,13,36,341.9709379881008
12,31,0,0,12,30,294.764847513707
5,31,0,0,12,32,307.7273953364516
9,30,1,0,15,33,313.2861546910529
4,30,0,0,11,34,324.0914796464056
5,28,1,1,14,34,319.6737599773683
5,31,1,1,11,35,329.7993756750415
8,28,1,1,12,33,314.3922887712171
7,34,0,0,13,32,307.8189678257349
9,33,0,0,12,34,326.09274013832163
10,29,0,0,12,29,286.12220721800264
6,28,0,0,14,34,321.7552553128899
9,30,0,0,12,32,311.585201462908
10,33,0,0,8,31,303.39723029596394
6,30,0,0,11,34,325.505897691354
12,34,0,0,16,31,301.49809886978284
6,31,0,0,10,32,306.97829828308784
15,31,0,0,12,25,250.3680398124042
6,32,1,0,11,31,298.5368152750355
8,29,0,1,12,33,316.1694095501123
11,34,1,1,12,32,309.7866109248394
16,32,0,0,8,26,264.4171309238432
9,30,0,0,11,30,292.99810068567723
10,29,0,1,10,30,294.5041124584623
11,29,1,1,9,31,298.258896302729
14,26,1,0,10,29,285.7790374995188
8,32,0,0,11,32,306.94713769196653
10,29,1,0,12,31,298.3146635519385
11,28,1,1,9,29,282.9695767960901
9,30,0,0,12,33,315.7690687790948
11,33,0,0,14,33,317.1222165355237
10,31,0,0,9,29,284.16951598698097
11,31,0,0,14,31,300.79989526189934
6,32,0,1,13,34,324.4296722526896
10,30,0,0,13,33,316.17394595498905
12,32,0,0,11,28,274.86777073421774
10,31,0,1,12,33,317.7354443180967
11,31,0,1,10,30,292.83461910611214
16,33,0,0,10,27,272.0701999508011
10,30,1,0,11,30,291.1596413872372
8,29,1,0,12,31,298.786839238036
12,33,1,0,11,32,310.6614143576785
8,28,1,0,12,32,308.5649704955904
7,28,0,1,12,37,348.3589120156551
7,29,0,0,15,36,341.0811493770934
6,30,0,1,10,31,298.7683972390646
11,32,1,1,8,28,275.33019099371097
8,30,0,0,10,33,317.9680882030645
9,30,1,0,10,31,300.30750154783783
11,28,0,0,10,32,311.1225811880124
11,27,0,0,10,33,317.8660743246287
15,31,1,0,12,28,277.406317957625
7,29,1,0,11,32,305.9031113389977
5,30,0,1,8,35,332.99880123440795
10,27,1,0,13,31,301.270068187464
7,30,0,0,14,36,341.7413722295149
8,30,1,0,12,34,326.71510227415314
13,26,0,0,11,29,282.4033246003098
6,29,1,0,10,35,334.52944594136113
13,29,0,0,13,29,285.57439091510486
9,32,0,0,11,31,301.0320233181002
9,31,0,1,13,33,313.4216920561669
10,27,0,0,10,32,311.22331068650635
12,29,0,1,7,28,276.1115742450271
16,29,1,0,16,30,294.6028114524443
16,26,0,0,16,29,286.1644403830986
1,30,0,0,10,36,338.3445120264104
10,29,1,0,12,33,313.9811865370092
10,28,0,0,11,30,292.14766109083024
8,28,1,0,16,36,340.6437617598918
11,31,0,0,16,34,327.0748584076359
4,28,0,0,12,34,323.013297470915
5,27,0,0,15,38,354.1129066962624
9,28,0,0,8,32,310.9560975184268
7,30,0,1,12,34,320.7281638552737
9,28,0,0,13,32,305.87860930272507
9,32,0,1,12,34,327.01379594760084
8,32,0,0,13,36,341.49795828610576
8,30,0,0,14,33,317.0206886296131
8,30,0,1,12,30,290.149965514239
11,28,1,0,10,31,300.08495647177864
12,32,0,0,10,29,286.5320086220637
6,29,1,0,9,32,308.5243878618838
8,32,0,0,15,36,342.583624943938
9,32,0,1,12,32,307.3817267352448
15,29,0,1,13,31,302.91644154695115
14,32,0,1,10,28,277.4233291082255
12,24,1,1,11,30,291.7251348915173
10,28,0,0,12,33,316.21141091745
6,29,1,0,15,35,333.3445835240955
13,25,0,0,12,31,300.3303159785014
13,32,0,0,14,31,302.44349197573666
10,33,0,1,11,31,301.7795222527333
10,30,0,0,13,30,292.97449503299794
2,32,1,0,10,36,338.352489468992
7,33,0,0,11,32,307.3916698560216
13,29,0,1,10,29,284.9073651270195
8,31,0,0,9,32,311.49425307551815
11,33,1,0,11,26,257.62715918596217
13,33,0,0,10,28,277.67772573281536
12,29,0,0,11,29,281.49526355344386
9,27,0,0,10,33,315.29083299926646
13,29,1,1,13,29,280.36912645793865
14,30,1,0,9,27,268.8212586724226
4,30,0,0,13,37,347.3871799229832
7,26,0,1,11,31,297.88922021236647
6,34,0,1,12,36,341.33111800185634
9,30,0,1,7,29,284.3268376750784
10,29,1,0,12,30,292.0140410823597
10,29,0,1,13,32,308.3452592776197
9,29,0,0,11,33,317.0533941895786
6,31,0,0,15,36,339.2596260450091
9,30,0,1,12,32,305.6819666124239
10,29,0,1,13,31,303.2152397607418
5,28,1,0,11,32,308.558551891523
10,28,0,0,13,30,291.0272496916929
5,34,0,1,12,35,331.55835433852224
6,33,1,0,13,32,306.73671598147234
4,28,0,0,12,35,330.5014067434945
8,26,0,1,11,34,320.4009996397132
10,26,0,0,9,29,282.6353933048826
12,30,0,1,12,34,327.8874789138259
12,33,0,0,13,32,311.6312061365016
8,28,0,1,10,36,341.4164683018974
13,29,0,0,12,31,304.3013450786096
8,28,0,0,11,32,307.7616280462959
12,26,0,0,11,28,277.09329832513384
6,28,0,0,10,34,325.24805523267696
6,30,0,1,12,34,321.4431011848249
4,27,0,1,11,34,317.62107124746205
9,31,0,1,12,31,299.8210610365012
7,33,1,0,15,34,322.9939184181248
11,29,0,1,7,28,277.2687025721063
5,29,1,0,15,37,351.15410319316214
9,31,0,0,11,29,283.2674503488736
12,24,0,0,14,30,290.5317058934596
10,32,1,0,10,30,292.17285048027384
7,32,0,0,14,34,323.7987046253506
11,30,0,0,12,30,291.60006210275685
15,29,0,0,9,25,253.262606452724
5,29,0,1,13,36,338.79440312078174
9,27,0,0,15,32,306.3460323031905
10,30,1,1,16,33,317.11257234834045
8,28,0,0,9,30,290.7273395448098
7,27,0,1,13,33,314.7749928304416
14,30,1,1,11,27,270.3223703884523
11,29,0,1,9,31,301.7554986613676
9,27,0,0,10,33,317.4201543718955
7,33,0,1,12,32,308.41622635169955
9,28,0,0,10,31,301.07237065493786
13,31,0,1,9,27,266.91473558174647
9,31,0,0,9,29,283.34779867646444
11,28,1,0,12,28,275.2230457660258
5,27,0,0,13,36,338.8125258438124
13,27,1,0,13,31,303.42735811974165
6,30,1,0,9,30,292.3050818603946
8,29,0,1,12,33,316.1015899754455
9,29,0,1,13,34,322.98964561413936
11,32,0,1,16,33,316.6265875607796
5,31,1,1,7,32,309.27154783317405
10,30,0,0,12,31,299.38380274794577
11,29,1,0,10,32,311.7943861036984
8,27,0,0,14,34,323.7744843375376
13,32,1,0,11,29,286.1365264609927
10,30,0,1,9,31,301.1296380097369
9,32,0,0,7,29,289.49506527461773
15,28,1,0,14,30,293.0229066432752
11,34,1,1,8,29,286.92820439283673
12,29,0,1,12,30,291.6192820633077
12,30,0,0,9,27,268.44854995763643
9,34,0,0,9,28,277.7073455941237
9,28,0,0,12,32,307.6863173168995
13,28,0,0,13,31,301.4359017523514
7,31,0,1,13,35,335.6133495310537
11,31,0,0,10,33,319.41740775919084
10,29,0,0,10,29,287.0867214510755
12,33,0,0,12,32,311.32388609835346
7,34,0,0,6,28,279.6120711145363
8,27,0,0,13,34,325.97613462319293
8,28,0,1,11,30,290.91216856901207
10,31,0,0,11,29,287.0752244735759
8,31,0,0,9,30,292.85668946212854
11,31,0,0,11,33,321.7577890977167
8,30,1,1,12,33,315.72589911787065
14,30,0,0,11,27,267.84207550829404
12,30,0,0,11,29,283.8330909912317
12,30,1,1,15,32,306.84942323464304
13,33,1,1,12,31,301.7985138573874
8,30,1,1,12,33,313.9515354932488
11,28,0,1,13,32,308.443978437981
7,30,0,0,11,34,326.3034728571872
10,30,0,0,13,33,318.9086564528615
15,28,1,1,12,31,303.7426300211414
10,28,1,1,12,30,294.20613876553585
8,27,1,1,11,32,303.5957861739705
7,31,1,1,10,33,314.9051126332536
10,32,0,1,11,31,301.97525415197714
7,31,1,1,12,31,298.0853921078335
9,34,0,1,14,32,305.15689239889696
9,27,0,0,7,30,291.33796416492066
11,31,0,0,10,29,284.15180279812614
10,29,0,1,14,33,315.6415652610625
7,27,0,0,12,34,323.4670233636936
7,30,1,0,11,30,287.27841160269327
11,30,0,1,11,30,293.4895668243034
8,28,0,0,8,30,292.48653642271256
6,28,1,0,13,33,313.80320916860484
10,29,1,1,11,29,279.4140155073445
16,31,0,0,13,31,305.3540156979563
10,29,1,0,12,30,290.1592657175965
10,29,0,0,8,29,286.4301757450606
7,29,0,0,13,35,333.33183178878056
2,29,0,0,13,37,347.98687485296205
14,30,1,0,12,30,294.11884736953
7,33,0,1,11,35,333.6371783867868
13,32,0,1,11,31,303.52875975136874
8,30,0,0,11,32,310.2235565677713
6,31,0,0,11,31,300.97039563027107
11,27,0,0,15,35,335.92794445793146
9,30,1,0,10,29,283.70315669147755
12,29,0,1,13,28,273.0126921661098
12,28,1,1,10,30,290.5959482827875
11,32,1,1,12,31,299.77706159687114
11,27,0,0,12,34,327.7529429249418
10,30,1,1,14,31,297.5438333672487
9,32,1,0,15,33,315.1674403343651
7,32,0,0,13,31,299.67350390335656
9,33,1,0,13,33,317.8172828522234
12,31,1,0,12,32,309.93452879996295
12,28,1,0,10,28,276.5354491135439
9,36,1,0,12,32,311.1848689364311
11,30,0,0,11,30,292.5774770607724
11,28,0,0,13,31,301.86518110430893
10,30,0,0,16,37,351.1519027564142
12,28,0,1,15,31,299.2482649579905
12,25,0,0,14,31,297.8057118099369
16,28,1,1,17,31,299.8823176510536
9,29,0,1,10,29,282.66799941775383
9,28,0,1,13,33,317.62328699662555
5,30,0,0,13,35,329.9469489231352
9,30,0,0,10,32,309.4097354260912
8,31,1,1,10,33,316.42629115907687
13,32,1,0,11,29,285.0168211330348
7,34,0,0,11,33,317.9947800692416
11,31,0,0,10,31,304.74483406826937
5,29,0,1,12,36,339.0785249235511
13,32,1,1,9,28,277.2936124705126
10,30,0,0,12,31,298.40667719593966
12,27,1,0,14,30,290.09688020117045
8,31,1,0,11,31,302.7425067302277
8,30,0,0,15,35,333.69469965308275
10,31,1,0,13,30,291.5908492499014
11,30,0,0,12,30,295.02534666680003
11,28,0,0,13,33,318.6880537520544
9,31,1,0,12,32,306.0932939655964
10,28,1,0,11,32,309.4070842605704
14,27,0,1,10,29,284.76481818820673
9,31,1,0,10,30,294.66431502063205
12,29,0,0,12,32,310.55202470509715
13,30,0,0,9,27,271.42351624263875
12,27,0,0,12,30,294.1083454474263
9,28,1,0,12,32,305.82373403118936
11,31,0,0,14,32,310.2538367396778
10,28,0,0,12,31,298.0573957407118
11,27,0,0,9,30,291.6001240197482
11,30,0,1,9,28,275.09275475685934
10,32,0,1,9,29,283.2418710543216
