teacher_age,teacher_experience_years,average_class_size,teacher_gender,rural_location,use_of_teaching_assistants,student_engagement_score,student_performance_score
46,12,9,0,1,1,89.37623584,304.3454693210439
22,12,6,1,1,1,49.38624401020585,194.87670999468597
21,13,10,0,0,1,52.86066016781968,203.0263808841311
43,37,14,1,1,1,112.08960661443112,377.2859019659163
34,16,15,1,1,1,78.75117526574765,278.0179327064665
21,22,4,0,1,1,56.875265863316365,213.90526026856787
31,22,8,0,1,1,74.80110795432527,267.3699790418444
20,11,10,0,1,1,48.79459064573771,191.97171126067988
26,18,5,1,0,1,63.74019549134495,228.9217347101119
44,25,6,1,0,1,94.47066601970415,321.42293537506765
33,23,16,0,0,1,82.23596729101418,289.9021219772274
32,19,12,0,0,1,76.69509632190353,271.08278987978616
19,10,8,1,0,1,44.50301507394785,179.0181272
21,11,7,0,1,1,49.23399904513195,191.3150211475361
10,27,11,0,0,1,50.19965853974466,200.3927908
27,24,5,0,1,1,69.89018566352361,254.3382251787922
30,21,14,1,0,1,78.53335414281108,276.5065644816252
28,24,10,1,1,1,76.57314230816051,272.8870575619994
17,22,9,0,1,1,55.25320826321146,214.8536925128817
14,20,11,1,1,1,51.37803870662118,202.19652268707475
29,15,9,1,0,1,66.07289663231872,238.8874224409468
33,17,6,1,0,1,71.78575387302094,254.46351072080364
26,29,7,0,0,1,71.62784891661687,259.7805692230393
22,24,7,1,1,1,63.89597092893029,237.99173419433208
31,20,7,1,1,1,71.90767821153761,259.2355851660463
29,23,6,0,0,1,70.92225140391825,255.98322335414943
27,10,10,1,1,1,59.19052391926118,221.96406632169575
35,11,6,0,0,1,68.46628625192443,245.06331373215608
42,26,8,1,0,1,95.86921665,329.4739981521878
28,26,11,0,0,1,74.12865514918019,267.82987785214493
44,18,13,1,0,1,94.61955770849026,320.3913762683125
33,21,10,0,0,1,77.35847936589096,275.85069892715666
35,24,10,1,1,1,84.85553549162002,295.29558760506035
32,24,10,1,0,1,79.53914317,279.97676624812783
30,16,10,1,0,1,68.70025550888332,248.6126732674726
39,16,2,0,0,1,76.92489358,267.8541183328088
35,15,7,0,0,1,73.83964782009274,260.4194004471044
27,28,8,1,1,1,76.65521425752699,274.5921712023386
44,17,12,1,1,1,93.03702684014348,315.45639992986366
24,25,7,0,1,1,66.17613773483214,245.7039269363641
20,23,1,1,0,1,53.46000854340657,207.0957643260421
35,14,12,0,0,1,74.03401627181358,264.1154892478331
40,22,10,0,0,1,88.76350057171543,307.8300446125021
23,25,14,0,0,1,69.72508819253403,254.11113819356743
36,22,10,0,0,1,82.60376124436455,291.5884324064508
32,13,14,0,0,1,72.46142118442444,256.3170578276489
29,24,13,1,0,1,79.76185501240089,279.4436716799311
37,27,8,0,0,1,87.36978049,303.7819818978448
29,18,8,0,1,1,67.56325233948738,247.58141294892928
50,26,5,0,1,1,104.36218368832036,351.5155051724923
41,17,9,0,1,1,85.29120999380001,295.7723730865002
36,20,13,1,1,1,85.35962614045569,297.1202191568431
32,21,8,0,1,1,76.16281539638585,272.9653028432521
27,12,13,0,1,1,64.85445520458187,237.3150836549077
29,23,12,0,1,1,76.39513991251964,275.5360435159371
28,15,8,0,1,1,63.67089675,235.0591730321281
40,19,7,0,1,1,84.21852478960967,291.46787809020867
20,10,10,1,0,1,50.29944143061185,192.43970304701728
43,14,8,1,1,1,87.43458010754044,298.1939329587035
41,12,10,1,0,1,81.68384951687695,284.55586800279053
16,23,9,0,0,1,54.08400481049514,211.0285876412446
24,13,5,1,0,1,53.886433604796125,204.1942682037351
21,16,5,1,1,1,51.23946445296558,198.79424333803595
37,13,7,1,1,1,73.50564859688195,263.4641769927156
25,22,10,0,1,1,67.93675269582585,247.57754325541492
25,0,11,0,0,1,46.55930205528591,180.63337659765887
17,20,8,0,1,1,52.53359035716556,204.4550276117755
19,19,9,1,1,1,54.87304160318757,210.5013183
18,21,6,1,0,1,52.82472793815311,206.2295445224235
34,22,17,1,1,1,88.08955498131277,304.62435483700665
39,16,11,1,0,1,81.87871497193908,286.74832483296973
23,24,11,1,0,1,67.82002430363299,249.00847392687615
36,20,7,0,0,1,79.11825694281396,276.90960619561884
15,26,10,0,1,1,54.541004011470726,212.95179119713728
24,20,15,0,0,1,67.04255748836827,246.1629189066836
29,13,12,1,0,1,65.21681188220137,239.38787012368417
28,10,12,1,0,1,60.95463843679697,224.28735034480425
34,19,15,1,1,1,81.43220204700054,286.2966355842203
48,11,4,0,0,1,86.50625152356584,296.4651983
30,15,15,1,1,1,72.92735248236103,262.0469706008953
44,18,13,0,0,1,91.22972667197556,313.33466820599546
40,14,7,0,0,1,79.86015707829938,281.3015751729853
37,21,8,1,1,1,84.55971361776491,292.4497176984449
29,29,10,1,1,1,79.89703968437011,285.4157699650431
29,10,8,1,1,1,61.93875086679388,228.76540610532624
22,25,9,1,0,1,65.48921027,241.56980986878727
34,10,9,1,0,1,67.63681826028225,242.5506258400613
20,26,7,1,0,1,60.76590709776092,227.26782993239175
24,17,11,1,0,1,63.37828579258069,232.3002157912782
42,17,10,1,0,1,87.45307835,299.9478119
36,25,7,1,0,1,85.07974493,295.1254419981927
22,13,5,1,1,1,53.72170115200763,202.56548966893936
22,26,5,0,1,1,63.26809747720133,236.4440075256324
27,15,14,1,0,1,66.92530625681098,244.06783971480195
33,11,15,1,0,1,73.02707947152423,258.8949862240524
30,28,14,0,0,1,84.63392367586582,298.439941
23,14,12,1,0,1,58.28672177478631,219.1981566806965
41,18,10,0,1,1,89.12191509373376,308.32322888811694
43,18,8,0,1,1,89.26628431571048,306.55600303839736
40,12,11,1,0,1,80.56734864206477,280.3468379711751
21,12,4,0,1,1,47.70376513060916,187.75617705729584
28,17,7,1,1,1,66.30315677,242.14167658891063
30,17,9,1,1,1,69.68432828004808,253.7882227355476
31,19,9,0,1,1,73.68585306942758,259.44006143143025
35,12,9,0,0,1,72.10413560533001,257.65137386588503
37,22,13,1,1,1,87.23322705845473,300.9939408492067
31,19,11,1,1,1,76.50003016215757,271.19754961393755
24,19,9,0,1,1,61.80627407787176,230.52804888224676
26,19,12,1,0,1,65.15676132363856,242.6626970753946
36,19,6,0,1,1,75.72701314972598,274.93913965841296
22,24,12,0,0,1,66.55658822366904,245.74845314954504
46,24,8,0,0,1,97.58269345712284,332.5353667740243
24,15,8,0,1,1,57.82634072970204,217.02206763171296
29,17,5,1,1,1,64.47543634810029,237.54832467826796
31,15,11,0,1,1,70.34850824239572,253.17522478683875
29,13,11,0,1,1,67.01547155716757,241.83583500292008
15,20,9,1,0,1,49.792694838864655,199.67662744366643
33,29,10,1,0,1,86.79790902,302.29132134058125
38,7,13,0,0,1,74.0469378,260.2250180220811
25,25,4,0,1,1,66.05056761088713,243.2018866707486
39,14,10,1,1,1,81.17040389686277,282.47778096793746
38,27,13,0,0,1,95.02853720782156,327.53338842076704
12,20,7,0,0,1,43.63013352388472,177.77346617489445
23,34,6,1,1,1,75.10830988288738,270.5259298532755
26,25,10,1,1,1,73.66059900133564,265.5658921
33,10,4,0,1,1,63.71907373405008,234.2325507772487
28,22,12,0,0,1,73.16705896,260.23554441596593
25,18,9,0,1,1,64.16580860400225,235.92752999440995
39,20,12,1,0,1,87.89250430000189,303.7903999718793
29,14,7,1,0,1,63.66383605,234.58827392261324
38,29,8,1,1,1,93.92809528552482,323.7548216
43,24,9,1,0,1,95.46738930157971,324.2390290095945
34,23,11,1,1,1,84.37364158382307,292.29763610033024
29,29,14,1,1,1,83.31885455905854,296.4791313795376
19,19,7,1,1,1,56.38938437781809,213.93315367005764
36,19,11,0,1,1,81.68635334013234,284.9998335024212
26,13,10,0,0,1,59.16549419410904,219.79674928173435
20,18,11,0,0,1,56.05289871977013,213.3646216185126
31,13,11,1,1,1,68.90911297930829,249.30896956982508
27,17,9,0,1,1,64.10547599624388,235.3198821921472
33,20,11,0,0,1,77.84015329257035,274.1757116387622
24,25,6,1,1,1,64.59476321001698,241.91059524146587
22,7,11,0,0,1,49.63416699214736,191.01725881255365
35,15,7,0,0,1,72.32147193284503,256.91979948235445
29,10,10,0,1,1,61.98635420136933,227.6616065986307
19,19,12,1,1,1,58.08553090433302,216.96769196821967
21,21,6,0,0,1,56.97885416062418,215.0726189002409
30,33,14,0,0,1,87.28837614497111,306.3763238
22,12,5,0,0,1,49.08558803766249,190.3736328082539
37,8,10,1,1,1,70.83382969308077,252.44661687435965
27,24,8,0,1,1,70.85718122099357,257.9876930425864
21,11,12,0,0,1,51.65580244384494,201.11204288127476
19,20,8,0,1,1,55.92191361417622,212.7487591397577
35,16,6,1,0,1,73.89400802,260.65257222603054
36,19,13,1,0,1,83.50916442230167,291.4982671919927
21,32,8,1,1,1,68.07926584325939,253.9789634018429
2,20,5,1,0,1,27.337470493704693,134.59296792949098
35,18,7,1,1,1,75.83225619751346,269.2615349673364
37,14,7,1,1,1,76.12794932841179,266.3266877852554
30,22,9,0,0,1,72.99426795455105,261.83626773391865
29,23,9,0,0,1,73.98958725,263.94188502606346
24,20,11,1,1,1,65.47172949468128,241.35021293103472
29,14,14,1,0,1,68.92725695,251.00347253001257
43,24,7,0,0,1,91.90996845735344,316.47526262907303
23,12,12,0,1,1,55.77452838175193,212.63898439108604
8,15,11,0,1,1,37.371256826698485,159.35430739288944
30,21,10,0,1,1,73.70629217342362,265.59627942693584
49,24,12,1,0,1,105.74486370563184,353.22315762802606
51,29,11,1,0,1,112.9804072,378.13054191838455
36,23,12,0,1,1,88.24022838570683,303.5768521123037
16,23,7,1,0,1,52.49742061795471,205.0038980808306
45,22,11,1,1,1,99.89823832,338.12965681777786
20,1,9,1,1,1,40.38001750433869,161.54917096305482
35,18,11,1,0,1,79.69124434803558,276.85713266369714
25,21,12,0,0,1,66.36467172999673,246.32764359808755
21,19,13,0,1,1,60.29522415342001,226.82975006922356
32,25,12,0,0,1,82.88694098526443,289.84416904123515
10,17,13,0,1,1,44.09812755,180.3671343501744
21,21,14,0,1,1,63.43441284667077,235.5886332894775
24,20,10,0,0,1,63.37915130001206,235.1933393842748
30,19,6,0,0,1,68.74415782632236,243.9719864
37,15,8,1,1,1,76.70625928956993,271.7725296942045
30,13,9,1,0,1,64.80959626270982,236.38550540711847
31,17,10,0,0,1,72.33452019530363,257.52598814006774
30,21,10,0,0,1,72.00274685482992,259.5871808617771
26,16,13,1,1,1,66.74857260239159,244.30782660529653
28,27,4,0,0,1,72.72415748317563,262.3037751292266
29,29,8,1,0,1,78.01564981676093,278.4623429748927
22,22,11,1,1,1,64.67642793492526,235.9471373630488
36,34,15,1,1,1,100.07547476168412,343.05089980714826
30,17,11,1,1,1,71.11373595759865,255.7650783213706
27,20,6,1,0,1,65.15732859329594,237.9925202931209
26,10,9,0,0,1,56.65547825633308,211.47266901867332
22,21,8,0,1,1,59.93233530680743,225.1019973783969
28,15,7,0,0,1,62.53635148857329,228.40735349474585
24,20,9,1,0,1,61.07863800808599,228.62398451441456
21,13,13,1,1,1,55.222308185345504,210.5980032
42,29,11,1,1,1,100.74027109117404,341.1812831446034
40,22,6,0,1,1,85.70772066409374,298.3004787710299
12,6,10,1,1,1,31.68545457,142.21674897371332
24,18,7,1,1,1,61.867577498507984,229.8304033118003
18,15,6,0,0,1,47.23122051543677,184.9625776626972
38,21,10,0,1,1,86.23927888241869,299.72155779436173
25,17,9,1,1,1,62.80465200711174,232.4278679145052
23,23,8,0,0,1,64.36307273778779,241.28376814005597
35,22,10,0,0,1,80.36189346039072,284.63547186881203
24,19,8,1,0,1,63.40030874190271,233.84379642603955
29,14,10,1,1,1,66.52242646733576,243.07511823904784
26,15,8,0,0,1,60.77546671,226.7771941450773
31,14,13,0,1,1,70.66390132460907,254.09730065712935
35,20,11,1,0,1,82.22138097567115,288.2393957672296
16,20,11,0,0,1,51.88743101939857,202.11798297498223
43,14,8,1,1,1,85.11418948730635,294.7128213213051
36,15,8,1,1,1,78.10904539150366,272.3833897409116
31,19,11,1,1,1,74.20622175712347,267.5592317573884
39,24,12,0,1,1,92.62367014863374,317.14216226848464
33,21,7,0,1,1,76.82634880658324,272.0079022236121
37,22,8,1,1,1,85.32438794302867,297.04170874039835
28,13,9,0,0,1,61.74653320728514,229.1040519
27,18,8,1,1,1,65.46681225113586,241.78641991059916
35,30,5,1,1,1,86.30996673038973,300.7585192683549
31,26,11,1,0,1,82.63339956247803,291.0626602434586
13,27,10,0,0,1,53.61652348891816,208.4130164315576
31,23,7,0,0,1,75.80883709,267.5421175918262
23,19,16,0,0,1,66.88089758341921,242.9749527178009
30,19,8,1,0,1,68.49637809917947,249.3387191489258
37,23,13,1,0,1,89.30931243031164,308.0561332831052
20,20,11,1,0,1,59.39846111855413,222.03536059305856
14,19,13,0,1,1,52.518886821729424,202.61675184891104
35,12,13,1,0,1,74.41343415875485,262.46183879620946
49,15,7,0,1,1,93.12829897251864,319.48746743020723
35,13,6,0,0,1,69.75043093620498,246.7486986218496
35,17,12,0,1,1,78.89027695976127,279.5473101950126
35,26,5,1,1,1,83.25693257846575,291.4653060323837
41,21,11,1,0,1,92.13619339937172,313.4465223415077
31,27,10,1,1,1,81.71944018715428,288.75165973912493
35,16,11,1,1,1,79.89495442379835,276.2897600992204
35,14,7,0,0,1,70.64680451448682,255.45547970247733
30,17,13,1,0,1,71.63815211232672,257.2813926273426
28,15,12,1,1,1,68.05730888582444,244.8817116584735
28,20,4,0,0,1,63.16653738811268,234.99036834947785
35,26,11,1,1,1,88.44610679150753,307.19507851054857
22,18,12,0,0,1,59.74019721060057,224.93785635971165
35,26,7,0,1,1,83.00670947689882,289.50505205889186
13,12,9,1,1,1,39.85890466057856,166.8244466787393
38,28,13,1,0,1,95.08606885244288,327.4173109
17,17,8,0,0,1,47.79911679,190.43136862464956
10,16,9,1,0,1,38.351759887866606,163.72606997346597
38,16,7,1,0,1,78.81889370759113,276.49138573091943
12,28,10,1,1,1,54.299810991341744,210.8648510696972
33,16,7,0,0,1,70.09794022609927,256.4665518449018
31,23,19,1,0,1,84.22033828251965,295.3690007416232
25,21,8,1,0,1,64.59627340659048,235.62992404425543
19,27,9,1,1,1,63.36821318222042,237.0626815101276
20,21,9,1,1,1,59.24924908877387,221.8773542702168
29,19,12,1,0,1,72.04849397398081,257.4052011787421
35,29,10,1,0,1,89.27401541770588,311.3548280309224
14,18,13,0,0,1,48.71410245862027,192.7999928069222
30,18,9,0,1,1,71.18211771,256.5701549636024
34,25,6,0,1,1,80.52309846133099,284.6098059397163
34,20,8,0,0,1,77.26940294562361,274.73976849239364
27,14,7,0,1,1,59.378336645177576,220.5947348303113
16,20,9,0,1,1,52.58974438756145,203.92809653780537
19,11,6,1,1,1,46.29064026630126,182.9164609657284
12,7,13,0,0,1,35.43775481104277,151.9172619766018
31,29,11,0,0,1,83.55161592559155,292.78860301778604
47,21,9,0,0,1,98.05123637604662,333.0245748231867
36,14,14,0,1,1,79.40943266119929,281.15691815973616
55,19,14,1,1,1,112.90312295867206,374.061418
26,24,15,1,1,1,77.00415006713519,274.2760907936575
18,22,7,0,0,1,54.72119941196373,212.43648171627336
38,16,9,1,0,1,81.10664398622067,281.9419454299543
39,12,12,1,1,1,83.67416877257378,289.3267091627708
18,12,11,0,0,1,47.66248760197698,190.2056733237573
37,16,10,0,0,1,78.71041739164981,274.7220360641433
28,15,6,0,0,1,61.82870642635376,228.39397428076657
19,29,2,0,0,1,57.12784725657641,222.81202936988515
26,23,8,0,0,1,69.22842695948303,253.38698763172664
33,16,6,0,0,1,70.53750211654713,251.72147163924404
31,28,14,1,1,1,86.43842587028325,302.59704370699586
32,17,7,1,0,1,70.71742546217499,251.64272617750007
28,33,12,1,0,1,84.26414661106304,298.1687180295853
30,8,5,1,0,1,58.66521883574378,214.5872418554536
32,20,14,1,0,1,79.34911356634751,280.0644938278263
37,24,16,0,1,1,92.22638544940716,316.4326212181928
25,22,12,1,0,1,67.77851356252462,249.1708383686829
18,13,14,0,1,1,50.25568913933464,198.90455680650493
37,23,11,1,0,1,88.86472478,303.89176146370863
27,24,8,0,1,1,70.27600852517703,256.45567847126625
28,13,12,1,0,1,65.01545124,236.4036013460288
26,22,14,0,1,1,70.06697300798209,257.1208265944581
27,24,12,1,1,1,74.77025996568618,268.4793477349886
28,20,11,1,0,1,71.21670345523489,252.71381903965448
32,15,13,1,0,1,72.53927833507235,260.0308508581984
38,15,13,0,1,1,81.11628401177104,285.0106697562064
26,23,1,0,0,1,62.80082159560313,230.99414285162865
39,28,4,0,1,1,91.52901530501342,317.4438623921155
32,21,10,1,0,1,79.85872309505557,279.0589655626487
30,22,12,0,1,1,75.50279675141303,270.87398930823605
45,22,18,1,0,1,105.12791821866148,352.3948729691576
43,25,7,0,1,1,94.29719726539324,320.92526106477806
18,19,8,0,1,1,54.291008464091206,206.6281593641543
25,20,9,1,0,1,65.05888428372738,238.07726761924795
23,10,11,0,1,1,52.77764491421235,200.49174755685056
16,15,10,1,1,1,48.90721997599543,190.0399992161422
30,19,13,1,0,1,73.63778251523725,262.8529734046677
7,23,10,0,1,1,43.08456193711472,175.63700510551072
34,16,14,1,0,1,77.29981732643246,273.69424962693233
23,30,16,1,0,1,77.0955684,276.8254811903202
36,22,12,1,0,1,86.33266965245322,298.57786370969563
19,18,6,0,1,1,51.43549678,200.2848122
29,22,12,1,1,1,75.03986946285353,268.6723863808144
36,27,7,1,0,1,85.59164504288218,298.5946988886185
20,12,7,0,0,1,48.273638336566464,188.7582209
41,20,9,0,0,1,87.41880293813863,302.4494789
29,25,8,0,0,1,74.55195033555957,267.9560377520512
29,25,12,0,0,1,78.23412006772735,277.51359635389167
32,6,7,0,1,1,61.57754419104385,224.6810358361414
14,27,9,1,1,1,54.81521582353607,215.80839341476224
27,13,12,0,1,1,61.95662222534653,230.2769168
20,29,7,1,1,1,65.68850779024265,244.24508886283044
38,19,8,1,1,1,84.55351171895171,294.7931537876004
29,8,13,1,1,1,62.85989929,229.94021495398755
23,26,14,0,0,1,71.24167825492987,257.2314182809798
40,23,10,0,1,1,89.89488652,311.17410047269334
25,19,10,0,1,1,65.27034635,237.5114228550336
22,16,8,1,0,1,56.346063025669686,215.38944767111403
21,21,6,0,1,1,56.91380225919298,216.48385776137837
33,18,11,1,0,1,75.34990546659301,271.3289803776297
16,13,7,0,0,1,43.65346273096494,177.50004151576775
24,17,11,1,1,1,62.49595011985223,233.37612817686423
34,19,8,0,0,1,76.39658623837676,268.4605173970948
30,21,14,1,1,1,78.24000428187883,276.91903648447806
22,27,6,1,1,1,64.50308753762437,241.17351161204303
33,23,12,0,0,1,82.73397264586782,288.37054500419487
16,15,9,1,0,1,46.55386485546295,187.49304327903172
21,30,13,1,1,1,72.83204719477197,264.5957396984761
16,25,4,1,0,1,52.29938213268071,205.0647403413321
53,18,9,1,0,1,105.51256956205388,349.84675027512094
38,13,10,0,1,1,77.67665608314738,271.15413580419903
40,13,7,1,0,1,79.17332989282876,277.30456085067425
24,17,13,0,1,1,61.37415204922281,231.30542676627604
19,23,15,1,1,1,64.32545570097304,240.75888560447277
22,21,9,1,1,1,61.819400235091486,231.04597032393772
34,29,9,1,0,1,86.88139054286466,304.2210547977538
28,26,6,0,0,1,72.11756646611813,257.95732678568095
41,27,8,0,1,1,94.72010294140333,323.0272488971589
30,23,7,0,0,1,73.56061157306554,262.5158863895164
14,20,12,0,1,1,50.30677694175432,195.26315604455849
28,26,5,1,1,1,71.90996489312185,260.7963608071324
50,24,8,0,0,1,104.73523807350551,349.0403393586748
15,12,8,0,1,1,41.57750460820337,172.76423648341012
27,23,14,0,1,1,75.03024232621003,269.0647188338268
7,15,8,1,0,1,33.40466711408233,147.97131749473942
22,8,11,1,1,1,51.26441368,197.9626489055185
42,10,17,0,1,1,87.28086913980745,295.7127732511618
28,26,13,0,1,1,79.24085526010971,279.22233831039546
30,31,7,0,0,1,82.04391309376808,288.7116918689923
31,11,5,0,0,1,61.15353304340079,222.74272443315343
29,26,8,1,0,1,74.20753612,268.2481877974311
33,20,7,1,0,1,75.47613751277302,268.93009926443534
28,24,7,0,1,1,71.97691280967815,259.4481081869164
30,19,16,0,1,1,76.45014370307285,271.6796462
28,21,12,0,1,1,72.42692495296741,262.1970535496771
27,17,6,0,1,1,63.64811763372685,233.0767435
27,20,11,1,0,1,67.10157868712035,248.31194037152943
23,20,13,0,1,1,64.49351332780778,236.49270362634763
31,3,8,0,1,1,57.74566662683494,214.4375785259163
40,13,15,1,0,1,85.21534168896906,295.7354375829095
18,23,8,0,1,1,57.37987538641124,217.76982922370664
33,12,15,0,0,1,72.95078903531721,257.37647503693336
40,27,7,0,1,1,93.17684628893204,318.8274165118511
32,16,11,1,0,1,72.03254127457299,257.76056092687134
29,12,10,0,0,1,63.58696628979982,231.82584556111536
31,22,11,0,1,1,78.64497553047896,278.00322986069244
32,29,13,0,0,1,86.32098647189524,304.5546067568117
28,20,5,0,0,1,66.32053702792948,239.96110045275063
35,26,12,0,1,1,87.88631095183707,307.39912752229515
18,21,8,1,0,1,54.88290530178566,211.7994944995098
23,22,15,1,1,1,68.54724591903563,253.5306042100962
35,23,6,0,1,1,80.04795525611581,280.8842442838784
16,27,3,1,1,1,54.10836392138116,211.7558882287939
28,18,13,0,1,1,71.19811169066503,254.59891588399373
34,11,1,1,1,1,63.16570588618565,232.1091153
33,21,10,0,1,1,78.78555141586837,279.49622678485537
38,23,10,0,1,1,87.04819500043435,298.78780798898146
35,20,11,0,1,1,81.93383512429413,288.02832399322705
37,25,7,1,1,1,85.77025502,301.1430236554237
22,16,7,0,0,1,54.13259984585843,207.3664198972961
32,22,17,1,0,1,84.54661000062224,295.83698217815873
34,12,3,0,0,1,65.89344551355966,238.1618164891078
31,20,4,0,1,1,68.93298031434846,249.9422558654585
31,20,10,0,0,1,73.91655509,264.0402656
15,25,9,1,1,1,54.73089621154606,210.10368422637305
41,29,10,1,1,1,98.24305215738389,333.9958584880534
21,17,12,0,0,1,58.22715389,216.51131687210471
28,22,13,1,1,1,75.29660926059552,268.0699969349683
17,28,12,1,1,1,63.72654521781489,237.74329847566693
39,21,14,1,1,1,90.02976559,311.9899969677272
17,26,6,0,1,1,55.27809802147697,217.24431958905436
37,19,12,0,1,1,85.88529209,295.8316848
28,10,7,0,0,1,57.192349431280135,213.07156909762327
21,31,4,0,1,1,65.10276653403933,245.61790872945315
33,15,13,0,1,1,73.77994283103509,265.0996343
27,17,12,1,0,1,64.43424880250775,238.7387752857276
34,12,10,1,1,1,72.67381011590534,257.3529517624812
27,24,9,1,0,1,70.21057424278807,256.4103774359478
31,7,8,1,0,1,60.27133565174561,220.8507556843536
13,27,9,0,0,1,53.99536424500442,209.0882287266351
24,15,10,1,0,1,58.04189995,219.0031048795969
27,18,9,1,1,1,66.75212448376574,245.1744576700183
40,23,16,0,0,1,93.42038121,320.2974755675475
14,27,8,1,0,1,55.92464556584864,211.8114625046776
37,26,8,0,0,1,87.83774766325118,304.09585003877766
41,22,13,0,0,1,92.32407311,318.4507769
28,19,9,1,1,1,69.8217515,251.62498512779288
18,20,10,0,0,1,53.73329272689017,210.29661470968264
13,20,6,0,0,1,44.902346143977866,182.0673620823445
31,20,13,1,1,1,77.99544009453093,275.4264786
30,24,11,1,0,1,77.37280375696453,273.31988981699857
39,24,14,0,1,1,94.21504749847216,323.73498768715626
30,31,10,1,1,1,84.27584021570728,300.15118198768795
36,15,13,1,0,1,78.67372916380894,274.4115841132743
12,7,13,0,1,1,36.61292936,155.86482110571998
14,20,10,0,1,1,48.99548533,194.88766582902312
40,17,13,0,0,1,86.42819137172401,299.1960031744558
24,28,11,1,0,1,71.50366164,257.50753163676643
33,17,9,1,0,1,73.78224973,264.52359117480887
30,10,7,1,1,1,62.81695333499506,231.53353993542595
28,20,5,1,1,1,65.71469125,240.9937566924059
30,20,13,1,0,1,76.83875986340223,270.59206645548403
27,24,14,0,1,1,74.16801043855735,268.1287988415192
34,27,4,0,1,1,82.04732924090918,285.8732356
27,23,7,1,1,1,70.37175508448895,253.1226925
25,22,10,0,1,1,66.22628443130228,244.5398829745924
30,22,9,1,0,1,73.99446826637491,265.7882890845334
23,17,8,1,0,1,59.89918267410504,221.46533754536756
22,24,6,1,1,1,64.30704017775979,235.4131748897885
28,17,11,0,0,1,67.56390139210686,244.4317546870134
30,23,7,1,1,1,76.56685236866865,269.42437896369535
24,21,18,1,0,1,71.89680729930707,259.0401187007648
30,10,12,1,1,1,67.12938711622132,243.6973506948539
43,18,14,0,0,1,92.76256665561384,318.20801973342213
43,25,12,0,0,1,98.33006950521022,333.99385963051714
28,24,9,0,1,1,74.41620164647583,267.0249393197596
28,21,9,0,0,1,70.79474775960665,255.88141814376075
22,26,12,0,1,1,68.43907539,249.5441243956407
31,23,11,1,1,1,78.53953150931588,277.52313189155177
31,24,12,0,1,1,78.84877722167249,281.5700894403946
16,16,13,1,1,1,53.86580505463621,206.8375740424431
21,19,15,1,0,1,62.82397716217768,232.0823492088364
38,10,11,0,0,1,76.00715413,269.3018507
25,19,10,0,0,1,64.06038385571352,235.1038239450075
29,16,9,1,0,1,67.59993985654857,243.32570163582943
31,24,9,0,0,1,78.44061765256016,276.04471120571543
25,18,9,0,1,1,61.76858294753335,231.2911230383817
27,14,15,0,1,1,67.04346661327217,245.02640570513515
29,14,9,1,1,1,66.69637855260086,241.29410164174587
25,17,6,1,1,1,61.21539186612886,227.8900591277448
26,18,12,0,1,1,66.95513434243604,245.3993274770295
34,23,8,1,1,1,79.83150171960116,281.5922547718255
31,15,8,1,1,1,68.46018649772786,246.48729650046425
25,17,9,1,1,1,63.064386862375535,231.50436622928427
30,26,11,1,0,1,77.68278873300893,278.6321398374199
41,17,8,0,1,1,85.08954141,294.1098724785197
37,20,11,0,0,1,85.66678255833266,293.6878486959554
22,15,4,0,0,1,50.63595748830418,194.9200869416835
28,22,11,0,0,1,72.37383302614619,260.5803104443039
28,32,14,0,1,1,84.35461244997795,298.92652815402033
32,26,12,0,1,1,83.09580407823036,291.65077764486807
35,18,10,1,1,1,78.77442683627459,276.4960770588801
37,20,7,1,1,1,83.08789089739527,287.5511563134468
40,12,15,1,0,1,84.02363155009535,292.7042392370364
40,21,9,0,1,1,89.21778822786825,308.36916476083866
28,22,16,1,1,1,77.12074466527969,273.3964908940888
25,26,6,0,1,1,70.55318451558205,254.12422748552407
22,26,4,0,1,1,61.35308135030119,231.97549877801583
34,20,11,1,0,1,80.15218734427954,284.3354496816669
23,10,11,0,1,1,53.097073939156616,203.02246556787435
40,21,13,1,0,1,92.08571142,317.6127371493439
25,30,17,0,0,1,78.50360576408255,281.14330781445204
43,25,6,1,1,1,96.67652996432102,325.8499741552551
24,15,12,1,0,1,62.820916720153605,228.6002389005936
35,13,14,1,1,1,76.36877812715869,269.17922823615083
24,17,6,1,0,1,59.52282478092205,219.7916353986596
24,29,10,1,0,1,73.64869584931375,266.3873046
39,18,10,1,0,1,86.24885881044045,295.70466778240865
42,13,10,1,0,1,85.46452709,295.20857833218065
52,19,7,1,0,1,100.80547605547537,340.23242153913145
21,32,3,0,1,1,66.57806320669687,247.2871449488029
27,17,5,1,1,1,62.94288306629976,230.7367094398442
30,15,10,0,1,1,68.31674903948887,245.84283567878745
30,23,8,1,0,1,72.80464986407571,265.5539826512507
25,17,7,0,1,1,60.896185294014536,228.74882824676757
27,26,9,1,1,1,76.34186470835111,271.5987476927156
16,19,9,1,1,1,53.69604810198823,207.0285296376861
33,23,10,1,0,1,79.99051059,282.0277913
34,14,11,0,1,1,74.60984065411651,261.4777206442509
