age,income_level,education_years,household_size,is_homeowner,has_unemployed_member,received_government_benefits,tax_credit_received,annual_spending
22,32,6,19,0,1,0,1,90.54643074703428
28,28,6,22,0,0,1,1,91.95350197922522
20,22,5,21,0,1,1,0,84.46484985145402
25,31,8,14,0,0,0,0,82.93906467667014
34,27,6,12,1,0,0,1,81.76795601674354
24,24,5,18,0,0,1,1,83.67206698202513
36,24,6,22,0,0,1,1,90.42324255719625
12,23,5,22,0,1,0,1,88.45532893481656
22,23,2,12,1,0,0,1,76.42732084410646
22,19,7,17,0,1,1,1,83.70213357514989
22,15,7,15,0,0,0,1,78.26003904888084
20,23,4,15,0,0,1,1,80.44062643711736
33,19,6,14,1,0,0,1,78.72200354787944
17,12,6,10,0,1,0,1,71.26021679493901
26,24,6,15,0,1,0,0,80.94288675888647
22,23,2,9,0,0,0,0,70.45884525200626
38,24,6,13,1,0,0,0,81.13554801857032
22,21,6,18,1,0,0,1,84.78898658043899
18,26,7,14,0,1,0,0,79.85208174208923
26,30,3,11,0,1,0,1,82.1670284316321
19,18,6,14,0,0,1,0,74.54549685074642
8,23,6,14,0,1,0,0,76.54134216393267
29,25,7,18,1,0,1,0,85.40407519707773
32,25,5,14,0,0,0,1,83.55723376994868
28,16,5,10,1,0,0,0,69.19651171983159
27,20,2,16,0,1,0,1,81.21252950898955
38,27,7,19,0,0,0,0,87.09819956132029
29,23,4,12,1,0,0,0,75.11916714364617
31,25,4,14,1,0,0,0,78.09989788658311
30,28,5,18,0,0,0,1,86.53686205013034
40,26,7,16,0,1,1,1,86.34075991390588
30,20,6,22,0,1,0,1,87.18070207196858
41,25,7,12,0,0,1,0,81.11912517745799
19,21,7,17,0,1,0,1,84.48856697490598
21,22,8,22,0,0,1,0,86.08884724470305
32,23,7,15,1,0,0,0,80.8168986372568
34,15,6,16,0,0,1,1,79.81230744539182
20,30,6,10,1,0,0,0,76.50362978969464
21,31,7,13,1,0,1,1,84.70788303708977
22,21,3,10,0,0,0,0,74.67279963139747
-3,25,3,26,0,1,0,0,86.21404583076813
19,17,5,13,1,0,1,0,72.35636243070509
35,27,7,15,0,0,0,0,84.14397620176068
18,22,10,15,1,0,0,0,81.12976374467642
20,24,4,22,0,1,0,1,86.80001228975279
8,18,9,15,1,1,0,1,78.61513130464637
14,18,8,9,1,0,0,0,71.07415468318656
21,27,5,11,0,0,0,1,78.53946021619839
21,21,7,18,1,0,1,1,83.32208055222442
22,17,5,18,0,0,0,1,80.7109215196979
25,23,7,13,0,0,1,1,79.98262655151991
22,23,3,10,1,1,0,0,75.86848433011382
21,15,9,12,0,0,1,1,76.4834204309174
34,21,6,13,1,0,0,1,80.29301288148248
36,19,7,18,1,1,0,0,82.87119960231372
45,21,5,17,0,1,0,0,83.30348737473214
24,16,4,13,0,0,1,0,72.5530282030069
39,23,8,11,0,1,0,0,80.04699297061529
19,26,7,17,1,0,0,1,84.96749182994284
19,21,5,12,0,1,1,1,78.69341616273591
25,18,8,13,0,0,1,1,78.26610023421989
30,20,6,8,0,1,1,1,77.04629136051558
34,26,4,19,1,1,0,1,88.54277261463838
38,24,5,10,1,0,0,0,76.34919431843555
20,23,9,13,0,0,0,1,79.49796363125365
33,26,8,12,0,0,0,0,79.9359037095849
28,20,10,19,1,0,1,1,83.92796907982427
39,19,4,12,0,0,0,1,77.79828889208983
19,23,8,7,1,0,1,1,74.72097536216951
35,20,6,17,1,0,0,0,81.93858944237155
20,23,3,14,0,0,1,0,75.98819912382822
22,25,9,17,0,1,1,1,86.94745356519661
19,27,6,13,0,0,1,0,78.6335768388407
16,29,2,12,0,0,0,1,79.0443263932774
17,20,4,10,0,0,1,1,75.67794059810458
12,27,3,13,0,1,1,1,80.61628521123227
34,26,0,13,0,0,0,1,80.60024153188758
33,25,5,18,1,0,0,1,87.27596670227653
22,24,8,25,1,0,1,0,88.2802749057189
35,30,8,16,1,0,0,0,83.97559116052078
26,20,0,12,1,0,1,0,72.78397087971797
27,26,7,13,1,1,0,1,85.16694185605755
18,28,5,7,1,0,0,0,74.5983041605653
18,18,3,19,1,0,0,0,80.05379085444228
12,20,2,19,0,0,0,1,78.51647640328038
10,25,6,15,0,0,0,0,78.82467898382237
16,28,10,16,0,0,0,0,82.62102404041846
34,18,3,10,0,0,0,1,76.24269406467639
18,29,7,9,0,0,0,1,78.41538483797648
20,30,7,23,1,0,0,1,92.71292858629478
16,22,5,9,0,0,0,0,72.39634210470805
32,26,6,13,0,1,0,1,83.37892779280641
18,32,5,18,1,0,0,1,86.42876829663173
24,19,3,23,0,0,0,1,85.4801609076049
11,21,4,17,1,1,0,1,80.92927339306569
36,22,7,15,0,0,0,1,83.40586841626208
9,23,4,9,0,1,0,1,74.44261819958352
14,28,5,22,0,1,0,0,86.02125377830251
18,23,3,11,0,1,1,0,74.37484139647061
17,29,9,21,1,0,1,0,89.88577558288995
25,21,7,14,0,0,1,0,78.76825865019143
3,24,4,18,0,0,0,1,80.99011223670685
10,25,5,14,0,1,0,0,78.0352969940136
30,25,4,21,0,0,0,0,84.00242105252507
14,26,5,19,0,1,0,1,85.35869166281995
32,25,4,6,0,0,0,1,75.51652450340727
37,23,6,20,0,0,1,1,88.61192182461384
25,29,6,23,0,1,1,0,90.1839907056615
19,19,3,18,0,0,1,0,77.43086614365681
11,26,7,17,0,1,0,1,84.06522621194655
11,19,4,12,0,1,0,0,73.6927594703889
23,24,5,18,1,1,0,0,83.282377278247
34,20,5,29,0,1,0,0,91.50921235563229
5,26,7,11,0,0,0,1,79.23568667961781
12,19,3,19,0,1,0,1,83.25360182689555
14,30,7,14,1,1,0,0,80.39398762258217
39,26,4,12,0,0,1,1,81.19503176643856
31,19,6,10,0,1,1,1,79.59959067993137
15,31,2,23,1,1,1,0,88.89308147616667
26,26,6,15,1,0,0,0,78.97539536537974
29,23,9,14,0,0,1,1,84.42091409014546
40,22,5,14,1,0,0,0,79.43213226577925
21,21,2,26,0,0,0,0,86.28560303485352
26,17,4,16,0,0,1,1,78.67247140672208
27,29,10,20,0,0,0,0,90.09326425380748
48,23,5,13,1,0,0,1,82.37015534539016
15,25,8,13,0,0,1,1,81.68864902849185
20,29,9,21,1,0,1,0,89.34047794545208
24,25,4,21,0,0,0,0,83.94361043561176
14,25,5,18,0,1,0,0,80.30151961921277
17,26,8,18,1,1,1,0,85.11774738911879
24,24,9,22,1,1,0,0,88.20995401530402
-3,22,9,21,0,0,0,0,80.93387276635006
41,16,3,13,0,1,0,0,74.8275564192185
20,26,7,19,0,1,0,0,84.93889252502126
39,25,2,14,0,0,1,0,79.38244315978451
7,21,5,10,0,0,1,0,71.10455817862798
27,21,5,16,0,1,0,1,81.89391607432745
28,22,6,6,1,0,0,1,75.39049298889556
27,27,5,15,0,1,0,1,84.14112704247573
44,26,8,27,0,1,0,0,95.70219399189985
18,21,5,20,0,1,1,1,84.73188196906271
29,24,5,11,0,0,0,0,76.52027778229608
35,26,9,23,0,1,0,1,94.23679025473196
30,21,4,18,0,0,0,0,80.03898981910982
26,24,8,19,0,1,0,1,86.44493287701196
19,28,3,11,0,0,0,0,77.1905129124037
35,28,6,17,0,0,0,1,86.95705430631602
23,24,8,18,1,1,1,0,83.98504814181852
21,29,6,17,1,0,1,0,84.55230557300881
16,21,7,19,0,0,0,1,83.57225191919417
27,25,7,13,1,1,0,1,82.12805008248128
42,27,5,9,0,0,0,0,76.9914532392521
38,10,7,13,0,0,1,1,75.72311740209315
14,19,6,17,0,1,1,0,77.11399854011883
13,22,6,14,1,1,0,1,79.55594308320353
19,20,9,14,1,1,1,1,82.11107773948382
18,27,8,19,0,0,0,1,85.78840008754835
25,24,4,14,0,0,0,0,77.51826791267138
30,25,7,10,0,0,1,0,79.65434987129998
15,22,7,19,0,1,0,1,83.43609585306372
43,20,5,16,0,0,0,0,80.83925203005907
29,17,8,4,0,0,0,0,69.94591839250924
42,19,6,15,0,1,0,1,82.20157925518541
27,23,4,22,0,0,0,0,83.51477387066267
23,34,1,13,0,0,0,0,82.92201594465214
26,19,3,14,0,0,1,1,78.94058907211381
13,23,6,16,0,0,1,0,78.75434064559545
42,24,5,12,1,1,0,1,82.15974286251566
24,21,9,14,1,0,0,1,80.8799891825759
30,22,5,17,1,0,1,0,80.0632737386876
17,20,3,17,1,0,0,1,81.45680611786318
2,21,1,16,1,0,0,0,74.0495944521453
28,21,4,13,0,0,0,0,74.99801301208272
29,22,7,16,0,1,1,1,84.09047671412603
11,20,5,21,0,0,0,0,80.31718860529615
20,17,4,19,0,0,1,0,77.7366789746764
27,20,2,14,1,0,0,0,76.51026262806442
25,27,6,15,1,0,1,1,84.81384827439695
20,29,7,16,1,1,1,0,84.18314880598535
18,22,6,17,0,0,1,0,78.90794138081242
17,23,7,12,1,1,0,1,79.53990033927843
33,20,5,19,1,0,0,1,84.99946917054447
26,32,5,17,0,0,0,1,87.33421664230681
42,27,3,26,0,0,1,0,92.80361282065483
2,24,5,17,0,0,1,0,80.23825457552178
29,25,5,26,0,1,0,1,91.07522367031676
31,30,4,8,0,0,1,1,79.34720593276586
2,29,5,14,0,0,0,0,79.15939306770738
7,22,5,22,0,0,0,0,80.331966872463
26,31,5,15,0,0,0,0,81.50617734000352
17,26,7,14,0,0,1,1,82.03558266578418
39,20,4,15,0,0,1,1,81.07079748734658
26,23,3,14,0,0,0,1,80.01307098394614
25,29,9,21,0,1,1,0,90.41952021526544
21,23,7,21,1,1,0,1,87.6987425360857
30,23,6,10,1,0,0,1,79.18945176797426
26,25,7,16,0,0,1,1,83.31456697390031
30,26,1,11,0,0,1,1,78.8139787966773
10,26,4,12,0,0,1,1,78.80718270390727
28,16,6,19,1,1,0,0,78.43390771452184
10,28,9,14,0,0,1,1,83.51609968726879
46,25,6,15,0,0,0,1,84.30686501179993
28,28,8,18,0,0,1,1,87.59694334170624
8,23,6,15,1,0,0,1,80.41937655195416
15,21,3,15,0,0,0,1,79.63491015955267
13,23,2,16,0,1,1,0,78.36749853845194
38,24,6,16,0,1,0,0,82.32486549110956
29,26,10,12,0,0,0,1,83.91489203154609
20,26,4,19,0,0,1,0,82.70356797099903
21,24,2,12,1,1,0,1,79.30232354036923
15,28,12,17,0,0,0,1,88.1875900079224
19,25,8,17,0,0,0,0,82.22597103469334
33,19,4,13,1,0,1,0,77.75880408438108
33,23,6,14,0,0,1,0,80.77797366188261
28,26,3,20,0,0,0,1,86.3036191890598
12,23,7,17,1,0,0,0,78.96231997469444
20,24,9,7,1,0,1,0,73.42242762205589
23,21,3,15,1,0,0,1,81.11713800233576
18,34,5,21,0,1,0,1,91.65314976519552
27,23,4,14,1,0,0,0,76.93890359824786
10,17,4,19,1,1,0,0,77.67591815911162
34,25,0,17,0,0,0,0,82.01580436536105
11,17,7,11,1,0,0,1,74.74729366159345
23,19,2,21,0,0,0,1,82.95088494945865
34,21,2,10,0,0,1,0,74.915096167381
18,24,9,14,0,1,1,1,83.66553995780761
13,20,5,11,0,0,0,1,76.41769324153064
33,22,3,16,0,0,0,1,82.83144676556003
40,30,6,10,0,0,0,0,80.07483880958473
11,17,7,15,0,1,1,1,78.57923191471953
32,19,6,12,1,0,0,0,76.77994496819548
31,24,7,17,0,0,1,0,84.5385949886176
15,20,3,19,0,0,0,1,82.06756141765513
32,22,7,18,0,0,1,0,82.30542153974467
26,26,4,18,0,1,0,0,82.90798274924626
4,21,7,16,1,1,0,0,78.65681335725155
40,28,4,13,1,1,1,1,85.43267074196663
14,21,5,12,0,0,0,1,76.02611982176028
9,18,6,14,0,0,1,1,74.66117417787663
9,25,2,13,0,1,0,0,76.74057362311741
26,26,10,22,1,0,0,0,86.43827600975017
29,26,4,20,0,1,0,1,88.21378655408654
7,22,6,26,0,0,1,0,86.58653484843691
24,22,10,6,1,0,1,1,75.01544867041423
18,25,5,15,0,1,0,0,80.02838472786385
8,27,5,19,0,1,1,0,83.92463169063096
41,9,10,16,1,0,1,0,76.12314086740723
32,23,4,22,0,1,1,1,90.1356856041901
23,29,7,7,0,0,1,0,75.1896691190554
32,26,3,19,0,1,0,1,87.45004952864188
21,27,8,9,0,1,0,1,81.31952980634073
25,25,7,16,1,0,0,0,80.23098938537389
20,25,7,16,1,0,0,0,80.72828875857685
40,24,5,18,1,0,0,1,85.99877324527927
36,26,6,16,0,0,1,1,84.09588863929889
31,26,3,14,1,0,0,1,81.60349382979605
16,19,7,15,1,0,0,0,75.01592555166374
15,18,4,18,0,0,0,0,77.59779727542383
36,24,6,16,0,1,0,0,83.95506807861514
37,22,7,9,0,0,0,0,77.71776665048134
33,30,5,20,0,0,1,1,88.53553137144745
27,17,7,17,1,0,0,0,77.06636618443439
46,31,5,13,0,0,0,0,84.49110226131455
19,23,3,21,1,1,1,0,84.11142328129779
15,20,6,10,0,1,1,1,75.09945553578608
29,24,7,23,0,1,1,1,90.9487534252276
7,29,3,15,0,1,0,1,82.89015430255574
21,27,8,19,0,0,1,0,84.42738307456477
32,27,7,15,0,0,1,0,82.01878008148338
1,21,7,16,0,0,1,1,80.5512877698356
17,19,8,10,0,1,1,0,74.50789930153405
26,29,4,21,0,0,0,0,86.06961530288008
12,20,2,25,1,0,1,1,85.012873455508
10,27,6,20,1,0,0,1,85.66205219722475
-2,26,7,23,1,0,1,1,88.27841292913382
22,26,9,16,1,1,1,1,84.83930256378943
31,18,2,12,1,0,1,0,73.13183665919657
28,27,7,18,1,1,1,1,89.78114481172969
34,30,6,16,1,1,1,0,85.43012577149976
29,15,6,13,0,0,1,0,73.98977685357693
43,19,3,17,1,0,0,0,79.87681141092413
19,21,6,22,0,1,1,0,83.36534388501245
23,24,3,21,0,0,0,0,81.92758663818452
25,30,1,16,0,0,0,0,80.4893859229594
32,14,5,15,1,1,0,1,79.5274895278005
3,18,7,10,0,0,1,1,73.65930548449435
17,27,5,16,1,0,0,1,83.81294715619656
27,17,12,16,0,0,1,1,81.79692926197657
16,26,4,16,0,0,1,0,80.28271800686537
34,25,7,18,0,0,1,0,85.70169144231043
15,21,9,14,1,0,1,1,78.9114869477127
22,27,7,15,1,1,1,0,82.64970122754477
30,22,7,18,1,1,0,1,85.87500583074724
23,20,1,18,1,0,1,0,77.5983883758172
27,24,4,9,0,0,0,1,77.60845588687872
0,23,5,22,0,0,1,1,84.88743514998315
30,22,7,14,1,0,0,1,82.31804415469773
22,22,7,17,0,1,1,0,80.42168993353647
27,23,8,23,1,1,1,0,88.16492247430035
30,29,6,24,1,1,1,1,95.74573191031612
22,29,10,15,1,0,0,0,84.78038834151039
23,26,6,12,0,0,0,1,80.4233577315758
28,22,5,17,1,0,0,1,83.08955637673353
16,32,10,13,0,1,0,1,87.23149896405555
32,22,4,18,0,0,0,0,80.74737152964448
40,24,8,18,1,0,0,0,84.8147753585893
18,22,6,17,0,1,1,0,81.19352039343966
28,21,5,6,1,1,1,1,74.30461090688951
30,19,9,13,1,0,0,0,77.48545228967598
42,24,5,12,0,0,1,0,81.38529713353736
18,17,4,21,1,1,0,0,81.29100697582211
20,20,5,12,1,1,0,0,75.60252933685197
16,30,13,17,0,1,1,0,88.3590464690233
37,18,2,18,1,0,0,0,80.32236402075037
22,26,6,13,0,1,0,0,80.0597124310951
30,21,7,18,1,1,0,0,80.51854143636798
17,32,1,13,1,0,0,1,81.72604288595277
22,25,5,16,0,0,0,0,80.50378296685324
36,15,11,19,0,0,0,1,83.31652714213476
19,19,8,9,0,1,1,0,74.22054717736323
17,32,6,14,0,0,1,1,85.33124897779675
7,28,3,19,0,0,1,0,82.70590288072329
35,16,4,11,0,0,0,1,75.41395144394436
23,25,6,17,0,0,1,1,84.81129546194776
24,26,5,16,0,1,0,1,85.40934084915577
43,26,6,18,0,0,1,0,85.37501388601
39,12,4,15,1,0,1,1,76.26518941835471
32,22,5,16,1,1,0,1,81.97941184337283
12,24,4,13,0,0,0,1,77.53526043645421
24,25,10,6,1,1,1,1,77.5820113990224
22,24,3,16,1,1,0,1,80.36577603558409
36,28,7,18,1,1,0,1,90.5323238941492
33,16,2,18,0,0,0,1,79.88904693479815
45,22,3,23,0,0,1,1,89.67561567006581
27,26,3,12,1,0,1,1,81.43046424121422
11,23,4,11,0,0,0,0,72.2708718543588
22,15,3,20,0,0,1,0,77.99443852798599
28,24,3,14,0,0,1,0,79.45478999908111
24,27,4,13,0,0,1,0,80.27113936917513
17,22,4,20,1,1,0,1,83.15400951374887
28,22,2,11,0,1,0,1,77.36265016057133
27,24,5,14,1,1,0,1,81.83935291436465
18,21,7,15,0,0,0,0,78.26904791811177
24,22,9,21,1,0,0,0,85.87652400488038
33,16,6,18,1,1,1,0,81.63512328544604
34,23,6,16,0,1,0,0,82.1084680289103
18,25,3,12,1,1,0,1,80.48663311444007
26,27,5,11,1,1,1,0,79.43166753505976
33,21,6,21,1,0,0,1,88.59779590298766
39,19,7,15,1,0,1,1,82.69023731677535
7,20,5,24,1,1,0,0,84.68497862348744
18,20,4,15,1,0,0,0,75.92907401757236
31,22,6,14,1,1,0,0,80.74005853062857
18,22,4,11,0,0,1,1,75.81897211975891
31,25,4,11,0,0,0,1,79.28867991215813
10,30,1,14,0,1,0,0,80.03496932874548
18,26,2,22,0,0,0,0,85.35674275088763
15,23,8,15,1,1,1,1,83.2812330287899
35,30,7,19,1,0,1,1,90.1568790172357
33,24,7,12,1,0,0,0,78.06587557865846
33,24,7,16,0,0,0,1,83.40193903368545
24,23,4,22,0,1,0,1,88.43925602461782
23,27,7,8,0,1,0,1,78.3598438768518
32,23,5,15,0,0,1,1,82.69227388794926
33,23,7,26,0,0,0,1,90.15185789088392
18,25,5,15,0,0,1,1,82.74729907615468
15,24,6,9,1,0,0,0,72.66878614087959
41,20,4,4,1,0,0,0,70.24493053171943
27,22,9,20,1,0,0,0,83.71754082538986
21,19,4,14,1,0,1,0,78.0549786624792
16,29,1,12,0,0,0,1,78.41700821234367
17,28,7,16,0,0,0,1,85.61159102349043
58,25,2,16,0,1,0,0,84.35290791537794
21,24,1,20,1,1,1,0,84.705621543737
28,31,5,21,0,0,1,1,91.06257178903782
17,19,7,16,0,1,0,1,81.42153111639077
21,21,9,17,0,0,1,1,83.04500799666253
24,23,6,13,0,0,0,1,79.89144306386213
5,16,7,20,0,0,0,1,79.28067903757008
30,26,4,14,0,0,1,1,81.52419673117183
20,27,5,15,1,0,0,0,79.51742051587725
17,26,0,17,0,0,0,0,79.80758331029416
25,26,4,16,1,0,0,0,80.87288158147342
36,24,4,10,0,0,0,0,75.94633596279286
35,25,5,21,0,0,0,0,85.79286371424145
48,26,6,10,0,0,0,1,82.34629414341715
28,28,9,23,0,0,0,0,87.97244127538232
25,20,5,14,1,1,0,1,79.2423727426306
3,24,5,11,0,0,0,1,74.99375304519013
30,22,4,11,0,1,1,0,78.0838394401156
13,22,5,19,0,1,0,1,82.52301282196272
23,19,4,18,0,0,0,0,78.84174370762099
31,21,8,22,0,1,1,0,84.55635233426683
29,19,5,14,0,0,0,0,77.08050365370187
13,25,7,18,0,0,0,0,82.64838443082263
38,24,9,11,0,0,0,0,77.75484664356912
13,15,5,14,0,1,0,0,72.93655854575732
3,31,9,17,1,1,1,0,86.44137047153094
47,24,7,15,0,0,0,1,85.70536423734633
15,28,5,22,0,1,0,1,89.53722781006485
34,19,3,17,1,1,1,1,82.40915476710732
10,25,5,21,1,0,1,1,87.1626665541369
15,29,7,9,1,0,0,0,76.90011043145097
9,26,4,23,0,1,0,1,89.47003699308935
27,24,5,14,0,1,0,0,81.43425128049611
1,23,3,16,0,1,0,0,77.12927503400844
32,23,5,10,0,0,0,1,77.90038590661626
27,26,4,12,0,0,0,1,81.2750998478874
22,29,4,16,0,0,1,1,85.1831892878154
35,29,6,13,0,1,0,1,84.55640061411326
13,28,8,10,1,0,0,0,76.98482679344048
43,25,4,17,0,0,0,1,86.97895352029778
5,26,4,17,1,1,0,1,83.83609101904833
27,21,5,13,1,0,0,1,79.28416172341626
19,25,4,25,0,0,0,0,87.10259821735386
23,27,4,16,0,0,0,0,79.03175982190585
31,28,2,13,1,0,0,0,78.66405135296478
27,21,6,9,0,0,1,1,78.1401885045339
34,21,7,15,0,0,0,0,79.02396703803473
12,20,7,20,0,1,0,0,81.80862013960133
