education_years,age,previous_income,weekly_hours_worked,gender,union_membership,minority_status,local_unemployment_rate,training_intensity,annual_income
5,30,13,12,1,1,0,9,47,134.34992152057825
6,30,7,11,1,0,1,8,46,135.97642735298635
7,32,7,10,1,0,1,8,48,141.52654331861433
6,28,11,8,1,1,1,10,51,152.26411887809016
8,28,15,11,1,1,1,9,49,144.32925742902043
13,32,5,8,1,1,1,11,48,141.58519089989363
8,29,16,15,1,1,1,10,49,140.9285485379456
6,30,3,22,1,1,0,12,43,121.07630084500428
8,34,5,10,0,0,1,10,50,142.9317001594571
10,31,7,13,0,0,0,11,49,140.01030096114584
3,29,6,13,0,1,0,6,39,113.00703528078182
8,31,8,15,1,0,1,8,46,133.84868218301105
15,31,4,14,1,0,1,6,45,135.5396946427485
10,31,13,12,1,0,0,7,51,147.96198606967508
11,29,9,13,1,0,0,11,47,140.6683599536847
13,28,9,15,0,1,1,9,46,135.66813341238475
12,30,5,16,1,0,0,14,49,142.64521256560167
11,28,11,10,1,0,1,10,49,142.4979865941864
12,27,7,12,0,1,0,10,49,147.16380592520252
16,31,10,13,0,0,0,4,47,139.20387498228425
12,29,7,11,0,0,1,8,46,137.74595307683143
10,30,6,11,0,1,1,9,45,132.7151952107098
7,29,9,11,0,0,1,9,47,141.09006849816245
13,28,5,13,0,1,1,12,46,133.4371461955185
7,27,11,13,1,1,0,12,51,148.8113586912782
13,28,13,12,1,0,0,10,52,152.07313311930042
15,36,9,14,0,0,1,12,50,138.7878294137471
13,31,11,11,0,1,1,8,50,146.4735621239525
5,28,6,15,1,0,0,11,45,130.9662493477307
10,28,8,12,1,1,1,12,46,136.27702398484513
6,30,8,17,1,0,0,8,42,122.31331350994604
10,26,6,19,0,1,1,8,42,122.46851987663064
10,31,11,16,1,0,1,11,48,139.75940223760966
3,31,11,14,0,1,0,9,49,139.7437014628406
12,29,6,17,1,1,1,15,49,137.86558036805775
9,30,4,14,0,0,1,8,43,128.33717899630594
9,31,7,18,0,0,1,12,44,125.28804151465567
12,31,10,11,1,1,1,10,49,140.40290370978903
8,32,3,14,1,0,1,8,45,131.3564529204782
14,28,4,16,0,0,1,8,43,125.4103896110158
7,27,8,12,0,0,1,13,45,134.76210697023518
10,27,6,17,0,1,0,9,44,128.52156253254103
10,25,8,15,0,0,1,7,41,122.1398628812314
10,29,6,12,1,1,1,12,48,142.49264999985155
3,33,7,10,1,0,0,13,49,140.1053988189827
7,26,12,10,0,0,1,7,47,139.42897599754414
15,28,13,16,0,0,1,7,46,136.98696502944804
10,31,3,14,0,1,0,9,46,135.62775788261135
9,27,7,16,0,0,0,10,41,119.24125516483215
9,29,6,16,1,1,1,8,47,138.90614451465862
8,31,11,15,0,1,1,8,48,139.02377079003523
6,27,6,11,1,0,0,9,44,130.93398385727977
10,31,11,12,1,0,0,11,50,146.38291671590267
11,29,7,10,0,1,1,8,49,145.19622753484157
7,30,5,11,1,1,0,13,49,145.9480460197155
11,28,7,15,1,0,1,8,42,125.39870499575966
7,27,5,15,1,0,0,10,41,121.86041704457804
13,29,11,14,0,1,1,11,52,151.11108460656507
4,31,5,15,0,1,1,13,46,131.14507329418518
7,31,1,17,1,1,0,11,42,120.05520670730417
8,29,13,14,1,1,0,9,46,133.44859963384516
7,31,9,14,1,1,1,10,45,132.2913386381246
6,27,8,19,0,1,1,13,45,128.00395438574273
10,26,6,16,0,0,1,9,45,131.15542511931054
11,32,6,13,0,0,1,10,49,141.721107195441
11,31,9,15,1,1,1,7,46,133.94527845417406
13,28,2,15,1,1,1,10,43,128.11297844277078
11,30,5,18,1,0,0,10,48,139.58362654316124
11,33,3,12,1,1,1,12,46,131.832126280933
6,28,7,8,0,0,0,8,44,131.8819882753189
9,28,8,12,1,0,1,12,47,139.22438819651583
10,31,4,10,1,1,1,9,48,142.60577039345225
10,26,12,14,1,0,1,11,50,146.55134710828722
5,30,9,11,1,0,0,8,47,138.4721711096434
11,28,13,10,0,1,1,8,50,148.09281594677086
9,26,8,14,0,0,0,8,46,135.6742799421674
6,31,9,17,1,1,1,8,45,128.9966717641455
13,29,5,13,1,0,0,11,47,141.13325772793985
8,30,8,13,1,1,0,8,47,137.31621923931877
5,33,6,19,1,1,0,10,44,124.78220197292204
14,30,12,13,1,0,0,10,50,150.57112824992078
9,31,12,14,0,0,0,9,48,138.7490016499266
10,33,7,15,0,0,1,10,50,144.21473224956338
12,32,8,5,1,1,1,7,49,144.17937300433366
10,30,5,13,0,0,0,9,44,129.20835130844915
12,33,6,10,0,1,1,11,51,147.32486697337578
14,28,9,15,0,0,0,8,44,127.72565116074507
6,29,8,18,0,1,1,5,43,124.3939907235428
9,30,9,10,0,0,0,6,47,139.1104241686197
5,28,10,15,1,1,1,12,51,149.15661213382953
4,29,10,12,1,0,0,12,47,135.36786103601656
8,28,9,15,1,0,0,6,43,128.33650560056614
15,36,6,10,0,1,0,13,52,147.94014620281226
10,32,8,12,1,1,1,11,47,136.02223020404298
6,32,14,13,1,0,0,11,50,143.20110133708408
6,29,5,14,1,1,0,8,44,129.97166984264263
7,28,12,12,0,0,0,8,49,144.88081166741674
17,32,9,13,0,1,1,10,50,142.70996033000498
9,33,8,13,1,0,1,10,47,133.60007082465657
12,27,15,13,1,1,0,8,50,146.52874842992438
9,31,7,15,1,0,1,11,46,133.77112888114362
10,30,7,11,0,0,0,6,45,133.97576697845918
6,30,4,14,1,0,1,10,45,134.24580587218824
1,30,8,16,0,1,1,15,48,134.7609449550341
7,28,3,15,1,1,1,11,45,136.06127954995986
8,26,5,11,1,1,1,8,44,134.60441601563957
11,23,10,14,0,0,1,9,49,144.8277105109378
13,25,7,17,0,1,0,8,45,133.90277668055393
3,30,8,17,1,1,1,9,47,137.35970545701448
10,24,7,18,1,0,1,11,44,129.39695516493524
15,33,13,18,1,0,0,9,52,149.94489370819167
5,32,8,12,0,1,0,6,46,132.9646062477511
5,29,3,10,0,0,1,9,44,132.12421291989412
12,28,5,13,1,0,0,12,46,136.02472258572013
12,30,0,14,0,1,1,9,45,133.28775985995276
8,29,2,9,0,1,1,9,44,131.98155804396302
5,28,7,13,0,0,1,6,43,125.08142388332648
10,26,15,15,1,1,1,8,47,137.08124680648152
12,28,7,15,0,0,1,13,47,136.42491210533348
8,28,7,15,1,0,1,6,43,128.34521357469362
7,29,8,18,0,0,0,9,45,130.97681303269692
8,34,11,11,0,0,1,8,53,153.90296698721903
10,32,8,18,0,0,1,10,47,133.10936658146733
6,32,5,15,1,0,0,8,43,126.54005713593348
11,29,7,13,1,0,1,11,49,147.3936455103321
9,31,10,15,1,1,0,9,47,134.65233178017357
8,27,7,14,1,0,0,11,45,133.62523497378484
12,29,8,11,0,0,0,11,49,142.8042931468273
8,27,7,10,0,0,0,7,45,133.84451691501712
6,32,6,17,1,0,1,7,42,119.95530864660968
15,31,9,14,0,1,1,12,49,140.08432451814082
14,33,5,16,1,1,1,9,47,135.77944069762663
5,27,3,12,0,0,0,10,44,132.52718026270182
10,29,4,12,0,0,0,6,43,127.31085824548924
9,25,7,12,1,1,1,7,47,141.90427660489738
10,24,4,14,0,1,0,10,43,130.37851058758167
12,28,7,14,0,0,0,15,49,140.34158265780533
11,28,9,17,0,1,0,4,43,127.48178297756854
6,27,10,14,0,1,0,6,42,123.79709671917718
5,27,11,12,0,0,0,7,47,139.520120381325
10,34,2,13,0,0,0,8,44,127.98036962427432
15,30,6,13,0,1,0,9,47,139.91392588121997
11,30,8,13,0,0,1,10,49,143.05836100369095
13,28,8,11,1,1,1,10,49,144.41461730674706
8,31,5,10,1,0,0,9,46,135.95568867205756
8,32,8,12,0,1,1,7,50,144.69759465230266
10,30,7,11,1,1,0,15,52,153.59820113843386
7,30,7,11,1,1,0,11,48,142.525262611505
11,30,10,14,1,1,0,10,49,142.6374558761575
7,28,16,15,1,0,0,13,51,148.56237536476752
7,31,4,16,1,0,0,11,43,125.69454253617452
14,32,10,7,1,1,0,12,56,164.07532944779302
8,29,7,12,1,1,0,13,50,148.55377248629952
8,33,8,14,1,1,1,12,50,141.8006708975289
9,31,4,12,1,1,0,7,47,137.6521519328268
10,31,8,11,0,0,1,11,49,143.2963011222137
13,28,6,11,1,1,0,12,50,146.29018925626033
8,33,2,8,0,1,0,10,46,136.2621351147948
7,28,10,16,0,1,1,7,47,138.67302178568494
6,30,7,13,0,1,0,8,45,131.0631680641484
11,26,5,16,1,1,0,9,45,133.09149271098218
10,28,6,16,0,0,0,12,44,126.32026034934472
10,26,7,15,0,0,1,12,47,139.90642221903778
6,30,10,14,1,1,1,6,46,131.8753060205186
11,33,13,11,1,1,0,7,48,136.7716374583836
10,29,14,13,0,1,0,9,49,143.7976095015713
13,33,4,16,1,1,1,8,45,130.61006645930513
9,33,5,10,1,1,0,11,49,143.56357014400524
9,31,6,14,0,0,1,13,49,139.8747266405646
14,30,9,20,1,0,0,6,47,136.59688350840477
9,36,4,15,0,1,1,9,45,124.65625830535194
5,31,9,13,1,0,1,9,47,135.38643544584866
11,28,10,16,1,0,1,8,47,138.04941365785524
9,32,5,13,0,0,0,11,47,137.51799562164064
4,30,9,13,0,0,0,5,44,128.83170695116948
7,29,6,18,0,0,0,8,43,126.93280498591608
10,29,15,20,0,0,0,11,48,138.03253170414186
6,30,8,14,0,1,0,9,46,133.14711922757982
6,32,7,12,0,0,1,8,46,137.00818229570723
10,28,11,21,1,1,1,8,45,129.44335365020697
4,30,12,15,1,1,0,9,49,141.2737165031622
7,31,8,17,0,0,1,14,47,134.03590407322773
6,31,2,15,0,1,0,11,44,126.25486746847795
8,32,2,12,0,0,0,10,45,132.13914842888454
9,29,6,11,1,1,1,8,46,136.1630613078147
13,28,4,12,1,1,1,10,47,137.48479931106553
12,32,2,16,0,0,1,12,44,129.0485128057535
11,30,7,13,0,1,1,8,46,134.65027039378973
8,31,13,16,1,1,0,8,49,139.72269295593227
13,27,7,15,0,1,0,7,45,132.64929979177654
6,31,5,12,0,0,1,8,45,129.67229951786047
11,28,7,13,1,0,0,10,49,149.41770386178956
7,30,4,20,0,1,1,8,41,115.82517629136262
9,31,11,14,1,1,1,11,52,148.17806288539717
10,31,10,18,0,1,1,10,50,141.07014315618378
11,32,4,13,0,0,1,9,46,134.469461610492
13,33,10,21,1,1,0,6,45,125.32083980763244
9,33,8,12,1,1,1,12,51,145.11594250440578
13,30,9,17,1,1,1,9,48,137.97003093196318
8,33,7,14,1,1,1,11,50,141.81997682498402
8,30,7,15,1,1,0,7,48,141.61856185708805
10,30,7,12,1,0,0,5,43,130.1809678983959
9,23,6,12,0,1,1,12,47,140.736113490912
6,29,10,15,0,0,1,8,46,133.23351775636
10,27,12,12,0,0,0,12,51,150.3171609491432
7,29,0,16,1,1,0,11,42,122.40480643525385
9,31,9,13,1,0,0,7,47,138.77060513516992
8,28,8,13,0,0,0,9,46,136.09052172933883
8,19,3,10,0,0,0,10,44,135.81023286437986
10,29,8,15,1,1,1,7,46,133.856950214876
8,24,14,15,1,1,1,12,49,142.1524225358898
8,29,5,11,1,1,0,10,48,142.15311821060178
5,30,8,15,1,0,0,15,47,135.10083490365386
11,29,4,14,1,0,0,9,43,129.6318710265914
6,31,4,14,0,1,1,12,44,126.19527942374395
9,27,8,16,0,0,1,13,47,136.40856710688124
2,30,10,11,1,1,0,9,50,147.29053179222976
15,32,3,16,0,0,0,12,47,135.4843575794717
8,33,6,13,0,0,0,11,50,143.13007583220215
10,29,4,15,0,1,0,8,44,130.3905002478897
10,29,9,16,1,1,1,12,49,142.82648228574072
13,29,13,12,1,1,0,15,53,154.0443261831083
11,35,10,21,1,1,1,7,45,122.73833926507264
7,27,7,15,0,1,0,6,43,128.1835498708004
11,28,12,15,1,0,0,7,49,144.40825912362777
10,29,13,13,1,1,0,9,47,136.17469144774736
10,31,9,12,1,0,0,7,46,132.98876294110116
11,28,5,16,0,0,1,10,45,130.89994811397463
12,28,6,16,0,0,1,12,47,139.01795977394488
8,29,6,10,1,0,0,9,44,129.49710912668291
6,27,8,13,1,1,1,10,45,134.29537333669938
7,29,1,12,1,0,1,8,44,133.74869407915045
12,26,9,18,1,0,1,9,44,128.43871417238694
7,30,5,18,0,1,1,10,43,127.0209313518738
12,25,8,19,1,1,1,12,44,131.725808765567
11,29,11,9,1,0,1,11,51,150.70891940794854
10,27,5,9,1,1,0,11,48,144.21766726485967
10,31,8,13,1,0,1,11,49,141.56861519454537
8,30,6,9,0,0,0,11,47,139.34481964350613
15,33,2,12,0,0,1,10,45,131.4380362780165
6,29,8,19,1,0,0,11,46,133.22887388234648
6,25,0,13,0,1,1,11,43,127.800852388439
11,31,9,12,1,1,1,13,52,151.06037703758875
8,28,8,14,1,1,0,11,46,134.08906165866944
11,30,8,16,0,0,1,9,47,136.48755424179606
7,25,10,14,1,1,0,7,45,135.86661309326192
9,26,9,15,0,1,1,13,46,134.92803286847447
10,30,5,16,0,1,1,7,44,126.83592536965732
10,29,9,19,1,0,1,9,44,127.65085244667496
6,27,12,9,1,1,0,6,48,143.65762629329924
15,30,10,17,0,1,0,8,49,144.59678010027977
8,28,8,17,0,1,1,12,46,133.68440108368307
14,32,7,10,0,1,1,8,47,139.71880588441073
10,33,5,19,1,1,0,10,46,133.54218082683192
14,30,2,13,1,1,1,10,45,135.14077560076188
12,30,2,15,1,0,1,9,44,128.3042347557192
8,26,14,13,0,0,1,10,47,136.59435927571707
9,29,10,13,1,1,0,12,52,152.15294226907062
10,27,2,17,1,0,1,11,43,127.761581566378
9,31,8,11,1,1,0,8,45,134.79748727636328
14,30,6,16,1,0,0,10,49,144.6047691651702
8,25,7,14,1,0,0,12,46,135.89660678482565
10,32,9,15,0,0,1,7,47,135.51535228079163
12,27,1,12,1,1,0,8,45,135.9126330757763
7,31,10,15,0,1,1,7,45,129.12365049080012
9,34,2,16,1,1,1,10,45,129.82829325049076
13,28,6,17,1,1,0,10,47,135.4653023602038
7,29,2,16,0,1,0,11,43,125.08230382236732
7,30,5,13,0,0,0,11,43,124.8328764818585
8,33,12,14,1,1,1,10,49,139.3391003251226
8,27,6,16,1,1,0,9,46,137.38869772835275
8,29,11,14,1,0,0,7,47,141.00045553556933
9,33,6,8,0,1,1,11,49,141.82749221460344
15,29,10,15,1,0,1,10,50,145.4095140775933
10,31,7,11,1,1,1,10,51,147.48608524281758
10,32,9,13,1,0,1,10,50,145.27214739250925
14,31,9,16,0,1,0,10,49,141.5066268452479
10,29,8,15,1,1,1,11,47,135.46688083548705
10,29,11,18,1,1,0,7,49,144.1147376728671
12,30,4,13,0,1,1,12,47,137.9523041248631
4,32,11,14,1,1,0,7,50,144.98168244497427
11,33,6,11,0,0,0,8,47,136.61766619310208
7,31,4,14,1,0,1,9,45,131.56231113303022
7,31,7,11,0,1,0,9,47,136.28178648794554
12,32,9,12,1,1,0,13,53,152.1884815420254
7,30,6,13,0,1,1,11,48,139.2508576109976
6,31,13,16,0,0,1,6,47,133.85097696591706
11,26,7,15,1,1,0,11,46,137.29850897226385
8,29,5,15,1,1,0,9,46,135.7536755850451
7,29,12,15,0,0,0,11,49,141.81971873276893
10,29,7,14,1,0,0,10,49,146.9951602423524
7,31,3,13,1,0,0,12,44,128.5503136677307
17,26,-1,13,1,0,0,9,43,132.6684757267056
9,31,9,13,0,0,1,12,47,136.98673273393362
10,31,9,8,1,1,0,12,53,155.512819347271
8,30,10,14,1,1,0,12,50,143.03297201824722
11,26,8,13,0,1,1,5,46,140.55603064871298
10,29,11,14,1,1,1,13,47,135.6561257027107
4,27,13,10,0,1,0,12,50,146.86393274344493
4,30,5,13,1,1,0,8,44,128.59339083202917
9,28,6,15,1,0,0,8,43,126.53866298267552
8,28,7,19,1,1,1,9,43,124.40224705411735
6,28,3,12,1,0,0,11,45,132.91099479627604
7,29,9,12,1,1,0,8,47,136.56991369908502
9,28,9,13,1,1,1,8,46,136.32770973232664
13,28,4,8,1,1,0,12,50,150.14964652221917
5,29,2,18,0,1,1,8,42,121.98352820072483
12,30,4,13,1,1,0,9,46,134.6115032092696
8,29,6,11,1,1,1,10,44,129.00760309312105
6,29,7,11,1,0,1,8,46,136.6134412985413
11,31,10,11,1,0,0,9,47,136.58591779421556
13,30,7,15,1,0,1,6,47,140.1865162883174
9,34,7,12,0,0,0,13,48,137.53300372047826
11,31,3,12,0,0,0,8,46,137.0100558703337
10,31,12,13,0,1,0,8,50,142.82314462196064
7,28,7,12,0,1,1,9,45,133.6734209302017
12,32,6,14,1,1,0,6,46,134.05164942503043
7,31,6,18,1,0,0,11,46,133.343787074989
17,32,7,15,1,0,1,10,49,142.68418640357646
12,26,13,11,0,1,1,10,48,141.02603756831317
12,30,10,19,0,0,0,7,45,129.7000587815179
3,30,4,17,0,1,0,10,42,123.00789887980524
6,33,9,16,0,1,1,13,49,135.40904724115748
11,25,11,16,1,0,1,9,47,137.34909011922014
4,30,10,16,1,0,1,7,44,125.96390101931176
8,30,6,20,0,1,0,11,44,123.83830923286934
15,26,9,16,1,1,1,9,47,139.285233985351
7,27,16,13,0,0,0,12,52,151.55677620823568
14,29,8,13,1,1,0,8,51,148.6364359580035
12,29,12,14,0,0,1,7,48,140.14505707155854
14,30,9,13,0,0,1,8,46,136.37496860315628
14,29,12,18,1,1,0,11,49,139.84768347262886
13,28,3,15,0,1,0,11,44,130.49010423495923
8,31,12,14,1,0,1,7,48,140.36262185500448
12,27,11,10,1,1,0,7,47,141.32736230595248
13,30,4,8,1,0,0,8,47,142.09713372103468
8,29,4,12,1,0,1,10,49,144.3291033605498
5,31,9,16,0,1,1,9,45,126.2306140626268
11,30,7,11,1,0,0,8,44,127.98014640064696
11,29,8,16,1,1,1,13,47,135.3522454671454
11,28,10,18,0,1,0,8,44,128.33275253697755
13,30,11,17,0,0,0,9,48,139.80277958585663
9,31,5,11,1,0,0,10,47,137.30428497221092
11,30,8,11,1,1,1,9,50,146.93738158917378
9,30,0,13,1,0,0,13,45,132.72765587800612
15,32,5,10,1,0,1,11,50,146.6776348644192
8,29,11,11,0,1,0,8,49,145.75129898440667
11,26,5,8,0,1,0,10,47,143.3037226443515
6,27,3,10,1,1,1,10,44,133.13016140293757
12,31,4,18,0,0,0,10,44,129.70000120694408
2,30,11,18,0,0,1,13,46,131.33135061680431
7,33,5,16,1,0,1,12,47,136.06381731151475
11,27,3,9,0,1,1,10,45,135.51208923160263
3,27,4,14,1,0,1,8,42,125.697919250671
9,32,2,11,1,1,0,11,46,135.17484566416462
14,30,4,15,0,1,0,12,47,135.41178750214922
10,24,5,16,1,0,0,8,43,133.2890711805132
12,30,6,7,1,1,1,6,47,139.94537268673673
8,27,6,15,0,1,1,11,44,129.04102373874434
12,30,7,14,1,1,0,9,45,132.46875308891094
10,29,11,14,0,1,0,13,52,149.21759481648652
5,30,8,12,1,0,0,10,45,128.19602474953223
12,29,4,15,0,1,0,11,45,128.1524511724214
9,30,9,13,1,1,1,7,47,136.2729808411487
14,32,10,10,0,1,0,12,55,161.8416519211415
9,29,6,14,0,1,1,5,43,128.1414818402858
11,31,10,11,1,1,0,8,49,142.67734234583298
9,28,7,16,0,1,1,11,46,133.74465189808024
12,28,11,12,1,1,1,10,50,149.3131062286963
6,29,5,16,0,1,0,9,41,117.79882610945565
12,29,12,12,0,1,1,10,51,148.85571219782767
8,26,1,11,1,0,1,11,44,132.1372960078746
4,30,8,11,1,1,0,11,46,136.16076595986365
10,29,3,15,1,0,1,13,43,124.99907467846344
12,29,5,9,1,1,0,12,49,148.55330270806516
10,31,2,12,1,0,0,14,49,142.34337706283563
10,28,7,18,1,1,1,12,44,128.83850820235523
8,32,10,16,0,0,1,10,46,131.7084226888418
8,32,4,9,1,0,0,12,49,144.83975345127254
13,26,15,13,0,1,0,12,51,150.51805153613074
7,30,9,13,1,0,1,12,50,145.22939121396968
9,27,4,12,0,0,1,10,44,130.06094831810535
13,29,12,15,0,0,1,8,50,147.05755354854793
7,32,11,16,1,1,1,11,49,138.71203460241756
16,29,3,8,1,1,1,9,48,144.7035565062034
13,32,9,11,0,1,1,11,50,146.42788997892768
8,32,8,15,1,0,1,10,47,138.01638099730565
9,30,3,18,1,0,0,6,42,123.89127435915528
16,26,0,17,1,0,1,10,43,127.1883822746187
6,29,9,17,1,1,1,11,45,131.74963186861316
7,29,8,15,1,1,1,10,47,134.22179524681616
10,26,16,12,1,1,1,7,48,139.21913914887588
7,31,6,17,1,0,1,10,47,139.1362526368479
8,34,9,13,0,0,0,10,48,135.3385676286712
9,32,8,11,1,0,1,15,51,148.50229805240002
9,22,13,11,1,1,1,7,47,143.55969504231192
13,35,7,14,1,1,0,8,50,145.489199361791
3,27,5,17,0,0,1,10,40,115.66930033179014
9,32,10,12,0,1,1,9,47,133.393376120769
9,29,7,15,0,1,0,7,46,134.36385892854932
4,31,9,14,1,0,1,7,46,134.88249842054347
7,25,3,10,1,0,1,7,43,130.2224746266793
10,26,11,11,0,0,1,12,50,147.83136788326513
10,27,8,13,0,1,1,11,47,140.4472810047523
14,31,7,13,1,0,1,8,49,142.73584018114272
12,29,7,15,0,0,0,6,45,132.4298662426839
3,28,6,8,1,0,1,7,46,136.63703156923765
4,29,6,12,0,1,0,9,47,137.98684387452954
10,30,14,13,1,1,1,8,51,147.03447701861367
8,26,2,15,1,1,1,10,42,123.91958690073122
7,29,8,17,0,0,0,12,46,132.99297618122313
8,32,5,17,1,0,1,8,44,129.39562088354998
11,33,8,14,0,0,1,7,46,132.6134689019574
5,34,10,12,0,0,1,11,50,143.3161173578871
8,31,8,14,1,1,0,14,50,141.59343805279835
11,29,11,15,1,1,0,10,49,142.7268989073876
13,30,8,13,1,1,1,14,51,146.71052268528248
4,26,11,14,0,0,0,12,47,137.4098043063305
14,30,5,14,0,1,1,7,46,136.19221265769505
10,26,7,19,0,1,0,11,44,128.14297676802687
11,27,9,11,0,1,0,10,46,139.598156256281
11,31,8,11,0,0,1,11,51,152.03601600115528
7,29,5,12,0,1,1,9,45,131.69921946855206
9,27,6,11,1,1,1,15,47,137.81739035370268
9,30,11,14,0,1,0,11,47,136.9763586836546
11,30,9,14,0,0,1,10,46,132.11372529370675
7,33,4,11,1,0,1,8,43,128.34932101618335
4,31,7,11,1,1,1,9,48,139.4954815560329
8,28,10,17,0,0,0,11,43,121.5374580439277
10,33,2,11,1,1,0,15,48,139.06851977876596
10,34,9,16,1,0,0,10,50,144.19533819549167
7,29,9,12,1,1,1,11,49,141.64786578268172
8,30,6,14,1,1,0,9,46,133.2711477723481
10,25,9,14,1,0,1,8,46,138.40352419553102
12,28,4,15,1,1,1,8,46,134.69227558576142
10,28,8,18,0,1,1,9,45,130.82043642754178
12,29,9,13,1,0,1,9,49,146.37318732367035
10,28,4,15,0,1,0,11,44,130.593213641426
12,27,7,16,1,1,0,11,46,135.33057071736044
17,31,9,18,0,1,0,10,49,140.3085342284663
13,26,7,13,1,0,0,8,47,141.6869393128705
8,27,8,16,1,0,0,8,45,133.49814416563154
3,31,8,16,1,1,1,10,45,128.07666393826258
12,27,9,12,0,0,0,7,47,136.65740470194635
9,31,6,14,1,1,0,9,46,132.3660072829526
10,28,13,14,0,1,1,10,47,139.23943196948375
10,27,6,9,1,0,1,9,47,142.2305030986473
7,30,3,10,1,1,1,10,46,137.3474637978326
12,28,11,16,0,1,1,11,47,132.92123206351056
10,24,9,14,1,1,0,12,45,135.80180973608338
12,28,7,14,0,1,1,8,44,128.56487896881185
11,23,12,16,1,0,1,7,44,130.2122575006727
6,32,8,12,0,0,1,8,45,131.38848363968614
17,29,11,16,1,0,1,11,49,141.8516598201499
13,29,12,12,1,0,0,13,53,156.15466487666595
8,28,8,17,1,0,0,11,48,141.69571042770778
7,26,9,14,1,1,1,10,48,140.9338563874329
7,28,3,13,0,0,1,13,43,121.43354409060515
12,26,10,12,0,0,1,12,52,154.5354210660455
9,29,9,12,1,0,1,13,49,144.15873758078615
11,31,9,14,0,1,1,5,47,135.37714800749683
5,27,7,13,0,1,1,9,46,135.78096578880505
10,31,3,11,1,0,1,9,46,136.65429688210114
11,27,4,16,1,1,1,13,45,130.59910023015408
10,29,7,8,1,1,1,11,50,149.4141166785072
3,28,13,15,0,0,1,7,44,128.29775269485165
