student_socioeconomic_status,school_quality_index,parent_education_level,average_classroom_size,gender,ethnic_minority_status,proximity_to_tutoring_center,participation_in_tutoring_program,student_academic_achievement_score
6,30,7,10,1,0,10,51,136.01667060508507
12,30,13,17,0,1,13,57,150.289526566181
14,29,8,15,0,0,10,55,143.95486408207236
14,33,9,16,0,1,13,59,150.99815589782307
8,33,14,16,0,1,9,56,149.21827126732668
11,26,9,13,1,1,12,54,144.3150761164674
10,33,7,13,1,0,12,57,149.28110614817177
10,28,11,18,0,0,9,54,141.05033486704812
9,29,7,12,0,1,10,53,143.3913060260715
13,29,8,11,1,0,13,55,150.4474589324053
8,35,13,21,0,0,10,57,141.8778674082301
10,28,8,6,0,0,7,45,132.04967404507045
7,29,5,17,1,0,8,57,143.78244103051227
7,31,7,12,0,1,8,53,143.9645234231437
12,29,7,12,0,0,13,57,149.40987694656022
8,28,9,12,0,0,12,52,142.71440174783743
7,31,7,10,0,0,11,54,144.08705125182206
7,26,12,16,1,0,10,51,139.21613993713035
9,24,13,14,0,0,10,49,135.00697356842403
11,29,9,15,1,0,14,55,142.0847303565755
13,28,13,12,0,1,9,50,143.16461315793077
14,28,8,13,1,0,8,54,144.5053950107851
6,28,9,15,1,0,10,52,136.38419897311104
12,29,5,14,0,0,9,56,144.3194338760982
5,26,4,15,1,1,11,59,149.16067197144164
8,26,5,16,1,1,11,57,144.95286086467706
16,33,10,13,0,0,13,59,156.44900836478064
8,27,10,15,0,0,11,54,141.27265068134733
7,26,9,12,0,0,10,51,134.86219856131967
11,29,8,11,0,0,9,54,144.23758308089214
12,29,9,14,1,1,14,58,153.5984725379351
8,27,6,11,1,1,9,54,146.39798354725644
11,31,13,15,0,0,10,54,144.00724160139492
4,32,14,15,0,0,12,48,130.76656740119765
10,32,8,12,0,1,11,53,141.9979151447562
13,30,9,16,0,0,11,58,152.41851786225888
6,29,10,9,1,0,14,51,143.06417874282815
11,28,8,13,1,0,12,55,147.3604521251086
11,28,11,18,0,0,9,57,147.5237489377155
8,29,3,13,0,1,11,60,153.0143157712767
11,32,6,10,1,1,10,54,147.73630811134103
12,32,9,19,0,1,6,59,151.18967035578578
8,28,6,12,0,0,13,53,139.143894836293
7,27,11,15,0,0,9,49,132.1502723903362
7,29,3,14,0,0,10,57,144.6156727023119
10,33,8,10,1,1,6,53,148.84016052196685
11,30,12,12,1,0,11,51,142.5740165874366
13,28,11,12,1,1,10,54,149.69648084424267
12,30,4,14,0,0,9,60,154.05509900117156
9,32,2,12,1,1,9,55,140.8724975786887
7,31,8,15,0,1,12,58,147.63524633171957
9,30,11,14,0,1,10,53,144.12663049635108
12,29,8,17,0,1,10,63,160.966817174228
15,27,4,16,0,0,15,63,159.39325733471023
9,31,3,12,0,1,11,59,151.54000403420687
7,32,11,9,0,0,10,47,129.2875306072797
9,32,6,13,0,0,10,56,144.7589915434531
9,32,11,8,0,0,8,48,136.4829445675798
12,33,7,15,1,1,10,60,158.61948837084623
5,30,4,14,1,0,12,56,143.56849724418348
10,28,12,10,1,1,12,53,147.37706289919578
8,29,5,12,0,0,11,53,139.20563637479827
13,26,7,14,0,0,10,56,147.75674946699408
10,33,0,12,0,0,9,58,145.57470797220492
11,30,5,11,0,0,13,57,150.89805687069435
10,29,3,11,0,0,7,53,137.43248194552916
10,29,3,14,1,0,13,60,153.39711655447897
13,26,6,12,1,1,12,57,150.68871879612846
12,29,4,16,0,1,12,63,160.39355486980932
13,30,7,15,0,0,10,58,150.72881370753691
5,25,4,15,0,0,11,57,142.75839946253566
8,29,4,15,0,1,8,56,144.05489099048307
6,33,12,19,0,1,12,59,150.56935432946597
8,32,10,16,0,0,10,54,143.63188325843822
8,27,-1,11,0,0,17,61,151.41871918254805
9,28,4,11,1,0,10,57,152.91542182675065
16,27,12,15,1,0,10,55,153.5490147228574
8,29,8,15,1,1,9,55,142.94034142689745
10,28,4,13,0,1,10,59,149.17294450249435
9,32,5,16,1,0,13,62,158.40136200787956
12,28,8,14,0,0,12,56,148.01536059515306
7,32,0,14,0,1,11,61,148.50187916091156
2,30,5,15,1,0,13,54,137.11951437202637
6,34,5,12,1,0,12,55,145.02911234140967
10,33,12,12,1,0,14,54,147.71498897924502
6,32,11,15,0,0,10,53,141.4331454977412
13,31,6,9,0,0,10,53,147.37564507140695
1,28,8,16,1,0,11,53,138.43246770399043
8,27,8,12,0,0,13,53,141.95459188557734
10,30,13,17,1,1,14,57,150.53918168143085
10,29,7,17,1,1,10,60,150.1862964706012
7,34,8,12,1,0,8,51,136.2605041453103
11,33,8,5,0,0,7,47,138.7958104482509
8,31,9,11,0,0,9,51,138.94352079740028
9,30,10,14,0,1,8,53,141.55796608268082
8,30,2,10,0,1,11,57,147.45158254191463
13,29,8,8,0,0,14,52,144.90430955968785
12,27,15,11,1,0,9,46,133.02073280651604
5,30,10,11,1,0,12,49,136.02358243988948
11,31,11,16,0,1,9,58,151.48290307859153
6,33,1,15,1,0,14,60,149.00571733578084
10,27,9,10,0,1,12,51,142.92749077702996
8,30,9,16,0,0,11,56,143.03020065810873
10,30,7,13,0,0,12,54,142.82576520194712
7,27,2,15,0,1,12,60,149.78201921638578
9,33,10,7,0,1,12,50,141.1177186530191
9,31,9,16,0,0,6,56,148.0288525586323
10,29,5,7,0,1,11,53,146.20776554170104
9,34,7,9,0,1,10,56,153.34995883102067
12,35,7,14,0,0,6,58,153.21762241243076
10,29,4,17,1,1,12,62,152.96252011683617
13,30,5,8,1,1,9,53,147.19472939446536
10,29,13,13,1,1,10,51,143.55335420584828
11,30,8,16,0,0,12,60,152.90612063552987
9,30,5,10,0,0,7,53,140.20103244787805
11,30,5,14,0,0,13,58,148.10284300008868
10,25,10,17,0,1,8,56,147.95553334381546
13,29,6,12,0,0,11,56,147.0076520211194
6,29,10,12,0,0,11,49,131.08921230289738
13,30,11,15,0,0,9,55,146.9250548761256
10,28,5,16,1,1,12,59,148.18346364713037
10,28,8,11,1,0,7,48,132.95119908824566
10,28,8,13,0,1,8,53,142.94726382223988
10,29,9,14,0,1,9,55,142.7793023822482
8,30,8,11,1,0,9,53,145.43369152304626
8,28,9,11,0,0,13,52,140.61055681908948
9,33,3,14,1,1,11,60,152.1968706680439
13,31,5,15,1,1,11,60,154.54999311605445
7,31,8,12,0,1,8,54,142.63104503016598
8,32,6,16,1,1,11,59,152.99485618886163
13,32,10,12,0,0,13,57,155.39063767724625
9,32,4,11,0,0,8,55,146.2647439505238
12,32,11,14,0,0,7,56,149.57933996750833
7,29,10,15,1,1,10,53,139.8908519605465
13,28,8,18,1,0,12,60,152.0754304197023
12,30,2,12,1,1,11,59,150.0458028571131
13,29,5,14,0,0,14,61,155.4661312891423
5,31,10,13,1,1,11,50,137.3678008671189
8,29,10,12,0,1,8,51,141.39158355573207
10,30,6,16,1,0,10,56,142.07668272363512
5,30,8,10,0,0,13,50,133.25772287340047
14,31,7,12,1,0,11,57,155.38645957666566
9,27,4,12,0,0,10,55,141.6431428513901
7,29,3,13,1,1,9,57,148.37215596886122
10,26,6,14,1,1,8,54,143.64575195816747
5,28,9,15,1,0,6,51,136.9818340933511
13,27,10,15,1,1,8,56,153.04761068736323
12,25,12,12,0,0,12,50,140.72812144705844
13,29,8,15,1,0,12,57,146.77468661203224
6,29,5,14,1,1,10,55,142.7132729157932
12,29,8,16,0,0,13,61,157.49473794426112
13,31,4,10,0,0,9,57,150.7369836726878
6,32,11,15,1,0,9,51,136.55814535179286
11,30,13,9,0,0,10,47,135.6166095755074
12,32,7,14,1,1,6,53,141.30634134613237
7,31,7,15,0,1,10,55,143.692059201645
10,29,8,17,1,1,8,58,150.43723364742172
13,30,6,15,0,0,9,56,143.70174195485387
10,29,10,14,1,0,8,52,144.40817560139948
7,33,9,8,1,0,9,48,133.79309684319898
11,32,13,13,0,1,11,54,146.76250352648313
4,32,1,13,1,1,14,60,151.12944351100776
10,25,7,14,1,0,11,53,139.03212917476685
12,27,7,11,1,0,9,52,143.06519175534532
5,26,7,15,0,1,12,56,145.40612924673903
8,29,12,19,1,1,10,55,143.5058164852418
12,29,9,12,1,0,13,53,144.80077255964588
8,33,10,17,0,0,12,56,143.14228017095735
7,28,8,13,0,0,8,52,139.20238166154502
8,30,10,16,0,1,11,58,150.87483801131953
7,31,6,17,1,1,6,58,146.00193410472966
11,29,5,13,1,1,13,57,147.45537421820265
7,30,10,15,0,0,10,56,147.0862781775054
14,28,10,10,1,1,9,55,153.49751534280628
9,29,8,13,0,0,9,54,142.01888669633743
9,28,7,13,0,0,12,54,142.3851325622685
3,28,10,14,1,1,12,53,141.8063644314864
8,28,7,10,0,0,8,52,140.40164139603883
10,28,6,13,0,1,9,56,145.0287497402212
11,28,7,15,1,0,10,57,148.87535139221902
8,28,10,12,0,0,8,49,135.19084057707633
7,32,4,8,0,1,10,53,143.90080323032225
1,29,9,13,1,0,10,51,135.70203086959123
12,27,5,11,0,1,9,55,149.1696764736285
10,27,8,20,0,1,14,62,151.48927534652043
11,32,7,11,0,0,12,56,150.19275962003107
9,30,3,15,0,1,15,63,154.72593034773436
8,25,6,19,1,1,9,59,145.95996806469367
11,29,8,20,1,1,8,58,146.2506049110494
7,31,7,11,0,1,10,53,141.53315674867935
6,32,11,14,1,0,10,51,136.8870471386512
7,34,10,13,0,0,11,55,146.28132880754603
9,30,10,14,1,1,8,53,140.8016723629247
8,30,6,13,0,0,12,57,147.71252893562485
11,30,8,11,1,0,10,55,151.45069263441496
8,30,7,14,0,0,11,55,143.48633167856613
4,28,2,18,0,0,14,62,147.03551682818625
14,27,9,12,0,1,13,59,158.53272368165824
6,32,7,15,0,0,14,58,146.78884194194254
5,26,11,12,0,0,11,45,124.17434983355103
13,29,7,12,1,1,14,60,158.4022620771774
12,32,1,16,1,0,11,61,149.01602988653443
12,31,1,10,0,1,13,62,160.65622924677692
8,28,7,12,0,1,9,51,135.8224044807274
15,29,8,13,0,1,13,61,160.14994774969196
6,26,9,14,0,0,10,52,140.20939024905283
13,30,10,14,0,0,7,56,149.8017032153264
10,32,6,18,0,1,11,61,149.79364338119976
11,32,9,12,1,0,12,52,140.91563999591202
8,32,9,10,0,1,8,52,144.42300344043016
9,28,6,13,1,0,11,53,138.1110094605944
13,25,6,17,1,1,5,57,147.55192657677318
12,28,8,15,0,0,10,58,150.14182217354997
9,28,6,12,1,1,10,55,148.232380278871
12,27,9,12,0,1,10,52,138.89535391113523
6,30,7,13,0,0,7,52,137.15180408993837
14,29,12,13,1,0,11,52,144.6726640145899
7,31,9,17,1,1,10,57,143.94743044028323
6,28,9,11,0,0,13,52,139.60979091761607
13,29,9,14,1,1,10,56,147.17821979175622
12,24,8,12,1,1,9,53,146.36546623535577
12,28,14,15,0,0,11,53,147.53971240916596
12,31,13,12,0,0,9,50,141.27093966700815
12,27,11,17,0,0,13,58,148.48348012389522
10,31,7,18,1,1,10,60,153.82056953594065
9,30,3,11,1,0,9,54,141.1437166320409
11,33,11,12,1,0,9,50,140.59919605246645
9,28,7,19,1,0,10,57,141.641035455947
7,27,6,17,1,0,11,55,139.57961290250387
8,26,7,10,0,1,10,53,144.05839134986385
10,31,2,9,0,0,9,54,143.07010338821567
5,29,12,13,0,1,11,53,142.4791382046449
14,26,6,10,0,1,7,55,149.29824111194452
4,31,5,15,1,0,10,56,141.4580195882232
12,27,8,9,1,0,11,49,137.74584892814642
5,26,7,15,1,0,15,54,136.06179548819125
11,29,5,15,1,0,13,58,150.70240571832608
12,29,12,12,1,0,8,50,140.7115512123216
10,25,7,13,0,1,11,53,140.16909668120846
11,27,7,14,0,1,10,57,151.74097068628836
6,31,11,15,1,1,7,52,141.02914814961747
9,26,7,16,0,0,14,57,145.0001533052775
5,32,3,15,0,1,13,59,145.52111404507392
15,31,9,11,0,0,12,56,153.7234682881048
12,30,12,12,0,0,10,53,147.61667639879005
8,28,9,14,0,0,10,55,145.8709191955324
12,33,9,15,1,0,13,59,152.41893384203803
9,30,12,11,0,1,8,50,142.20850199082523
11,31,3,16,0,0,7,60,152.61887020249563
10,31,4,10,1,0,14,56,146.07901176318308
6,32,11,16,0,0,14,57,147.58435559590043
12,30,6,13,1,0,12,55,144.8107955217192
8,30,11,13,0,0,10,52,142.70910697492815
5,29,8,10,1,0,9,48,135.39955703190304
10,28,4,17,0,0,10,62,152.83713021364804
13,34,9,12,0,1,8,55,149.0216663794638
6,30,7,9,0,1,10,51,140.5175082561617
11,28,10,16,1,0,14,54,141.81118945869565
8,26,5,12,0,1,14,59,154.10850080221715
12,32,6,18,0,0,10,63,155.35972181943728
7,30,6,16,0,1,11,59,149.67470840878315
8,34,14,14,1,1,10,54,149.56948045351024
14,34,9,10,1,1,12,56,153.96047541688225
4,30,8,13,1,0,12,53,139.0833314794723
13,29,4,14,0,0,11,59,152.01898930842788
10,33,10,12,0,0,7,50,139.47009692509275
10,29,11,10,1,0,13,49,138.93793333772487
13,29,12,13,0,0,10,52,143.26726601339288
8,27,6,9,0,1,9,50,135.98075875521943
12,31,10,17,0,0,11,57,148.14963604124551
5,31,7,17,0,0,11,58,142.38834522120166
6,26,11,12,0,1,14,53,142.88275243824327
11,31,7,9,0,0,12,54,146.62844043082765
1,31,4,12,0,1,11,57,145.9162543043082
16,27,6,12,1,0,12,55,147.5399532971286
4,27,10,13,0,0,8,48,131.28127070789412
8,27,13,14,0,0,12,49,134.1825951360475
7,29,8,16,0,0,13,55,140.57896854352964
11,30,13,14,0,0,11,55,148.66139593179255
12,30,8,12,0,0,11,55,149.27122546146316
6,33,4,12,0,0,10,53,137.9804669957523
6,32,4,18,1,0,11,61,151.79331950546043
11,29,7,10,1,0,10,51,140.07308175075534
12,31,12,12,0,1,12,54,146.99654876428195
7,31,3,15,0,0,8,57,142.86027957093657
9,30,5,12,0,0,9,53,143.0636819972302
7,25,2,11,0,1,9,55,144.39572956595754
6,30,4,12,0,0,11,55,142.21272550855963
8,31,11,18,0,1,15,60,152.63094776733277
9,27,1,16,0,1,16,65,156.1455655857499
3,28,4,14,0,0,12,52,129.89589971135774
8,29,5,14,1,1,10,54,136.91581823614692
10,32,5,15,1,0,6,57,148.35895555117887
18,31,4,10,1,0,9,56,151.38404962559974
10,31,9,9,0,1,10,50,137.1958096113625
10,30,5,14,0,0,10,59,150.13284503944183
10,30,1,13,1,0,9,55,140.0330030018978
12,32,7,17,0,0,6,60,154.75479116053145
9,33,10,13,1,0,12,54,144.31997627314644
11,30,6,17,1,0,10,61,155.16851390560026
7,29,6,15,0,1,14,60,151.36547434090204
9,31,6,12,1,0,12,55,145.24835494226184
9,32,12,12,1,0,12,53,143.01263331151773
7,26,9,16,0,1,11,54,139.35332183851978
6,33,11,11,0,0,13,52,141.57376955966544
7,29,3,13,1,1,7,54,142.6076821236571
5,30,2,14,1,1,10,58,148.8572479502215
5,30,9,11,1,0,14,49,132.90213491981484
11,31,7,13,1,1,10,58,151.29010865305952
10,25,9,11,0,0,11,50,137.75258115541206
17,29,8,10,0,1,11,55,150.84377275769162
7,30,11,15,1,1,11,54,143.20162444161747
12,29,7,12,0,0,12,56,149.1767031020408
10,30,5,15,0,0,7,56,145.02557032334363
12,32,11,14,1,1,10,55,152.48408334135175
15,28,8,16,0,0,10,55,144.34549936824723
11,28,5,9,1,0,11,54,147.6960592145354
12,31,9,14,1,0,12,58,152.82645500617565
9,30,11,19,0,0,11,60,152.92262945515267
9,27,10,15,1,0,11,52,134.84675916507126
10,26,9,9,1,0,7,46,133.19344955705037
9,33,6,11,0,1,11,59,156.04885498091798
10,29,10,10,0,0,9,52,146.39908032298447
7,30,4,17,1,0,10,57,144.5764070864252
9,23,7,11,1,0,9,51,140.86510826861394
9,29,11,14,0,0,10,53,139.29845144831282
12,33,8,12,0,0,11,57,151.11927793538342
6,28,7,13,1,0,8,52,137.1474780275937
9,32,11,12,0,0,11,49,132.77552657176886
8,29,9,11,0,0,9,49,136.16109918750135
7,30,9,12,0,0,11,54,145.48531905162278
14,29,5,12,0,1,13,59,152.4622475526455
12,29,12,16,0,0,9,56,146.74628225204287
9,29,3,15,0,1,11,60,146.37502990651112
11,31,14,14,1,1,8,48,132.88672553805145
8,28,6,9,0,0,13,52,140.17091629574242
7,31,12,10,0,1,11,50,143.49944547841685
12,29,7,13,1,0,10,54,144.06779187103024
12,32,8,15,0,1,14,62,158.77234176741743
9,28,13,8,1,0,10,45,134.75957926777167
10,30,7,15,0,1,12,59,154.50017753941916
8,26,8,14,1,0,12,54,141.38334609964036
14,30,11,14,0,0,14,59,156.35525126331723
12,32,8,12,0,1,6,54,147.7754943596182
12,31,9,16,1,0,12,57,144.88205009458835
10,31,7,12,0,0,11,53,140.8487969497097
9,35,8,15,0,0,11,59,152.34632731269912
8,25,8,13,1,1,12,56,149.80841868480238
5,27,9,17,0,1,13,56,143.1385053075481
6,28,3,10,0,0,9,51,134.50385531625736
4,25,9,10,1,0,10,47,132.22632316355035
10,28,6,11,0,1,11,54,145.21795752905078
10,29,5,14,1,0,10,56,145.11556475826816
3,29,9,13,0,1,12,52,136.33329485979235
9,34,11,14,1,0,12,54,143.9484250318752
14,30,6,12,0,0,11,60,158.66557391705973
13,34,4,15,0,1,6,62,156.69851914310652
9,29,7,22,1,0,10,58,141.6090659106668
7,34,5,15,0,0,13,59,146.69006817391391
10,30,16,17,1,0,12,54,145.71315658578558
12,30,11,12,0,1,13,55,149.03146745500177
9,31,5,10,0,0,10,53,139.17822062007053
11,30,6,16,0,0,12,60,151.03132600391322
12,28,7,13,1,0,12,54,140.9882089937843
9,34,9,21,1,0,8,61,152.69856071222355
11,28,6,14,1,0,10,58,152.8394530597672
8,30,6,13,1,0,8,52,137.7832035017071
10,28,11,8,1,1,14,51,147.19332615322037
13,32,8,14,1,0,11,56,149.07216623378454
4,28,4,13,1,1,13,57,143.6278707132575
13,29,7,12,0,1,11,58,151.98283840915792
8,29,8,15,1,1,11,57,147.90841224158586
14,28,7,11,1,1,10,53,144.1008024549784
14,26,7,13,1,0,10,56,150.73481290601987
10,29,6,17,1,0,9,58,148.34663545816457
9,30,4,17,1,1,9,57,141.33451980772483
8,30,9,15,0,0,11,54,142.3495875985425
14,33,3,15,0,0,12,64,160.8990078845101
6,34,11,17,1,0,9,50,130.3286446546251
8,30,11,11,1,1,11,54,146.52032697944549
8,31,6,15,0,0,13,56,143.7733845153619
6,30,7,11,0,1,10,55,145.32879757956732
10,30,6,17,0,0,9,57,145.24126551257748
7,27,4,16,0,0,11,59,146.9290548157039
11,31,3,13,0,1,10,60,155.4481803839297
13,31,6,12,0,0,13,58,151.13863458494103
10,28,11,9,0,1,9,52,144.45054175983825
8,28,0,13,0,0,13,59,147.89263549431405
8,36,10,13,0,0,7,55,146.5790657813293
8,31,10,13,0,0,13,56,150.89572312811976
9,30,13,12,0,0,15,53,145.5892509811522
8,35,8,16,1,0,9,55,143.06842531547963
8,32,10,13,1,0,9,51,140.19534436400846
16,34,10,17,1,1,11,63,162.4881554309929
7,29,11,16,1,0,8,51,138.40550006483886
11,29,6,19,0,0,15,62,152.53078749194975
13,28,14,15,0,1,8,53,145.21210470718484
15,31,7,17,1,1,12,64,161.83020242823176
8,33,7,13,1,1,11,54,142.30863968531875
10,29,8,14,0,1,12,57,147.39365253665312
11,31,11,11,1,1,10,50,141.32829331159888
8,30,9,16,0,1,8,55,143.16430751402189
9,32,12,8,1,1,15,50,144.3597126701955
15,31,8,9,0,1,11,56,152.60883178130047
9,27,12,10,0,1,8,48,136.40655888487174
5,31,9,15,0,1,13,59,151.96220743323485
6,30,13,10,1,0,13,48,134.76693288406796
7,30,5,13,0,0,14,57,142.3583285927867
12,30,11,19,0,0,9,57,145.2226341771809
7,31,3,16,1,1,11,58,142.37744107323653
6,26,11,14,1,0,10,49,130.9751049672644
9,27,9,15,0,1,8,54,140.8953605470423
10,29,11,14,1,0,12,54,147.03745406260032
5,32,7,12,0,0,12,54,143.53190400542118
7,29,11,16,1,1,9,52,138.74017184262522
7,27,10,15,0,1,7,52,138.03521510048645
16,32,3,17,0,0,10,64,158.65449745560167
9,32,9,14,0,0,7,52,139.0529811735976
4,28,7,18,1,0,13,57,142.43924814453314
7,29,5,9,1,1,9,50,139.36124593156953
12,33,11,20,0,1,7,59,149.71731844533417
12,29,6,13,1,1,11,58,151.73805378225944
13,36,9,19,0,0,13,64,162.16327145962305
