cognitive_score,stress_level,prior_therapy,full_time_employed,encouraged_to_participate,attended_resilience_program,wellbeing_score
1,2,1,1,1,1,54.38547260814943
1,3,0,0,1,1,56.19428850057594
4,3,0,0,1,0,46.501696454734414
5,2,0,1,1,0,46.408872606645865
5,2,1,1,1,0,48.47744036939796
2,2,1,0,1,1,56.537365518182966
0,2,1,0,1,1,58.33309766108876
3,3,1,0,1,0,46.56089442488283
6,2,0,0,1,0,45.4319324316037
3,2,0,0,1,1,55.81809411546288
0,3,1,1,1,1,52.809658464580885
5,3,0,1,1,0,46.010880973711565
1,2,1,1,1,1,54.43337251281644
6,2,0,0,1,0,46.836678578632906
2,2,0,1,1,1,53.69455546845777
5,2,0,0,1,0,47.70246223578488
4,3,1,1,1,0,46.43637722912212
7,3,1,0,1,0,44.72601176064203
5,3,1,1,1,0,46.55478116840657
1,3,1,1,1,1,54.15827904197084
7,3,1,0,0,0,45.17214343263845
3,2,0,1,1,0,46.063188266300486
2,3,0,0,1,1,53.61567132092233
3,2,0,0,0,1,56.69785329717331
5,1,1,1,0,0,45.40839314459343
1,3,0,1,0,1,54.49324747704305
4,3,1,1,1,0,44.89711425400622
9,3,1,0,1,0,46.98879985874508
1,3,1,0,1,1,56.73906454463258
1,2,1,1,1,1,56.52119390021582
7,3,1,1,0,0,46.829487819705776
1,2,1,0,0,0,48.65819112111309
1,3,0,1,1,1,56.44794407929725
5,3,1,1,0,0,45.452911350893785
7,2,1,0,0,0,46.55640131519183
4,3,1,1,1,0,46.31613094769798
2,3,1,0,1,0,44.63189380432757
0,2,0,0,1,1,54.926707157306446
6,2,1,1,1,0,47.561738337901694
1,3,0,0,1,1,54.580525177204905
3,2,0,1,1,1,53.77895935900932
6,3,1,1,1,0,46.47357666507089
4,3,0,0,1,1,56.17264772478642
3,4,0,0,1,1,54.54333580743933
2,2,0,0,1,1,56.8113607972668
5,3,0,0,1,0,47.81228079351752
3,2,0,0,0,1,56.143914167933794
5,4,0,1,1,0,46.75076903922296
7,2,1,0,1,0,48.09010616216569
9,3,0,0,1,0,46.73249903835735
4,3,0,1,1,0,44.995133327752015
4,4,0,1,1,0,47.44002458835088
3,3,0,0,0,1,54.1001557082079
0,2,1,0,0,1,54.335055201511146
6,3,0,0,1,0,46.55696548728287
5,3,1,0,1,0,45.53719220197698
3,1,0,1,1,1,56.89991768584799
3,5,1,1,1,0,44.59127085523647
4,2,1,1,1,1,56.21108697548934
3,3,1,1,1,1,54.44942390766237
5,2,1,1,0,0,46.03438265122983
5,3,1,0,1,1,55.87541342293494
4,3,1,1,1,0,46.547298289442764
5,3,0,1,1,0,46.67438980994285
3,3,0,1,1,1,54.17519964244704
0,3,1,1,0,1,54.390085460532426
8,2,1,1,1,0,45.586128050718514
4,2,1,0,0,1,54.56780889761008
7,3,1,1,1,0,44.62119291473397
4,2,1,0,0,0,45.6931821177062
6,3,1,1,1,0,44.81308043961555
5,3,1,1,1,0,45.9667100149241
6,2,1,0,1,0,46.46256792599246
1,3,1,1,1,1,55.242292330965824
3,2,1,1,0,0,47.27496036190173
3,3,0,0,1,0,47.94873167755436
3,3,1,1,1,1,55.722106639549565
4,3,0,0,0,0,48.15338307462934
5,3,0,0,1,0,47.59765671976318
5,2,1,0,1,1,56.13185547801087
5,2,0,1,0,0,46.16578617665558
1,2,1,0,1,1,55.48542238004401
3,3,0,0,1,1,54.919608413018665
2,3,0,0,1,1,54.94287722581032
7,3,1,0,0,0,47.82181292161864
2,2,1,1,0,0,47.09180066649391
-3,1,1,0,1,1,55.10583639243493
4,4,1,1,1,0,47.82324837510828
6,3,0,0,1,0,47.800638484449664
3,2,1,0,1,1,56.48060788424928
1,3,0,1,0,1,53.64520733113722
6,3,0,0,1,0,47.13215044045642
2,3,1,0,0,1,54.36906356594644
0,3,0,0,1,1,53.8912070353766
5,3,1,0,0,0,49.07589773066501
3,2,1,0,1,1,56.348085396744295
6,2,1,1,1,0,46.224545146167465
2,3,1,1,1,1,53.15867810987754
3,2,0,0,0,0,47.66032850466486
8,4,0,1,0,0,45.07587759245242
5,2,1,1,1,0,48.744847261760256
6,2,0,0,0,0,49.06182009585266
9,3,1,0,1,0,46.43703742832379
7,2,1,1,0,0,45.5753523187663
1,2,1,0,1,1,55.04406180658018
3,3,1,1,1,1,54.59978773856888
8,2,1,1,1,0,47.44863064961595
1,2,0,0,1,1,55.90180443685056
3,2,0,0,0,0,48.65153811817952
3,3,0,1,1,0,44.83350177251681
3,4,1,0,1,1,55.9170499385034
2,2,0,0,1,1,56.96957883067098
4,2,1,1,1,0,47.02941907114666
4,2,1,0,1,0,44.87861293366889
2,3,1,0,1,1,56.54436488587712
6,3,0,0,0,0,48.33685614431727
4,4,1,0,0,1,54.14735898705675
4,4,1,1,1,0,46.27379312814342
6,4,1,0,1,0,44.3099718368464
6,3,1,0,1,0,46.564829177350205
6,2,0,1,0,0,48.50202762320593
0,3,1,1,0,1,55.09201442511084
4,2,1,1,1,1,53.00197776681676
3,2,1,1,0,1,54.04419803125162
3,2,0,1,1,1,53.62696658018802
6,2,0,1,1,0,46.19122815364948
3,2,1,1,1,1,53.59444614180386
1,2,1,1,1,1,55.26248710579495
6,2,0,1,1,0,46.650109825846286
4,4,1,1,1,0,45.893223127225376
2,3,1,0,0,1,55.8803328269332
1,2,1,1,1,1,55.59257090339948
-3,2,1,1,1,1,54.09633643922682
2,2,0,1,1,1,56.575168328841066
3,2,1,1,1,0,46.03683127306642
4,2,0,0,0,0,47.96385793211156
5,3,1,0,0,0,47.01254669339432
2,2,0,0,1,1,55.74023321131895
6,2,0,1,1,0,45.56580939623591
6,2,1,1,1,0,45.0267971337198
5,3,0,1,1,0,45.25803052001503
5,2,1,1,0,0,47.11099277594727
7,1,0,1,1,0,46.89492736240446
4,3,0,0,1,1,55.18851139516224
6,2,0,1,1,0,47.18790750979047
3,3,1,1,0,1,53.56730113719401
0,3,0,1,0,1,55.55753554352262
3,1,1,1,0,1,56.322502261923816
3,2,1,0,1,0,47.756861696454926
1,2,0,1,1,1,53.88887943204456
5,2,0,1,1,0,46.308307250619386
2,3,0,0,1,1,52.76478280599432
5,3,1,0,0,0,47.68393872792874
4,3,0,1,1,0,46.80844541828862
1,3,0,0,1,1,55.95397945396732
4,3,1,0,1,1,54.9801942104982
5,3,1,0,1,0,44.05156490043011
7,2,0,1,0,0,46.91556910734529
-1,2,1,1,1,1,54.29395813527562
3,2,1,1,0,1,54.43014648884873
5,2,0,0,0,0,47.84792594587212
2,3,0,1,1,1,54.47646113697006
3,1,0,1,1,0,46.85029975534813
1,3,1,1,1,1,53.00007549737411
2,2,1,0,0,1,57.00241605092374
5,2,1,1,1,0,45.63297699717686
6,2,0,0,1,0,44.71949910824948
3,3,1,0,1,1,52.82180823873731
5,1,0,0,1,0,49.12451121203491
6,3,1,0,1,0,46.40932743363976
0,3,1,0,0,1,56.6601313068504
3,2,1,1,1,1,56.79922213578566
3,3,1,0,0,1,55.55318254520822
4,2,1,1,0,0,47.73768871394091
5,2,1,0,1,0,45.82267458047232
0,2,1,0,1,1,56.371452268673735
4,2,0,0,1,0,46.82285210390534
5,3,1,1,1,0,45.432308841163895
1,2,1,1,1,1,54.89783141544383
4,2,0,0,1,1,56.66818389639534
4,2,0,1,0,0,46.26226520334281
2,2,1,1,1,1,53.46061738302599
3,2,0,1,0,0,46.39055347075957
6,2,1,0,1,0,46.08825371793409
0,3,1,1,1,1,55.24109729058707
3,2,1,1,1,1,54.05458883381487
4,3,1,1,0,0,46.45484272952914
5,3,1,1,1,1,55.81496466610109
3,3,0,1,1,1,57.05703393447624
0,2,1,0,1,1,53.44718925317584
1,3,0,1,1,1,54.2198005459057
5,2,1,0,1,0,47.66345548046851
0,3,1,1,0,1,54.93847134766908
0,2,0,1,1,1,56.75188453811604
1,2,1,0,0,1,54.87183296692714
2,3,1,1,0,0,46.24132437509132
0,3,1,0,0,1,52.42478161922678
4,3,0,1,1,0,45.56391045767144
1,2,0,0,1,1,55.650264143953656
6,2,0,1,1,0,46.94900520087543
6,2,0,1,1,0,48.827986459478815
5,3,1,1,1,0,45.84631401841844
3,2,0,0,1,1,55.637050232118746
2,2,1,0,1,1,55.04198187119491
4,2,0,0,1,0,47.02687807373773
8,3,0,1,1,0,46.21654180191534
3,3,1,1,1,1,54.70180435145162
4,2,1,0,1,0,45.983621662856095
6,3,0,0,1,0,46.81248536843712
4,2,0,1,1,1,54.561316633478434
3,3,1,0,0,0,46.877183427316346
1,3,0,0,1,1,55.63382753278261
3,2,0,0,1,0,47.01229803254484
3,2,1,1,1,1,54.214000327120445
2,2,1,1,1,1,54.72261058781246
2,2,1,1,1,1,55.284549427765086
3,2,1,1,0,1,55.25274778757343
1,3,0,0,1,1,55.62521948874263
7,2,1,0,1,0,45.08376708197879
3,3,0,0,1,0,48.20670311491789
8,3,1,0,0,0,46.44298325129385
1,3,1,1,0,1,52.826571929373785
4,1,1,1,0,0,48.68698969052816
3,3,1,1,1,0,45.35695317639177
2,2,1,1,1,1,54.961954742196085
3,3,0,0,1,0,46.01498168219569
0,2,0,1,1,1,54.781689792718986
5,2,1,1,1,0,45.28512565990636
4,3,1,0,1,1,54.68133607741962
4,2,0,0,1,1,57.05962389733776
3,2,1,1,1,0,46.13488893428801
7,2,1,0,0,0,46.09044443528834
2,2,1,1,0,1,54.62159228339333
2,3,0,1,1,1,54.99466013107641
5,3,0,1,1,0,45.97106500961337
1,2,1,1,1,1,56.57891289277816
2,2,1,1,1,1,54.486466705352754
2,2,0,1,1,1,55.0807074259367
4,2,1,1,1,0,45.12156740926327
4,2,1,0,1,1,56.00918115286283
4,3,0,1,1,0,45.46238317564228
2,2,0,1,1,1,57.45224204247905
3,3,0,0,0,1,56.346640230030886
4,3,1,0,1,1,53.414527027012994
3,1,0,0,1,0,43.6979687335551
0,3,1,0,1,1,56.16218772442619
1,3,1,1,0,1,51.53963868080037
4,2,0,0,1,0,47.59498578575676
6,3,1,1,1,0,45.34160477469633
4,3,0,0,1,0,48.58784939295452
6,2,0,0,1,0,46.98885285008937
2,4,0,0,0,1,55.171776567497496
3,4,1,1,0,0,45.010492722623376
4,2,1,0,1,1,55.38638492634961
5,2,0,1,1,0,46.707530685164926
7,3,0,1,1,0,47.26267125459432
2,2,1,1,0,1,55.07552785953806
3,3,0,1,1,1,54.02397089867823
0,2,1,1,1,1,56.82763039509373
3,1,1,0,1,0,45.23430864663317
7,2,1,0,1,0,46.17585228122764
5,3,1,1,1,0,47.35741775689994
3,4,1,0,1,1,53.691165884506624
1,2,1,1,1,1,53.395214889617336
3,3,0,1,1,1,55.14547684035995
6,3,0,0,0,0,46.69959571392512
2,2,0,1,1,1,53.73392486914322
6,3,0,1,0,0,46.13578095360703
5,1,0,1,1,0,47.50355892450349
5,2,0,0,1,0,47.629596635223656
2,2,1,1,0,0,45.37070744710852
1,2,0,1,1,1,54.91349747370068
4,2,1,0,1,1,55.60582574101165
12,2,1,0,1,0,45.963128305682055
2,2,1,0,1,1,57.26543211997255
3,2,0,1,0,0,47.70581586293576
5,2,0,1,1,0,47.61334868233266
3,2,0,0,1,1,55.86665009169534
3,2,0,1,1,0,45.95760352127161
4,2,1,0,1,0,47.192512861763205
3,2,0,0,1,1,55.40889754532776
3,2,1,0,1,1,54.70258271103333
3,1,1,0,1,1,56.98577637400999
5,2,0,0,0,0,49.25837677753935
1,3,0,1,0,1,56.170177832726665
5,3,0,1,1,1,54.02074923159724
3,3,1,1,1,1,53.249428861649605
5,2,1,1,0,0,45.630416375730775
6,2,1,0,0,0,45.7760617195589
2,2,1,0,1,1,55.66614418954512
3,1,0,1,0,0,47.230911858580896
4,2,0,1,1,1,55.58997810088334
4,3,1,1,1,1,53.60974778601537
4,3,1,0,1,0,47.980506266204905
4,3,0,1,1,0,47.24648861187856
3,3,1,1,0,0,46.42438397455837
9,3,0,0,1,0,45.706461199925904
1,2,0,0,1,1,54.36464891406157
5,3,1,0,1,0,47.924337941867854
6,3,1,0,1,0,45.69077664895328
4,3,0,1,1,1,56.5030910948746
4,3,0,1,1,0,45.69378691497801
2,1,0,0,0,1,56.22787810597079
3,2,1,0,0,1,55.21043091325265
2,3,0,0,1,1,56.91837557508914
4,2,0,1,0,0,46.92318719894017
