age,education_years,income_level,political_interest_score,urban_residence,previous_voting_history,campaign_exposure,voting_turnout
19,21,7,13,0,1,0,76.1462821662083
43,20,6,17,1,1,0,100.60849582608208
22,20,8,12,0,1,1,86.59456382852872
-1,25,5,18,0,0,0,60.91590295464834
25,25,4,16,0,0,1,89.49834147671267
28,21,5,22,1,1,1,94.22894317982058
40,26,6,12,0,0,0,95.70354599117846
33,29,4,13,1,1,0,91.7250703663242
6,20,7,8,0,0,1,67.17394770132601
24,24,5,17,0,1,1,88.6359386640863
39,24,4,20,0,0,0,95.6511941015151
40,22,4,22,0,0,1,105.74633482291092
27,18,9,17,0,0,1,91.39830541606482
33,21,8,20,1,0,0,92.69595125309672
25,20,11,15,0,1,1,89.50666587944019
6,21,11,12,0,0,1,72.43136825196108
30,21,4,20,1,0,1,95.54717239265484
26,20,5,17,1,1,0,84.50750474266562
24,32,4,22,1,0,0,85.82327520275165
34,21,4,20,1,1,0,93.66383466539504
11,19,6,15,0,0,0,67.1569018073463
12,24,6,21,0,0,0,70.71403352214556
35,25,10,19,0,0,1,100.33017058310855
44,25,3,14,1,0,1,107.20447226329932
25,24,7,15,1,0,1,90.36465454038132
52,30,6,19,0,1,1,116.71390192050976
24,26,8,12,0,1,1,87.58092137212363
19,22,7,22,0,0,1,86.72244643768836
29,25,8,21,1,0,1,96.3270529087197
14,21,7,15,1,0,1,79.77832569266018
31,22,3,18,0,1,0,88.6143479294469
24,23,4,17,0,0,1,86.69622984896358
1,28,2,17,1,0,1,67.69890484514552
35,23,4,15,0,0,0,90.12163965712465
-7,27,1,19,1,0,1,59.92142886051723
41,28,9,17,1,0,0,100.76314571067844
35,20,9,19,0,0,0,94.22131996414588
36,15,8,21,0,0,1,98.72452313076028
26,29,7,21,0,1,0,84.83517899579192
33,27,3,11,0,0,1,93.203399906475
24,21,6,21,0,0,0,82.41911645545314
17,20,5,24,1,0,1,84.1428249869434
19,22,7,15,0,0,1,83.53472557115425
32,25,7,19,1,0,0,91.05609779928122
28,22,6,20,0,1,1,93.96330791976207
42,23,7,20,0,0,0,101.19226363230516
38,20,8,14,0,1,0,93.09804978471828
28,25,6,22,1,0,1,95.7169369156712
6,25,4,16,0,0,1,72.80354917248494
19,26,8,16,0,1,1,85.88359830673598
26,23,7,10,1,0,1,89.08163610006557
25,15,9,20,0,0,1,90.38511477470225
17,25,9,15,1,0,0,74.73628656100075
2,24,6,11,0,0,0,58.70789007299346
17,24,8,22,1,1,0,80.46215425177522
33,24,7,13,1,0,1,97.394152706665
33,19,2,11,1,0,0,86.74937493106555
14,24,1,9,0,1,1,74.85120821646329
23,21,7,11,0,1,0,77.97460289817998
27,23,3,15,0,0,0,81.60517145842373
39,29,5,14,1,0,1,105.53168185314392
26,31,6,11,1,0,1,92.26949057327442
26,27,7,21,1,1,1,95.01929820503904
24,21,5,12,0,1,1,86.46040868109252
21,23,7,11,0,1,1,85.98253238306575
49,28,4,30,0,0,1,117.70946686044856
39,28,7,21,1,0,1,107.26941486143583
21,27,6,12,0,0,0,78.87026427913835
30,21,4,15,0,0,1,92.05097251447044
9,27,3,14,0,0,0,66.12669398969497
28,24,4,10,1,0,1,90.31666377155888
29,16,4,13,0,1,1,89.02363560336235
27,23,5,17,0,1,1,91.86347165631726
24,26,7,19,0,1,0,83.58945863783127
18,31,8,8,0,0,1,82.21168947056415
25,21,4,12,1,0,1,88.30694973577977
19,28,-1,24,0,0,0,78.28565236915665
37,17,3,11,0,1,1,97.55812269371827
20,20,8,7,0,0,0,74.77725486803932
33,31,6,11,0,1,0,91.51103551628236
27,18,6,10,0,1,1,87.97538950086567
38,23,4,14,0,0,0,92.22773107323177
-2,21,4,18,1,0,0,55.66126529587142
34,18,4,19,1,1,1,99.73907475356152
11,25,7,19,0,1,0,71.71389143074411
17,22,7,14,0,0,1,80.85185613133724
25,23,11,25,0,1,0,87.29110304221008
13,20,3,14,0,1,1,76.23575260950946
28,22,7,16,1,1,0,86.3897905244608
23,23,5,15,0,0,1,88.51516929510363
31,23,7,19,0,1,1,97.02133641456189
17,26,8,11,1,0,0,75.99414079937486
40,26,4,17,0,0,1,103.49705730526632
27,28,5,14,1,1,0,85.14136247724153
23,26,4,21,0,0,0,81.78225306873483
14,26,5,22,1,0,1,81.35149295598715
34,23,9,20,0,0,1,100.42487354054605
42,17,4,10,0,1,0,94.70831822780669
19,23,4,23,0,0,1,86.09689310041843
19,24,2,24,0,0,1,84.87911454995685
28,23,6,21,1,0,1,95.30636667340036
27,25,5,16,0,0,1,91.8501081419887
25,18,5,23,0,0,0,83.6969491443812
24,26,7,22,1,0,0,86.16115833467884
22,27,5,14,0,0,0,80.26870544964491
18,23,5,19,0,0,1,86.02779422569834
20,27,3,9,0,0,0,77.2500093837002
21,24,2,9,0,0,0,75.99575217149518
30,19,4,13,1,0,1,90.89894436098626
19,25,6,16,0,0,0,77.68469169437695
32,29,6,19,0,0,1,100.11985177147189
17,16,4,17,0,0,1,79.72106102021384
26,33,7,15,1,1,0,85.21340884843843
19,23,6,14,0,0,1,81.79242122141386
26,17,5,11,0,1,0,82.89615141389747
19,18,4,12,0,0,1,80.67493506950709
31,14,5,8,0,0,0,83.73483645381665
39,25,7,19,0,0,1,105.85732615535676
25,24,4,11,0,0,0,80.20091604010402
20,23,6,21,0,0,1,87.91708034328526
25,20,3,11,0,0,1,87.20744309115926
54,20,8,12,0,0,1,114.99623328825449
34,27,3,13,0,0,0,88.46272226642903
27,28,6,7,1,0,1,90.07499618598985
28,25,7,18,0,0,1,93.43422676143364
30,18,0,6,0,0,0,81.164870783678
18,22,8,15,0,1,1,83.9774647574976
25,17,8,18,0,1,1,91.00670411671804
17,21,6,15,0,1,0,74.04785511208262
18,34,4,12,0,0,0,75.29654924311083
38,25,4,13,0,1,0,93.92647205106184
24,22,2,17,0,0,1,87.8835589261851
31,20,7,16,0,1,1,96.40384778024642
24,24,6,20,0,1,1,89.84640549416382
11,24,8,13,0,0,0,68.2833668995165
21,23,3,16,1,0,1,86.72447492542814
3,19,2,18,1,0,0,60.08882740184729
33,27,3,25,0,1,1,100.42576110748804
26,21,6,19,0,1,1,90.3723200039038
18,20,7,18,0,1,0,76.57953251134205
41,21,7,23,0,1,1,107.69864993118186
17,23,3,20,0,1,1,81.04301105936685
22,21,7,19,0,0,1,86.75540808216803
43,20,3,7,0,0,1,102.17288961229968
19,22,5,13,0,1,1,83.70978142628648
23,17,5,11,0,0,0,76.18576932485651
23,22,2,13,1,1,0,77.74276699669191
5,13,6,14,0,0,0,58.756935459196285
17,20,1,21,1,0,0,74.65300197103872
27,18,7,21,1,0,1,92.09221955900529
11,24,7,19,0,1,0,72.27372089490257
13,20,7,12,0,0,0,71.16671151930706
29,30,9,4,0,0,0,84.49693818780233
48,26,2,23,0,1,1,114.96262475952364
19,29,7,23,0,1,0,80.15214907100226
25,29,7,7,0,1,1,87.97303360115791
11,28,4,21,0,1,0,70.83842115884131
27,22,6,14,0,0,0,83.28005033751317
17,21,5,8,0,0,1,77.88995555682342
24,26,5,17,0,0,1,88.89031416823948
19,27,2,20,1,0,0,77.28199687773136
31,25,3,21,0,0,1,95.4715109460065
13,27,6,19,0,1,0,72.91328115942949
24,26,6,16,1,0,0,82.44292947154845
32,19,8,19,0,0,0,89.49236029948798
32,20,8,14,1,0,1,95.54036789067446
21,22,9,17,0,1,1,88.29502942705983
19,23,8,22,0,1,0,81.91574918217331
29,23,6,20,0,1,1,95.52769076535144
24,20,8,20,0,1,1,89.6602295984281
31,29,10,10,1,0,1,95.86446609602754
13,25,7,13,0,0,1,76.55822124961355
21,18,7,12,0,0,0,75.5139848989664
19,17,7,7,0,0,1,78.57662723800885
10,18,9,18,0,0,1,77.61777426984891
34,25,0,16,0,1,1,94.25778988161424
10,24,6,19,1,0,0,68.85287018801309
21,24,3,4,0,0,1,80.19461668913398
18,25,6,17,0,0,0,75.62967606198742
29,20,8,15,0,0,1,92.93346117145666
22,28,5,18,1,0,1,89.4297638800434
19,24,4,16,0,0,0,75.43703920552669
26,26,4,15,1,1,0,85.3484214502916
14,25,6,10,0,0,0,69.7376317477057
21,15,6,20,0,1,0,78.00297415059532
28,26,9,25,0,0,1,99.41149673572136
33,24,5,13,0,0,0,88.43581263662949
9,28,3,12,1,0,0,68.57727312317877
24,21,4,9,0,1,0,78.49466925956645
17,18,5,15,0,1,1,82.44084385862718
35,23,6,18,0,1,1,99.28551393545332
2,27,8,10,0,0,0,60.08519627314324
14,28,6,23,0,1,1,81.29711650367457
19,18,5,16,1,1,0,74.9013885821613
18,16,4,19,1,1,0,75.3434600563758
23,19,8,18,1,1,0,84.47728385478172
40,21,3,13,0,0,1,101.53594825512404
24,26,6,9,0,1,1,88.26592333128431
16,26,6,17,1,1,0,75.3244510018958
23,19,4,16,0,1,1,86.35812062498589
16,23,5,20,1,0,0,73.77676491206243
36,24,8,21,0,1,0,98.18520514484354
0,31,8,18,0,0,0,64.05074146151905
27,17,3,17,0,1,0,82.02394523401091
25,15,7,15,1,1,1,89.20938122732166
22,20,7,20,0,1,1,88.32497323741744
37,27,3,13,0,0,1,98.33474914700676
31,9,9,16,0,0,0,84.5141621005937
29,24,6,18,1,1,0,88.0868774986328
17,21,7,21,0,0,0,75.10590284749996
16,14,5,23,0,0,1,80.64253789589736
20,29,6,15,1,0,0,81.97561939204545
29,25,11,20,0,0,0,90.99794088788865
2,26,3,15,0,1,1,67.29583434065515
37,29,8,22,0,1,1,105.41289413947572
25,18,5,20,0,1,1,89.62657917876754
27,29,2,17,0,1,1,91.50071395982796
18,24,4,27,0,0,1,85.44578050430599
2,19,6,16,0,0,1,68.22412808126928
20,20,7,21,1,0,0,79.11456552890967
29,25,7,15,1,0,1,95.22399096120763
18,24,4,8,0,0,0,72.23930932680136
26,26,8,15,0,0,0,82.81665839421669
29,30,6,14,0,0,1,94.28736827435304
19,21,7,19,0,0,0,79.00655494312886
31,20,3,11,1,0,1,92.94763942348108
25,28,7,14,1,0,0,83.69108734364134
33,34,7,26,0,1,0,97.67018386252782
30,22,5,18,0,1,0,86.86253481918504
25,23,3,11,0,0,0,78.71010941981956
17,24,5,15,1,0,0,74.73802459836033
25,25,6,23,1,0,1,93.57961923195174
29,18,8,13,0,1,1,90.22471912299086
21,22,4,14,1,0,1,85.73748162220957
22,21,5,21,0,0,0,78.9727471765746
20,23,3,14,0,0,0,75.63225910473409
10,23,4,11,0,1,0,66.27584135624375
22,24,8,11,0,0,0,80.10601518129849
26,15,5,18,1,1,1,90.54715863883573
33,22,3,14,0,1,0,90.15431223346336
12,27,4,14,1,1,0,69.50240914009252
24,22,2,23,0,0,1,89.90033677928214
30,20,5,15,0,0,0,86.1280590769535
26,19,0,19,1,0,1,88.73465485924234
16,24,5,21,0,1,1,83.21024615561461
31,25,7,22,0,1,0,91.30650224812072
25,20,5,15,0,0,1,87.93275191618727
28,25,0,20,0,0,0,85.2396211603445
44,22,4,16,1,1,1,108.06682219608676
24,22,3,9,1,0,1,86.98506769921957
29,18,4,18,0,0,0,83.7689244677808
0,21,3,18,0,0,1,65.35157867474679
17,24,7,17,1,0,1,83.150395212284
36,29,5,16,1,0,0,92.48691840191331
28,26,6,23,0,0,1,96.7380550634679
42,25,8,18,1,0,0,101.93569140925634
39,28,7,15,0,1,1,104.78927413332916
23,21,4,11,1,0,0,77.46935055249813
29,24,5,18,0,1,0,86.05701654270935
32,26,6,14,1,1,0,90.38791215193412
42,22,5,13,1,0,1,104.44787036672798
22,21,8,11,0,1,0,76.68185279814237
28,25,5,19,0,1,0,86.17567886908283
23,20,9,9,0,1,0,78.70632481987266
15,17,6,17,0,0,1,79.26408381627151
29,21,3,14,1,0,1,91.63381987504135
13,19,8,16,0,0,0,69.75247417064674
24,23,4,13,1,1,0,79.2697582076719
41,24,8,14,0,1,1,106.15612110869628
23,20,2,15,0,0,1,84.6523488348977
37,30,4,16,1,0,0,94.35512627079568
11,25,2,20,0,1,1,77.94400978370074
15,24,4,12,0,1,0,72.60212453787601
32,25,7,12,1,1,0,87.84438101624916
8,27,5,15,0,0,1,72.74263857039288
8,23,6,19,0,1,0,67.17682743586252
30,20,8,16,0,0,0,87.58426267203531
23,26,3,15,0,0,1,85.8952031312738
21,24,8,13,1,0,0,79.04332394972963
19,14,5,20,0,0,0,79.18685737870452
32,29,2,14,1,0,1,97.22444795605271
30,25,1,12,0,0,1,90.9429474024436
4,25,8,19,0,0,1,73.20267470829711
39,27,4,23,0,1,1,105.33081870868146
21,29,3,13,0,0,1,83.85067470708948
27,21,3,18,1,0,1,91.23497714706238
14,24,4,12,1,0,0,70.15088790293208
13,23,5,20,1,1,1,81.2980056405443
20,25,3,12,1,1,0,74.90507512175941
10,23,6,18,0,1,1,75.55163993690255
35,26,5,12,1,0,0,90.42078497706729
29,23,6,19,0,1,1,94.93937020996596
48,15,4,11,1,0,0,100.16150371674242
25,19,4,16,0,0,1,86.80050370231673
39,33,5,15,1,0,1,103.58723071591214
8,23,4,25,0,1,0,69.296070250885
31,24,7,17,1,0,0,90.04031501116475
16,22,8,13,0,1,0,71.8939051282692
33,21,1,13,0,0,0,85.33307260025293
23,18,8,13,0,0,0,78.50262367411042
32,23,5,17,0,0,0,87.07362854265804
26,19,5,10,0,0,1,88.14482995384799
36,27,7,14,0,1,1,101.27556761226948
40,20,5,13,0,1,0,94.9821346845709
17,24,3,17,1,0,1,82.71675497088904
20,21,8,17,1,0,0,79.88413567431482
33,24,6,9,1,0,0,88.15953679745697
27,28,4,19,1,1,0,87.78711769316939
29,19,6,3,0,1,1,87.91159386026014
42,27,3,12,0,0,1,103.0231191330626
31,24,9,19,1,0,1,98.466035867059
36,25,5,10,0,1,0,92.6885442243454
11,17,8,19,1,1,1,76.69625224164872
13,23,8,15,0,1,1,78.79937102787565
4,20,6,13,0,0,0,60.55723110935205
16,22,6,16,1,1,0,73.96416467921566
27,21,4,13,0,0,0,82.22916580266201
33,26,8,14,0,0,1,98.07049476606733
36,28,8,15,1,1,1,102.61947550455552
42,32,5,15,0,0,0,100.06342245992468
28,24,2,15,1,0,0,84.79145157373023
33,17,5,12,0,1,1,94.79486465861852
4,30,8,8,0,0,0,61.86961257951938
16,26,7,22,0,1,0,76.80409077681988
8,17,5,12,0,0,1,70.13886502744955
41,24,4,10,0,1,0,95.21354330827972
46,28,5,13,0,1,1,110.06433524261092
14,22,5,22,0,1,1,84.1321036966249
26,23,4,12,0,0,0,83.82723695548451
30,28,6,14,0,0,1,93.10821248742968
15,20,11,17,1,0,0,73.67458289194673
30,19,9,22,0,1,1,97.38035276007894
20,28,5,14,0,0,1,84.75273567769626
22,21,7,17,0,0,1,88.02272000697882
27,26,7,21,0,1,1,94.13910994034131
16,16,6,17,1,1,1,79.61732005116997
21,23,4,15,0,1,0,78.30576886504915
32,21,3,12,1,0,1,93.90785520075951
35,24,3,9,1,0,0,88.01858909036105
26,26,6,22,0,0,0,87.06133427862706
25,19,8,13,1,0,0,81.6106154301407
11,21,1,19,0,1,1,75.96731099720944
26,23,9,14,1,0,1,89.6902902130412
14,27,5,20,0,1,0,73.66890855432857
15,25,3,12,1,0,1,77.55398938102142
39,18,4,11,1,0,0,92.1888781984897
16,23,3,22,0,0,0,75.1460710282804
50,25,3,14,0,0,0,106.15171135019747
18,20,3,25,0,1,1,83.46550783278572
30,22,3,7,0,1,0,83.0951187915006
41,27,2,12,1,0,0,97.18079268704264
4,30,4,16,0,0,0,63.20157852975281
16,23,8,18,0,0,1,82.53695900795988
2,20,7,23,0,0,0,62.367388564842685
36,27,7,10,0,0,1,101.23041303446342
31,23,5,8,1,0,0,85.9263635891739
31,23,7,14,1,0,1,94.94817967697487
48,15,6,11,1,1,0,101.63828283208778
23,21,4,13,1,1,1,85.65205402680414
15,15,9,12,1,1,1,78.3087507161023
28,23,8,23,0,0,0,88.49510228388861
26,23,1,22,0,0,0,82.76582532985351
30,24,5,11,0,0,1,92.8975274615292
24,30,5,11,1,0,1,89.11224921925817
15,26,9,24,0,1,0,77.6294363168961
29,23,6,16,0,0,0,85.46846758508883
6,18,3,18,0,0,1,69.43932146886185
33,20,5,11,0,1,0,89.03079350583913
