individual_age,education_years,previous_month_income,dependents_count,work_experience_years,gender,rural_residence,universal_basic_income_beneficiary,current_month_income
24,14,8,3,2,1,1,0,42.46048877706251
31,14,9,10,4,1,0,0,39.34504070536752
30,21,9,17,5,1,0,0,28.43329040797592
15,21,12,11,1,0,1,1,35.087409948161635
31,21,10,6,5,0,0,1,40.75464359404673
28,17,12,9,1,1,0,1,41.09269269706256
21,24,13,14,6,1,1,0,26.99930051712412
44,24,15,13,2,0,0,1,36.7654613171043
35,28,13,20,1,0,0,1,28.793207810456963
35,29,17,10,5,0,1,0,30.41344946157805
14,27,13,17,5,1,1,1,26.649135979534734
21,14,15,9,5,1,0,0,38.53537163590282
22,20,10,9,5,0,0,0,33.2742968847777
34,21,12,17,3,0,0,1,33.644312689798944
32,6,12,12,1,1,1,0,45.23821477646003
31,14,8,14,2,1,0,1,42.22362881126688
37,20,9,15,4,1,1,0,34.4742820293994
35,24,6,23,2,0,0,1,28.37905267863843
37,13,10,17,3,0,1,0,38.86513957088644
23,24,8,8,6,1,1,0,30.88897642928251
35,17,13,4,0,1,1,0,43.31154528623984
27,24,11,16,0,1,1,1,32.976663955085726
35,31,7,13,1,0,0,0,24.07999785471637
25,20,10,3,4,1,0,0,36.547865322629
38,22,10,9,2,0,0,1,39.53013449287548
25,13,6,7,7,0,1,1,45.94047886249378
28,18,12,25,4,1,1,1,31.71648307390201
28,14,6,13,3,0,1,1,40.77506259223272
27,23,11,8,4,0,1,1,39.17171839583857
47,9,7,5,3,1,0,0,49.738910938264574
19,22,9,12,6,1,0,1,34.323626480501304
35,17,8,8,5,0,0,0,38.31094259386167
31,23,11,11,4,1,1,0,33.446826402710926
45,26,9,13,5,0,0,1,35.76425299075189
34,21,16,15,5,1,0,0,31.84706652655146
29,21,8,6,3,1,0,0,35.50032111029887
29,15,6,12,5,0,1,0,37.33590709701953
30,16,11,13,2,1,0,1,42.05114902010944
34,17,10,18,4,1,0,1,38.01763880577538
29,12,7,7,5,0,1,1,49.11030616081996
28,25,5,7,2,1,1,1,35.91658100507273
27,13,13,25,5,1,1,0,31.33367070499874
37,22,5,18,5,0,1,0,28.84968719428841
24,14,2,13,5,1,1,0,36.34470259965174
33,22,7,15,6,1,1,0,29.886905942450717
29,29,11,9,3,1,0,1,30.846607369099843
33,10,10,14,5,1,1,0,42.16234289958124
28,11,7,17,3,0,1,0,38.43611365082558
36,20,9,20,3,1,0,1,34.96507901877791
27,26,12,9,0,1,1,1,35.070224732164924
30,19,5,8,7,1,0,1,38.74021986702133
26,19,8,18,2,0,1,0,28.93459950634635
32,13,9,11,6,0,1,1,44.52794145002167
27,23,15,11,4,0,1,0,30.274595812555365
25,23,6,18,6,0,1,0,25.82022563350726
27,23,13,8,5,1,1,1,39.63253377754062
25,20,4,8,5,1,1,0,33.794387687279894
26,21,11,16,3,0,0,1,34.01894345674592
28,16,12,16,1,1,1,0,34.950392267021336
37,24,15,14,4,0,0,1,35.71707341493877
4,12,11,19,2,0,1,1,34.71477244102121
21,21,6,18,4,0,0,1,30.4405090181291
31,13,7,18,3,0,1,1,39.63375078771655
17,7,10,17,4,1,0,1,43.92794302282771
32,20,14,17,3,0,1,0,31.78069001912745
33,28,12,14,6,1,1,1,32.65929095082423
34,29,6,10,5,0,0,1,32.401741733934806
35,16,9,14,4,1,1,1,42.69893017338256
31,10,2,18,3,1,1,1,42.89051398560551
33,32,10,10,5,0,1,0,24.993130829158197
31,11,12,16,7,0,0,0,38.15194017722366
39,15,12,10,2,0,0,1,45.66575132645536
37,28,9,15,3,1,1,0,27.58698884143322
28,27,10,24,2,0,1,1,26.148675297307125
38,17,9,11,2,0,1,0,37.115110463582376
32,21,5,8,4,1,0,1,38.88645698275096
30,9,11,16,3,0,0,1,44.23082731496744
29,28,8,4,2,0,1,1,37.89329070985215
38,11,5,16,4,1,1,0,37.67748980132643
35,14,9,17,3,1,1,0,35.69745114824825
51,11,9,14,3,0,0,1,48.195847027845694
32,20,10,18,0,0,1,1,35.776358203819946
33,9,8,6,5,0,0,1,49.72207262513687
39,11,9,15,3,0,1,1,45.460833701958045
29,9,10,10,3,0,0,1,49.16899060668453
22,29,13,2,7,1,0,1,35.77562342252714
45,16,11,19,3,1,0,1,39.915447576024086
27,14,8,20,3,1,1,0,33.04293967791112
31,19,8,13,3,1,0,1,37.5661976211752
32,23,12,2,4,1,1,1,42.64455409258301
26,18,6,10,5,0,0,1,39.61714177811546
35,19,11,6,4,0,0,0,38.31765523745658
33,24,9,7,2,1,0,1,38.27684850166212
32,19,11,14,1,0,0,1,39.14666500388088
34,22,11,19,2,0,0,1,34.96535468745791
22,20,9,16,4,1,1,1,35.404188784909614
21,26,7,16,3,0,0,1,29.225419507774763
37,13,11,13,4,1,0,1,44.64593947351074
23,27,12,6,4,0,0,0,30.72097467674615
36,20,11,16,3,1,1,1,38.38268489163936
35,14,8,10,3,1,1,0,40.559070039825336
29,21,11,23,1,1,0,1,29.781607124825687
36,19,9,19,3,0,0,1,34.786619905366344
30,24,6,5,3,0,0,1,39.24531926314783
43,13,11,8,2,1,1,0,45.7727852970583
44,9,13,24,6,1,0,1,41.53812175915083
21,19,11,4,2,1,0,1,42.6348689919564
27,23,7,12,2,0,1,0,30.3581322977982
23,22,9,20,1,1,0,0,27.080545562621825
22,17,8,14,4,0,0,0,32.37292880522398
38,31,7,17,5,0,1,1,28.29526270846741
38,16,7,13,1,0,1,1,43.51306529007631
29,9,8,12,1,1,1,1,47.837395263340944
27,23,17,11,4,0,1,0,32.89720290321461
28,14,11,18,6,0,0,1,38.692031418645584
21,15,8,13,3,1,1,0,34.1362160240255
17,14,8,15,2,1,0,0,33.377627874583155
34,25,6,12,4,1,1,1,32.89170244384535
31,27,9,11,6,1,1,0,28.715034019699075
32,35,8,19,5,0,0,1,22.651912948021906
30,31,8,10,3,1,1,1,29.37556540309348
31,21,7,8,5,0,0,0,35.17318183714425
17,20,11,21,5,0,1,0,25.513091195466984
40,19,10,21,3,1,1,1,36.07622163264422
28,18,12,12,3,1,1,0,36.479804523700594
31,19,12,14,6,1,0,0,34.633706257233335
28,21,5,14,3,1,1,0,30.997874872989247
51,21,6,1,3,1,0,0,44.23311578567498
26,22,9,18,2,0,0,1,31.015652572617658
38,13,10,15,4,1,0,0,38.82441507088171
30,22,7,12,5,0,1,0,32.2970877910798
16,10,12,19,10,0,1,0,36.63781169840638
32,16,11,13,2,1,0,1,42.48325515936368
34,25,11,10,3,1,1,0,31.87937942332154
34,12,8,20,4,0,0,1,41.14278654191205
27,25,14,15,3,0,1,0,28.111036418791365
40,23,7,19,2,1,1,1,34.21767548043886
22,12,9,9,1,1,0,1,43.2332101366918
25,27,9,14,2,1,1,0,26.0563668440465
22,16,9,11,4,0,1,1,40.88485278110981
37,22,14,18,6,0,1,1,36.48457827754695
30,6,8,14,4,0,1,1,48.87488409719136
29,28,12,19,3,1,1,1,27.952570019441563
25,27,12,14,5,1,0,0,27.00926084456207
38,29,8,17,2,1,1,0,24.80382609777208
27,24,7,11,2,0,0,1,34.22676074352195
30,9,7,10,6,0,1,0,43.43358004342471
25,18,8,14,5,0,1,0,31.668603233174025
38,28,10,19,3,0,0,1,29.88614662088076
23,13,5,11,0,0,0,1,42.12461473457509
28,13,10,13,4,1,1,1,43.28803658516657
35,19,7,13,2,0,0,1,39.24715207820653
41,16,6,18,4,0,1,0,35.03683835615415
13,16,13,14,1,0,0,0,32.1011165396181
36,14,7,14,2,0,0,1,43.841840040037
32,17,10,13,4,1,0,1,40.08828911428224
19,11,11,9,2,1,0,1,45.58161125858317
22,21,11,23,5,0,1,0,25.22408798286877
16,23,10,12,2,1,1,0,28.18683466791236
19,20,9,14,5,0,1,1,35.01452318438109
20,19,12,16,2,0,1,0,31.279464799069604
26,14,9,9,2,0,1,1,44.53606125560957
42,28,12,6,0,1,0,0,35.241218992885926
19,25,15,11,5,0,0,0,28.585291624391868
36,22,11,9,3,0,1,1,39.77767219166477
30,17,10,23,2,0,1,0,31.282734142785063
39,14,8,14,4,1,0,1,43.771817512349045
32,18,12,18,3,0,0,1,37.70558631574227
39,27,6,11,0,1,0,1,33.66738163182314
37,18,6,15,4,0,1,1,39.84098502070155
17,17,9,17,2,0,1,0,31.108142308604886
44,20,7,14,5,0,0,0,33.68725360542603
35,24,7,5,5,1,1,0,35.264298119755665
31,19,14,15,0,0,1,0,34.10334926407701
18,13,8,12,2,0,1,1,42.71284636243505
19,22,9,21,3,1,1,1,29.800603956547647
40,16,12,14,4,0,1,0,39.19640801277792
36,36,12,9,5,1,0,0,24.666133903972007
40,30,9,11,2,0,0,1,30.768041867246733
41,20,14,11,6,1,0,0,36.70688088621783
19,20,12,16,4,1,0,0,29.566151282797616
18,20,11,15,7,1,1,0,27.967031214697307
43,15,11,13,4,0,1,0,39.96012551640753
30,29,12,3,2,1,1,0,31.15077618011565
32,18,9,8,3,0,0,1,41.6346771007748
29,30,12,16,1,0,1,0,21.324737136171617
23,21,8,12,3,1,0,0,30.84531910064757
24,23,9,10,2,0,0,0,29.778363877134936
41,32,12,9,6,0,1,0,28.164039945727303
34,26,6,14,6,0,1,1,31.34748725942584
37,2,10,7,5,0,1,0,51.26191856035976
35,17,8,12,4,0,1,1,41.047844142942665
31,11,7,14,4,1,0,0,38.883553099193065
13,22,7,10,4,1,0,1,33.40845284380287
35,18,8,4,3,1,1,1,46.24470462604432
25,32,9,16,1,1,0,0,20.20168568110599
41,23,8,10,4,0,1,0,35.01361678911074
31,22,9,12,3,0,0,1,37.28613463154071
26,12,11,13,3,0,0,0,37.95933895823223
34,19,13,16,3,1,0,0,32.86106612894863
34,23,7,16,4,1,0,1,32.30990990490872
31,23,12,-1,4,0,1,0,39.14002973799646
35,21,10,6,2,0,1,0,36.38112815091329
25,7,11,10,5,0,0,0,43.0325182463332
25,22,11,12,3,0,0,1,35.16075512467812
9,13,11,12,4,0,0,0,34.34941958517129
38,19,9,19,2,0,1,0,32.07367697983533
50,23,12,19,0,0,0,1,36.39209637839833
19,22,11,15,4,0,0,0,27.586102597946613
29,26,5,13,5,0,0,0,26.964402081028357
36,22,7,18,2,0,0,1,34.108793476688376
40,24,12,10,6,0,0,0,32.23820524800372
31,18,9,8,5,1,1,0,36.977971827024646
34,20,9,13,3,1,0,1,37.57646137840333
23,21,12,18,4,0,0,1,32.71483659585737
37,20,9,24,4,0,1,0,28.47622251924029
31,11,8,17,4,0,1,0,37.268568840287976
35,17,7,9,3,1,0,0,39.35550131880367
24,19,10,19,5,0,1,1,32.63706087935419
21,26,4,19,2,0,0,1,27.87317604724812
32,21,11,11,0,1,0,1,39.47033336974695
18,32,8,10,2,0,1,1,26.31919101421963
39,34,6,19,6,1,1,1,25.23224319624165
36,18,10,13,5,1,0,1,39.5215513286816
22,25,11,17,4,1,1,0,25.47945466967393
29,11,11,10,3,0,1,1,46.52482760143871
33,20,15,11,1,0,1,0,37.87169174031977
10,24,11,17,5,1,1,1,29.056234509851905
25,12,8,11,5,1,0,0,37.4199598588872
25,25,4,18,5,1,0,1,28.35179328359298
26,10,15,7,3,1,0,1,49.50744556910556
34,14,12,19,0,1,0,1,40.84204775748336
23,21,8,22,1,1,0,1,29.81962274457744
32,17,10,15,1,1,1,0,33.99894248601069
41,12,8,19,4,1,0,1,41.39184897402244
24,17,9,12,4,0,1,1,40.86790829083165
28,29,10,11,6,0,0,1,28.083503325664072
37,28,10,16,0,0,0,1,31.17777957195413
30,22,9,8,5,0,0,1,39.44572842993891
45,21,4,17,3,1,0,1,35.849878970531314
31,14,10,12,2,0,0,1,42.40023179246412
18,28,8,22,5,1,0,0,16.63951419569688
34,18,5,6,4,1,1,1,45.04128982495677
28,22,8,12,3,1,0,0,31.102873583033137
26,28,10,19,7,1,1,0,21.79048397920577
30,12,9,3,3,0,1,0,46.08141897791173
28,32,8,13,2,0,0,1,26.37782708315765
28,24,3,26,3,0,0,1,24.373133038047424
26,21,8,7,3,0,1,0,33.499295777300695
25,21,10,22,3,1,0,0,26.684508582351217
24,14,7,13,5,0,1,0,36.74129642611059
30,16,10,12,3,1,0,0,37.87279735299338
30,31,7,12,6,0,0,0,22.196724799436502
26,23,7,16,4,1,1,1,33.32817463843015
38,29,10,6,2,0,0,1,37.20302930525216
33,24,12,17,6,1,1,0,28.228544258579188
41,17,13,13,4,0,1,1,42.2002181385915
20,21,8,15,1,1,1,0,29.53640411133812
30,20,12,14,4,0,1,0,32.49132129119352
31,25,13,3,4,1,0,0,34.46377879166896
29,15,12,12,4,1,1,0,36.80390722942627
26,16,7,8,3,1,0,0,38.32179060114468
30,22,6,20,4,1,0,0,26.858081075533484
24,15,11,9,2,1,1,0,39.11939946929437
13,25,14,18,5,1,1,0,23.246934505695407
16,24,7,15,4,0,0,1,27.71569234039354
21,21,11,17,4,0,0,1,31.83276747360048
27,24,9,27,5,0,0,1,23.63733084248849
29,29,10,21,6,1,0,1,24.598558004338127
25,20,13,13,4,1,1,0,31.917829430844783
38,18,8,13,5,0,0,0,35.11904508902417
29,26,6,14,5,1,1,1,31.474821195781757
28,24,13,11,3,1,1,0,31.15814519806897
40,31,7,15,5,1,0,1,27.648403456539818
19,12,6,9,6,0,0,1,42.9384872114959
33,11,8,6,2,1,0,1,49.16340350914244
22,18,9,9,2,0,1,0,36.19551051515459
30,34,6,4,2,0,0,0,24.92479935873451
39,15,8,13,3,0,1,0,38.44500028028012
35,18,12,15,4,1,1,1,40.71357048810214
36,20,6,21,2,0,0,0,29.305203659048978
19,18,17,15,4,1,0,0,31.99504930363446
40,22,9,15,5,1,0,1,37.32069761328356
30,15,12,14,4,1,1,0,35.905232931905594
31,26,10,13,3,0,0,1,33.841465169039765
23,24,7,19,6,1,0,0,23.461677571091
18,25,15,25,2,1,1,0,22.37151476419437
32,18,12,12,4,0,1,0,35.26666336609118
23,27,12,13,4,1,0,0,25.61028012817907
49,19,6,11,5,1,1,0,37.56215241306927
31,14,14,12,3,0,1,0,39.839953647679344
42,15,12,13,3,0,1,1,43.34905518273565
32,18,9,6,2,1,0,1,41.78501840948287
38,16,7,10,3,0,1,0,39.45518769371578
35,11,9,13,3,1,1,0,41.43487590363546
32,14,8,7,3,1,1,0,42.078107477844895
24,23,9,18,1,0,1,0,25.382880726363904
33,20,10,8,4,0,0,0,37.02642007488346
36,20,8,6,2,0,1,1,45.26799131283987
37,17,14,20,2,1,1,1,39.74973507550745
38,19,7,19,3,0,1,1,36.131331924380646
26,16,13,12,1,0,0,0,36.65625221540775
28,15,13,8,3,0,0,1,44.68900997898944
26,16,14,14,0,0,0,1,40.27180208399853
25,20,9,23,4,0,1,0,25.80231517552252
20,18,9,16,3,1,1,1,36.66908366635077
36,25,9,17,3,0,0,1,31.16234594991441
24,24,8,13,2,0,1,1,30.476689889515907
33,28,5,16,8,0,0,1,27.802374753102665
30,11,7,13,4,1,0,0,39.92812812575917
22,11,8,11,2,0,1,1,46.238936830741984
33,7,9,15,5,1,1,0,41.33612639361587
33,25,11,18,2,1,0,1,31.58881620530268
32,21,12,10,7,1,0,0,35.32881629477687
32,16,10,10,2,0,0,0,39.555020309518426
36,21,9,13,4,0,0,1,37.940778925727386
23,17,6,13,5,0,0,0,33.285344016828404
24,20,13,4,5,1,0,1,42.590634710212754
30,26,10,17,0,1,1,0,26.31538835388868
17,18,6,19,4,0,1,1,30.81599171340177
27,19,11,10,6,1,1,0,34.389536012755265
13,15,8,13,1,0,1,0,33.69574625263034
25,22,5,13,6,0,1,0,29.33511512081828
16,32,8,12,3,1,0,1,26.89793200519074
37,14,9,9,0,1,0,0,39.82700557757999
26,27,11,7,4,1,1,0,31.09141031187001
28,14,13,18,2,0,1,0,34.73189318858505
32,20,11,16,4,1,0,1,37.83492145759275
30,15,9,13,4,1,1,0,36.33271770452337
30,12,3,8,4,1,1,0,39.49638618655441
35,25,5,13,5,0,0,1,33.0612789869421
35,17,5,18,2,1,0,1,37.21890396720735
42,24,12,15,3,0,1,1,36.343468268457855
24,16,5,16,2,0,1,0,31.73819329408124
23,16,13,14,2,1,0,0,36.296050161371305
24,20,8,9,3,0,1,0,33.2002774437742
20,22,11,12,3,0,1,1,34.1362763110999
17,20,9,20,3,0,0,0,25.751408741935325
33,11,10,22,3,0,1,0,33.2752326830006
43,16,7,15,2,1,1,1,41.42231221267481
28,27,8,15,5,0,0,1,30.13766181099659
45,27,15,12,2,0,0,1,37.593749049967386
25,17,10,10,1,1,1,0,34.69564928201864
39,14,9,20,6,0,1,1,40.800586136315545
33,24,13,18,2,0,1,1,31.88846716956263
35,23,11,15,5,0,1,0,29.89340033150701
36,12,10,15,4,0,1,0,39.93911037003102
24,24,7,14,3,1,1,1,32.481293215467375
34,16,11,16,1,0,1,1,40.15273731696082
38,16,13,3,4,0,1,1,50.07519149714603
38,22,10,4,1,1,0,1,43.139417477422
24,25,12,14,3,0,0,0,26.527592482810608
43,33,12,18,4,1,0,0,23.349560336348432
34,29,10,4,4,0,0,1,38.00098990116347
22,12,11,9,4,0,0,1,44.965037783121794
38,22,16,12,6,1,0,0,35.098948481903456
36,26,7,2,3,1,0,1,40.67367111609542
23,23,11,10,4,0,0,0,31.457814613898247
26,13,8,21,3,1,1,0,33.105260946818426
37,10,6,9,4,1,1,1,48.17524697054314
34,20,10,13,3,0,0,0,33.74202700032184
37,23,10,11,7,1,0,0,31.6286152192806
39,13,3,16,3,1,0,0,35.66639284696863
32,28,13,13,4,0,1,0,26.553055775571437
19,19,9,12,3,1,1,0,31.78450975789716
24,23,10,12,3,1,1,0,30.13590254756385
27,16,12,16,1,0,1,1,39.63687486297176
29,19,11,21,4,1,1,0,29.114325054442325
30,21,6,30,2,0,0,1,24.41401918678253
16,26,17,21,-1,0,0,1,25.883921048429613
19,17,12,17,1,0,1,0,31.790462382469684
30,21,10,10,2,1,0,1,39.18989757409686
36,17,15,13,4,0,1,0,39.60301974857219
36,27,6,21,3,1,1,0,23.751580913831653
33,5,6,20,3,1,0,0,41.63803920292984
31,21,7,22,2,1,0,1,31.04480004054784
31,20,12,13,2,0,1,1,38.14711345214386
19,20,10,9,3,1,1,0,33.320881888186975
29,26,8,18,3,0,0,1,28.63802488707769
22,17,7,14,4,0,1,0,32.842235614195296
35,19,15,16,2,1,0,0,32.91359176098992
15,20,13,12,3,0,0,1,34.390436751667465
31,13,8,12,5,1,0,1,42.92299616647154
26,6,11,8,4,1,0,0,47.72974537872363
18,16,4,4,4,0,0,0,38.906340987562565
30,24,5,19,4,0,0,1,29.554077613944592
32,20,7,20,0,0,0,1,33.68915687071122
29,18,10,14,1,1,1,1,39.914563432982646
12,10,10,10,1,0,0,0,39.06517672416013
28,19,7,20,4,0,1,1,33.958465258887266
37,19,9,10,5,1,0,0,37.73572509880211
11,29,9,16,0,1,0,0,20.34262084860718
34,13,6,12,2,1,1,0,40.26727671867239
30,27,7,15,1,1,1,1,29.417842191551337
28,27,11,16,0,0,1,1,28.472123951243503
22,25,6,12,7,1,1,0,27.781382563290016
27,20,4,17,5,1,1,0,30.44259611701904
12,23,9,23,1,0,0,0,20.80962602661941
19,19,9,11,5,0,0,0,31.85108606160157
32,26,7,10,5,1,0,0,29.12252762251122
38,20,9,13,1,0,0,0,34.83629213420666
31,20,10,18,3,0,0,1,34.19197797977829
28,27,7,15,5,0,1,1,29.87469766771101
38,13,16,12,4,0,1,0,41.29087380063525
19,33,9,17,7,1,1,0,19.841527481105278
38,34,11,10,4,0,0,0,25.60889879339377
39,20,7,15,3,0,0,1,37.22222500646799
32,19,9,8,4,1,1,0,36.810907211543935
23,25,17,10,6,0,1,0,29.833671616119084
38,15,9,13,5,1,0,0,37.99561203973053
21,27,4,22,3,0,1,1,25.453812236122083
40,20,10,17,2,0,0,0,31.79070896760536
26,22,4,9,3,0,0,1,38.60701854839642
26,11,9,14,6,1,1,0,39.45008114760769
34,18,7,24,2,0,0,1,32.72374952594434
29,20,8,19,5,1,0,0,27.011064140637707
26,20,11,11,2,0,0,0,32.50309967805917
27,13,5,19,5,1,0,1,38.628942766018
38,24,7,13,3,1,0,1,34.90920485897245
24,15,10,13,4,0,0,1,38.77229048463434
30,25,10,10,5,1,0,1,34.59661768499951
14,22,14,16,3,1,1,0,26.533081427706566
