age,education_years,income,community_involvement,unemployment_duration,gender,rural_residence,social_intervention_program,life_satisfaction
31,23,11,12,6,0,0,1,72.49049115659274
35,23,7,23,3,0,1,0,61.77086409159294
28,14,10,17,4,1,0,0,62.65597799743098
32,12,11,19,5,0,1,0,60.99754046248809
40,17,11,14,5,1,1,0,55.12615593635242
32,20,8,8,6,1,0,1,64.76486769404637
13,13,6,21,4,1,0,1,78.60193274397497
33,18,10,18,2,1,0,0,61.6417216981818
19,23,5,14,2,0,1,1,75.83667744781982
29,17,10,5,5,0,0,0,56.64870977825469
36,9,13,11,4,0,1,0,51.29159925402677
28,16,10,22,2,1,1,0,66.86872352956821
27,21,9,12,6,0,0,0,64.15809742972618
34,23,12,16,5,0,0,0,66.19573417553022
34,16,8,6,4,0,0,0,52.07241081297104
21,15,14,19,3,0,0,1,79.42886519302061
50,26,12,20,6,0,1,0,59.54943776769983
36,10,8,15,4,1,1,1,58.10069182146994
18,23,12,6,2,0,0,1,77.88235230313268
39,26,5,10,8,0,0,1,62.15817955494888
33,18,9,13,4,1,1,0,60.27013054237764
28,27,10,6,3,0,1,1,73.29020454214913
41,11,15,9,2,1,0,0,49.400362201337
35,27,11,10,3,1,1,0,62.11434685196331
39,34,15,18,3,0,0,0,72.76590175386832
26,7,13,16,5,0,0,0,61.51935345653442
20,18,8,20,1,0,0,0,67.7583110084711
27,14,10,14,2,1,0,0,60.2216827570915
27,22,9,32,4,1,0,0,76.59041968293947
16,26,11,17,4,0,0,1,86.86760819765354
27,14,10,11,2,0,1,0,58.6850827969146
26,10,11,17,2,0,1,1,70.33952824532582
43,20,10,16,3,0,0,1,60.75581653195874
22,30,11,14,1,1,0,0,77.56994915377321
45,16,9,10,1,0,1,0,45.001723577955616
25,18,7,7,6,1,0,0,59.84196384114848
38,18,11,4,4,1,0,0,50.61535053634989
25,18,13,19,5,0,0,1,78.65136821858816
52,20,10,12,2,0,0,0,45.074474375742994
37,14,12,24,4,0,1,1,71.21117521186775
32,10,8,17,5,1,1,0,54.88206658804654
23,21,15,3,4,0,1,1,76.86602762383087
26,15,8,14,6,1,0,1,69.62634077277269
44,8,9,13,3,1,0,0,42.03507743447424
19,27,16,13,5,0,0,1,90.19573910280054
33,23,9,16,1,0,0,0,63.03467982646278
22,20,5,15,3,0,0,1,70.48495421220076
25,18,11,19,2,0,0,1,74.89225915930982
33,16,6,19,2,1,0,0,57.21404066224428
23,22,11,26,6,0,1,0,79.52818682685164
22,16,10,9,8,0,0,1,72.91843276831996
32,29,8,15,3,1,1,0,68.7392108193289
38,18,15,8,4,1,1,0,57.08005555738477
25,11,13,22,3,0,0,1,74.61984381511154
36,21,7,19,6,0,0,0,60.92808489811009
32,28,9,13,4,0,0,0,67.15364610083752
32,28,7,11,5,1,0,1,71.37779394970171
15,17,15,18,5,1,0,1,87.79754863365639
20,25,11,17,4,0,0,1,83.9729161245441
27,25,12,18,5,1,0,0,72.01201757755753
33,20,13,16,3,1,1,1,73.42058390664482
25,15,7,6,2,0,0,0,52.97341359960366
29,23,13,13,1,0,0,0,67.23541916213021
7,17,4,13,5,0,0,1,80.91902261173526
22,24,8,3,5,0,1,1,71.1676574210583
40,25,10,18,5,1,0,0,62.561809786673294
15,21,14,8,5,1,0,1,84.9168644321344
41,9,9,19,4,0,0,0,45.99669949661618
36,22,12,14,4,0,0,0,60.89396677266836
18,20,14,16,3,1,0,0,76.7547138295135
28,9,8,18,6,0,0,1,64.0187486304562
27,23,7,9,2,0,0,0,60.38426696889217
29,17,9,8,2,0,0,0,58.36920678957238
23,26,8,20,2,1,0,1,81.25925685590245
30,18,11,11,6,0,0,1,69.38421000902032
45,28,7,12,4,0,0,0,52.62432657719446
23,21,10,18,5,1,1,1,81.43028011076451
28,21,11,9,4,0,0,1,70.5105477675189
31,17,9,13,5,0,0,1,67.10200178790578
33,18,11,9,5,0,1,1,65.31731091589282
34,32,10,8,1,0,0,0,64.2752604155843
47,9,9,10,4,0,0,0,37.75713566635053
36,24,10,12,4,0,0,1,68.59629001384705
24,26,6,6,3,0,0,1,69.10955628370763
29,18,11,7,3,1,1,1,68.80716692488548
28,16,3,7,2,0,0,1,55.90655248974173
24,18,9,5,2,1,1,1,66.63021104328385
12,19,10,22,4,1,0,1,89.16978018484798
31,18,7,12,2,0,0,0,54.678429414335525
25,19,9,9,3,0,0,1,68.27208455696274
23,18,11,14,0,0,0,1,74.49755272923903
29,31,10,19,1,1,1,0,74.83807295821504
34,14,8,13,4,1,1,1,61.49345032617423
29,17,6,12,3,0,0,1,63.72138696932924
22,18,8,14,4,0,0,1,73.62918759431156
25,14,14,16,4,1,1,1,76.87960297833001
40,15,5,18,5,1,1,1,58.80654217930073
25,21,12,8,3,0,0,0,65.83603683429402
32,19,5,9,2,1,0,0,51.60663418901119
30,14,8,16,4,1,1,0,57.51061302103516
33,32,8,4,5,1,0,1,70.975291013533
21,29,5,14,5,0,0,1,77.8223767367158
31,13,9,14,5,0,1,1,63.0933258480923
25,20,13,21,3,0,0,0,75.26066587377494
43,24,12,11,3,1,1,0,56.82126524834178
29,30,9,17,3,1,0,0,72.10754421934361
28,29,10,16,4,1,0,1,79.86233686927591
28,13,14,17,3,1,0,0,65.66410022503703
33,27,11,10,3,1,0,1,72.52417105030986
31,22,11,12,4,1,0,0,64.9488320362004
46,25,7,11,1,1,0,0,48.30044806277908
43,13,9,18,4,1,0,0,48.624781046895386
21,22,5,10,6,0,0,1,69.66302250254232
36,21,9,11,5,1,0,0,57.90868399119629
17,11,13,13,5,0,0,1,76.8079792223699
16,5,9,15,4,0,0,1,69.24912449742747
34,26,8,11,4,1,0,1,69.16634915819337
34,16,10,13,5,0,1,0,56.84016933312997
19,9,14,9,1,1,1,1,71.18070669350156
34,20,10,19,5,0,0,1,71.05769901388075
31,21,12,18,3,1,1,0,68.36624463361235
18,18,5,10,2,0,0,1,70.1401415289935
37,15,11,8,3,1,1,1,61.21026856281901
16,23,10,16,5,0,0,1,82.68657206626168
22,26,7,15,2,0,1,1,77.89418757646904
24,19,9,21,4,0,1,1,79.04618961871488
29,21,15,10,0,1,0,0,66.48999396927779
32,25,11,14,3,0,0,1,72.06888658775257
47,17,8,13,7,0,0,0,48.78852139761259
30,18,17,17,2,1,1,0,71.01744701781273
24,9,8,7,6,0,0,1,60.31709284495016
43,19,8,17,6,1,0,1,60.34340948960016
35,18,9,14,2,0,1,1,63.125823114071125
30,16,8,20,5,0,1,0,61.54393993924862
50,20,6,10,4,0,0,0,41.21808964030373
37,16,11,21,7,0,0,0,61.134672946618025
21,17,7,12,1,0,1,0,62.12545779305871
39,21,6,10,5,1,0,0,49.78022302512775
27,33,8,12,3,1,0,1,78.5815492904638
29,19,10,15,3,0,0,1,71.35124014087302
26,13,10,8,5,1,1,1,65.11860852318017
35,30,7,19,1,0,0,1,72.24241952411708
23,25,14,20,3,1,1,0,80.60258531750365
28,20,10,8,1,0,1,0,60.580325547409615
34,18,8,9,5,1,0,1,59.16550079595781
33,22,8,10,3,0,1,0,59.06079268530029
32,17,4,0,2,0,0,0,42.45362816691273
24,18,10,15,5,1,0,0,66.97319852334084
31,29,6,11,4,1,1,0,64.4976068586183
21,24,11,7,3,0,1,0,69.31689299281845
24,26,10,16,4,0,0,0,73.852207546664
32,15,13,16,1,0,0,1,68.61113433878627
30,16,10,6,5,0,0,1,63.7604783075174
27,14,10,19,2,0,0,0,63.60245560546091
32,11,11,12,4,1,1,1,63.583087069414304
41,20,12,0,5,0,0,1,58.03883318243985
31,19,8,27,0,0,0,0,66.56194704022644
26,10,8,5,5,0,1,1,59.0709357213449
31,11,6,6,2,1,0,0,48.049736744807525
27,17,8,3,2,0,0,1,62.722965727332685
30,19,7,14,3,1,0,1,66.54751179793168
28,24,10,12,3,1,0,1,75.40426867816748
26,26,6,19,3,0,0,1,75.39076229572785
33,26,10,15,3,0,0,0,63.3167609973526
33,19,11,11,0,1,1,0,58.69308499051128
30,17,11,16,5,1,0,0,64.9253393146125
23,18,11,14,2,0,0,0,65.81586417092967
31,21,6,10,4,0,1,1,65.783170745104
24,23,10,7,5,0,0,1,72.94167018214652
27,30,9,13,5,0,1,0,71.87102020093623
29,28,9,10,0,1,0,1,72.97112123596311
18,10,7,10,1,0,0,1,65.60820112519156
40,23,8,10,4,0,1,1,60.6641728784307
27,24,7,9,1,1,1,1,68.34166898516044
27,23,11,13,3,0,1,0,68.79701486072209
28,26,5,14,4,1,1,0,65.2820982078646
35,18,18,9,3,1,1,0,64.54740158047551
32,24,13,14,2,0,0,1,74.20451393618187
19,15,9,18,0,0,0,0,66.53013984668227
24,19,10,12,4,1,0,1,74.37164387744603
24,33,9,13,3,0,0,0,74.77611410969412
28,14,8,17,4,1,0,1,65.90891426088965
31,25,10,10,2,0,0,0,62.646924889786746
26,27,9,13,0,0,0,0,68.29064968445095
43,4,9,9,7,0,0,0,38.22562464341132
25,13,11,22,3,0,1,1,73.66057916104414
24,25,12,3,3,1,0,0,66.48113925351642
50,22,2,20,3,0,0,0,44.328606779034445
29,13,9,10,3,0,1,0,54.32441427912807
28,27,7,22,4,0,0,0,70.7411244347766
36,19,7,19,3,0,0,1,63.98476781380275
24,10,7,12,1,0,1,1,61.72406924605549
46,20,9,13,3,0,1,0,49.289309409852855
27,30,8,17,5,1,1,0,75.9111656550988
26,10,12,13,4,0,1,1,68.03354222634226
43,23,12,14,4,1,0,0,56.80948879992476
37,26,7,19,4,1,1,0,62.34287121974439
31,13,7,23,4,0,0,1,66.15635958057655
37,26,15,14,5,0,0,0,68.02537310662441
35,23,14,15,6,0,0,0,66.95576160122548
30,20,-2,8,4,0,0,1,53.14160223623303
28,27,8,16,5,0,0,0,67.57157853767049
25,23,6,14,1,1,0,0,62.22704437464636
44,15,15,11,2,1,0,0,52.75121257250346
20,17,6,15,1,0,1,0,63.213465221770456
41,14,8,13,4,1,1,0,47.90286528489276
37,19,6,12,4,1,0,0,51.83987414665104
19,9,6,15,6,0,0,1,67.19352085592992
31,13,7,24,3,1,0,1,66.50108759182767
26,28,10,21,5,0,1,0,78.53023399402043
43,29,10,9,5,0,1,0,56.7239608891376
27,31,5,12,6,0,1,1,74.15294157729927
17,21,11,10,2,1,0,1,79.51192220295736
23,25,8,8,4,1,0,1,71.97470758238192
35,18,16,6,3,0,0,0,58.92096341632456
36,20,9,6,3,1,1,0,52.60708382556711
19,26,14,26,6,0,0,1,95.29035352688126
26,18,11,18,2,0,1,1,74.82816809612169
28,22,12,9,2,0,1,0,64.12473399002583
24,22,6,19,2,0,1,1,76.02356887454015
43,1,13,5,0,0,0,0,35.321315529654136
35,15,5,16,1,1,1,0,52.67355857647529
22,22,6,12,2,1,1,0,65.51747167408764
44,20,7,22,2,0,1,0,54.00224070104754
27,18,9,12,3,1,0,1,68.9431238853245
34,23,10,7,6,0,0,1,65.77616848659851
22,23,10,9,5,0,0,0,67.96237152671533
30,26,9,18,3,1,0,0,68.64138484088569
28,29,14,14,4,0,0,0,75.72296176036527
27,12,3,7,4,1,1,0,48.743002850049415
25,12,12,11,3,0,0,1,67.42219169860618
27,33,9,18,4,0,0,0,77.1960506394496
36,25,6,10,4,1,0,1,63.1870076328346
32,17,9,16,2,1,0,0,57.54685973239124
29,26,10,11,2,1,1,0,67.72924145731078
33,18,12,8,4,0,1,1,66.5319770985955
25,21,9,16,3,1,0,0,65.82850031412306
31,19,17,6,4,0,1,0,63.13749220332712
16,26,8,8,3,0,0,1,78.23957212940428
38,8,14,12,5,0,1,0,52.74745027141668
28,26,7,8,4,0,0,0,61.61013679874563
31,23,15,12,2,0,0,0,66.31837077250376
33,15,9,13,2,1,1,0,56.08918920279865
42,27,11,12,3,0,0,0,59.87582912973452
24,17,14,11,2,1,1,0,67.64321963367443
33,12,14,16,5,1,0,1,70.30775573235144
30,20,12,16,6,1,0,0,68.11932517802579
12,25,9,18,2,0,1,0,80.57143336851905
24,20,11,7,2,1,1,0,64.64822312547187
35,13,7,13,3,0,1,1,56.96036949804119
28,24,8,12,3,0,1,1,72.520039673871
35,18,13,11,0,1,0,0,58.74807550678374
22,27,8,13,5,0,0,1,79.5292098911203
9,20,10,20,6,1,0,1,91.7523317185787
19,15,10,11,1,1,1,1,73.4715055267039
23,19,8,12,5,1,0,1,72.54692863443886
26,26,9,12,1,1,1,0,67.84513288255934
29,15,8,25,5,0,0,0,65.53737533942186
28,15,8,16,5,0,0,1,67.92981448683692
34,29,10,18,6,0,0,0,68.31464831163925
23,29,14,9,2,1,0,0,74.71700968205565
22,21,5,11,6,1,0,1,70.96910244695573
36,25,8,16,6,1,1,0,64.45986098923538
35,20,4,10,2,0,1,1,59.12599452001334
31,24,11,19,2,0,0,0,69.08278903523627
28,28,9,14,3,0,0,0,68.29440617824952
31,22,4,16,3,0,1,0,58.43513365581824
37,14,13,17,5,1,0,0,60.138933238960114
32,21,11,3,4,0,0,0,55.61387271825992
31,20,7,16,5,0,0,0,60.58402844388506
36,17,10,8,1,0,0,0,51.12171199942015
37,18,9,2,2,0,0,0,46.39013648492102
17,16,4,10,4,0,1,1,67.8130580817469
34,22,9,17,5,1,0,0,62.984589781066354
20,18,8,7,2,1,0,1,69.98909215464889
10,32,11,3,2,0,0,1,87.29609484556751
41,14,11,10,6,0,0,1,58.35001913832049
27,14,14,9,2,0,1,0,62.13305288766246
30,13,8,5,4,1,0,1,58.28454713194183
33,13,7,12,4,0,0,0,49.390019008756646
24,22,6,12,2,0,0,0,61.5246218448146
33,13,12,21,7,0,1,0,61.4620643206653
37,22,7,11,5,0,0,1,60.51287693185581
31,18,12,14,5,1,1,0,63.54527193025645
34,17,12,4,2,0,0,0,52.62118849008671
11,27,9,8,4,0,0,0,76.66210336201382
20,18,8,27,4,0,0,0,74.99824295113581
27,22,6,12,5,0,0,0,61.60694223138796
36,19,9,8,4,0,0,1,58.00602346208613
31,25,16,13,0,0,0,0,70.63491318847862
27,24,9,18,4,1,1,0,69.92082297955578
30,18,9,8,6,0,0,0,59.4365277505709
22,25,11,24,5,1,0,0,80.28452684683741
38,16,8,14,5,1,1,0,53.76913284705498
35,28,4,13,4,0,0,0,57.51326753071209
26,7,20,5,2,1,1,1,70.86951802393001
45,26,12,6,4,1,1,0,54.35928986281749
18,23,12,19,1,1,0,1,86.23072191324712
21,18,13,24,2,1,0,0,77.96982536105449
37,19,15,11,6,0,1,0,61.33872571262493
25,28,11,9,1,0,0,0,68.14120250317116
40,12,11,14,4,0,0,0,49.898662675991176
31,18,8,17,5,0,0,1,68.30668520035283
29,26,13,20,4,1,1,0,76.05062560224725
21,26,4,17,5,0,0,1,74.27934848680988
32,19,14,8,4,1,0,0,62.99534694062692
31,23,14,20,6,1,1,0,74.46322513443207
35,13,7,7,5,0,0,0,48.33730376442245
40,16,8,19,1,0,0,0,49.28425884358818
28,20,14,15,0,0,0,0,65.77633876013209
26,14,10,14,5,0,0,1,70.67691666528101
24,21,9,10,2,1,0,1,72.64969715512625
26,9,9,13,2,0,0,0,53.13220496000307
33,7,11,14,2,0,1,1,60.16526968593645
33,21,9,17,5,0,1,0,63.19304722528849
27,19,18,21,6,0,1,0,78.29404319514018
18,21,13,8,1,0,1,1,80.06168348148243
21,20,5,16,4,1,1,0,67.1319505097696
35,23,12,15,4,0,0,0,63.38836277689561
31,21,12,19,4,0,0,0,66.83200279281567
29,19,7,11,5,1,1,1,65.5463378829782
32,24,5,15,4,1,0,0,59.82807056710926
32,13,13,11,3,0,1,1,65.81170997967428
42,14,16,11,4,0,0,1,62.788888383865086
32,15,10,23,2,1,1,0,63.87246658864813
25,20,9,17,2,0,0,1,73.67498141271902
39,30,8,6,3,1,1,0,56.55519665132879
26,29,11,12,4,0,0,0,71.6031226500425
22,14,13,11,5,1,0,1,74.12775443274118
42,14,6,12,4,1,0,0,44.631396870639314
30,25,10,13,5,1,0,1,73.8089425807383
37,19,6,11,3,0,1,0,49.22311763261867
28,15,6,17,4,0,1,1,67.22814258031815
44,22,7,14,2,1,0,1,58.88701723574458
24,16,11,16,1,0,1,1,72.33271892554217
26,33,15,16,2,1,0,0,82.38822854011768
31,31,11,9,1,0,0,0,68.00217542189105
39,25,11,21,2,0,0,0,66.287669315035
28,11,15,17,1,1,0,1,71.10981456331027
27,27,11,16,4,1,1,0,75.35806541154138
11,19,4,12,5,1,0,1,76.72153321532527
49,17,12,10,7,0,0,0,47.77883065850629
31,24,7,12,1,0,0,0,58.60632978645028
35,21,13,14,3,0,0,0,62.776739452447416
37,27,7,4,4,1,0,0,54.92772990850087
22,24,11,17,4,0,0,1,83.18392254044925
25,10,10,19,2,1,0,1,69.34130749868571
31,13,10,6,1,0,1,1,60.28041495373895
30,25,3,17,5,0,1,0,60.21263192619423
38,34,12,16,3,0,0,0,71.20127673242263
31,20,8,19,2,0,0,0,61.7375639569702
31,15,8,13,1,0,0,0,54.87578603148098
37,19,11,20,4,0,0,0,62.034546485065405
18,24,6,13,6,0,0,1,78.13419836299363
42,13,4,13,3,1,1,0,41.21095934500575
23,20,14,11,4,1,1,0,70.3755302633711
28,11,7,13,5,0,1,0,53.96176818111291
23,26,6,9,4,0,0,1,69.9488150536976
17,23,11,7,6,0,0,1,80.58027577592848
36,18,7,12,8,1,0,0,53.7432287786423
31,21,16,12,5,0,0,0,70.18740624286866
28,15,11,15,4,0,0,0,62.54545177513302
19,17,14,16,5,0,0,1,82.22913006862174
35,13,11,13,4,1,0,0,56.23728639530373
29,25,16,17,5,0,0,1,83.01624129890436
38,26,9,17,3,1,0,0,61.82220624070643
27,17,3,1,6,1,0,1,54.84057352839023
33,21,10,16,4,0,0,1,69.6618551044761
42,22,11,24,1,0,1,0,60.36211653484754
40,22,12,5,5,1,0,0,54.752517453711086
24,19,6,0,6,0,0,0,55.571505300388765
27,21,7,11,2,0,1,0,59.647787558904746
30,18,16,14,2,0,1,1,77.25715548401882
37,29,17,23,3,1,1,0,77.79676516271023
31,9,12,18,1,0,1,0,56.29801920080163
23,18,3,12,1,0,1,1,64.15169749257534
19,21,8,6,4,1,1,1,73.8025007264125
28,19,10,10,3,0,0,1,67.89297016738385
25,21,9,12,2,0,1,0,63.78156114663322
26,21,8,17,4,1,0,1,74.28869838831612
30,14,8,11,3,0,0,1,62.72376339508901
31,11,6,1,4,0,0,0,44.65234371383738
28,28,8,2,1,0,0,0,59.27402892665874
30,20,14,11,4,0,0,0,66.40365434898979
34,6,11,26,2,0,1,0,56.06243031032426
49,28,12,17,5,1,1,0,61.252673635158
38,19,9,9,4,0,1,1,61.568777050219154
28,19,8,9,4,1,0,1,67.25268757262312
33,16,10,14,2,0,1,0,56.41237273163208
40,20,7,22,5,0,0,0,58.1454197893573
13,32,7,14,2,0,0,0,80.3488326068355
28,16,8,9,2,0,0,1,63.49706707624044
22,22,9,15,3,0,0,1,77.27903886328355
29,15,11,16,0,1,0,1,69.36231281661925
38,26,13,13,5,0,0,0,63.65615270878118
32,21,8,15,5,0,0,1,69.48841686587843
27,16,4,6,2,0,0,1,57.48228457174279
15,20,9,17,6,0,1,1,83.94136454811326
30,22,7,17,5,0,0,1,69.31863367396286
35,11,6,10,5,0,1,1,53.23046045903217
42,13,8,11,1,0,0,1,50.15738729316309
27,12,11,13,1,0,1,1,66.83468780562262
31,15,11,8,4,1,0,1,63.6580829186284
38,19,6,12,2,1,0,0,49.60650936530633
40,18,9,8,4,0,1,1,58.95872237871176
24,12,11,12,3,0,1,0,61.589573899458415
48,26,10,12,5,0,0,0,53.41947367756146
33,20,14,10,2,0,1,0,63.78167859929363
39,33,13,17,4,0,1,0,72.11653707171979
39,18,9,16,2,0,0,0,54.42418975988331
32,25,14,8,5,0,1,0,67.2468030437072
45,24,9,14,0,0,0,0,50.2811844931412
36,15,11,16,3,0,0,0,56.21127788600543
23,15,6,9,6,0,0,1,65.55941829652208
32,26,10,6,5,0,0,1,69.59901168560047
32,14,6,14,4,0,0,1,61.98385895672835
26,25,8,15,1,0,0,1,75.22906844664925
27,18,3,17,4,1,0,1,63.77051153168701
31,42,12,17,4,0,1,1,90.99328911632668
38,23,10,20,4,0,1,0,64.8346512932559
22,20,9,18,4,0,1,0,71.96802421808174
