years_of_education,household_size,pre_intervention_income_change,owns_home,has_stable_job,received_financial_literacy_invite,attended_financial_literacy,post_intervention_monthly_income
4,1,-1,0,0,1,1,57.567459772709
7,2,0,1,0,0,0,48.73592409426964
5,2,1,0,0,1,0,49.67870176633339
4,3,0,0,0,1,0,50.45962182554014
7,2,0,1,0,0,0,49.920912515515504
2,2,0,0,1,0,0,49.54464185137771
5,3,0,0,1,1,0,49.2130501037986
0,3,0,1,1,1,1,57.09362825796357
0,2,0,1,0,1,1,55.37086534268532
3,3,0,0,0,1,1,57.471340267462594
6,3,0,1,0,0,0,48.31962415292188
2,2,0,0,1,1,0,49.45264745303922
3,2,0,0,1,1,0,50.53685930158299
4,2,0,1,1,1,0,48.295213738539445
1,3,1,1,1,0,0,50.41217054967517
6,3,1,1,1,1,0,49.89315035933687
2,2,0,1,1,1,0,49.174672292776606
3,1,0,0,1,0,0,51.39362406515814
3,2,1,1,0,1,1,56.2496656506159
3,2,0,1,1,0,0,48.58355635939032
3,3,0,1,0,0,0,48.49353840548912
2,2,0,1,1,1,0,48.71840549597774
4,3,0,1,1,1,1,58.34647794146946
3,3,0,0,1,1,0,50.448258566773305
1,3,0,1,1,1,0,48.49706419103841
7,3,0,1,1,0,0,48.85832275540926
4,3,0,1,0,1,1,56.32800263403412
4,2,1,1,0,0,0,47.58852680589662
3,3,0,0,1,0,0,51.00482943448036
3,3,0,1,0,0,1,55.85955882887218
2,3,0,1,1,1,0,48.711691598768375
1,2,0,1,1,0,1,58.8955196846603
3,2,0,0,0,0,1,57.10713072960114
4,2,0,0,1,1,1,59.27634605478171
3,3,0,0,0,0,0,50.9767918297038
3,2,0,1,1,1,1,57.46458802849556
1,3,0,0,0,0,1,57.67476303289653
3,4,0,0,1,0,0,51.0747995181906
4,3,0,0,1,1,1,55.59886588472252
7,3,0,0,1,1,0,51.61138676441708
8,2,0,1,0,1,1,56.66181029363364
5,3,0,1,1,1,0,48.715500140835736
4,3,0,0,1,1,0,50.65815303539352
7,2,0,1,0,1,0,49.77566365629775
2,3,0,0,1,0,0,50.53073706660033
4,2,0,1,1,1,1,55.945692350864654
6,3,0,1,1,0,1,57.34303322519368
4,2,0,0,0,0,0,49.42644891060736
4,2,0,1,1,1,0,50.26769519600494
4,2,1,0,0,0,0,47.96707097089055
3,2,0,1,1,1,1,56.99536909115309
4,3,0,1,1,1,1,58.35094061391922
3,3,0,1,0,1,1,57.31842015773777
3,2,0,0,0,0,0,49.21227916199749
6,2,0,0,0,1,1,56.02029574890176
1,2,0,0,0,0,1,55.705549591222166
1,4,0,1,0,1,0,49.05753785027532
0,3,0,1,0,1,1,56.20333332236934
2,3,0,1,1,1,0,49.02962920247136
0,3,0,1,1,1,1,55.67495968368922
6,2,0,1,0,1,1,57.24330385973279
5,3,0,0,0,1,0,50.96709178994921
0,3,0,0,1,0,1,57.52792969776961
3,2,0,0,0,1,1,55.86640658601267
4,3,0,1,0,0,0,50.50603700697343
2,3,0,1,1,1,1,57.42529970155184
1,2,0,1,1,0,0,49.7101482598626
1,3,0,1,0,1,1,54.775678495256905
2,2,0,1,0,1,1,56.34731034381519
5,2,0,0,1,1,0,51.5471380981686
4,3,0,1,0,0,0,49.08353754496558
4,2,0,0,1,1,0,52.05028150029956
4,2,0,1,1,1,0,50.19317050540246
-1,4,0,1,1,0,1,57.12912778411164
5,3,1,1,1,1,1,58.8471477381326
6,3,0,0,1,1,1,58.07446474550928
5,3,0,0,1,1,0,48.74418251502003
4,4,0,1,1,1,1,57.45774605537026
5,3,1,0,1,0,0,50.71451355105074
4,3,0,0,1,1,0,50.72982859449484
5,3,0,0,1,1,0,49.87576709986311
2,3,0,1,0,1,1,56.36117621222807
2,2,0,0,1,1,0,50.20467939647004
4,2,0,1,0,0,1,57.09918875624833
5,3,1,0,1,1,0,49.28537297200249
5,3,-1,1,1,0,1,57.13984084027026
4,3,0,1,1,1,0,50.303400867522335
0,2,0,1,0,1,1,56.47470851398629
3,3,0,0,1,1,1,56.87893115481982
3,3,1,0,0,1,0,48.50273041371138
2,2,0,0,0,1,1,57.80566808300728
5,2,0,1,1,1,1,56.46544296287445
0,2,0,1,1,1,0,50.147785460045874
3,2,0,1,1,1,0,50.88562905556019
2,2,0,1,0,0,0,46.77663890843127
4,3,0,0,1,1,0,52.6401455867714
2,2,0,0,0,1,0,50.41866418688607
3,2,0,0,1,1,0,50.31243712847804
5,3,1,1,1,0,0,51.79560009580795
3,3,0,0,1,1,1,58.54586974351166
3,2,0,1,1,1,1,56.38846685965412
3,2,0,1,0,0,1,55.34794778963051
3,3,0,0,0,1,1,57.92175439976785
5,2,0,0,0,0,1,55.74685534476109
7,4,1,1,1,0,0,49.82176289340506
7,3,0,0,0,1,0,50.04850334180105
3,3,0,1,1,1,1,56.8530792878147
3,2,0,0,1,1,0,50.21585883829991
4,3,0,1,0,0,0,48.84981920987163
4,2,0,1,1,0,0,48.11596535942733
6,3,0,1,1,1,0,49.787913916157535
1,2,0,0,1,1,1,58.07752546909413
0,3,0,1,1,1,1,57.36079452939679
1,3,0,0,0,1,1,55.859517181749816
-1,3,0,0,0,1,1,56.636572089315614
1,2,0,0,0,1,1,56.49701915487545
4,3,0,0,1,1,0,49.87545784940275
-1,2,0,0,1,1,1,56.53109171795835
3,3,0,0,1,0,0,51.37506340919703
3,3,0,0,1,0,0,48.32735795800497
6,3,0,0,0,1,0,48.55365060313912
1,3,0,1,0,1,1,55.97501080209099
6,2,0,1,1,1,0,50.65274417104516
4,3,1,1,0,0,0,49.51320605021768
3,2,0,1,0,1,0,47.36280844399744
6,3,0,1,0,1,1,56.137383240815545
9,2,0,1,1,1,0,49.38995789659813
1,2,0,1,1,1,1,56.42324024280798
-1,2,0,0,1,1,1,57.8388810716904
2,2,0,0,1,1,0,50.69174763506295
4,3,0,0,1,1,0,49.30905867406294
0,3,0,1,1,0,0,48.99962225821227
2,3,0,1,0,0,1,55.998042266353934
6,3,0,1,1,1,0,48.8608867207216
2,3,0,1,0,0,0,47.55128183059807
4,2,0,0,0,1,0,47.3838719620248
4,3,0,0,1,1,1,57.56723804211953
1,2,0,0,1,1,1,57.79414786868313
5,3,0,0,0,0,1,56.94609572279472
3,2,1,1,0,0,0,49.48224548309236
5,2,0,1,1,0,0,49.86371439195158
5,3,1,1,1,0,0,51.157899315531886
1,3,0,0,1,1,1,56.86557576003002
7,2,0,0,0,1,1,56.4647908095282
2,2,0,1,1,1,1,57.1589055990642
5,4,0,1,1,1,1,57.71214314118429
1,2,0,1,1,1,1,57.53173241613458
4,3,0,1,1,0,1,55.80494776892287
1,3,0,1,1,1,0,50.33539717562079
1,3,0,0,1,1,0,48.51527231973662
4,2,0,1,1,0,1,56.57907684997669
5,2,0,0,1,0,0,49.65164917580436
3,2,0,1,0,1,1,55.45132952955607
5,3,0,1,0,1,1,57.92975919624425
6,2,0,1,1,0,0,49.627180638082784
3,2,0,1,0,1,1,55.923717078806256
4,2,0,1,0,0,1,56.34108769040812
1,3,0,1,0,1,0,48.69512749814835
0,2,0,1,0,0,1,56.49278882528835
5,2,0,0,1,1,1,58.58063021209358
8,2,0,1,1,1,0,47.56270676000279
5,2,0,0,0,1,0,47.15775713387023
7,2,0,0,1,0,0,49.09773156873762
4,2,0,0,0,1,1,54.69886385217724
4,3,0,0,0,1,1,56.7181871739464
4,2,0,0,0,1,0,50.93866707436613
6,3,0,1,0,1,1,56.503011405282166
4,3,0,1,0,1,0,46.29767334238628
6,2,0,0,0,0,0,48.671894885199336
2,2,1,1,0,1,0,49.33849496392515
3,2,-1,1,1,1,1,56.7016805094371
3,3,0,1,0,1,0,50.120170762910455
4,2,0,0,0,1,0,49.70724323762473
6,3,1,1,0,0,0,49.65757802752483
3,2,-1,0,1,1,1,56.70023247851495
3,2,1,0,1,1,0,49.147650668468025
7,2,0,1,1,1,1,57.560330042299015
1,3,0,0,0,1,1,56.79601342804172
8,3,0,0,0,1,1,57.95498739201737
0,3,0,0,1,0,1,60.557265848602135
6,3,0,1,1,1,0,50.017248684011705
4,3,1,1,0,1,0,47.68394222360404
5,3,0,0,1,0,0,51.07613023740791
5,2,0,0,0,1,1,56.55516160836474
3,3,0,1,0,0,1,58.38729165859117
2,2,0,1,1,1,0,48.28543875770863
1,2,1,1,1,1,0,51.14009398633105
6,2,0,1,1,1,0,51.282119494706514
0,2,0,0,1,0,1,55.722541140841656
1,2,0,1,1,1,1,55.84062843659145
-3,2,0,0,1,1,0,50.32727593468677
3,3,0,1,1,1,1,56.530340034662906
7,2,-1,0,0,0,0,50.40700277312951
7,3,1,1,0,0,0,47.93513507646669
3,3,0,0,1,1,1,57.53941460445333
3,2,0,1,1,0,0,48.12194173713139
1,3,0,0,1,1,0,49.35062117969836
2,2,0,1,0,1,0,47.5606573099693
1,2,0,1,1,1,1,57.73790356222646
4,3,0,0,1,1,1,56.961358838864506
4,2,0,1,0,1,1,55.21767120760936
5,2,0,0,1,1,0,51.58675569592219
6,2,0,1,0,0,1,56.27550700144374
1,3,0,0,0,1,1,56.44684674537362
5,4,0,1,1,1,0,51.47805309263617
6,2,0,1,0,1,1,56.201442874555326
2,3,0,0,0,0,0,48.390046440563765
3,2,-1,1,1,1,1,57.18202495131924
6,1,0,1,1,0,0,49.519661207929
2,3,0,1,1,0,1,57.776447347621925
10,3,0,1,1,1,1,56.95009076861773
3,2,0,0,0,0,1,55.96218073388472
2,3,0,0,1,1,0,50.682834990098456
4,2,0,0,0,1,1,56.48820931542621
5,2,0,0,0,0,1,56.43742842725853
1,2,0,0,0,1,0,48.81077655694334
0,3,0,0,1,1,0,50.07651614989368
5,3,1,0,1,1,0,50.08035624804454
8,3,1,1,0,0,0,48.78412994154033
4,1,0,0,0,1,1,56.57082309615272
6,2,1,1,0,1,0,51.408458546713504
3,2,2,0,0,0,0,50.32229409939689
4,3,0,1,1,1,1,57.58069253339738
2,3,0,1,1,0,0,47.426014683099005
3,3,0,1,1,1,0,49.12377113248889
2,2,-1,0,1,1,1,58.45050790457204
3,2,0,1,0,0,1,56.1831125057557
3,3,0,1,0,0,0,49.49960180810832
4,3,0,1,0,1,1,56.03033424667635
0,3,0,1,0,1,1,56.85044592594544
6,3,0,1,1,1,0,51.901490498259584
8,2,0,1,1,1,0,50.26651573706728
3,2,0,1,1,1,1,58.70049635140526
0,2,0,0,1,1,1,57.21468404625536
1,2,0,0,0,1,1,57.5266818547432
3,3,0,1,1,1,0,48.74556934525343
1,3,0,0,0,1,0,49.081220346720194
2,3,0,0,0,1,1,55.42605268515749
2,3,1,0,0,0,0,47.328126710538776
3,2,0,1,1,1,1,57.44987226659991
3,4,0,0,1,1,0,50.12866838288054
6,3,1,0,0,1,0,47.961268407397625
1,2,0,1,1,1,1,55.83892614457483
3,2,0,0,1,1,1,57.218787619413554
0,3,0,1,0,1,1,55.88541300780082
9,4,0,0,0,1,1,56.7711294920973
6,2,0,1,0,1,0,47.86316542877266
8,3,0,0,1,1,0,51.12697993599545
5,3,0,1,0,1,1,56.625248722303645
2,3,0,0,1,1,1,57.10206652688343
5,1,0,1,1,1,0,49.290082704452864
7,2,0,0,1,0,0,50.35771892158919
3,2,0,1,1,1,0,49.2829292871251
3,3,1,1,0,0,0,49.17152652353491
2,2,0,1,0,1,1,55.28094316539275
3,2,0,1,1,0,0,47.35005821632156
1,3,0,0,1,1,0,51.01056941538865
3,3,0,1,1,1,1,56.78361181531569
0,3,0,0,0,1,1,55.79657432889933
4,3,0,1,1,1,0,51.50254319219326
3,2,0,1,1,1,1,56.18961940923376
1,2,0,1,1,1,0,51.59838282985155
2,3,0,0,0,1,1,56.21458850157536
4,2,0,0,1,1,0,49.17348211793059
3,3,0,1,0,1,1,56.672431272516015
1,2,0,0,1,0,0,49.35786718944146
6,3,0,1,1,0,1,57.167552256592735
5,2,0,0,1,0,0,50.14231497728126
1,2,0,1,0,1,1,56.87692334796753
6,3,0,0,1,1,0,47.87109122965239
5,2,0,1,0,1,1,56.12857595580364
5,2,0,1,0,1,1,57.59217685690221
4,2,0,1,0,1,1,56.45072038748265
8,2,0,0,0,1,0,49.96141567826608
3,3,1,1,1,1,1,56.8806949529428
3,3,0,0,0,0,0,50.15514259008073
4,2,0,1,1,0,1,55.44438234224692
7,2,0,0,1,1,1,56.898286703103565
3,3,1,1,1,1,0,50.774654646281874
2,3,1,0,1,0,0,49.16794591702717
5,3,0,0,0,1,0,51.0383453448956
7,3,0,0,0,1,1,56.78220273354427
3,1,0,0,1,1,0,49.10438139820354
7,3,0,1,0,1,0,47.33162074544612
6,2,0,0,0,1,0,48.04911357650793
3,3,0,1,1,1,1,58.11606779213108
3,3,0,1,1,1,1,56.62288960847312
6,2,0,0,1,0,0,51.31110669432886
2,2,0,0,1,1,0,50.89235282240632
5,3,0,1,0,1,1,56.11917834008163
3,2,0,1,1,0,0,49.676049122558446
4,3,0,1,1,1,0,49.68141750182001
1,2,0,0,1,1,1,56.30939928565476
5,3,0,0,0,1,0,49.31723787689526
4,2,0,1,1,0,0,48.20459685209525
2,2,0,0,0,1,1,55.54735624639549
7,3,0,1,1,0,0,50.23787696990093
2,2,1,1,0,0,1,56.84967825247862
5,3,0,1,1,1,0,50.42005081847306
0,3,0,0,0,1,1,58.452517374136704
2,3,0,0,0,1,1,58.46597073620154
10,3,0,1,0,1,1,58.04703276157157
6,2,0,1,1,1,0,50.15000008958974
2,3,0,1,1,1,0,49.48059328956751
0,2,0,1,1,1,1,55.48334072696059
8,2,0,0,1,1,1,57.82345301563598
2,3,0,0,1,0,0,48.71553637894617
7,4,0,0,1,1,0,49.25564205064019
4,3,0,0,0,0,1,57.92399018413449
5,3,0,0,1,1,0,50.75488597395445
5,2,0,1,1,0,0,50.05505944575007
3,3,0,0,0,0,1,57.483475692824754
4,1,0,1,0,0,1,56.46639777898147
7,2,0,0,0,0,0,49.05176065882965
9,3,0,0,1,0,0,50.97871290010489
4,3,1,0,1,1,0,49.53011511594541
7,2,0,0,1,1,0,48.7511186464565
3,3,0,0,1,0,0,50.87444010967125
3,2,0,1,0,1,1,54.04613158940506
3,3,0,0,0,0,1,55.90434205681749
3,2,0,1,0,1,1,55.45641147430034
3,3,0,0,1,1,0,52.31880064168361
0,2,0,1,0,1,1,55.65371191888423
4,3,0,0,0,1,0,48.31556180481347
5,2,0,0,0,0,1,57.70236427476081
1,2,0,0,1,1,1,57.98136320594863
6,3,0,1,1,1,0,50.76019622685831
3,2,0,0,1,1,1,57.167580003281394
3,3,0,0,1,1,0,48.1981087883337
5,2,0,0,0,0,1,56.50915613159344
4,4,0,0,0,1,1,57.65280846021312
1,3,0,0,1,1,0,51.2989299401297
3,2,0,1,1,0,0,48.32924691055669
2,3,0,0,1,0,0,48.87543148919527
5,2,0,1,0,0,0,48.56123911967029
5,3,1,1,0,1,0,47.94745783955955
0,2,0,1,1,1,1,54.68782750121111
2,3,0,0,1,1,1,57.97529112392431
4,3,0,0,1,1,1,57.40243043280273
4,2,0,1,1,0,0,48.26856652228509
1,4,0,1,1,1,0,49.78007464415399
4,3,0,0,1,0,0,50.16802795615483
1,2,0,0,0,1,1,54.63737293114219
1,2,0,0,1,1,1,57.81082825515028
6,2,0,1,0,1,1,56.36331727972417
3,2,1,1,0,0,0,47.35852961320624
2,2,0,0,0,1,0,48.71785190230574
7,2,-1,0,0,0,0,47.92631527111072
6,2,0,1,1,1,1,55.28973963282149
3,3,0,1,0,1,1,56.26725115711425
1,3,0,1,0,1,0,46.24088875618785
4,2,0,0,0,1,0,50.6843355578468
4,2,0,0,0,0,0,48.86613055755986
0,2,0,0,0,0,0,49.1758047851708
4,2,0,1,1,1,0,48.05037313595974
4,3,0,1,0,1,1,57.14985297459356
0,3,0,0,1,0,1,57.45823637401534
4,3,0,0,0,1,1,56.77677366849338
3,2,1,1,0,1,0,49.47673038211415
2,2,0,0,0,1,0,48.52274809168165
5,4,0,0,0,0,1,57.12431947804016
1,3,0,0,1,1,0,50.42329348327291
3,2,0,1,1,1,0,48.60048080899684
6,2,0,1,0,1,1,56.53470624662285
0,3,0,1,1,0,1,54.88290584435474
5,2,0,1,0,0,0,49.33689953438768
2,2,0,1,1,1,1,57.08332010388824
5,3,0,0,1,1,0,52.07346009717612
9,3,0,1,0,1,1,57.29107519826694
1,3,0,1,1,1,1,56.43994887884162
0,3,0,1,1,0,1,57.74379168551049
