resident_age,income_level,employment_status,childcare_expense,single_parent,rural_residence,educational_attainment,policy_rollout,child_care_subsidy,child_care_access
10,28,7,12,0,1,0,10,30,177.66301941858958
8,27,9,14,0,0,0,9,28,165.35887184251433
14,26,13,13,0,1,0,8,29,157.71838959731377
10,29,9,13,0,0,0,10,28,162.70113125866362
8,31,3,9,1,1,1,13,24,156.28075534254592
8,27,1,11,0,0,0,11,27,169.46053609127586
11,30,10,12,0,0,1,10,29,166.46623867228925
11,33,7,9,0,0,0,10,26,153.64767088522112
12,25,0,14,1,1,0,6,27,170.00076242079672
12,28,3,17,0,0,1,8,27,165.42574188458505
7,28,7,14,0,0,0,10,29,172.06796040889438
9,34,7,9,1,1,1,8,23,149.0077063933616
10,31,10,20,0,0,1,7,30,175.06615096291625
9,28,7,15,1,1,0,9,26,160.5642126137366
11,27,6,16,0,0,0,10,29,170.1057512676673
10,28,10,13,1,1,0,12,29,167.3845889572346
10,31,13,12,0,1,1,7,24,138.7063900516482
10,32,8,15,0,0,1,9,28,168.57062003892025
13,28,6,13,1,0,0,9,23,140.69386019964367
9,31,2,13,1,1,0,10,22,146.55449509143983
13,30,8,15,1,1,1,12,32,181.72861852173
4,33,4,16,0,0,1,10,24,162.50118651762466
10,30,9,12,1,0,0,10,24,144.7395197034971
10,28,4,15,1,1,0,11,26,159.88572866112875
8,28,6,10,0,0,0,8,23,144.91062424820342
8,31,10,12,0,0,1,10,27,158.17599176325555
9,28,8,10,0,0,1,11,27,157.21111997944786
9,32,4,17,1,0,1,10,25,161.2014873322444
10,31,-1,11,0,0,1,13,25,163.82315082836558
10,30,9,17,1,1,1,12,29,165.8850240823568
12,30,7,9,0,0,1,11,28,162.09066123140073
10,27,4,13,0,0,1,8,27,165.2485995890277
6,28,11,13,1,1,0,6,27,160.43389442997037
13,30,6,14,0,1,0,6,22,139.15318500676767
12,29,10,13,0,1,0,10,33,185.292103061151
14,29,7,16,0,0,0,10,27,157.30988375858877
8,29,9,15,1,0,0,7,23,140.94250917784024
11,33,11,17,0,1,0,11,28,165.3027824402358
5,28,4,16,1,0,1,7,25,162.3038146260177
10,28,-3,18,0,0,1,6,24,161.22985968492802
12,28,4,16,0,1,1,9,28,167.0716839535459
6,26,7,11,0,0,0,12,26,157.55435143149063
8,28,17,10,0,0,1,8,29,157.77694673657624
8,24,5,16,0,1,1,8,27,163.77350233681892
9,32,3,14,0,0,1,9,24,155.662555133137
9,31,8,12,1,1,0,10,25,152.70940618606258
3,30,14,15,0,1,1,10,28,166.04358276350976
10,31,8,13,1,0,0,7,24,149.51220141933865
17,27,9,11,1,0,1,7,29,156.90066126987938
9,31,11,14,0,0,1,10,26,151.34733919002346
7,33,4,12,0,1,0,5,21,145.00263687705458
10,30,9,16,0,1,0,7,27,163.57618839554345
11,31,15,14,1,1,0,8,28,153.55453063211493
7,30,7,13,1,0,1,9,23,146.48198853991863
10,28,10,14,0,0,1,9,29,166.82396514437008
6,28,14,13,0,1,0,13,31,173.1745611311351
10,31,4,15,1,0,0,10,23,149.35935895160387
17,28,9,13,1,0,0,13,31,169.85788360424831
8,28,6,17,0,1,0,5,26,161.1054508145278
9,28,9,12,0,0,0,11,27,161.98696970265627
5,27,7,11,1,1,0,11,25,151.6532876700952
13,31,15,12,1,1,0,11,28,151.9165545802849
10,32,5,9,0,0,1,10,23,145.46569060647462
15,33,11,13,0,1,0,11,30,165.1186173966688
7,32,10,16,0,0,1,7,24,148.35944802474438
7,29,6,10,1,0,1,9,23,150.1025458124624
12,27,5,14,0,0,0,8,26,157.69747563891946
7,35,13,13,1,0,1,12,26,152.54907781909893
10,33,16,15,1,1,0,8,26,146.52373602158085
7,28,6,13,0,0,0,8,26,163.35532365903552
9,33,12,17,0,1,0,11,27,161.89070431543055
4,32,10,8,0,0,1,7,22,140.79341764009013
14,30,7,12,0,1,1,7,24,144.51075660444275
11,28,5,11,0,0,0,9,24,148.6995467330706
8,32,9,16,0,0,1,10,28,169.5664475632244
7,30,7,13,0,0,1,10,25,153.09978975817927
7,30,0,11,0,1,0,9,22,154.41460305455848
11,30,3,14,1,0,1,8,24,155.98969951149476
10,28,9,13,0,1,0,11,27,157.46910912612543
11,28,5,12,1,1,1,11,29,173.32828724113577
8,29,1,11,0,0,1,11,25,160.64836906206202
12,32,10,17,1,0,0,9,25,148.86311724241952
7,29,7,16,1,1,1,11,29,175.17487215647952
7,30,10,13,0,1,0,11,29,171.89453270154624
10,29,8,12,0,0,0,12,26,153.9978654599433
11,31,15,11,1,0,0,7,25,144.88401832479173
13,27,7,17,0,0,0,9,31,178.40757319624686
12,29,6,11,1,1,0,10,23,144.32772238103226
11,32,5,14,0,1,1,8,27,165.9780868829806
8,30,11,17,0,0,1,10,29,167.2418603869691
9,30,7,11,1,0,0,9,23,145.35552864112125
6,29,8,18,0,0,0,12,28,169.92459044878885
6,30,7,18,1,1,1,7,25,158.98778752432378
10,31,13,12,0,1,0,8,28,159.65392366034123
8,28,8,16,0,1,0,10,28,165.85728588202423
10,30,8,14,0,0,0,7,27,162.00426047175736
8,32,4,15,0,0,0,10,26,165.98965104793126
9,32,8,11,1,1,0,9,24,150.40155327706103
11,30,5,11,1,0,0,11,24,150.35150059357846
4,31,3,15,0,1,1,7,20,141.3873315867785
11,27,9,11,1,1,1,10,29,165.714421333888
13,30,2,12,1,0,0,9,22,143.5191165612255
10,28,7,15,0,1,0,6,24,146.36122726483825
14,34,6,14,0,0,1,9,24,146.4770542354298
8,31,9,13,1,0,1,11,29,169.29151826024054
15,32,10,12,0,1,0,6,28,161.76797552023032
5,30,10,13,1,1,1,13,27,162.55323877213925
7,31,7,16,0,0,0,7,26,163.53759952610974
5,28,8,13,0,0,0,10,25,154.47491233573285
9,31,7,15,0,0,0,9,27,167.32044749271586
9,30,0,10,0,1,0,9,21,146.35095409245525
11,33,4,19,0,0,1,12,27,168.0519088811811
4,33,6,14,0,1,1,10,24,157.43973426877815
12,28,13,15,0,1,0,8,31,171.82939267401864
10,30,11,13,0,0,1,11,29,165.83199950245915
9,29,7,11,0,0,0,9,25,152.99437598553197
12,29,5,16,1,1,0,10,26,160.67216593347734
9,28,7,15,1,0,0,12,27,161.99021890366635
13,25,10,16,0,1,0,8,33,181.27084554421305
10,29,11,15,0,0,1,12,28,162.38074838541826
8,29,8,13,1,0,1,11,26,156.35240726938594
11,33,6,14,0,0,0,11,26,161.6456981649265
7,26,8,9,0,0,0,9,23,139.8208898611247
9,29,10,14,0,0,1,13,29,165.8723601314426
8,29,8,10,0,0,0,7,23,144.45394602365343
12,32,4,15,1,1,0,12,27,164.29601308537437
15,31,12,15,0,0,1,10,29,159.65911214123696
9,32,3,15,0,0,0,9,21,142.48601997851665
14,33,11,10,0,1,1,4,26,152.7189808348095
10,31,14,11,0,0,0,11,29,163.78805750844236
8,34,11,13,0,0,1,9,27,161.14539246110166
10,31,3,13,1,1,0,10,22,144.96474821550186
5,27,10,15,0,1,0,11,28,166.2439420547499
12,29,8,12,0,1,1,8,26,155.2657684642858
10,32,0,13,1,0,0,8,18,132.1688054936464
7,30,7,18,0,0,1,11,27,170.2814033906014
12,33,8,15,1,1,1,6,23,140.99848646129576
5,29,4,11,0,1,0,8,21,143.28649215737096
9,26,4,13,0,0,1,10,27,166.03015625461163
8,32,6,18,1,0,0,12,26,164.20804812030426
11,34,10,14,0,0,0,6,23,141.89607547390435
10,29,8,11,0,1,0,10,26,157.18295640723147
10,31,12,15,1,0,0,10,27,155.13821786545975
10,29,4,14,0,1,0,8,25,158.7066212385242
10,33,4,15,0,0,0,8,22,146.67705129873002
7,37,13,18,0,0,1,10,26,157.77570798891932
9,29,12,9,0,1,1,7,26,149.9998451604231
10,31,7,6,0,0,0,12,24,144.83027176171
11,28,9,13,0,0,0,7,26,153.36922358508588
13,30,2,20,1,0,1,12,30,182.5600696279239
9,29,10,16,0,1,0,12,31,177.3941766310383
8,28,12,14,0,0,1,6,29,163.9566980971628
10,29,4,10,0,0,0,7,25,159.00119645111525
7,31,5,9,0,0,0,13,25,159.1101793068412
12,29,5,14,1,0,0,8,23,145.34522465893875
11,25,4,9,0,0,0,8,26,155.83922133141976
6,24,4,14,1,0,0,7,25,159.32139660480084
11,30,9,13,0,1,0,8,28,167.4480016813475
10,32,5,14,0,1,0,11,25,156.63766733498184
14,29,10,12,0,0,1,12,32,175.62650380630134
10,32,13,10,1,1,0,7,25,147.16151869733636
8,30,4,13,0,0,0,12,23,149.23507235125962
12,29,8,8,0,0,0,8,26,152.34563085545813
9,32,10,15,1,1,0,8,24,147.2208283995993
13,27,7,18,1,0,0,8,27,158.54655515915897
9,31,8,13,0,0,0,10,28,166.48778048795128
5,32,13,14,0,0,0,9,22,136.8119396874661
8,30,6,14,1,1,0,12,28,170.66420826452526
8,28,10,12,0,0,0,10,26,153.1561639377506
11,33,7,14,0,0,1,12,28,168.67433672537484
8,33,6,15,0,0,0,6,21,141.14845926649966
5,28,14,15,0,1,1,9,27,154.78718106386742
12,30,7,11,1,0,1,11,28,163.25346134790564
9,27,13,16,1,1,0,12,31,170.43643954541062
14,31,2,16,0,0,0,8,26,163.3763758095833
9,31,9,12,0,0,0,8,23,144.5655384469484
10,29,9,16,1,0,0,10,28,160.8153434066156
9,32,11,16,0,0,0,9,25,150.5237430921567
6,29,10,14,0,0,0,9,24,147.71847596555872
8,33,9,16,0,1,0,9,28,172.36993752290567
5,30,8,20,1,1,0,9,27,168.63249064515784
11,29,13,11,1,0,1,8,28,157.4072922649695
8,31,4,16,1,1,0,10,22,148.32870718632674
10,27,15,15,0,0,1,9,30,163.11663158640016
13,30,6,12,0,0,0,9,27,162.78945885811402
5,31,6,11,0,0,0,9,23,153.05230870645434
8,34,9,16,1,1,0,11,27,167.29613703125156
10,29,4,13,0,0,0,13,27,163.5724516991184
8,30,3,13,1,1,0,11,23,150.90695477603367
8,31,7,13,0,1,1,8,26,163.46804140469845
9,28,11,12,0,1,0,8,25,147.6606391326444
9,30,9,19,1,0,1,10,27,163.3272842986673
17,27,7,14,0,1,0,6,30,169.7008228631983
4,28,8,14,1,1,0,8,25,157.28604125888947
8,30,4,8,0,0,0,10,21,140.1325175620827
11,29,4,16,0,0,0,10,24,151.42885723896086
6,32,10,15,0,1,0,10,27,164.54365089573432
6,33,5,17,1,0,0,11,23,150.7231660901715
10,29,5,16,1,1,0,10,28,172.14363526349445
9,32,5,15,0,0,1,5,22,144.93648080051616
10,27,9,16,1,0,0,7,25,148.87519361814276
2,27,11,11,0,0,1,10,26,158.5413771135093
12,31,7,18,1,0,0,9,23,145.95437200506527
13,32,8,18,0,0,0,10,28,166.3699697434136
8,32,7,11,0,0,1,11,23,146.13269880985465
7,36,5,11,0,0,1,9,21,143.2504463689284
7,28,9,12,0,1,1,13,26,156.66977021580396
9,30,9,14,0,0,1,12,28,164.38395340685585
12,32,5,12,1,1,0,8,23,148.82088800470785
10,31,6,15,0,0,1,11,26,156.95697403464317
15,29,5,14,1,0,0,10,28,163.75679878134136
12,28,8,11,0,0,0,8,28,161.76047928599073
15,29,7,13,0,1,1,8,29,168.10154438395617
2,30,9,15,1,0,0,10,23,150.7625490138254
11,33,5,8,1,0,0,11,22,140.88903327787693
11,30,11,16,0,0,0,10,32,181.74274516741335
8,30,8,11,0,0,1,12,29,169.41694197607694
11,30,4,10,1,0,0,10,23,144.18001167739746
12,29,13,14,0,1,0,8,30,164.42087465350167
3,28,13,15,0,0,0,10,28,165.12889155105208
11,34,12,14,0,0,0,9,29,169.8527285498433
9,29,9,14,1,0,0,7,28,166.02334035990003
12,27,11,15,0,0,0,9,29,163.50042887382946
12,31,9,13,0,0,0,8,27,160.88246355420225
13,29,8,14,1,0,1,9,28,159.74224095818946
13,28,7,13,1,0,1,9,30,172.00091749631724
7,28,5,14,0,0,0,5,22,145.48550912493664
12,30,9,14,0,1,1,12,29,164.4443362496033
6,30,5,9,0,0,1,12,27,167.90735652989605
11,29,3,16,1,0,0,13,27,168.18614433353176
13,29,15,12,0,0,0,11,31,167.34701110658153
13,32,9,6,0,0,0,12,24,138.25601257374615
12,30,4,16,1,0,0,10,25,158.12233122211802
10,31,11,18,0,1,0,13,32,184.69343837077548
15,33,7,16,0,1,1,7,29,169.39383266613982
7,31,11,18,0,0,1,6,28,169.4749648883968
3,27,10,15,1,1,0,11,27,166.95675424084072
11,32,4,13,0,1,0,10,24,153.5719571899555
11,27,2,12,0,1,0,13,26,161.5818438138461
10,31,3,14,0,1,0,9,22,145.17172483382058
9,30,7,20,1,1,0,5,25,159.2762884098029
8,29,10,11,0,0,1,8,27,163.2310187556221
9,27,6,13,0,0,0,12,30,175.8101071873662
10,31,12,14,1,0,0,9,26,151.7206434380187
6,29,6,15,0,1,0,7,24,156.243479817286
11,31,12,14,0,0,0,10,29,166.4164106349162
6,29,8,8,0,0,0,9,23,142.95530535474458
12,32,12,16,0,0,0,11,29,161.06269963073376
12,32,10,15,0,1,1,7,25,147.3418402517949
12,29,7,9,1,0,0,8,24,148.2806825512492
7,26,5,15,1,1,0,9,27,165.88468107559598
7,32,4,14,0,1,1,9,24,157.34499612635813
9,29,11,15,0,0,0,9,27,158.949668944815
5,31,2,16,1,0,0,9,23,158.2648275805987
10,32,7,13,1,0,0,12,26,158.02618259932268
18,32,11,17,0,0,0,9,29,159.68901798618705
9,28,5,15,1,0,0,11,25,157.10833369681532
10,27,3,13,0,1,1,11,27,164.32214551589536
9,28,6,13,1,0,0,6,25,155.15779228559413
13,29,4,17,0,0,0,10,29,175.566318378401
5,26,11,13,1,0,0,13,28,163.35331119897867
7,28,8,18,1,0,1,12,29,169.98786925296108
10,30,5,14,0,0,1,9,26,157.99701601127012
14,30,7,12,1,0,0,7,25,148.7672088167516
10,31,6,13,1,0,1,6,24,154.46245242024514
10,31,5,15,0,1,1,8,26,163.96669123268444
10,31,6,19,0,1,1,11,31,183.5683378457281
9,34,8,13,0,1,0,12,26,160.11819929534613
15,28,7,16,0,1,1,13,34,187.32775675059625
9,34,8,18,0,1,1,8,25,156.396015327115
10,29,8,15,0,1,1,11,31,180.07075565028748
4,33,12,14,0,0,0,6,22,142.62244538748354
10,32,12,14,1,0,1,9,29,166.83011504980556
14,27,10,13,0,0,1,9,30,165.23035586359012
1,29,7,13,0,1,0,12,23,151.18324201343796
12,29,8,18,1,0,0,9,29,169.45729759381894
14,30,6,11,0,0,0,11,27,161.6278246363552
13,29,5,11,0,0,1,7,27,162.55707735241083
7,30,8,13,0,1,1,11,24,150.09594633555335
11,35,8,14,0,1,0,10,24,149.50353214984165
16,32,2,11,0,0,0,10,25,153.7727769198661
13,34,13,15,0,0,0,9,27,154.1814839344456
8,28,13,11,1,0,1,9,26,149.64014784665483
7,33,4,13,0,1,1,8,21,141.2469490083369
10,31,14,15,1,1,1,11,28,158.64266119246258
6,27,8,14,0,0,0,9,27,163.22542929328444
9,32,7,13,1,1,0,11,22,139.1308123396183
11,30,4,9,0,1,0,9,21,134.93058132154516
10,34,10,16,1,0,0,10,24,146.881283147649
9,29,6,12,1,0,1,11,26,161.317465344879
10,30,10,13,0,1,0,10,26,152.994685210328
12,27,9,13,0,0,0,10,29,163.7065639137295
8,28,6,18,1,0,1,11,28,170.23938491322295
6,27,5,12,0,0,0,8,25,160.17869474341447
13,31,5,16,1,0,0,11,27,162.8499548794597
7,27,11,14,0,1,0,9,28,162.38604654054907
7,31,13,15,1,1,0,8,26,155.7034860215836
8,29,0,9,1,1,1,13,23,156.46010743537448
8,28,1,14,0,0,1,9,24,157.29327755399373
10,31,1,17,0,0,1,9,25,162.59599098266165
8,31,2,22,1,1,0,11,24,161.7466182831874
9,27,8,17,1,0,1,10,29,168.85762083136717
11,29,3,13,1,0,1,8,24,149.24336514522378
12,25,9,11,0,0,0,9,31,173.33636486627168
4,26,7,16,0,0,0,7,26,162.8851138002147
13,30,7,15,1,0,0,9,25,151.8205235149888
13,28,9,15,0,1,0,12,30,168.54630166040107
9,32,11,12,0,1,0,10,24,144.22153788522476
11,29,9,13,0,0,0,8,27,157.98933576293584
8,31,5,15,0,0,1,8,25,158.50907528293624
13,29,10,14,0,0,0,9,27,157.45266860018188
6,28,4,11,1,1,1,12,25,158.78889030304654
11,31,10,13,1,0,0,8,26,153.43993877606405
7,32,5,14,0,0,0,11,22,146.96489405985227
13,29,3,12,1,1,1,11,26,160.15027856081758
15,31,1,19,0,1,0,9,22,148.81543987935422
5,29,6,12,1,0,0,7,22,146.03939557232349
10,29,8,15,0,0,1,7,26,156.9801025966498
2,33,8,12,0,1,0,13,24,156.5190041297636
14,29,8,13,0,1,1,9,29,166.80657257402137
5,29,12,15,0,0,0,14,29,167.87468254548264
9,26,3,12,0,1,1,9,28,169.1796541219677
7,28,8,15,1,0,0,7,25,155.43235480708978
15,28,5,19,0,0,1,6,29,168.25001553180348
9,34,7,8,0,1,1,10,22,139.7487464621598
10,28,8,13,1,0,0,10,28,167.7667938926515
6,35,7,17,1,0,0,7,21,143.6558525510807
6,30,11,11,1,1,0,10,24,147.18163676173816
9,31,8,14,1,1,0,7,24,153.7355382173722
9,32,5,16,0,1,0,14,27,167.63371697024414
10,33,7,12,1,0,1,8,24,153.5410748623273
7,26,5,15,0,0,0,9,27,165.8504110101861
12,29,9,10,1,1,1,14,29,163.8447778308174
1,33,9,14,1,1,0,10,19,132.62851027016313
10,28,3,12,1,1,0,10,24,153.54207337439362
10,30,10,14,1,0,1,10,28,162.96271929800736
7,30,8,12,0,0,0,11,25,153.29257880981845
15,30,6,13,1,0,1,6,25,151.2607753600235
5,28,12,15,0,0,0,12,29,169.70364394885345
9,30,7,15,0,0,1,8,25,154.4365123177541
11,28,11,15,0,0,1,9,27,155.80395838221855
5,30,4,11,0,1,0,14,25,160.3841179631932
7,29,10,14,0,0,0,10,30,175.02218309948404
13,27,4,15,0,1,0,7,28,167.54129496258
15,33,5,14,0,0,1,10,26,158.65192606981375
6,31,6,15,0,1,0,10,24,156.52519029012225
8,28,12,12,0,0,1,11,31,173.97724200101706
11,27,3,11,1,0,0,13,28,169.1354172852763
11,30,7,12,0,1,0,7,23,141.7474130624242
14,30,6,12,0,1,1,9,26,154.26370837719233
10,29,3,14,0,0,1,11,26,161.6789855706708
8,23,2,12,0,0,1,12,30,179.41750820945174
4,29,8,15,1,0,1,6,26,162.6338295850628
11,30,15,19,0,1,0,8,30,162.09081982535469
17,30,10,16,0,0,1,11,33,180.02627346912834
14,31,9,12,0,1,1,8,26,151.55984289213478
7,32,10,13,0,1,0,10,24,148.08963308051062
14,29,5,8,0,0,1,12,27,158.7664565793257
9,24,10,15,0,1,0,11,32,179.44640149149055
11,30,0,11,0,0,1,7,23,151.3838064885851
6,28,8,11,0,1,1,9,25,152.8436722732525
9,30,17,11,0,0,0,7,29,155.7602442539577
10,29,10,13,0,0,1,10,28,160.98981746073255
6,28,11,10,0,0,0,12,29,166.88991717594035
11,26,7,13,0,0,0,7,26,153.52015788359333
10,30,8,11,0,0,1,10,27,158.0184969461974
8,25,8,14,1,0,0,14,32,181.57266143528588
7,32,4,16,1,0,1,10,23,152.26429020739326
9,32,7,14,1,1,1,10,24,150.05759658737946
7,31,1,13,0,0,1,9,23,157.18894213489148
8,28,6,8,1,1,0,11,24,149.9575169731009
10,34,10,16,0,0,0,8,25,153.54299803963096
11,28,8,10,1,1,1,8,25,151.85786168054858
4,29,7,15,1,0,0,9,24,156.6992851888835
4,31,14,12,0,1,0,12,26,154.99110407671873
14,28,13,15,0,1,0,9,31,168.77652343423975
11,32,18,11,1,0,1,10,29,155.18349643582496
8,31,9,13,0,0,1,10,24,146.7649759914763
8,28,9,15,1,0,0,9,26,158.3423380350837
13,27,8,12,0,1,0,10,26,151.80320312625065
12,28,3,11,0,0,0,10,27,163.4072633048918
9,28,10,20,1,1,1,6,28,163.5510903647331
5,30,6,14,1,0,1,12,25,160.51627648329995
9,33,7,15,1,1,0,12,26,159.03011890727527
8,30,10,11,0,0,1,14,27,156.07237454437973
13,31,8,16,0,1,1,7,28,164.0169339089208
14,27,5,14,1,0,1,11,28,164.95530180659625
10,28,10,17,1,1,1,11,30,174.24930699613742
12,28,8,14,1,0,1,8,26,151.5827761652969
5,29,5,12,1,0,1,10,25,160.2506401967686
8,30,-2,15,0,1,1,6,22,156.16876520461602
6,28,9,16,1,0,0,8,25,151.5198965162039
15,31,6,13,0,1,0,7,22,134.36330207205873
10,26,7,13,1,1,0,9,29,169.97979347284254
13,28,9,14,0,0,0,11,30,169.14979089756602
9,32,9,14,1,1,1,10,26,159.19601239623017
8,28,6,9,0,0,1,10,26,156.72314694582738
7,30,3,13,1,0,0,11,21,142.8328421305377
14,30,6,14,0,0,1,11,32,182.068927218776
11,26,10,14,1,1,1,10,32,178.84810597770436
6,28,10,14,0,1,0,10,27,159.94726753829298
4,34,4,14,1,0,1,11,21,145.98701542123985
10,30,4,12,1,0,1,11,27,168.45109160849822
10,29,4,15,0,1,1,10,26,163.16330168661975
11,34,6,10,0,0,1,10,24,150.26448456273044
4,29,11,14,0,0,1,13,26,157.86330205995486
8,29,6,8,1,0,1,6,26,162.84808357362292
8,31,5,12,0,1,0,11,24,151.52686481464866
9,25,7,10,0,0,1,9,27,157.8086134654467
12,31,9,15,1,1,1,9,28,162.97180601916406
12,29,10,16,0,1,0,6,27,154.3720399842433
11,29,10,12,0,1,0,11,29,164.93993776461008
15,28,2,16,0,1,0,7,27,162.797384899651
10,32,9,13,1,0,1,10,26,157.64005062419096
0,31,8,8,0,1,0,11,24,157.03619847219892
9,29,11,18,1,1,1,10,29,165.71222229524156
3,34,9,19,1,0,0,10,25,160.91398168562085
10,34,4,11,1,0,1,9,22,144.28052675587446
5,31,7,14,1,0,0,11,24,155.418953025807
4,24,12,10,0,0,0,13,31,174.902416197636
9,27,10,13,0,0,0,10,27,157.44878482821528
11,30,5,14,0,0,1,6,24,154.0739121417988
14,29,12,12,1,1,0,11,31,169.82529662671206
7,31,10,11,0,0,0,10,23,141.19366973830307
8,29,5,15,1,1,0,10,24,153.93313514072935
8,31,8,13,0,0,1,11,29,173.7491800087858
6,28,9,15,0,0,1,10,28,166.54483140772115
9,27,7,14,0,0,1,13,29,172.34608162050716
7,32,7,15,0,0,1,10,23,146.28407635597685
7,30,2,11,0,1,0,8,25,165.48624025809514
10,24,5,7,0,0,1,10,27,157.50042006108356
7,30,12,13,1,0,0,9,25,148.68172328240175
6,27,5,11,0,0,1,9,28,172.7256729764308
13,32,6,15,0,1,1,11,26,156.93746785950736
8,27,5,15,0,0,1,12,27,168.00198774102762
6,32,9,8,0,0,0,11,23,145.5278692524414
14,30,7,13,0,1,0,11,28,163.00546804722703
11,32,13,12,1,0,1,11,26,148.1875927273139
8,27,7,10,1,0,1,13,27,160.19200471143844
11,28,7,15,0,1,1,10,31,176.73677219141226
13,31,10,13,1,1,1,11,29,166.46341679904913
7,30,6,9,1,1,1,11,23,147.84875796013708
13,30,9,15,1,0,1,8,28,160.02720629072627
12,32,7,14,0,1,0,8,25,155.43768365934037
4,31,3,14,0,1,0,11,24,164.84785439520988
11,29,6,16,1,0,1,7,26,158.97667178991225
8,30,1,14,1,1,0,12,24,159.14214945651298
6,28,14,11,1,0,0,12,30,168.0831007523386
8,30,10,12,0,0,1,8,26,156.83555678481807
9,30,5,16,0,1,1,10,22,141.1731770056215
13,28,6,10,0,1,0,8,28,164.4921811199147
9,31,18,9,1,0,0,10,27,149.1031260281539
8,31,4,7,1,1,0,10,22,145.5782227683517
9,31,9,12,0,1,0,7,23,143.3445454671811
11,29,9,15,1,1,0,9,29,168.58167049932243
9,30,8,19,0,0,1,10,30,176.17826846532148
15,35,11,11,0,0,0,11,26,146.6951652266415
8,30,12,12,0,1,1,8,28,160.03128301594626
9,31,4,14,1,0,1,9,25,160.20701891249442
9,33,6,15,0,0,1,10,23,148.32735746095068
11,27,6,14,1,0,0,12,29,171.63666832723914
13,29,7,15,0,0,1,10,30,176.7479377018514
6,29,2,14,1,0,0,11,23,154.61147298463587
7,32,7,11,1,0,1,12,24,150.2653010151098
10,28,6,17,1,0,1,9,28,167.1566473450867
5,28,11,17,0,1,0,10,28,165.9036969436092
