education_years,weekly_hours_worked,gender,union_membership,local_unemployment_rate,job_training_program,annual_income
11,26,0,1,9,30,161.85274003340814
10,28,0,1,2,28,151.06216691544984
7,32,1,1,5,29,151.98567616892336
6,28,1,0,8,30,161.87828138229762
12,33,0,1,3,29,150.11036580041804
8,32,1,0,12,33,170.9048866692463
10,33,0,1,6,31,160.2837082470982
4,31,1,1,7,29,155.23074092596514
10,30,0,0,10,35,185.74099612580648
6,32,0,1,7,29,152.711589241452
7,34,0,0,8,34,175.02464148291256
6,29,0,1,2,31,166.54032345022603
7,34,0,0,7,32,163.80069153848848
10,27,1,0,7,31,165.48805938711033
12,29,1,0,5,31,165.44335184987804
7,27,1,1,10,32,169.78706365661034
8,29,0,1,8,34,181.2469268485016
14,32,0,1,10,33,172.35955449705483
9,30,0,1,10,32,168.59753230631057
5,30,0,0,9,33,175.31454462049453
12,30,1,1,8,31,165.22091994605756
10,31,1,0,8,33,173.2871647135287
6,30,0,1,4,29,155.2942823122957
10,36,0,0,4,32,165.65627482870264
9,27,0,0,5,34,186.9089825776061
8,31,1,0,9,33,174.1712241875274
9,27,0,1,9,35,185.3944251519777
9,27,0,0,8,33,178.2519792498832
11,33,1,0,6,32,167.07139395587845
10,28,0,0,5,30,161.83057182434624
12,31,1,0,10,34,176.72465103521546
10,31,0,0,6,32,170.68005777871147
6,29,0,0,7,34,180.82605710893472
10,31,0,1,10,32,165.94753164033608
10,29,0,1,7,33,175.16214924037035
6,31,0,0,11,36,188.90301821409508
9,27,0,0,8,33,177.84927207715683
12,29,0,1,7,31,165.81049950566984
9,28,1,1,8,31,165.2051162687951
13,37,1,0,6,32,163.2599089341497
12,33,0,1,7,32,168.2747021401254
10,28,0,1,9,34,181.36446814054045
15,28,0,0,12,37,197.53206766762696
6,29,0,0,9,32,170.6994849078899
3,32,1,0,9,33,170.89156854898414
4,30,1,0,12,35,185.52797804153852
10,29,0,0,10,36,190.05176013387023
12,27,0,0,14,38,199.4064594689899
9,32,0,1,9,35,183.5244220736733
14,31,1,1,8,31,163.43396133364232
6,31,0,0,8,33,170.3634133347393
14,34,0,1,7,31,161.6424372254718
7,27,0,1,9,33,176.67275330910002
10,28,1,1,8,34,181.56725873399344
9,28,0,0,8,35,186.76763116854863
9,30,0,0,6,34,180.2816003999581
10,30,1,1,10,34,180.0533249496965
10,26,1,1,10,35,188.2755208108876
5,32,0,0,9,33,171.95132195244392
6,29,0,0,9,33,175.1094270130484
9,26,0,0,6,34,181.58682159242716
10,28,0,0,8,31,169.1168731971457
17,31,1,0,7,33,173.64488542194843
11,32,0,0,7,31,163.14780752178274
9,33,0,0,5,30,157.44110669306954
13,27,0,0,10,35,187.93602768648543
12,29,0,0,9,33,175.15614252659864
8,29,0,1,8,32,169.01951057541166
3,30,0,1,7,28,148.16515182924195
12,30,0,0,10,36,189.61222234609957
10,30,1,0,6,34,182.48656207684132
12,28,0,1,6,32,170.53592537011716
6,26,0,1,8,30,161.2151135561718
8,31,1,1,9,35,185.1058458258024
8,27,0,0,6,30,160.7725206471963
11,29,1,0,9,33,175.16852792968993
6,30,1,1,4,28,149.48655025857195
12,27,0,1,5,31,165.0301851116305
14,29,1,0,11,36,188.95784679066173
10,30,0,0,7,32,172.4013149346043
6,28,1,0,6,30,159.91952338474044
13,29,0,1,6,33,176.25674078513052
13,30,0,1,6,34,180.2807964831954
8,33,0,0,9,35,181.7695184566932
11,26,0,0,9,35,186.12408021570323
14,30,0,1,7,31,164.1294970610959
4,33,0,0,5,32,165.38169283505954
11,31,1,1,5,30,158.07254584918255
12,30,0,0,6,33,172.7890827266133
15,34,0,1,12,36,186.91978968571064
11,27,1,1,6,32,175.4012257758392
11,32,1,0,6,29,153.61958626907565
7,33,0,0,7,34,179.49415782985645
7,27,1,0,11,34,183.188820834613
6,24,0,1,7,33,182.0704713941726
7,29,0,1,6,30,162.2191931970048
13,25,0,1,4,31,171.92507671299396
8,28,0,1,4,30,159.5341698003577
12,30,0,1,9,33,174.15774732342467
15,28,0,1,7,32,171.18566731812672
8,32,0,0,9,33,171.13802411560138
11,27,0,0,9,33,175.7730684042629
5,25,0,1,7,33,180.6592712761824
11,31,1,0,7,31,159.90190022534046
9,27,0,1,8,32,173.53270890501926
6,29,0,1,6,34,181.46426147255988
13,36,0,0,8,34,171.00785531696607
9,30,1,0,3,32,171.0734295082405
10,30,1,0,7,33,175.60655183470945
10,30,0,0,6,32,170.17648333616486
13,33,0,1,6,32,166.6752599017371
15,28,1,0,9,35,187.3734694581982
3,29,1,0,8,32,168.78645980641832
17,29,1,1,9,31,162.97248046387088
11,31,0,1,9,33,173.95643719647464
15,29,0,0,7,33,175.55493930571308
11,29,1,1,5,30,160.13590365938165
9,30,0,0,7,33,173.10727587875263
7,30,1,0,6,33,177.1762964990769
13,30,0,0,6,31,165.0498896080257
11,31,1,0,8,31,164.23012660020018
8,32,1,1,7,33,171.6536261928343
8,30,1,0,6,30,160.34971412964583
9,33,0,0,5,30,156.1500772509794
10,29,1,0,3,28,150.31727143479907
9,27,0,0,4,31,167.7107507572131
7,28,0,0,5,33,177.0655563150907
13,29,0,1,9,32,169.12081753737445
6,31,0,0,6,33,173.98142752998558
8,27,0,0,7,31,165.12442834120122
8,29,1,0,7,29,154.48535540310522
8,27,1,0,6,34,183.71427229449725
12,30,1,0,7,31,162.36297596268756
6,28,0,0,6,30,163.00393545927403
6,30,0,0,6,33,174.72999128101966
9,31,0,1,9,33,173.8696219132006
10,30,1,0,11,35,183.4452901747295
10,31,1,1,9,28,147.2848454240242
9,27,0,0,8,34,180.2493980304304
10,28,1,1,8,32,169.91555500074503
11,32,1,0,9,33,173.9856139180315
11,25,1,1,6,30,163.59501637112382
9,30,0,1,12,35,185.48460291514544
7,28,0,1,4,32,177.06532482803905
12,30,0,0,10,35,184.2900354785841
10,27,1,1,7,32,171.5494576555664
8,34,0,1,8,32,163.33573563892392
15,28,0,1,7,31,168.00988250241014
14,30,0,0,7,34,179.75535937834664
7,30,0,1,7,29,153.67757831007972
4,34,1,1,7,30,155.7334732426838
8,35,0,0,4,35,184.0703579304914
9,30,0,0,7,32,169.2096236582019
3,32,1,1,6,31,163.14481223766052
11,30,0,0,9,34,179.47763290971105
12,27,1,1,9,32,169.50678693725172
12,30,1,1,10,33,173.12662280468942
13,27,0,0,9,36,194.62066339876404
8,33,0,1,11,37,191.80459865831293
11,29,1,0,5,32,167.78152982633526
8,29,0,0,4,31,164.94531386734786
12,29,0,0,9,34,179.58731076196725
6,27,0,0,7,31,166.99939380175607
10,28,0,0,5,32,171.95249017266823
6,30,1,1,8,30,160.06896886285077
13,25,0,1,9,33,180.37081401621955
13,33,0,1,7,34,177.68385085907204
8,29,0,1,8,32,171.13689310854343
13,30,0,0,5,30,157.75034304285148
10,29,0,0,2,32,174.3486463859172
8,34,1,1,9,32,163.77743287610858
8,27,0,1,5,32,174.19325125497625
9,28,0,1,7,31,168.50986551567388
10,30,1,0,11,35,184.6314799144681
0,31,1,0,6,34,180.14511809157125
6,31,0,1,8,36,188.45305151392725
10,27,0,1,6,32,172.82793128634893
14,30,1,0,7,33,174.10310936520338
8,31,0,0,8,35,182.21058431485343
15,24,0,1,9,33,181.71188293265044
7,33,0,1,5,32,166.91772912583576
9,28,0,1,6,31,166.8597448780626
13,27,1,1,6,32,171.68593764197212
6,31,1,1,11,33,174.2600803117593
12,30,0,1,10,33,174.09383139560364
7,29,0,0,8,34,182.93288091778408
5,34,1,1,7,30,154.7339072377799
10,28,0,0,7,34,183.61293920247627
10,27,0,1,7,33,174.1804165367754
5,31,0,1,4,28,146.7411147269255
7,31,1,1,6,29,156.175314645959
10,28,1,0,10,33,175.96351659895896
10,28,1,0,8,33,176.00900632024394
9,27,0,0,8,32,173.05499033287515
9,29,1,1,11,35,184.40760241713005
11,28,0,0,9,34,181.29412621826455
4,31,0,1,6,32,169.59549284367552
14,29,0,0,6,30,159.43331742267756
10,28,0,0,8,34,182.69393011289677
10,31,0,0,10,34,181.4821941003344
15,25,1,0,5,32,176.68092671006443
7,29,0,1,8,32,168.23718216256069
10,29,0,1,7,30,160.18142805440883
9,31,0,1,4,31,163.49332551561446
5,29,0,0,6,34,180.96096432072093
7,31,0,0,9,33,168.93569039351607
8,27,1,0,6,31,167.37542639360493
9,30,1,0,7,32,169.6540084435361
14,33,0,0,8,34,175.5274106049348
10,30,1,0,8,34,180.18752264975072
5,30,0,0,7,34,179.44004968476014
11,29,0,0,8,35,188.5035116973935
12,33,0,1,6,36,187.92920025575228
11,29,1,0,4,31,169.36251959462345
10,33,0,1,6,33,172.81184351617247
6,29,1,0,9,33,174.57424899803274
10,30,0,0,9,33,173.68668317414966
8,29,0,0,8,34,179.1595980606633
5,29,0,1,9,33,177.56439942173773
12,26,1,0,6,32,174.2239541195779
6,31,0,0,6,31,162.52567718323624
12,26,1,1,6,30,162.695766493875
11,32,0,0,9,33,171.0960056485879
8,31,0,1,6,31,166.0243938293265
11,32,1,0,8,32,166.46499342372522
8,31,1,0,9,35,185.98796868114857
13,27,1,0,4,34,185.57370264432365
9,29,0,0,6,33,174.0688569536697
8,32,0,1,7,31,162.65659470221422
11,28,0,0,6,29,153.69048856283854
8,28,0,1,3,29,159.16275111523734
12,30,1,1,8,34,180.9908311665392
6,31,0,0,10,33,173.9917187795262
4,32,0,0,8,33,167.73642628736164
12,26,0,1,11,33,175.96421714285688
5,32,1,0,8,33,170.53842006911518
7,30,0,0,7,31,165.59551358381174
12,30,0,1,5,30,160.5062383956602
12,29,0,1,5,32,171.12762070489643
11,35,0,1,9,33,168.5039286210012
11,33,0,1,8,33,169.9746981163714
6,27,1,1,3,29,158.22231307228262
13,29,0,0,4,31,165.10577600866208
11,31,1,0,8,31,164.82093608610847
4,33,0,1,8,31,159.2066729617735
11,30,0,1,6,32,169.62634260525576
11,27,0,1,14,35,184.29610390846315
11,28,0,1,8,33,177.3203708174548
9,29,0,1,9,35,186.6823383370162
11,27,1,0,5,30,160.4948390600403
9,32,0,0,6,30,155.55890580019496
9,27,0,1,6,33,179.06012106959935
12,27,0,1,7,31,165.2996947357528
9,36,0,0,9,33,169.45039281000274
9,32,0,1,12,33,171.93104110064763
8,28,0,0,9,35,187.00192149942384
8,32,1,0,5,34,182.2937362336741
8,25,0,0,4,31,171.01632315344716
5,27,1,0,10,33,177.6494266103879
9,28,0,1,7,33,177.72044484703628
9,33,0,1,6,31,159.17912407433013
9,29,1,1,8,29,153.52093553391487
12,29,1,0,10,35,184.97900331025608
14,25,0,1,5,32,174.8937043022696
14,24,0,0,8,34,187.51915458376556
7,30,0,1,5,32,170.6026577972639
9,29,1,0,6,32,169.1249743867768
8,31,0,0,9,35,182.63198279333773
10,27,0,0,4,34,185.6083503758593
14,23,1,0,8,35,192.1430452775924
8,27,0,1,8,32,170.81897285465269
8,27,1,1,7,31,170.08905881635644
3,28,0,1,6,31,164.17640505651178
10,33,0,1,9,34,176.13685421788895
4,34,0,0,7,31,158.72173975822935
9,31,0,1,10,32,165.935394694396
5,29,1,0,9,33,175.1254663795984
7,28,0,0,8,34,183.8857761799092
12,31,0,1,9,34,176.7660680216654
9,28,0,1,7,31,166.9225761487373
8,29,0,0,6,31,162.92957272979535
11,28,1,1,5,29,154.74296317142105
7,32,1,1,10,31,162.05878815293786
13,25,0,0,5,33,181.99128045008865
7,29,0,1,8,31,164.53716657972885
10,30,0,1,8,35,183.22076882919075
10,28,0,0,5,31,166.10668920158443
11,31,0,1,5,30,158.06971981597312
12,31,1,1,8,32,170.39772361877968
12,28,0,1,8,34,181.99328035894249
6,29,0,0,8,33,175.18271242470374
13,36,1,0,7,31,161.47311834934277
9,27,0,1,5,31,166.80541386116982
7,27,0,1,8,31,166.94546095807777
10,31,0,1,8,33,173.6483427276059
10,28,0,0,2,31,167.88599460370713
10,26,0,0,7,35,188.8537704555445
7,28,1,1,10,33,178.40209033770486
7,29,0,0,4,30,159.5862463144782
11,31,0,1,8,34,180.60259330846452
12,32,1,0,4,29,148.932903735442
9,26,1,0,8,33,179.60365683717922
9,35,1,0,10,35,176.68022806071068
14,27,1,0,6,34,183.55762429987425
