education_years,household_size,single_parent_household,public_assistance_recipient,invited_to_parenting_workshop,attended_parenting_workshop,child_wellbeing_score
-1,2,1,0,1,0,48.42108640894119
7,2,1,1,0,1,55.73671401732469
2,2,1,1,0,0,49.4677904655184
-1,2,0,0,1,0,50.36435764725312
8,2,0,0,0,1,57.51336344997212
0,2,0,1,1,0,48.90309645017239
3,3,0,1,1,0,48.894811753574864
3,3,1,1,1,1,59.13686503712535
5,3,0,1,1,1,59.8255659760089
1,2,0,0,1,0,49.72147609234449
2,3,1,1,0,0,48.286328642001656
3,2,0,0,0,1,57.745521082182655
4,3,0,0,1,1,58.24297011817416
0,3,0,0,1,0,49.2408345437228
3,2,1,0,1,1,58.64804885758258
1,3,1,0,1,0,47.476493680046
2,3,1,0,1,1,58.86661792796439
5,3,0,1,1,1,58.1115019392992
1,1,1,0,1,0,48.8613845265786
3,2,1,0,1,0,48.23606075011247
7,2,1,1,1,1,56.09324930819256
3,1,0,1,1,0,48.74157211930937
5,2,1,1,1,0,48.33747710361639
3,2,0,1,1,0,49.10813209731609
5,2,1,1,0,1,57.03255941060839
3,3,0,1,1,0,50.62043743823524
3,2,0,1,1,0,48.3502024206562
3,3,0,1,1,1,59.12729148777128
2,3,1,0,1,0,49.14111667153003
9,2,1,1,1,1,55.40564572694087
1,3,1,1,1,0,50.38565582451276
0,2,0,0,0,0,49.244367858145125
1,3,1,1,1,0,50.5426003375789
2,2,0,1,1,0,50.250156024228126
3,3,1,1,1,0,47.83154315524598
4,4,0,1,1,1,59.84003949215116
3,2,1,1,1,0,47.1237256103944
1,2,0,1,0,0,49.66559992568079
9,3,0,1,1,1,56.31494598316572
6,3,0,1,1,1,56.74728054955276
2,2,0,1,0,0,46.937521900572925
5,3,1,1,0,1,56.85893558842044
0,2,1,0,1,0,49.216561740466645
5,2,0,0,0,1,57.87832117399796
3,3,1,0,0,1,57.942874240343045
5,3,1,1,1,1,59.80176226128542
1,2,0,1,0,0,47.88496569264444
6,3,1,1,1,1,57.7067542376012
0,3,1,0,1,0,48.91686073013746
3,2,1,0,1,1,56.993831758896896
4,3,1,0,1,1,56.46174093989501
7,3,1,0,0,1,57.12203687394108
5,1,0,1,1,0,47.86840296179781
2,3,0,0,1,0,48.99398915295731
7,2,0,1,1,1,58.25398252924498
3,3,1,1,1,1,59.72023013467839
2,2,1,0,0,0,47.07565663786064
1,3,1,1,1,1,59.42925867465906
5,2,0,0,0,0,49.11565129059785
5,3,0,0,1,1,59.555105731267055
1,3,0,1,1,1,58.46456075877341
0,3,0,1,1,0,49.98544713168725
3,2,0,0,0,0,50.30353436904772
3,2,1,0,1,0,48.01671452387807
2,2,0,1,1,0,49.94490550953725
2,3,1,1,1,1,59.93611419185656
2,2,1,1,1,0,48.87397338594281
2,1,1,1,1,0,49.73571059576598
4,3,1,0,0,1,59.38513896308798
4,2,0,0,0,0,48.172605265822106
3,2,0,0,1,0,47.93802519734145
4,2,1,0,1,1,56.75358519530861
0,2,1,0,0,0,48.49828812682272
7,3,0,1,1,1,57.75534617996689
4,2,0,0,0,0,48.74303683585932
6,3,0,1,1,1,57.557432598248816
3,3,0,1,1,0,49.95162087084952
3,3,1,1,1,0,50.25746046871048
9,2,1,0,1,1,56.74599298151964
2,2,1,0,0,0,49.08505714234269
7,2,0,1,0,0,48.54400373766941
5,2,0,1,1,1,56.42856580795418
3,1,1,1,1,0,46.31543773155134
5,2,1,0,1,0,49.415523824793375
4,1,0,1,1,0,49.13854933016475
0,3,1,1,1,0,49.74485508869665
7,2,1,1,1,1,58.189853031332206
2,2,1,0,1,0,48.69391549449255
0,3,0,1,1,0,48.48991135511559
0,3,0,1,1,0,49.18060094121541
3,3,1,1,1,1,57.94680450704674
4,2,0,0,1,1,58.986608982490125
5,3,0,1,1,0,50.005410458837225
2,3,1,0,1,0,49.4434383377272
6,3,0,1,1,1,59.56024521010482
4,3,1,1,1,1,58.274439725572165
5,2,1,0,1,1,58.17027021102053
10,3,1,0,1,1,57.06423063583142
4,3,1,0,1,1,56.67015669198123
2,3,1,1,1,0,50.162625684359895
1,3,0,0,0,0,48.70295989216005
4,3,0,0,1,1,60.11447664872867
-1,2,0,1,1,0,49.623938285897616
3,2,1,0,1,0,48.98464509968542
0,2,0,0,1,0,51.10429509229703
7,2,1,1,1,1,57.41890042321745
3,3,1,1,0,1,59.65298987097941
1,3,1,0,1,1,58.028944077682624
2,3,1,0,0,0,51.441694671314266
8,3,0,0,0,1,55.72691951548816
6,3,1,1,0,1,56.41217138379
0,3,1,1,1,0,49.28729560015137
6,2,1,0,1,1,57.80383443199485
1,2,0,1,1,0,48.63286334225212
0,2,0,0,0,0,49.274321031753445
6,3,1,0,1,1,58.053677864979605
5,2,1,1,0,1,59.01518457052259
3,4,0,0,1,1,57.57452297837804
6,3,0,1,1,1,56.4463733499536
5,2,1,0,1,1,58.1142845761938
4,2,0,1,1,0,49.49390119944997
10,2,0,0,1,1,56.84272055894705
3,3,1,0,1,0,49.139107226556426
6,2,1,0,1,1,58.35727002238108
2,3,0,1,1,0,50.40148986815704
7,3,1,0,1,1,57.4436870322795
0,2,0,1,0,0,49.71609029364928
0,3,1,1,0,0,49.23408487356975
5,3,1,1,0,1,58.363503331145886
3,3,0,1,1,1,57.95826400939514
4,4,0,1,1,1,57.932002174493896
2,2,0,1,0,0,51.15027515445718
4,3,1,0,1,1,56.593669414178976
4,2,1,0,1,1,57.34974588707058
3,2,0,0,1,0,48.67274735770872
9,2,0,1,0,1,57.05539061029039
6,1,0,1,1,0,48.82232799578903
3,3,0,1,0,0,50.24669544266386
8,2,1,0,1,1,56.39269587817324
4,2,0,0,0,0,50.41268729608758
4,3,0,0,1,1,59.935649784274354
2,2,0,1,1,0,48.67908377626582
1,3,0,1,0,0,48.759637562874495
4,3,1,1,0,1,57.45192601302321
5,3,0,0,0,1,57.87031090106333
1,2,0,1,1,0,49.6810932590617
6,3,1,1,1,1,57.32447542996788
3,2,0,0,1,0,47.28857347750288
7,1,0,0,1,1,54.72434248548653
3,3,0,1,1,1,59.083693346280086
4,3,0,0,1,1,58.86650644445115
7,3,1,1,1,0,50.40812394395277
1,2,0,1,0,0,49.98246952796791
4,3,1,1,1,0,48.689052542466776
6,3,0,0,1,1,57.40259473670174
1,2,1,1,1,0,48.9922965304929
5,3,1,0,1,1,57.571565649732726
3,2,0,0,1,0,47.01343095229156
5,3,0,1,1,1,58.29432021293719
5,3,0,0,0,0,47.95251476701985
3,2,1,1,1,0,48.31930394087835
5,2,0,1,1,0,48.42595622068357
5,3,0,0,1,1,57.24391001162952
4,3,1,1,1,0,49.213686179033374
0,3,1,0,1,0,49.30586373150072
1,3,0,1,1,0,51.45175222023592
4,3,0,1,1,0,50.58530806933479
4,2,0,0,1,0,47.81993245014273
3,3,0,0,1,0,50.13394028400394
1,2,0,1,0,0,48.54015331418203
3,3,1,0,1,1,57.08173882969388
3,2,1,0,1,1,58.41927045889511
6,4,0,0,1,1,56.165678896278806
4,2,1,0,0,1,58.35608512188398
4,3,0,0,1,1,58.48214070972936
2,2,0,1,1,1,57.53070242967475
3,2,1,1,1,0,47.9914206696556
5,3,0,1,0,1,58.05149353240191
2,4,0,1,1,1,58.79641919982194
5,2,0,1,0,0,49.06045055216576
3,2,0,0,0,0,48.36236232295524
6,2,0,1,1,0,48.15059840892047
0,2,1,0,1,0,47.8648008543455
3,3,0,1,0,1,58.038435133205056
7,2,1,1,1,1,58.46248660170632
7,3,1,1,1,1,57.50180352559248
4,3,1,0,1,1,57.41656709654249
3,2,1,0,1,1,59.72369304500136
3,2,0,1,1,0,48.96166452717465
7,2,1,0,0,1,57.0070462538888
3,2,1,0,0,1,56.20618795651381
1,2,0,0,0,0,47.57743584658426
3,3,1,1,1,0,49.09575408612611
3,2,0,1,1,0,50.49643812228778
5,2,1,0,1,1,57.12561362372064
1,3,0,0,0,0,49.06031106505796
5,2,1,0,1,0,47.72970926933998
7,3,1,1,1,1,58.09934119468838
4,3,0,1,1,0,49.21371051257121
2,4,1,0,0,1,59.61800472019916
2,2,1,0,1,0,48.85940659139644
3,2,1,1,0,0,46.82666604632666
5,2,0,0,1,0,49.27319916336218
2,3,1,1,1,1,57.582800547294326
0,2,1,0,1,0,50.19773424298368
3,2,0,0,1,0,49.2110308141674
3,3,0,1,0,0,49.00600054452048
-1,3,0,1,1,0,49.77246902065419
2,3,0,1,0,0,50.72670128200621
4,2,0,0,1,1,57.259518608209774
6,2,1,1,1,1,56.382500262106575
5,2,0,1,1,0,47.12349568802925
4,3,0,1,1,1,59.34678451278753
4,3,0,0,1,1,57.3159844592285
5,3,0,0,1,1,57.796793034601066
5,2,1,1,0,1,58.334355063886974
2,3,1,1,1,0,49.11749222154717
0,3,0,1,0,0,48.85280014592229
7,3,1,1,1,1,56.41031255346673
2,2,0,0,0,0,48.886279986965626
2,2,0,1,0,0,48.25668220406654
1,2,1,1,1,0,49.0849438859373
0,3,1,0,0,0,49.66915476940485
5,3,0,1,0,0,50.19089803700752
6,3,0,0,0,1,57.6596653923796
3,3,0,0,1,1,58.41215567653597
6,2,1,1,1,0,48.93579484284904
2,2,0,1,1,1,57.94940881134484
2,2,0,1,1,0,49.45198793975014
3,3,0,0,0,1,58.36889358174035
4,3,1,1,0,1,57.35401462151164
3,3,0,1,1,0,49.33760759464368
4,3,1,0,0,1,57.79049167204468
2,2,1,0,1,1,58.20736189924746
0,2,1,0,0,0,47.81071760062928
5,2,1,1,0,0,47.8553532963493
4,3,0,0,0,0,49.05054483304796
1,3,1,1,0,0,48.978577249648936
2,3,1,1,1,1,56.69292244132095
4,3,1,0,1,1,58.42566743740399
6,2,1,0,1,0,48.37017457116258
7,3,1,1,0,1,57.92977875901949
3,1,0,1,0,0,49.62385576065754
7,2,1,0,1,1,55.04797413313627
5,2,1,0,1,1,58.92035157309047
3,2,0,0,1,0,48.796559322265736
0,3,1,1,1,0,50.27282473560264
4,2,1,0,0,1,55.46524835244863
1,1,0,1,0,0,48.18804569811482
3,2,1,0,0,0,47.95470477207986
2,3,0,1,0,0,47.89959220490656
1,2,1,1,1,0,47.77097279040163
0,2,1,1,1,0,50.85435083284472
6,3,1,1,1,1,57.55777124438567
3,3,1,1,1,0,47.7610188284454
3,4,1,1,1,1,58.43712801093939
4,3,0,1,0,1,57.6544150871588
2,3,1,0,0,0,47.8580725451943
1,2,1,0,1,0,48.71918633886511
1,2,1,0,0,0,47.052204080746414
0,2,0,0,0,0,48.63227765490282
4,2,0,0,1,0,48.78360071516838
6,2,0,0,1,0,49.28660212827834
6,3,0,1,1,1,57.13615035898711
2,2,0,1,1,0,49.12851097782802
4,3,1,0,1,1,57.83772052888375
6,3,1,0,0,0,49.77102039164993
5,2,0,0,1,1,57.3855280316649
2,3,0,1,1,0,47.80945381676253
1,3,1,0,0,1,58.972262392173846
0,3,1,0,0,0,49.78554844150665
5,3,1,1,1,1,58.0868890517597
3,4,0,1,1,1,58.93750176725166
4,2,0,0,1,1,56.56347433576695
5,2,1,1,0,1,58.06940909499284
4,3,1,1,1,1,57.80094404472513
2,3,1,0,0,1,58.12202887989417
3,2,1,0,0,0,49.83444837128144
2,2,1,1,1,1,56.02897886630567
3,3,1,0,1,1,56.32397973547466
5,4,1,0,1,1,59.391277724905976
0,3,1,0,1,0,47.88882475551062
1,3,0,1,0,0,50.37895269444753
1,2,1,0,0,0,46.47659687116354
3,2,0,1,1,0,47.314112157410655
4,2,1,1,0,1,56.33412958242086
0,3,1,1,1,0,51.23984385778678
3,2,1,1,0,0,48.25164800619828
2,2,0,0,1,1,58.51218793251413
5,2,0,1,1,1,56.63048891865143
6,4,1,1,0,1,58.90833657969275
8,2,1,0,1,1,56.6752549809535
6,3,1,1,1,1,59.10457125124251
2,3,0,0,1,1,57.796855324671775
4,3,0,0,1,1,57.06462113884336
1,2,0,0,1,0,49.63936690185764
0,3,1,0,1,1,59.58120157428789
6,2,1,1,1,1,58.699943981437954
2,2,0,0,1,0,48.54477264713702
6,2,1,1,1,1,56.59733776707719
3,3,1,1,1,0,47.98696109172892
3,3,1,1,1,1,58.93686927612348
1,3,1,0,1,0,50.67180170876026
5,2,0,1,0,1,57.92486601912072
0,2,1,1,1,0,49.03630487179576
5,3,1,1,1,1,57.51680412728375
