age,education_years,single_parent,rural_residence,gender,local_childcare_availability,childcare_subsidy_received,employment_status
7,32,1,1,1,12,50,202.35494472321412
7,29,1,0,1,11,53,211.38998386010715
4,29,1,0,1,12,50,198.21169691938164
12,28,1,1,1,14,53,209.95906629585892
10,28,1,1,1,15,51,204.3452699782954
7,31,0,0,0,11,50,202.44994456611036
8,30,1,1,1,13,53,211.88872916433743
12,34,0,1,0,15,58,228.0041625451532
8,32,1,1,1,13,55,218.98845651241555
8,29,0,1,1,14,52,206.9309282289645
8,29,0,1,1,12,52,207.57437506648057
7,26,1,1,1,13,51,202.1440817974656
9,27,1,1,1,10,49,198.74438580534573
13,32,1,1,1,11,54,214.96518464278495
11,37,1,1,1,13,58,231.5187869096848
9,26,0,1,1,12,51,205.5062801450109
12,25,1,1,1,13,52,208.8897920616444
9,28,1,1,1,13,51,205.24730853110685
9,30,1,0,1,13,52,208.76781627000952
6,27,1,1,1,13,49,197.04787939980187
13,30,0,0,0,10,53,212.53187543205524
3,30,1,1,0,11,49,196.4551988054582
15,26,1,1,1,15,54,214.2877266978568
8,33,1,1,1,8,50,204.5131360410212
8,35,1,1,0,12,53,211.69466028026235
12,31,1,1,0,12,56,224.14534147671995
9,33,0,1,1,11,51,205.7643690452161
6,31,1,1,0,14,55,218.0049686169778
11,30,1,1,0,9,50,202.12205903486588
8,31,0,1,1,11,53,213.5189761810049
9,30,0,1,0,10,50,201.2360285059672
8,30,1,1,1,12,53,212.0173810820295
8,30,1,0,1,14,54,216.10826739249336
14,26,0,1,1,12,52,206.99863038962104
7,32,1,1,1,11,52,207.7279369682399
10,30,0,1,0,10,53,211.9191813266608
7,27,1,0,1,11,49,196.49211867552708
13,27,1,0,1,12,53,212.0761257763264
12,29,0,0,1,14,54,214.1568108789056
9,28,0,1,1,11,51,204.54345451766395
7,29,1,1,0,14,54,213.2186378523147
9,29,1,0,1,9,49,198.6833325663622
12,34,0,0,1,10,55,221.62030595939356
10,29,1,0,0,12,51,207.51849711653605
12,30,1,1,0,9,54,217.46784281997216
12,29,0,1,0,11,52,206.39784473248997
8,26,0,0,1,10,50,200.4193236341896
10,26,1,0,1,14,53,210.5132467498092
6,29,1,1,0,12,48,192.241228700574
10,31,1,1,1,14,55,220.62187708599143
5,27,0,1,0,12,50,200.09660902709092
11,27,1,1,1,10,52,209.68545149016177
5,26,0,1,1,15,49,197.30813353290284
6,31,0,1,1,13,51,204.36105417797896
14,29,1,1,1,13,56,220.89218447702817
10,32,0,1,0,11,51,205.1424378961741
5,25,1,1,0,15,49,193.7866687496864
11,29,0,1,1,16,53,210.41816500558124
9,31,1,1,1,15,54,214.87283222171817
8,30,1,1,1,13,52,207.43885248280145
8,31,1,1,1,14,54,215.4100079584792
9,29,1,1,1,8,48,197.74689193310067
6,26,1,0,1,11,47,190.1689394896188
7,32,1,1,1,14,53,212.58506789839032
11,31,1,1,0,12,52,205.95574707533945
9,31,1,1,0,14,53,211.46916533608476
6,28,1,0,1,11,49,197.00227076735408
4,29,1,0,1,11,53,213.1596053867206
11,31,1,1,1,11,54,217.5645677382317
12,27,0,0,0,9,50,204.9510131834161
9,30,1,1,1,12,53,211.46147861426965
11,29,0,1,1,10,47,192.9120019990401
8,29,1,1,1,11,50,204.0308115287573
6,29,1,1,1,10,49,199.08541921749256
12,31,1,1,1,12,53,212.4464480396294
6,32,1,1,0,13,54,214.3105239750548
13,26,0,1,1,13,50,201.1541333381652
4,24,0,0,1,12,47,190.8136848048048
11,30,1,0,1,12,53,210.97060545362652
6,30,1,1,1,12,52,210.03910780666317
6,31,1,1,0,16,56,221.7367863660412
12,33,1,0,1,11,54,218.75846732184104
6,30,1,1,0,11,52,208.176777366492
11,31,0,0,1,16,56,221.442497208244
9,30,0,1,1,11,49,202.288941630102
8,28,0,1,1,11,52,209.15990215839636
13,32,1,1,1,13,56,222.34093467958428
12,30,0,0,1,7,49,200.9791608157349
12,33,1,1,1,10,54,216.07439282817143
5,29,1,0,1,15,52,205.66430209023247
4,30,1,1,1,10,48,192.01974249549215
7,31,1,1,1,11,51,205.5869124089762
5,28,0,0,1,11,48,193.49009038022655
11,30,1,1,0,9,52,209.64459170430652
9,30,1,1,1,11,53,212.86302656187615
8,30,1,0,0,14,55,217.52884371311083
5,29,1,1,1,13,49,197.51949891981667
14,31,1,1,0,11,51,208.25388007095225
9,28,0,1,1,12,50,199.07028764811503
10,33,1,1,1,14,57,226.55920630473005
12,32,0,1,0,11,53,214.46528450734957
9,28,0,0,1,8,48,193.54775823139627
10,29,1,1,1,13,53,209.7716202628008
7,32,1,1,1,11,53,212.6863083361357
13,31,1,0,1,15,55,219.23454296962345
12,30,1,1,1,9,50,205.15031096906472
9,25,1,1,0,11,47,190.69281144580276
19,26,1,0,1,11,54,215.9251819397729
10,28,1,0,1,14,54,213.0744825823183
14,32,1,0,0,13,56,221.3449785222546
12,31,1,0,1,10,53,214.19245648512057
8,26,1,0,1,9,46,188.86152119358349
10,28,1,1,0,11,53,210.6795660093577
10,31,1,1,1,8,49,201.26303040173391
8,32,1,0,1,15,57,224.335396723334
11,31,0,0,1,14,55,219.9118666448552
6,26,1,0,0,9,45,184.91137430125573
10,29,0,1,1,13,53,213.7778669024424
9,26,1,1,1,12,51,202.0244703930735
17,29,0,0,1,12,54,215.0796419058788
5,32,1,0,1,9,50,201.17792854281043
11,32,1,0,0,10,52,208.00528503212487
10,30,1,0,1,9,52,209.70524173897863
5,25,0,0,0,13,47,188.78804668843213
12,25,0,0,1,9,49,197.4681275844576
12,27,1,1,1,12,53,214.1619602067733
12,27,1,0,0,14,52,203.9799011071728
10,29,1,1,1,11,50,202.310668667379
12,31,0,0,1,16,54,216.03532799616696
9,29,0,1,1,13,52,207.2144169684033
11,28,1,1,1,11,53,211.4931062591929
15,30,0,0,1,11,53,212.40479750237424
6,28,1,0,1,10,48,195.1982948459477
16,33,1,1,1,12,55,224.42749033410092
14,27,1,1,0,9,49,198.1816846909264
13,29,1,1,1,12,55,217.27432630394284
7,32,0,1,1,12,52,208.30566991618056
9,30,1,0,1,8,51,205.7104949430062
6,33,1,1,0,14,53,213.818251239541
7,28,0,1,1,12,48,194.4439327688585
10,26,1,1,1,10,51,205.5311365666548
5,27,0,0,1,10,49,198.03695544705505
6,30,1,1,1,10,50,202.6002183805033
10,30,1,1,1,10,53,211.3873319204409
10,31,1,0,0,14,55,217.1339258704485
9,33,1,1,1,13,52,210.89914705650645
8,28,0,1,1,14,51,205.4748974593253
10,29,1,1,1,13,53,212.2267340834753
10,28,1,1,1,10,52,208.8634839019332
14,28,0,1,1,13,53,209.3929269954661
9,30,0,1,0,12,52,209.53663182124924
6,27,0,0,1,10,50,201.85709652816493
9,29,0,1,1,15,54,213.56986789442828
4,33,1,0,1,13,52,207.6790769715694
11,28,1,1,1,12,51,204.31533708570348
6,31,1,0,1,10,51,205.3776685235168
4,25,0,1,0,16,48,187.70946515531588
8,28,1,1,1,12,50,204.0070698883572
10,32,1,0,1,13,52,205.73872316687292
9,31,1,1,0,11,51,208.38702889921652
13,30,1,0,1,10,53,212.60973608273147
14,32,0,1,0,13,54,214.19075003504148
8,28,1,0,1,11,51,204.9754564410012
8,29,0,1,0,11,50,201.6867935391541
8,32,1,1,1,12,55,217.87758640105525
7,27,1,0,1,10,49,199.02540152027188
12,32,1,1,1,10,54,218.94356561047584
9,28,0,0,1,15,55,215.75078654546832
6,33,1,1,1,11,51,204.12983551629415
10,32,1,1,1,10,51,203.32992018737735
9,29,1,1,1,12,50,203.1149942987809
9,27,0,0,1,13,52,206.47802142096805
5,31,1,1,0,10,50,200.7774476653829
3,30,1,0,1,14,52,210.29230360561277
8,32,1,0,1,11,52,208.53710338794784
5,27,0,1,1,10,48,194.92282989819464
6,33,1,1,1,13,52,208.19727553569
6,27,0,0,1,13,48,193.09271271543176
8,33,0,1,1,8,51,207.7025008822621
8,26,1,1,1,14,49,198.43949019065627
8,25,1,1,1,15,52,207.6571081501946
10,27,0,1,1,13,53,209.5839838173177
7,32,1,1,0,14,58,227.90194945127453
10,29,1,1,1,14,54,214.15855926088463
9,25,1,1,0,10,49,196.4421872941689
11,28,1,1,1,9,51,208.26177038878524
9,24,0,1,1,13,49,197.0793013262773
12,26,1,1,0,10,51,201.57245876413208
8,29,1,1,1,12,50,203.63926716706635
11,31,1,1,1,12,57,224.72258833816247
7,29,0,1,0,15,53,209.6697259785242
8,28,1,1,1,13,52,206.3441004516964
2,31,0,1,1,13,49,198.47670734924017
14,30,1,0,1,13,55,218.65023325389777
9,33,1,1,0,14,56,221.6096915700794
10,28,1,0,0,11,50,202.47901262651345
13,32,1,0,1,9,55,221.9859836719658
5,32,1,1,0,12,51,203.80919851869933
7,31,1,1,1,9,51,204.8305804147997
11,31,1,0,0,15,56,221.39771679165824
9,30,1,1,1,10,54,215.33564290163375
10,31,1,0,1,13,51,204.7747496216219
8,29,1,1,1,14,54,212.02697857809912
11,26,1,1,0,12,52,206.89888161981463
11,28,0,1,1,13,53,212.35630497915204
12,31,1,1,1,8,51,208.96216449359972
10,28,1,1,0,9,48,196.21739594942036
6,28,1,0,1,11,48,195.25226022423467
8,31,0,1,1,7,49,201.85303622121927
14,31,0,1,0,9,55,220.01503420394764
14,31,1,0,1,12,55,219.7425962279704
11,30,1,0,1,10,50,202.27172913111215
7,28,0,1,1,10,51,206.25069395814728
9,32,1,0,1,9,50,203.2284622719182
5,34,1,1,0,11,51,204.8474384898838
6,29,0,0,0,11,48,193.51559433230523
14,29,0,0,1,9,54,216.3076834086089
6,27,0,0,0,9,48,194.8325225745193
8,29,0,0,1,12,50,201.97305064159272
8,27,1,0,1,12,50,200.4401221590969
10,29,1,1,1,11,53,214.95105488079
3,31,0,1,0,9,48,197.79219036593764
8,31,1,1,1,14,52,207.51582335204972
7,30,1,1,1,12,52,209.50332456599344
7,32,1,0,1,14,54,214.830500232124
6,28,1,1,1,11,49,199.1830411174292
12,27,1,1,1,15,53,209.5179529672488
7,27,1,1,1,10,50,201.4007531713775
10,30,1,0,1,9,54,217.9290456788881
6,29,1,1,0,15,53,210.3468344806084
10,30,1,1,0,11,52,211.7525742997896
5,32,0,0,1,8,46,189.403957169782
15,32,1,0,1,13,56,222.0111606925494
5,26,1,1,0,10,50,202.5636766026676
8,30,1,0,1,14,55,220.06580828895827
4,33,0,0,1,15,51,204.47289647732927
9,27,0,1,1,13,50,200.85229423681156
13,31,1,1,1,11,52,208.3339807652284
6,30,1,1,1,13,51,202.92687444551552
6,30,1,1,0,11,53,212.90287798508683
8,29,1,1,1,13,51,202.64225742690195
14,29,1,1,0,11,57,226.8884096508053
14,30,1,1,0,13,55,219.16466311785587
12,27,1,1,1,12,53,211.6273786922857
14,33,1,1,0,14,56,219.50611376882188
10,26,1,1,1,12,51,204.5864060517869
9,27,0,0,1,11,50,200.1197844776324
9,29,1,1,1,15,53,206.6890968071959
12,29,1,1,0,12,52,206.75264809257652
7,31,1,1,1,10,54,219.1969270751796
9,30,1,1,1,11,52,208.24837767513864
3,32,0,1,0,11,52,206.6850571675513
15,27,1,1,1,8,51,207.72855403122048
9,30,1,1,1,9,49,198.73783268587212
11,28,1,0,0,14,54,211.47734944992504
9,30,1,1,0,7,52,210.9026859269557
9,35,0,1,1,12,53,215.77018131065927
8,27,0,0,0,12,50,198.4579185935137
9,28,1,1,1,13,53,209.71904846565585
8,31,0,1,1,13,52,208.1247951288124
10,31,0,0,0,9,51,204.57742815707468
11,30,1,1,1,12,52,208.3605351291664
15,29,0,1,1,5,50,203.21590050668132
14,29,0,1,0,10,52,208.73141010738607
9,27,1,0,0,9,50,202.1061357588961
11,32,1,1,0,9,51,205.079722929466
9,27,1,0,1,9,50,200.96352212232105
9,29,1,1,0,14,52,207.15773778849928
6,31,1,1,0,12,54,214.7638469746881
8,30,1,1,1,13,54,216.26120535306524
9,32,1,1,0,14,54,213.4181344312576
5,29,1,1,1,13,51,205.0223750282056
10,29,0,1,1,11,53,213.86215309637663
9,29,1,0,1,12,51,204.52403093494272
9,28,1,1,1,13,56,224.4419348638989
8,31,0,0,1,5,47,196.9047834598812
8,31,1,0,1,8,50,205.37848973123505
13,27,1,1,1,9,50,202.21681167815876
12,34,1,0,1,10,56,222.7316281470165
8,31,1,1,0,11,52,211.00408393855784
6,27,1,1,1,12,48,192.2557664686983
8,29,1,1,1,10,51,204.36882996429276
17,30,1,1,1,9,55,221.19132118589064
6,27,0,1,1,8,49,199.6815967093015
10,31,0,1,1,11,52,207.9383113022141
13,32,1,1,1,12,53,213.36488608272933
13,30,0,1,1,8,50,204.3760962230539
11,28,1,0,0,13,51,202.75966270481376
8,30,1,0,0,11,52,209.26776121105743
8,31,0,1,1,14,53,212.15232315468276
12,29,0,1,1,12,54,211.67388374742728
9,31,0,1,1,13,52,208.0003241703305
5,29,1,1,0,12,51,205.12820721211813
8,28,0,1,1,9,52,205.452968341836
7,27,0,1,1,10,51,204.1696325445514
14,32,0,1,1,9,55,219.92380806015237
11,33,1,0,1,9,52,212.01439665058464
10,31,1,0,1,11,53,212.90078193141707
8,28,0,1,1,15,51,205.97367806245825
7,27,1,1,0,9,47,191.03884394581533
9,29,0,0,0,8,49,198.51202514906305
6,31,0,1,1,12,51,207.4418362156138
12,33,1,0,1,12,55,219.44972241228072
12,27,1,1,0,13,55,215.6203169792893
10,28,0,0,1,8,51,207.8452132044994
11,28,1,1,0,13,53,212.5238257752832
9,29,1,1,1,13,52,206.20383605952975
11,30,1,1,0,8,50,199.43644058161
10,31,1,0,1,10,51,205.04975386825143
6,28,0,0,1,13,52,206.66215056514923
10,26,1,1,1,10,49,199.0989833355016
6,31,1,0,1,10,53,210.72153781693007
8,31,0,1,1,14,53,213.76797362766052
7,31,1,1,0,13,51,204.71655685432776
10,30,0,0,1,11,53,215.8472915582017
8,33,1,0,0,14,54,213.76795527367253
12,27,0,0,0,9,52,208.65452831208532
11,33,1,1,1,10,54,215.8784220133168
9,30,0,1,1,13,52,208.4865838097369
14,32,0,1,1,12,53,212.98409024924987
9,29,1,0,1,13,51,206.60259903414547
11,29,0,1,1,9,52,209.628317808129
7,29,0,1,1,11,51,206.52300558974983
5,27,1,1,0,17,52,206.33999523287028
11,23,1,1,0,11,47,191.3589943170909
6,29,1,0,1,15,54,214.53874763592205
8,31,0,1,1,13,53,212.85173087829008
10,27,1,1,1,12,50,200.6438684434679
5,29,1,1,0,10,51,201.7799366762755
8,32,1,0,1,10,52,212.0772675817521
9,26,1,0,1,15,49,199.2584689454418
6,30,1,1,1,10,50,203.9600288187606
9,26,1,1,0,10,50,199.8717145361944
8,33,1,0,1,10,52,209.9156009013168
14,25,0,1,1,10,51,205.84615563612425
6,29,1,1,1,10,48,194.57835683973948
7,32,1,1,1,14,56,225.6546242049472
12,30,1,0,1,12,53,212.87160665277617
11,32,1,1,0,10,51,207.5917349049688
11,25,1,0,1,9,49,200.3051237943276
12,28,1,1,0,13,53,210.36576761752
6,29,1,1,0,12,49,196.98257347250916
9,30,0,0,0,10,52,208.5579596950529
10,34,1,1,0,12,54,218.03380774345308
8,30,1,1,1,11,51,203.0475888281548
6,25,0,0,1,12,49,196.4710410440286
11,30,1,1,1,11,53,211.9995341688698
8,28,1,1,1,11,51,206.36130202118176
8,28,1,1,0,10,51,204.85263126742947
5,31,1,1,1,12,52,208.07843855969455
10,33,0,1,1,14,55,220.9968596994087
12,30,0,0,1,12,51,201.5706940057973
8,33,1,1,0,10,51,207.0360417087421
11,32,1,0,0,7,49,202.76568923839312
11,26,1,1,1,10,50,202.73378886316485
4,28,1,1,0,11,48,191.4489813950557
8,27,0,0,0,10,49,198.2011443834489
11,29,1,1,1,17,55,217.4586823474796
4,32,1,1,1,9,51,207.1157654286341
10,31,0,0,1,10,52,211.4333648041552
10,28,1,1,1,11,50,201.2644456636684
5,25,0,0,1,12,46,189.16036464240764
15,28,0,1,1,10,54,215.9628532296475
13,29,0,1,0,13,55,218.09582211314813
8,32,0,1,1,15,54,214.8374513331593
10,30,1,1,1,11,53,214.50667269537408
10,26,1,1,1,16,53,211.35571405192445
