participant_age,income_level,crime_rate,education_years,employment_status,home_ownership,received_funding_policy,received_public_safety_funding,perceived_safety_level
29,27,6,17,2,1,0,0,82.03378674778352
12,13,8,17,4,1,1,0,69.68937815191806
6,23,0,17,2,1,0,1,76.07516386988927
25,22,5,21,1,1,1,0,79.66935889424762
27,22,3,3,2,0,1,1,70.05427894955372
29,22,6,16,2,1,1,0,78.6064816236058
25,21,6,13,1,1,0,0,73.75952555848784
24,22,3,19,3,0,0,1,80.88795483059278
25,26,4,17,2,1,1,1,82.11010576802046
25,19,5,9,3,0,0,0,71.30768168251308
27,25,7,13,3,1,0,1,81.40123549085014
18,25,9,8,0,1,0,0,73.89102979495719
26,24,8,11,3,0,0,0,73.41732692098905
22,25,4,18,1,1,1,0,77.68985248220125
28,23,9,21,2,0,1,1,83.52176068335866
28,20,5,16,2,1,0,1,76.85775862207383
26,30,5,21,2,0,0,1,86.47927225183025
10,25,7,14,3,1,0,1,78.08993394060602
27,24,5,14,1,0,1,0,78.43073360757587
30,18,4,11,2,1,0,1,74.0782777493771
29,16,7,21,1,0,0,1,76.17122958887623
37,24,5,13,2,0,1,0,78.5170893945119
13,25,9,15,1,1,0,1,78.13571339275589
18,23,6,17,2,0,1,1,78.70281782225312
25,20,8,13,1,0,1,0,74.06786247108855
24,26,11,11,1,0,1,1,80.56725094065769
31,26,6,11,1,0,1,0,79.39085103566117
20,30,7,10,0,1,0,1,80.54280822482313
6,23,7,17,3,1,1,0,75.9165611374484
15,23,5,25,2,1,0,0,77.4099716616598
6,18,5,17,2,0,0,0,71.1212361651708
17,24,4,7,0,0,0,0,72.0361981291324
18,31,1,13,0,1,1,0,80.8008591985265
29,32,8,16,0,1,1,0,85.56785908156559
17,24,5,10,3,1,0,0,75.32206929722788
34,21,6,13,1,1,0,0,75.61769010256143
19,24,8,15,1,0,0,0,76.31629618283871
23,16,9,17,4,1,0,1,74.23605633563447
32,25,5,15,0,0,0,1,78.78822132794481
26,23,7,9,2,0,0,1,75.71791827969798
18,21,8,17,0,0,1,1,77.43590772023005
35,28,6,20,2,1,1,0,85.74093312790949
19,26,5,13,2,0,0,0,77.4378048276161
45,26,6,19,4,1,1,0,85.89839603839897
33,22,7,14,0,0,1,1,79.76888072308168
25,18,6,19,2,0,0,1,75.5546358042599
30,31,4,22,0,0,1,1,90.10224542450958
41,24,6,20,2,1,0,0,80.35657244430217
18,23,7,17,1,1,0,1,78.49217192469476
31,23,5,20,0,1,0,0,79.44297418744267
26,21,7,24,1,0,0,0,79.20074433547413
41,19,6,15,2,1,0,1,78.51284209236587
17,20,6,17,2,1,1,0,73.22710010355607
35,27,7,16,2,0,0,0,81.870000047064
30,31,6,14,2,1,0,1,85.33326155048894
19,26,1,16,3,0,1,0,78.98232569946637
20,18,7,18,2,1,1,0,75.52105908867674
25,24,7,14,1,0,0,0,76.10115333414882
32,21,4,17,2,0,1,1,79.81643246422547
6,20,6,14,3,0,0,0,71.525667064805
18,28,3,12,2,1,0,1,80.80464295555937
42,23,6,16,0,0,1,0,81.13435098444062
18,20,6,17,1,1,1,1,75.0838662015492
23,24,4,20,0,1,0,1,80.11052815749505
20,20,3,19,1,0,1,1,77.130854292609
48,25,1,16,2,0,1,1,83.92543774027017
21,30,5,15,1,0,1,1,83.49726888317022
29,22,6,7,1,1,1,1,74.70134641987366
26,20,3,14,2,1,0,1,76.16075348263007
16,23,9,11,1,0,0,0,71.59762678757411
22,28,3,17,0,1,0,0,81.45149050571115
25,17,5,8,2,1,0,1,69.66061418415705
33,25,3,20,1,0,0,0,81.24001977031187
14,24,8,15,1,0,0,1,76.62123993273333
19,28,3,13,2,1,0,1,78.59736783310174
23,24,5,20,2,1,0,0,79.23230232831811
35,25,12,15,2,0,1,1,83.43083937336151
31,24,11,14,2,0,0,0,79.78725005544149
14,24,9,9,0,0,1,0,73.62758672193591
25,29,6,23,3,0,1,0,85.90084959934808
33,15,9,20,1,1,0,0,74.63350110692457
23,21,4,13,2,0,1,0,74.38222383784179
37,21,2,17,0,0,1,1,80.66091384836446
34,16,7,15,1,0,1,1,75.91395258073486
15,26,5,21,1,1,0,0,79.43217691347428
21,24,4,11,2,0,0,0,75.01794282952389
29,24,3,19,2,0,0,1,80.88498415181813
30,20,7,9,0,1,0,0,72.21458640587002
24,21,2,21,3,0,0,1,78.92028749874292
10,29,4,21,3,0,1,0,82.74870379642877
29,27,2,18,1,0,1,1,83.09004541173913
18,21,7,18,0,1,0,0,75.7996577914277
46,29,7,19,1,1,0,1,88.84968333725706
27,28,2,18,2,1,1,1,84.70138272565669
38,24,10,11,2,1,0,1,80.97167564306355
14,25,4,9,2,1,1,0,73.56852345275604
30,28,8,17,2,0,0,1,86.160517504533
41,24,4,14,1,1,0,1,81.3429888437007
24,26,8,15,2,0,1,0,80.9943829124084
37,21,2,21,2,1,1,0,80.79986582302844
25,29,7,12,2,1,1,0,81.75343290784096
15,27,10,16,2,0,0,0,78.93122584826462
10,31,1,14,2,1,0,1,81.66624239644683
29,23,0,19,1,0,1,1,79.64959387498278
35,23,10,16,1,1,0,0,79.15625261553893
32,23,9,11,2,0,0,1,78.42173190869676
30,23,7,12,1,1,0,1,76.6805427365034
19,25,6,20,4,0,0,0,79.45098263489183
41,24,8,15,0,0,1,0,80.42728449317892
18,19,9,10,3,1,0,0,71.05417206027293
24,21,6,14,1,0,1,0,75.57795628654354
18,21,7,20,1,1,0,0,76.74701122368859
22,21,4,21,2,0,1,1,79.56064361353029
38,21,1,18,1,0,1,0,80.53372804186682
39,19,6,13,2,1,0,0,74.09189147842223
22,26,6,17,0,0,0,1,82.15717347868355
26,19,8,16,2,0,1,1,77.90715368441482
12,21,5,28,3,1,0,0,78.45384886304815
21,27,1,15,2,0,0,1,79.45772595783015
5,20,5,15,2,0,1,0,72.47150244590597
16,27,4,18,1,0,0,1,83.55241362390781
7,28,6,12,3,1,0,0,75.7800584831212
27,23,2,18,1,1,1,0,78.15683841392625
34,24,4,16,2,1,0,1,80.91953508142292
26,27,4,12,1,1,0,0,79.11218511232161
28,18,8,16,3,1,0,1,76.51213825803106
12,22,5,11,2,1,1,1,73.77622044074805
38,27,3,14,1,1,1,1,82.89497403450085
29,32,6,14,1,1,0,1,85.54390923733696
22,19,6,15,1,1,0,1,74.98636117047246
46,23,5,20,3,1,1,0,82.96675678544376
15,26,6,15,2,1,0,1,80.58249543964135
22,20,4,16,2,1,1,1,75.9038330513469
37,21,7,17,0,0,0,1,79.56517300752849
39,15,4,18,1,0,1,0,75.15040361111544
16,25,8,16,1,0,0,1,80.4235791103607
15,26,3,12,1,1,1,0,77.49432417643138
21,21,6,21,0,0,1,1,79.30546022159659
27,27,4,19,4,0,0,1,84.44563378080683
26,22,8,15,2,1,1,1,78.51819383990303
28,25,8,7,1,1,0,0,75.8631344417636
13,27,1,15,1,1,0,1,77.23829743506758
30,28,8,17,0,1,1,1,84.44816904304673
26,28,4,13,3,1,1,1,81.5518359714294
23,29,7,14,0,1,1,1,82.25834432407534
59,24,5,19,1,0,0,1,86.88676581219045
18,25,4,19,1,1,1,0,78.80092968739325
21,25,7,20,2,1,1,1,81.97809045230133
26,29,5,16,1,1,1,0,81.53525368246548
0,19,6,23,0,1,1,0,71.50512176234867
35,20,6,14,1,1,1,0,76.36363479744577
15,19,7,23,2,0,0,1,77.2612528845614
9,24,2,17,1,0,0,1,76.59688342863419
26,23,8,16,1,1,1,0,76.65551787406315
29,22,6,10,2,1,0,1,74.32987520225741
19,23,4,11,2,1,0,0,73.33429753716365
27,22,8,13,1,1,0,1,77.7732987364031
18,27,6,16,3,1,0,1,84.96397262869543
9,19,6,17,2,0,0,0,72.24772639288618
22,24,9,17,1,1,1,1,79.33882807143856
33,20,5,21,2,0,1,0,79.143412314724
7,26,1,16,2,1,1,0,78.40805354235661
26,27,4,18,3,0,1,0,83.51610270219274
13,33,1,15,3,1,0,0,82.6285521795658
19,24,7,15,2,0,0,0,77.12420880956581
26,24,6,16,1,0,1,0,78.11435227272094
30,27,8,14,0,1,0,0,80.07191443019535
27,20,8,17,2,1,0,0,75.17601962961137
6,26,2,16,1,1,0,0,77.174460671682
23,17,8,18,2,0,1,0,71.9499366880061
25,21,6,13,3,0,0,1,75.59798988254822
17,21,5,14,2,1,0,0,73.62984280654688
29,21,7,16,0,1,1,0,76.55437975066127
26,28,7,14,3,0,1,1,85.02740584942632
31,21,6,14,0,0,1,0,77.68239681291924
33,22,7,17,0,1,1,0,78.49602903974869
12,26,8,12,3,0,1,0,75.67322170192882
35,18,5,20,0,0,0,1,77.01851534409943
19,21,3,12,1,1,1,0,71.40193283090139
21,20,4,12,2,1,0,0,71.35505651924878
29,22,6,15,2,1,0,1,79.23206165996015
14,26,7,21,2,0,0,0,79.41526900517846
22,26,4,15,2,0,0,1,81.64328140255756
31,20,7,19,2,0,1,0,78.19445714657671
33,29,8,18,1,0,0,1,85.82201252808372
31,28,4,19,0,1,0,1,82.98817888162455
35,19,9,20,2,0,0,0,78.60594862965118
28,19,5,18,0,0,1,1,77.73238723236098
38,24,3,18,2,0,1,0,80.17961152091219
33,27,4,14,1,0,0,0,80.02209240151123
25,26,2,11,0,1,1,0,76.24478137416871
32,24,8,16,2,0,1,1,81.26701745384143
22,27,5,22,1,1,1,1,84.85695618085177
19,25,6,20,0,1,1,1,80.58764866700545
27,15,4,9,1,1,1,0,66.46251664817619
24,26,10,23,1,0,0,0,82.95018354746341
11,25,5,16,1,0,0,1,76.8691601966191
37,24,6,11,0,0,1,0,76.92224602781678
25,26,7,17,1,0,1,0,79.9915866565785
33,34,6,9,0,1,0,0,83.56577410179867
33,24,5,19,3,1,1,0,81.69386418565384
25,13,5,11,1,0,0,1,68.01721641949084
20,30,3,22,2,1,0,0,84.01305202264939
26,23,7,15,3,1,0,1,80.56166104325904
27,19,9,15,2,1,1,1,76.52246830711395
29,27,4,13,2,1,0,1,82.69222959391377
21,23,7,13,2,0,0,1,76.72658734244465
14,27,8,14,2,0,1,1,79.69919987938081
28,38,9,11,2,1,0,1,89.26974017598049
10,25,4,14,2,0,0,1,75.99729539859443
27,12,8,23,1,0,0,1,72.3011292828505
23,25,8,16,4,0,0,0,79.90218128904588
21,19,5,19,0,0,1,0,73.87370367032813
43,21,5,8,2,0,0,0,73.586548306136
17,22,5,14,1,1,0,1,75.6335445164933
21,27,4,9,2,0,0,1,79.86975710825753
25,24,6,15,1,1,1,0,77.77094281834081
14,31,4,15,1,1,1,1,84.1784048861013
17,23,10,10,1,1,1,1,75.91915710466587
42,29,3,13,0,1,0,1,83.07198047631057
49,23,10,17,2,1,1,1,84.13161343565166
21,25,4,15,2,1,0,1,81.55529579800678
7,27,5,13,2,1,1,0,76.37135301497634
33,31,3,12,0,1,0,1,83.39824707080054
9,20,2,20,1,1,1,0,73.37633036133091
14,23,7,17,3,0,1,0,76.87185078595384
25,24,8,13,3,1,1,0,78.24187350797462
21,28,3,16,1,1,0,1,81.13204798941725
18,25,5,17,4,1,1,1,82.89817392776766
34,18,5,22,1,1,0,1,80.47906179146005
12,27,4,17,1,0,1,1,79.62922133902515
23,23,4,9,1,1,1,1,75.8794811859208
30,25,4,15,2,0,1,1,82.53736390800987
30,19,6,9,3,0,1,0,72.52499359998957
10,16,4,13,0,0,0,0,66.83311662395482
19,22,7,19,2,0,0,1,79.58178895866703
40,13,7,18,3,0,0,1,73.15783339420852
16,21,5,12,0,1,0,1,73.39300945925172
41,28,4,12,0,1,1,0,84.24505986476828
31,22,5,22,1,1,1,1,80.52309027394415
27,20,5,12,1,1,1,1,76.24155278156579
25,20,4,10,3,0,0,0,71.95203906599357
13,21,5,16,2,0,0,1,76.15989587323998
8,22,5,17,1,0,0,0,74.83361243693714
26,26,7,8,1,0,0,1,78.24648460488625
25,21,6,22,1,1,1,1,80.67425075831001
8,22,3,21,2,1,1,0,76.44411819353212
33,29,8,8,0,0,1,1,81.52473308030018
23,21,7,14,0,1,1,1,75.26956018592668
22,23,5,11,4,0,0,0,73.85587533170734
30,15,2,12,3,1,1,1,71.48689246452791
19,30,7,15,3,1,0,0,83.07139200385123
21,23,8,9,1,0,0,0,73.36444460208659
15,30,5,13,2,0,1,0,79.73596374263502
33,25,6,20,2,1,0,0,79.88724609731014
25,26,6,12,2,1,0,0,77.53671124108537
9,30,3,16,-1,0,1,1,79.28291432553904
23,17,6,19,1,0,1,1,75.56132842714642
15,27,6,17,1,1,0,1,81.1923651077404
8,21,5,18,2,0,0,0,71.45364059449653
30,20,5,18,0,0,0,0,76.14422282976305
19,20,4,21,2,0,0,0,75.48729435306132
28,26,8,20,2,0,0,1,86.59545154660488
22,20,8,17,2,1,0,0,74.577012204434
26,27,7,11,1,0,0,0,76.37778113920213
29,25,6,13,2,1,1,1,81.14235232041321
40,28,4,19,2,1,0,1,87.0220539072596
36,25,5,13,1,0,1,0,77.51074396118229
24,23,5,16,3,0,1,1,79.346884192312
30,28,5,14,1,0,0,1,83.23813585930488
15,24,3,17,2,0,1,1,80.31415901185697
22,28,3,9,2,1,1,1,77.64798068255864
27,30,5,21,2,1,0,0,85.60864994359363
19,30,5,13,2,1,0,0,81.4965791010476
22,27,6,12,0,1,0,0,77.42354261036274
37,30,7,20,2,1,1,0,87.93074570818702
21,28,6,14,1,0,0,1,81.8207386646298
9,23,4,19,1,1,0,0,76.42932994277453
31,25,4,14,1,1,0,0,78.33533201829115
16,25,8,3,1,0,1,0,73.62486606511324
29,23,10,13,3,1,0,0,77.2652232425368
27,29,1,18,2,1,0,1,84.40397540857701
16,24,3,18,1,0,0,1,78.40660936199238
21,24,6,10,1,0,1,1,76.66219706312711
13,23,7,20,1,1,1,0,78.43958616227374
16,30,7,15,3,0,1,0,83.79858397605165
25,28,7,13,2,1,0,1,82.26254909127758
17,23,8,27,0,1,1,0,81.65733983350826
23,18,5,19,1,0,0,1,76.91045333385561
24,26,10,17,1,1,0,1,80.79537636935034
48,29,5,16,1,0,1,1,86.42583949022854
33,22,7,18,1,0,0,1,81.50864008838815
24,24,5,4,1,1,1,1,74.49831295397404
18,22,4,12,2,1,0,0,71.94137309206961
18,28,3,19,2,0,1,0,82.13269883791608
15,25,4,21,3,0,0,1,80.3239229278625
40,21,8,13,3,1,1,0,78.4289893162041
16,18,6,13,2,1,1,1,72.6678298616647
24,18,6,11,3,0,1,1,73.26876413578927
30,27,4,6,1,0,1,1,79.3997516702013
18,23,3,19,0,1,1,0,77.40527159067356
24,19,6,19,2,0,0,1,77.47660400370725
7,21,7,16,0,1,1,0,72.75164428452517
37,26,4,18,2,1,1,1,84.59921322843122
27,17,9,16,2,0,0,0,72.36358681737653
29,25,5,17,0,1,1,1,80.87437659131801
47,33,5,17,2,0,0,0,88.87256481789535
30,29,4,11,1,0,1,1,82.39178383343382
25,31,8,15,1,1,1,0,83.82130629303889
27,21,8,16,4,0,1,0,76.86901841149674
22,27,8,7,0,1,1,0,77.1225426568792
21,18,6,24,1,1,0,0,76.24577757770426
31,23,5,23,0,1,0,1,82.25254969488078
41,23,8,12,2,0,0,0,78.81810967754421
33,16,3,20,2,1,1,0,76.63340473907719
34,27,6,13,2,0,0,1,83.49019186472532
14,14,4,18,-1,1,0,1,70.63372366252749
21,25,8,13,1,0,1,1,81.08976511911703
7,18,7,11,2,1,0,0,67.95725638208636
29,27,2,11,3,1,1,0,78.75559255624313
27,17,2,8,2,1,1,0,70.79471411274233
24,29,5,14,2,0,1,1,84.6317907443591
34,18,8,17,2,1,0,1,77.92087392046344
31,24,6,23,3,0,0,0,82.66810705157238
27,21,2,19,2,1,1,0,78.96092508988907
26,28,5,10,1,0,1,1,79.55978504850569
19,27,0,12,0,0,1,0,77.69356004876431
20,24,2,21,0,0,1,1,80.44547138476428
58,18,4,15,2,1,1,0,78.17979608777743
44,24,6,17,0,1,1,1,85.2690263179917
17,26,5,18,0,1,1,1,81.01947559569192
32,21,7,14,1,1,1,0,76.28347628546321
24,26,4,11,2,0,1,1,78.88025885191763
37,21,6,22,1,1,0,0,80.84582448785825
17,35,6,15,0,0,1,0,83.76070887203024
19,26,7,18,1,1,1,1,82.13219020846408
19,20,5,15,0,0,0,1,74.08304879433783
30,31,4,17,2,1,1,0,86.1279413966363
48,18,4,17,2,1,0,1,81.08233517629927
44,22,4,16,2,1,1,0,77.73631154358681
21,23,4,17,1,1,1,0,76.79598065722043
42,23,5,8,2,0,0,0,76.54983538618808
30,24,5,16,2,0,1,0,78.60651317318847
0,31,5,15,0,1,0,0,79.42586813969996
19,23,4,17,0,1,1,1,77.2900763801087
13,24,9,13,1,1,0,1,75.40150552966087
32,22,4,15,3,0,0,0,77.13910040128614
18,18,6,19,1,1,1,1,76.46181308801981
16,24,9,20,0,0,1,1,80.95877541977727
23,17,6,18,2,0,1,1,76.42817581419675
31,26,5,17,2,0,1,0,82.35424297373284
29,23,5,7,1,1,0,0,72.79180775819269
12,26,11,19,0,0,0,0,80.24520156856546
13,23,7,20,0,1,0,1,79.57054691145476
30,17,8,12,2,0,0,1,73.26619500663547
25,23,8,16,1,1,0,1,80.44492168696267
29,26,8,16,0,0,1,1,82.45043763034614
38,26,7,15,5,1,0,0,82.54719917355852
6,28,7,23,0,0,0,1,83.12858841770644
29,24,3,22,2,1,1,1,83.12189615630444
42,29,1,15,2,1,0,0,84.91433607067053
38,29,8,16,1,0,1,0,85.19789299518094
21,28,5,15,1,0,1,1,81.9344150133982
33,19,5,8,0,1,0,1,72.33798575653164
23,24,3,14,3,1,1,1,79.14175461069036
28,23,7,22,2,0,0,0,79.72595985240112
21,24,9,14,3,1,0,1,79.1148515930345
39,25,7,13,1,1,0,0,79.45080409100139
16,25,6,16,2,1,0,0,76.41655468616351
-1,23,8,12,2,0,0,1,72.07707595381721
36,25,2,14,2,1,0,1,80.11848919729441
24,23,2,18,0,1,0,0,78.4484431299908
32,16,4,18,1,0,1,1,75.02966148461704
28,28,5,21,3,0,1,0,84.79228016412564
25,31,4,13,2,0,0,1,85.16490800793203
16,25,5,17,3,1,0,0,79.65825384308846
17,31,4,16,1,0,0,1,82.34378481143297
18,23,7,20,1,0,1,0,76.23769331175238
35,22,5,19,0,1,0,1,80.25175840112828
38,20,2,16,2,0,0,1,78.11189647215305
33,19,2,12,0,1,0,1,75.11793468393864
28,18,5,19,1,0,1,1,77.7981232721906
12,26,1,10,1,1,1,1,74.47859562806084
30,23,4,22,1,0,1,0,81.93326915301222
37,22,7,7,3,0,0,0,75.06907564226331
23,24,7,17,1,0,0,1,81.24613633044191
16,22,5,16,2,0,1,0,77.7883874024455
32,23,5,25,0,0,1,1,83.28057437067783
13,27,7,17,1,1,1,1,82.47802257085459
24,28,9,15,2,0,0,1,82.25510075551823
6,27,4,10,0,0,1,1,76.91797314776036
19,19,9,20,3,0,0,1,77.05858829869979
20,31,3,12,0,1,1,0,81.05558014707049
9,22,7,17,3,1,1,0,74.70488305215102
20,24,6,13,3,1,1,1,79.2997488489529
25,24,2,11,2,1,1,0,75.9778110176713
28,22,5,15,2,1,1,1,80.08227273355632
32,18,8,11,1,1,0,1,74.09379183956477
27,27,6,9,1,0,1,0,77.4470558509876
16,25,9,14,2,0,0,1,77.62632644103395
40,22,5,11,3,1,0,0,75.77612323720952
21,24,7,20,0,0,0,1,82.31225386314826
38,19,5,18,2,1,0,1,79.75806139594445
7,24,3,17,1,1,0,1,78.15312392088705
37,23,2,14,1,1,0,1,80.01746611896219
28,20,7,13,4,0,1,1,77.91873417285268
9,26,5,11,2,1,1,0,74.8562659604441
17,27,9,19,2,1,1,1,83.97696422904468
9,21,6,6,1,0,0,0,68.66039780461229
18,28,3,15,1,0,1,1,82.00808970294536
0,21,7,25,2,1,0,0,75.6593718414131
27,24,10,6,2,1,1,0,74.54792863663393
31,26,8,5,1,0,1,1,78.04823550901281
30,27,2,19,1,0,0,0,81.76145330581538
35,27,7,16,1,0,1,0,82.5677241384532
30,14,6,19,3,1,0,0,72.80969619071561
13,34,4,19,2,1,0,1,87.86338882138553
31,28,4,18,1,0,0,0,80.58817298616599
34,20,6,10,1,0,0,1,76.42432136063245
38,25,7,15,3,1,0,0,83.16988732714464
26,30,6,13,2,1,1,1,84.43495615475074
15,31,3,15,1,1,1,1,82.16969004307465
