age,education_years,previous_month_income,unemployment_status,gender,rural_residence,ubi_recipient,current_month_income
44,9,11,1,1,0,0,52.86636193872823
37,17,9,1,1,0,0,41.18061185633624
18,21,11,1,0,0,0,24.88897156720502
24,11,8,0,1,0,1,48.65498536865334
44,23,11,0,0,1,0,38.88774007875715
30,23,10,0,1,0,0,29.935321957155907
17,24,4,0,0,1,1,32.43284766854058
25,27,12,0,0,0,1,29.982082898319607
32,25,8,1,0,1,0,31.24310406828768
24,18,10,1,0,1,0,33.253080660595074
37,14,7,0,0,0,1,54.33533747402682
29,19,4,1,0,1,1,47.07028627876311
32,18,10,0,1,1,1,44.56941621630348
17,25,12,0,1,0,1,24.99349877991779
33,26,9,1,1,1,0,28.842043658959174
23,23,11,1,0,0,1,32.67857885654854
42,23,5,0,1,0,1,47.407869008427774
33,16,7,1,0,1,1,49.40615302528123
44,10,8,0,1,0,0,54.98064423855101
24,8,5,1,1,1,0,45.53199578472504
19,23,13,0,1,0,1,27.44143011168055
38,15,10,0,0,0,1,52.51951007193279
26,18,9,1,0,0,0,37.02916351971056
15,16,7,0,1,0,1,37.93098263264736
28,13,14,1,1,1,0,36.66177657082495
33,26,8,0,1,0,1,33.76745755194659
42,18,7,1,1,1,0,45.21842188418259
38,22,12,1,1,1,0,36.60315049748173
11,21,5,1,1,0,1,30.97808027922521
26,11,9,1,1,0,0,43.8419442936652
18,15,8,0,1,1,0,33.11283267662628
26,23,9,1,1,0,0,27.677012148637047
24,24,7,1,1,0,1,34.832902802516706
39,30,10,1,1,1,0,25.182475894098456
28,23,9,1,0,0,1,36.24120277573787
29,15,9,1,1,0,1,47.15601542555197
24,21,10,0,0,0,1,36.27592861851711
9,7,6,1,1,1,1,46.76174433903103
28,9,11,0,1,0,0,46.956583059640856
25,18,8,0,0,0,1,42.34511689589839
19,20,11,1,1,0,0,25.528951974891463
29,21,10,0,0,0,0,33.37157031735653
31,22,7,0,1,0,1,40.70794900210969
32,21,12,1,0,1,0,32.05323467638754
32,21,11,1,1,0,1,40.74114772294279
4,17,13,0,1,0,1,25.58313615291393
52,25,11,1,1,0,1,47.77525880386904
17,20,10,1,0,1,1,34.23499702314649
10,22,10,0,1,1,0,17.474229864124997
21,16,9,1,0,1,1,41.69414197209933
48,30,8,1,0,0,1,41.6202254988393
23,22,16,0,0,1,1,30.50888494900914
39,17,13,0,1,1,0,39.53481266890229
41,34,11,1,0,1,0,24.32491113719807
26,24,6,1,1,1,1,34.53149487942042
25,23,16,0,1,0,0,23.270665673725475
15,15,11,0,1,0,1,34.7201726227531
30,28,13,0,1,1,1,27.98746662340646
26,20,10,1,1,1,1,37.73901640437616
29,14,12,1,1,0,1,44.85745433232064
25,27,6,0,1,1,1,30.601779820008616
20,12,7,1,1,1,1,43.7558938080652
36,21,17,0,1,0,0,30.368368251071143
15,19,6,1,0,0,0,28.36309998392409
39,17,9,0,1,0,0,41.71509671251207
20,16,7,1,1,0,1,43.88716984049861
42,16,12,0,0,1,0,44.71139369963166
29,25,11,0,0,1,0,27.017476511167068
18,20,9,1,1,1,1,35.78632206059011
41,21,7,0,1,0,1,48.578958780943125
33,24,7,0,1,1,1,39.51281280957421
22,29,12,1,1,1,0,15.947630564101908
25,27,14,0,1,0,1,27.632099054106803
25,13,11,0,0,1,0,38.46881958363071
37,24,10,0,0,1,0,34.98550120011474
31,25,12,1,0,1,0,25.986926322028133
29,21,11,0,0,1,1,37.12556380484395
26,24,11,0,1,1,1,33.32444893996698
36,19,14,0,0,1,0,38.30327718686602
37,18,11,1,1,1,0,38.7920434931704
27,16,-1,1,1,0,1,52.74345065751925
18,18,10,0,1,0,1,35.45182146339132
22,18,9,0,1,0,1,37.25028624373295
40,18,11,1,0,1,0,41.2004426100052
23,17,5,1,0,1,1,44.03493336134091
37,12,10,1,1,0,0,47.72115154062025
27,23,7,0,0,1,1,37.73355046724412
20,14,13,1,1,0,1,40.33747177267293
21,23,10,1,1,1,0,25.481927712702397
30,19,13,0,0,0,1,39.65789571445383
32,15,12,0,0,0,0,40.45936528702797
33,9,10,0,0,0,1,56.31902283774792
34,29,9,0,0,0,0,26.815618687513524
43,27,11,0,1,1,0,33.12343058474945
36,19,11,0,0,1,0,37.4403821785382
23,24,7,1,0,1,1,32.62138694106397
33,13,7,1,1,1,0,45.31118130184264
33,23,2,1,0,1,1,46.416307198933424
38,10,10,1,0,1,0,50.89856121306086
25,0,4,0,1,0,0,58.68062004931019
38,18,11,1,0,0,0,40.82919927995511
21,20,10,0,1,0,1,35.022586438123696
22,22,11,0,0,0,1,32.21712916443429
28,15,11,0,0,0,0,39.96714615655774
35,17,9,1,0,0,0,44.70650472457116
21,27,14,1,1,1,1,22.66455128178793
23,26,11,1,0,0,1,28.09261683709117
33,17,12,0,1,0,1,45.14517154071039
30,15,11,0,1,1,0,38.88358625218376
21,13,12,0,0,1,1,43.83317002065375
23,17,10,0,0,1,0,34.19811469163595
26,28,11,1,0,1,1,28.6045497667337
30,23,7,1,0,1,0,32.903870574136334
24,17,13,1,1,1,0,31.125751130359536
26,19,14,0,1,0,1,35.309531174227466
25,26,9,1,0,1,1,33.60904151934229
34,8,14,1,0,1,0,50.11694734110784
25,29,7,1,0,1,1,28.90858986127577
27,19,12,1,0,0,1,37.21862064266482
22,14,7,0,0,1,0,38.85342784797479
24,19,3,0,0,1,1,45.99189406992954
34,10,10,1,0,0,0,49.184196286006895
30,11,11,1,0,0,0,43.89075138563297
25,13,7,1,0,0,0,42.95641991430008
21,16,9,0,0,1,1,42.27455376548692
49,23,6,1,1,0,0,44.47460550539308
33,21,7,1,0,1,1,43.07856489606249
34,25,4,1,0,0,1,40.4005732089912
22,14,14,0,0,1,1,40.06609991813001
31,19,7,0,0,0,0,39.55438639858918
25,29,12,0,1,0,1,24.58994403147137
32,25,9,0,0,0,1,39.35808073975739
32,21,6,1,0,1,0,35.91853770374686
39,26,9,1,1,0,0,30.410610086170543
22,27,9,1,0,1,0,21.580225252567487
30,14,11,1,1,0,1,47.36397775069672
34,21,13,0,1,0,0,31.997830686404004
29,27,11,1,1,1,0,24.0348607347644
28,8,10,0,1,1,1,54.61734828343426
8,36,8,0,1,0,1,7.203997379018002
38,21,15,0,0,1,0,34.52846095660051
38,17,9,0,1,0,1,50.38285729342357
15,13,13,1,0,0,1,38.87788109687117
26,19,10,0,1,0,1,38.697762077883496
30,11,7,0,0,1,1,53.70176523930009
21,18,8,1,0,0,1,39.526157024575184
35,19,7,1,0,1,0,40.66955610902637
14,21,19,0,1,0,0,13.780436275239913
30,26,9,0,0,1,0,25.261507505697026
36,20,13,0,0,0,1,43.601438019067245
19,26,11,0,1,0,1,26.430858761489684
23,19,10,1,1,0,1,37.662679280951245
35,27,13,1,0,1,1,33.68470926440789
31,21,5,1,1,0,1,42.9750407155656
28,19,11,1,0,1,1,41.993039065344746
35,20,4,1,1,1,0,41.935839797139714
33,22,12,1,1,1,0,31.237387047307628
27,18,8,0,1,0,1,43.14071846069047
29,13,12,0,1,0,0,38.194173247013936
32,20,6,1,1,0,1,44.85137578186328
25,26,9,0,0,0,1,31.470392950594324
29,21,4,1,0,1,1,43.43618670630011
24,25,14,1,1,1,0,18.98241988894463
36,9,10,1,0,0,1,58.876542784217975
38,19,10,0,0,0,1,48.35781491105034
39,23,4,0,1,1,0,40.7930937592368
19,21,13,1,0,0,1,29.43467913327072
33,11,16,0,1,1,0,41.43457685375845
24,23,5,1,1,1,1,36.47339165916224
32,15,9,0,1,0,0,41.91010762924278
31,20,9,0,1,0,0,34.91833373480496
30,11,11,1,1,1,0,44.44040524221533
37,22,8,0,1,1,0,38.70738034911386
22,23,11,1,1,1,0,23.15631587908028
40,15,5,0,0,0,0,50.32727617344654
17,28,16,1,0,0,0,11.456928523284084
39,15,8,1,0,0,1,53.657901883183165
33,20,9,1,0,0,1,46.0648806799657
28,23,9,0,1,0,1,36.41083746440417
28,32,10,0,1,0,1,24.25646292613598
23,23,12,1,1,0,1,30.98602087217777
38,23,7,1,0,0,0,38.18505856679898
36,20,7,0,0,0,1,47.52631530697805
26,27,8,0,0,1,1,31.700510334062606
43,13,8,1,1,1,0,52.90883283107697
29,24,11,0,0,1,1,36.06778780270504
24,19,7,0,0,1,1,41.49587501770153
27,22,4,0,1,0,1,40.14190776894498
17,19,8,0,1,1,1,34.90126838959452
45,26,6,1,1,1,0,39.43812407258494
25,26,13,0,0,1,1,28.242588585239005
34,21,12,1,0,0,0,35.01726562720517
25,20,8,1,0,1,1,41.00359614591597
25,24,6,0,0,1,1,35.67181036451543
20,33,5,1,1,1,1,20.85982945681459
11,13,9,0,1,1,0,29.41982048904732
27,17,9,1,0,0,1,45.46746766487473
43,14,10,1,1,1,0,47.73053344973175
30,8,12,1,1,0,1,52.33095166913352
23,17,8,1,1,1,0,33.519684065093415
18,15,8,0,1,0,1,40.028595851729406
32,27,8,1,0,1,0,28.967799869648168
28,22,9,1,0,0,0,32.12171339371884
31,23,14,1,0,1,0,27.13148656585806
26,8,12,1,1,1,1,50.352087581969165
25,22,9,1,1,1,0,29.846791956228632
19,22,3,0,0,1,1,36.40329566510653
23,30,11,1,1,0,1,23.17892574560126
23,13,5,0,0,0,1,49.82844213378952
19,5,7,0,0,0,1,55.48997841969479
32,16,9,1,0,1,1,49.19893105178703
31,20,10,0,1,1,0,33.71533327892508
43,33,12,1,0,1,1,33.05506144589128
20,10,8,0,0,1,1,49.77083009225395
31,26,9,1,0,0,1,33.4834508115194
23,14,11,1,0,0,1,44.17397483040576
30,14,10,0,1,0,1,47.09056689024441
18,12,9,0,0,1,1,44.96678031225819
24,20,11,0,1,0,1,35.83644593870952
31,19,10,0,1,0,0,34.74004063607647
35,14,10,1,1,1,0,41.78097568228956
29,14,11,1,1,1,0,38.97661593932571
28,10,10,1,1,1,0,43.742857901607934
20,25,10,1,1,0,1,29.77379763854229
17,23,5,0,1,1,1,32.98784013141772
50,25,5,0,1,0,1,51.87063354656983
36,19,10,1,1,0,0,38.50613914707659
37,17,10,0,1,0,0,41.46750363707766
21,8,13,0,1,0,1,49.07587463884747
22,22,5,0,0,1,1,37.65481356796649
26,26,10,1,1,1,1,29.27025768794172
49,13,12,0,1,1,0,53.06947235156265
27,12,9,0,0,1,1,50.37484116244008
14,16,15,0,0,1,0,25.573331230452748
31,21,11,0,1,1,0,32.90028901463774
26,33,15,0,1,1,1,17.379664294107172
43,24,11,1,1,0,0,35.83474606889452
19,32,12,0,1,0,1,17.551071764513434
26,18,8,0,0,1,0,35.75230857731716
31,8,12,1,1,0,1,54.58400600996972
7,19,9,1,0,0,1,29.8641596786236
22,19,10,0,0,1,0,31.059154745443564
26,20,10,0,1,1,1,38.23705130314319
15,24,9,1,0,0,0,21.779797626175107
24,7,13,1,1,1,0,42.20817959745936
37,22,9,1,0,1,0,37.84333048293124
19,23,12,0,1,0,1,29.032113328451008
31,19,6,0,0,0,0,40.59950945897655
31,22,6,1,1,0,1,41.09341447888249
40,12,12,0,1,1,0,48.4331941063059
42,18,5,0,0,0,0,48.00039435509099
40,23,8,0,0,0,1,46.9843556371632
29,16,10,0,1,0,0,37.63052845447636
21,16,12,0,0,0,0,32.510803956057735
21,20,11,0,1,1,1,33.09740647796904
27,12,7,1,1,0,0,43.64651823526415
37,14,10,0,1,1,0,46.56173307746271
23,20,3,1,1,1,0,35.3859216711982
18,25,8,0,1,1,0,22.54718766263428
39,19,3,0,1,0,0,45.82539775988998
23,15,14,0,0,0,1,39.84238162785845
28,17,7,0,1,0,1,46.613670299712645
31,15,11,0,0,0,1,46.83577511902222
21,33,12,1,1,0,1,19.32852492513229
41,13,8,1,0,1,0,54.25474199894062
28,17,10,0,1,1,1,44.69021030069714
23,26,9,1,1,0,1,30.145966849538123
13,23,8,1,0,0,1,28.027564323711445
30,25,15,1,0,0,1,30.11034398961923
28,22,10,1,1,0,1,34.908820861643925
27,38,11,1,1,1,1,14.37185280031868
32,22,9,1,0,0,1,38.12940548953364
30,17,11,1,1,0,1,42.2972401483698
8,10,11,0,0,1,1,41.07592418664581
39,22,9,0,1,0,0,38.68628411894336
30,21,9,1,1,1,0,32.02462953575456
37,26,4,1,0,0,1,43.6184198813438
29,18,11,0,1,1,0,34.08035118404462
28,19,5,0,0,1,0,37.237537458731325
27,24,10,0,0,1,0,28.863532344852334
38,14,8,0,0,1,1,55.91371786767613
23,30,11,0,0,0,0,15.182105071487792
26,15,8,1,1,1,0,37.13377364025008
28,23,13,1,0,0,0,27.27923329671201
38,25,8,0,1,1,1,39.41482479055413
31,18,7,1,1,1,0,40.92275736509429
13,19,13,0,1,1,1,29.061969878724227
23,29,11,1,0,1,0,16.453331427478727
34,15,8,0,0,1,1,52.6268751275152
33,21,11,0,0,0,1,42.428657638630376
30,11,13,1,0,0,1,50.06456928308964
32,29,6,1,1,1,0,26.394090148194028
38,16,11,0,1,0,1,49.42971434438664
39,24,10,1,0,1,0,34.93776792252264
19,17,10,0,1,1,0,28.871240184527323
30,12,9,0,1,0,0,45.05696898656328
23,16,5,0,1,0,0,38.838950910530095
25,30,8,1,1,0,0,20.10445333130132
20,22,13,1,0,0,1,30.53002007919113
33,15,8,0,0,1,0,44.086435380118935
24,24,7,1,0,1,0,28.05520448678092
32,25,14,1,1,0,0,25.012670817549147
38,26,10,0,0,0,0,32.68046533772893
18,25,8,1,0,0,0,21.76177382558333
25,21,16,1,0,1,0,24.106353795811
40,15,11,1,1,1,0,42.69247250027945
30,24,10,1,1,1,0,28.417857961606277
37,21,12,0,0,1,0,38.29366922800112
40,20,6,1,0,1,0,44.01778847525806
35,15,8,0,0,0,1,52.41346612472737
24,12,12,1,0,1,1,45.565106437534055
13,16,11,1,0,1,1,34.72285050183383
40,23,10,0,0,1,0,38.19129161182869
28,8,9,0,1,1,0,48.80241865804207
28,22,9,0,0,0,1,38.33092634892228
30,21,9,1,1,1,1,40.469771795553
24,24,7,1,1,0,1,34.8144454435611
30,20,9,0,1,1,1,40.03770249998804
35,16,9,0,1,1,0,42.60731443542441
24,15,14,0,1,1,0,32.401041976735925
19,25,12,1,0,0,0,21.18083885598284
23,20,10,1,1,0,0,27.670170663599794
27,18,13,1,0,1,1,39.566909853346935
37,15,15,0,1,0,1,46.1077529238011
31,23,6,1,1,1,1,40.36266803446132
33,26,9,1,1,1,1,35.66825039190863
18,31,7,1,1,1,0,13.863175120307345
28,23,6,0,0,0,0,30.772688684661244
28,19,12,1,0,0,0,31.542966358536702
31,20,10,1,1,0,0,35.969888952007736
47,20,8,1,1,1,1,53.784144509217086
45,10,12,1,0,1,0,54.66813730088069
23,25,4,0,0,1,1,36.62791709087964
26,23,8,0,0,1,0,31.28206072281445
25,18,6,0,0,0,0,37.53780846327611
23,28,11,0,1,1,0,17.891701060794865
24,29,10,1,1,1,0,18.518390042818044
22,30,10,0,0,0,1,22.701029282597315
45,11,11,0,0,1,0,55.60646015755107
22,27,14,1,0,1,0,18.31245443738326
37,18,9,0,1,0,0,40.33554107600543
16,28,11,0,1,0,0,13.5132346337036
27,26,10,0,0,1,1,33.75676130099166
22,14,14,0,1,0,0,33.08460582116282
33,22,11,1,0,0,0,31.90389684256764
28,24,6,1,1,1,1,36.72955745970697
30,26,9,0,0,1,0,27.821134448390044
33,22,7,1,0,1,1,42.887833092061626
41,31,16,1,1,1,0,21.83134897346524
36,13,8,0,0,0,0,48.99606378677858
41,16,11,1,0,1,0,45.14540354083245
21,10,10,0,1,1,0,40.21259027087889
26,13,5,1,0,0,1,52.72481669340044
28,8,4,1,1,0,1,56.36605623609992
41,15,8,0,0,0,1,56.50336739184007
27,22,8,0,0,0,1,38.82809248517484
31,20,8,0,0,1,1,44.53403264295534
33,29,9,0,0,1,1,31.964757846734557
28,6,7,0,1,0,0,53.2952918054403
38,18,9,1,1,0,0,40.65468983927824
30,16,7,0,1,1,0,41.3584103530461
27,35,8,0,1,0,1,20.77874246194967
32,16,9,0,0,1,1,49.38938318304177
25,15,10,0,1,0,0,36.21854308389789
35,22,17,1,1,1,1,36.17131520806049
16,17,9,1,0,0,1,38.38912359568606
25,29,10,1,1,0,1,26.42435384657514
33,18,4,0,0,1,1,50.73158962311541
