student_age,parents_education_years,classroom_size,school_funding_status,tutoring_access,online_program_participation,final_grade
4,29,6,0,1,0,62.38809445906494
26,14,3,1,1,0,58.08552082156773
29,19,5,1,1,1,68.3756692418927
43,18,4,1,1,1,66.11667342809562
36,21,5,1,1,0,60.878459725841374
31,20,4,0,0,1,66.5378892809805
9,22,7,0,1,1,68.25968661433194
14,24,7,1,1,0,62.19586752612287
18,22,1,0,1,1,66.72819017519745
27,22,5,1,1,0,61.55606258581565
31,23,2,1,1,0,58.565911418724326
39,20,7,1,1,0,62.846188414269605
21,26,5,1,1,1,68.36454686943743
23,27,8,1,1,0,65.26531592190453
36,21,7,1,0,1,69.32055565948032
17,15,6,0,0,1,66.70191201490891
40,17,3,0,1,0,58.86023419835718
21,24,3,1,1,0,60.26124741728151
22,27,5,0,0,1,70.2722097997241
11,23,4,0,1,1,68.34594768668204
14,23,7,1,0,0,61.098168620023024
11,23,6,1,1,1,71.50195401572606
37,26,6,1,1,0,65.09687860661609
35,28,10,1,0,0,65.12033587319256
32,20,3,1,1,0,59.62432609421732
24,27,7,0,0,0,62.1398116688986
36,23,9,1,0,1,71.72078475740577
12,28,7,1,0,1,71.55054872798951
22,23,7,1,1,1,68.26973873386542
17,22,8,1,0,0,59.75387857392764
28,20,6,1,0,0,59.913023850455545
12,28,3,1,0,1,67.76511290444343
17,25,7,0,1,0,62.47611750497583
22,22,5,1,1,1,67.73028206068213
30,26,7,0,1,0,63.49691833045311
31,20,5,1,0,1,67.38185126528477
25,23,5,1,0,1,68.56130513734084
17,24,5,1,0,1,69.6002703890639
25,26,12,1,0,0,65.47179594234196
31,20,5,1,1,0,61.09550962083129
9,25,6,0,1,0,60.18044421475457
41,27,10,1,0,0,63.81710021719565
25,30,5,1,0,0,62.11269484936673
22,17,7,0,0,0,61.5700822634189
55,24,7,0,1,0,62.36309544568884
25,24,5,1,1,1,68.86102395596113
16,27,7,0,1,0,65.28021155836112
7,24,6,1,0,1,68.61021992469706
39,26,2,1,0,1,65.67502361545186
31,26,8,0,0,0,64.03790537875288
30,24,7,0,0,1,68.55720114569229
19,26,6,0,0,1,68.68034754089739
36,19,10,0,1,1,72.87170400888994
24,19,7,1,0,1,71.15277913875754
28,22,6,0,0,0,62.14576063103616
30,23,6,1,0,1,68.42003237508929
23,26,9,1,1,0,64.52255505667542
26,17,7,1,1,1,69.90686775691532
16,21,6,0,1,1,68.00695741060578
30,31,5,1,0,0,62.22441478349257
37,20,8,1,1,0,62.82790429296096
21,26,6,1,1,1,70.14916911139751
32,18,6,0,0,1,66.88256971604368
29,29,7,1,1,0,62.94523277876842
28,23,4,1,0,0,60.25804990778213
10,21,6,1,1,1,67.68067109030977
35,22,4,0,1,1,66.80313612943354
26,22,8,1,0,0,60.72890332710583
9,21,6,1,0,1,68.9561872610895
40,30,8,0,1,1,70.81924230751211
21,28,9,0,1,1,72.05311484753683
20,24,6,0,1,0,60.32231689128225
10,20,7,1,1,0,62.01019899161689
13,28,12,0,1,0,66.84897305308948
30,21,2,1,1,1,67.18467273548987
26,26,2,1,1,0,59.50630407886887
26,26,4,0,1,1,68.96401716897034
20,27,6,1,1,1,68.51962055655298
27,20,6,0,1,0,60.206486724017175
29,20,5,1,0,1,68.95547733817456
27,27,8,1,0,1,71.13577244804586
12,20,5,0,0,1,68.82826649022944
28,26,4,0,0,1,67.2421526125434
35,22,1,1,0,1,64.98220871310095
33,15,3,1,1,1,65.68958456896571
24,35,4,0,0,0,62.39315026016242
12,31,8,1,1,0,65.79069338824225
18,23,7,0,1,0,60.96688963712537
26,27,10,1,1,0,65.45900049694083
34,21,6,0,1,0,61.43661707261755
29,18,7,0,1,0,61.00422068251294
13,25,5,1,1,0,62.26659241096922
33,23,6,0,1,0,62.51730330887751
11,21,0,1,0,0,56.3539212925849
32,30,9,0,1,0,64.72274019387604
30,27,6,1,1,0,62.986900931573096
28,26,6,0,1,1,68.77401761341733
25,26,5,0,0,0,62.795879607446565
43,22,3,1,1,0,59.41944386076632
21,23,6,1,1,1,69.69470572217348
21,19,7,0,1,1,70.11452769065504
32,22,4,1,1,1,66.41673889854151
15,26,4,0,0,1,66.9332059586269
16,21,3,0,1,1,66.89863086787946
14,23,7,0,0,1,69.1446943757322
12,21,3,1,1,0,60.29208409652723
38,19,6,0,1,0,60.254393174139096
11,24,3,0,1,0,61.367216343802745
26,24,8,0,0,1,70.83821221956312
31,27,8,1,0,0,62.43044322151862
32,33,7,1,1,0,64.49852730817662
54,25,4,0,1,1,66.57122715122682
23,16,5,0,0,1,66.039726728028
21,29,7,0,0,0,61.18856668435495
39,22,7,1,1,1,68.5701972927617
23,20,7,0,1,1,67.82846958905007
30,33,7,1,1,1,72.00596021820348
21,28,5,0,1,1,69.2033927807218
42,29,6,0,1,1,70.1042664376424
27,21,4,0,1,0,59.30133083342
30,23,4,1,1,1,67.06619864296421
28,28,7,0,0,1,68.90797653682648
28,25,7,0,1,0,63.72012469530783
20,23,4,1,0,1,66.67930837428152
20,23,6,0,1,0,61.6118867505013
32,17,0,1,0,0,55.494420378404335
30,28,12,0,0,1,72.46782431659987
17,28,5,0,1,0,61.53526160764471
34,19,8,0,1,0,63.8863471994845
25,22,5,1,1,1,68.16030045798347
37,23,2,1,1,0,58.946709567667526
31,27,10,0,1,0,64.95028292815792
17,23,7,1,1,0,64.025214970094
37,26,10,1,1,1,73.18910317028043
28,21,2,1,0,0,58.66836681045461
27,21,1,0,1,0,58.0502732703216
4,24,7,0,0,1,70.05495028898717
30,27,0,1,1,1,65.97943321728829
30,27,5,0,1,1,66.74243136924159
13,18,8,0,1,1,70.37252772558735
17,19,7,1,1,1,69.21293894625414
23,22,6,0,1,1,68.24809462053459
33,24,5,1,1,1,67.36950989455919
9,18,8,1,0,1,68.38870063196781
31,19,9,0,0,0,62.07102112634657
24,17,0,1,0,1,62.80539237483393
32,26,3,1,1,1,68.1508045237605
37,24,5,0,1,0,60.58423175359837
43,22,6,0,0,1,68.62705005849453
38,22,4,0,0,0,60.86669090146361
30,19,5,0,1,0,58.65883323283702
23,27,5,0,1,0,60.27557645490335
34,32,0,1,1,1,67.79119127583056
18,25,0,1,0,0,58.27733666057705
34,26,6,1,0,0,61.65428159385141
39,25,4,1,0,1,68.47126499270446
40,26,2,1,1,1,67.79397328139032
24,24,5,1,0,0,61.41964056892938
24,22,4,1,1,0,59.44734829906401
44,27,3,0,0,0,60.15043003039733
11,21,3,0,1,0,57.407419529930095
29,17,3,1,0,0,59.83131864362509
26,27,5,1,1,0,61.286024684513336
33,24,5,0,1,0,59.79104632750895
19,21,3,0,0,1,66.74642304449613
17,30,6,1,1,1,70.22778409130406
32,12,5,1,1,1,65.47396338823
15,21,10,1,1,0,63.79114038050059
14,21,9,1,1,1,71.66425170942135
10,24,2,0,1,0,60.35992982222055
11,23,8,1,1,0,62.786058693856646
19,23,4,1,1,0,62.09591614428798
21,24,8,1,0,1,71.1619425340975
34,33,8,0,0,1,73.48907160588537
43,29,3,1,0,1,68.09472088930202
33,24,4,1,0,1,67.30274521932259
21,23,4,0,0,0,59.334132852157694
32,17,8,0,0,0,60.14379637271973
24,27,4,1,0,1,68.61118320584036
37,22,6,1,0,0,62.41867653823941
16,23,4,0,0,0,58.589521899348185
21,29,8,0,1,0,64.71885969681604
2,20,6,1,1,0,61.85965390035486
16,24,8,0,1,0,63.25927808146996
-3,24,8,0,1,0,62.718883474695225
31,26,7,0,1,1,70.6894937589191
19,15,8,0,0,1,69.05292692418406
45,30,6,1,1,1,70.77726100012838
33,20,3,1,1,0,59.66227263647132
34,24,1,1,1,0,58.21801483276385
22,30,9,1,0,0,64.84613827808064
23,26,4,0,1,0,59.92648976952536
14,28,5,1,1,0,61.23534509941954
25,25,5,0,1,1,69.73671288604977
15,21,5,1,1,0,59.844431549769936
22,19,5,1,1,0,60.29531992701582
21,24,4,1,1,0,60.54705467637255
9,23,10,0,1,1,71.34213457921719
25,27,8,0,0,1,70.90021685036793
16,23,2,1,1,1,66.45878026721428
20,21,4,1,0,0,60.17171016645348
-1,22,2,1,1,0,59.69175719394482
29,26,7,1,1,0,64.67580758925696
26,22,10,1,1,1,71.72349447135643
24,20,5,1,1,0,61.08258777615963
29,21,8,1,0,1,70.61316901220694
27,20,4,1,0,0,60.423023681695696
19,22,3,1,0,0,58.59576038466061
29,13,7,1,0,1,66.7665071864185
36,24,7,1,0,1,69.3750917425948
4,32,8,1,0,1,71.41688295664248
28,20,9,1,0,0,64.30415700814173
20,27,4,1,1,1,69.33519301026874
14,21,5,1,0,1,67.94778543880612
26,26,7,0,1,1,70.03236573365082
26,20,5,1,0,0,59.41725576216784
23,26,4,1,0,0,60.070729592923485
34,24,8,1,1,0,63.650605763977794
19,29,2,1,0,1,67.53725917156021
22,23,3,1,1,0,59.30469608777975
31,22,5,0,1,0,59.51400370135355
10,25,5,0,0,0,60.70355577811792
38,25,5,1,0,0,63.55166632339308
24,24,5,1,1,0,62.12015580579504
27,18,6,1,1,0,60.18296865231613
39,23,5,0,1,0,59.26492459242262
20,17,9,0,0,0,59.583579565716974
34,17,3,1,0,0,58.94069887771675
4,24,5,1,0,1,70.29678871609727
9,21,7,0,0,0,61.80529721303356
30,23,6,1,1,1,70.18571865271373
27,16,6,1,0,1,66.82815038205167
23,26,0,0,0,1,66.27207045010637
30,19,9,0,1,0,61.66767341958271
17,31,8,1,0,1,70.77592138112394
14,26,3,0,0,1,68.20350970701473
23,15,6,1,1,1,68.25930847399081
51,24,7,1,1,1,71.10169719566112
34,24,2,1,1,1,65.06252091472415
21,27,1,1,0,0,58.232010610988354
19,24,8,1,1,1,69.96213013827632
35,25,6,1,0,1,70.77352133683519
35,25,4,0,1,0,60.43043174902237
33,25,6,0,1,0,60.52233456437166
17,25,2,1,1,1,68.44165666736605
32,26,6,1,1,1,71.13279389389363
21,27,5,1,1,1,67.70264997763628
12,16,10,1,1,1,70.28325922541434
22,20,3,0,1,0,56.85504675731151
21,32,5,1,1,1,72.2796645557439
30,15,7,0,0,0,59.11058097264442
5,29,10,1,1,1,74.72507319758492
30,21,5,1,0,0,58.01939708628272
16,28,6,1,1,0,62.29697749590324
26,25,7,0,1,0,61.2449275852946
30,16,9,1,1,1,71.21226686432969
38,23,3,1,1,1,66.72183858437401
23,26,6,0,0,1,67.90705621691937
41,16,5,1,1,0,59.57303308991234
27,21,8,1,1,1,69.49106208169637
26,25,4,1,1,1,69.43705017730994
26,25,5,0,0,1,68.34053732316647
21,34,4,0,0,0,61.46221429325623
14,31,6,1,1,0,62.380926604142495
33,26,6,0,0,1,68.57029503496095
31,29,5,1,0,0,61.69706647932352
29,21,7,0,1,1,68.77330585743802
12,23,9,0,1,0,65.18271066690615
18,28,3,1,1,1,67.62721210139169
31,20,3,1,1,0,60.19242460969643
39,28,7,0,0,1,70.41886994898717
13,25,5,0,1,0,60.749348107266094
32,25,8,0,1,1,71.46746237425205
23,30,8,1,1,0,63.86697501412615
40,25,7,1,1,1,71.26115338847715
22,25,6,1,0,1,70.24519715221923
26,25,2,0,1,0,59.0266021316525
14,25,4,1,0,1,68.7194388300649
48,21,3,1,1,1,65.87762378239867
23,16,5,0,0,1,65.83764834279901
8,19,7,0,1,0,60.1187577480958
32,17,7,1,1,1,68.27480675175019
31,24,5,0,1,1,68.17285039147471
45,22,4,1,1,0,60.04114632426788
18,23,4,0,0,0,57.63005286405788
28,30,8,0,1,1,71.85203041985616
17,24,3,1,1,0,59.96069037347772
21,28,6,1,0,1,69.40872351744909
31,26,7,1,0,1,68.43073778867898
41,11,4,1,1,0,59.87821183784388
26,27,4,0,1,0,59.23729682571663
31,13,7,0,1,1,67.20090158669728
26,22,7,0,1,1,67.11117828021946
10,22,0,0,1,0,57.03650892601894
26,22,8,1,1,0,62.594559588270855
12,20,8,0,1,0,62.13161237761593
23,21,3,1,1,1,66.38987416321511
27,25,5,0,1,1,67.98414529485963
24,25,1,1,0,1,64.27355282818814
29,28,7,0,1,0,63.36856629043222
27,26,6,1,1,0,62.694478454985095
5,29,4,1,1,0,61.71142824496221
21,22,9,1,1,0,61.98588411597972
19,25,7,1,1,1,70.44785895043647
