years_of_experience,hours_per_week,part_time,job_training,minimum_wage_increase,monthly_income
39,11,1,0,0,61.46297207093377
8,25,1,0,1,51.55691783124709
16,23,0,1,1,56.0804723824222
42,24,1,1,0,62.36973568826839
25,22,1,1,1,57.89224075290877
31,24,0,1,1,59.17652230637386
19,16,0,0,0,52.48680090160981
9,15,1,1,1,53.7881792122352
43,20,0,0,0,61.03855081533349
34,13,1,0,0,56.78874931047817
36,27,1,1,0,58.88884380429951
36,18,0,0,1,63.03444261986271
27,21,0,0,0,55.33742448920914
26,18,1,1,1,58.80883780703306
34,17,1,1,1,63.38801504295169
32,22,0,0,0,57.211197572459525
24,16,1,0,0,54.952275646564736
25,17,0,1,0,57.78307202514875
29,22,0,1,0,58.05361643862265
34,15,1,1,0,59.22179974466548
13,27,0,0,1,50.67311846491183
37,22,1,1,1,62.25751455584235
28,13,0,0,0,58.41578381254607
29,21,1,0,0,55.30837261646632
28,21,1,0,1,59.58988329659935
33,13,1,1,0,60.82416198247195
22,22,1,0,1,56.26220708383031
27,26,1,1,1,60.108712326234624
32,13,0,0,0,58.14621382449078
35,20,0,1,1,64.81143233708536
23,14,0,0,1,58.32074012142061
21,29,0,0,0,52.419046579583735
36,21,1,1,1,63.93588892141366
32,19,0,0,0,56.840547655094745
23,27,1,0,1,56.45739988196365
23,15,0,1,0,54.49545428354782
21,20,1,1,1,58.346633331438746
34,18,0,0,0,59.43811371393122
24,24,1,0,1,57.88120297976516
36,24,1,1,1,61.20857827188793
32,5,1,0,0,61.034050928791984
29,19,0,1,1,61.980381686145336
24,18,0,1,1,60.28739038616123
15,6,0,0,0,53.33404397333824
29,22,1,0,1,57.99145226158851
31,13,0,1,1,62.05314069276319
27,17,0,1,0,58.03216077441694
35,19,0,1,0,59.76399557622916
29,23,1,0,1,58.89790872512973
21,27,1,1,1,57.826329595856585
32,26,0,1,1,60.77335335696092
29,23,0,0,0,58.582635369346335
33,12,0,1,1,65.68170863789568
28,21,1,0,0,54.98401045795985
14,14,0,0,1,55.70552588396347
40,20,0,1,0,61.7189307526439
33,14,1,0,1,61.40092027448232
42,16,1,0,1,64.49722607046034
36,15,0,0,0,59.06422308633738
32,24,1,0,0,53.77307899060064
42,16,0,0,0,63.38106311528544
52,8,0,1,0,69.86357084521066
13,15,0,1,0,52.63611186253787
34,12,0,0,0,58.46671946668362
30,14,0,0,0,56.64010088291674
40,9,0,0,0,62.80351951504839
32,13,0,0,0,59.03472358436157
33,15,1,1,1,64.17440622733497
19,21,1,0,1,55.23244155324637
28,12,1,0,1,61.80193381546799
39,31,1,0,1,59.18441542605346
32,16,0,0,0,56.509660866512334
30,22,1,0,1,61.49504923481545
32,23,0,0,1,60.62931238156351
26,19,1,1,1,59.31098206916153
23,19,0,1,1,60.37867246343375
23,16,1,1,0,55.14507932381565
38,17,1,0,1,64.52699419694925
23,26,0,0,0,53.83603264919608
35,20,0,0,0,61.02847261024471
23,13,1,0,0,55.97193748753459
25,17,0,0,0,56.356605307442685
19,24,1,0,1,55.424593139669376
37,17,0,0,0,60.26310959431919
39,28,1,0,1,61.29455680827587
17,20,1,0,0,50.11959239382545
20,12,0,0,1,58.935839328909935
28,20,0,1,0,55.24870966088564
24,24,0,0,0,52.90839980523805
47,15,1,1,1,67.71543080079071
22,11,1,0,1,59.17841018345729
38,14,0,0,0,61.20051122709765
31,26,0,0,1,57.74980520958586
46,14,0,0,0,62.25822121183143
24,13,0,0,0,55.17521019387041
25,22,0,1,1,58.679051931771646
33,29,0,0,0,54.13540476334416
29,13,0,0,0,59.47893435256376
30,16,0,0,0,58.48844772387784
35,22,0,1,0,58.08404642523215
41,25,1,1,1,63.0985630126806
36,16,1,0,0,59.93247122072784
22,24,1,0,1,56.12743360977242
45,26,1,0,1,65.2400801190129
23,22,1,1,1,59.09916060716528
40,29,0,1,0,57.32855747530804
27,26,1,1,1,56.941005100852735
33,31,0,0,1,58.99237511874218
27,18,1,0,1,59.14503201156421
27,19,0,0,0,56.422865014425305
29,17,0,1,0,58.85111443212936
37,15,0,1,1,64.37112484538955
30,18,1,1,1,61.547157928475166
33,9,1,0,0,60.59731271311794
26,26,1,0,1,57.065405232022
44,23,1,1,1,65.54112459327735
34,16,0,1,1,63.03426043252983
29,22,1,1,1,60.73566718427508
25,14,1,0,0,56.83132258793049
33,25,0,0,1,59.71295222108592
19,27,0,0,1,54.94891556837049
23,23,0,0,1,57.49407371505651
34,14,0,0,1,61.282598675521854
29,18,1,0,1,59.977395177144594
30,12,1,0,0,56.931038919473366
28,22,1,0,0,54.42491428282637
39,22,0,1,1,63.96187296556192
24,20,1,1,0,56.39822849605105
15,25,0,0,1,54.5251165857884
24,14,0,0,0,54.904361297856525
34,27,0,1,0,59.25778806852056
39,21,1,0,0,57.86991793061153
22,14,0,1,1,59.33206972679696
40,26,0,1,1,64.11585976643504
24,24,1,0,1,58.32165935941565
30,24,0,0,0,55.646665477900285
33,5,0,1,0,61.55432378129564
25,21,0,1,1,59.531611376144745
31,10,1,0,1,61.68998440264062
19,24,1,0,1,55.40411380062431
30,34,1,1,1,56.83468583384156
40,15,0,0,0,61.11091877201359
29,25,1,1,1,60.36379618216159
42,24,0,1,1,65.67364031236858
19,27,0,1,1,58.28643827691899
49,12,0,1,0,67.22649030710464
21,26,0,0,1,56.07040631287012
18,19,0,0,1,57.37342321655742
41,21,0,1,0,61.66612674309978
11,13,0,1,0,52.41648694111031
28,18,1,1,1,59.93947928000508
34,14,1,1,0,59.61339750750068
34,22,1,0,0,57.47591830727088
18,14,0,0,0,52.816912350653375
22,23,1,0,1,56.0041835990311
26,19,0,0,0,55.076800701792685
19,18,0,0,1,56.43628351367616
31,20,0,1,0,58.795843121963216
40,23,0,0,0,62.263945715566166
24,17,0,0,0,54.61344873520533
30,10,1,0,0,57.02942346133561
35,33,0,1,1,61.230438411393365
27,14,1,0,0,57.49024221276361
37,20,1,1,1,64.49193044374789
44,18,1,1,1,66.86315760888928
33,9,0,0,0,59.93405477656849
35,26,0,0,0,58.44257623102662
10,15,1,0,0,48.11735164114477
35,26,0,0,0,57.28229821420816
37,20,0,0,0,60.60839163687847
37,19,0,0,1,62.81262921404648
30,21,0,0,1,61.33874251947
41,14,0,0,0,62.00426362140673
17,25,0,0,1,54.86048663999708
18,27,0,0,1,54.157569764640016
17,18,0,1,0,52.78915491972732
27,17,0,1,0,56.93278972744852
25,21,0,0,0,54.28764601310707
32,33,0,1,1,58.70237126016546
15,20,0,0,1,54.54858381053426
29,6,1,0,0,59.04085622745135
28,14,1,0,0,57.08271157186604
39,19,1,0,1,63.09190269813166
34,17,0,1,1,64.12455387955659
23,13,0,1,1,61.58097005234311
48,27,0,0,1,64.38484336358496
44,9,0,1,0,64.37339867780456
40,23,1,1,1,64.3550838515606
21,22,0,0,0,53.37419036943081
23,20,0,0,0,54.3387220995779
32,24,0,0,0,55.04778139648696
25,16,1,0,0,56.16981171215303
21,4,1,0,1,60.25520226829348
33,20,1,1,1,61.61524057365772
32,12,0,0,1,62.424222456706765
33,27,0,0,0,56.72582209429282
29,21,0,0,0,56.67386660920709
25,12,0,1,0,58.64589812446186
40,21,0,1,0,62.78360784694166
34,27,0,0,0,57.01812281992351
34,15,0,0,0,59.20121073826188
26,18,0,1,0,56.97500927951632
30,15,1,1,1,62.7902774021416
32,23,0,0,1,58.73345120607201
24,27,1,1,0,52.52789056644493
21,21,1,1,0,52.58643345054475
48,5,0,0,0,65.66551966694135
18,14,1,1,1,58.71068897990955
11,21,0,1,1,56.38939595337183
17,24,1,0,1,57.1024786819105
24,20,1,1,1,58.4498251773289
20,11,0,0,1,59.38981425862392
23,13,0,0,0,53.75277038039425
39,17,0,0,0,60.29062700401398
24,21,1,1,1,56.29856706279954
18,13,1,1,1,58.31624645337588
33,19,0,0,1,61.63582717792784
21,24,0,0,1,56.163895009138095
35,29,0,1,0,57.01975441855587
27,22,0,0,1,59.41552757495504
28,10,1,1,1,62.519776016809104
34,25,1,0,0,57.23472983995325
22,16,0,1,1,60.97174347825575
31,11,0,0,0,57.72524665103831
31,23,0,0,1,59.29764291958278
43,23,1,0,1,64.42814052943159
28,26,1,0,1,56.60621340565089
