education_years,prior_convictions,public_defender,employed_at_arrest,legal_aid_offer,legal_aid_received,sentence_length_months
5,3,0,1,0,0,47.283788935014414
5,2,1,1,1,1,51.25628312793846
4,2,1,0,1,1,53.468924672525496
7,2,0,1,0,0,45.80637003757406
6,2,1,0,0,0,44.144528156506446
7,3,0,1,0,0,47.13483955695237
5,2,0,1,0,1,54.46597700269554
1,3,0,0,1,1,54.24214816676533
1,3,0,0,0,1,54.42619701482891
5,3,1,1,1,1,52.8621377673549
8,3,0,1,1,1,51.533577273043136
2,2,0,0,0,1,52.10831717307234
4,2,0,0,1,1,54.79158166787369
6,3,0,0,0,1,52.74364247898534
1,3,1,1,1,1,52.31084081782276
-2,2,0,0,1,0,48.88031670531525
3,2,0,0,0,0,48.04233353900081
4,3,0,0,0,1,51.52029909859743
6,4,1,0,1,1,50.30331518075948
5,3,1,1,1,1,51.57810676065026
4,1,1,0,1,0,46.36404920454105
1,2,0,1,1,0,48.708232187480846
7,3,0,0,1,0,46.233141746253466
5,1,0,0,1,0,46.4851432655188
1,3,0,0,1,1,52.98501156011639
2,2,0,0,1,0,47.00834494018992
3,2,0,0,0,0,46.95830500369511
1,3,0,1,0,0,47.17527964179176
4,2,0,0,1,1,54.08893560364312
7,2,1,1,1,1,51.47037411287301
6,3,1,1,1,1,51.81153267388778
1,3,0,1,0,1,52.995768033749805
2,2,0,0,1,0,47.2940139031704
5,2,0,1,1,1,54.12151964052683
5,2,1,0,0,1,50.96354691915082
5,2,1,0,1,0,46.04289902935366
4,2,0,0,0,0,46.01627424952782
5,2,1,0,1,0,46.53110396818654
3,3,0,0,1,1,53.48880694582336
6,3,0,1,1,1,52.08791160174028
6,3,1,0,0,0,45.41848970974681
6,3,1,1,1,1,51.56293552336471
2,2,1,0,1,0,47.52754177092615
4,2,0,0,0,1,52.79000085951181
7,3,0,1,1,0,46.41914798604424
2,4,0,0,1,1,53.782836478112
5,2,0,0,1,0,45.81468575076609
5,3,0,1,1,1,51.48904289590655
1,2,1,0,0,0,47.05132786363456
0,2,0,0,1,0,45.94973732683148
7,2,0,0,1,0,46.35740168924463
2,3,0,1,0,0,48.74159454404258
2,2,0,1,0,0,46.44330895244542
3,3,1,0,1,1,52.94102106494301
3,3,1,0,1,0,46.17653267300276
3,3,1,0,0,0,45.51828204272486
4,2,0,1,1,0,47.28626660824548
2,2,0,0,1,0,46.36031540783845
5,3,0,0,1,1,50.175145490853744
1,2,0,0,0,0,46.06737895026882
5,2,0,0,0,0,47.381094747200656
3,2,1,0,1,1,54.83342387361073
4,3,0,0,1,0,45.656108651965546
4,3,0,0,0,0,48.16435773770829
5,3,1,1,1,0,45.89916795828318
4,2,0,0,0,0,45.72428828323128
1,3,1,0,1,1,52.06393498112641
4,3,0,0,1,0,49.336395634423766
0,2,0,1,0,0,49.9390014621654
4,2,0,0,1,1,54.706435700380666
5,3,0,0,1,1,52.19133103096554
3,3,1,0,1,1,53.392466264875935
4,2,0,0,0,1,54.8353327616205
2,3,0,0,0,1,55.06909466843116
0,2,0,0,1,0,47.23343718612625
2,2,0,1,1,0,46.909668176449536
6,2,1,0,1,1,52.14197895593957
1,3,1,1,0,0,46.71359710816204
0,3,0,0,1,1,54.63319978467866
3,2,0,0,1,0,46.96190717412493
-1,2,1,0,0,1,50.61446718530138
5,2,1,0,0,1,52.24704587131769
4,3,0,0,0,1,51.1303250036355
4,2,1,1,1,0,46.81022594704992
2,3,0,0,1,0,47.841598538221085
3,2,1,0,1,1,52.401528243552114
5,2,1,0,1,1,51.96226134523712
2,3,1,0,1,1,54.470883622654725
5,2,0,1,1,1,54.15972024307705
4,3,0,0,0,0,46.846188045325526
4,2,0,0,1,0,47.32068748803056
3,3,0,0,0,1,52.86294582739065
6,2,0,0,1,0,45.42774938710507
5,2,0,1,0,1,52.80829615878097
1,1,0,1,0,0,48.86866179659036
0,2,1,1,1,0,48.35896297407021
6,1,0,0,1,0,45.44459033710583
1,2,0,0,1,0,47.73747905171796
0,3,1,0,1,1,53.81280603724033
1,3,0,0,1,0,48.75010836456576
3,2,1,0,0,0,45.809626868665056
4,2,0,0,0,0,50.49538765281803
2,3,1,0,1,1,52.21077760936298
1,3,0,0,0,1,52.93881451123013
4,3,1,0,1,1,50.26335190138309
4,2,0,0,1,0,45.95488618229474
-1,2,0,1,1,0,48.033944773751664
11,3,0,0,1,1,51.1786442186784
5,2,0,1,1,0,47.67675132731941
6,2,0,0,0,0,45.84285366511879
3,3,0,0,1,1,53.89196593520604
-3,3,1,0,1,0,47.98192401983879
3,3,1,0,0,1,52.84869080941536
0,2,0,1,1,0,47.30295044569831
5,3,1,0,1,0,43.30131940796922
4,3,0,0,0,0,45.88611907963782
4,2,0,0,1,0,46.356858479561474
2,4,0,1,1,0,45.970925104631206
4,2,0,0,1,0,47.13049222045158
0,2,0,0,0,1,53.8208792403165
5,1,1,0,0,0,46.65811957026079
4,2,0,1,0,1,53.56968763373536
6,2,0,1,0,0,47.08907166933239
0,2,0,1,1,0,47.2804781863688
1,2,1,1,0,0,47.192881328730216
2,2,0,0,0,0,46.44197305148612
8,2,1,1,1,1,50.485868008064
3,3,0,0,1,1,52.47976487334881
4,1,1,1,0,0,48.279267710258665
1,2,0,0,1,0,48.54911301509659
5,2,0,0,1,1,53.20869444204131
9,3,0,0,0,0,45.1041165514614
2,1,1,0,1,0,47.72346222916519
5,2,1,1,1,1,52.63069488170355
0,1,0,1,1,0,51.34919504478189
1,3,1,1,1,0,48.91456239183875
0,2,1,0,0,1,54.681723163309336
6,1,0,0,1,0,46.49698960830335
0,2,1,0,0,0,46.96724451371565
8,2,0,0,1,1,52.23608926883588
2,3,0,1,1,1,54.05028818851827
3,2,0,1,0,0,48.08359833663035
7,2,0,0,1,0,45.86639438988215
7,2,0,0,1,0,45.409831744325565
5,3,0,1,1,1,52.29707550527061
6,2,0,0,1,1,52.58517244348019
5,3,1,0,0,1,51.04088791283576
0,3,1,0,0,1,55.44487360188016
4,3,1,1,0,0,45.97190648518937
6,2,0,0,1,0,44.91578877465234
2,2,0,0,1,1,53.55491257292967
3,4,0,0,1,1,52.86467439931111
2,3,1,1,1,0,45.89360443712302
1,1,0,0,1,0,45.8576682978085
1,2,0,0,1,1,53.25185700982625
5,3,0,0,1,1,53.17503701945168
4,2,0,1,1,0,46.557004182293824
2,3,1,0,1,1,54.01564149533753
0,2,0,1,1,1,54.101894390947486
3,2,0,0,1,0,46.622779289311055
4,3,0,0,0,0,46.81073792151847
3,3,0,0,0,0,46.72037940890717
4,2,0,0,1,1,52.30135072053832
5,2,0,1,1,0,45.25798219388492
2,4,0,1,1,0,46.50601303112945
2,2,0,0,1,0,49.3568699337292
5,2,0,0,1,0,44.68980992724603
3,1,0,1,1,1,52.37208656348411
4,2,1,0,1,0,47.37511502052679
6,3,0,0,1,0,45.57141138402549
2,2,0,0,1,0,47.88066788741073
1,2,1,1,0,0,47.08634451892822
3,3,0,0,1,1,53.90605096214235
6,2,0,0,1,0,46.27500507642021
3,3,0,0,1,0,47.4157465355107
6,2,1,0,0,0,44.92693825829822
2,2,0,0,1,1,54.58649100638189
5,1,0,0,1,0,45.67718457464018
-2,2,1,1,1,1,53.62193774138912
3,2,0,1,1,1,53.04118799293708
7,2,1,0,0,0,45.28097515986586
2,3,1,1,1,1,53.860479385652624
1,4,0,0,1,1,54.06984126669229
4,2,0,0,0,0,48.23455051988665
3,3,1,1,1,1,52.867367803732286
2,3,0,1,1,1,54.5887574528971
2,2,0,1,0,0,48.09986391441091
7,2,0,0,1,0,46.49972839252906
1,2,0,0,0,0,47.140331209079015
5,3,1,1,1,1,51.16615237545337
4,3,0,0,0,1,50.761058649563374
2,3,1,0,1,1,54.28282875693907
4,3,0,1,1,1,52.78841231334587
6,2,0,0,1,0,46.42546375306858
2,2,1,0,1,0,47.19498078705849
6,2,1,1,1,1,51.19792685095953
6,3,0,0,1,0,44.94766375207757
9,3,1,0,1,0,43.98112037822344
9,2,0,1,1,0,45.69081558682239
5,2,0,0,1,0,46.12383287993987
6,2,0,0,1,1,51.96841899835743
1,2,0,1,1,0,48.42599739132399
3,2,0,0,0,0,48.67473956416911
4,3,0,1,1,1,53.333588034909496
4,2,1,0,0,1,51.82138632891437
4,2,0,1,1,0,47.07814119777089
4,3,1,0,1,1,51.892334972302486
2,2,0,0,0,0,46.55696157541421
2,3,0,0,1,1,54.442164018292125
5,2,0,0,1,1,52.010920595580544
6,2,1,1,1,1,52.65769627919323
4,2,1,0,1,1,52.10764100639185
4,3,0,1,0,0,48.03233930040872
3,2,0,0,0,0,48.47731602125737
4,3,0,0,1,0,46.22060325121274
1,3,1,1,1,1,54.52503223356154
3,2,0,0,0,0,44.04731696637283
5,2,0,0,1,0,45.16894896618268
2,2,1,0,0,1,52.54906892333279
0,2,0,0,0,0,47.98543786643681
1,2,0,0,0,0,47.20385002292143
3,3,1,1,1,1,53.487601668577504
0,2,0,1,1,0,47.64231080940575
7,2,1,0,1,0,46.11819340335641
3,3,1,0,1,1,52.4229187376275
3,2,0,1,0,0,46.27547545968016
2,3,0,0,1,0,45.576248367001845
5,2,1,0,1,1,53.20422707713268
4,4,1,0,1,1,50.05322951346403
3,3,0,1,1,0,46.16120402684461
5,1,1,0,1,0,45.646401944191645
4,2,0,0,1,1,52.76141782269963
4,4,0,0,1,1,51.869035280524734
4,1,1,0,0,1,50.053218422106575
5,2,0,0,1,1,52.65371884372821
2,3,1,0,1,0,48.02009081919655
3,3,1,1,1,0,46.10471100499898
4,2,0,0,1,1,52.77992679215649
0,2,0,1,0,0,48.95914081694705
-1,3,0,0,0,1,52.97977257173312
2,3,1,0,1,0,44.82705525125607
4,3,1,0,1,1,52.022671765373815
5,2,1,0,1,1,51.70903192682741
4,2,0,0,1,0,48.51069907920125
2,3,0,0,1,1,53.78391718743177
6,3,0,0,0,1,51.14363479827872
3,3,0,1,1,0,45.75354833930122
4,3,0,0,0,0,46.46337931691661
3,2,0,0,0,0,47.819823381872006
2,2,0,0,0,0,47.08611154602094
7,2,0,0,1,0,46.116152776866784
2,3,1,1,1,1,51.84341037423563
5,3,0,0,0,0,46.69116279998104
1,3,1,0,1,0,46.625063405668826
1,2,0,0,0,0,47.567264443506666
1,3,0,0,1,1,52.631374498363655
4,3,1,0,1,0,45.654201014327256
6,3,1,0,1,0,44.94760640971206
2,3,0,0,0,0,48.64457347862172
4,2,0,0,0,1,55.89308356960927
1,2,1,1,1,1,54.0958415153488
5,3,0,1,1,1,54.94711016011532
3,3,1,0,0,1,53.99517182271516
5,3,0,1,0,0,46.80975354268613
5,2,0,0,1,0,45.610798734214406
0,1,0,0,1,0,47.80723120129277
0,2,0,1,0,0,49.27676894194969
3,2,1,0,1,1,53.169392005279136
4,3,0,0,0,0,47.89884444457566
2,2,0,0,1,0,45.54142734498965
2,3,1,0,1,1,54.865627658101616
3,3,0,0,0,0,47.09482703336691
4,2,1,0,1,0,46.491129533078166
4,3,0,1,0,1,52.36463519440578
10,3,0,0,1,0,47.63536127937502
4,3,1,0,0,0,45.01971528407186
9,2,0,1,1,0,45.40985067175173
5,2,0,1,1,0,47.74822650037596
3,3,0,1,1,1,53.29700142870362
6,3,1,1,1,0,46.58748020833559
2,3,0,0,1,1,51.88001951333174
3,2,1,0,1,1,52.08777900639578
4,4,0,0,0,1,52.05095850353946
4,2,0,1,1,1,53.77126659799931
3,3,0,0,1,0,47.495385528626194
5,3,0,1,0,1,52.22752685871638
3,2,0,0,1,1,52.66583115807666
4,2,0,0,0,1,54.25084941437459
5,3,0,0,0,0,47.30420631884966
3,2,0,0,1,0,46.58547834228955
2,2,0,1,1,0,47.583759962646894
2,3,0,1,0,1,54.452999651944616
4,1,1,0,1,0,46.99320190786088
4,3,0,0,1,0,46.58151356920755
3,3,0,0,1,1,54.14040740407883
7,2,1,0,1,1,52.38135102136333
3,2,1,0,1,0,47.32059247293516
4,3,0,0,0,0,44.82993664309241
2,2,0,0,0,1,51.652589743303785
6,3,0,0,0,0,45.32355694152612
4,3,0,0,1,0,46.89990735317744
1,2,0,0,0,1,53.31348907954863
1,4,0,0,0,0,48.17300953462449
4,2,0,0,1,1,53.19748431182872
1,2,0,1,1,0,47.7774020259254
