individual_income,consumption_expenditure,inflation_rate,gender,rural_residence,trade_agreement,tariff_reduction,import_volume
13,33,6,0,1,10,88,324.823772548263
11,34,6,0,1,12,88,326.87729797008274
12,30,8,1,0,4,79,299.3732318731733
10,28,8,0,1,11,81,306.0618690886862
8,28,10,1,0,5,73,280.6170452164704
11,29,10,0,0,11,82,311.3193319393371
11,30,6,0,1,8,81,302.6104076692858
8,24,7,1,1,10,73,282.0759269749681
8,27,9,0,0,11,77,296.0719301904076
10,30,5,0,0,7,76,285.66081553957343
9,34,7,1,0,9,84,316.4615465089194
10,33,5,1,0,10,85,318.57573080723915
9,30,4,1,0,10,80,300.98499586041623
9,26,10,1,1,11,77,295.7489503458706
10,28,0,0,0,8,73,276.24549411730953
10,30,3,1,1,9,79,293.67021521910493
9,26,5,1,1,6,75,286.98772581720925
8,30,15,1,0,6,80,310.24476835957864
7,28,7,1,0,9,78,297.7463891225997
8,25,5,0,0,9,72,273.35960612916733
9,26,3,0,0,9,74,281.0449174428476
6,27,5,1,1,6,72,276.4887464438098
12,31,2,1,1,11,83,307.23009412998016
10,30,4,1,1,7,77,288.66649014570163
9,33,6,1,1,7,83,315.2686621034336
15,35,7,1,1,9,89,328.1555160395814
7,30,7,0,1,12,81,307.7844330212081
12,28,11,1,0,13,83,315.52972343209166
14,29,10,1,1,13,86,320.70373651401934
9,28,9,0,1,9,79,300.4963409314174
11,32,6,1,0,8,80,300.7467027956432
9,31,11,1,0,13,83,315.2637364392034
10,27,13,0,0,11,80,308.2634158860171
12,27,6,1,0,12,79,301.8161683580033
4,29,8,1,0,9,75,292.55345444361
9,26,8,1,0,8,74,286.2579959446277
13,28,9,1,1,9,83,313.5026454759107
8,30,8,0,1,10,79,298.11574343760753
7,28,10,0,1,12,81,309.0009785861023
6,33,11,0,0,11,84,318.76332981273293
8,28,4,0,0,10,75,286.7293858622207
11,25,9,1,0,11,78,298.6951128199962
8,27,5,0,1,11,75,283.29473652901584
12,34,11,1,1,10,90,338.70398109908194
18,32,10,0,0,9,90,331.77148612732486
11,28,8,0,0,7,77,292.4477242743117
13,28,3,0,1,11,82,307.61571017098663
7,29,9,1,1,12,78,298.2850194797729
7,36,5,1,1,12,87,325.902776116848
6,32,5,0,0,14,82,309.878763236495
7,33,15,0,0,7,87,334.3108279347551
11,32,8,0,0,10,85,320.04796046899315
9,31,6,1,1,9,78,294.7057422277264
9,29,8,0,0,11,78,298.4277586457736
4,31,3,1,1,7,78,298.2907925141151
15,33,5,1,0,10,88,323.69017790009343
6,27,11,0,1,9,73,284.35341737941064
14,32,5,1,0,9,84,310.7326551556841
8,28,6,1,0,6,73,280.0676584519315
11,27,4,0,0,9,75,283.243983379223
9,28,7,0,0,7,77,293.4024432359011
9,31,10,0,1,6,83,317.700970800152
9,25,10,0,0,12,76,292.4893468607169
12,26,5,0,1,6,77,295.2964339780859
12,25,8,1,0,11,77,291.60091365841623
8,29,4,1,1,9,78,293.8984277716094
7,28,5,0,1,10,76,287.57444575175805
5,28,8,1,0,12,76,291.06212474951906
12,31,3,1,1,7,84,314.1839471282024
14,30,11,1,0,10,81,306.58057393311447
8,29,12,1,1,9,81,309.9180541190374
11,32,4,1,0,15,86,318.8698418504577
12,29,6,1,1,12,83,307.55768202925424
12,26,6,0,0,9,78,292.7155126582152
10,31,4,1,1,10,83,310.4604841935825
14,30,4,0,0,10,82,304.88480708527743
11,29,6,1,1,6,77,289.2280852875833
7,27,8,1,1,12,79,301.41441413030947
10,27,7,0,0,12,79,297.186489094765
9,32,7,0,0,8,83,312.2918690537751
8,28,7,0,0,10,76,290.32187104191644
10,30,8,0,0,10,82,310.92704391779444
12,28,4,1,0,10,81,302.8504705279215
8,32,8,1,1,13,83,313.4608726136036
8,27,5,1,0,11,76,289.91573538407346
11,30,9,1,0,12,83,312.3919447511796
10,27,7,1,0,8,78,299.13971318033623
5,28,7,0,1,13,77,292.253390553424
10,30,5,1,0,6,75,282.67362832061207
12,30,4,1,1,11,80,296.619598959361
13,29,6,0,0,9,83,312.46285649872635
9,32,14,0,0,9,85,324.26510118737525
5,29,10,1,1,5,74,287.34375768719275
14,29,3,1,0,10,82,303.7113430991627
9,31,8,1,1,9,81,304.5465028872576
5,30,1,1,1,9,76,289.2100442063784
13,28,10,1,1,7,81,306.0295737128826
10,30,9,0,0,9,81,308.5536196887451
10,31,8,1,0,12,83,313.5346871324123
14,29,5,0,0,7,79,295.77388366152144
13,27,5,1,0,10,80,302.74972022719106
4,32,8,0,1,10,81,309.39186996762766
13,31,5,1,1,7,82,307.1396588177104
11,29,12,1,0,11,83,317.42722935786213
9,30,7,0,0,6,78,295.36087928841715
12,27,7,1,0,10,78,297.4616041732404
5,32,10,0,1,9,81,308.845624172494
12,29,11,1,1,9,81,305.82623925891
12,27,12,1,0,11,79,302.195798307554
11,28,6,1,0,13,80,299.8552522923616
10,31,6,1,1,7,81,302.6327658586848
9,27,3,0,1,7,74,280.73699715094347
6,34,8,1,0,10,84,318.8012689333682
4,33,9,0,1,10,82,314.13880480091944
12,27,9,1,1,11,81,305.39302951017896
9,29,7,1,0,11,81,307.88322631887195
11,29,6,0,0,8,83,310.9510105061934
7,31,10,0,1,9,82,314.343262007505
12,29,2,0,1,7,80,297.4443273324817
8,28,11,0,1,14,79,301.6628240524512
15,35,8,1,1,10,90,333.68556832791467
10,28,6,1,1,6,76,288.2602357825152
10,26,4,1,0,8,73,277.72713640724953
7,29,14,1,0,9,77,295.6965948252752
11,32,5,1,1,7,81,304.3792393047308
13,29,7,0,1,12,86,323.68512477768485
8,26,11,1,0,12,75,289.88185580416143
11,28,13,1,1,9,80,305.7470106810392
9,25,6,1,0,12,74,283.5218456545445
11,32,9,0,0,10,84,315.7786004095022
8,30,10,1,0,11,79,299.98188308172763
11,29,2,1,0,7,78,294.0365083221143
12,29,14,1,1,9,82,312.0558040200563
14,29,2,0,0,8,80,298.94805015557336
10,31,6,1,0,11,80,302.4788356703845
6,27,8,1,0,11,75,289.68058125282124
9,32,0,0,1,12,83,309.3232181049791
16,27,11,1,1,9,80,303.58480470989764
11,32,6,0,1,9,81,303.8545157442906
9,28,12,1,1,9,78,299.58642402629823
11,34,5,1,0,12,86,318.40285311557903
15,26,6,0,1,10,80,299.5517432719915
10,29,5,0,0,10,79,298.3590997520859
9,28,6,0,0,10,79,304.03759897504995
9,28,7,1,0,13,81,309.1772720847409
11,27,12,1,0,11,81,307.6047483668509
10,28,13,1,0,10,80,306.97053479799854
14,34,3,1,0,11,88,323.61093437490376
13,32,7,1,1,13,89,332.26654878996743
10,29,9,0,1,7,80,306.7159011234649
6,29,6,1,1,11,79,302.8001367462284
10,29,7,0,0,7,80,305.89474151512286
6,30,1,0,1,12,76,286.9322632445057
4,27,9,1,0,10,76,295.28557652073
5,30,12,1,1,10,81,311.40938672180505
5,33,10,0,1,12,86,325.20483500767426
11,29,7,1,0,8,80,304.23381501512847
12,29,7,1,1,7,78,296.55394749947504
16,28,3,1,1,8,80,296.9589285056659
11,28,6,1,0,10,78,292.53463425633174
13,30,7,0,0,9,84,314.9657429067986
12,32,10,0,0,11,88,330.4848260106444
12,31,2,0,1,9,83,308.7224095350234
8,30,4,1,1,13,77,291.77992370214395
13,30,10,0,0,8,85,321.49717144321835
4,29,3,1,1,12,77,292.0408412446941
9,30,7,0,1,13,81,306.6214044178183
9,31,10,1,1,8,78,297.45698303308137
9,30,6,1,1,10,78,295.31618330299096
8,31,6,1,0,13,82,310.0401778518499
11,31,5,1,0,9,81,302.5545878555188
7,26,9,1,0,8,76,294.10737173679286
9,27,7,1,1,12,78,297.4384028968537
9,31,8,0,0,7,82,311.6072562200176
9,29,7,0,0,10,79,300.1886632138902
11,30,11,0,1,9,84,317.32520719351527
11,32,10,0,0,14,89,333.64644303104143
7,31,6,0,0,9,81,308.26184272087886
8,28,1,0,0,9,78,295.10092576125845
8,28,12,1,0,9,77,296.80504560130186
11,29,10,0,1,10,82,310.7570172378382
13,27,8,0,1,11,81,304.893769844868
11,27,4,1,0,8,75,284.3744994583239
8,31,10,1,1,11,84,321.07018552799195
7,28,6,1,1,11,74,279.6812607576884
11,36,9,1,0,7,86,322.7394430044531
9,30,8,1,1,9,81,306.6471914617792
11,32,4,1,1,10,83,306.4590333331331
11,28,5,1,1,11,80,301.0309182016162
11,32,4,1,1,8,83,309.78649870338666
11,26,8,1,0,8,78,295.5534126664046
7,27,6,1,0,12,75,287.6412702318058
6,30,10,0,1,11,78,299.5542228142253
11,30,8,0,1,5,79,299.4008445132236
10,28,7,1,1,11,81,305.09940825274106
15,28,9,1,0,8,81,305.61080224625675
11,32,7,0,1,5,84,317.2525227813177
11,30,3,1,0,6,76,287.726157498428
12,29,8,0,1,9,81,305.2123483043603
10,31,8,0,1,8,83,313.57450068750626
7,28,3,1,0,10,76,288.1517985595294
9,26,9,0,0,12,78,298.94538659598146
7,32,12,1,1,6,82,314.6040508220771
14,31,10,0,0,8,87,325.6946922978008
6,28,9,1,1,9,78,299.80197843922986
7,29,5,0,1,13,80,304.0542665916038
8,31,8,1,1,8,82,311.04302835291986
9,26,3,1,1,8,74,280.99918445981723
15,26,12,1,1,8,82,312.1951715169571
7,26,9,0,0,8,74,288.3727103707725
7,24,4,1,0,11,71,274.31553005813544
12,33,6,0,0,8,86,320.80369171982363
9,31,8,1,1,8,78,299.11387903356047
8,29,2,1,0,9,76,288.4614085415289
8,29,9,0,0,9,79,302.5093478263093
6,30,5,1,1,9,76,289.4190564377246
11,31,8,1,1,7,83,311.62076578670053
12,31,10,1,1,9,86,324.1494288315382
13,30,6,1,1,8,80,300.6700947903305
9,30,14,1,1,7,81,312.61246705848055
10,35,9,1,0,9,86,323.6830086927939
11,28,11,1,0,9,80,305.3592438969123
7,25,7,0,1,12,74,285.9755991024449
7,29,7,0,1,9,78,297.75582380007
4,31,8,1,1,7,77,296.72168904347063
13,32,7,1,0,10,85,314.9516525276834
7,31,8,1,0,10,77,293.7917453534231
13,36,8,0,1,7,92,338.65217654239905
7,28,9,1,1,8,76,290.6169703330289
11,25,5,0,0,7,75,286.0866773492635
16,27,8,1,1,12,86,322.29771839120764
8,32,6,0,0,9,82,310.4180522541064
9,30,1,0,0,10,79,292.85713366487295
9,31,6,1,1,7,78,295.6590999373613
4,34,6,0,1,11,82,310.7592961170285
5,27,-2,1,0,11,68,255.415927741477
8,28,0,0,1,10,76,288.4369215204894
12,30,5,1,1,14,86,320.2695752660739
13,31,4,1,0,11,84,313.51257817977586
13,29,10,0,1,11,85,321.70434931529724
6,31,7,1,0,6,78,297.6144238180403
7,28,6,0,1,6,73,282.41364140360434
12,31,5,1,0,11,86,319.8958349920337
5,33,8,0,1,12,86,325.0313140704441
5,29,13,1,1,11,83,322.12793876064035
6,29,11,1,0,7,77,297.54521096504106
5,30,8,1,0,9,76,293.31656553411807
3,32,10,1,0,11,80,306.7417761054549
11,32,8,1,1,10,85,319.91927718807926
7,32,4,1,0,9,80,303.3600749055383
14,29,3,1,0,12,80,299.0906351355732
14,31,12,1,1,7,87,330.0560534955304
13,28,-1,0,0,11,80,299.2841943200884
6,25,6,1,0,11,71,272.8357409332724
17,26,5,0,0,6,77,288.64929834662684
13,27,9,1,1,7,78,297.4500090664911
13,29,3,1,0,10,81,302.92543993021707
14,31,4,1,1,13,85,317.6077443265435
9,31,5,1,1,10,79,299.6848582218659
7,29,7,0,1,7,78,296.54271721068386
6,27,10,0,0,7,76,295.5210237475487
9,30,5,1,1,9,79,299.2455027458265
8,28,9,1,1,9,78,295.9226755277919
10,30,7,1,1,10,85,323.9744392923255
13,28,6,0,1,8,80,299.88457453040843
11,27,5,1,1,9,76,285.7100628437713
9,26,5,1,1,14,75,286.167284409647
13,29,1,0,0,15,79,294.26589987244665
8,31,9,1,1,6,80,306.6545631475777
5,31,3,0,1,9,77,289.5963443751735
8,27,10,1,1,8,78,300.7984124283551
7,29,13,0,0,9,79,304.803658489077
10,30,3,0,1,10,80,294.5673757390852
7,28,9,1,0,9,78,299.298869270818
9,27,9,1,0,8,77,297.69356211057874
9,32,8,0,0,9,85,321.4884019650453
16,30,9,1,0,13,89,330.9006933995318
15,32,4,1,0,13,88,324.7124302822056
10,29,5,0,1,8,79,294.61575879337926
10,28,6,0,0,10,80,303.0281845800314
6,28,4,0,1,10,74,283.215427349202
6,29,5,1,0,11,78,301.9730953004546
6,29,4,0,1,8,76,288.3494613309362
10,32,6,0,0,11,84,314.8860671280824
15,30,11,0,1,12,88,329.5428259791569
13,30,5,1,1,12,83,308.30228804838595
8,32,7,0,1,13,83,312.3684537079122
13,31,7,1,1,9,84,315.81217604646656
11,29,3,0,0,11,80,299.6055213406004
18,31,6,0,1,8,87,319.1180310894997
8,26,5,1,1,9,74,281.1549741926428
8,29,10,1,0,14,83,316.41409613542544
14,30,10,0,0,10,86,320.81468244873287
8,25,4,1,1,10,73,279.6304217859281
7,31,5,1,1,10,81,308.101186083853
11,28,9,0,1,7,81,309.9582696090408
10,29,6,0,1,7,80,304.99341003801067
11,30,2,1,1,10,82,308.5957084183252
8,31,6,1,0,8,79,300.691251397499
13,30,5,1,1,7,81,304.09593894090415
9,27,6,0,0,7,73,277.8211585537808
8,29,7,1,0,8,77,294.1384710833955
8,30,8,0,1,6,76,288.66730580578485
9,35,13,1,0,9,89,337.9693156008784
10,26,6,0,1,12,80,303.9015986507535
7,27,10,1,0,11,76,294.38919338636333
9,28,7,0,0,12,78,293.9759848307708
8,27,4,0,1,8,78,297.1159827162168
13,31,9,0,1,10,86,322.67676445665154
8,26,5,0,1,11,75,285.4535317791252
6,26,8,0,0,7,74,287.83511971601763
9,28,5,1,0,10,75,285.33700344843305
11,32,7,1,1,11,86,323.18374140496326
8,29,7,1,1,10,80,301.84247063117726
10,30,6,1,1,13,85,319.7053680654497
9,27,6,1,1,11,77,291.8498805790513
8,27,4,1,0,10,77,292.15292191531023
13,28,6,1,1,8,78,295.01836141031725
12,31,5,0,1,9,84,310.3540493402314
10,29,5,1,0,11,79,300.61489829635343
17,34,5,0,0,12,92,336.7283084537884
6,29,10,0,1,9,79,303.86890046909696
9,26,9,0,1,8,78,298.7032493811989
11,30,6,1,1,10,82,308.6406818487394
16,28,6,0,1,7,83,310.3010534924671
12,30,9,1,1,10,85,318.2165065129464
4,25,12,1,1,12,74,288.4955868826629
9,32,8,1,1,12,85,321.0733138226571
9,26,5,1,1,12,75,284.8175579075056
10,30,13,1,1,10,84,321.81274692015654
11,31,6,1,1,10,82,307.3236349851458
8,32,4,0,1,10,82,309.46436475414896
9,30,5,0,1,11,83,310.8344418327034
10,29,8,0,1,10,79,298.5137092509553
6,34,12,1,1,10,85,322.95782305669906
5,32,2,1,0,11,79,301.39253530538963
7,29,8,0,1,10,78,298.2438782668338
5,29,9,1,1,4,75,291.70348301465907
10,26,0,1,1,10,76,288.09026126277456
12,30,12,1,0,8,83,314.1185774306896
14,28,1,1,1,13,81,298.6615329142159
7,32,5,1,0,8,78,293.3170214686008
9,28,6,0,1,11,79,300.18017796280094
13,32,8,1,0,12,86,319.71765381347944
7,33,2,1,0,10,77,288.4177210222453
12,30,8,0,1,9,83,313.29919323798106
7,28,7,1,0,7,79,304.60796132636847
14,30,11,0,0,10,86,321.6434058189362
10,27,7,0,1,10,77,292.24499036618903
8,30,10,1,1,5,78,299.8285365328931
14,29,8,1,0,8,82,309.3850343067573
10,28,5,0,0,9,78,294.59997543431246
16,29,7,1,1,10,83,309.10948769778054
10,31,14,0,1,10,87,329.6127107616465
5,30,6,1,1,9,78,298.19273959533643
15,30,9,1,0,7,82,307.11719023615
5,31,4,0,1,7,76,290.1288464606847
13,31,10,0,0,10,85,319.47454174430635
10,31,8,1,0,8,82,310.73858842808573
9,27,13,0,0,9,79,304.0061705594978
9,28,14,1,1,11,81,313.2322233777309
10,27,4,1,1,7,76,286.77629899562714
7,33,6,1,0,12,83,313.6432338683646
12,30,3,1,1,13,84,312.34406563150856
5,29,6,1,0,6,75,288.6126399971171
9,30,16,0,1,9,82,314.3929156196206
9,28,7,1,1,9,75,285.6153514763023
