years_of_schooling,household_size,distance_to_bank_km,owns_smartphone,is_self_employed,bank_account_offer,opened_bank_account,annual_household_savings
3,3,0,1,0,0,1,51.06690506154703
4,4,0,0,1,1,1,50.12111493204646
3,2,0,1,0,0,0,48.94622674887556
3,3,0,1,0,1,1,51.84827424505213
6,2,0,1,1,1,0,48.54864659792147
6,2,0,0,0,1,1,48.60560803468055
6,2,0,0,0,0,1,50.442821643969296
2,4,0,1,0,1,1,51.87588928434987
2,4,0,0,0,0,1,51.71569149468909
4,3,0,1,0,1,1,50.57478028733352
0,3,0,0,0,1,0,50.75916398842003
6,3,0,1,0,1,1,49.66319604058639
5,3,0,0,1,1,1,52.13052653894948
4,2,1,0,0,1,1,52.15479130829902
1,2,0,1,0,1,0,50.25237521657573
4,3,0,0,0,1,0,48.51670473441747
0,3,0,0,1,1,0,50.40466421417481
6,3,0,1,0,1,1,50.30928582664917
3,2,0,0,1,1,0,47.85514142238495
3,3,0,0,0,1,0,50.933217778260826
3,3,1,0,1,0,0,48.46142252017955
3,3,1,1,0,1,1,52.52816358500606
3,2,0,0,1,1,0,49.91012162961755
4,2,0,0,0,1,1,49.23650149670444
5,3,0,0,1,0,1,49.80804398795325
4,3,0,0,1,1,0,47.83165317432397
2,2,1,1,0,1,0,49.17550173952253
6,3,0,0,0,1,1,50.41722697396416
2,2,0,0,1,1,0,49.45874317063388
1,2,0,0,1,0,0,50.93802933095848
4,2,0,0,0,1,0,49.87945757771373
6,3,0,0,1,1,1,49.655451455013655
4,2,0,1,0,1,1,52.097969677160165
9,3,0,0,0,0,1,49.40989027940815
3,3,0,0,1,1,1,50.714074973750655
1,3,0,0,0,0,1,51.35461592161103
6,2,0,1,1,1,1,50.59789088712489
8,3,0,1,1,0,1,48.89150647226874
4,2,0,0,1,0,0,49.26633564168063
0,3,0,0,0,0,0,49.94568687916025
3,3,0,1,0,1,0,51.05582257910527
2,2,0,0,1,1,1,51.02296902211511
5,3,0,0,1,1,1,50.24419066313253
0,4,0,0,0,0,0,49.41367460666154
5,3,0,1,0,1,1,50.41749710995268
2,2,0,1,0,1,0,51.41872890123396
2,2,0,0,0,0,0,50.13988010756883
2,3,0,1,0,1,0,49.84693969760324
1,2,0,0,0,0,0,50.6231837570256
9,2,0,0,0,0,1,47.68049562174703
5,2,0,0,1,0,1,51.14192328049247
3,3,1,0,1,0,0,49.14930690991687
1,2,0,1,0,1,0,49.90637314365425
4,2,0,1,0,1,0,48.57942316273375
5,3,0,1,0,0,1,51.29935000438088
4,3,0,1,0,1,1,52.04785297159199
0,2,0,0,0,1,0,50.49910510274007
5,3,0,1,1,1,1,50.02969127262648
3,3,0,1,1,1,1,48.97006964080542
1,2,0,0,0,0,0,49.490400085493086
2,4,0,0,0,1,1,52.53361312718495
2,2,0,0,0,0,0,49.52555387101902
5,3,0,0,0,1,1,50.33771007854318
1,3,0,0,0,1,1,54.98107966040492
0,3,0,1,0,0,0,51.04652579442546
2,3,0,0,0,1,1,52.27231109606036
0,3,-1,0,0,1,0,50.49793341501063
4,2,0,1,1,0,0,48.941903609313485
5,3,1,0,0,0,1,50.78109054685148
4,3,0,1,1,1,1,51.79638283491281
2,3,0,0,1,1,1,51.5372851463027
2,3,0,1,0,1,0,50.534196825535936
1,2,0,1,1,1,0,48.90707705646248
5,3,0,0,0,0,0,46.46517966284154
3,3,0,0,0,0,0,51.18672425343286
5,2,0,0,0,0,0,48.64969961303364
2,2,0,0,1,1,0,51.893605110692896
3,2,1,0,0,1,0,48.51061693462428
4,2,0,0,0,1,1,53.21615569716174
0,3,0,0,0,0,0,50.92788660033671
3,2,0,0,1,0,1,50.53875305951368
2,3,0,0,0,0,0,50.52462830872376
6,3,0,0,0,1,1,48.98669027078554
5,2,0,0,0,1,1,49.39574395542343
5,2,1,0,1,1,0,46.682093876932505
6,2,-1,0,1,1,1,49.24297226186278
2,3,0,0,0,1,0,50.60224876712477
1,3,-1,0,0,1,0,50.84898410047889
3,3,0,0,0,1,1,53.46975641218241
2,2,0,0,0,0,0,49.18911161756312
3,3,1,0,1,0,1,50.43178131683655
2,2,0,0,0,1,0,48.85713830698396
4,2,0,0,0,1,1,51.27308960692302
2,3,0,0,0,1,1,53.76240673679686
3,3,0,0,0,0,1,52.211669084737295
2,3,0,1,1,1,1,49.46254048620642
6,3,0,0,0,0,1,50.041492775363615
6,3,0,0,0,1,1,48.980887424161935
2,3,0,1,1,1,1,49.30938173429929
4,2,1,1,0,1,0,49.14824385826718
0,3,0,0,0,1,1,53.71167065632326
3,3,0,0,1,0,0,47.36637398831992
6,3,0,0,0,1,1,50.42769347113347
2,3,-1,0,1,1,1,51.6370012487592
6,3,0,1,0,0,1,49.74399341489118
5,3,0,1,0,1,1,49.93880689980664
0,2,0,0,0,1,0,51.38096367071601
4,3,1,0,0,1,0,49.57832242557079
2,3,0,0,0,1,0,50.1347872476837
4,3,0,0,0,1,0,48.6185012803387
5,3,0,1,1,0,1,53.14021366943572
4,3,0,0,0,1,1,51.65034207908714
4,3,0,0,0,0,1,52.67183080593888
6,2,0,0,1,1,1,49.91943880044665
3,2,0,1,0,1,0,52.047549718543465
4,2,0,0,1,0,1,51.76377667063363
5,3,0,0,1,0,1,50.30410852625884
6,3,0,0,0,1,1,49.30054532592165
9,3,0,0,0,0,1,48.44211770769088
1,4,0,1,0,1,1,50.28413931330666
0,3,0,0,0,1,0,50.62592655640815
2,3,0,1,1,0,0,50.30843434807724
7,3,0,0,0,1,1,48.40908630710187
4,4,0,1,1,1,1,51.39466903650611
2,1,0,0,0,1,0,48.86615739403459
0,2,0,0,0,1,0,49.85172777826787
1,2,0,0,0,0,0,49.420168922788
4,2,0,0,0,1,1,51.295463326603965
4,3,0,0,1,0,1,49.88273750894648
2,3,0,0,0,1,1,51.25874397636987
4,3,0,1,0,1,1,52.19109270996331
1,3,0,0,1,0,0,47.781736610154965
2,2,0,1,1,1,0,48.94443275108669
1,2,0,1,1,1,0,51.62237311909736
3,3,0,0,0,1,1,54.10242426727111
3,2,0,0,0,0,0,48.96707218141629
0,2,0,1,0,1,0,50.62933795769368
5,2,0,0,1,0,1,49.76693258533517
1,4,0,0,0,1,0,51.00181218365701
4,2,0,1,0,0,0,48.187187947111184
1,2,0,0,0,0,0,49.79772820079793
0,3,0,0,0,0,0,51.60755773996819
3,3,0,0,1,1,0,48.10991095933037
3,2,1,1,0,1,0,49.62675726962906
3,3,0,0,0,1,1,52.87133919769175
5,2,0,1,0,1,0,48.41077006129952
3,4,0,0,0,1,1,51.57948260125762
3,2,1,0,0,0,0,48.66426946247177
5,3,1,0,0,0,1,49.447387424062825
2,2,0,0,1,1,0,49.76075983282778
7,2,0,1,0,0,1,49.20576834797466
2,2,-1,0,0,1,1,53.31216859533114
-2,2,0,0,0,1,0,51.45666524220207
3,3,0,0,1,0,0,48.25153076164077
0,3,0,0,1,1,0,52.1019260876535
4,3,0,0,0,1,1,51.15135001294692
2,3,1,0,0,1,1,51.69538111444622
1,1,0,1,1,0,0,49.8028760021942
3,3,1,1,1,0,0,49.96746238050995
2,3,0,0,1,1,0,50.72393848819874
3,3,1,0,1,1,1,51.72789897350661
4,3,1,1,0,0,1,51.96614232035732
4,2,0,0,0,0,0,50.33038410704549
4,3,0,1,1,1,0,48.20624393633176
4,3,0,1,1,0,0,48.39629298214704
0,2,0,0,1,1,0,50.6962188758039
1,3,0,0,0,0,1,51.16736831973722
1,3,0,0,0,1,1,52.92365179538298
3,3,1,0,0,1,0,47.62774324916784
0,2,0,0,0,1,0,50.18221432712158
5,3,0,0,1,1,0,47.73035076816947
4,3,0,1,0,1,1,51.94501413880372
2,2,0,0,0,1,1,50.2707614454218
3,3,0,0,0,1,0,50.79144772407278
3,3,0,0,1,1,1,51.2028705844707
5,2,0,1,0,1,1,48.827195809016864
1,3,0,0,1,1,0,49.981467179430304
0,3,0,1,1,1,0,50.999398277060486
5,3,0,0,0,1,1,50.06006392063357
2,2,0,1,1,0,0,47.09525290281276
3,1,-1,0,0,1,0,48.42633472259615
0,2,0,0,0,0,0,50.77762677161146
8,3,0,1,0,1,1,50.70412254908446
4,2,0,0,1,1,1,50.5222113253443
5,1,0,0,0,0,0,47.92169501843505
-2,3,0,0,0,0,0,51.76591998184328
3,2,0,0,1,1,1,51.84579830235619
4,2,0,0,1,0,0,49.30288438210554
1,2,0,0,1,1,0,49.31295812154105
0,2,0,0,0,1,0,50.175363308162815
1,3,0,1,1,0,0,50.4702090563367
6,3,0,1,0,1,1,49.5219058105074
3,2,0,1,0,1,0,49.14659855259911
6,2,0,1,0,1,1,49.90766914620202
4,3,0,0,0,0,0,48.46706307928198
2,3,1,1,0,1,0,49.71322381319951
0,3,0,0,0,0,0,49.01701758832473
8,3,0,0,0,1,1,48.94936685196699
4,2,0,0,1,1,0,48.08032003236392
1,2,0,0,0,1,0,50.18449343651668
6,3,0,0,0,1,1,50.29258741029428
2,2,0,0,0,1,0,49.160852467970855
4,3,1,1,0,1,1,50.84499288988147
7,3,0,0,0,0,1,48.63964994702362
2,2,0,0,1,1,0,49.25422099388216
2,3,0,0,0,1,0,49.66746492609767
6,2,0,0,0,0,0,48.52567028758156
6,2,0,0,1,0,1,50.13915239254407
1,3,1,0,1,1,1,53.46479236742332
5,2,0,0,1,0,1,51.55226049312402
3,1,0,0,0,1,0,48.33029682967759
3,3,0,1,1,1,0,49.53815022378513
7,2,0,0,0,1,1,49.77305181470896
7,2,0,0,0,1,1,51.4414145445777
7,3,0,1,0,1,1,50.67847758801115
3,2,0,0,0,1,1,53.00248030756021
3,2,0,0,0,0,0,50.281004787404186
5,3,1,1,0,1,1,51.20236715187605
4,2,0,1,0,0,0,48.50099301817692
9,3,0,1,0,1,1,49.16947808347968
4,3,1,0,0,1,1,49.87165451822715
4,3,0,0,1,0,0,49.58729614125903
4,2,0,0,1,1,0,49.22482181838694
7,2,0,0,1,0,0,47.45948170961215
0,2,1,0,0,1,0,50.81417430323117
4,4,0,0,1,0,1,51.62547632014916
3,2,0,0,0,0,0,47.77179712983032
4,3,0,0,1,1,1,52.71612811618717
5,3,0,0,1,0,1,50.260727252430975
2,2,0,1,0,0,0,50.67874552250301
4,3,1,0,0,0,1,49.730984276101296
4,3,1,0,1,0,1,51.44865905312105
4,3,0,0,0,1,1,53.11098426265751
3,2,0,0,0,1,0,50.13447799084744
4,2,0,1,0,0,0,49.25054155965735
2,3,0,0,0,1,1,52.8001738477877
5,3,0,0,1,1,1,49.63259553066733
4,3,0,0,1,1,1,50.29862431516734
4,3,0,0,0,0,0,49.865741323560606
0,2,0,0,1,0,0,49.08218017544033
2,3,0,0,0,1,0,50.56200303107925
5,2,0,1,0,1,1,51.58112596490971
3,2,0,1,0,1,0,49.79658010939277
2,3,0,0,0,1,1,50.70752291384534
4,2,0,1,0,0,0,50.77425382205152
6,2,0,1,1,1,0,48.44085770336708
5,2,0,1,0,1,0,48.07513149803732
5,2,0,1,1,1,1,51.73221674608311
0,3,0,0,0,1,0,52.8599949302718
7,2,1,0,1,1,1,49.95990273708927
5,3,-1,0,1,1,1,50.64223899772123
3,3,0,1,1,1,1,49.97410110600962
4,3,0,1,0,0,0,49.15595152069362
2,2,0,1,1,1,1,51.96521280755024
3,2,0,0,0,0,0,50.90963509194329
5,1,0,1,0,1,0,48.49346013383925
0,3,0,0,0,1,0,50.09763360824345
5,2,0,1,1,1,1,50.72212819273011
3,3,0,1,1,1,0,49.219737998906425
5,3,1,1,0,1,1,49.444654309165664
2,3,0,1,0,1,1,49.37456280317271
7,2,0,1,1,1,1,48.5492401179248
3,3,0,0,1,1,1,51.233650539605534
5,3,1,1,0,1,0,49.61418232968684
0,3,0,1,1,1,0,50.10871791819424
5,2,0,0,0,0,1,49.38381328084981
3,2,0,0,1,1,0,50.86459336494379
0,3,0,0,0,1,0,51.38633531304244
5,3,0,1,0,1,1,52.80305745883402
3,3,0,0,0,0,1,50.93397171249471
4,4,0,0,1,1,0,49.30792412563541
4,3,0,0,0,1,1,53.26493912113392
3,2,0,0,0,1,1,51.31911999643442
0,2,0,0,1,0,0,50.392257807593175
1,2,0,1,1,1,0,51.389758186364006
6,2,1,0,1,1,1,49.6160584561268
2,1,0,1,1,1,0,49.358579996381735
0,3,0,0,0,1,0,50.2146639990133
3,2,0,0,0,1,1,52.878841967003815
6,2,0,0,1,0,1,50.06079746338787
4,3,0,0,0,1,1,50.3587079615596
4,2,0,1,0,1,1,51.84594039171661
0,3,0,1,0,1,0,50.78335868427507
4,2,-1,1,0,0,0,49.93479346136223
6,2,0,0,1,1,1,51.00492659071858
7,2,-1,1,0,1,1,51.108281791392336
2,3,0,0,0,0,1,51.16167927171384
1,3,0,1,0,1,0,51.15662229562769
4,2,0,0,0,1,1,51.29256412144707
2,2,0,1,0,1,1,52.5044400595837
5,2,0,0,0,1,1,51.77121063290707
2,2,0,0,1,1,0,48.51346855340364
4,2,0,0,1,1,1,51.453583574784574
0,3,-2,0,0,1,1,53.2566860897451
4,4,0,0,1,1,1,51.494687391512784
0,3,0,1,0,1,0,51.77197351940875
5,3,0,1,0,0,1,51.94164810634138
4,2,-1,1,0,1,1,53.2489163535608
4,3,0,1,0,1,1,51.80543925063064
6,2,0,0,0,1,1,50.37378063340925
6,2,0,1,0,0,0,46.76840427842134
5,2,0,0,0,0,1,49.662613025905216
3,3,0,1,0,1,1,52.54793460628742
4,2,0,0,1,1,1,51.62427278412696
6,3,0,0,0,1,1,51.03185687897182
3,2,0,1,0,0,0,50.18346297075615
4,2,1,1,0,1,1,51.16017251955538
6,2,0,1,0,1,1,49.97385289501456
4,2,0,0,1,1,1,52.07015970053284
2,2,0,0,1,0,0,49.93452576559286
4,2,0,1,1,1,1,51.84431819877087
5,3,0,1,0,1,1,50.93102966110368
4,3,-1,0,1,1,1,51.46346047578176
0,2,0,1,0,1,0,50.65547607328466
5,3,0,1,0,0,0,50.5698485668234
2,2,0,1,0,1,0,53.09463427364828
6,3,0,0,1,1,1,52.227243118745925
6,3,0,1,0,1,1,51.15433244005185
0,2,0,0,0,0,0,50.81658281870224
8,2,0,0,1,0,1,50.07090817588508
3,3,0,0,0,1,0,50.8146651024768
8,3,1,1,0,1,1,48.70830339567784
3,3,0,0,1,1,1,53.54391474853901
0,3,0,1,1,0,0,49.974295188432826
3,3,0,0,1,0,0,50.1433648231331
0,3,0,0,1,0,0,50.27362823870399
6,3,0,1,0,0,1,48.930389900141805
2,2,0,1,0,0,0,50.26197156864561
3,3,1,0,1,1,0,47.749994226337584
4,2,0,0,0,0,1,51.74480828413603
5,3,0,0,0,1,1,50.06788464685671
4,3,-1,0,0,1,1,50.82160917396503
8,2,0,1,0,1,1,49.64235759906359
2,3,0,1,0,0,1,51.97863228843335
7,2,0,0,0,1,1,49.83813950909482
5,3,0,1,0,1,1,50.31487012097632
3,2,0,1,0,1,1,49.226985723847726
5,3,0,1,0,0,1,50.97126607618429
3,2,0,1,0,1,0,50.16018588096532
3,2,0,0,0,1,0,50.64690633971676
1,2,0,0,0,1,0,51.32206234718225
8,3,0,0,1,0,1,47.51508968274871
2,2,0,1,1,1,0,49.77379965645977
5,3,0,1,0,1,1,49.89511693723605
5,3,0,0,0,0,1,49.388535864167416
3,2,0,0,1,1,0,49.65891255823432
5,3,0,1,0,0,1,50.45345791626123
4,2,0,0,1,1,0,45.74262019580635
4,3,0,0,0,0,1,48.32057009488841
4,3,0,0,0,1,1,51.31095829767128
4,2,0,0,1,1,0,50.024588850857455
4,3,0,0,0,1,1,51.72428519705728
4,2,0,0,0,1,1,51.20934493365854
4,3,0,0,0,1,1,50.759483568983725
7,1,0,0,0,0,0,48.071509463931264
5,2,0,0,0,0,0,49.12757826909548
5,3,0,0,1,0,1,51.44292945790673
6,2,0,1,0,1,1,49.96044752627376
2,2,0,0,0,0,0,49.63881775066866
3,3,0,0,0,1,0,51.02707992106817
2,2,0,1,0,1,0,52.37611978837987
6,2,0,0,1,0,1,50.31617062878376
7,3,0,0,0,0,1,49.88445303442265
2,3,0,1,0,0,0,50.113372160659694
5,3,0,0,0,1,1,49.60576674073343
1,3,0,0,1,1,0,50.3884401169993
2,3,0,0,0,1,0,52.0111517443564
3,2,0,0,1,1,0,47.87436723106249
2,3,0,0,1,1,1,50.15680886582975
6,3,0,0,0,1,1,50.93373170493441
