individual_age,years_of_education,employed,internet_access,rural_residence,digital_literacy_program,internet_usage
19,22,0,1,0,0,59.542358377236525
24,15,0,1,0,1,65.35513459448303
28,19,0,1,0,0,67.05135260032723
37,19,0,0,0,1,74.95699460716996
23,29,0,0,1,1,63.841091234071314
21,26,1,0,0,1,65.341106560462
39,26,1,1,1,0,75.74701982424735
14,24,0,0,0,1,59.18189240091329
19,24,1,0,1,0,60.92804220028006
27,21,1,1,0,1,66.91222789078019
25,19,0,0,0,0,65.7943083813223
41,18,0,1,1,0,76.82792075089404
45,24,0,0,0,1,81.59084891248517
35,22,1,0,0,0,72.45902754915208
22,23,1,0,0,0,63.22989537887498
18,23,1,1,0,1,64.12995754044616
41,20,0,1,0,0,77.15986736771508
32,22,0,0,0,1,71.63463456090469
16,22,0,1,0,1,61.17681966285399
40,24,1,0,0,1,77.2420556655987
14,20,1,0,1,0,58.37349746773357
12,31,1,0,1,1,56.577793211384495
20,29,1,1,0,0,58.72438037752399
23,24,1,1,0,0,64.87391544472908
22,22,1,0,0,1,66.11737483281655
25,26,0,0,0,1,65.6542075095013
20,24,0,1,0,0,61.27988735264314
20,26,1,0,0,1,65.11445679119404
26,26,0,1,0,1,69.40706867876746
25,23,1,1,1,0,66.60560090473395
15,17,0,1,0,0,59.42432327594295
22,23,0,1,1,0,63.79827453456297
26,22,0,0,1,0,64.73277534915763
19,19,0,0,0,0,60.03669349486735
23,26,1,0,1,0,61.15004693815052
21,19,1,1,0,1,63.01320042285735
14,22,0,1,1,0,58.09185957587504
21,23,0,0,1,0,62.79974742857768
21,22,0,0,0,1,63.50179472084612
28,25,1,1,1,1,69.54261563646975
0,24,0,1,1,1,49.084368772634335
30,21,0,0,0,0,68.59304132963297
25,26,0,0,0,1,66.16582653404198
31,31,1,0,1,1,71.618983417371
31,24,0,1,0,1,70.65512005285507
24,22,0,1,0,0,63.42436347254164
33,23,0,0,0,1,72.79841781600423
14,19,1,0,1,1,60.89866428944181
26,22,0,0,1,0,65.00476656112687
8,23,1,1,1,1,54.465441143696005
23,29,0,0,1,1,66.44297333782923
18,21,0,0,1,0,59.8418301573676
18,25,0,0,0,0,58.96340443409292
26,19,1,0,0,1,65.55254531277218
29,21,0,0,0,0,66.23498240544683
25,18,0,1,0,0,64.3656918294362
24,19,0,1,1,1,67.27709170287646
20,25,0,0,0,0,60.52039753483822
26,23,0,1,1,1,69.52983857746626
31,24,0,0,0,0,67.51167821429782
19,21,0,0,0,0,58.370128692821886
44,27,1,0,1,1,82.91795998379114
19,23,1,0,0,0,60.417450358833214
24,18,0,0,1,1,65.30074935885064
6,29,0,0,0,1,51.49028084352968
29,22,0,0,0,1,69.17166320746087
38,26,1,0,1,0,73.92328202798987
8,23,1,1,0,1,55.309135314044944
17,18,1,0,1,1,62.36408092042503
27,20,1,1,1,1,67.76603274456038
25,20,1,0,0,1,66.94640414103009
33,19,1,1,1,0,71.91215788096619
24,23,0,1,0,1,64.83458846110267
20,32,1,1,0,1,60.50315088832462
36,24,0,1,0,1,75.21661901307685
23,32,1,0,1,0,64.78093942150099
21,24,0,1,1,1,65.80138617575129
24,20,0,0,1,0,64.61316920251546
20,25,1,0,1,1,63.15093462651816
11,22,0,1,1,0,56.12866026557197
30,29,1,0,1,0,67.98491923779251
21,23,0,0,0,0,63.04547481053195
30,27,1,1,0,0,68.88539367598877
28,21,1,0,1,0,65.9804143873991
14,14,1,0,1,1,60.86834194870057
13,29,0,0,1,0,56.04950823938248
28,26,1,0,0,0,66.86861092727246
34,22,1,0,0,0,72.81762845430022
5,27,0,1,1,0,50.37603046966968
31,20,1,1,0,0,70.6005240195527
25,31,1,0,1,1,66.93215149720287
24,25,1,0,0,0,64.10893076489826
15,32,0,1,0,0,58.59051266670898
33,22,0,1,0,1,73.16696342727234
22,16,1,1,0,1,63.6893359325171
26,18,1,0,1,1,66.87839836875492
20,22,0,0,0,1,62.52292144711607
33,28,1,0,0,1,73.80350696510533
34,25,1,0,0,0,71.28296923650072
25,28,1,1,0,1,68.42134403833496
31,28,0,0,0,0,69.49671066575293
30,23,0,0,1,1,70.9214175237978
35,20,0,0,1,1,75.74801495518687
33,20,0,0,0,0,67.02992577779307
17,31,0,0,1,1,61.58082967083566
34,32,1,1,1,1,74.40542964156923
6,17,1,1,0,0,53.06675919357356
21,28,1,1,0,0,63.412587522693705
24,22,0,0,0,1,64.51485866308903
35,22,1,0,1,0,75.00182368437102
26,22,0,0,1,1,67.52415625449886
38,26,1,1,0,1,79.10560100546897
22,27,1,1,1,0,62.87200766949339
15,21,1,1,0,0,58.84125347432236
26,25,1,0,1,1,69.35702903946414
22,22,1,0,1,1,65.16726239033612
24,24,0,0,1,1,65.90331934302189
25,19,1,0,1,1,65.39364738153988
13,29,0,1,0,1,56.255398687738015
26,21,0,0,0,0,63.74185529694025
23,22,1,1,1,0,63.925180277457
20,27,0,1,0,1,62.3734419022947
27,18,0,1,0,0,66.75317120310417
8,15,0,0,1,1,55.39465827718358
20,28,0,1,1,1,63.95722073182984
19,24,1,0,0,0,59.7217118735889
20,22,0,1,1,0,62.21515404081447
27,20,1,1,1,0,68.43646756239703
15,26,0,1,0,1,57.58492122855161
32,18,1,0,0,1,71.57594041909405
28,25,0,1,0,0,67.57610291579323
37,22,0,0,0,0,73.2209281107729
13,30,1,0,0,0,55.64315274063281
31,19,1,1,1,0,70.45602263536195
16,24,1,1,0,0,59.01286242048105
19,27,1,0,1,1,62.36368469929904
35,28,1,1,1,0,73.59639883293032
38,19,0,0,1,0,75.96585502820561
38,18,1,1,1,1,76.16494890414293
10,19,1,1,0,0,55.9399172654255
0,24,1,0,1,0,47.05817971416039
25,22,1,1,0,1,68.88660184161367
10,33,0,1,1,1,56.59227749674552
42,24,1,0,1,1,77.4661088919988
25,31,1,0,1,1,67.06895665100407
43,19,1,0,0,1,79.42659475998344
30,22,1,1,1,1,71.92836062048644
34,29,0,0,0,1,71.78800247257247
-1,19,0,0,0,1,46.35716031936411
31,19,0,1,0,1,68.95456732487247
27,26,1,1,0,1,66.83339514650233
15,26,0,1,0,1,60.363840696776535
33,23,1,0,0,0,70.18401384526157
31,33,1,0,0,0,68.43510385810696
33,27,0,0,0,0,71.17424374703964
29,23,0,1,0,1,70.1867395071914
33,18,0,0,1,1,72.55258201523303
28,22,0,0,0,0,64.82564247725057
13,23,0,1,0,1,60.17798813371358
31,25,0,0,0,1,70.27204314171416
30,19,1,0,1,0,67.90443038557844
16,25,1,0,0,1,57.58785813189179
23,26,1,1,0,1,64.89245981354419
28,18,0,0,1,1,67.02834601032228
33,27,1,1,1,1,74.88453748134464
35,25,0,1,1,1,74.34458023406391
22,25,1,1,0,0,63.39773495908973
28,23,0,0,0,1,69.12456140819255
36,28,1,0,0,1,74.19097481329015
25,28,0,1,1,0,65.87531288956448
33,16,0,0,0,0,70.00074441725235
18,20,1,0,1,0,61.7503497154988
20,14,0,1,1,0,63.05663061421815
5,27,1,0,0,1,52.07896898720726
15,18,0,0,0,0,57.9207406319995
23,29,1,1,0,0,65.4499729970358
30,22,0,0,0,0,69.57758493753131
23,26,0,1,1,0,63.913871994291306
15,27,0,1,1,0,58.63955827296507
19,17,1,1,1,1,62.18764546627268
15,19,1,0,0,0,57.82924144744016
36,26,1,0,0,1,74.94494490530938
16,20,0,1,1,1,61.16453170334509
32,24,1,0,0,1,71.95778765896037
36,19,0,1,0,1,75.68789636089143
33,18,0,1,0,0,70.7190093528334
33,22,1,0,0,1,72.01694521964086
18,31,1,0,0,1,62.96578154489509
30,20,0,1,1,1,71.3945354917879
28,21,1,1,0,0,66.61687145166893
12,17,1,0,0,0,56.09689742243186
13,28,0,1,0,1,58.51422288941495
25,22,0,1,0,1,65.70979441636517
25,26,0,0,0,0,64.94051189076468
21,31,1,0,1,1,65.55103554460102
8,17,1,0,0,1,53.22649210223388
34,13,0,1,0,0,71.70803109754601
32,18,0,0,0,0,70.57523760227028
23,30,0,1,1,1,66.60822206656859
33,19,1,1,0,1,72.54931743998287
15,26,0,1,0,0,56.30821277055307
20,20,1,0,1,0,61.58668675543655
20,19,0,0,0,0,59.47539028064865
27,32,0,0,1,0,65.99343624162815
46,14,1,1,0,1,81.24367998067866
25,14,0,1,0,0,65.06403027726822
34,34,0,1,1,1,75.23538237882401
21,20,0,1,0,0,63.09088486996144
33,19,0,0,0,1,72.65663457355876
37,23,1,0,1,1,76.96763600597264
13,29,0,1,0,1,57.47238092990614
26,25,0,0,0,0,64.3168180161296
34,19,1,1,1,0,72.89554797491128
27,26,1,0,1,0,67.4113838417955
24,20,0,1,0,0,66.05751195571779
42,19,0,0,1,1,78.16771678293036
10,18,1,1,0,0,53.39935903058171
18,19,1,1,0,0,60.19453017014654
15,21,0,0,1,1,59.671288718017216
26,29,1,1,1,0,67.54602796879408
15,14,0,1,0,0,59.03572056306373
10,20,0,1,0,0,55.82999437162233
18,22,0,0,1,1,62.23913285406984
25,27,0,1,0,0,65.19425753827362
43,20,0,0,0,0,78.1159847824715
17,27,1,1,1,0,61.31091796934444
29,24,0,0,0,0,65.68191781850791
38,20,0,1,1,1,77.68599775690744
20,18,1,0,0,0,61.47964364567145
26,20,0,0,1,1,66.78654987011807
23,17,1,0,0,1,66.16090080976852
27,27,0,1,1,1,68.88087441455049
39,19,0,1,0,0,74.92347893542079
23,31,0,1,0,0,63.06970178623702
17,21,1,0,1,1,61.246525750167
32,21,0,1,1,1,73.0961982299415
38,21,1,1,0,0,73.97843614371762
16,17,0,1,1,0,57.841936914261424
44,29,1,1,0,0,78.57979591026144
14,23,0,1,1,0,58.023668684479325
26,28,0,0,0,0,64.67710390233914
32,14,0,1,1,0,71.99063124507143
37,23,0,1,0,1,77.88590621519307
36,22,1,0,1,0,74.34697916891585
22,26,1,1,0,1,64.89549825893283
16,22,0,0,0,1,60.33796302120512
39,19,1,1,1,0,75.91281322714057
15,21,0,0,0,0,57.226250843980594
30,23,0,1,0,1,69.4816506848032
24,24,0,1,0,0,65.44498727653853
30,19,0,1,1,1,69.42017608352852
11,26,0,0,0,1,55.70046642314277
-6,26,1,1,1,0,43.52951623320413
18,29,0,0,0,0,59.22511322131678
24,24,1,0,0,0,61.8332599966135
30,31,0,0,0,1,69.26007064725341
31,26,1,1,1,0,69.77870769605858
36,23,0,0,0,1,75.55334783526438
28,26,0,0,0,0,67.05875750364763
26,28,1,0,0,1,68.36440556830037
21,19,0,0,0,1,61.58460631450794
29,22,0,1,1,0,66.49116449943443
29,19,0,0,1,1,69.40566734164155
16,22,1,1,0,0,60.36976508818982
29,28,0,0,1,1,70.39529784966571
26,26,1,0,0,1,67.60585743217705
27,22,0,1,0,0,66.75392430907306
35,22,0,1,1,1,75.30512690568523
23,21,1,1,1,0,66.61010045526604
27,23,0,0,1,1,68.45478123893841
28,21,0,1,1,0,66.43658909228877
17,26,0,0,0,1,60.83892503056641
25,18,1,0,0,1,67.93389828458425
29,23,0,1,1,0,68.84273673155934
15,26,0,1,0,0,56.7206873413274
23,14,0,0,0,0,63.92926027549864
25,25,0,0,1,0,66.4176284064664
11,26,1,0,1,1,57.71237914492512
22,30,1,1,1,0,65.18253699882834
39,21,0,0,1,1,76.5349886538535
29,19,1,1,1,1,70.81903620896064
15,24,1,1,1,1,60.6676453697756
29,25,1,0,0,0,68.28841353675854
19,24,0,1,1,1,61.67769699738499
33,32,0,1,0,0,70.48475620502818
19,22,0,1,0,1,63.21856218115831
31,23,1,1,0,0,69.03639618010601
26,25,0,1,0,1,67.5092484243636
20,23,0,1,1,0,62.21930821526538
24,23,0,0,1,1,64.58791279611108
41,24,0,0,1,1,78.84489822492503
10,27,1,1,0,1,56.67767881387715
9,21,1,0,0,0,52.672587614807945
7,20,0,1,1,0,51.25380059803419
13,22,1,1,0,1,57.48648544377279
28,26,1,1,0,1,71.56788704344642
9,27,1,1,1,1,56.28311315759419
30,24,0,0,0,0,68.81091779744999
19,23,0,0,1,1,62.1833952883283
35,31,1,0,1,0,72.84405650457613
37,18,1,1,0,1,74.38583249332869
14,27,0,1,1,0,58.35052192365297
21,23,0,1,1,1,63.72477406844024
13,21,1,0,0,1,56.90268048721089
