age,education_years,last_month_income,work_hours_per_week,number_of_dependents,gender,rural_dwelling,policy_beneficiary,current_month_income
39,26,4,16,3,0,1,1,91.84777169680268
41,13,16,14,4,0,1,0,79.89631913425006
31,12,11,17,3,1,1,0,79.9026476359513
35,22,15,13,3,1,1,1,82.13563922669681
36,21,5,19,3,1,1,1,90.8625839568082
25,25,9,12,3,0,0,1,81.9786713725819
25,15,10,20,4,1,1,0,80.19906049313761
27,6,16,10,2,0,1,0,67.62374027846971
21,12,11,13,2,0,0,1,72.15471310396065
30,15,6,16,4,0,0,0,82.93679002498976
32,16,14,0,7,0,1,0,64.82155110717005
41,18,9,26,6,1,1,0,95.96575538369054
21,18,13,15,4,0,1,1,76.79123480605524
24,14,17,20,3,0,0,0,77.18029123645957
34,25,9,31,2,1,0,1,100.02804937333936
37,12,14,10,4,0,0,1,76.32097530053235
19,13,6,12,4,1,1,1,73.54379239416211
29,24,8,21,6,0,1,0,86.80975552375965
30,22,13,14,5,1,1,1,80.82114796501953
32,22,4,12,4,1,1,0,80.6740458449945
22,15,9,11,4,1,1,1,72.07064242824602
36,32,10,10,4,1,1,1,85.43652321418695
26,19,9,26,4,1,1,1,88.4456358631111
32,19,10,17,1,0,1,0,83.34324109345124
35,19,8,11,2,1,0,0,82.94328329193372
30,24,11,16,1,1,1,1,85.76848858247214
19,26,18,3,5,1,1,1,66.52453360953763
40,11,7,17,4,1,1,0,85.33100502976225
31,18,13,10,5,1,0,1,77.46038705043638
37,26,9,8,3,0,1,0,81.48794154231578
34,21,12,14,3,0,1,0,81.25997774518866
38,6,12,12,4,1,1,0,77.17200635158888
27,32,11,16,4,0,1,0,84.68361381228205
27,25,12,17,3,1,1,0,84.00972451125621
27,24,9,10,3,1,1,1,77.18998705592824
31,14,11,3,2,1,1,0,70.51767954069476
22,10,12,24,1,1,1,0,79.69496680434642
25,29,8,11,4,0,1,1,79.72205222533526
34,18,5,8,2,1,1,1,77.8756387590311
22,13,11,20,4,0,0,1,79.18884933818931
43,12,11,14,1,1,1,0,81.60626212647809
34,19,10,6,2,1,1,0,73.49895043223759
30,8,9,8,3,1,0,1,72.53854990199444
23,24,9,8,0,1,1,0,73.63255539479968
15,17,9,16,4,1,1,1,74.12108350017687
40,24,8,13,5,0,1,1,86.49316342007721
21,19,10,11,3,1,1,0,72.78369451192724
24,19,12,14,7,1,1,0,75.61627258009887
29,16,12,6,2,1,1,0,71.01781939179544
24,16,5,15,2,0,1,0,78.55228401015522
21,15,13,22,3,0,1,1,79.78171632181218
21,20,9,23,4,1,0,1,84.85893672087084
21,11,10,16,4,1,1,0,74.0112791906662
32,15,7,10,4,1,1,1,77.81838996774631
43,23,12,6,3,1,0,0,79.50625190958003
22,17,13,13,2,1,0,1,71.36766739122957
34,12,5,11,4,1,1,0,76.57276910361539
15,30,10,18,6,1,1,1,82.05986334938822
26,20,7,15,4,1,1,1,81.92173399431516
7,24,15,10,0,1,0,1,67.91963497606756
30,10,11,12,6,0,1,1,74.91793858332375
31,21,8,5,2,1,1,0,74.30618912721933
33,25,9,8,5,0,1,1,82.49103275775573
23,16,12,21,4,1,0,0,80.30472893743426
26,17,10,15,3,0,1,0,77.1195583548372
49,17,12,17,4,0,1,0,88.93770520740215
25,25,11,21,2,0,1,1,86.48579620698702
28,17,11,5,0,1,0,0,69.50216403183924
27,32,13,11,3,1,0,1,79.6440960140243
26,34,5,12,4,1,0,1,85.17835657113561
34,19,6,19,2,0,0,1,88.30528941482251
38,18,5,15,4,0,1,1,87.11906277785671
27,18,9,8,4,1,1,0,72.54639232630181
33,20,9,5,4,0,1,0,73.77727158180852
39,24,8,15,2,1,1,1,90.70367660670811
35,29,6,11,1,1,0,0,84.75342724728564
38,17,10,20,1,1,0,0,89.83000387639316
31,22,10,10,3,1,0,0,77.62288423334371
25,15,13,9,5,1,1,0,71.0899705980915
38,29,7,14,2,1,0,1,91.2684796147262
37,19,11,14,4,1,0,0,82.8362150499521
26,17,9,15,2,0,1,0,79.58331082392968
31,15,9,22,4,0,0,1,88.16445040149273
18,26,14,7,4,1,1,1,67.9363899799649
30,5,6,17,5,1,1,0,77.05053223513984
35,14,9,19,5,1,0,1,86.93870794106759
34,24,9,14,3,1,0,1,84.07597180107263
22,11,12,12,1,0,0,1,71.63170480156415
31,11,15,16,2,1,1,0,77.86024306538054
23,7,10,24,3,0,1,0,79.975406980309
25,12,12,8,2,1,0,1,70.3231518466378
32,33,9,13,1,0,0,0,86.61387208271456
32,28,7,12,1,1,1,1,84.58007418504653
35,22,8,2,5,0,1,0,74.9242693648236
29,23,8,15,4,1,0,1,81.60681773614813
28,22,10,23,3,0,1,0,88.11810101098315
33,21,12,7,5,1,1,0,77.04912550453717
31,14,7,10,3,1,0,0,73.7286629072241
28,12,9,16,3,1,1,0,79.170930642931
29,20,8,17,4,1,1,1,83.82357579703582
23,13,7,16,6,0,1,0,75.81500353634691
16,21,8,15,2,1,1,1,76.16653775369485
18,23,10,16,0,1,1,1,78.51707306308862
30,9,9,18,0,1,1,1,80.77973974817016
48,29,15,8,6,1,1,0,84.47335448471217
38,25,6,9,4,1,0,1,84.27534801983548
33,24,8,15,6,0,0,1,85.0411658673721
25,16,11,8,4,1,1,0,69.72471446345668
14,14,13,9,4,0,1,0,63.8214806545142
24,38,9,17,2,1,1,1,88.17202938372864
33,18,11,5,4,1,1,0,72.92910633976733
29,25,10,15,3,1,1,0,84.01328339715154
20,15,12,15,1,1,0,1,75.27793938949247
39,14,6,15,3,1,0,1,86.34167383664048
27,20,6,8,7,1,1,0,74.97370671622745
24,30,3,11,2,0,1,0,81.76363244670809
34,14,14,3,4,1,1,1,71.4983237782142
25,25,8,19,2,0,1,1,86.36191945839207
36,5,4,9,2,0,1,0,74.09609118312625
35,13,10,16,2,1,0,1,82.77470926884435
35,12,11,20,3,0,0,1,85.18361479252901
23,16,8,17,4,0,0,1,80.43182181915817
32,16,6,8,2,1,1,1,75.73492056837198
20,18,8,18,5,1,1,1,80.91816360128192
39,20,11,21,5,0,0,1,91.37039260516264
34,23,12,10,5,1,0,0,78.30462508832147
28,26,10,18,4,1,1,0,85.83175445165183
21,18,11,13,0,1,1,1,73.65769376122051
20,25,9,14,2,0,1,0,79.48374653384388
28,13,6,13,1,0,1,0,76.02353776540723
24,24,11,8,1,1,0,1,73.17996583012543
24,24,5,13,5,1,1,1,80.95709550097602
23,20,8,11,5,0,0,0,73.95201792572206
50,12,8,12,3,1,0,0,85.41625342727664
37,18,7,13,3,1,1,0,82.04941965831493
40,25,13,21,4,1,1,1,93.5218244094147
18,14,8,6,7,0,1,0,63.46669571068677
18,20,8,16,5,0,1,0,74.0449692702006
26,23,10,8,1,0,0,1,74.70706325200794
27,21,10,17,4,1,1,0,80.71022386210524
37,23,15,8,2,1,1,0,78.5117432003788
35,24,11,20,3,1,0,0,89.61836327613679
26,28,8,16,1,1,0,0,85.6055329359085
22,23,9,13,2,0,1,0,76.3441020137887
17,16,6,12,1,1,0,1,72.33895005377708
34,17,12,14,5,0,1,1,84.09706580482347
28,17,11,9,1,1,1,0,76.10973608888962
20,28,7,18,6,1,0,1,82.34267069137665
21,22,10,21,1,1,1,0,83.79928169870217
34,22,16,18,2,0,0,0,85.48734411549387
28,18,9,16,6,1,1,1,82.01848526131741
38,17,11,6,4,1,1,0,75.49700095790384
28,26,9,9,2,1,1,0,78.03630683589147
31,22,9,11,2,1,1,0,79.23878458846012
27,16,11,12,3,0,0,0,74.07836934173821
36,27,15,20,5,1,1,0,88.46297184658803
18,28,11,18,3,0,1,0,80.68378419921677
37,23,11,14,3,1,1,0,85.33329168444075
18,16,7,12,4,0,0,1,73.97636371803952
22,13,14,16,5,0,1,1,75.79734966842037
23,23,9,13,4,1,1,1,77.75370431655658
30,23,10,22,4,1,0,1,87.4844640223146
37,26,9,13,2,0,0,1,87.31793697105371
35,28,6,9,5,1,1,0,81.81422643192946
28,28,8,19,4,1,0,1,87.70707592638617
14,17,7,17,4,1,1,1,74.91511542539016
44,24,10,4,-1,1,1,0,77.9190609811183
26,24,11,7,5,1,1,0,74.01821829412692
30,18,13,15,6,0,1,1,79.91918514599558
28,14,5,7,4,1,0,1,72.2805438096326
28,25,8,9,2,1,1,0,79.92110252993551
33,12,9,15,5,0,1,0,79.98468680271674
18,16,6,12,3,1,1,1,73.78910076256516
21,22,7,14,7,1,1,1,78.73985736604892
35,19,8,14,7,0,0,1,83.79394328222708
30,21,8,5,4,1,1,1,75.58803180403464
31,26,9,15,2,1,1,0,84.62001985374775
32,16,9,4,4,1,0,0,69.60560444484427
39,24,8,12,7,1,1,0,84.305714367072
27,24,8,10,3,1,1,0,78.4175179222401
31,16,14,20,3,1,0,1,82.78654265415051
35,31,9,8,3,1,1,1,82.7205872460297
26,16,11,16,3,1,1,1,79.55057088050641
27,24,10,17,1,1,0,1,85.05128565987135
33,16,4,13,2,1,0,0,81.02177327301692
40,22,7,11,1,1,1,1,87.83114314424695
32,28,10,6,4,1,0,1,77.58947177949541
29,19,10,13,2,0,0,0,79.69347471272437
34,24,8,24,5,1,0,1,94.90213105689952
44,17,11,9,4,0,1,0,81.10811610265925
35,24,11,14,2,0,1,0,84.4271168371043
27,24,10,12,2,1,0,0,77.94430061813061
17,27,13,17,5,1,1,1,79.55936454127189
20,33,6,7,5,1,1,1,77.647502449282
26,19,6,16,0,1,1,0,79.11280653080442
13,15,13,20,5,0,1,1,75.40761477625038
25,9,6,10,4,1,1,0,71.1911429724062
29,19,7,9,2,0,0,1,77.77199549856856
21,24,9,10,4,1,1,0,74.53065113158608
25,13,8,11,4,1,0,1,73.2347398101309
27,30,14,16,0,0,1,0,82.67335397997779
30,15,8,9,3,0,0,0,73.57861821802706
31,24,5,8,3,1,1,1,80.11989713697392
19,17,3,15,3,0,0,1,78.48590420706151
27,23,10,17,4,1,1,1,84.70523056864246
34,26,0,13,6,1,0,0,85.07936599189915
21,16,6,16,5,1,0,1,78.3195234923602
32,24,9,9,2,1,1,1,79.90742578686631
42,15,8,11,2,0,0,0,80.76995003293918
31,15,9,11,7,1,0,1,75.88207072914165
37,30,7,10,3,1,0,1,88.3130353731582
33,25,10,13,3,0,1,0,82.64670667032998
37,23,9,17,5,1,1,0,86.27577746324019
22,26,12,7,5,1,1,0,71.44529603704183
28,20,6,15,5,0,1,1,82.10849288770785
15,20,10,8,6,1,1,1,67.63284056949226
31,24,7,12,0,1,1,0,80.22604719299521
31,14,8,17,1,1,1,1,82.8982516051483
33,23,9,15,5,1,1,0,85.0905867671397
23,20,6,12,5,1,1,0,78.32137712568533
16,19,6,9,4,1,1,1,72.28203901921094
30,20,12,11,0,1,1,0,75.26397538823171
24,19,9,13,3,1,0,1,77.13959319485419
31,16,9,5,2,1,1,0,72.73941661747428
26,26,11,8,0,1,1,0,76.53506225882307
34,29,7,13,4,1,0,1,88.15470490643585
27,26,8,14,7,0,1,1,81.30651931659528
35,17,10,10,5,1,0,1,80.46296879998567
22,20,8,14,3,1,1,1,78.01580243489606
31,26,7,13,4,1,1,1,83.16707508165476
29,29,4,15,2,1,0,0,86.85222109455842
23,26,12,13,2,0,1,0,77.21352236746904
36,21,9,11,2,1,0,1,82.01450657146965
43,19,11,15,1,1,0,1,88.69236951385963
28,16,5,17,7,0,1,0,83.07564740463756
17,18,17,11,3,0,0,1,69.21098757572982
32,14,9,4,1,1,1,1,71.85046734841475
23,18,4,5,4,0,1,0,70.56311874835467
40,15,11,18,4,1,1,0,85.36059836730794
21,15,6,11,3,1,0,1,73.74467362559233
36,17,12,21,2,1,1,0,86.9806206551486
23,15,12,7,6,0,1,1,70.64081546283904
28,23,10,19,3,1,1,0,82.44969267326528
33,22,5,14,2,1,0,1,83.27377502511894
38,18,10,18,5,1,1,0,87.92671750986945
20,18,11,22,2,1,1,1,82.16260914306181
27,22,11,15,3,1,0,1,81.73577265660145
29,9,10,17,2,1,1,1,79.82588354345839
38,20,10,18,3,1,1,0,88.0838091358656
42,23,9,19,2,1,1,1,92.54660252477728
24,23,10,11,5,1,1,0,75.53541032665262
30,16,9,18,2,1,1,1,83.54310531155734
27,22,8,13,5,1,1,0,80.85325857971628
39,12,9,18,2,1,1,1,85.31436146402724
35,23,14,9,5,1,1,0,78.56884354914376
26,20,8,7,4,0,1,0,71.82021742646124
36,22,8,11,7,0,1,0,80.69834886877635
34,15,10,6,4,0,1,0,74.91699505062616
41,22,12,15,2,0,1,0,87.1991650040286
20,14,10,15,0,0,1,0,73.88626656947586
29,15,15,24,3,1,1,0,85.47219518283136
34,14,10,14,3,1,1,1,81.92953891703512
29,23,8,15,1,1,1,1,84.26847095979107
32,18,12,11,1,0,1,1,78.75930361370081
47,15,3,11,4,1,0,1,88.25717560277788
39,19,11,14,4,1,1,0,85.37315327601475
32,25,7,16,4,0,1,1,85.93965744476006
39,28,7,7,2,1,1,1,83.1745394739077
35,33,5,8,4,1,1,0,82.38533018446647
15,17,6,11,5,1,0,0,70.05046116747512
21,22,9,16,2,1,1,1,79.86216433677487
28,17,10,10,9,0,1,0,73.06386306237975
23,27,10,16,4,0,1,0,80.46819450250578
27,24,4,11,5,1,1,1,81.98986938487504
32,6,7,11,3,1,1,0,72.77010286267854
30,19,11,15,3,0,1,0,79.79948805827483
22,19,8,12,6,1,0,1,74.0682375647072
34,17,10,13,4,1,1,0,81.25667868524928
26,18,12,2,3,0,0,0,64.92060991417789
16,33,7,15,1,0,0,1,80.72232911681868
19,23,10,10,3,1,1,0,72.00885056299498
17,30,10,12,4,1,1,1,76.85286277145893
26,12,4,18,0,1,0,1,80.392170529728
37,24,6,1,4,0,1,0,73.68374847660704
18,20,7,8,2,1,0,1,70.35409186351825
27,12,13,19,4,1,0,1,79.40755312142856
33,14,12,6,5,1,1,0,71.02610922921819
17,20,10,6,4,0,1,1,68.4099260732953
29,10,12,14,3,0,1,0,75.08743148626746
39,19,14,17,2,1,0,1,87.19952527998588
22,12,9,20,5,1,1,0,76.47022355399311
24,20,8,12,5,0,1,1,77.46397716624898
21,24,9,15,4,1,0,1,79.03942071666737
27,27,9,16,3,1,1,1,84.21398323744083
51,13,18,8,5,1,0,0,79.75986666358244
22,12,12,10,5,1,1,1,69.32170168307181
27,15,11,17,6,1,1,0,81.51710650781318
40,28,8,17,2,1,0,0,90.99124527708422
31,27,9,12,5,1,0,0,83.04506160349071
28,25,11,10,5,1,1,0,77.86817972321467
28,20,3,4,2,1,1,1,73.45081403806056
30,7,8,17,3,1,1,1,78.98340497456944
38,23,9,16,3,1,0,1,88.18001377108875
23,13,11,17,2,1,1,1,75.55138331169675
19,25,10,15,0,1,0,1,80.23403452096369
35,18,10,21,5,1,1,1,89.20048826017828
19,10,9,12,7,0,1,1,70.87527634633257
38,25,4,18,5,0,1,1,93.08054009831991
33,22,10,23,5,1,1,0,89.93790043046664
39,18,14,17,4,0,0,1,87.25333914967825
27,14,5,15,5,1,1,1,80.31918400034972
21,25,8,11,2,1,0,1,77.15845221130323
18,31,9,15,5,0,0,1,82.65449392331016
29,11,12,7,3,0,1,0,71.07456871086295
33,28,8,16,5,0,1,1,88.5539976164711
34,6,14,12,0,1,1,0,74.66497694734873
19,25,14,11,5,1,1,0,72.698319096548
27,19,7,13,0,1,1,1,80.81948927220108
35,19,13,10,2,1,1,0,77.64410771915074
29,16,10,13,4,0,1,1,78.73145262169936
24,23,3,17,6,1,1,1,84.1107269635009
27,20,14,16,3,0,1,0,80.43584788169647
26,14,5,14,4,1,1,1,78.10755130555134
36,21,11,11,4,1,0,1,81.9186112763539
15,15,8,16,4,1,0,1,73.72028314744588
18,13,17,14,3,1,1,1,69.65916153086107
30,21,8,9,4,0,0,0,77.49323689530087
20,5,9,12,2,0,0,0,66.78420472116332
34,22,9,21,3,0,0,0,88.6283755815908
33,30,9,7,6,1,1,0,80.13560739601135
21,18,10,11,3,0,1,0,74.33281177826304
29,22,12,17,3,0,1,0,82.79998683673715
38,10,7,9,5,1,1,0,76.21944857360035
12,21,12,7,5,1,1,1,67.2368395215891
14,23,9,31,3,1,1,1,89.29428751660258
33,17,11,10,6,0,1,1,77.31783050119029
40,21,9,15,5,0,0,0,85.06279470810475
38,9,12,13,3,1,1,0,78.53116391320268
34,15,6,20,5,1,0,1,86.45746769937213
42,40,12,20,3,0,1,1,100.52918135629768
30,23,5,14,4,1,1,1,83.88345251005937
36,14,9,16,4,1,1,0,82.38329377885469
34,25,6,21,2,0,1,0,94.01120963736216
31,19,11,16,3,0,0,1,81.82324322928628
36,26,5,10,2,0,1,0,82.7499514124058
20,23,6,15,2,1,1,1,79.72975901136347
25,10,12,20,4,0,1,1,80.13060999838426
29,13,11,19,5,1,1,1,82.90456921982964
22,18,11,16,3,1,1,1,77.50155860358511
12,18,8,12,3,1,1,0,68.52945323365955
32,15,11,5,4,1,1,1,70.86907840596061
36,30,3,7,3,0,0,0,84.28391393410945
30,22,8,4,5,1,0,1,75.19477522358216
24,27,11,13,6,0,0,0,80.5517616195212
27,24,8,16,5,0,1,0,82.21817629421527
8,34,10,10,5,1,1,1,72.53205830202958
35,23,9,21,4,0,0,0,90.15921572287743
34,16,8,12,2,1,0,0,80.24204921836174
22,30,7,12,6,0,1,0,79.0732699362357
28,27,6,15,6,0,1,1,86.41881728350732
33,18,8,9,3,1,1,1,78.29385552053279
24,21,12,15,2,0,0,1,80.61476748924724
14,14,12,12,2,0,1,0,67.2332502830943
24,11,8,17,7,1,1,1,77.78373632506867
29,25,13,14,1,0,1,0,81.16359569438424
36,15,11,24,3,0,1,0,90.21604088557464
48,27,10,20,2,1,1,0,98.05618727215511
19,22,14,19,3,0,0,0,78.89422894556749
29,24,8,12,0,1,0,0,80.28554410587996
32,14,8,18,1,0,1,0,83.61910725720378
36,33,8,2,4,1,1,1,80.95383503150161
39,20,9,16,0,1,1,0,86.39366833332204
30,18,9,18,5,1,0,1,83.16352532314637
27,21,8,8,3,1,1,0,73.72146548048757
34,19,9,6,2,0,0,1,75.67358667602653
29,16,11,24,0,1,1,1,89.0137121418757
37,24,16,25,9,0,1,0,92.60665104709312
39,14,9,10,7,1,1,1,81.23973591321656
16,10,11,16,4,1,0,1,70.99833768500389
37,23,8,17,5,1,0,1,88.15377588150147
24,18,9,14,0,1,1,0,77.39803896496338
34,26,7,21,4,1,1,0,91.70561656800524
19,17,16,14,4,1,0,1,75.535853566845
14,20,10,12,5,1,0,1,70.40313345266931
21,26,8,13,5,0,0,0,76.91287852793963
20,16,11,21,6,0,0,1,80.77465535930111
26,18,6,10,1,0,0,0,74.36742514142267
32,23,9,16,6,1,1,1,84.67655779907066
37,15,11,8,4,0,1,0,75.2769267805809
7,16,10,12,3,0,1,1,67.96760075080141
40,1,5,16,9,1,0,1,80.8318424621098
33,22,14,12,3,1,1,1,80.10868649114582
36,27,12,16,4,1,0,1,88.5471307873632
19,23,8,5,5,0,1,1,70.99471153739574
28,20,8,14,5,0,0,1,80.44274889833733
37,14,5,12,5,1,1,1,82.60810005642328
24,29,10,20,2,1,1,1,88.70576235345622
30,18,9,8,5,1,1,1,76.48013564659755
24,25,9,13,5,0,1,0,80.19542314208297
22,11,9,19,4,0,1,0,76.70606385275026
32,7,12,20,3,0,0,1,81.84843950309552
24,17,11,8,2,0,1,1,72.5282377887147
31,18,9,11,1,1,0,0,77.68860621694924
28,16,8,15,1,1,1,1,80.10462185043257
34,15,8,12,5,1,0,0,78.86265636831529
22,12,12,16,3,0,1,0,75.11508678814589
24,27,2,5,6,1,1,1,73.90056857112596
33,14,6,22,5,1,0,1,88.60791737694726
36,19,9,5,2,0,1,0,75.7532752734331
29,10,4,16,5,1,1,1,80.88797143694082
26,17,8,14,3,0,1,1,77.75602289110891
34,17,16,22,2,1,0,1,88.38528404216197
42,21,10,10,5,1,1,0,83.38857234823386
38,21,14,15,4,1,0,1,84.68458731324439
17,20,19,10,5,1,1,0,66.91897767771492
40,21,6,18,4,1,0,1,91.04286617013148
38,12,12,18,0,1,1,1,87.37975786065681
30,24,16,12,0,1,1,0,76.4853356396855
16,20,10,8,0,0,1,1,70.88080896171898
32,20,12,11,6,1,0,1,77.92302128922297
30,15,8,11,3,1,1,0,77.20561267101765
41,19,13,10,4,1,1,0,81.00892898371792
