student_age,parent_education_level,classroom_size,school_funding_per_student,rural_school,access_to_tutoring,interactive_textbook_use,final_grade
40,16,0,18,0,1,0,71.19749788509199
0,28,6,13,0,1,1,75.19200180583219
19,20,4,11,1,0,0,66.81013955025978
16,17,5,13,0,1,1,77.10705025280544
42,22,5,11,1,0,1,78.14206067426181
26,29,6,13,0,1,1,80.92600560702769
38,24,6,13,0,1,0,72.72601909277299
35,22,8,18,0,0,0,75.83782047744674
23,21,2,13,0,1,1,77.17462871882356
38,22,0,13,0,1,1,78.97926129768292
16,18,5,16,1,1,0,71.7420196918365
24,19,5,16,0,0,0,69.33253357454774
34,15,3,15,1,1,1,80.053605139821
24,21,6,16,0,1,1,80.26403918763916
23,23,3,16,1,0,1,79.12526640306979
30,28,7,22,0,0,1,85.81439714769817
33,25,7,16,0,0,1,82.56158286160445
25,21,1,19,0,0,1,81.99972098047293
15,17,1,19,0,1,1,78.45309075328647
62,22,3,15,1,1,0,76.68850700197615
27,22,7,12,1,0,0,71.8446657480828
21,33,1,10,1,1,0,69.08817350947052
26,24,5,17,0,0,0,73.96466426348631
36,18,6,18,1,0,1,83.00865176056884
29,25,4,22,0,0,0,76.41746779820434
41,25,7,20,0,1,1,87.55647387663485
45,23,6,10,0,1,1,79.59627944030467
30,27,4,12,0,0,0,72.59731005586619
24,22,10,20,0,0,1,83.81747424194603
33,22,4,11,1,1,0,69.9340315661945
36,22,4,7,1,0,1,74.27951362526716
37,20,4,19,0,0,1,82.70478236510996
35,33,5,14,0,1,0,74.45477351646308
19,21,6,13,0,0,0,71.15299232616984
37,26,4,14,1,1,0,73.08915047946336
16,25,9,13,1,1,0,71.67991566395729
11,23,4,12,0,0,1,76.3981205486707
34,18,8,16,0,0,1,81.8147771757374
24,23,5,18,0,1,0,73.9682718104648
12,34,10,11,0,0,1,80.0747005289314
26,25,4,10,0,0,0,67.69371182815446
24,24,5,16,0,0,0,72.46708698098091
17,24,4,20,0,0,1,81.92068174604384
25,25,6,24,0,1,1,88.36195057451874
31,32,4,8,1,1,1,76.96194718342076
43,20,5,8,0,0,0,68.4598840406086
37,21,5,10,0,0,1,77.28986619198311
8,19,7,16,1,0,1,78.57893532880217
27,25,9,17,1,0,1,83.01715574241533
-3,16,6,20,0,1,0,70.58319721625595
29,29,14,10,1,1,1,82.73829097175789
11,23,8,9,0,0,1,73.69291087603419
24,26,7,18,0,0,1,81.05422360051386
16,19,10,21,0,0,1,84.00715630741028
25,18,2,15,1,0,0,68.77470416059073
7,23,5,11,0,0,0,66.80265409274877
30,17,9,13,1,0,0,71.44847004007588
7,25,4,12,0,0,0,66.61774472407703
23,24,8,12,0,0,1,78.96847173738679
23,24,5,10,0,0,0,70.74944799603364
24,28,2,18,0,0,0,74.69468966551865
31,22,5,12,0,0,1,78.65719912412816
26,25,9,12,0,0,0,72.97420272665775
22,25,9,19,1,0,1,85.16710171180094
36,16,8,14,1,0,1,79.29592897200162
29,31,6,13,1,0,1,79.47897851161542
26,24,8,15,1,0,1,81.12058511497384
18,22,6,18,1,0,1,82.44474953087213
40,29,7,14,0,0,0,74.55231638359265
41,18,2,22,0,1,0,75.097202329328
31,19,5,23,0,1,1,85.8211111752075
17,26,8,11,0,0,0,69.8922394774515
19,23,5,19,0,1,0,75.37185531693603
21,29,5,8,1,1,1,75.36740037717387
24,22,5,17,0,1,1,83.77827119395292
24,17,11,19,1,0,0,76.32487915204237
30,29,4,19,1,0,1,83.87768340922301
27,22,5,24,0,0,0,78.21697466306179
18,25,5,19,0,1,1,83.00616535071778
36,27,4,19,0,0,0,76.77213301267491
38,27,6,18,1,0,1,84.25385042349856
24,23,9,19,1,0,1,85.08894044751281
20,27,8,12,1,0,0,70.27661988276853
35,22,4,16,1,0,1,81.66977266900285
20,34,6,13,1,0,0,72.10820608850364
11,24,6,14,0,0,0,69.98881559486446
25,20,6,19,1,0,1,82.4545701786709
21,24,8,13,0,0,1,78.41329996898747
23,20,8,11,1,1,0,71.11348560373874
31,30,10,15,0,1,1,85.4758103021601
32,23,3,19,0,0,0,75.43782195121187
36,12,7,18,1,0,0,72.17855345415377
50,31,3,17,0,1,1,84.26829796448408
14,30,7,22,1,1,1,86.89728835123093
24,19,4,15,0,1,0,72.46365960989486
18,27,5,14,0,0,0,69.56948206641212
16,25,9,15,1,0,0,71.69053583739309
24,24,2,14,1,1,1,79.10682762095988
27,23,3,14,0,1,0,70.94802323092077
33,24,7,18,0,1,1,84.38562894973286
25,27,4,13,0,1,1,78.84476097245341
30,25,4,21,1,0,1,84.04082865498572
23,18,5,11,0,1,0,70.28437569698866
36,27,7,22,1,1,1,88.46408760326423
34,31,10,13,0,0,0,74.3701023859984
24,27,4,19,1,1,0,76.65916902542354
2,23,2,20,0,0,1,78.55943635356836
8,26,7,15,0,1,1,80.30039340866828
19,20,9,7,1,1,0,65.39948250357386
20,19,7,17,0,0,1,80.31351192384292
21,21,6,9,0,0,0,67.59801485150237
25,23,3,13,0,0,0,69.89543581842216
12,17,4,14,0,0,0,69.34242128330833
20,23,3,21,0,0,1,81.73839486621999
23,25,10,21,1,0,0,78.76438929288024
19,28,6,18,0,0,0,74.7645978728693
29,28,4,15,0,1,1,81.41077432466658
10,20,1,13,0,0,0,66.98732727437756
23,26,8,11,0,1,1,80.07225854676643
8,28,7,13,0,0,0,69.3014626390667
16,18,6,8,1,1,0,65.99096903928073
23,19,6,10,0,0,1,75.77469939252191
31,23,10,25,0,0,1,88.60008787323811
38,21,5,14,0,0,1,79.48282152940824
43,27,9,14,0,0,0,77.27097028683677
36,21,4,11,0,1,1,76.80944040118231
35,16,7,9,1,1,0,69.31133409344844
25,23,8,12,0,1,1,78.66437159051607
37,22,3,9,0,0,1,75.32510898779725
22,24,6,22,0,1,1,83.53948939626933
29,22,6,14,0,1,0,71.91303496058921
22,19,9,13,0,0,1,77.82175211691636
9,26,7,19,1,0,1,80.43323791174953
34,26,4,18,1,0,0,75.22559690539175
27,22,5,8,1,1,0,66.83928578426949
23,21,5,19,0,1,0,74.6330612088695
29,25,6,17,0,0,1,82.66517283214066
10,17,3,10,0,1,1,73.87125615348093
43,28,8,13,1,0,0,74.60137862227218
25,24,2,9,1,0,1,72.42366814992745
25,24,6,12,0,0,0,69.80939575773986
40,21,4,18,1,0,0,74.89518393869301
24,16,6,15,1,0,1,79.23334320090308
26,21,9,20,1,1,0,78.98502928191553
34,23,4,18,0,0,0,73.48050995771173
15,19,6,17,0,1,1,79.52378755894239
45,15,3,14,0,0,0,70.94516981632566
28,21,4,18,1,0,1,82.42488941026772
48,21,3,15,1,1,0,74.35970830992468
23,27,6,13,0,1,0,70.74680890193598
34,29,8,12,1,0,1,82.38628080808958
25,26,6,19,0,0,1,80.88618522503832
27,28,9,15,1,1,1,85.02833617870328
13,19,5,13,0,0,1,75.42395108767417
16,28,7,7,0,1,0,67.01871346530861
17,17,3,19,0,0,1,80.53785618258345
13,22,10,14,0,1,0,73.58623040501593
34,26,5,21,1,0,0,77.27778130156409
22,24,6,16,0,0,1,80.40250453993407
13,20,4,16,0,0,0,70.4310750550807
32,28,7,20,0,1,0,78.19967781346544
42,18,9,12,0,0,1,79.61221458136767
33,22,9,17,0,0,0,76.00239891579254
42,17,8,20,1,0,0,78.10020637409033
25,19,7,12,0,0,1,77.5171960929649
31,25,7,14,0,0,1,80.70782812503447
23,20,7,9,0,0,1,73.96777259028929
28,22,6,16,1,0,1,81.15266001297621
22,26,7,12,1,1,0,69.87486372716285
26,27,7,21,1,0,0,77.36520358615896
15,28,6,10,0,0,1,73.93051477365881
37,20,4,16,1,1,0,72.9141190291301
20,23,2,12,0,0,1,75.05519056563509
14,19,3,16,0,0,1,77.25986818629656
25,29,10,11,0,1,0,73.48509270796367
30,25,5,8,0,0,0,68.13038582447524
14,20,5,18,0,0,0,71.21223052667222
19,16,7,9,1,1,1,76.58243928892772
18,27,9,15,0,0,1,80.32150965835544
31,25,1,15,0,0,1,80.14999465031156
10,25,5,14,1,0,0,70.77863913520505
26,23,11,14,0,1,1,82.14469569581921
16,25,8,16,0,0,0,74.70817586643518
43,20,4,17,1,0,1,79.59994285833933
38,27,6,20,1,0,0,77.66259258592436
38,27,8,6,0,0,0,69.00156181060036
27,25,9,30,0,1,1,91.5534433099618
38,27,5,16,0,0,0,73.02404023354381
29,11,5,25,0,0,1,84.53265329239271
29,21,6,15,1,0,1,79.18529770041046
26,25,6,15,1,0,1,81.18608944736002
23,27,5,18,0,1,1,82.87733838139759
25,23,6,16,0,1,1,81.47273192229856
14,31,6,17,0,0,0,72.43569984074662
14,19,7,21,0,1,1,82.81444925104488
37,24,7,17,1,1,1,83.25313993340812
11,20,8,9,0,0,0,66.88058092984997
20,21,7,17,0,0,1,80.34998630947547
12,22,4,12,0,1,0,70.80604957402394
16,23,2,13,0,0,1,75.5316585732214
12,19,3,25,0,0,1,83.3766347560253
43,22,4,10,0,0,1,75.22665111036926
35,29,6,24,1,1,1,89.63794800422521
21,30,4,19,0,1,1,84.4627744472774
24,20,5,16,0,1,1,80.25358936129314
7,23,4,18,0,1,0,70.95720571914063
32,16,6,25,1,1,1,86.0838542556776
36,20,6,19,1,0,1,83.57318130486104
28,23,4,17,0,0,1,81.00410251650582
30,23,2,18,1,0,1,80.34791163609991
33,26,9,13,0,0,0,75.0348993790306
19,17,5,17,1,1,1,80.652849383306
8,24,8,10,0,0,1,78.07834035971517
17,30,3,22,0,0,0,76.03653461840598
30,17,1,16,1,1,1,78.37924829308406
9,21,10,11,1,0,0,69.64863017187511
36,23,7,18,1,1,1,85.39861496205802
19,25,7,17,0,0,1,82.7361275257345
29,23,6,16,0,0,1,82.8340553128351
19,22,6,13,0,1,0,71.52284150619445
18,29,6,16,0,1,1,83.88986696381754
25,24,4,15,1,0,1,79.64984170735576
26,25,9,8,0,0,0,70.42911904235608
21,19,4,18,1,1,0,72.80066762569572
9,27,3,19,0,0,0,73.75440381002505
23,21,6,15,0,0,0,71.65871132984583
26,20,8,22,0,1,1,85.55105076311237
42,26,6,12,1,1,1,81.70620222699417
18,29,4,22,0,1,1,84.65957382439942
23,23,3,24,0,1,1,83.97874303176933
14,22,4,23,0,0,0,74.77613577529054
44,25,6,21,0,1,0,78.44529256114932
50,24,6,12,0,0,0,72.89569821501158
22,20,7,13,0,0,1,77.22976788450815
31,31,7,19,0,0,1,86.02181585222867
10,28,5,19,1,1,0,75.14628489855379
23,19,5,14,0,1,1,79.88562055944763
34,23,5,12,0,0,1,78.62338170902245
38,25,6,18,1,1,0,77.9455244926885
31,26,8,18,0,0,1,83.3504237855329
11,24,5,17,0,0,0,72.31167723388656
36,23,2,8,1,1,0,69.62783052719422
20,24,10,19,0,0,0,76.15222010864827
34,22,4,12,0,1,0,69.37381298829958
39,23,5,19,1,1,0,77.16373731108911
25,27,5,22,1,1,1,85.0886487932543
38,29,4,9,1,1,1,79.20801931759544
27,18,6,13,0,1,1,79.37657912875115
20,26,5,9,0,0,1,75.21643102527159
35,19,7,24,1,0,1,86.82059542966503
30,28,3,16,0,1,0,74.61944823732539
25,23,7,11,1,1,0,70.92874551382748
30,22,8,18,0,1,0,76.14915300541394
29,21,2,13,0,0,1,78.21078833705377
40,19,9,10,1,1,0,72.63623329232826
12,17,6,20,0,0,0,71.79481533703483
27,26,6,11,1,1,1,77.89623420467184
23,25,7,20,0,1,1,84.57844547381131
20,22,3,10,1,0,1,73.76950097240774
26,28,4,12,0,0,1,77.43574894985213
21,28,3,11,0,0,0,69.5627952554862
26,31,5,17,0,0,0,74.4759254715733
29,30,0,16,0,1,0,72.97532162207995
33,25,8,14,0,1,1,81.66666007842504
24,23,5,19,0,1,0,74.3598585685281
27,21,2,14,1,0,0,69.02987702654792
28,30,7,10,1,0,1,80.0403421611929
30,24,6,17,0,0,1,80.81867745364725
27,24,8,12,1,0,1,81.2463634322131
20,19,3,20,0,0,0,72.79219166528773
31,25,7,19,1,1,0,78.7256601785855
24,27,6,19,1,1,1,84.14063769014034
19,26,5,19,1,1,1,83.35798394298874
11,25,5,13,1,0,1,78.22185731985145
26,18,5,21,0,0,1,83.66279663902831
43,29,5,20,0,1,0,78.75209712778158
21,24,1,19,0,0,1,82.11616194002555
15,15,5,12,0,0,1,75.15124840319727
22,24,3,22,1,0,1,83.71488839353798
34,20,5,18,1,0,0,74.16071710036314
19,24,8,22,0,1,1,86.18570031386831
17,22,6,18,0,0,1,81.61259790064636
34,23,4,16,1,0,1,80.05191394701792
27,25,8,16,0,0,1,81.75340671346896
26,25,4,11,0,0,0,69.10369952715116
21,26,2,12,0,1,1,77.42567828191181
15,20,7,12,1,1,0,69.8233252975768
26,22,5,9,1,1,0,65.87886223358672
32,23,6,17,0,0,1,81.12655323975648
38,17,7,19,0,0,1,86.1431848321059
19,17,3,17,1,0,1,77.70781484346567
22,25,6,18,0,1,1,84.84286603999428
38,24,3,13,1,0,1,76.8969090173837
24,24,10,18,1,0,0,75.72221626759507
28,21,4,16,0,0,1,79.32472190790612
23,22,9,14,0,0,1,79.91197590580875
25,24,5,15,0,0,1,79.96039742646624
12,30,7,11,0,1,0,70.96092269134063
14,26,6,14,1,1,1,80.03638369953603
23,23,7,15,0,1,1,80.8884776151861
29,20,4,9,1,0,1,75.23461418137195
16,23,5,20,0,1,1,81.92251646776631
31,23,8,10,0,1,1,76.66003542532383
17,22,5,22,0,0,0,74.08157697646047
24,19,3,17,1,0,1,79.7920234602077
28,19,9,13,1,0,1,81.45610873439438
23,22,4,17,0,0,1,79.79090799945585
29,24,5,15,1,0,1,81.6042287302692
5,18,6,13,0,1,0,67.62084310492546
10,24,5,13,0,0,1,76.07561126916976
24,23,6,17,1,1,1,82.04513604153485
46,29,9,15,0,1,1,84.6011719904836
24,29,3,21,1,1,0,78.29980196807603
29,24,6,16,0,0,0,75.25338780118132
10,17,9,16,1,1,0,71.11137141638315
27,18,5,18,0,0,0,71.9330145128952
38,24,3,15,0,1,1,80.83369976521713
29,24,6,12,0,1,0,71.05430118340132
31,14,8,16,1,0,1,79.35327624696887
27,20,4,19,1,1,0,74.88938375521843
19,26,6,25,0,1,1,85.95287610880072
23,31,2,16,1,0,1,80.68349978324026
17,25,5,14,0,0,1,79.13402177443575
23,20,7,17,0,0,1,80.3965808726996
35,22,5,17,1,1,0,73.56271499357803
31,22,5,14,0,0,0,71.91198650559714
15,17,7,20,1,0,1,81.20268086328713
20,23,5,15,1,1,1,80.37324601503414
34,22,4,21,0,0,1,83.70652423551276
30,26,4,18,0,1,0,75.56044263547669
16,23,5,11,1,1,1,76.84280236365254
27,28,3,18,0,0,0,72.99778475522893
16,25,2,20,1,0,0,74.56853120955442
32,30,9,9,1,0,0,72.28519257586485
29,22,3,10,0,1,1,76.70934383844944
27,29,9,12,0,0,0,72.78813641266423
29,22,7,16,0,0,0,72.80194233467799
21,16,4,12,1,0,0,66.94213153878033
18,19,8,19,0,0,1,81.81809225448012
22,22,6,19,0,0,0,74.74474350455044
8,27,3,20,0,0,0,72.44252482650519
22,24,6,16,0,0,0,72.35288021854596
24,26,5,10,0,0,0,67.09318211389474
18,29,2,16,0,1,1,80.61839500441235
19,25,5,26,0,0,0,78.98517965289966
18,23,6,23,1,1,1,84.49859436178063
24,23,10,21,0,1,1,86.28779449487001
20,26,4,8,0,1,0,66.58942836222991
32,21,4,24,0,0,1,84.40479204567563
35,28,6,16,0,1,0,73.23958467345399
18,23,5,19,1,1,0,75.89862334682165
25,31,2,21,0,0,0,75.91579795572409
8,21,5,22,0,1,0,74.59030102153592
10,28,0,18,0,0,0,70.84535139211758
37,20,7,19,0,0,1,83.75691433919955
25,16,7,18,1,1,0,73.4297243969822
11,28,4,21,0,1,1,83.50898753381195
30,26,4,20,1,1,0,77.65763934963415
31,25,8,13,0,0,1,82.66441227463633
18,19,5,8,1,1,0,66.97009962050456
25,26,6,7,1,0,0,66.1276218946771
41,13,7,15,1,0,1,80.05800902908358
42,30,4,20,1,0,1,86.25483996145091
38,22,6,26,0,1,0,81.38092386842911
36,23,6,20,0,0,1,83.43675401576961
6,26,6,20,0,1,0,74.23493869136175
23,28,4,11,0,0,1,77.88972798690487
34,19,4,13,0,0,0,71.22482081908731
28,10,9,18,0,1,1,82.48258247971988
