defendant_age,lawyer_experience,severity_of_crime,previous_convictions,received_legal_aid,accepted_plea_bargain,participation_in_restorative_program,recidivism_rate
13,17,7,1,0,0,0,70.89165753945238
25,29,5,0,1,0,1,86.75553149249025
18,28,6,1,0,0,1,81.85514498013654
9,25,5,0,1,1,1,75.49882679651722
26,22,7,0,0,0,0,79.78912190025679
27,23,5,0,0,0,0,81.53735488643466
26,26,3,0,0,1,1,85.71784490528545
14,21,12,0,0,0,0,73.79717142465432
16,21,2,0,0,0,0,71.89807993997344
46,20,3,1,1,1,0,94.76183180967875
31,23,4,1,0,0,0,85.5745524971963
18,19,3,1,0,1,1,75.32873053630766
31,16,7,0,0,1,1,84.35575780763712
14,25,3,1,1,1,1,75.61687747064862
26,23,9,1,0,0,0,82.99263798839885
16,24,5,0,0,1,1,77.15222625659271
31,26,3,1,0,1,0,85.50386288060322
27,23,11,0,0,0,1,84.97745497400389
30,22,5,1,1,0,0,83.80823763017389
24,28,5,0,0,0,0,81.78274534752902
13,27,5,0,1,1,1,76.56905656873339
26,27,10,0,1,0,1,87.67601359178146
25,13,2,0,1,0,1,78.65768253143399
29,19,4,0,1,1,1,83.8751411062096
34,29,9,1,0,0,1,93.88170929148528
24,23,6,0,1,1,1,84.00556858064898
25,26,6,0,1,1,1,84.6862502296824
4,25,4,0,1,0,1,67.65067153977843
23,24,4,0,1,0,1,80.4220010073195
23,22,9,0,0,0,0,79.4235627967028
36,24,8,0,1,1,1,92.9244018109054
10,32,9,1,0,0,0,76.86544432923787
36,27,5,0,1,0,0,90.93155111638896
17,27,8,1,1,1,1,84.04130651745153
24,20,5,1,1,0,0,78.23180301218939
21,22,8,0,0,0,1,79.9907820072336
22,21,9,0,0,1,0,78.49599307076626
38,21,7,0,0,1,0,90.04048904266399
39,26,5,1,0,0,1,95.57780593621568
33,23,4,1,0,0,1,89.43110047718459
48,24,6,1,1,0,0,98.99612298863477
19,18,4,1,0,1,1,77.58325937345455
16,26,1,1,0,1,0,73.186711429122
36,20,8,0,1,0,0,88.85581752616604
41,28,8,0,0,1,0,96.43742337210185
10,18,7,0,1,1,0,67.6909959434585
14,29,6,0,0,0,0,75.33753275674928
38,22,4,0,0,1,0,90.00276041799789
35,26,5,1,0,1,0,89.27662643114785
41,29,7,0,0,1,0,96.25042904818488
31,35,6,0,0,1,0,91.08451858448797
11,21,4,0,1,0,0,68.36587419061395
22,27,7,0,0,0,1,82.39118778633362
6,30,6,0,1,1,1,72.78208704960375
26,27,5,1,1,0,1,85.2538946029021
2,22,7,1,0,0,0,63.07534476925382
36,15,6,1,1,0,0,85.15542631854439
28,26,5,1,1,0,0,84.83093389616047
21,24,9,0,0,0,1,81.88820226894454
12,22,9,0,0,0,1,75.2196538084968
46,19,3,1,0,0,1,96.37106779354004
25,15,3,1,0,0,0,73.94377724420332
27,25,2,0,1,0,1,84.32795967064692
17,26,5,0,0,1,0,77.08233134420347
21,18,5,1,1,0,1,78.79691573485046
20,30,3,1,1,0,1,81.01947555386829
13,23,6,0,0,1,1,74.77400042992254
23,18,4,1,0,0,1,80.03751462125481
15,17,4,0,0,0,1,72.42299028607204
20,22,6,1,0,1,0,77.5283794191578
38,24,3,1,1,0,0,88.56930729863784
11,25,10,0,1,1,1,75.92093832151244
28,21,1,0,1,0,0,80.37519755558024
29,24,7,0,0,1,1,86.39953044875897
20,19,7,0,1,0,0,75.47165207834063
28,25,3,0,1,1,1,86.75510110307941
20,22,6,0,0,0,1,78.15350591053871
13,22,5,1,1,1,1,74.50141997233781
15,27,6,0,0,0,1,75.73857287134008
39,19,7,0,0,0,1,90.98997797077254
31,21,3,0,0,0,1,85.94263943938603
30,17,3,0,1,0,1,83.16327533160553
29,24,7,0,0,1,1,88.53347555876874
28,28,6,1,0,1,0,86.31633913314806
19,10,4,0,0,1,1,72.11744583531215
25,28,2,1,0,0,0,81.74953022582173
21,26,9,1,1,0,0,79.1027599297991
34,23,6,1,0,0,0,87.28807116224397
33,26,5,0,0,1,0,87.73863580859701
17,24,2,1,1,0,0,75.82379756565051
38,23,9,0,0,1,0,91.30427854550628
16,22,8,0,0,1,1,78.40396338029164
8,19,7,1,0,0,0,67.53009122455784
24,29,1,1,0,0,0,83.15141426832773
12,28,7,1,0,1,1,77.9848820590854
21,22,4,0,1,1,0,79.9589297905319
20,24,4,0,0,1,0,76.7204358136238
18,20,4,1,1,1,1,79.2314701645433
48,18,4,1,0,0,0,93.75100534271644
26,17,9,0,1,0,0,79.76986850264502
25,23,3,0,1,1,0,79.43486881749838
25,25,6,0,1,0,1,84.59219116879957
12,24,3,0,1,0,1,71.67977920613954
14,17,5,1,0,1,0,70.0316537298271
33,17,4,1,1,1,1,85.90914305875596
28,26,5,0,1,1,0,83.38813201614695
19,24,5,1,0,0,0,75.46208174761387
26,18,6,1,1,0,0,77.27011910921878
15,25,6,0,0,0,1,75.71983189088698
31,17,6,1,0,0,1,83.42384214750193
52,27,6,0,1,0,0,102.13974592244632
25,22,5,1,1,0,0,81.35802522560216
35,22,5,1,0,0,1,88.59335105492235
47,21,7,1,0,0,0,95.90631092170956
-2,25,6,1,0,0,1,64.81011435506676
23,27,6,0,0,0,1,84.03804126444868
23,25,7,0,1,0,1,82.90381448028566
38,25,6,0,1,0,0,89.5294090100627
33,25,6,0,0,0,1,88.97687790241277
34,25,7,1,0,1,0,88.75963693615167
17,17,5,1,0,0,1,74.40685509793106
35,21,3,0,0,0,1,89.44194439884949
12,26,7,0,1,0,1,74.8996453930208
30,24,8,1,0,1,0,87.68170866689557
28,25,5,1,1,0,1,86.69019142344126
32,25,6,0,0,1,0,88.00768783185264
6,16,9,0,0,1,0,63.37541734769451
26,25,10,1,0,1,0,84.55972049681165
16,21,5,1,0,1,1,74.20814458974908
4,22,2,0,1,1,0,64.34863532639925
25,22,9,0,0,1,0,83.79690179261104
21,24,7,1,1,0,0,78.55671182657335
28,23,7,1,1,1,1,86.96819990655395
10,21,5,1,0,0,1,71.12403563219127
18,24,6,0,1,1,0,76.97278768106156
29,22,11,1,1,0,0,86.68402408008085
40,21,8,1,1,1,0,93.04017672647667
-2,26,5,1,1,1,0,63.219357814472616
38,19,5,0,1,0,0,89.99053472880725
30,20,7,0,1,0,0,83.33982570450797
36,25,5,1,0,0,0,89.28240501494557
24,30,1,1,1,1,0,80.91588598522225
33,32,6,0,1,0,0,92.12060280333564
35,22,5,1,1,1,1,89.96057567071216
37,25,9,0,1,1,1,93.81514499092296
29,26,5,0,1,1,0,86.49790430088748
14,25,5,1,1,1,0,75.71199014850994
19,19,9,1,1,1,1,80.62472508462484
26,22,5,0,1,0,1,83.3861494114662
44,23,6,0,1,1,1,96.96596737211948
19,25,7,0,1,0,1,79.79683943358265
10,28,4,1,0,1,0,72.27298863833819
14,17,6,1,0,0,0,70.48365231147588
56,23,3,1,0,0,0,102.70092283357585
31,22,2,0,1,1,0,84.32044100499701
15,21,2,0,1,1,0,72.29886945516523
14,31,7,0,0,1,0,75.90527675457817
31,23,5,1,0,0,0,85.47788071002778
15,25,3,1,0,0,1,77.81534950977081
28,33,2,0,1,1,0,85.65017039277058
24,24,6,0,1,1,0,80.95857597305931
33,23,8,1,1,0,1,90.877802513371
27,22,2,0,0,1,1,84.16405886824707
12,23,5,0,0,0,0,71.15997161384851
21,24,9,0,0,0,0,80.25995527450544
26,16,9,0,0,0,1,79.9618542553047
29,20,5,1,1,0,0,82.94169086655407
32,26,8,0,0,0,0,88.16172301638979
19,18,7,0,0,1,0,75.67443679299312
24,21,6,0,0,1,0,78.05767203835117
30,20,5,1,1,0,1,85.75518264820185
29,15,6,0,1,0,0,78.91524505413942
30,17,7,1,0,0,1,84.72461881496604
24,21,5,1,0,1,1,82.25477927685654
16,23,5,1,1,1,0,72.39176615529603
21,23,9,0,1,1,0,80.1322229748079
14,25,5,0,1,1,0,76.30869095638563
26,25,2,1,0,0,0,81.26988509663319
22,18,7,1,0,0,1,80.87693863533224
7,24,9,0,1,0,0,69.98882630725313
27,22,5,0,0,0,0,80.78869343786297
12,23,9,1,0,0,1,75.9380613391128
14,31,6,0,1,1,0,77.00573315835777
6,19,4,1,1,1,0,64.40850733485647
6,25,7,1,1,0,1,69.69319584606068
26,17,6,0,0,1,0,78.629128283323
2,23,7,0,0,1,0,64.52426254477936
26,22,5,1,1,1,1,82.672277464454
15,22,7,1,0,0,0,73.69576989256937
19,21,6,0,1,0,1,78.12509977764913
38,23,4,0,1,0,1,90.67364734010316
22,23,6,1,0,1,1,81.73133141797047
23,25,7,0,0,0,0,80.46591946260476
17,28,3,0,0,1,0,75.59168560050774
17,22,9,0,0,1,1,77.48090941064673
21,29,4,0,0,0,1,82.20883148646432
35,28,7,0,0,1,1,94.34087853961594
19,30,5,1,0,0,0,79.94257971263993
35,21,5,0,1,0,1,87.9772284302804
14,28,4,0,1,1,1,79.06096904177726
21,23,4,0,1,0,0,77.66415805095872
32,30,8,1,1,1,1,94.01614199170383
26,22,9,0,1,0,1,84.5883409817338
31,27,4,0,1,1,0,86.84859677174944
11,31,3,1,1,1,1,76.71609602006112
24,21,6,0,1,0,0,79.91413291709458
14,21,7,0,0,0,1,74.49023154150134
14,30,4,0,1,0,1,77.3538365838654
30,21,7,0,0,0,1,86.1348632522558
21,32,8,1,0,0,1,84.5246671439081
27,21,8,0,0,0,0,81.4790034776131
33,21,5,0,1,1,1,87.89171654523584
14,19,4,0,1,0,1,72.27847300606989
35,28,6,1,0,0,0,91.21789910936266
21,23,5,0,0,0,0,77.70690962476823
24,19,2,0,1,1,0,76.44580851515566
30,20,5,1,1,0,1,85.95280526549527
21,24,5,0,1,0,1,80.33970232506255
7,30,6,0,1,1,0,72.59171932237797
33,24,9,0,0,1,1,90.01109564179443
15,23,4,1,0,1,0,75.03753199630992
45,17,6,0,0,0,1,94.12760138389602
31,20,5,1,0,1,1,85.35397719232328
31,27,6,1,0,1,1,91.64555663318382
18,15,7,1,0,1,0,72.90834721268283
2,20,4,0,0,0,0,62.02060728167868
29,22,8,0,0,0,0,84.20855316377967
25,20,3,1,0,0,0,80.56562897646897
45,29,5,0,0,0,0,96.94443974885183
19,28,8,0,0,0,0,80.00755751516115
28,25,4,1,1,1,1,87.63288397490747
6,21,4,1,0,0,0,65.84971667676751
27,33,5,0,0,0,0,86.81472621595213
24,22,8,1,1,0,0,80.9513343700201
35,25,6,0,0,0,1,90.3572800852702
19,21,7,0,0,1,1,78.23024187700317
25,32,7,0,1,0,1,87.26154695891228
35,20,7,1,0,0,0,84.86321848649538
24,22,7,0,0,1,1,81.3662178957041
27,27,4,0,0,1,1,84.78901432713569
25,25,4,1,1,1,1,84.47848172340217
11,19,5,0,0,0,1,70.28598395808096
13,26,6,1,0,1,0,74.66941260653749
28,26,6,1,0,0,0,84.27881291620561
29,25,1,0,0,0,0,84.21256763033739
18,12,5,1,0,1,0,71.43331663688058
40,26,4,1,1,1,1,96.32570976446756
38,28,5,1,1,1,1,95.72667370117486
23,28,4,1,0,1,0,82.29659330358531
29,22,4,1,0,0,1,83.60580085617596
11,25,7,1,0,0,1,75.69145563196072
32,21,3,1,0,0,0,84.28781603701735
22,26,6,0,0,0,0,80.62273318134041
13,22,2,1,0,1,0,69.62661083032923
12,21,2,0,0,1,0,69.82450790747353
14,27,6,1,1,0,1,78.25350152146754
35,23,5,1,1,1,0,87.95309716842948
9,26,6,0,0,0,1,71.97167299347001
16,25,2,0,1,0,1,74.4827021016635
23,25,5,1,1,1,0,80.53995853859755
30,21,4,1,1,0,1,86.13989402724066
22,22,11,0,1,0,0,78.95625808143232
27,20,9,0,0,1,0,81.63920692295628
23,22,7,1,1,0,0,79.43945531416796
27,20,7,1,0,1,1,83.6739246855683
27,20,1,0,1,1,0,79.20749586972454
16,26,6,1,1,1,0,76.2727950784276
21,21,7,1,1,1,1,81.49322029148267
16,32,6,1,0,1,1,82.45026528270282
26,20,3,1,0,0,0,79.82160087419098
54,18,5,0,1,0,0,97.55848027378585
18,31,8,1,1,0,0,79.86966819442404
31,21,6,1,1,1,1,89.193441044862
24,28,2,1,1,1,0,82.91496350356083
34,28,6,1,1,0,0,91.2886925606849
29,25,7,1,0,0,1,87.0297441807271
7,24,5,0,0,0,1,69.05636985504289
18,33,8,0,1,0,0,80.56464558585589
14,26,3,0,1,0,0,72.25283781073746
18,21,3,1,0,0,1,76.190282751306
8,23,6,0,0,0,1,70.48062206361716
21,18,3,0,1,0,0,76.11830527776348
35,30,5,0,0,1,0,90.89600825221002
29,29,6,0,1,0,1,89.2689093931606
29,19,7,0,0,0,0,81.23319753999404
17,14,10,1,0,0,1,72.30557376197198
20,28,5,0,0,0,0,76.58088946893334
29,27,7,0,1,0,1,87.28712313142283
18,18,1,0,0,1,0,70.9964016151735
38,28,2,0,1,1,1,94.63020872544747
34,25,6,0,1,0,0,89.04821582513279
16,19,5,0,1,1,0,73.19043897538175
32,24,4,0,1,1,0,86.58729406404805
17,20,7,1,1,1,1,77.1251873528982
33,26,2,0,0,1,1,89.60207884042134
26,25,7,1,0,0,0,83.30123114372589
1,23,6,0,1,0,1,65.32915333794145
23,22,5,0,0,1,1,81.35661008528567
25,25,6,1,0,1,0,82.21664167166621
29,27,7,0,1,0,0,85.93496673548233
23,28,6,0,0,1,1,86.06804862592989
28,26,4,1,0,1,0,83.71825539539452
28,21,3,0,1,0,0,80.71904593538353
34,27,1,0,1,1,1,90.20636452272473
22,13,6,0,1,0,1,75.99016111890622
26,29,4,1,1,0,0,84.62872101901503
22,26,4,0,0,1,0,80.00845579119972
25,23,5,0,0,1,1,85.27647247789332
19,23,9,0,0,1,0,77.33658153224023
24,25,5,0,1,0,0,81.19207745951644
42,25,8,1,1,0,1,99.12796183368724
15,28,8,0,0,0,0,77.25340357869268
20,27,8,0,1,1,0,81.60649297586737
36,10,4,1,0,1,1,85.33068248980247
21,23,7,1,0,1,1,81.61524253299159
15,19,6,0,1,1,1,74.10313083198717
37,27,6,1,1,0,1,93.36647913619493
24,21,3,0,1,1,0,77.93177256398815
29,24,7,0,1,1,1,86.72707593629345
8,22,5,1,1,1,1,71.91219499826555
35,19,6,0,0,1,1,90.32099004010416
25,21,8,0,0,1,0,80.44223087305446
13,27,8,0,0,1,1,78.42381224712929
26,24,6,0,0,0,0,80.77552241460805
32,14,6,1,0,0,1,83.6310196094894
25,23,6,0,0,0,0,79.9634142065525
20,26,5,1,0,0,1,80.97750781672995
20,26,3,1,1,1,1,79.27703016575236
16,21,6,1,1,0,0,73.09221893217452
28,24,7,0,0,1,1,86.1705952402869
15,20,3,0,1,0,0,71.73907302495574
15,24,5,0,0,0,1,75.24880769136004
22,25,4,0,1,0,1,81.91033302629602
15,19,4,0,0,1,0,72.96447619869957
34,29,7,1,1,1,0,92.6433018553702
44,19,3,1,1,1,1,95.41732985911842
27,33,5,0,1,0,1,89.18681925495547
25,20,4,0,0,0,1,80.07222710585643
24,27,7,1,0,1,0,83.14219928752006
32,20,7,0,1,0,0,83.45147929343248
25,19,8,0,1,0,0,77.51086783348104
40,20,6,0,1,0,1,91.65208650899976
15,26,6,1,0,0,1,77.98667199588668
31,22,3,0,1,0,0,85.63854200042321
40,21,0,0,1,0,0,88.48762257728536
36,26,6,0,0,1,1,91.0896355320106
27,19,6,1,1,0,0,82.72288738911313
41,24,3,0,0,1,1,92.99602433634963
40,21,4,0,0,1,1,93.82680453463186
25,31,3,1,1,1,0,82.93251069959952
18,20,3,0,0,0,0,71.8378333720293
15,18,1,0,1,0,0,69.47766530201037
35,28,5,0,0,0,0,91.25331998178632
21,21,3,0,1,1,0,76.48889144732891
12,24,7,0,1,0,0,72.46848244623871
24,30,5,1,0,0,1,84.40698518380839
35,23,6,1,0,0,1,90.21848955568396
16,28,0,1,0,1,1,77.62603801788545
26,22,8,1,0,1,0,81.49639212710674
25,27,4,1,1,0,0,80.57558196591367
12,23,6,0,0,1,1,76.20594942406481
25,24,6,0,0,0,0,79.18284586902402
26,23,2,0,1,0,0,81.647710396587
28,18,4,1,0,0,1,82.72309702730445
30,28,9,1,0,1,1,93.3072673079959
21,26,3,1,0,0,1,80.28527675649839
28,16,6,0,1,1,0,81.20802897629997
3,23,7,1,1,1,0,66.95435349225546
14,22,5,0,1,0,0,71.45262715477436
25,28,5,0,0,0,0,82.18960368514124
