age,education_years,previous_month_income,gender,rural_residence,previous_beneficiary_status,job_training_participation,current_month_income
37,24,12,1,1,0,0,57.95651657953194
40,17,12,1,0,0,0,59.088202160156094
34,29,4,1,0,1,0,58.48236193510876
22,29,7,1,1,0,0,57.64554714351007
27,21,4,0,1,0,1,60.01475609160121
41,18,9,0,0,0,1,60.63925725066622
28,14,11,1,1,1,0,52.554516373529424
27,15,8,0,0,0,1,57.77685493231477
35,22,11,0,1,1,1,61.57022584891182
35,11,13,1,1,0,0,53.83926559011713
31,21,10,0,0,1,1,60.560628771323216
25,13,8,0,1,1,1,58.022723511924085
32,25,4,0,0,1,0,58.54262725447874
24,18,11,0,1,1,1,59.22566485002972
27,15,5,1,0,1,0,54.52152603091263
31,12,5,1,0,1,1,56.94203804534549
36,19,7,0,0,0,0,56.9312491929094
15,18,7,0,0,1,0,54.52555802943803
31,15,11,0,1,1,0,53.80979758427962
20,18,16,1,0,1,1,58.5224017112112
27,23,10,0,0,1,1,60.51949015008275
35,31,4,0,0,1,1,62.96777201466209
25,31,14,0,0,1,1,62.8592301759305
26,10,11,1,1,1,1,55.67738745237202
21,15,10,0,1,0,0,53.13638470997593
42,10,5,1,0,0,0,56.37837578609636
29,18,11,1,1,1,1,58.44352930360331
36,22,10,1,1,1,0,58.07293531569251
30,9,10,0,1,0,1,56.77392137842229
21,27,8,1,1,1,0,59.82808098443103
24,34,9,1,1,0,0,58.233470263285575
32,22,14,0,1,0,0,55.87074952349497
33,16,11,1,1,1,1,58.54422527353956
35,18,12,1,1,1,1,59.614821469490174
22,20,11,1,1,0,0,54.73563700925372
31,25,12,1,1,1,1,60.52711033772974
18,25,10,1,1,0,0,55.45712177409871
41,25,13,0,0,1,1,63.08236616479097
37,11,7,0,1,1,0,54.91443972131511
39,21,12,0,0,1,1,61.356957347077824
31,29,8,1,0,0,1,61.88575981038467
24,20,7,1,1,0,0,53.48745568920209
35,21,11,1,1,0,0,56.74222020532059
21,31,10,0,1,1,0,57.76023069169616
37,20,5,0,0,0,0,57.43004677997545
19,11,9,0,1,0,1,53.52919859587384
22,24,6,1,0,0,1,58.23716104372745
25,25,8,1,0,1,0,56.5634459381221
22,15,9,1,0,1,0,55.358615888840895
23,19,5,1,0,1,1,56.963921550048745
32,17,8,1,1,0,1,58.55096856527884
28,28,14,1,0,0,1,61.19934494650226
22,14,8,0,0,0,0,54.83275042459063
42,25,7,1,0,0,0,58.37391298223426
35,17,7,0,1,1,0,57.145312815524896
28,20,10,1,1,1,0,55.68623259563496
36,18,13,1,1,0,1,57.752614792285
34,28,13,1,1,0,0,59.17277238212469
36,23,11,1,1,0,0,58.66103718714181
24,24,13,1,1,0,0,56.37990931455872
24,19,8,0,0,1,1,59.63803382966336
23,9,10,1,1,1,0,55.73695628241013
30,25,14,0,1,1,1,61.99346528859581
25,14,8,0,0,1,1,59.90521900198188
33,18,5,1,0,0,0,57.61821398896063
29,19,12,0,1,1,0,57.01459679115347
33,23,7,1,1,1,1,59.58453887631767
38,17,9,0,0,1,1,60.99029548780592
32,21,8,0,1,0,1,57.88720713723344
40,7,7,1,0,1,1,56.20311626143711
44,19,7,0,1,1,1,59.75016808091379
16,32,11,0,1,0,0,58.11547758153411
28,28,11,1,1,0,0,57.92002958987048
38,10,8,1,0,1,0,55.86089012376386
30,30,10,1,0,0,0,59.053952644667504
29,27,11,1,0,0,1,60.81916107651645
21,35,15,1,1,1,0,60.071210015215776
24,31,8,1,0,1,0,58.77495370629244
39,29,6,1,1,1,1,61.208116160516425
31,13,4,0,0,0,1,59.175858736674286
15,16,6,0,0,1,1,56.665393723636576
28,17,14,0,0,0,1,59.70902794996891
23,17,4,1,1,1,1,57.12701044078535
16,14,9,1,1,0,0,52.55500188271455
24,13,12,1,1,0,0,53.630061729407466
36,17,12,1,0,1,1,60.73054414786903
41,17,11,1,1,0,1,56.21109777693922
31,23,10,1,0,1,0,59.06466764088625
39,25,4,1,1,1,0,57.01089664325587
42,5,14,0,0,1,0,55.48278319992212
26,19,10,0,1,1,1,59.34269007641978
42,16,12,1,0,1,1,60.20465054024736
30,23,4,0,0,0,0,57.87321378213435
19,9,15,0,1,1,1,56.57661462108
22,24,7,1,1,1,0,57.25409058941216
20,27,14,1,1,0,0,55.58007002800151
25,25,14,0,0,0,1,59.92875424714804
35,21,9,1,1,1,0,58.90826826971537
38,32,14,0,0,0,0,61.83319145622183
32,30,10,1,0,0,0,59.582087958765136
27,15,3,1,1,0,0,51.31269515023414
4,21,13,0,1,0,0,55.27150274843687
25,21,11,1,1,0,0,56.20976843059444
27,24,8,1,1,1,0,57.22826909143954
29,14,8,0,1,0,1,57.37393966182331
21,18,13,0,0,0,0,54.881836303758426
26,12,12,1,1,0,1,57.09234138759893
16,23,7,1,0,0,1,57.323728466121
36,22,10,0,1,0,0,58.242417569821406
32,30,10,0,1,0,0,59.67880036037994
23,8,5,1,0,1,1,56.34619501726623
35,18,15,1,1,1,1,60.64028069229817
36,23,9,0,1,0,0,57.4057694594754
24,17,9,1,0,0,0,54.70284895168508
30,21,13,0,0,1,0,59.1967452031054
28,37,6,1,0,0,1,63.22434925768918
37,21,7,0,0,1,1,60.92005024172536
29,8,10,1,0,0,1,55.419959457588384
23,14,11,1,1,0,0,51.352492555666124
36,16,5,1,1,0,0,54.927737453139535
19,14,16,0,0,1,0,53.95366499854156
24,16,4,1,0,0,0,52.460334534077376
47,23,13,0,0,1,1,61.50893295213511
35,16,9,1,0,0,1,58.67118468572424
46,19,5,0,0,1,1,60.73672621840335
32,16,5,0,1,0,1,58.08543541121229
41,23,8,0,0,0,0,58.64367001301995
32,26,6,1,0,0,0,55.64502746683311
29,26,1,0,1,1,0,58.400268714851066
18,27,5,1,0,1,1,60.00241520245763
25,13,9,1,0,0,1,57.085455548775045
8,20,11,1,1,0,1,55.67835275235786
9,18,10,0,0,0,0,54.33062789713849
27,8,7,1,0,0,0,52.87161258754633
44,32,1,0,1,0,0,61.32743240226127
17,20,12,1,1,1,1,58.2431259958477
22,28,13,0,0,1,1,62.033914656716725
34,18,7,1,1,0,0,55.80046577690806
21,8,11,1,0,1,1,54.99047986886966
32,19,12,1,0,1,1,58.167677295417406
49,5,10,0,0,0,1,56.8471536441014
30,16,13,0,1,0,0,55.46609536855575
30,19,14,1,0,1,0,58.933995545701706
25,25,9,1,0,0,0,56.71828166173528
23,24,6,1,0,1,1,59.43294124141786
47,26,11,0,1,0,0,60.185933613221685
24,24,10,1,0,0,0,56.74409939273974
27,23,5,0,0,0,0,57.15466185111065
26,27,4,0,1,0,1,58.71800905530966
34,27,10,0,0,1,1,62.36797564432384
50,19,6,1,1,1,0,57.93654719685517
25,19,8,1,1,1,0,55.65759513419271
26,12,9,1,0,0,0,52.76262102968472
37,20,13,0,0,1,1,61.4955936387637
31,23,4,0,0,1,0,58.69750183702613
23,21,13,1,0,1,1,58.68037980056099
32,15,8,0,1,0,0,56.45914265029168
35,28,6,0,1,1,1,62.4477814688399
32,13,9,0,0,1,1,57.34338260002424
24,26,7,0,0,0,0,56.621982643223454
27,18,11,1,0,0,0,58.80869170050709
21,37,13,1,1,0,1,63.35779563169779
37,28,11,1,0,1,0,60.42348335109629
29,26,8,0,0,0,1,62.41801071847803
29,14,7,1,0,0,1,57.491532044379824
31,24,6,0,1,1,1,60.87459999559246
30,16,9,0,1,1,1,58.72299418009802
43,20,14,0,0,0,1,61.81730129389747
31,21,8,1,1,1,1,59.22917485815239
39,27,10,0,0,0,0,60.23415556098828
30,7,8,0,0,1,1,56.44987753524181
29,15,12,0,1,0,1,59.15209139492906
24,32,13,1,0,1,0,60.78034644360677
28,26,14,1,0,0,0,58.577391278064646
25,20,3,0,0,1,1,59.67387670751253
40,15,6,0,1,0,0,54.68287127593982
33,15,11,0,1,1,1,56.73838970928823
44,28,12,0,1,0,0,60.54088974760041
22,16,8,0,1,1,1,58.18721366907288
19,26,9,0,0,1,0,59.29084911580572
25,14,8,0,0,1,1,56.05400292955331
43,17,8,1,0,1,1,62.11102851967444
31,8,2,0,1,1,1,55.51459766747477
24,26,7,1,0,1,1,58.69983634244766
38,14,8,1,1,1,0,56.21545908592525
33,14,7,1,1,0,0,55.99935167566525
20,18,13,0,0,1,1,59.349861687481386
37,20,9,0,0,0,1,61.18328865426832
7,22,5,0,1,1,0,54.253409200487575
37,18,14,1,0,1,0,58.14903633560463
31,30,9,0,1,0,0,58.44292269776314
47,9,8,0,1,1,1,56.842012029512674
40,13,8,1,0,0,0,56.37983032896717
21,28,11,1,0,0,1,60.63850651479976
37,25,14,0,0,0,1,62.852330405313
30,14,8,1,1,0,1,55.82808851625087
43,24,7,0,1,0,0,60.590477001927454
26,32,11,1,0,0,0,58.695607631257
33,25,11,0,0,1,1,62.14141675145434
32,15,7,0,0,1,1,58.97634729767247
34,23,9,0,1,1,0,60.6571172785929
20,11,9,1,1,0,1,53.81940730316379
33,6,10,1,0,1,1,56.18970919381907
40,16,13,0,1,1,0,56.54490198382247
24,25,8,1,0,0,0,57.09617710798023
28,21,1,0,0,1,0,57.495990539989
29,17,7,1,1,0,0,52.37023516527337
16,18,9,0,0,0,0,56.228750363915445
34,17,8,1,1,1,0,54.99396452202426
19,13,13,1,0,0,1,57.29607182894196
8,25,15,0,1,0,1,59.555835826682014
31,14,3,1,0,0,0,54.85760601733499
37,16,8,1,0,0,1,59.32027815841103
35,22,15,0,0,1,0,58.76694962584499
20,19,10,1,0,0,1,59.09444314781106
18,27,2,0,0,1,0,58.28824112221563
28,22,9,1,1,1,1,58.56451913298191
19,33,5,0,0,0,1,62.013907324116005
35,15,4,0,0,1,1,60.33596476941939
28,25,6,1,0,0,1,60.914508798877456
31,27,10,0,1,1,1,61.79822335029572
23,23,15,1,0,0,1,61.1195569262422
32,24,13,1,1,1,0,57.48680311723439
38,19,9,0,1,1,0,58.27155252699872
30,16,9,1,0,1,1,59.83775696458149
30,17,15,0,1,1,1,58.57552245260815
30,14,9,0,0,0,0,55.17368550088433
15,27,7,0,0,0,1,60.10921729075676
35,23,10,1,1,0,0,56.84698315840738
30,4,20,0,0,0,1,55.97264728831843
13,10,14,1,0,0,0,51.73950534315243
28,26,10,1,1,1,0,56.77596072463455
27,20,8,0,0,0,0,55.48153672596301
20,19,9,1,0,0,1,57.77847216866671
34,19,15,1,1,1,1,59.87612202401377
16,18,8,1,1,1,1,57.538539474522494
23,15,6,0,0,1,1,56.19951318228056
23,25,8,0,1,0,1,58.7386895133134
21,12,11,1,1,1,0,53.01724052937592
38,21,8,0,1,1,1,60.662211527574414
28,16,9,0,0,1,1,58.817452647285926
32,16,14,0,1,0,0,56.255310622421625
32,20,6,1,0,1,0,57.63121632753199
10,20,7,1,1,1,0,56.09865930481038
29,28,14,1,1,1,0,57.52692722124084
29,23,8,0,1,0,1,58.82177340522651
35,30,10,0,0,0,1,64.35735514599756
47,18,4,0,1,0,0,57.228014743381806
32,16,13,1,0,0,1,56.64772899259971
28,25,11,0,1,0,1,59.32944454077635
32,11,9,0,1,1,1,58.08768936701762
35,27,8,0,0,0,1,61.32859959095232
33,20,12,0,0,0,1,59.892572474092205
44,11,15,0,0,1,1,62.06456409227525
24,31,17,1,0,0,1,59.67569186369129
41,18,14,0,0,0,0,57.48592879021863
38,14,11,1,1,0,0,56.558746253809126
29,14,8,0,1,0,0,53.98793312649563
25,18,13,1,0,1,1,58.359964547668426
30,21,15,1,0,1,1,61.90491781349671
27,13,8,0,0,1,1,58.34166543406332
32,16,10,1,0,0,0,53.74251851196492
38,24,9,0,0,0,1,61.41348898500795
30,18,9,0,1,0,0,54.5184700953059
21,26,9,0,0,0,0,59.50211819232472
21,26,6,0,1,1,0,56.92426976787932
20,10,10,0,1,0,0,53.14150295931687
47,17,10,0,1,0,0,57.081207914051
28,27,6,1,1,1,0,57.57243025785456
30,25,15,1,1,1,0,58.53048681888489
24,28,14,0,1,1,1,60.13894539191262
30,27,11,0,1,1,0,58.9946385970296
35,10,10,0,1,0,1,56.98678792124121
31,19,8,0,0,0,1,59.34641280986054
37,19,14,0,0,1,1,60.72008332205027
45,17,12,0,0,1,1,60.41693761220285
22,15,13,1,1,1,0,54.30169770222316
16,26,12,1,1,1,1,59.5747920327831
22,18,11,1,0,0,0,54.80905577517744
32,18,8,0,0,1,1,61.00605515390671
35,17,8,0,0,1,1,62.01183909544045
35,26,8,1,0,1,0,59.35904708470926
24,12,11,0,0,1,1,59.22330623554933
22,21,6,0,1,0,1,57.16795598470674
21,21,7,0,1,1,1,57.88368753601908
38,10,18,1,1,1,1,58.04367160483461
39,18,13,1,1,0,1,60.96208360442416
21,19,10,1,1,0,1,56.63922454426525
36,17,9,0,1,1,1,59.00694829835431
33,20,15,0,0,1,1,61.1281888518257
35,15,6,0,1,1,1,58.98130233133637
38,21,10,0,0,1,1,61.74181829971012
28,29,9,1,1,1,0,58.47004872834998
21,23,10,1,1,1,0,57.41997553840994
36,17,8,1,1,0,1,58.83754419743744
30,23,9,1,1,1,0,57.53291039164519
45,13,12,1,0,0,1,61.38335521407667
27,26,7,0,0,0,1,59.07458575311188
26,13,10,0,1,1,0,52.98654379565792
32,12,8,1,0,1,1,56.702541229236026
22,20,10,1,0,0,1,59.72192274367362
26,22,12,0,0,0,0,54.2811893611206
35,29,13,0,1,0,0,58.64932154940569
49,19,9,0,0,0,0,58.5802091834918
19,14,11,0,1,0,1,55.84863880962173
30,21,9,0,1,0,0,56.30741127490282
19,10,10,0,1,0,1,54.65425033837838
25,9,4,0,0,1,0,53.292908098261385
28,28,12,1,0,0,1,61.102806505613664
21,17,9,1,0,1,0,54.69532350060519
31,12,14,1,1,0,1,56.88935883224658
16,28,11,0,0,1,1,60.50577842821122
40,20,8,1,0,0,0,57.48251199113391
28,22,10,1,0,1,1,61.59977255329901
38,27,8,1,1,0,0,58.96296140737676
28,20,7,0,1,1,1,59.40913590542541
31,12,12,1,0,0,1,58.11622584794704
43,29,10,0,0,1,1,63.17767240873124
14,16,9,0,0,1,1,58.455434236130166
26,22,11,1,0,0,1,59.58651293887908
22,22,8,1,0,1,1,59.40218330904072
32,10,13,0,1,1,0,54.394090268101074
21,8,9,0,0,0,1,53.51186592372321
28,7,9,0,1,1,0,53.96991616548428
24,19,10,0,1,1,1,59.05950975982831
27,22,10,1,0,0,0,55.47477207345132
27,25,6,1,0,1,1,59.4768425379112
33,15,6,0,0,1,0,55.541764618377854
25,23,10,0,0,1,1,60.1504968076389
17,28,7,0,1,1,0,57.09222357029713
33,29,13,0,0,0,0,59.97547106564053
25,16,6,0,1,0,0,54.8498282548092
25,16,15,1,1,0,1,54.9051284588864
18,17,12,0,1,1,1,58.86320962723703
18,11,9,0,0,0,0,53.40135427458007
29,27,7,1,0,0,1,59.97415278050761
27,32,13,1,1,1,0,59.75368440364575
29,21,9,1,0,1,1,58.69276346459185
31,20,12,0,0,0,1,61.56088758620948
18,14,8,1,0,0,0,55.1734907561012
35,32,4,0,0,0,0,59.698164023383896
20,13,10,0,0,1,1,55.50065980036053
23,27,14,1,0,0,0,57.60858864314641
20,25,12,0,1,0,1,59.19749407344331
26,12,9,1,1,1,0,54.54228924518807
33,27,14,0,0,0,0,58.95770550601237
30,21,8,0,1,1,1,60.4567013435358
45,23,11,1,1,1,0,58.72850421202613
30,16,8,0,0,1,1,56.61357980211904
34,32,10,0,0,0,1,64.3719088791029
42,18,11,1,1,1,0,58.93232734072155
25,13,13,1,1,1,0,53.45926269653381
21,25,8,0,1,1,1,60.99902568913368
32,13,10,1,1,0,1,55.85220467151155
29,29,9,1,0,1,1,60.84146041058669
29,27,6,0,0,1,0,58.40025033490006
23,10,7,0,1,0,1,54.32846591176867
37,9,8,1,1,1,0,54.07328326213337
33,30,8,1,0,1,0,60.266622877360845
36,25,10,1,0,0,1,61.74386782734074
23,17,13,1,0,1,1,60.55038720239648
18,5,11,0,0,0,1,54.43390271414896
26,18,7,0,0,1,0,56.10380478901059
36,14,12,1,0,1,0,56.46517146501517
37,26,3,1,0,0,0,57.37270556548448
27,20,10,1,0,1,0,56.92603103207883
17,26,6,1,1,0,0,55.7934138159788
27,19,11,0,0,0,0,57.46145241532067
