years_in_community,household_size,social_trust_score,owns_home,employed_full_time,invited_to_community_leadership_workshop,attended_workshop,community_engagement_index
0,3,0,1,0,1,0,49.98521359658135
2,2,0,0,1,1,1,51.65849174553283
6,2,0,1,0,1,1,47.920051965896526
0,3,0,1,0,1,0,48.78624489780001
0,2,0,1,0,1,0,48.694001043778464
5,4,0,1,1,1,1,50.64222090459313
3,2,0,1,0,0,0,49.20055641877048
3,2,0,0,1,1,0,47.42947015833544
4,3,0,1,0,1,1,48.23978614187322
6,2,0,1,1,1,1,47.33735799513948
3,2,0,0,1,1,1,50.51880280494791
3,3,1,1,0,1,1,51.1600397536636
2,3,0,1,1,1,0,47.78706070770343
5,3,0,1,0,1,1,50.82203001480598
3,2,0,1,0,1,0,48.23085727319312
2,3,0,1,1,0,1,50.43776555092457
2,3,1,1,1,0,0,49.20861826165803
4,2,1,1,1,1,0,46.51549815842248
2,2,0,1,1,1,1,49.54671953985596
4,3,0,0,1,1,1,50.98769906008904
6,3,0,1,0,1,1,50.19681454042131
3,2,0,0,1,1,0,48.00263267535498
5,2,0,1,1,1,1,49.68337512026879
3,3,0,0,1,0,0,50.45868783739761
0,2,0,1,1,1,1,49.44767612685153
5,3,1,1,1,1,1,49.4677994071405
2,2,0,0,0,1,1,49.00913268981756
4,2,0,1,0,1,1,48.99123757825053
3,3,0,0,1,1,0,47.88719056903223
3,2,0,0,0,1,0,48.34439660293582
0,3,0,1,1,1,1,52.16580295588835
1,3,0,1,0,0,0,49.57784413068136
3,2,0,0,0,1,0,47.12434901709759
2,3,0,0,0,1,0,48.803793755773896
0,3,0,0,1,1,0,48.82557297315618
5,3,0,0,1,1,1,50.2086459473623
0,2,1,0,0,1,0,49.20160187945835
4,2,0,1,1,1,1,49.57591333646407
6,2,0,1,1,1,1,47.68896964436409
7,2,0,0,1,1,1,49.23552416315759
0,2,0,1,0,1,0,48.82440704103253
4,3,0,0,0,1,1,52.01478099394375
3,2,1,1,0,1,1,49.85729178433217
1,2,0,0,1,1,1,51.02864824388418
0,3,0,1,1,1,1,52.1055285495343
6,3,0,1,1,0,1,51.79856538814104
1,2,0,0,1,0,0,48.298179323963424
1,3,0,0,0,0,0,51.39704316714161
1,2,0,0,0,1,1,50.60220613456869
4,2,0,1,0,1,1,50.84350469506808
4,2,0,0,1,1,1,49.629366901781125
4,2,0,0,0,0,0,46.26471022182422
6,3,1,0,0,0,1,48.47761105711973
-2,2,0,1,1,1,0,49.65991573419459
3,3,0,1,1,1,1,52.089600693410496
2,3,0,0,1,1,1,49.85838010296101
2,2,0,0,1,1,0,49.30607803500699
0,2,0,1,0,0,0,49.07032836549418
3,2,0,1,1,1,1,49.10618333563916
4,3,0,1,1,0,1,49.26848956561724
5,3,0,0,0,1,1,49.90356854733906
3,2,0,0,1,0,0,47.94478771852569
3,2,0,0,1,1,1,49.3084458312731
1,3,1,0,0,0,0,48.14813005087876
3,2,0,1,0,1,0,47.77274949608332
3,2,0,1,1,0,1,49.93672470135962
2,2,0,0,1,1,0,49.37698761318937
5,2,0,1,1,1,1,48.332916795068826
2,3,0,1,1,0,1,51.53501763315229
5,3,0,1,0,0,1,50.83840552655315
3,2,0,1,0,1,0,49.07931320086614
5,2,0,0,0,1,0,48.2135506627948
1,3,0,1,0,1,1,50.65458905871969
1,2,0,0,1,1,0,51.26608366849359
4,3,0,1,0,1,1,51.62020497390499
0,3,0,1,1,0,0,49.660106205398094
3,3,0,0,1,0,1,49.80930612847345
5,2,0,1,1,1,1,49.871877857431166
4,3,1,1,0,1,1,50.18931252298509
5,2,0,0,0,0,1,50.642132409375215
2,3,0,0,0,0,0,48.50863903682918
3,3,0,1,0,0,1,49.65044231032532
3,1,0,1,1,1,0,47.225753290825686
2,3,0,0,0,1,0,49.736835650208455
6,3,0,1,1,1,0,45.56257785242642
-1,2,0,0,1,1,0,50.697203257065006
-1,3,0,0,1,1,1,53.70742878061426
6,3,0,1,0,1,1,50.01486272535554
0,3,0,0,0,0,0,49.63584099252213
0,2,0,1,1,1,0,48.826766879140536
3,2,0,1,1,1,0,45.68293785307276
2,3,0,1,0,1,0,50.74032233628563
4,3,0,0,1,1,1,50.45562042364888
3,3,0,1,1,1,1,50.10301608102921
9,3,0,1,1,1,1,47.28820440360171
4,3,0,1,1,1,1,49.00546122131221
1,3,0,1,0,1,0,48.24245445343991
3,2,0,0,1,1,0,47.90630846467776
5,1,0,0,1,1,1,47.7938368043312
5,2,0,1,0,1,1,49.00911174108785
7,2,0,0,1,1,1,48.66502854768727
1,2,0,1,0,1,0,47.80641728331212
1,2,0,1,0,1,0,50.56702640707128
4,3,0,1,0,1,0,49.35659908550392
4,2,1,1,0,1,0,46.55436587057269
1,1,1,1,1,1,0,46.29710894024971
3,2,0,1,0,0,0,47.76009659203526
3,3,0,0,1,0,0,48.67930946098598
2,3,0,1,0,1,0,49.30007637001356
3,2,1,1,0,0,0,46.55749886209074
0,2,1,0,1,0,1,49.25125383541142
4,3,0,0,1,1,1,50.99567739539032
4,3,0,1,0,1,1,49.47576452785656
2,2,0,1,1,1,1,49.20953712948435
7,2,0,1,0,1,0,44.9208481122157
3,3,0,1,0,1,0,48.10233156457127
0,3,0,1,1,0,0,49.77832937287676
3,2,0,0,0,0,0,47.029525517383846
6,3,0,0,1,1,1,48.6768286667964
3,3,0,0,0,0,0,47.89161783400681
4,2,0,0,1,1,1,48.30452575698879
4,2,0,0,1,0,0,46.76106084073174
2,2,0,1,1,0,1,51.24040513151088
4,2,0,0,0,1,1,49.36304517752051
2,3,1,1,0,1,0,46.6272288602931
2,2,0,1,0,1,1,52.25643005074528
2,3,0,1,1,1,1,51.36655413203129
6,3,0,0,1,1,1,50.39822487249143
2,3,0,0,1,1,0,49.07026425552644
1,3,0,1,0,1,0,49.544228513138975
5,3,0,1,0,1,0,47.89855069510295
0,3,0,0,0,0,0,48.6424659970839
4,2,0,1,0,1,0,47.95722365888759
2,2,0,0,1,1,0,47.38491130233429
3,2,0,0,0,1,0,48.70259198711564
3,3,-1,1,0,0,0,51.80095913072099
7,2,0,1,0,1,1,49.32350053613619
2,3,-1,1,0,1,0,50.71516258397786
3,3,1,1,1,1,1,49.63775991358384
2,3,0,1,0,0,1,53.45088276483099
4,2,0,0,0,0,0,46.28390941869495
-1,3,0,0,0,1,0,51.59239689123165
3,3,0,1,0,1,1,48.79377195617224
4,3,0,1,1,1,0,47.93221219760463
5,2,0,0,0,1,0,47.80239969510453
3,3,0,1,0,1,1,51.040600188288224
0,3,0,0,1,1,0,47.91008474695168
0,3,0,0,1,1,0,50.31023143947597
3,2,0,1,1,0,0,47.68253063396806
3,2,0,1,0,1,0,46.76023220900646
6,2,0,1,1,1,1,48.19495691345078
3,4,0,1,0,1,0,48.3227644523851
5,2,0,1,0,0,1,49.27985616297325
2,3,0,0,0,1,0,51.82605619020165
1,2,0,1,0,0,0,49.98707214345755
3,2,0,1,0,0,0,48.15664332950904
6,3,0,1,0,1,1,49.19808639200518
3,2,0,1,1,0,1,48.624478530285344
1,3,0,1,1,1,0,49.26933232736131
2,3,0,0,0,1,0,49.00872399022493
2,4,0,1,1,1,0,50.68174499933373
1,3,0,1,1,1,1,51.14454721048119
4,1,0,0,0,0,0,45.352696716045614
5,3,0,1,1,1,1,50.63874077867493
3,2,0,1,1,1,1,50.5654598798562
3,2,0,0,0,1,0,48.478980383034354
6,2,0,0,1,1,0,46.65560653699845
4,2,0,0,1,1,0,47.13053256277895
2,3,0,1,0,1,0,48.03723450888872
1,3,0,1,1,1,1,52.43583383615419
6,3,0,1,1,1,0,46.49276781524391
4,2,0,1,1,1,1,49.41546362535797
1,3,1,0,1,0,0,47.61514365497681
3,3,0,0,1,1,0,49.06093992445206
2,3,0,0,0,1,0,48.49144614786802
3,3,0,1,1,1,1,50.47680412728407
4,3,0,1,1,0,0,48.0843055723506
3,3,0,1,1,0,0,48.320093478713794
2,2,0,1,1,1,0,50.069286581630514
3,2,1,0,1,1,1,49.124984154834486
3,3,-1,0,1,1,0,50.30244205362658
2,3,0,1,0,1,0,49.698735673768425
7,3,0,0,1,1,1,48.61116373342022
6,2,0,0,1,0,1,48.58869311405296
1,2,0,1,1,1,0,49.791436002159486
7,3,0,1,1,1,1,48.83299428713814
4,3,0,1,1,0,1,49.801339277194046
0,3,1,1,0,1,0,49.78933240147145
2,2,0,1,1,1,1,49.24801812502415
1,2,-1,0,1,0,0,47.87080551453919
3,2,0,1,1,1,0,48.74340598952777
4,3,0,0,1,1,1,51.15022112020088
4,2,0,0,1,1,1,47.28775739939078
3,2,0,0,0,1,1,48.14243811836872
1,2,0,1,1,1,1,49.65420239346232
0,2,0,1,0,0,0,47.55219845783952
2,3,0,0,0,1,0,50.120132276939664
5,2,0,1,1,1,1,48.16485399815105
2,2,0,0,0,1,0,48.27391343226984
0,3,0,0,1,1,0,48.68839051538947
2,2,1,1,0,0,0,48.9856071885628
4,3,0,1,0,1,0,49.24632427286385
3,2,0,1,0,0,0,48.39683410471124
7,2,0,0,0,1,1,48.94895968870603
4,2,0,1,0,0,0,48.1273092697374
-1,2,0,0,1,1,0,48.4619583683623
4,2,0,0,1,0,0,46.7616702214404
6,2,0,1,1,1,0,45.94347357679759
8,2,1,0,1,0,1,47.54840030146175
4,3,0,0,0,0,0,47.97870256682373
5,3,0,0,0,0,0,47.610721987197
0,2,-1,0,0,1,0,49.67260512833069
5,3,0,0,1,0,0,46.72107777762385
3,2,0,1,1,0,1,48.40128918310192
5,3,0,1,1,1,1,47.49589027754735
7,3,0,1,1,1,1,48.80892109896956
4,2,0,1,1,1,1,49.15604644858709
4,3,0,1,0,1,0,48.90767199359489
4,2,0,0,0,0,0,46.32428033759989
5,3,0,0,0,1,1,47.709689892835264
3,2,0,1,0,1,0,48.208752023042855
5,3,0,0,1,1,1,51.23143569887908
4,2,0,1,0,0,0,45.50766624972125
6,2,0,0,1,1,1,48.41941217076005
2,2,0,1,1,0,0,48.18086191621868
3,2,0,0,0,1,0,46.996812939404336
10,4,0,1,1,1,1,49.41853258391214
6,3,0,1,1,1,1,49.2308837561709
3,3,0,1,1,1,0,48.81851971218232
7,2,0,1,1,0,1,46.57067267065565
6,1,0,0,0,1,1,47.12330133817412
5,3,0,1,1,1,1,51.61651272256679
5,3,0,1,1,1,1,49.414640929385
4,3,0,0,0,0,0,48.76685469600563
3,3,0,1,0,1,1,51.089138969721
0,2,0,1,0,1,0,48.893296614218336
6,2,1,0,0,1,1,47.31428754373432
0,3,0,1,0,1,1,53.48001361869113
2,3,0,0,1,1,1,51.50271666957741
3,4,0,0,0,1,0,52.4376310567993
2,2,0,1,0,0,0,48.85673157961346
5,2,0,1,0,1,1,48.17274114310592
2,2,0,1,1,1,1,48.56474428987562
5,2,0,1,0,1,0,47.175326957322646
5,3,0,0,0,1,1,48.877810432318775
4,3,0,1,1,0,0,49.875146228600606
5,3,0,1,0,1,1,50.07012821085459
0,3,0,1,1,1,1,51.44986425784873
4,3,0,0,1,1,1,51.5700144210415
3,2,0,1,1,1,1,49.98740044294116
2,3,1,1,1,0,0,47.76960311017028
2,2,0,1,1,1,0,47.844292850263976
4,2,0,1,0,1,0,47.27842245162361
4,2,0,0,1,1,0,48.39671930613226
3,2,0,0,1,1,0,47.247095918124174
0,3,0,0,0,1,0,50.010379987252826
3,2,0,1,1,1,1,50.184624283231145
5,3,0,0,0,1,1,49.93959339767751
5,3,0,0,1,1,1,50.85963419630778
1,3,0,1,1,1,0,50.6074028306589
5,3,0,0,0,1,1,50.43683629704053
7,2,0,1,1,1,1,47.95938606234378
5,2,0,1,1,0,1,49.0919011443163
0,2,0,0,1,0,0,48.56861951116517
2,2,0,1,0,0,0,49.47452830080819
7,2,0,1,1,1,1,48.31453744538089
3,2,0,1,0,1,0,46.82965300601327
6,2,0,0,0,1,1,48.38319995089332
2,3,0,1,1,1,0,50.07991913059759
2,2,0,1,1,0,0,47.81376546583437
2,2,0,0,1,1,1,52.66228862265537
5,2,0,1,0,1,1,49.09919446130033
4,2,0,1,0,1,1,49.57164956087367
4,2,0,0,1,1,1,49.70291176853629
7,3,0,0,0,0,1,50.10551343236497
5,3,0,1,1,1,1,50.99913930519469
4,3,0,1,0,1,0,47.93008199642378
5,3,0,1,0,0,1,50.77836762039213
8,2,0,1,1,1,1,48.169136926863246
4,3,0,1,1,0,1,50.972689080795824
4,4,0,0,1,1,1,50.84364707921265
4,3,0,0,0,1,1,49.7222364091965
3,2,0,0,0,1,0,49.7163657859438
2,3,0,0,0,1,0,49.68523731349915
5,3,0,0,1,1,1,49.66003740310884
4,2,0,1,1,1,0,47.62384382263263
3,3,-1,1,1,1,1,51.281994990164506
2,4,0,0,0,1,0,51.43302545006443
5,4,0,0,0,1,1,51.713944512523724
3,2,0,0,0,1,0,47.99259081151536
6,3,0,0,1,1,1,48.85052100562704
8,2,0,1,1,0,1,46.85138693963978
1,3,0,1,1,1,1,51.790817113594514
1,2,1,1,0,0,0,47.082337858161935
1,2,0,0,1,1,0,47.82384597745812
2,3,0,0,0,1,0,49.90096399622264
4,3,0,1,1,0,0,50.26755353195118
0,2,1,1,0,1,0,48.77819409331545
2,2,0,1,0,0,0,48.32140650532264
2,2,0,1,0,0,0,48.3191119715712
2,2,0,1,0,1,0,50.05477942570352
2,2,0,1,1,1,0,47.616775742346064
5,3,0,1,0,1,1,51.7863421867606
1,1,0,1,0,1,0,46.460775205223314
6,3,0,1,0,0,1,49.69205882658294
3,2,1,0,0,1,1,48.57236700793543
0,3,0,0,0,1,0,48.28683026069372
7,2,0,1,0,1,1,46.22136043431179
3,2,0,1,1,1,1,49.1652636827212
3,2,0,1,1,1,0,47.16427701480031
4,3,0,0,0,1,0,49.94238734911572
2,2,0,1,0,0,0,48.59604125063749
2,2,0,0,1,1,1,48.241403679301655
2,2,1,1,1,1,0,47.03818131212096
6,3,0,1,1,0,1,49.74471069610268
7,2,0,0,0,1,1,47.42564729766352
1,3,1,1,1,1,0,48.98453721563111
4,3,0,0,1,1,1,51.45622308168392
4,3,0,0,0,0,0,49.086509250331645
2,2,0,1,1,1,0,49.02675451300072
3,2,0,1,1,1,0,46.23652468612634
0,2,0,1,1,1,0,48.07052936604016
-1,3,-1,1,1,0,0,52.52827853126871
5,2,0,0,1,1,1,49.59332938531145
5,2,0,0,1,0,0,47.07104205362595
-2,3,0,1,0,1,0,50.86662507613989
1,3,0,0,1,1,1,51.770363149316005
3,2,0,1,1,1,1,50.67888884403374
8,3,0,0,1,0,1,47.5936780962685
4,2,0,0,1,1,0,44.70095575507566
1,3,0,0,1,1,0,50.105943783582674
1,3,0,1,1,1,1,50.026436578142
1,3,0,1,1,0,0,49.1290336272689
5,3,0,1,1,0,1,47.040475998185485
3,1,0,0,1,0,1,47.86696379317246
4,2,0,0,1,1,0,48.28732576111135
5,3,0,1,1,1,1,49.6029354950493
6,3,0,1,0,0,0,47.305279242895686
6,2,0,1,1,0,1,47.797148030959136
3,4,0,1,1,1,1,51.35196242093046
2,3,0,1,1,1,1,51.82679630200669
5,3,0,1,1,0,1,52.30832787034248
0,3,0,0,1,1,0,48.16577396899698
3,3,0,0,0,1,0,49.70366976108544
2,3,0,1,1,0,0,48.29084183637279
1,3,0,1,1,1,1,51.49589288796206
9,2,0,1,0,1,1,48.47581178195172
3,2,0,1,1,1,1,48.723198163636845
4,2,0,1,1,1,1,50.50421051556852
6,2,0,1,0,0,1,48.5723071640854
2,4,0,1,1,1,1,51.73981144525541
4,2,1,0,0,0,1,49.67742170259605
3,2,0,0,1,1,0,48.4483546212519
8,2,0,0,1,0,1,46.57583350652271
4,2,1,1,1,1,1,48.78503128114704
0,1,0,1,0,0,0,48.7953653033102
2,3,0,1,1,1,1,50.84204014140183
4,3,0,1,1,1,1,50.58876298891485
3,3,0,1,1,1,1,51.63848131784847
6,3,0,1,1,1,1,48.79282429487973
3,2,0,1,0,1,0,48.91419518047783
5,2,0,0,0,1,1,49.7643997497544
2,2,0,1,0,1,0,50.00059066628022
4,1,0,1,0,1,0,45.27424748342469
3,3,0,1,1,0,1,52.06193131085925
3,3,1,0,0,0,1,50.36486444636387
8,3,0,1,0,1,1,49.06798046682353
7,3,0,0,0,0,0,49.11681840479466
5,3,0,1,0,1,1,49.534205032496864
4,3,0,1,1,0,0,48.15062991745879
