age,education_years,gender,rural_residence,single_parent,childcare_availability,childcare_subsidy,employment_status
9,32,1,1,0,7,39,197.61405001042172
7,27,1,0,1,5,35,184.11377645564227
10,28,1,0,0,6,36,187.61290761161067
12,31,1,1,0,7,37,192.4393057521335
14,31,0,0,0,4,30,161.97895549012742
14,24,1,0,0,10,33,179.5078679351143
9,34,0,0,0,7,38,189.2256305601788
15,25,1,0,0,8,28,156.85872027437225
6,27,0,0,0,7,38,194.54437001653864
11,27,0,0,0,7,33,176.09947795692312
11,34,1,1,1,7,38,194.3027717266663
8,30,0,0,0,8,38,195.60542890349643
10,29,0,1,0,5,35,181.38046536980124
8,28,0,1,1,9,39,200.5244938652864
8,28,0,0,1,7,37,187.84863398071744
12,29,0,0,1,8,33,174.22209763466262
17,25,0,0,1,8,28,158.64290637828486
11,28,0,1,0,6,34,179.13024719032532
8,32,1,0,0,4,39,196.7104829208029
12,33,0,0,0,9,34,176.02401396040864
10,30,0,1,0,5,33,173.48694674451173
12,29,0,0,0,6,32,168.97859766473957
12,27,1,0,0,9,35,186.8905987704599
10,30,1,0,0,7,35,180.6024066665547
11,28,0,0,0,6,34,179.7152456417731
9,32,0,0,1,6,35,181.700712293278
14,31,0,0,1,6,33,177.60820743808253
12,31,0,1,1,8,36,186.24487302594744
12,33,1,1,1,9,39,198.52630767762523
11,28,0,0,0,7,34,180.70147104501103
10,29,0,1,0,11,39,202.09220083870372
8,29,0,1,0,9,37,189.20959189866755
9,30,1,0,0,10,38,193.893858519578
10,32,0,0,1,10,39,196.79888993711663
5,32,1,0,1,6,42,209.77396812963275
7,30,0,0,1,8,37,184.97592860729475
8,32,0,1,0,7,39,195.15413576961333
10,28,0,0,0,8,34,176.3778199591629
9,31,0,1,0,9,38,190.75797830082595
12,29,0,1,0,7,34,178.31691051457915
5,31,1,0,1,7,41,205.6288622477404
13,28,0,0,0,9,33,174.81728098922022
7,32,0,0,1,8,39,195.54955002147616
14,30,0,1,0,6,32,171.38100354612166
10,27,0,0,1,9,36,186.85702019720304
12,27,0,0,0,7,31,168.37572716964212
6,28,0,0,1,7,40,203.04892728734657
10,30,0,0,0,7,36,187.08954740000777
12,30,0,0,0,11,34,177.2058052394492
2,30,0,1,0,5,41,203.11462762378207
5,30,1,0,1,9,40,199.07197134566175
11,32,0,0,0,7,35,181.00928843774383
11,33,0,0,0,7,33,167.71098972304063
14,32,0,0,1,11,38,199.0932347772103
7,29,0,1,1,6,38,192.26086962002253
4,31,1,0,0,9,42,208.7993156783125
9,27,0,0,0,7,33,174.5047088881392
9,29,0,0,0,9,38,196.03273434815264
9,31,0,1,0,12,40,204.5521261074745
9,29,1,1,0,7,35,180.7380155659753
11,28,1,0,0,7,34,178.66507412937275
13,31,0,0,1,7,33,175.9456095768033
7,27,0,0,1,7,36,189.0276292472746
9,29,0,0,0,4,35,182.6991031458295
4,26,0,0,1,5,38,193.03419895284617
13,30,0,0,0,5,32,170.52438044284992
8,32,1,0,1,9,42,213.367062754232
7,28,1,1,0,5,36,188.30031721155424
11,27,0,0,1,7,32,170.20864642263294
8,28,0,1,1,9,38,197.41245851090693
15,29,0,0,1,8,34,181.83321466185333
6,27,0,0,0,8,36,186.66150625148947
9,29,0,1,0,8,36,183.10587774745937
9,30,0,0,0,5,36,185.38525762755432
10,30,0,0,0,8,37,189.1487308558077
9,28,1,0,0,7,37,192.2650506488905
11,29,0,1,1,7,37,194.3432033776584
11,31,0,1,0,4,33,170.96842523127086
8,31,0,0,1,9,40,201.6381680321939
10,29,1,0,0,9,36,187.24763030106493
16,26,0,0,1,8,29,160.83184859989146
7,27,0,1,0,9,36,186.4545713231588
13,30,0,0,0,6,32,169.14293817577757
8,31,1,0,0,7,38,192.3982113093701
6,28,0,0,0,6,38,195.10377677903537
10,30,0,1,0,10,39,200.6196838379303
10,29,0,0,0,7,34,176.35836034337672
10,29,0,0,0,6,36,186.0674452937811
12,28,1,0,0,4,32,173.29546005386942
5,28,1,1,1,4,38,196.1817994588963
16,28,0,1,0,9,33,180.1933763602018
5,30,0,0,1,7,38,194.380221417026
12,27,0,0,1,8,33,177.6607966837227
12,32,0,0,1,6,33,171.8177770045805
7,25,0,0,0,5,35,186.2552832519167
7,33,0,0,0,6,36,181.19148239746104
4,27,0,1,0,6,37,187.48149072194707
11,27,0,1,0,6,34,179.3161993808213
14,29,0,1,1,4,28,153.083473603259
7,29,1,0,0,10,39,200.78150894629425
12,32,1,0,0,11,37,190.4090512887925
10,31,0,0,1,10,37,188.48910554063556
6,30,1,0,0,4,38,193.0920133444402
6,35,0,0,0,6,41,203.3634256786431
13,32,0,1,0,6,33,172.13427837505506
12,26,1,0,0,9,34,183.54647600700537
5,32,0,0,0,3,37,185.61645684248543
8,25,1,0,0,5,36,188.765539067312
7,27,0,0,1,8,38,194.96311213149605
4,33,1,0,0,8,42,208.5595451362145
5,29,0,0,0,11,44,219.62177362281517
9,28,1,1,0,8,39,202.15566935418576
12,28,0,1,0,7,33,174.71849850551834
10,27,1,1,0,10,40,207.61219030552897
12,33,1,0,1,8,36,186.57292931617656
10,29,0,1,0,6,38,196.9056629690599
9,28,0,1,1,7,37,192.85581181129237
8,31,0,0,1,10,40,202.72085538556155
5,30,0,0,0,10,39,193.18959106644465
6,29,0,0,0,8,38,192.63337040220105
10,30,0,0,1,8,37,191.4611202434905
10,29,1,1,0,7,36,186.18763889964708
9,30,1,0,0,7,35,180.10291419823602
9,32,0,0,0,7,36,180.3945747469819
6,33,0,1,0,7,40,198.3147006032292
5,30,0,1,0,11,39,193.24348674173
9,31,1,0,1,8,39,199.31240751664728
7,28,0,1,0,11,41,208.51286716093517
11,27,0,1,0,5,30,158.1626231322124
10,34,0,0,1,7,38,194.07717613420752
12,28,1,1,0,9,33,174.36454153698594
7,28,0,0,0,7,38,193.793452791635
12,28,0,0,0,6,27,148.34442618655734
8,29,0,0,0,6,37,189.571406603611
14,29,0,0,1,10,33,172.30615233635862
12,33,0,0,0,9,33,168.86280690526897
14,33,0,0,0,7,31,163.30238647318592
10,25,0,1,0,9,36,187.91121148695683
5,29,0,1,0,7,40,200.04979200569267
10,29,0,0,0,11,37,191.4427557271172
11,29,1,1,0,5,35,183.66203082745457
9,30,0,1,1,9,40,203.94045356771687
13,25,1,0,0,6,33,180.80675680266003
5,26,1,1,0,13,42,214.4085632715672
12,27,0,1,0,10,35,183.07740890021117
4,29,0,0,0,7,39,197.633783920844
12,31,1,1,0,8,36,190.00251306566756
11,26,0,0,0,10,35,184.5465144586238
10,30,0,0,0,8,33,171.32300040299236
6,34,0,0,1,8,44,217.08478737094987
11,29,0,1,0,8,35,184.3049316621405
14,28,0,1,1,6,33,174.8987115978869
11,28,0,0,0,6,34,177.98290822885178
10,26,1,0,1,10,38,201.26445985404783
12,35,0,0,1,5,35,176.30781001383227
15,28,0,1,1,8,31,169.02916803367313
13,30,0,1,1,7,33,173.76453799693928
2,27,0,1,1,8,43,215.4082729636413
11,29,0,1,1,11,36,186.2005678345752
14,29,0,0,0,6,31,165.08591637699126
3,28,1,0,0,7,41,209.03420803046117
8,30,0,1,0,8,36,181.90844712485307
12,30,0,0,0,8,33,173.14427628433026
10,30,0,1,0,5,34,176.96966610373468
6,30,1,1,0,8,40,202.1375053290596
14,30,0,0,1,9,31,162.35087027405982
9,33,0,0,0,10,40,198.62127457029635
10,26,0,1,0,10,36,189.3911915983636
9,26,0,1,0,6,33,172.6083529209496
12,29,0,0,0,5,34,180.99917070503236
14,26,1,0,0,8,32,174.2217820767683
14,31,0,1,1,8,33,173.39794240678282
12,28,0,1,0,8,36,189.9252408965472
7,29,0,0,0,5,35,177.85318574251832
7,28,1,0,0,7,39,200.5042453753668
6,32,0,0,1,8,41,206.8425479072083
6,27,1,0,0,6,37,190.7611046260457
12,31,0,0,0,8,35,182.8884695790378
12,29,1,1,1,10,37,195.867944484132
6,31,1,1,0,7,39,194.15079421375444
14,29,1,0,0,12,38,201.1650680265912
3,30,1,0,1,6,41,208.9728034906018
13,26,0,0,0,7,32,172.24058906294562
9,32,0,1,1,6,37,190.73676073053
15,26,0,0,0,6,29,160.1284646087961
9,33,0,0,0,9,38,190.87310301226077
10,27,0,1,0,7,36,188.52656851871257
10,34,0,0,1,7,37,188.749387679802
4,28,0,0,0,11,42,209.39978057091813
7,27,0,0,0,5,35,179.75086893122744
10,32,0,0,1,9,40,203.55388850846387
10,32,1,1,0,6,37,188.4213841170478
12,28,1,1,0,4,32,173.43457786523862
13,25,0,0,0,8,32,172.21024559849042
11,27,1,0,0,10,36,188.10917185572612
10,27,0,0,0,6,32,167.23681466203163
10,29,0,1,1,8,36,187.1598669400981
13,30,1,0,0,6,33,172.27755372465504
8,30,0,0,0,7,35,177.16135055947709
6,27,0,0,1,7,38,193.96832564325504
6,27,1,0,1,8,39,199.36639802707413
9,31,1,0,0,6,36,182.86340966692325
10,30,0,0,0,3,34,176.7352978202368
11,32,0,1,0,7,34,174.49177769250255
9,30,0,0,0,8,36,183.06835487166035
15,27,0,0,1,10,33,178.16120893074165
8,30,0,0,0,10,39,199.21987520683757
7,27,0,0,1,9,41,213.9229739304845
11,29,1,0,1,9,37,193.34650907174
11,32,1,0,0,5,35,183.2844023326371
7,26,1,0,0,8,39,202.2710645625259
7,29,1,0,0,9,37,187.7795613859321
8,30,0,0,0,9,37,191.49554147443905
8,29,0,1,1,6,37,191.49962431921583
8,27,0,1,1,9,38,195.9094767053287
10,30,1,1,1,7,34,177.31150514784818
11,31,0,0,1,6,35,178.00383370174637
9,31,0,0,1,9,40,202.57866281140363
7,30,0,0,1,7,39,197.43664186889245
9,36,0,0,1,8,40,197.4017784134488
7,33,0,0,0,8,37,183.6993000210965
9,31,0,1,0,8,36,182.82443516639165
2,32,0,0,0,7,43,210.9940408548228
8,28,0,0,0,7,38,196.0285269061106
12,31,0,0,1,9,37,189.9596420497495
11,27,0,0,0,11,36,191.2420205415005
5,29,0,0,0,8,39,194.9347967372084
7,30,0,0,1,7,37,187.89253380100357
8,34,1,1,0,12,42,210.52559973756556
9,30,1,1,1,7,37,188.89852411376856
11,30,0,1,0,10,37,192.3682915214636
11,26,0,0,1,8,32,170.08574843290484
11,28,0,0,0,10,34,177.64302995303987
10,29,1,0,1,10,38,197.23212391142545
7,31,0,0,0,6,36,183.9689426375927
10,31,1,1,0,10,39,198.03975871222832
11,27,0,0,0,9,32,170.56163698882452
12,28,0,0,1,10,33,174.61938028211006
9,31,0,0,1,8,37,188.41590434350337
7,27,0,0,0,10,41,208.5892892781432
10,32,0,0,1,5,36,184.10835719516172
12,30,1,1,0,6,34,180.545560233046
12,26,0,0,0,9,32,171.4037662140588
10,27,1,0,0,4,33,176.10253316635232
11,31,0,0,0,12,38,195.47691172871143
12,33,0,0,0,6,32,166.03814913538034
14,28,1,0,0,9,31,167.62463004176593
10,30,1,0,0,7,37,191.02842389687535
13,33,0,0,1,10,37,194.3487123078968
8,32,1,0,0,10,41,203.67927980713608
10,34,1,0,0,8,38,193.41480577894583
10,33,0,0,0,7,36,181.20417110637456
10,29,1,0,0,9,35,179.7965798657823
13,29,1,0,0,8,33,172.57292312176148
7,32,0,0,0,8,43,217.5204968210964
11,29,1,0,0,9,35,183.6565470093689
12,26,0,1,0,9,34,183.08804603415552
7,28,1,0,0,7,37,188.73653959134057
10,31,0,0,0,6,35,181.27704833478228
5,29,0,0,0,9,37,185.5927460251046
11,29,1,1,0,9,34,177.32677337483156
11,27,1,0,0,11,35,185.17567849885225
10,27,1,1,1,8,36,189.9262363260729
16,34,0,0,0,7,34,179.78982310528286
10,29,1,1,0,10,37,192.19832274657537
15,29,0,1,1,7,30,160.4919242983241
8,29,0,0,1,6,35,182.6217900016946
14,34,0,0,0,12,35,180.7807044412803
11,29,0,0,0,11,36,188.64828016210024
10,26,1,0,0,7,34,180.88447222260527
10,29,0,0,1,2,31,164.30250174450086
11,25,0,0,0,6,33,180.08415689449265
8,33,0,0,0,10,40,199.5162830898601
3,27,1,1,0,6,41,207.4937372838798
7,32,1,0,0,7,38,190.10185930429867
10,24,0,1,0,9,33,175.64683820139763
7,29,0,0,1,5,40,203.7437209404034
9,31,0,0,1,9,37,190.66123846334165
11,29,1,0,0,5,35,187.123436529364
8,29,1,1,0,9,39,200.0416937625247
9,29,1,0,0,9,38,198.24263886231893
10,31,0,0,1,10,34,175.5692965556723
10,25,1,0,1,9,39,205.59668413189644
9,27,0,1,0,12,39,202.5367542619508
12,31,0,0,0,7,34,177.5101124820746
9,26,0,1,0,10,36,190.75640737348493
9,31,0,1,1,8,41,208.290407692918
13,30,0,0,1,9,34,179.9770419010293
8,31,0,0,0,8,38,192.22449729513485
9,29,0,0,0,4,35,182.1112988637202
8,31,1,0,0,9,36,184.70050392414345
9,25,0,0,0,6,34,181.5412186634113
11,27,0,0,0,8,34,181.65144842028027
12,31,0,1,0,6,32,171.42137442867758
10,29,0,1,1,3,35,182.59087759605768
5,34,0,1,1,5,41,201.10857444273205
5,28,0,1,0,9,43,217.450832606995
12,29,1,0,1,8,35,185.93904145869217
12,26,0,0,0,9,34,181.85441833052369
10,26,1,1,1,9,34,181.2081245587437
10,31,0,0,1,7,38,195.26513162940628
13,30,0,0,0,6,32,169.874069152518
9,28,1,0,0,7,36,186.1209825506525
7,27,0,0,1,9,36,184.7001501209348
13,28,0,0,0,7,31,168.90388320821037
13,32,1,1,1,7,34,177.8663333793164
3,31,0,0,0,7,42,208.0018506399496
12,31,1,1,1,4,33,175.4838872555807
9,32,1,0,1,10,37,190.3706685831302
7,26,0,1,1,9,40,205.10366099610917
7,28,1,0,1,8,38,195.49981026056727
6,28,0,0,1,7,37,187.94563723843507
7,32,0,1,1,8,39,195.8017811566233
11,33,1,1,0,6,35,179.6576338985897
11,28,0,0,1,10,35,185.283609679102
6,27,0,0,1,8,38,193.3133171074
12,28,0,0,0,9,36,190.58377409656404
15,28,0,1,0,9,33,179.95928261216466
7,28,1,0,0,8,41,211.54997233700837
11,29,0,0,0,7,33,172.755925793905
8,33,0,0,0,10,38,191.6826504187765
11,33,1,1,0,8,37,188.32652315052175
12,31,1,0,0,9,34,179.39987898479924
9,28,0,1,1,5,34,178.9162715779149
12,31,0,0,0,7,34,174.86171461899707
5,27,0,0,0,9,38,190.9634584776589
5,29,1,1,1,8,43,219.17488794489145
10,27,0,0,0,7,35,183.91033746654065
12,26,1,1,0,6,32,171.59490046441138
15,28,0,1,0,10,34,183.1916011779453
10,29,0,0,0,9,34,174.61537612009832
12,27,0,0,1,7,32,172.81796107280294
4,34,1,1,0,8,43,213.8035451824058
9,30,0,1,0,7,36,184.6297003541233
3,31,1,0,1,7,43,211.20274703262655
11,29,0,0,0,11,36,185.51048088942568
11,30,0,0,0,8,40,204.5766325748827
14,29,0,0,0,10,32,168.49786081079654
9,27,1,0,0,9,36,189.7220374740736
8,29,0,0,1,10,39,202.82175520024603
8,33,0,1,0,6,38,190.64904878232093
10,27,0,1,0,8,35,181.56311637281595
10,30,0,0,0,4,35,182.6025857762552
8,29,0,1,0,9,39,200.89421812769035
10,31,1,1,0,11,38,191.02644065662705
10,27,1,1,0,11,39,204.74454207827776
10,29,1,0,1,6,37,192.3412116126821
12,32,0,0,1,6,34,178.16760168925825
9,30,0,0,1,6,37,189.1347568902085
5,31,1,0,1,7,39,196.79668146461097
7,30,0,1,0,8,40,201.2149181591818
15,31,0,1,0,8,30,159.26832228074886
4,27,0,0,0,5,37,190.5588480459676
8,30,0,0,0,8,38,192.59174520770824
10,29,1,0,0,8,35,182.2085504887912
9,30,1,0,0,4,32,169.55200381222383
7,35,0,1,1,3,38,190.09756301473385
4,27,0,0,1,3,36,182.68331096066004
8,30,0,0,0,6,36,184.3386823157696
8,28,0,0,0,9,35,181.33409551789188
8,30,1,0,1,6,37,191.6117844360176
14,26,0,0,0,5,31,168.59946296225843
7,29,0,0,0,9,37,186.98617189021792
10,30,1,0,0,6,37,192.70913099140907
10,29,0,1,0,6,33,172.44948742941887
11,29,0,0,0,12,37,187.94879319700613
11,30,1,1,1,5,34,177.96866505440482
