age,education_years,previous_month_income,work_hours_weekly,gender,rural_residence,displaced_worker_status,job_retraining_program,current_month_income
22,8,8,24,0,0,0,0,56.205622543843134
32,15,12,20,1,0,0,1,56.319047446766334
29,20,15,21,0,1,0,1,55.649323077377694
18,23,10,14,0,1,1,0,47.49124968001725
24,24,11,19,1,0,0,0,49.6437811487594
25,24,7,12,0,0,1,1,43.14734830527576
34,20,8,21,1,0,0,1,50.79387072650372
35,15,12,15,1,0,0,0,52.77298054659551
31,25,4,13,0,1,1,1,41.07822471889854
41,9,13,13,1,0,0,1,55.50149186737436
29,15,9,12,1,0,1,1,50.8700776998803
32,27,13,11,0,0,1,0,45.3042884023081
28,21,12,12,0,0,0,0,48.93809929442472
3,27,15,12,0,0,0,0,53.098973957416206
38,7,11,22,1,0,0,1,57.52403964783715
36,13,9,10,1,1,1,1,49.29369712394422
43,20,5,14,1,0,0,1,44.44203822670519
17,21,7,17,0,0,0,0,49.38733383188865
35,16,8,18,0,0,0,1,51.5580485227478
32,6,12,18,0,0,0,0,54.95826236725033
39,16,6,14,0,0,0,0,46.27089982518793
30,12,9,10,1,0,1,1,52.44144333170118
35,14,7,18,0,0,1,0,49.11821387469852
23,15,9,15,0,1,0,0,51.55146731158039
42,17,11,12,0,0,0,0,48.23576832702682
30,17,9,17,0,0,1,0,47.82516237897781
36,19,16,18,1,0,1,1,54.44580040034277
29,21,10,12,0,0,0,0,47.95870719827704
23,12,10,9,0,0,0,0,51.79876078699835
29,25,9,9,0,0,1,1,45.71230304628809
25,18,6,16,0,0,0,0,48.60046532876247
45,17,9,11,1,1,0,1,47.51823882351461
34,20,12,11,1,1,1,1,51.00744557647554
40,20,15,16,0,1,0,0,51.33176908470325
12,35,7,16,1,0,1,1,45.41207923939544
30,32,10,4,0,0,0,0,38.60995373324575
26,16,13,11,1,0,1,0,52.218623725310415
25,24,5,17,1,1,1,1,46.88334716258719
31,17,7,16,1,0,0,1,50.25047832852351
30,26,14,12,0,0,0,1,47.43885228581399
46,17,4,14,0,0,0,1,42.71565190414123
32,24,8,10,0,0,0,1,44.0838665108851
30,17,5,15,0,1,0,0,45.946362253671
26,20,14,16,1,1,0,1,54.82323204022757
38,13,7,16,1,0,0,1,49.73118702782285
32,7,9,9,0,0,1,0,51.53907311297995
28,25,6,11,0,1,1,1,42.53568358281868
16,21,12,22,1,0,0,0,55.69156467624849
31,16,8,17,1,0,0,0,51.31206495096802
38,9,8,17,1,0,0,1,51.83053729463767
43,11,8,20,0,1,0,0,50.34853186117378
30,16,9,12,0,0,1,0,48.22866011825827
37,28,13,20,1,0,0,1,50.38375118575604
29,16,12,15,1,1,0,1,53.45127654870801
27,30,9,6,0,1,0,1,42.61918083129908
22,28,13,3,0,0,0,0,45.15579161911839
17,25,7,12,0,0,0,0,44.65445875417654
34,11,11,8,0,0,0,1,51.81231759334938
35,25,6,14,0,1,0,0,39.31846636103411
35,15,8,15,0,0,0,0,47.59894130634128
10,23,13,13,0,0,0,0,52.6556624557532
42,21,13,18,0,0,0,0,49.39367943560257
31,19,10,14,0,0,1,1,50.13609784712492
40,14,11,17,0,0,1,1,52.3285624585542
35,29,11,20,0,1,0,0,46.69287152446734
31,20,8,15,0,0,1,1,50.42504270852509
19,30,9,17,0,1,0,0,45.436313293206176
23,20,11,11,0,0,1,0,47.0748543438581
28,25,12,12,0,0,0,0,47.34438781152016
23,9,11,28,1,0,0,1,60.56848154977623
31,11,7,16,1,1,0,1,51.414193061520265
26,28,6,11,0,0,0,0,41.15819789263533
24,11,11,14,0,0,0,0,54.45081144774544
22,9,10,12,0,1,0,1,56.15376485550183
39,20,7,14,0,1,1,1,46.02336091273106
34,23,16,11,0,0,0,0,50.168310197213295
33,18,3,15,0,0,1,0,42.52423244469623
31,22,7,13,0,0,1,0,43.84894534923777
22,13,8,14,0,1,0,1,51.76481096017153
40,15,10,12,0,0,0,0,48.756425286202266
41,12,13,16,0,0,1,0,52.12578884386294
27,16,9,14,1,0,0,0,51.83003690044161
30,29,9,10,0,0,0,1,43.22654979026228
18,16,13,9,1,0,1,0,53.7643934456196
22,16,11,16,0,0,0,0,53.0412655853978
31,29,15,14,0,0,1,1,47.15914920890198
20,22,12,11,0,0,0,0,49.35577645345523
28,14,12,10,0,0,0,0,51.901982199105454
33,18,7,10,1,0,1,1,47.56507514986328
46,10,12,16,0,0,0,0,51.40649511401838
37,5,9,10,1,1,0,0,53.45500496094319
22,8,11,15,0,0,0,1,55.79411054669376
30,11,12,3,0,1,0,0,49.88114811191386
30,30,13,21,0,0,0,0,47.24077831425808
43,22,9,15,0,0,1,1,44.65416826485584
25,28,14,12,0,0,1,0,46.00522186259149
30,29,6,19,1,0,0,1,44.37690526742771
22,27,5,22,0,0,0,0,46.0975855039494
35,29,6,18,0,0,0,1,42.70501470471321
33,20,15,16,0,0,0,0,52.8429939291645
17,21,6,13,1,1,0,1,47.9747173960375
23,16,12,12,1,0,0,1,54.36536944078068
29,24,4,10,1,0,0,1,42.20505563896702
11,18,9,17,0,1,0,1,53.75196075217024
30,28,6,16,0,0,0,0,42.05288376405007
13,28,10,19,0,0,0,0,49.24182012160087
30,11,7,16,0,0,1,1,51.562431219520604
30,10,11,14,1,0,1,1,55.8663360796376
40,27,11,9,1,0,0,1,42.45620418738522
16,26,10,18,1,1,0,1,49.54608055705616
46,31,10,13,0,0,0,0,38.635381835122615
31,16,14,19,0,1,0,0,53.85132408550632
17,24,13,20,0,0,0,0,52.14942482394092
25,21,9,16,1,1,1,1,50.69087264245972
38,28,13,11,0,0,0,0,45.03484358338283
35,25,6,15,0,0,0,0,41.5302020279488
18,28,8,8,1,1,0,1,47.2161796996661
27,22,14,23,1,0,1,1,55.872671043988056
28,21,8,1,0,0,0,0,42.68683346582098
10,18,10,12,0,0,1,0,50.02256334524983
28,28,12,10,0,0,0,1,46.41171992813634
22,15,5,13,0,1,0,0,48.01349247408815
30,7,10,20,0,1,0,1,57.9646151994583
27,21,11,12,0,0,0,0,50.15693916129789
34,30,4,13,0,0,1,0,38.6050180200263
37,21,14,6,1,1,1,1,47.37842360706628
14,2,16,16,0,1,0,1,65.0828690854101
36,21,8,18,0,0,1,0,43.88397718013795
41,23,5,8,1,0,0,1,41.3659890030331
27,15,8,14,1,1,1,1,51.87882159358173
11,22,10,15,0,1,0,0,49.419088722752704
23,22,9,7,0,0,1,1,46.20442626122981
31,17,8,14,0,0,0,0,47.31236292400359
23,17,7,9,0,0,1,1,46.237438535249886
38,16,12,10,0,0,0,0,49.66331248948362
16,20,7,13,0,0,0,1,47.3297041464633
30,20,14,11,1,1,0,1,51.94112272405791
25,18,11,17,0,0,0,0,53.676383499243336
28,12,9,8,0,0,0,1,53.094218300258575
26,24,15,20,0,0,0,0,52.68796573197855
25,24,8,14,0,0,0,0,44.4007288782594
31,23,5,23,1,0,0,0,47.11166720351464
27,30,11,18,0,1,0,0,45.82884559352188
26,25,12,19,1,1,1,1,50.75805607747849
30,23,9,16,0,0,0,0,45.15025482977072
19,24,20,17,0,0,1,0,55.14448217910829
25,20,7,9,0,0,1,0,45.36078590840145
34,14,15,9,0,0,0,0,52.97760601954718
15,15,8,22,0,1,1,1,52.51837323463449
28,16,10,15,0,0,0,0,50.321252282369365
36,25,14,16,0,1,1,1,49.109522346927534
36,8,12,16,0,0,0,0,54.625572007797366
31,13,13,12,0,0,0,0,51.05642132160274
23,17,7,18,0,1,0,0,48.47746185670389
28,21,13,22,0,1,0,0,50.38160168144548
23,25,5,15,0,0,0,0,42.82364774534028
17,25,8,17,0,0,1,0,45.90465463494241
29,14,10,14,0,0,1,0,48.00090551085569
34,23,7,6,1,1,1,1,43.20962549355615
31,30,9,12,0,0,0,0,43.3961613325731
23,27,13,10,1,0,1,1,48.48289907078878
21,11,14,12,0,0,0,0,55.60009899569479
35,14,13,15,1,1,0,1,53.217605154974834
33,24,8,6,0,1,0,1,42.26324255864493
17,19,12,9,0,1,0,1,51.71982681893431
33,21,13,12,1,1,1,1,49.69938938468773
22,26,15,8,0,0,1,0,47.46718097223597
33,26,10,14,0,0,1,0,42.71189619150246
19,13,16,7,1,0,1,1,55.38371683366134
29,20,8,16,1,0,0,1,51.39331241532744
35,18,7,17,0,0,1,0,45.75402037854796
37,4,13,12,1,0,0,1,59.50125909902767
23,19,8,8,0,0,1,0,46.18338288889644
24,5,13,13,0,1,1,0,56.72002361348874
32,15,16,15,0,0,0,0,53.72582188116067
31,19,4,16,0,1,1,1,45.58600526055079
40,25,6,9,0,1,0,0,38.99694376323093
36,16,10,11,0,0,1,0,45.57863265682124
44,24,6,6,1,1,0,1,38.60641153790692
42,25,8,14,0,1,0,0,41.64013029843439
23,24,3,9,0,0,0,1,41.28127991946603
35,20,11,15,0,1,0,1,49.00431291187356
33,18,8,14,1,1,0,1,47.96419483741568
30,24,13,13,0,0,0,0,47.2645869599883
36,26,14,12,0,1,0,0,47.54493256866137
26,29,6,9,1,0,1,1,42.54939898721832
19,29,12,7,0,1,0,1,45.17668761023285
16,20,5,19,0,1,0,0,47.558363641902
46,16,14,19,1,0,0,1,54.11407573934177
22,14,2,18,0,0,0,0,47.45514393520438
41,22,11,5,1,0,0,1,46.99177822035188
35,17,14,8,0,0,0,1,51.046333614859925
19,14,15,10,0,1,0,0,55.54818112785341
31,15,11,17,0,0,0,0,50.74306362293265
19,15,10,13,0,1,0,0,51.08678702898936
32,25,8,10,0,0,1,0,41.94995187443554
31,4,5,21,0,0,0,0,53.7503042869458
25,20,4,20,0,1,1,1,46.05516970538
22,22,7,13,0,0,0,0,47.16011799623198
28,19,10,14,0,1,0,0,49.296085881726434
31,16,15,6,0,1,0,0,49.4876744569474
25,24,9,16,1,0,0,1,49.71931847333939
36,20,8,16,0,0,0,0,47.228053705857725
15,30,8,20,1,1,1,1,46.92694980680807
37,26,6,14,0,0,0,0,43.83062540347794
37,24,10,18,0,1,0,0,46.42596378712872
45,14,7,15,0,0,1,0,45.05847263165373
25,30,10,17,1,0,1,1,46.344340111638296
49,24,4,8,1,1,1,1,36.73746405975724
37,25,8,9,0,1,0,0,39.73793525038781
23,12,12,12,0,1,0,1,52.97690822008141
31,23,7,24,1,1,0,1,47.53175748222464
39,18,11,10,0,1,1,0,44.0684407210188
32,20,8,22,0,0,0,0,48.96481270057201
21,22,6,17,0,0,1,1,49.13792001910814
39,27,10,11,1,1,0,1,46.44024799816558
22,25,10,4,0,0,0,0,44.32200905524091
26,29,10,8,1,0,0,1,44.05474460497408
30,32,9,14,1,0,1,1,42.38046670604876
42,20,10,14,0,0,1,0,45.16487842987899
22,23,1,5,0,0,1,0,39.31313391932951
37,20,4,9,0,1,0,1,42.91571344187119
31,27,8,12,0,0,0,0,41.5771845148032
31,19,8,12,1,0,0,1,49.15463383459517
53,21,14,4,0,1,0,1,44.30250452406688
37,17,9,6,0,0,0,0,45.38103031537608
34,19,16,14,0,1,1,1,52.58927886262838
31,20,14,10,1,0,1,0,50.40917638628042
19,20,13,12,1,0,0,1,54.9124449026589
26,26,12,10,0,0,0,0,48.26541848250665
45,24,13,21,1,1,1,1,49.995572660779374
22,14,10,17,0,0,0,0,53.0526506273842
37,22,8,15,0,1,0,0,46.34056987974179
31,7,10,12,1,1,1,1,55.34894265901592
28,15,10,18,1,0,0,1,55.74859089882101
36,19,8,6,1,0,1,0,44.36003242289905
11,21,10,11,1,0,0,1,53.67082754180471
37,30,11,18,0,1,0,1,44.70279625019551
25,20,11,22,1,1,0,1,53.11136060310421
20,21,4,9,1,0,0,1,45.61642041113924
34,12,9,15,0,1,1,1,50.48381246476802
24,18,7,22,0,0,0,0,50.80919157188068
25,7,9,22,0,0,1,0,55.26375318280694
29,23,7,15,0,1,1,1,46.041998377012455
35,9,10,9,0,0,0,0,50.5454203087464
47,17,12,17,0,0,0,0,48.604314407283006
30,10,8,14,0,1,0,1,51.82380684576869
34,25,16,19,0,1,0,0,50.05420467034608
37,18,10,26,0,1,0,0,48.72319433166295
28,22,12,14,0,0,1,0,47.76265152325858
41,22,7,21,0,0,0,0,47.10464001562974
21,22,8,12,0,0,0,0,45.91033366100284
23,18,6,9,0,0,1,0,45.14005390150944
31,17,4,5,1,1,0,1,44.01237217512994
31,12,5,9,0,1,0,0,45.69081886511665
33,11,13,22,0,0,1,0,55.18402569430303
36,10,10,3,0,0,1,1,49.57066619185467
20,21,7,11,1,0,0,0,48.68307233938353
27,26,10,13,0,0,1,0,44.597559745333726
34,17,7,5,0,1,1,1,44.41224374970244
47,15,7,14,0,0,0,0,43.600124107538456
27,12,7,20,0,0,1,1,52.61355172286336
30,17,10,22,0,1,0,0,49.79016261741842
22,11,6,25,0,0,0,0,55.34334552066521
43,21,6,23,1,0,1,1,46.966502749029495
23,23,8,25,0,0,0,0,49.26432747994112
26,24,19,18,0,0,1,0,52.73805071470156
24,17,7,10,0,0,1,1,49.84353341403781
35,31,9,6,0,0,0,1,40.02420747246629
38,22,11,11,0,1,0,0,44.12552986874054
18,17,10,14,0,0,0,0,51.69137283181668
31,26,5,11,1,0,0,1,42.309637993825056
19,12,11,16,0,1,0,0,54.61284929903873
32,29,11,14,0,0,0,0,43.67384057116227
27,24,12,17,0,0,1,0,49.61564716508368
17,4,10,11,0,0,1,1,58.40760156520229
24,16,10,11,0,0,1,0,51.58116735866858
31,18,11,14,0,0,0,1,50.71879005982179
41,21,11,24,1,0,0,1,51.22051248814258
35,20,9,12,1,0,0,1,49.15672154470542
26,20,12,16,1,0,0,1,53.14225361974576
22,13,9,3,1,0,0,0,49.27479369714381
19,16,11,11,0,0,0,1,52.48339766363488
36,20,6,21,1,1,0,0,46.84190185407158
26,22,1,10,0,1,0,1,39.58273017114378
18,33,5,10,0,0,0,1,41.81969330801186
25,18,5,12,1,0,0,1,47.65943674313501
42,15,13,17,0,0,1,0,51.2349494219981
33,15,7,15,0,0,0,0,47.57337539287154
21,15,10,12,0,0,1,0,51.28637841727034
20,25,5,10,0,0,1,0,43.59190333784488
33,25,10,4,0,0,0,1,45.01486471054895
29,16,3,14,0,0,1,0,43.75651907640623
26,11,11,8,1,0,0,1,55.6410146371246
31,27,9,20,0,0,0,0,46.57905009172787
9,18,9,29,0,0,1,0,56.30972318482848
28,25,12,18,1,0,0,1,51.654291248017714
37,13,8,19,1,0,0,0,51.67500643646957
34,12,6,14,0,0,0,1,52.4749350358038
30,19,10,14,0,1,0,1,49.6490879997787
20,23,11,10,1,1,0,1,49.77289238345447
35,33,8,14,0,1,0,1,40.600892846231886
27,16,8,18,1,1,0,1,51.62862677344789
25,26,13,10,1,1,0,1,49.28269811704942
29,21,16,14,0,0,0,0,52.88155494760448
34,21,4,15,0,0,0,0,43.26530368336757
26,21,9,21,0,0,1,0,49.95169552354084
26,24,9,9,0,1,0,0,40.75909184014623
26,19,7,12,0,0,0,0,47.90744254725767
23,28,14,6,0,0,0,0,45.81146252886503
30,17,9,16,0,0,0,1,48.91662002208884
31,17,9,18,1,0,1,1,50.603340249206006
28,14,9,12,0,0,0,1,51.62275146791582
30,19,13,16,0,0,1,0,50.11101489791576
19,17,12,15,0,1,1,1,52.10400499951496
18,16,12,19,0,0,1,1,56.47350670203118
41,10,10,12,0,1,1,1,49.84962746717238
26,21,7,24,0,0,0,0,51.7549275671168
25,15,10,18,0,0,0,0,50.62058985664181
24,24,8,15,0,0,0,0,46.91187543584893
27,29,10,18,0,0,0,0,44.94344302311676
20,14,10,11,0,1,0,0,52.00127340415934
19,22,6,19,0,0,0,0,48.59759106162627
28,18,11,12,1,1,0,1,50.13376523647706
22,17,13,23,0,1,1,1,55.80313108160996
23,20,9,10,1,1,0,1,49.62474431015691
28,16,10,15,1,0,0,1,52.57445919597737
15,9,7,14,0,0,0,0,54.546804383922776
33,24,13,4,0,0,0,0,45.0086049518328
26,24,9,17,0,0,0,1,48.48989382263593
33,14,16,18,1,1,0,1,56.7121034395123
20,10,10,16,1,0,0,1,57.11983345934287
37,15,9,4,0,1,0,1,46.18242653568085
32,12,9,14,0,1,0,0,50.88800852517287
32,16,11,9,0,0,0,1,48.83970178309807
27,19,8,13,0,1,0,0,45.86820781940048
42,20,9,26,0,0,1,0,48.0580568017051
14,26,14,15,1,1,0,0,51.52300362991512
37,23,11,16,0,0,0,0,46.47877128181384
42,10,12,12,0,1,0,1,52.67278610519831
16,19,10,9,1,0,0,1,53.258558837801615
37,17,9,22,0,0,0,0,50.58459013037957
42,24,13,14,0,1,0,0,45.82743861131856
37,14,12,14,1,0,0,1,54.67250518101058
27,26,12,22,1,0,1,0,49.73832360096271
41,13,11,22,0,0,0,0,52.25482622716681
37,20,8,17,0,0,0,0,45.36837089814068
20,14,8,19,1,0,1,1,55.09692696409921
26,21,7,20,0,0,0,0,46.65025382731712
27,23,11,4,0,1,1,1,44.816009311179165
51,29,14,7,1,1,0,1,42.75934199556382
29,28,7,8,1,1,1,1,40.90861126977455
22,13,12,12,0,1,0,1,54.27044380850926
38,14,9,17,0,1,1,1,47.76716170147336
19,23,10,29,1,0,1,1,56.11345024942344
29,16,9,11,0,1,1,1,52.022233726065
34,19,12,12,1,1,0,1,50.44919905570378
24,28,13,14,1,1,0,1,49.57530706247178
31,25,6,6,0,0,0,1,42.11645740682973
24,8,8,17,1,1,0,0,54.71789715756962
27,11,8,17,0,1,0,1,51.65963132230597
12,26,6,11,0,1,0,1,44.881600429268246
24,19,14,12,0,1,0,0,50.704049269621
28,16,6,12,1,1,1,1,49.38198393638945
32,13,11,3,1,0,1,1,52.06063683419537
23,22,14,8,0,1,0,1,49.32954994345661
47,33,15,23,1,1,0,1,45.30363622663685
23,24,5,20,0,0,0,0,45.49049396235252
30,23,9,18,0,0,0,0,47.153854776271096
24,19,12,13,0,0,0,0,50.37706755981698
27,26,9,21,0,0,0,0,47.502563456983054
33,25,8,16,0,0,0,0,44.47269977515433
45,20,10,10,0,0,0,0,43.94205225459387
18,13,14,10,0,0,1,1,56.64246843333739
42,20,11,5,0,0,1,0,43.37362695978203
30,21,13,15,1,1,0,1,51.6911070265227
34,21,10,30,0,1,0,1,50.984857477626
39,17,13,9,1,0,0,0,51.274878995860185
27,18,15,6,0,0,0,1,51.27028117494751
39,17,8,11,0,1,0,0,45.61586168970525
35,4,7,17,0,0,0,0,53.78440970133858
33,15,13,11,0,0,0,1,51.21242504784343
39,17,6,22,1,0,1,0,48.81015289009454
25,14,5,13,0,0,0,1,48.32318405170954
24,33,14,3,1,0,0,1,46.5798243791655
18,27,9,12,0,0,0,0,45.16761929634382
21,12,10,12,0,1,0,1,54.91724268093584
27,27,11,18,1,1,0,1,48.94788948731559
39,22,13,6,0,0,0,0,45.51739076221164
20,22,13,12,0,1,1,0,49.83011449513946
28,26,12,10,1,1,1,1,49.1184067060932
29,13,8,25,0,0,1,0,53.72943897160776
27,21,15,23,0,0,1,0,54.025719039408365
40,18,5,24,0,0,1,0,46.950651638467214
38,15,12,7,0,0,0,1,48.88314565359308
19,29,5,19,0,0,0,0,42.89398716892514
28,15,10,14,0,0,0,0,50.58392093344273
29,20,5,9,0,1,0,1,45.739217366658345
33,13,8,10,0,0,1,0,47.99026574513269
45,18,9,7,0,0,0,0,44.04369371594924
19,16,8,22,0,1,0,0,50.69895798255998
18,21,11,10,1,0,0,1,50.68819672048939
33,16,9,15,1,0,1,0,49.12470698279556
23,15,10,7,0,0,0,0,48.8734956845901
23,14,6,12,0,0,1,0,48.79826347260245
27,24,10,27,0,1,0,0,50.42796848300673
24,25,8,14,0,0,0,0,43.65935895333927
39,23,9,11,0,1,0,1,43.805729588780025
28,28,9,7,1,1,1,1,42.67411898341639
42,26,11,18,1,1,0,1,48.71369990732304
22,28,16,11,1,1,1,1,51.89139942518192
32,13,8,15,0,0,1,1,48.82153307502297
29,20,11,1,0,0,0,0,45.42737980004472
24,18,8,15,0,1,0,0,48.58111044479738
30,20,8,15,0,0,1,0,45.62006879615916
26,21,12,14,1,0,0,0,51.91498949228246
43,29,9,17,0,0,0,0,42.0275926403967
46,21,5,17,1,0,1,1,44.066065642572944
33,23,8,18,1,0,1,1,48.583909350624914
21,17,7,17,0,0,0,0,50.32121391791868
29,28,15,16,0,0,0,0,48.708871405926246
