age_at_application,prior_experience_years,previous_month_income,dependents_count,unemployed_status,prior_beneficiary_status,policy_enrollment_status,post_policy_monthly_income
33,23,9,15,1,1,1,115.79971799374232
27,18,15,16,0,1,0,100.95010011206575
26,16,4,16,1,1,0,98.96080794737853
16,34,9,10,1,0,1,103.0566491620654
19,18,12,23,1,1,0,96.86246169222822
23,16,12,15,1,1,0,94.34426490092348
24,18,16,22,1,1,1,104.98209589877465
27,21,13,12,1,0,0,101.09416472339238
22,22,12,17,0,1,0,100.66302262408796
46,19,12,13,1,0,1,123.23677614845744
32,25,4,16,1,1,1,115.66983253118173
25,15,10,13,1,1,1,99.39904470147712
24,24,14,12,0,0,0,100.30016740890557
31,25,12,15,1,0,1,114.0107370916411
31,17,10,13,0,1,1,107.27219669002132
33,22,13,8,0,1,1,111.02549569139344
32,12,14,21,1,0,1,107.89225934245562
24,18,9,5,0,1,0,92.26427501544084
35,16,11,13,0,0,1,109.01880209173656
11,26,7,4,1,1,0,87.57103873536013
38,18,8,12,0,0,0,110.3106760509509
34,25,9,13,1,0,1,114.32378375952204
24,30,13,14,1,1,0,108.64675696507253
33,27,10,16,0,1,1,117.70878933925825
42,12,6,7,1,0,1,110.88250756889492
32,22,9,9,1,1,1,109.9313181165676
36,9,6,12,0,0,0,99.1405924721488
40,28,9,18,0,1,1,127.226378092739
37,19,3,17,1,1,0,112.51798963358172
21,21,11,8,1,1,1,97.80935222248398
28,9,10,9,1,0,1,96.11016446528836
27,20,9,6,0,0,0,98.88117863174584
41,25,7,16,1,1,1,124.79941355499167
32,14,10,4,1,0,1,100.44932182466763
32,20,9,14,1,1,0,108.05055971582657
30,13,13,3,1,1,0,96.19386149514546
45,23,17,10,1,1,1,123.62068535806362
23,22,5,14,1,1,0,99.94523515039322
26,11,3,20,1,1,1,100.248575596381
43,29,11,11,1,1,1,126.7897894467197
39,9,10,9,1,1,0,103.37210906305208
23,21,9,19,1,1,1,102.99717174851584
34,23,12,5,1,1,1,111.72774119519964
28,17,9,11,1,1,0,99.02882354539504
26,10,8,17,0,1,0,94.20440150601613
39,25,10,10,1,0,1,119.10069730030484
28,27,8,13,1,1,0,108.70460450520817
39,17,6,8,1,1,1,113.37654607458072
45,17,8,16,0,0,0,118.08505440110838
34,23,8,5,0,1,0,105.91148386786688
29,20,11,19,1,0,1,109.2645936778352
29,13,12,20,1,1,1,103.86813794094417
21,18,7,14,0,1,0,95.61777889194626
45,12,8,11,0,0,0,110.274224008449
27,13,9,22,1,1,0,99.10332588107768
22,16,10,11,1,0,0,90.8665084019978
31,12,9,8,0,1,0,95.42606845911617
44,21,16,11,0,0,1,121.6308967478797
40,18,9,18,1,1,0,114.58318395180686
58,27,10,14,1,0,1,140.1495617709408
38,23,9,9,1,1,1,114.83517242132812
38,26,12,10,1,1,1,118.3770136401278
22,20,10,9,1,1,0,96.11314288140748
31,22,9,15,1,1,1,110.55334557376416
35,18,14,21,0,1,1,114.94999430084052
27,21,11,5,0,1,0,98.57819356184795
26,10,9,16,1,1,0,94.32525416306366
36,4,12,16,1,0,1,102.05313177205498
48,20,8,17,1,1,1,126.2479657859876
13,14,6,17,1,1,0,86.76001516973946
26,19,9,16,1,0,0,100.55853104237778
30,29,6,17,1,1,1,116.77428079757529
40,24,10,14,1,1,1,123.2276048857892
21,25,8,6,0,1,0,97.370385108488
37,17,12,10,0,1,0,106.92281531112936
36,27,8,19,1,0,1,123.55846764464246
32,21,6,17,1,1,1,113.16569840555955
19,19,12,12,1,1,0,93.2995501261674
27,28,12,6,1,0,1,107.5914641124164
30,22,7,16,0,1,1,112.59737843479628
22,26,10,9,0,1,0,99.08817971776534
21,22,10,8,1,1,1,99.08905247400284
34,10,7,19,0,1,1,106.21388582760622
27,15,11,15,1,1,0,100.41998974579788
30,21,13,5,1,1,0,103.5296587631382
22,5,9,10,1,1,0,82.59696433271712
25,24,13,13,1,1,0,103.7540281761342
23,17,10,13,0,1,1,97.10927415481386
26,19,11,13,1,0,1,102.2400850610311
30,21,14,7,1,1,0,104.1895763219158
41,26,11,8,1,0,1,120.5895388504251
20,20,8,5,1,0,1,92.84059247154732
22,17,13,14,0,1,1,98.24949434983964
26,29,7,28,1,1,1,117.16888784922187
36,23,8,19,1,1,0,118.87376884087116
19,23,9,21,1,0,1,102.438195655903
37,16,14,14,0,0,1,110.3742432142746
43,11,9,18,1,0,1,114.21299461632688
34,20,11,20,1,1,0,110.89061910252714
32,23,11,20,0,1,0,111.69979187290244
18,21,15,9,1,1,0,91.83680726279069
28,17,8,17,1,1,1,105.75522996256322
25,18,12,12,1,1,0,99.2140565549438
22,23,8,16,1,1,1,103.00029852313882
27,30,13,13,1,1,0,108.4807341421938
30,14,10,9,1,1,1,100.60719449245654
29,18,9,17,0,1,1,107.5742868628052
35,12,13,8,1,0,1,103.21252151780683
37,17,8,15,1,1,1,115.08560690116978
25,14,8,22,1,1,0,100.40513641617704
32,25,10,19,1,0,1,116.13149441159608
11,20,5,9,0,0,1,85.33094634813935
25,16,13,17,1,0,0,97.52465829573
43,18,11,12,1,0,0,113.73472021016444
36,23,13,17,1,0,1,117.7504122423867
33,23,10,7,0,0,1,108.80657763492984
28,15,14,27,0,1,0,106.4136587069496
31,14,9,14,1,1,0,102.26210862797846
27,16,8,13,0,1,0,100.0889387807275
18,16,10,8,1,1,0,88.11851517373034
41,22,11,21,1,0,1,123.7973459819217
29,24,10,13,1,1,0,106.84559825902797
33,16,10,11,1,1,1,106.9361576077222
26,7,4,10,1,1,0,89.3309795928135
27,21,11,11,1,1,1,106.48981521903296
7,19,12,19,1,0,0,80.96697633908805
23,13,11,17,1,0,1,96.5964858445055
28,24,7,18,0,1,0,109.79656426291406
31,17,7,9,1,0,0,101.87567329952743
40,13,9,12,1,0,1,110.89855354541062
31,27,7,17,0,1,0,114.22229531997928
21,15,8,8,0,0,0,86.98702791025944
28,24,3,10,0,1,0,103.93176558101209
37,22,8,25,1,1,1,121.26860316934209
24,27,6,9,1,1,0,102.58337998754116
20,26,6,7,1,1,1,100.76585063550688
36,18,12,9,1,1,0,107.1989001528491
18,27,5,20,1,1,1,104.91739049973508
27,20,8,15,0,1,1,104.12765967604317
26,15,7,26,1,1,1,106.76594696432107
25,24,13,20,1,1,1,108.8711953691134
53,22,13,19,1,1,1,134.87601670318676
41,22,9,22,1,1,1,125.32806152124554
15,23,8,15,1,1,0,93.50304533188176
30,13,10,13,1,0,1,101.38936227018807
25,22,17,2,1,0,0,95.48045314878954
30,17,11,19,0,1,0,104.65054964118966
24,5,8,8,0,0,0,83.35340790383549
21,13,8,19,1,0,0,91.69838940595136
34,13,6,13,0,1,0,102.52911729121752
27,11,2,19,1,0,1,100.21825314514857
32,17,11,6,0,1,1,104.86926609586132
29,32,8,8,1,1,1,114.78518655968416
30,23,4,18,0,0,0,108.68233328017942
18,8,14,10,1,0,0,82.87659387615227
32,30,8,11,1,1,1,116.67669237446069
26,22,12,8,0,0,1,103.28221686062992
39,34,13,-1,1,1,1,122.31392530661194
33,19,10,20,1,1,0,110.6551084210402
39,15,3,16,0,1,0,112.87206770982594
38,12,7,12,1,1,0,105.0249319522376
23,22,10,16,1,1,1,103.50866930024485
16,17,13,16,1,0,1,92.90071254455316
38,11,8,9,1,1,0,103.7864534289239
26,13,6,16,1,1,0,96.971672133062
41,25,7,20,0,1,1,126.34487597201336
21,10,11,17,0,0,0,88.57938636141364
13,20,7,4,1,0,1,86.36402727178267
27,19,11,9,1,1,1,103.0287631527577
27,21,8,16,1,1,1,106.64124734179558
25,15,15,10,1,0,1,97.34142624899714
21,16,9,7,1,1,0,89.82773427154403
28,28,4,11,1,1,1,111.92205688038705
16,13,7,19,1,1,0,89.63627169322959
32,24,3,14,1,1,1,113.31623629510833
30,28,7,10,1,1,0,110.17345544758793
15,11,9,19,1,1,0,87.04077186452378
30,25,11,14,0,0,0,108.41628166566292
27,0,14,10,1,1,1,87.0595396325086
38,16,7,15,1,1,0,109.9138599197291
43,9,8,11,1,1,1,109.80588822476928
34,18,5,14,1,1,0,108.64112909402893
34,22,8,9,0,1,1,112.44957434876636
26,16,9,14,0,0,1,100.6968151494176
29,25,13,13,1,0,0,109.03320521373072
30,10,10,17,0,0,1,100.370934254705
35,31,5,13,1,1,1,121.28253859085886
31,32,11,19,1,1,1,120.88175624512223
18,23,12,16,1,1,0,96.78218642992252
36,18,1,10,0,1,0,105.62170095416678
39,17,9,14,1,0,1,114.01986882953558
27,12,8,14,1,1,1,99.41290545426854
29,10,8,10,0,1,1,96.600420017003
23,13,4,10,0,1,0,90.27290298372158
17,18,10,3,0,1,1,87.71202309789936
38,23,13,8,0,0,0,113.89801808081393
30,27,7,17,1,1,1,115.00181872455885
32,20,12,14,0,1,1,111.93930788858732
33,15,6,17,0,0,1,107.79635720996896
33,15,6,15,1,1,0,105.137664746366
33,23,12,18,1,1,1,114.6225295558074
20,27,6,16,1,1,1,104.893755800553
34,20,13,13,0,0,0,109.09621109330912
19,25,11,8,1,1,1,98.25343609014166
32,19,13,17,0,1,1,110.83379478774198
27,18,12,10,0,1,0,97.83630090647344
17,34,4,18,0,0,1,107.27971679019204
19,12,16,4,0,1,0,83.43967026476858
34,15,11,14,0,1,1,107.83455111520348
30,19,13,6,1,0,1,104.64740057483286
13,26,6,16,1,1,0,94.61741325663507
19,20,8,8,0,1,0,93.30609774437268
24,16,10,14,1,0,1,98.87192998338956
24,12,6,18,0,1,0,95.08302847549636
36,19,7,9,1,1,1,111.81651189866425
24,9,7,21,0,0,0,92.88244799521796
26,6,9,16,1,0,0,90.1291908814078
25,26,14,24,0,1,0,108.87870787093522
35,7,9,12,1,1,0,99.338698411977
28,24,6,25,0,1,1,114.13585540916657
20,14,13,7,1,1,0,86.13497215296529
22,22,8,15,1,0,0,98.5873314862604
35,16,16,10,0,1,0,105.0572835140758
16,18,9,11,1,0,0,87.64542120340586
23,15,12,8,1,0,1,93.74925112591109
34,7,11,26,1,1,0,103.82657065330577
27,11,12,24,0,1,0,99.2257907913622
26,23,11,4,0,1,1,103.59740423018847
28,17,9,4,1,1,1,99.71411790231078
19,16,7,16,1,1,0,91.84915467721132
32,22,14,13,1,0,1,110.51791154144033
31,20,14,17,1,0,1,109.86960814570936
33,30,8,9,1,1,1,118.4090657926123
40,20,15,13,1,1,1,117.22425153334817
27,18,11,11,0,1,0,98.47798014989604
35,17,12,13,0,1,1,110.6119299846195
26,17,11,12,1,1,0,98.14524250296458
30,12,11,10,0,1,0,96.0338438967197
29,16,16,8,1,1,0,98.97871727551748
27,25,11,7,1,1,1,106.77464759363316
31,6,11,15,1,1,0,97.33253073009834
30,11,10,16,1,0,1,100.39315512384816
18,26,12,3,1,0,1,96.85454236510012
28,5,8,18,1,1,0,92.85303479117307
32,18,11,18,1,1,0,108.09891485827016
21,23,9,22,1,1,1,105.85867808693652
25,18,8,13,1,1,0,98.31911784805963
31,18,8,25,0,1,0,111.14137584703732
20,15,9,14,1,1,1,93.45244126980424
32,20,7,12,1,1,0,106.66069700476277
33,13,12,11,0,1,1,104.60810289766944
59,12,8,19,1,1,1,131.2052033444826
28,7,13,14,1,1,0,93.5695623619044
37,17,9,5,1,1,1,108.84825601825172
37,20,10,21,1,1,0,116.18197539960016
40,19,11,12,1,1,1,115.80105965256362
26,16,4,16,1,1,0,98.35502583727146
28,19,10,6,0,1,0,98.45355939230512
28,16,11,6,1,1,1,100.17215684495667
36,11,12,12,1,0,1,104.93693658056807
17,15,14,10,1,0,1,89.58667984141464
32,22,11,10,1,1,1,110.29808773875016
31,26,11,9,0,0,1,111.30349066215912
35,24,6,14,1,0,0,112.31098845575004
42,26,13,10,1,1,1,123.81559337855836
20,16,9,9,1,0,0,88.66811904547619
28,15,12,19,1,1,0,103.48372294274468
28,19,11,10,1,0,1,103.32036694489884
32,13,6,15,1,1,0,101.6255665051744
33,9,11,14,1,0,1,101.54803148662332
25,17,7,16,1,0,0,97.85791304629753
42,26,10,15,0,0,1,126.07535947581528
25,23,7,20,1,1,1,108.6655262849605
21,32,10,16,1,0,1,109.01744765258408
15,15,14,15,1,1,0,85.72781588999035
26,21,6,16,1,0,0,102.4648449061684
32,36,7,15,1,0,0,120.73730656744516
41,26,14,15,0,1,0,121.11154501006136
28,19,7,27,1,0,0,105.96320220924748
19,30,12,8,1,1,0,99.76825952673876
28,28,17,16,0,1,0,109.63333667028904
27,26,14,12,1,1,0,106.79014043195744
21,17,8,7,0,1,1,94.68310315353608
39,20,13,13,0,1,0,114.52435234999484
31,8,9,16,0,1,0,97.41724642290308
25,25,11,22,0,1,0,107.07917477676578
28,26,15,18,1,0,1,112.88991164725314
19,21,9,19,0,1,0,98.08892250254348
23,17,11,18,0,1,0,97.47712355743428
31,24,12,8,1,1,1,109.16756197581688
38,17,9,14,1,0,1,112.76020731932542
34,20,5,8,1,1,0,105.72318559471717
32,23,12,15,1,1,1,113.10143554511652
26,20,8,17,0,0,1,104.2985585965342
25,10,14,19,0,0,0,93.76273440319956
37,17,8,7,1,1,0,107.15260624241532
33,10,12,15,0,1,0,99.68026409275824
29,22,8,15,1,1,1,109.22765605424968
18,10,12,7,0,0,0,80.40867519815659
35,20,9,13,1,1,0,111.11786755364342
40,19,10,20,0,1,0,117.57227400226394
33,13,2,4,1,1,0,98.0843564556645
20,18,10,12,1,1,1,96.88967414136296
30,2,10,8,1,0,0,87.7473528601685
36,11,10,10,0,0,0,101.62795124598831
31,17,6,26,0,0,0,109.07995764845666
23,21,10,19,1,1,0,103.67026749444707
22,23,7,18,1,1,1,104.3636208004464
19,16,8,15,1,1,0,91.78848468059203
29,25,7,9,1,1,1,108.33025363946363
31,8,7,14,1,1,0,96.28369673846878
26,29,8,12,1,1,0,106.50787108240262
37,16,7,25,1,1,1,117.31882353954964
35,28,10,18,1,1,1,121.08775451450016
18,25,7,21,1,0,1,101.68336747057822
43,21,9,24,1,1,0,123.4130637852588
23,21,6,11,1,1,1,100.11159402259948
34,14,9,8,1,0,0,99.48656176529492
38,23,9,8,1,1,1,116.08276896246367
29,21,7,11,0,1,1,105.08232822306276
32,12,8,10,1,1,1,102.5085592205851
29,18,8,14,1,1,1,105.91688415709768
25,9,6,7,1,1,1,90.11670835929192
34,3,6,10,1,0,0,93.18544473674132
28,20,13,9,1,1,1,104.101468249125
39,23,10,10,1,1,1,118.47869618333634
35,14,11,14,1,1,1,108.11179918497513
36,24,8,22,1,0,0,116.35860301380892
37,12,11,10,1,0,1,107.18011345475212
30,17,5,13,1,1,0,102.95426830782228
23,21,11,15,1,1,0,98.7756478318975
39,19,8,22,0,1,0,116.87626523461924
45,12,5,7,1,0,1,112.47694904340683
32,16,1,14,0,1,1,106.86128607551512
21,25,9,11,1,0,1,101.60164323734314
36,22,10,12,0,0,1,114.2741598797222
42,26,4,7,1,0,1,120.08992281749931
41,16,11,14,1,1,0,113.89061901445578
25,19,8,14,1,0,1,102.8051536998578
31,13,4,22,1,0,0,104.25067836542074
47,10,12,5,0,0,1,112.98337238438626
39,20,10,17,0,0,1,118.53872224079366
26,23,10,15,1,0,1,107.32832578860376
44,20,6,16,1,1,1,122.49510174028296
44,24,10,12,0,1,0,119.71611664923172
35,9,6,11,1,0,1,102.39409090618592
25,10,7,20,1,1,0,95.0794205676898
23,21,7,13,0,0,1,100.05387598772984
13,24,7,7,1,1,1,91.17526239198116
48,20,7,11,0,1,0,123.85501499853676
32,18,16,19,0,0,1,109.76837081171584
36,15,8,12,1,1,0,106.13964365955322
26,16,7,17,1,1,1,103.15921488179904
13,22,16,7,1,1,0,87.56138802879099
35,10,5,20,1,1,1,107.67951269942417
9,29,16,3,0,1,0,86.82619370294103
43,22,9,16,1,1,1,123.35200893457714
32,24,17,11,1,0,1,111.1954411870496
27,16,5,16,0,1,0,98.61011822318991
33,27,4,7,0,0,1,112.33210788568114
27,19,9,8,1,0,1,101.36561211832584
24,19,4,16,0,1,0,101.14468478545342
36,14,10,10,0,0,1,106.83622484451374
23,14,14,20,1,0,0,93.77570253396466
29,26,8,22,1,1,1,115.32781156335716
37,12,8,9,1,0,0,103.40624488020546
19,22,12,16,0,0,0,96.68361759906334
27,20,9,13,1,1,1,106.96778755020549
27,13,4,8,1,0,1,94.24250098870972
