years_of_experience,hourly_wage,gender,full_time,unemployment_benefits,regional_unemployment_rate,job_training_program,annual_income
8,27,0,0,0,10,27,242.2713491077573
13,31,0,0,0,9,18,163.54877605456454
10,31,1,0,0,5,15,139.35547520253354
8,31,1,1,1,7,19,174.0969245472701
12,33,1,0,0,10,17,154.7025896680126
17,28,0,0,0,10,18,162.34885523284586
11,29,0,0,0,6,18,161.91975158642657
10,27,0,0,0,11,21,189.9429078382952
11,35,0,1,1,11,16,145.14172309294128
9,31,0,0,1,13,20,174.69042880959665
7,29,1,1,1,9,21,190.78249771885643
9,24,0,1,0,10,23,207.3128729053139
9,28,1,1,1,7,22,197.0411220242679
11,28,0,1,0,9,21,189.6067340657739
10,27,0,0,1,8,19,172.8884603311889
12,26,1,0,1,9,19,173.9260370663538
8,29,1,1,0,13,25,223.0893356354223
12,29,1,1,1,11,19,171.89656677051025
11,24,0,0,0,7,21,193.103002167442
9,29,0,1,1,11,20,179.1110128274023
5,31,1,0,0,14,26,228.57622377765188
10,29,1,0,0,12,24,211.14815255043237
7,31,0,1,0,10,21,188.81710983100947
7,27,0,0,0,9,21,191.20061537333305
9,30,0,1,0,8,22,198.478573438268
7,28,0,0,1,11,22,197.2623351061422
6,30,0,1,0,9,23,206.61561889444005
8,28,0,0,1,10,21,188.85620108747315
9,25,0,0,0,13,25,220.4967899323819
8,32,0,1,0,7,20,181.56164841835155
13,28,0,0,1,14,21,186.490825788454
8,30,0,0,0,8,21,188.7718874917445
10,30,0,1,1,7,19,171.68384236308236
14,28,0,0,1,12,20,178.1020700322828
7,31,0,1,1,7,20,184.08634354158576
12,25,0,0,1,9,22,197.7727724904558
10,29,0,1,0,7,19,172.85644277673512
12,31,0,1,1,11,19,170.25860764695503
6,31,0,0,1,11,22,197.8994091701852
8,31,0,0,0,10,22,197.1992446406581
9,28,0,0,1,9,20,182.42554159017
10,30,1,0,1,10,20,180.65793190777453
5,33,1,0,0,8,19,171.8929615698319
5,27,0,0,0,8,24,215.4953824073186
5,30,0,1,1,9,22,198.0187108399604
6,27,1,0,0,8,22,197.70342004127855
15,31,0,0,1,10,17,152.6705787517496
9,30,0,0,0,7,19,173.61459248668632
10,30,0,0,1,9,18,164.1609306537598
16,30,0,0,0,10,17,155.89282918741026
11,31,0,1,0,9,18,166.8794461371527
13,29,0,0,0,12,17,151.90566810209475
14,30,1,1,1,11,17,153.88783719523667
11,26,1,0,0,14,22,198.0982633138688
2,26,1,1,0,8,25,225.6560438751776
7,30,0,0,0,10,19,174.01947959250845
10,29,0,0,1,13,21,186.96521480589345
13,31,0,0,0,11,17,153.93623052973953
8,31,1,0,1,10,21,188.0754126174129
12,31,1,0,0,10,20,181.9139312211886
10,32,0,0,0,8,19,170.34753038256318
9,24,0,1,1,12,25,225.1399740149722
11,33,1,0,0,8,15,138.67527752971802
15,25,1,1,1,12,21,185.92901266481027
10,27,1,0,1,9,19,172.94027148643474
8,26,0,0,1,14,22,193.87131763073663
5,30,0,1,0,13,25,224.5605420754652
13,31,0,0,1,9,16,147.6709863577593
17,30,1,1,0,11,17,153.1484122465665
8,27,1,0,0,7,22,199.6007208519974
8,27,0,1,1,9,21,187.7982712299249
9,25,0,1,0,10,21,189.49923632972383
12,28,0,1,0,9,16,148.74047915630084
7,29,0,1,1,9,22,197.92434091721947
8,31,0,0,1,10,23,205.7259261847898
10,28,1,1,1,10,18,161.77760721092423
7,27,0,0,0,12,23,207.8103273017581
10,28,0,0,0,9,18,165.15534255166148
11,28,0,0,1,12,21,187.45069305129255
10,32,0,1,0,7,21,190.21039079965632
14,29,1,0,0,7,16,145.1192373132161
8,30,0,0,1,6,21,189.08971228471853
9,30,0,1,1,7,17,156.95461528018484
12,29,0,0,1,8,18,162.80678149663902
8,29,0,0,1,9,21,187.6030348282461
13,29,0,1,1,8,19,169.67554455357885
10,30,1,1,0,7,18,166.42581000458733
6,28,0,0,1,9,22,197.7666404730269
12,25,1,0,1,9,21,188.8042255024076
9,30,1,0,0,9,21,190.30439871324657
10,28,0,1,0,9,21,190.71110707294235
9,29,1,0,1,12,22,195.55789865543005
5,29,1,0,0,12,26,232.621525072392
7,28,0,0,0,11,25,220.00935977696145
8,28,0,0,0,10,24,215.5825164658308
8,30,1,0,0,11,23,204.14411416983785
8,28,0,1,0,8,20,183.3258041866744
5,26,0,1,0,14,27,242.9233736727351
8,30,1,1,1,10,21,189.43132975158707
11,29,0,0,1,9,17,153.68494673327734
10,29,1,0,1,8,16,145.10915587052648
11,31,1,0,1,8,19,173.2957257876336
3,28,1,1,1,8,21,191.8036770311008
10,30,0,0,0,9,19,170.31147788660505
11,31,0,0,1,9,15,140.0106263523009
12,30,0,0,1,8,19,172.819050128916
6,33,0,1,1,10,22,198.63542370946172
7,29,1,0,1,9,21,189.3940717899509
6,34,0,1,1,11,19,169.5974704361918
11,30,0,1,0,12,20,180.31679368589903
6,29,1,0,0,10,23,208.19538244918783
8,30,0,1,0,6,20,183.82778976102216
11,31,1,1,1,9,19,172.05132724340697
10,31,0,0,1,12,22,197.28809597603896
4,31,0,1,1,12,24,217.65336126802023
6,32,0,0,0,10,23,206.4824333482865
14,29,0,0,0,10,18,162.1187870500297
11,27,0,1,0,8,21,188.14815079241515
10,30,0,0,0,8,18,165.44843786110954
7,28,0,1,0,7,20,184.47765240997484
15,27,1,1,0,9,17,152.7924899538886
15,28,1,0,0,11,19,170.08875239652554
10,30,0,1,0,11,25,222.46205429893104
9,35,1,0,1,8,18,161.85274152690602
12,26,1,0,1,10,19,170.7156438624833
4,29,1,0,1,9,25,224.33710555060355
11,29,1,1,1,11,21,186.6783494454496
13,26,1,1,1,9,20,178.89666538908622
7,31,1,1,0,10,23,205.0674818693073
15,28,1,0,0,9,19,171.1051168353594
15,27,1,0,1,7,18,164.4578078907
9,28,0,1,1,7,19,173.99788285164507
10,28,1,1,1,10,20,182.78457942662035
8,32,1,1,0,10,23,206.0578171815924
7,34,0,0,0,7,18,162.75518998489267
12,28,1,0,0,10,21,187.14571985285016
7,29,0,0,1,12,22,197.57551486344488
7,29,1,0,0,9,20,182.98186624147377
8,31,0,1,0,9,21,190.27041423465144
9,32,0,1,1,13,21,187.53145194994096
9,31,1,0,0,9,18,162.20968591311114
10,29,0,1,0,9,20,180.13158748975673
14,30,0,1,0,12,19,170.409391157691
10,28,1,0,1,9,22,197.37554007800344
11,27,1,0,0,11,21,188.9203564706976
9,29,0,0,0,9,20,183.4968663567134
13,29,1,0,1,9,14,128.11161774989552
8,27,0,1,0,9,25,223.39389010752757
10,25,1,1,0,10,25,223.99453107261945
7,29,1,1,0,8,21,189.5421705981865
7,25,1,1,1,8,22,201.33733082960995
9,33,1,1,0,11,18,162.89489918027823
11,28,0,0,0,10,21,188.7728294258569
12,32,1,0,0,10,18,160.67205088779087
12,31,1,1,0,11,18,163.08492012332113
7,32,1,0,1,11,21,189.48013303961145
10,33,0,0,1,11,19,168.07377888232986
16,28,0,0,0,9,17,152.24980249866798
9,32,0,0,0,6,17,154.98234823275973
9,30,1,0,1,10,19,173.42538852430758
11,31,1,1,1,8,17,153.7606656725585
11,31,0,0,1,4,16,147.216566906815
15,24,0,1,0,8,20,182.0772450245608
9,30,1,0,0,9,22,197.480419841598
11,26,0,0,0,10,21,190.96592939880577
10,30,0,0,1,8,20,178.65380452691824
9,30,1,1,0,8,22,195.84140767091847
11,30,0,1,1,12,22,197.77160819436008
12,29,1,1,0,10,21,188.59962491159305
9,30,0,1,0,12,23,205.65815769316688
6,27,0,1,0,11,24,217.2839715185239
9,31,0,0,1,11,20,179.75593569388894
7,29,1,0,0,12,24,213.16608389883615
12,27,0,0,1,13,23,205.29514637286127
9,30,1,0,0,7,20,179.63631150935228
10,28,1,0,0,10,19,174.87122094761833
9,31,0,1,0,9,21,188.960180424166
11,30,1,1,1,11,21,188.2749388154625
6,30,1,1,0,11,23,207.08442225996413
10,31,0,0,0,10,22,196.3092702319727
11,28,0,0,1,12,22,198.4815019373887
6,31,1,0,1,9,22,196.81830769856217
7,27,0,0,0,11,21,189.76356516186547
9,30,1,1,0,12,20,179.72934734244873
4,29,0,0,1,8,22,200.37234380720503
8,29,0,1,0,7,23,207.5975337379548
12,26,1,1,0,9,22,197.59551127463547
9,32,0,0,0,9,18,160.64317664405434
10,34,1,1,1,9,18,161.2185191379728
11,28,0,0,0,9,19,172.10508691930994
9,26,0,0,0,10,21,191.0326318953145
8,28,0,0,0,10,22,200.1526795367853
10,31,0,1,1,11,18,160.6425992161516
8,30,0,0,0,10,20,180.68864776873667
8,33,0,1,1,9,18,161.8524857579556
8,30,0,0,0,12,22,198.81850479403937
8,31,0,1,0,8,18,162.20154236374358
10,32,1,0,1,9,19,171.62644128610853
13,29,1,1,1,5,13,122.882010498723
13,29,1,1,1,14,20,178.22767747624732
13,31,0,0,1,10,17,152.58024582469787
7,29,0,0,0,11,23,205.5822497026257
9,30,1,0,0,9,21,187.93795511271023
11,31,0,1,0,9,19,169.43665736128722
10,28,0,1,0,10,23,204.77444963113615
9,35,1,0,0,8,15,137.98785998292928
7,32,1,0,1,11,22,198.2870305949782
11,32,1,1,1,13,20,177.52126152883616
7,30,1,0,1,8,21,190.8823181959956
10,29,0,0,0,10,21,189.23341923960703
11,32,0,1,0,8,19,172.1664361018062
18,28,0,0,1,8,16,145.9596622914436
7,28,0,1,1,10,23,207.985137793534
7,31,0,0,0,13,24,211.54147735361383
13,29,1,0,0,12,20,179.3145816617945
12,25,0,0,1,8,20,183.63110155041795
12,31,0,1,1,12,17,150.59127702378038
11,32,0,0,1,8,18,163.6457869987702
14,29,0,1,1,12,21,189.34871130460243
10,31,1,0,0,9,20,180.8477542835891
10,27,1,1,0,10,22,198.8702092623929
14,35,1,0,0,9,13,118.74343297142418
6,29,0,0,0,9,20,180.25371972216655
12,30,0,1,1,10,18,165.74762778776451
10,32,0,0,1,8,16,149.2791918999588
12,32,0,1,1,8,17,154.3655605993131
8,30,0,0,0,7,19,172.69641924681198
8,30,1,1,0,8,21,191.23980556344765
9,29,0,0,0,7,18,163.30326302764956
10,24,1,0,1,9,21,191.63943370904627
7,30,0,0,0,10,22,198.71474923696604
8,25,0,0,0,10,23,207.94245195419
9,25,0,0,0,13,21,190.4627290411724
8,33,0,1,0,12,21,188.6400152376871
10,29,0,0,1,10,18,163.5976708951588
12,34,0,0,0,8,17,153.34861030500443
6,31,0,0,1,9,21,191.67008255807943
12,28,0,0,0,11,19,170.99063813061153
8,28,0,0,0,9,21,189.78027291074147
10,26,1,0,0,11,20,179.83479609341973
8,32,0,1,1,11,20,181.38124102091288
12,29,1,0,0,9,19,169.6434905350863
10,31,0,1,1,8,19,171.6174759455183
8,29,1,0,0,9,23,206.8297521985408
5,32,1,0,0,9,20,181.69994926524717
11,29,1,1,0,7,17,153.6353761396123
15,25,0,1,0,8,18,162.4055397095307
10,31,0,0,1,11,17,155.9277706853942
1,31,0,0,1,10,23,208.1765614051253
8,33,0,1,1,12,22,194.85759193090743
7,31,0,1,0,12,22,196.61735604784
7,27,1,0,1,8,21,191.47952463925932
8,31,0,0,0,8,20,182.309796100348
14,28,1,0,0,5,14,132.16437627462412
9,30,0,1,0,6,22,197.51444195250116
13,29,0,0,1,7,18,163.4395777490934
9,30,0,1,0,9,21,190.35595400756236
9,30,1,0,1,8,19,172.57525259992812
2,29,0,0,0,7,26,233.8461874411021
8,30,0,0,1,9,19,171.1707648931754
7,28,0,1,0,10,23,206.2018965276417
10,29,1,0,0,11,22,195.84019873512716
11,24,0,0,1,11,22,197.43982369516596
14,31,1,1,1,10,18,162.1678555353381
11,29,1,1,0,11,23,206.2190543755249
9,31,1,1,0,9,19,172.56960340710242
7,29,0,0,1,12,20,181.34768030917843
9,32,0,0,0,7,18,162.81373984894788
8,28,1,0,0,10,23,210.44427034417865
9,33,1,0,1,7,14,129.12612075153208
10,28,0,0,1,9,22,196.80937304161773
10,27,1,1,0,9,21,188.7278384928392
7,30,0,1,0,9,20,179.7901880976219
11,25,1,0,1,8,17,155.96363744782363
6,31,1,0,0,10,20,180.305832715204
8,28,1,0,0,10,22,195.90818604426207
15,28,1,0,0,9,17,152.09778892703994
6,29,1,1,0,8,22,198.9511656803174
13,31,0,1,0,11,23,204.76848128381687
12,31,1,0,0,9,18,164.58582547680774
9,31,0,0,0,8,18,165.75228351420066
13,27,0,0,0,12,19,173.730481709063
7,31,1,0,1,9,20,179.31135366693698
12,28,0,0,0,11,20,181.9743451134072
12,31,0,1,0,10,18,160.7956566676504
7,25,1,1,1,10,26,233.79271370218785
9,31,0,0,0,10,21,188.03124381817523
6,29,1,0,1,10,21,191.4724293136561
6,32,0,0,1,12,21,186.0731463050074
8,26,1,0,1,8,23,209.48719990088625
13,30,0,0,0,11,20,179.08514207542729
10,32,0,0,1,8,17,157.50477674740796
13,31,0,0,0,8,20,179.73066145144912
12,27,0,1,1,5,19,173.70186177077522
7,36,1,0,0,10,21,187.5025941883277
9,28,0,1,0,10,24,214.811705451224
12,29,0,0,1,11,20,180.58180350134063
9,30,1,1,0,9,20,180.9288917971168
12,26,0,0,0,9,20,180.1254176865649
6,28,1,0,1,10,21,190.2931606695167
4,29,0,1,1,11,23,206.97998631853383
12,29,0,1,1,11,18,164.33047054175242
8,29,0,0,0,7,21,189.01846193146028
12,30,0,1,0,11,18,163.27719073947776
10,32,0,1,1,13,21,187.2931668780108
9,32,1,0,0,10,19,171.9512572786302
12,29,0,0,0,9,19,173.29564507777226
12,32,1,0,0,12,18,164.1102094471497
7,27,0,0,0,11,25,225.80528061486964
11,30,0,1,1,10,18,164.59289764515827
9,27,0,1,1,13,22,195.57223058941872
12,26,1,1,0,12,24,210.75108166514616
6,30,1,0,1,10,20,182.2588687939554
13,29,1,0,1,9,19,172.57651184997522
10,33,1,0,0,12,18,160.61502061551028
9,28,0,0,0,7,20,184.4217528323693
15,30,0,1,0,8,18,162.0133636049556
9,30,0,0,1,8,18,166.99166743646532
10,29,1,1,0,9,22,197.7369333316367
6,31,1,0,0,8,20,182.1498666788337
13,28,1,1,1,9,20,182.24261193219715
13,31,1,0,0,9,15,137.50724935085202
6,30,1,0,1,12,23,204.64247560155903
10,29,1,0,0,10,21,190.05747025622
9,31,0,1,1,10,21,186.293032271102
10,27,0,0,0,10,19,172.0665592620013
7,28,1,1,1,11,22,196.90423647822317
6,32,0,0,0,6,18,165.7253717929804
9,30,0,0,0,7,19,172.22898016703206
14,29,0,0,0,8,17,154.41529810589796
13,29,1,1,0,13,24,212.9524695960756
3,28,1,0,1,11,23,206.8431865506213
8,28,1,0,0,10,22,199.45968918192068
10,25,1,0,0,10,23,207.26634864595857
7,28,0,1,0,14,25,225.15627273400287
10,28,1,0,1,13,22,194.678726697596
8,30,1,0,1,10,21,189.77409419842127
5,31,0,1,0,9,24,216.1923048355697
10,30,1,1,1,13,21,184.99292867801103
9,28,1,0,0,11,21,189.83926956766416
10,27,0,0,0,12,24,215.38889602001333
13,30,1,0,1,10,17,154.45804104992183
12,29,1,1,0,9,18,165.1045235331302
8,28,0,1,0,11,23,206.87609419740576
8,29,0,0,0,11,21,189.34117861831143
7,32,1,1,0,9,20,181.9451390023561
9,28,1,1,1,12,22,196.5829447210331
14,28,0,1,1,12,17,152.8351588502924
9,31,0,0,1,7,17,155.13656709229005
10,30,0,0,0,7,19,173.52758963711057
9,30,1,0,0,8,18,163.585408335373
9,29,0,1,0,6,20,184.01079419287055
12,27,1,0,0,10,20,177.84274441818417
12,28,1,0,0,14,23,202.8506722673623
9,32,0,0,0,8,19,175.0789322631432
8,29,0,0,1,11,22,196.9300030026661
10,30,1,0,0,10,21,185.84298233554816
11,22,1,0,0,11,22,198.2515709681107
12,30,0,1,1,11,19,167.92822979207023
4,28,0,0,1,8,21,191.3471195349973
9,29,1,0,1,11,17,155.8512009934664
15,21,1,1,0,11,22,197.83275194418584
10,31,1,0,1,7,16,146.01787054481846
10,29,0,0,0,5,16,148.34667312584884
10,28,0,0,0,10,22,198.9899392114968
9,30,0,0,0,8,20,183.27511010336133
6,30,0,1,0,9,21,191.588850440292
5,30,0,1,0,10,21,189.61973679289468
