age,years_of_experience,previous_month_income,education_years,gender,rural_residence,job_retraining_program,current_month_income
23,19,13,12,1,0,1,44.26176581545768
18,18,9,13,1,1,0,48.05678154663772
22,16,11,16,0,0,0,43.159372633541125
29,6,12,6,1,1,1,34.16041675741372
24,24,14,14,0,1,1,49.10541448013017
27,29,13,13,1,1,1,48.694776658650525
29,14,10,18,0,0,0,35.51379977433729
47,23,7,17,0,0,0,21.265203785696688
27,17,11,12,1,1,1,41.66995787092556
33,15,9,10,0,0,1,33.94329147612072
32,16,7,10,1,1,0,32.450758612449846
29,20,6,22,1,0,0,35.454371376821165
15,12,14,8,1,0,1,49.91531288646056
13,19,9,7,0,1,0,51.52625815438103
47,30,10,9,0,1,0,30.780219607727943
23,26,8,16,0,0,0,46.70499094960866
29,22,5,15,1,1,1,38.955507860452215
27,32,11,7,1,0,0,49.43380896314572
24,21,7,11,0,1,1,44.48295509742728
25,17,9,12,1,0,0,38.98979316811699
30,25,10,16,1,0,0,38.55155211933328
30,34,11,19,0,1,1,48.819244453056015
26,6,11,9,1,1,1,38.36640971309293
31,27,16,18,1,1,1,43.66596859142192
39,17,8,15,0,1,1,28.71463190662473
37,27,8,16,0,0,1,37.12342088033633
34,16,17,11,1,1,1,34.99548281919447
30,22,8,17,0,1,1,40.06911984413434
35,23,9,9,0,1,0,34.868619490035286
34,20,4,22,1,1,1,34.37684073902284
25,20,8,12,0,1,1,44.818853948661854
27,16,13,15,0,1,1,41.29361027557375
27,16,9,16,1,0,1,37.55293328983808
24,15,10,14,1,1,0,38.51820237238792
36,14,6,18,1,1,0,27.2520300025882
25,26,8,16,0,0,0,44.69066636673423
31,21,11,12,0,1,1,39.708255983091554
10,20,12,7,0,0,0,57.88603318535628
23,20,10,12,0,1,1,47.31987953390435
30,20,7,15,1,0,0,36.500231321857015
31,18,12,10,1,0,1,37.69674231054107
22,17,11,11,0,0,1,45.58446033822484
16,14,16,7,1,1,1,51.32299920999754
21,24,17,7,1,1,1,54.19184328658635
27,17,11,13,0,0,0,39.30262901635092
23,17,13,12,0,0,1,43.6485323793494
26,14,8,14,1,1,1,37.654792707178125
24,25,10,11,0,1,1,48.916948487952496
40,28,9,12,1,1,1,36.296874414926016
33,36,11,13,1,1,1,44.61908292327445
26,22,8,14,0,1,1,41.91823194150234
31,17,11,10,0,1,1,39.98215999300309
47,21,11,13,1,1,1,25.23342832933825
15,22,9,6,1,0,0,51.17485128471835
37,11,12,15,0,1,1,28.554737876853785
20,24,10,14,1,1,1,47.57958730995512
25,20,6,17,0,0,0,39.5756847788618
34,9,13,14,1,0,1,29.6580525493496
30,13,10,11,1,1,0,35.025654284852216
28,28,12,10,1,1,1,47.013039200768816
31,20,9,15,1,1,1,37.35357669002849
19,21,11,10,0,1,0,48.70906333484063
22,19,9,12,1,1,1,43.87473480020231
38,15,10,18,1,0,0,26.70512446915305
24,20,6,14,1,1,0,41.83580653678965
37,23,15,16,1,1,1,36.08795817436363
38,16,8,17,1,0,0,26.02290713971641
33,19,15,22,1,1,1,37.64877027293876
30,19,6,21,0,1,0,33.52904112768121
34,30,10,12,0,0,0,40.92302743903674
26,24,10,22,1,0,0,42.27930500294054
31,15,8,13,1,0,0,33.68731626421651
34,29,7,0,0,1,0,39.50127481821283
31,17,10,17,0,1,1,36.8316640026632
26,26,14,24,0,1,0,44.44595889426292
31,16,9,16,0,1,0,33.23602473398709
36,19,16,11,1,1,1,35.8607962358983
24,22,12,14,1,0,1,46.79393534749055
27,25,8,5,1,0,0,45.74326958544635
35,17,9,10,1,0,0,30.975777081057217
28,17,8,11,0,0,0,36.7166106583686
21,27,7,12,0,0,0,47.29963613553937
32,17,11,11,1,0,1,37.40622708600276
43,13,9,16,1,0,0,21.655629738979645
31,17,9,19,0,1,0,34.1161736703257
45,14,8,11,1,1,1,21.356273342082943
33,7,7,17,0,1,0,25.524615362640382
19,14,7,18,1,1,0,40.03507537764603
36,17,7,9,0,1,1,31.368332316721236
12,21,8,9,0,1,0,52.0463798898003
35,12,8,8,1,0,1,30.89024903916457
29,24,9,14,1,1,0,39.67080092745677
21,17,12,11,0,1,0,45.735513029145366
42,23,10,16,1,0,0,28.902790420895837
23,24,3,14,1,1,1,45.00843958058117
31,16,10,11,1,0,0,32.17306237010839
28,22,14,10,0,0,0,42.38136525413616
32,22,10,10,1,1,1,39.6988430485196
29,8,10,17,0,1,1,31.755068634560786
26,19,13,13,1,0,1,45.00216644770386
11,6,8,6,1,1,1,49.99876137668356
14,15,9,14,1,0,0,48.19630868455154
21,23,6,5,1,1,1,47.54975992670849
32,21,6,14,0,1,0,35.07817809979237
30,26,10,11,1,1,0,42.432096307318055
35,20,12,19,1,1,1,34.7438516892404
38,16,2,14,1,0,0,24.2923582372055
27,19,12,13,1,0,0,40.84717345502216
27,21,14,11,1,1,0,43.47607270613256
37,17,9,9,0,0,0,31.15429098207668
13,22,7,16,0,1,0,50.29653701921626
22,22,11,16,0,1,1,47.03309966490672
24,15,11,18,1,1,0,38.214071663089086
18,17,10,17,1,1,1,46.5415446624472
41,16,6,4,1,0,1,26.05386951337225
31,15,8,17,1,1,0,32.400521127945204
18,21,12,18,1,1,0,49.20456319682771
30,30,11,14,1,0,0,43.62709094079865
28,25,12,10,0,0,0,43.19718088081861
24,33,8,13,1,1,0,49.863704742137486
23,30,8,24,0,1,1,49.627047080520526
13,24,13,15,1,0,0,55.83147923400457
43,18,11,23,1,1,0,23.565031826556886
40,21,11,12,1,0,1,30.591227709136582
23,21,11,13,0,1,1,46.147228726288674
17,15,8,7,0,1,0,47.50755702906005
26,18,8,12,1,0,0,40.379451618781474
41,14,7,14,1,0,0,23.827831884828857
29,11,7,10,1,1,1,36.163449078429856
29,19,4,17,1,1,1,37.76161211746545
23,25,12,13,1,0,1,49.0534461255623
20,19,7,10,1,0,0,44.13886514990345
24,23,11,7,0,0,0,45.60572222843447
34,14,11,19,1,1,1,32.32017283932494
21,22,8,21,1,1,0,44.87379971989181
42,15,9,23,1,0,0,21.79801672676132
43,15,5,16,0,0,0,20.739678814514843
36,26,11,19,0,0,0,34.64944607613643
19,23,6,7,0,0,0,48.43277572718099
23,33,11,14,0,0,0,52.63102957575685
24,18,7,12,0,1,0,40.888540236013625
26,22,6,14,1,0,0,40.50892515588557
44,29,12,9,0,0,1,34.04110478404904
20,22,12,14,0,1,0,51.100118770029
23,27,7,13,1,0,0,48.35967865619013
28,24,7,16,1,1,1,40.82905510209242
27,28,10,10,1,1,1,46.99968864453952
27,11,7,23,0,1,0,33.86921566438809
32,25,14,6,0,0,0,42.087298349493295
22,23,9,15,0,0,0,46.82673541803435
20,24,7,18,1,0,1,48.02076116847637
35,16,14,22,1,1,0,31.17150452485804
28,19,11,16,0,0,0,40.31601087545744
26,30,11,7,0,1,0,47.75847367873955
53,21,10,14,0,0,1,20.16386137577395
31,22,10,21,0,1,1,38.99295754148476
32,19,10,14,0,1,1,35.31500402630622
27,36,10,16,1,1,1,48.61833170086035
37,15,12,16,1,1,1,31.02646132475014
35,15,12,19,1,0,1,33.16363056618358
39,21,6,17,0,0,0,28.97765863018656
33,18,10,12,1,1,0,34.532689961682344
43,28,11,10,0,1,1,34.61192358831745
31,22,12,16,1,1,1,38.826595605592
14,29,11,9,1,1,1,57.60152257726049
32,23,14,22,0,0,0,37.92778118473982
25,13,6,10,0,1,1,37.654235612588906
35,16,12,14,0,0,1,34.99355904742504
20,15,12,10,0,1,1,47.78415117644737
38,24,5,12,0,1,0,31.20868062652673
26,27,14,21,0,1,1,49.734020055402425
32,14,14,11,0,0,1,37.7963288214333
28,25,11,27,1,1,0,39.926928122890565
22,18,12,6,1,1,1,47.71578907197157
16,26,13,15,0,1,0,56.67204511985394
16,16,14,11,1,1,1,50.70898740246159
35,19,14,3,0,0,1,39.11804270819744
18,30,11,15,0,1,0,55.63627944665374
26,5,10,18,0,0,0,31.888837862385444
14,21,9,16,1,0,0,50.48901565507708
20,28,8,18,1,0,0,50.01056326907848
33,24,8,13,1,1,1,36.93276936111072
26,28,8,13,0,1,0,44.3630361504302
24,15,13,5,1,0,0,42.611818352215806
18,8,9,15,1,0,1,42.14038931542527
37,37,13,5,0,1,1,45.30792195662891
12,16,12,9,0,0,1,54.51153808712807
34,18,8,12,1,0,1,35.01988903269633
34,23,12,14,1,1,1,39.43609147370495
46,29,3,17,0,1,0,25.730131636552127
39,24,9,16,1,1,1,33.2327311829022
32,19,11,21,1,0,0,34.84706430901505
31,4,10,16,1,1,1,27.93405670412854
29,20,6,4,1,1,1,39.42086510953926
25,15,12,8,0,1,1,42.87413483212533
32,19,11,6,0,1,1,38.97825957949812
26,18,11,23,0,1,1,40.8222654391688
28,19,11,19,0,1,1,39.64068131537131
30,17,9,7,0,1,1,39.02725180128823
21,21,13,13,1,0,0,49.00246156864214
41,22,14,13,1,1,0,30.666108190010448
39,18,9,9,1,1,0,28.482601012001616
53,26,14,22,1,1,1,22.71434668116676
40,27,11,9,0,0,0,33.097419764263165
25,20,10,12,0,0,0,43.99727302917151
31,20,9,15,1,0,0,36.4615337736931
22,21,9,16,1,1,1,47.02946228305174
39,10,3,15,0,1,0,20.297369497160425
34,11,6,16,1,0,1,26.678654278823835
37,30,5,9,1,1,0,34.177680933804936
37,24,8,14,1,0,0,32.174487661980585
35,22,4,16,0,1,0,30.47042377904421
34,28,6,4,0,0,0,37.34747042235799
44,19,12,13,1,1,1,27.34231620901628
30,23,11,25,0,1,0,36.68073488288529
23,21,7,15,0,1,0,43.570761798982325
26,22,5,21,0,1,0,38.94990212394211
41,12,6,3,1,1,1,25.64790300747005
34,23,12,16,0,0,0,37.02351935986875
37,19,12,0,0,1,0,34.21983585250069
29,25,12,10,1,1,1,43.09423396398573
18,18,15,13,0,0,0,50.04018087672648
28,19,8,7,0,0,1,42.17270784682424
22,32,11,20,0,1,1,52.58164779705032
31,22,10,16,1,1,0,37.543542085842496
28,16,10,12,1,0,0,36.70695687281184
18,20,4,11,0,0,0,46.34168084454255
26,23,6,14,0,1,0,41.70646106953373
42,13,16,6,1,0,0,26.684563716490267
37,23,11,17,1,0,0,32.20493431251553
27,13,6,11,1,0,0,34.76843003310088
22,22,11,10,0,0,0,45.78628484319898
32,19,6,18,1,1,1,33.90065947675166
33,17,9,16,1,0,0,31.3698687337116
28,22,7,14,1,1,0,38.0613229865809
21,27,8,22,0,1,0,48.25550334706057
35,24,12,21,1,1,1,36.56961409418148
26,26,4,16,1,1,0,40.24080402865213
24,16,11,8,0,1,0,42.30758051140768
25,21,8,12,1,1,1,43.87896652185153
32,23,14,13,1,0,1,41.751239486011634
30,21,13,18,0,0,1,38.93025014818039
13,18,5,13,1,1,0,48.23128052023423
39,22,9,20,1,1,0,30.10358952388949
13,23,13,22,0,1,1,56.47640154263548
26,18,13,8,0,0,0,42.01744232320457
27,23,12,20,1,1,0,41.455211985697545
30,33,14,13,0,0,0,47.0760231224101
31,15,10,6,1,1,1,36.17358778339186
22,25,11,21,0,0,1,47.27244696958034
43,18,10,15,0,1,0,25.73119132927607
13,15,10,16,0,0,0,48.12623981871974
36,23,5,12,0,1,0,33.603559000163564
32,17,9,25,1,1,1,33.700756026726594
37,14,14,11,1,1,1,31.2329045631149
31,15,13,18,1,1,1,35.46674984889406
52,15,7,9,1,1,1,16.65747573208274
30,18,14,8,0,1,1,41.30771444742786
15,27,7,9,1,1,1,56.32272470874215
36,25,14,14,0,1,1,40.079964845485954
37,21,10,12,0,0,0,30.7158561808111
52,14,11,15,0,0,0,16.335363839287886
34,15,10,9,1,1,1,35.74303519698933
25,19,7,9,0,0,0,40.15370932552644
30,18,12,12,1,1,0,37.93233425802139
19,16,5,5,1,1,1,45.12763867331088
23,17,5,15,1,1,1,41.84136422104584
32,22,10,21,1,1,1,38.8851924611853
37,6,9,16,0,0,0,24.02603779589472
35,21,10,15,1,0,0,31.739021716640902
37,25,9,13,1,0,0,34.33751315288981
38,14,10,12,1,1,1,30.092145016311672
21,21,8,13,1,1,1,46.4832262361861
27,25,13,8,0,0,1,47.58018248483472
37,20,8,7,1,0,1,33.67430175826155
25,19,7,22,0,1,0,40.36922937802537
38,20,7,20,1,0,0,28.21666357838046
26,15,13,11,0,0,1,41.60544824279052
30,30,12,23,1,1,1,43.38586199404725
17,22,8,13,1,1,1,48.831092745095646
35,29,16,12,1,1,1,41.004050039385525
28,30,6,20,0,1,0,43.38410861703937
33,12,9,10,1,1,1,31.949283176512893
37,35,11,17,1,0,0,39.59056187321823
26,21,12,3,1,0,0,42.98813758857838
36,21,6,21,1,1,1,31.63116888787273
20,22,12,12,1,1,1,50.55795234491752
30,21,14,9,1,1,1,42.153543152885646
32,21,3,7,1,0,0,33.325818901825805
37,21,8,12,1,0,1,32.299380470770934
25,22,9,9,1,1,1,43.33090833878335
28,22,4,11,0,1,0,39.01175403697621
23,13,6,9,0,0,0,39.27785850844429
20,11,8,17,1,1,0,40.53801982502318
25,32,4,17,1,0,1,47.25260352853786
38,18,8,14,1,1,1,29.796365482254764
17,21,16,15,1,1,1,53.10782852726325
35,18,10,11,1,1,0,32.16862943656547
31,9,11,8,0,1,1,33.28326978643786
16,22,9,4,0,1,0,52.47875850135083
23,21,12,6,1,1,1,48.24899460084829
32,7,9,8,0,1,1,31.523726530042943
19,17,6,10,1,1,0,44.45897074686086
28,25,16,12,1,0,0,45.36183695313641
27,22,11,15,1,1,0,41.189061578611614
30,18,10,29,0,1,0,33.48162322202629
28,9,8,27,1,1,0,30.854029872702824
27,8,11,18,1,1,0,31.69001359191624
33,23,9,16,0,0,1,39.04603243510075
32,25,8,16,1,0,1,39.47807419088878
47,15,11,13,0,1,0,20.203062963783008
30,20,6,18,1,1,1,36.93384893077837
33,25,12,15,1,1,1,38.56146053263478
27,20,9,10,1,0,0,40.985630195306285
28,17,10,15,1,0,1,36.52084307117576
20,14,5,17,0,1,0,40.64241740307091
28,19,10,15,1,0,0,39.56025590800501
40,21,13,15,0,0,0,32.127276791896406
39,23,14,13,0,1,1,35.27962976716943
33,19,7,0,1,0,1,37.037433620421126
23,24,10,11,0,1,0,48.06577186095029
27,29,4,13,1,1,1,44.84642784496366
13,18,6,9,1,1,1,53.0783685261296
35,21,3,19,0,1,0,31.09942656926743
31,10,9,22,0,0,1,31.37252997216888
27,21,13,19,1,1,0,40.30147584538387
43,22,7,15,1,0,0,24.84291408380008
37,21,13,5,0,1,0,32.099408762968864
18,29,12,17,1,1,1,55.67045141843327
26,9,18,21,0,1,1,39.23723208400855
8,22,11,10,0,0,1,62.25758746765265
32,10,7,10,0,1,0,27.775587987955323
36,20,11,22,1,1,0,31.409692531952423
23,16,9,9,0,1,0,43.02806549155024
15,14,5,8,1,1,1,47.1298718758456
36,26,6,16,1,0,0,34.766919320235985
32,14,11,18,0,0,0,31.67650803418103
31,12,13,18,0,1,1,36.08262778207738
44,18,10,9,1,1,1,26.29184301854126
32,21,15,12,1,0,0,39.12205667600941
35,25,12,12,0,0,0,38.83536069302277
31,12,8,11,1,0,0,32.10718281859559
34,22,12,14,1,1,0,35.952390884086974
40,26,9,21,1,1,1,32.911693562193264
21,11,8,14,1,1,0,38.268215405845886
30,22,8,13,1,1,0,38.67544109930537
25,23,8,15,1,1,1,44.20176764474459
32,20,14,6,0,0,1,40.70525554464358
30,24,10,18,1,0,1,41.34414196354308
29,25,10,16,0,0,0,39.44443161269325
43,20,8,19,0,1,0,24.73196954672668
37,19,10,18,1,1,1,30.884989478028128
39,14,15,8,1,0,0,29.270161161370176
25,27,9,8,1,1,1,48.26169283338529
21,17,10,7,1,1,1,46.3104571011636
18,15,11,10,1,0,0,44.21565513823495
11,20,5,18,0,0,0,51.79679148020046
32,30,13,19,0,0,0,43.60602391385208
19,20,6,9,0,1,0,47.70717336837039
31,15,11,17,1,1,1,35.44589700892481
19,27,12,11,0,0,0,51.58219937325252
36,16,11,15,0,0,0,30.49576102580861
27,8,7,7,0,1,0,33.40639223576787
26,33,11,12,0,0,0,49.1721491646411
32,22,9,19,1,1,1,39.05584639541481
23,24,13,11,0,1,1,50.36591414856449
13,20,6,16,1,1,1,51.12359162433012
28,19,10,19,0,0,0,38.437048758264815
