education_years,age,weekly_hours,previous_income,gender,union_membership,local_unemployment_rate,job_training,current_income
13,33,1,11,0,0,11,73,142.14014671676156
6,30,7,14,1,0,10,68,138.13897946920352
14,31,3,13,1,1,13,75,150.02773754195553
14,32,6,9,0,1,11,79,153.5006760595952
12,29,11,15,1,0,10,74,151.90842780821586
11,31,8,18,1,0,15,74,150.24843782549976
7,29,5,10,0,0,7,65,131.8601783441157
15,30,11,15,1,0,8,76,154.86363941967093
6,28,8,7,0,0,12,72,143.24578204619397
3,28,5,11,0,0,10,65,133.60174691525285
6,30,16,11,1,0,13,76,155.3709548154592
9,31,6,14,1,0,11,71,142.05252821947772
7,32,7,10,1,0,10,73,144.85113784070316
13,31,11,18,0,0,12,75,153.95732959579829
18,32,5,12,1,0,14,80,154.87803451390184
10,31,11,11,1,1,11,77,153.5877325365221
11,28,6,14,0,0,9,67,137.09179605748793
10,33,6,11,0,1,9,75,146.901410653364
9,27,10,15,0,0,10,70,147.1446995437011
9,30,5,10,0,1,12,74,146.31923140828775
10,31,11,13,1,0,10,73,146.41994691043
11,31,5,18,1,0,10,71,147.24235167570012
9,32,11,14,0,0,11,76,154.81738964328517
14,29,5,10,0,1,13,73,142.9955294663384
3,32,-1,9,0,0,13,65,128.83566279429664
13,29,13,11,0,0,11,78,158.07747705300312
9,28,10,14,0,0,12,71,147.47654815171063
9,26,3,10,1,0,13,69,139.2219354043304
11,27,11,11,1,0,11,73,148.36953599025367
10,33,5,8,0,0,11,78,152.48468335631185
16,29,8,17,1,0,11,72,149.86909407722965
16,29,8,14,0,0,12,75,149.67819769763568
8,30,12,10,0,0,10,76,154.0535221350048
10,29,10,11,0,1,13,75,150.68478250816034
6,31,7,12,0,0,14,70,138.8910773570427
12,27,8,15,1,0,9,70,146.01098367459852
8,33,11,9,1,0,14,81,156.22188171633826
9,26,11,7,1,0,13,76,152.2968675661959
8,32,5,15,1,1,10,68,140.50050651710148
12,28,6,14,1,0,10,72,147.19996697092037
11,33,7,15,0,0,11,73,146.9039062504006
9,31,7,13,0,0,12,72,144.40103398852133
7,34,7,13,0,0,15,75,145.8058768411235
14,28,5,16,0,0,13,70,141.70659017913383
9,32,4,16,1,0,11,70,140.08013618881765
11,28,11,12,0,0,12,76,155.08489216607197
9,32,8,14,0,0,12,71,145.01278915191008
2,32,6,14,0,1,13,67,137.12819773911266
13,31,10,14,0,1,12,76,152.92009916239903
7,29,5,13,0,1,12,67,135.39897257598696
10,28,6,13,0,1,14,70,141.51556793444948
11,23,4,18,1,0,13,62,131.0778081862258
8,24,11,20,0,0,14,65,141.17653160094537
11,26,5,16,0,1,13,68,138.79405548232597
15,27,7,13,0,0,13,73,150.71758719856263
6,26,8,14,1,0,11,65,137.7203511852797
11,30,9,16,1,0,8,70,146.12756568414437
10,28,6,15,1,0,15,68,140.83895043755413
9,31,8,11,0,0,9,74,148.37018879573722
12,31,13,14,0,1,12,78,159.1131905304452
11,30,3,10,1,1,9,72,142.1546680338396
6,29,14,12,1,1,11,71,147.749287667503
11,32,6,18,1,1,14,73,146.75800820695176
11,32,10,16,0,0,15,74,148.73786075149928
9,30,10,22,0,0,11,68,144.3581583158624
9,28,8,14,0,1,14,69,142.51621878113622
10,30,7,14,0,0,12,70,140.1692665308122
9,29,11,10,1,0,12,74,151.78891465059598
13,29,10,10,1,1,11,75,148.43777681773182
6,30,8,11,0,0,14,71,139.1477728955877
7,29,9,15,1,0,9,67,139.9502272617975
8,31,10,13,0,1,11,73,150.43522502981924
10,30,4,16,1,0,10,67,137.085107346277
8,27,3,12,1,1,8,63,129.57620254128096
2,32,8,14,1,0,11,68,138.2731513039793
12,32,9,9,0,0,14,81,159.1547130128971
10,27,7,14,1,0,12,70,147.6342264480956
11,29,5,16,0,0,11,67,139.50695750410142
7,30,2,18,0,0,9,61,129.3939144085739
10,27,4,13,0,1,11,68,138.74417022734974
9,31,8,13,1,1,13,74,146.48462749254986
6,26,10,14,0,0,8,67,148.3419746289696
13,34,4,10,0,0,11,80,150.63174515434028
9,28,9,19,0,0,11,66,141.21430755208254
13,25,6,10,0,1,14,74,150.73865196894786
15,30,3,10,0,1,14,78,150.42037161947405
8,27,13,12,1,0,15,76,154.13026344268715
13,32,10,12,0,1,11,76,154.13468408376394
10,35,7,10,1,1,14,78,150.52883692836903
9,32,9,11,0,1,12,75,147.48812310999432
11,31,11,17,0,1,15,74,149.78067931316852
11,29,9,9,1,0,16,78,154.2745431866864
10,28,10,13,0,0,12,69,146.20274199546225
11,33,10,18,0,1,10,75,151.2497052909902
10,29,10,14,0,0,8,70,145.64058141444687
14,28,7,8,0,1,12,77,151.61865350278535
4,28,8,17,0,1,11,64,137.52087741297058
10,30,9,13,1,0,14,73,147.01924011187126
7,27,5,15,0,0,7,61,130.46134353735067
7,32,9,15,0,0,13,71,144.7213507014783
9,32,6,16,1,0,10,70,142.54807411060963
9,29,9,11,1,1,10,71,143.9798523255398
6,32,3,12,0,0,10,68,134.64569896232354
9,29,4,13,1,0,11,67,136.66719589447902
5,27,8,10,0,0,14,68,138.50976764459134
12,29,5,12,0,0,11,71,142.44619794979184
8,30,9,16,0,1,13,69,142.80951171854392
8,28,7,14,0,0,14,72,146.39700767386162
9,31,5,12,1,0,13,75,148.39157981601286
12,29,8,15,0,1,9,69,142.4906293438201
11,31,5,14,0,1,8,70,143.3750479396727
6,29,3,8,0,0,13,70,138.9769324503864
14,27,8,17,1,0,10,71,148.09041168787058
9,31,8,13,1,1,13,73,142.7548598211045
9,28,4,14,1,1,10,67,135.0653258224714
14,28,9,14,0,1,13,73,149.0230248444876
9,30,3,13,1,1,11,67,132.88371231192664
14,29,7,12,0,0,14,74,145.51346575697244
11,31,4,16,1,0,10,70,141.57927353782136
9,30,10,13,1,0,11,74,150.0485242421444
7,30,4,14,0,0,7,65,132.0339413465044
8,33,6,17,1,0,12,71,144.11948448357995
9,31,6,11,0,0,11,73,144.0902210903226
6,28,11,9,1,0,10,72,146.45203827079496
11,29,9,15,0,0,10,69,140.59586110477449
10,27,6,15,0,0,8,64,135.956394906577
12,35,8,15,0,1,9,76,150.0792682896303
15,31,11,8,0,0,13,81,159.14257136890245
6,29,2,16,0,0,13,65,135.8360801584467
12,25,13,16,1,0,14,72,153.98778402234143
7,31,12,12,1,1,13,74,148.02099535725165
10,28,9,12,0,1,10,69,143.3629733671664
16,31,10,15,1,1,11,78,153.27481212178807
10,27,8,14,1,0,13,70,141.74629286079465
12,32,7,11,1,0,11,78,153.06558454938315
9,26,4,12,0,1,15,63,128.3198393382065
11,28,6,11,1,0,12,72,143.14602345894346
9,27,8,15,0,0,14,70,144.30471432906518
10,30,9,11,0,0,11,75,149.67471099283568
10,32,9,17,0,1,15,75,151.40685309594224
12,27,6,14,0,1,9,69,139.85354603035566
11,31,10,14,1,0,11,77,156.71612759376694
12,29,1,13,1,0,12,69,138.77207068629843
11,27,4,13,0,1,15,65,133.2128605475073
9,31,8,15,0,0,11,69,142.2064273877457
9,28,8,18,1,0,12,68,140.95448561447014
6,31,12,14,0,0,10,74,152.0291497748532
11,28,9,9,0,1,11,73,147.6728820647555
12,24,10,12,1,1,13,69,141.72596865883975
12,34,4,15,0,1,12,78,153.3127229889715
12,30,12,14,0,1,6,72,152.2875210611718
9,30,8,12,0,1,12,72,147.8072677039658
5,28,7,10,0,0,10,68,140.77311330726016
12,29,3,16,0,1,8,66,135.350067351789
12,31,4,11,1,0,11,72,141.88727844646826
11,29,8,12,1,0,15,75,149.70462318716557
8,28,7,14,0,0,10,67,137.73267947888996
12,29,4,17,0,1,11,67,138.33188035387306
8,30,8,7,0,1,12,74,147.57497970713348
7,31,6,15,0,0,12,70,143.03905735893963
12,29,6,13,1,0,9,68,140.84650048363557
8,28,6,15,1,1,10,66,137.27921025471488
10,27,9,10,1,0,13,73,145.80951393150005
12,30,5,15,1,0,8,71,145.7500134167577
14,29,4,13,0,1,10,71,141.63265575577833
10,36,7,9,1,0,12,80,151.71309413816095
10,30,5,10,1,0,12,74,147.08661444367422
13,29,11,15,0,0,12,75,151.24518595060255
10,24,7,15,1,0,14,66,137.12352912823965
9,28,1,15,0,0,14,63,127.74264883738378
10,25,9,18,1,1,12,65,138.25605166154767
5,30,2,12,1,0,13,67,133.8018462417683
14,30,5,14,1,1,11,72,144.5127070942234
5,31,8,14,0,0,15,73,147.41295270907105
8,32,12,13,0,0,10,77,155.67879958981732
12,31,12,11,0,0,8,76,152.5490155415917
14,32,13,15,0,0,11,81,161.23507957510614
12,32,3,12,1,0,14,77,148.9139893922814
14,28,10,13,1,1,10,73,148.77687335060872
11,29,8,13,1,1,15,75,149.81700110382764
14,28,10,16,0,1,12,73,147.90485253246217
10,28,7,16,0,0,10,70,144.9875461473109
4,31,4,17,1,0,8,62,128.90529577125298
12,24,7,13,0,0,11,69,146.23035466774874
10,28,8,15,0,0,9,67,140.05452873447095
9,30,10,15,0,0,14,74,151.68199018641397
7,24,9,12,0,1,13,64,136.1040555649709
10,32,5,10,0,0,13,72,139.64726504551098
13,27,6,9,0,1,12,71,141.73952622704186
11,28,7,12,0,0,11,72,149.08945815860685
6,31,5,12,0,1,11,68,135.65441356647824
11,30,5,21,1,1,12,69,141.52808716143105
7,25,10,12,0,1,11,66,137.04770324110726
10,28,12,19,1,1,11,70,148.65229005186134
8,31,3,9,0,1,12,71,137.74469837429146
10,28,15,12,0,1,13,76,159.54365980079308
14,30,12,13,0,0,14,79,156.9683432470845
10,29,8,13,0,0,10,69,140.44870683446507
8,32,8,17,0,0,14,72,143.19667481250357
10,26,8,11,1,0,12,70,144.20252970539892
8,30,11,13,0,1,14,73,147.29611628162877
10,26,6,12,0,0,13,69,137.15552016085726
11,33,8,13,0,0,11,75,150.94872758702476
6,27,11,13,1,0,12,68,138.73626871828563
12,31,5,14,0,0,10,74,148.02235413413868
6,32,10,13,1,1,14,74,148.02208699922085
8,25,9,13,0,0,10,67,143.63459636769065
10,31,2,13,0,0,13,72,141.79933255653887
10,32,6,14,1,0,13,73,143.45677394842804
10,29,9,14,1,1,9,71,146.29767920087096
10,30,6,12,0,0,9,71,143.8834336944075
8,33,10,16,1,1,10,74,152.29200931260436
7,29,4,14,1,1,10,66,136.38981037509285
9,29,12,12,1,0,12,77,158.59461189891425
7,31,17,17,0,1,10,75,156.91570550985784
9,28,9,13,1,0,12,70,144.82016405604526
11,32,8,13,1,0,12,77,153.76385949867355
11,27,7,16,0,1,14,65,136.2041872199469
12,26,5,13,1,1,8,68,141.67113318873493
6,33,8,11,1,1,10,72,142.4276872034139
9,32,8,9,1,1,12,73,144.89833505074117
11,28,10,14,1,0,11,74,153.94759682657076
15,31,8,15,0,1,12,78,157.6839539762924
10,33,9,14,0,1,14,76,152.0340036737814
9,30,10,11,0,0,11,73,147.644679323692
14,32,2,9,0,0,14,75,143.07257679891632
8,31,7,16,0,1,10,67,138.5425830155602
9,32,4,12,0,0,9,72,143.06698886954442
11,33,1,10,1,0,10,73,143.0537588032768
4,28,2,16,0,1,15,62,128.1852760155751
16,28,6,16,0,1,10,69,141.09117013049823
7,30,15,16,0,0,14,73,150.66793136983645
7,29,8,16,0,0,9,66,138.49639638602284
7,30,7,13,0,1,12,70,141.26453359364265
10,28,11,11,0,0,11,74,151.1988356609544
5,31,7,8,1,1,12,69,137.37524812813663
10,30,8,15,1,0,11,74,150.8918274015544
9,28,4,11,1,0,14,73,146.76449081447478
10,28,7,13,0,0,14,72,149.13368517687272
12,30,13,14,1,1,11,79,159.91020828053644
9,29,5,12,0,1,9,69,137.02590969970845
8,27,9,15,1,0,11,67,140.20020247036186
5,26,7,11,1,0,9,66,136.65976977663098
10,25,8,15,0,1,10,64,136.67561689386926
9,32,2,9,1,1,13,74,142.9582105447972
10,30,9,12,0,1,14,74,144.2529460628511
7,29,3,15,0,0,14,66,135.20027722069025
3,31,6,14,1,0,12,65,132.28288063693543
13,26,1,12,0,1,12,66,134.38651772294162
9,30,5,13,0,0,11,72,146.60300237743198
6,27,8,11,0,1,9,67,138.39468993862917
8,26,5,11,0,0,13,65,133.42517713368468
6,28,5,14,1,1,12,64,130.3738428776758
17,32,7,16,1,1,9,76,151.9506079263984
4,32,5,14,1,0,11,69,139.6118821637971
7,27,1,9,1,0,13,67,134.54679827774964
9,27,9,15,1,1,14,70,145.6250353858714
12,34,7,16,1,1,12,75,148.92768354386322
7,27,5,13,1,0,10,65,136.53813365663393
7,32,7,16,0,0,14,72,149.4315274712291
10,29,6,17,1,0,11,69,143.73942707498531
7,26,11,14,1,0,11,67,142.5325851988591
9,31,5,10,0,0,13,72,141.6541201104639
9,29,15,13,1,1,11,74,153.03584193934608
10,29,11,13,1,0,10,71,144.65035849855985
4,28,15,11,1,1,11,71,146.3463317035096
8,32,5,16,0,0,16,71,144.83026449106276
13,29,3,13,1,0,14,73,145.62578008859194
12,28,8,15,1,1,16,70,141.7600381831381
10,31,11,14,1,0,8,74,149.54994322465947
12,33,7,13,1,0,12,76,147.89531458160062
11,25,5,17,1,1,11,62,130.59421147784866
12,28,10,17,1,0,12,71,148.61966937594286
11,29,9,14,0,0,12,71,145.15899109391668
11,28,5,13,0,0,11,72,146.87197939464585
11,33,12,14,0,1,9,75,149.01218996315478
7,30,9,14,1,1,12,71,143.9622242379201
9,30,2,9,0,1,13,71,138.68516873679133
9,24,12,14,0,0,12,67,143.8106148491552
13,30,9,13,0,1,9,73,146.04343823593803
9,30,10,16,0,0,11,73,150.43931587505443
11,31,3,18,0,0,10,69,139.60978746834456
10,26,7,15,0,0,14,65,136.0011122549068
8,30,6,10,0,1,13,72,140.56389755881676
11,28,13,17,1,0,9,73,155.23842326766385
11,29,7,14,1,0,10,72,148.37718117408664
8,30,8,10,1,0,12,71,142.25597528594386
7,26,7,9,0,1,12,66,133.48872181857047
8,28,10,11,1,1,9,70,144.79639344245157
11,29,4,17,1,0,10,68,140.0590922675546
9,31,6,9,0,0,14,76,148.44664843493976
9,27,7,10,0,1,12,69,139.0958838007102
10,33,5,15,1,0,13,73,145.1365927963149
8,30,8,13,1,0,12,69,140.96104548263298
10,30,7,12,0,0,10,69,140.02355428311353
8,28,9,15,1,0,11,66,140.00761306340922
9,29,10,13,1,1,14,74,148.2263480414085
9,30,10,15,1,1,13,71,145.69134171365488
14,29,0,15,0,0,10,69,138.12992669682006
7,31,11,12,0,0,12,74,149.0843118770568
18,32,8,14,0,1,14,79,155.35775855417776
9,27,8,16,1,0,10,68,144.14669055842998
10,28,3,12,1,1,16,70,140.39893364479937
8,27,15,9,0,0,10,72,148.82459477838842
2,32,6,14,1,0,9,67,136.09009392279938
11,29,3,12,0,0,10,71,142.77627335512537
5,34,12,9,1,0,13,81,159.5825115305203
7,33,5,11,1,1,14,73,144.75270004504037
4,27,6,15,0,1,13,62,132.2810022355232
11,31,11,15,0,0,7,73,151.11957606010895
5,26,7,11,0,0,10,65,136.52106904753563
11,32,8,14,0,0,13,77,153.0148974611647
8,30,7,12,0,1,10,66,134.3762041321417
8,32,6,13,1,1,14,75,146.57177443392277
7,30,5,14,1,0,6,65,134.17618428248448
10,33,6,12,0,1,12,75,148.97711821589084
8,31,6,10,0,0,11,74,146.46893086496584
13,28,6,12,0,0,11,71,145.2745131617019
11,31,2,16,1,0,12,69,136.79916675273026
10,34,8,15,1,1,13,75,150.61743163063613
9,27,13,13,1,1,12,72,151.0451611084826
4,30,6,12,1,0,11,69,142.21061940406264
13,33,5,16,0,0,14,78,151.17713656552837
13,27,3,16,0,0,12,65,131.3627687166408
14,28,7,12,1,1,12,72,143.1343485078601
8,33,5,11,0,0,13,73,140.05800225778535
9,31,3,17,0,1,8,67,138.12746530014726
7,31,6,14,1,1,14,70,139.0611252115745
7,35,5,12,0,0,9,73,143.0521070253306
6,32,15,17,1,0,10,74,152.923202901202
8,26,8,15,0,0,11,67,141.03783733626491
11,27,15,16,0,0,13,75,159.49844851055775
7,26,6,10,1,1,11,67,136.46325896640263
8,33,8,12,0,0,13,76,150.0657519917325
9,30,4,16,0,1,15,69,138.58581878751593
13,29,4,15,0,1,11,71,141.6585993473425
10,25,6,13,0,0,12,65,132.29102297106508
8,29,10,13,0,0,11,69,142.1986533744182
5,27,11,18,0,0,13,66,143.08705589058096
11,28,10,15,1,0,7,69,145.54662207614334
10,29,3,15,0,0,13,69,138.69377155811117
13,24,7,15,0,0,11,64,135.12500619313954
8,30,3,12,0,0,9,67,133.95245779925017
12,32,5,15,1,1,10,72,142.61066478271715
9,25,2,14,0,0,14,65,133.94480374411813
9,32,6,13,1,0,15,74,144.82422201916324
11,24,6,13,1,1,12,68,141.62139027219763
6,30,8,14,0,0,9,67,140.21180661096892
5,28,6,15,0,0,10,67,141.015617938884
12,26,6,16,1,0,12,67,142.32054405974247
10,29,9,11,1,0,8,73,148.7674588090123
7,30,9,12,0,0,13,71,146.42395624882846
12,27,8,16,0,0,11,68,141.68822360360946
10,26,8,16,1,1,9,65,135.20911521528586
6,25,6,16,0,1,13,63,134.50803942022776
9,30,7,15,0,0,12,71,142.70052768599575
12,31,5,16,1,0,12,76,151.22960718556467
14,29,10,19,0,1,14,72,146.99663386149058
6,26,5,14,0,1,13,63,132.9496737984126
10,29,8,13,0,0,11,70,143.2222482569371
14,31,4,16,0,1,12,70,139.1808297256469
14,32,8,19,0,0,15,75,149.56252521294863
6,31,5,12,1,0,10,67,135.71357090052686
9,31,9,15,0,1,11,71,145.36465395747032
11,32,5,16,1,0,11,71,141.30908743958156
7,30,8,9,0,1,9,72,144.14625305489463
9,31,11,14,0,0,10,72,148.20046973846846
12,28,4,17,0,0,11,68,138.4137632683575
17,32,9,18,1,1,14,77,152.3607341422599
12,28,8,13,1,1,11,72,149.3209391815009
9,25,10,13,0,1,6,66,141.75333714673565
8,28,7,10,1,0,14,73,150.680619661112
8,28,3,11,0,0,9,67,138.56306441131818
11,30,14,15,0,0,13,75,153.0035761904959
14,31,6,13,0,1,11,75,150.27146740357372
10,31,8,19,1,1,13,71,144.1444859307389
11,24,8,15,0,0,13,66,136.56872070074024
13,31,4,10,0,1,15,75,144.20582252465212
14,26,7,12,1,0,10,70,143.56673756116027
11,32,8,11,0,0,10,74,147.45659093973555
7,29,12,12,0,1,13,72,148.26111351685054
8,35,12,12,1,1,14,83,162.24107682905586
9,29,6,13,0,0,8,69,138.8451188527314
8,32,5,16,0,0,13,71,141.69829697559328
10,30,8,14,1,0,9,72,145.73751806653738
10,28,4,11,0,1,14,71,140.87257620954165
11,32,7,14,1,1,13,77,151.6525273985163
7,27,7,10,1,0,12,69,141.55862637667616
7,34,10,13,0,0,12,76,152.00491254206003
11,30,2,11,1,1,11,68,132.43223708128852
8,29,1,20,0,1,12,60,123.62910125893713
12,25,3,13,0,0,11,66,136.80492708230986
9,28,13,10,0,1,14,75,152.47180581060508
11,29,1,10,1,0,13,73,142.04147965088185
9,30,8,11,0,1,16,76,149.73992810788158
10,33,7,16,0,1,11,74,150.56845256449256
15,32,11,11,0,0,11,81,160.14249566946404
11,27,7,8,0,1,12,69,138.62512722809757
6,31,9,14,1,0,9,69,144.21254279573537
7,34,2,17,0,0,11,68,134.36832436829
11,34,9,11,0,1,9,78,154.52654102834353
4,29,6,9,1,1,6,63,130.49415073972898
10,35,5,9,0,0,9,78,152.27520819088645
5,29,8,14,0,0,10,67,140.81830361880685
12,30,6,14,0,0,11,72,145.9166389852806
8,32,4,12,1,0,11,70,139.67205358136732
14,28,-3,13,0,0,10,65,129.91391596479207
10,31,10,13,0,1,13,75,150.85966064829557
11,29,8,14,1,0,13,71,145.6093105936459
11,28,8,13,1,1,11,69,140.83298317190395
15,30,12,16,1,0,10,76,157.3376284206429
10,31,3,17,1,1,10,69,136.13394136943447
10,29,11,13,0,0,11,72,148.3490822516532
8,33,5,13,0,0,10,71,141.94044688173926
7,26,6,15,1,0,8,63,135.7270695922144
13,30,9,10,1,1,13,79,155.35989146427335
5,30,7,15,0,1,14,69,142.33784036268358
5,30,11,13,1,1,12,68,136.87842108459145
10,27,4,14,1,1,8,64,131.8053421099046
11,25,9,12,1,0,14,71,149.8545988586578
