participant_age,income_level,crime_rate,home_ownership,education_years,employment_status,funding_policy,public_safety_funding,perceived_safety
38,27,8,13,0,1,1,1,83.19799909355349
29,23,6,16,3,1,1,1,85.4833098541548
28,23,2,15,0,1,1,1,79.78996309677889
13,26,6,16,2,1,1,0,79.5573290719384
26,19,6,17,2,1,1,0,79.19619770293316
31,26,3,15,1,1,1,1,82.11892528295046
21,28,7,21,0,0,1,1,85.65488661427814
20,24,2,10,2,0,1,0,70.85384437280845
19,26,6,11,0,1,0,0,73.24105272144806
39,27,5,19,2,1,1,0,85.4839095362349
16,18,7,11,1,1,1,1,74.11698262300787
42,25,4,24,1,1,0,0,89.30429708125403
22,18,5,22,1,1,1,1,85.08284445738548
25,23,7,26,2,1,0,1,89.471536877095
24,27,7,12,1,1,1,0,77.55048553559907
22,26,4,19,2,1,1,0,81.46025157595545
28,25,8,9,2,1,0,0,75.0743607002256
34,19,3,17,1,0,1,0,77.50383168706378
16,23,2,12,2,0,0,1,74.14715173766636
22,30,5,16,3,1,0,1,85.96981739939606
18,27,5,10,2,1,0,0,73.76602834338897
23,23,10,23,1,0,0,1,87.99196756709364
37,22,4,19,1,1,0,0,81.83472464900618
25,22,7,17,1,1,1,1,81.99721334689355
39,27,9,8,2,1,1,0,77.41947948264622
20,29,7,13,2,0,0,0,79.17411690450741
28,24,6,19,1,1,0,1,83.06296103261417
42,21,7,15,1,0,0,0,80.3270929500512
28,21,8,21,1,1,0,0,82.23276857174069
28,28,6,18,1,1,0,0,82.75019505571198
26,26,6,15,1,1,0,0,78.59211893915602
23,19,7,18,2,0,1,1,82.26121196916576
22,25,2,10,1,0,1,1,75.21050743143043
21,25,7,19,4,0,1,1,86.13090244030316
33,23,6,12,0,1,0,1,78.14610979295261
32,23,8,14,1,0,0,1,79.79824277652914
13,22,3,21,2,1,1,1,84.11656707674088
11,20,7,16,1,1,1,0,78.07183870545761
33,24,6,14,2,0,1,1,82.77528292633883
28,21,6,12,1,0,0,1,77.31010750141296
26,21,7,20,2,0,1,1,84.68801038925936
21,21,3,16,3,1,1,0,77.36708020485467
18,27,4,15,3,1,0,0,77.19529543783183
22,23,2,15,3,0,1,0,78.4543338360839
25,23,8,13,1,1,0,0,76.4449666389752
22,24,8,21,0,0,1,1,85.63556068917407
23,19,5,7,1,0,1,0,69.40139623489715
24,27,9,13,2,1,1,0,77.3020112404629
31,26,8,15,2,1,0,0,79.25402576968796
23,20,6,19,1,0,0,0,78.80892537430175
38,17,6,20,0,0,1,1,83.91792969597799
11,23,7,13,2,1,0,1,77.33849474099152
42,25,7,9,3,1,1,0,77.7242206835053
25,16,5,15,2,1,0,1,79.01646426770382
30,22,3,11,0,1,1,1,76.92081184179591
21,19,6,17,0,0,1,0,76.32785984424841
9,22,6,16,2,1,0,0,77.39568773227705
18,31,4,15,2,1,1,1,83.73474012336823
22,22,4,17,2,1,0,1,81.4994456814706
27,25,3,10,3,0,0,0,73.9069903266043
28,27,4,23,1,0,1,0,84.62167421456334
25,23,4,12,2,0,0,1,76.29190584360924
33,24,6,16,0,1,0,0,79.6271102265431
18,30,2,12,1,1,0,1,78.72171928409394
21,17,6,17,1,1,0,0,75.06495889052555
15,23,8,8,2,0,0,0,72.09189545733632
16,17,6,18,3,1,1,1,80.67148478829313
10,25,5,25,3,0,1,0,85.7346669382787
19,26,4,20,2,0,0,0,81.95138785897666
23,20,7,12,2,0,1,0,74.30599254792843
22,28,4,12,3,1,0,0,77.11857812944656
11,18,6,17,1,0,0,0,75.40440423047323
35,20,4,14,3,0,1,1,80.62146515743585
22,20,4,22,1,0,0,1,82.8014464545847
30,28,3,23,0,1,0,0,85.40928018992291
25,22,7,19,1,1,0,0,79.6737825688232
43,23,5,26,2,0,0,1,91.71006640114416
12,23,8,20,2,1,1,0,80.8076562643347
33,18,9,19,2,0,1,1,85.1085125805618
15,26,7,14,2,1,0,0,77.23209738392124
19,15,10,12,1,1,0,1,77.55288351330452
26,28,6,18,1,0,0,1,86.27135301265272
24,28,5,17,2,1,0,1,84.68185773986681
33,25,5,11,1,0,0,0,75.40157538327891
7,25,5,13,2,1,0,1,79.19728319269467
19,30,7,10,2,1,1,0,76.73715456895368
22,25,2,14,2,1,0,1,78.18189131821678
45,23,4,16,1,0,0,1,82.33573315733955
29,33,6,15,1,1,1,0,81.61210415006492
16,24,6,14,1,0,1,1,80.17023214381389
24,21,3,18,1,0,1,1,79.44976776208384
21,17,6,13,2,1,0,1,75.74152173040251
24,21,6,23,3,1,0,0,85.03546476403899
25,29,7,23,2,0,1,0,86.53596523195831
39,25,7,17,3,1,1,1,87.87171390188904
14,26,0,11,1,1,0,0,72.33562292586905
15,26,3,16,2,0,0,0,78.06744470809035
43,18,5,16,0,0,0,1,80.33297776061197
22,28,2,19,1,0,1,0,81.01995916623207
7,23,6,17,1,1,1,0,76.70004670537205
30,27,4,16,2,1,1,1,82.62379982463104
23,27,11,13,2,1,0,1,83.39556406423748
18,21,4,19,1,0,1,1,81.93941896064135
33,20,2,18,2,1,0,0,78.90313368245512
38,30,7,21,2,0,0,1,90.6061704236854
22,19,4,25,1,0,1,0,84.97457780593209
8,15,5,22,1,0,0,1,78.81140304967487
25,23,7,13,2,1,1,1,78.73828345939835
33,29,6,7,2,0,1,0,74.44669446259752
30,20,2,13,2,0,1,1,77.55422859651014
14,24,4,16,1,1,1,0,79.2300972163429
38,33,6,16,0,0,1,1,86.70229782199796
3,26,0,17,1,1,0,0,75.00922135800175
22,21,3,17,3,0,0,0,78.91934651980709
30,25,5,21,3,0,0,1,85.97330115714334
9,21,4,8,3,1,1,1,73.17985420462821
25,29,6,7,1,0,1,1,75.35168528877084
34,21,4,8,0,1,1,0,71.56633855702829
21,14,5,14,2,1,0,0,72.58405999976166
29,23,3,12,4,1,0,1,80.12762519435404
38,16,1,17,2,1,0,1,79.94609207722631
25,19,6,11,1,0,0,0,72.56474552102571
-1,24,3,13,2,0,1,0,70.8744098442194
22,19,8,20,1,1,0,1,83.03742531641825
11,27,6,17,1,1,1,1,84.67096540473008
51,28,6,19,0,0,0,0,86.0827951747131
31,23,8,19,2,0,0,0,81.74475458736784
27,25,8,13,2,1,1,1,82.0409181015725
34,25,10,17,0,0,0,1,84.73599842171227
23,14,7,19,0,1,0,0,77.96045627564327
11,23,9,19,1,1,0,0,80.21275465723006
24,16,3,12,1,0,0,1,74.87634151048782
15,20,5,22,1,0,1,1,82.61563530904503
23,25,1,15,1,1,1,0,76.35499903654173
20,20,4,24,0,1,1,1,84.90748664097363
15,25,2,14,2,0,1,0,75.12501391906156
20,20,8,16,1,1,1,1,79.17389574611218
19,14,6,14,2,0,0,1,74.53660451141107
27,22,6,18,0,1,0,0,79.58997102348258
24,17,6,19,1,0,1,0,78.67223162650718
33,22,6,14,2,1,0,0,77.45475269404992
20,27,4,21,1,1,1,1,85.71798507820591
37,25,3,19,2,1,1,1,86.31660632800336
29,23,7,16,0,0,1,0,78.52907683779131
39,25,8,10,1,1,1,0,77.75083907195784
26,28,3,21,3,0,1,1,87.15890924561842
13,24,4,12,0,1,0,0,72.6808769329201
-9,22,8,28,2,0,1,1,86.98144153255936
33,23,2,13,1,0,0,0,73.20708345771972
25,26,4,16,2,0,0,1,82.464821937539
28,27,5,11,2,1,0,0,73.48722496836183
17,21,6,13,1,0,1,0,73.81452849934814
21,22,6,17,1,1,0,1,81.66168867428969
25,29,5,22,1,1,1,0,87.04877795776963
13,19,5,24,1,1,0,0,83.26919180245999
25,21,6,16,1,1,1,1,80.79818758691603
27,21,1,17,2,0,0,0,77.99912402260296
13,25,6,14,1,1,1,1,78.22137351229999
8,23,4,11,3,1,0,0,73.06728806019579
18,22,7,13,1,1,0,0,74.07641422182402
26,21,4,20,1,1,1,0,80.82281227375132
9,20,6,9,2,0,1,0,68.42383375158575
27,24,4,19,1,0,1,1,82.79582279683086
27,31,4,13,2,1,0,0,79.94927947997762
34,18,6,14,1,0,1,1,80.42097904115893
39,25,4,16,0,0,0,1,81.53234060962058
23,25,5,11,3,0,0,0,75.35016661336036
31,21,9,18,2,0,1,1,85.46001038389694
17,25,8,12,1,1,1,1,78.49681698618912
26,29,6,13,1,0,1,1,82.24701974589632
29,12,5,16,1,0,0,1,75.6074784714777
32,22,5,7,1,0,1,1,74.46530765183233
33,33,7,16,3,1,0,1,88.35420154720397
26,27,3,12,2,1,0,1,79.24527537117984
30,20,0,19,0,1,0,1,81.64978295400206
30,22,6,17,2,0,1,0,81.72583837829772
25,17,5,16,2,1,0,1,79.64644969600371
19,19,6,11,1,0,0,1,75.41365657563315
24,24,5,18,2,0,1,1,83.13411487294142
20,19,5,13,1,0,0,1,77.07710507845132
31,20,5,16,0,1,1,0,75.97328924406357
38,22,3,25,1,1,0,0,84.97870849960059
13,23,5,12,1,1,1,0,73.79219671726861
31,20,7,22,2,1,1,1,88.31060613790247
26,23,8,22,0,1,0,1,85.0109130482339
21,23,6,13,1,1,1,0,74.66229986709155
39,25,8,18,2,1,0,1,86.33803301199956
19,24,7,19,2,1,1,0,82.02612275293538
25,24,12,15,1,1,0,0,79.24690226118254
34,32,4,10,2,0,1,0,78.45849578197023
28,26,5,27,2,0,1,1,91.4286638729179
27,24,1,7,2,1,1,1,74.41269274972576
0,28,5,18,1,1,0,0,76.64992845904423
41,21,4,18,1,0,1,1,83.9370892317792
17,25,7,17,0,0,0,1,80.97257010282306
31,19,4,21,0,0,1,1,84.46511663535962
-3,17,1,12,2,1,1,1,70.7076658759531
22,25,3,23,1,0,1,0,81.86727176887946
23,24,1,16,1,1,0,0,76.13200331599583
29,26,6,12,3,0,1,0,78.85028218328178
32,27,5,9,2,1,1,0,76.20457495329354
22,25,8,11,1,1,0,0,75.5596380669473
24,25,8,8,1,1,0,0,73.77817343765722
43,24,2,13,4,0,0,1,82.86972581263024
21,21,8,13,3,1,1,1,79.48244985697318
34,28,3,15,1,1,1,0,79.64444315899011
12,20,7,14,1,0,1,0,73.20560588408881
19,23,9,14,0,0,1,0,76.78434203137638
14,26,9,15,2,0,1,0,77.87922654379642
26,25,5,13,2,0,1,0,77.5980746204126
25,21,5,23,1,1,0,0,82.53530646005812
48,22,11,15,2,0,0,1,84.43497012513431
24,29,3,20,0,0,1,1,85.74447592342838
26,17,5,19,0,1,0,1,79.63907191367507
33,13,7,18,2,0,1,0,78.45522713969423
5,24,3,15,0,1,1,0,73.13462446777346
19,25,5,14,2,1,1,1,80.58254832266476
25,23,4,18,1,0,0,1,81.04071187745772
3,25,5,9,1,0,1,0,69.84120819651908
10,21,2,21,2,1,1,0,79.49791473892044
21,21,8,8,1,0,0,1,72.23433454803164
32,29,5,17,1,0,1,1,86.24104380184393
30,29,4,14,2,1,1,0,80.5635930975915
23,23,2,19,2,1,0,0,78.71038875470263
19,25,8,15,1,1,1,0,78.0753949875394
9,23,5,20,1,0,1,1,82.30635686698567
45,27,1,17,3,1,1,0,84.37962338157575
25,21,6,16,1,0,0,0,78.39943845609204
30,22,5,8,3,1,0,0,72.57629668916834
18,26,4,19,2,1,1,0,79.46227821679113
12,23,10,11,1,0,0,1,78.35971149931585
28,23,6,6,2,1,0,0,72.1478952288541
24,32,4,14,0,1,0,0,77.53116996754126
16,28,6,10,2,0,0,0,75.41328097825513
32,26,4,18,0,1,1,1,82.71417359267903
48,16,8,13,1,0,0,0,77.34310315744035
8,20,4,11,2,1,1,1,71.415790485869
54,20,9,23,1,1,1,1,89.71619949528747
31,25,10,21,2,0,1,0,87.4069021794436
19,30,6,14,1,0,1,0,78.12521987207863
28,27,7,16,2,1,0,1,84.96175568126556
15,28,5,17,3,1,1,1,83.99982402278772
34,29,8,12,1,1,0,1,81.94421687268776
40,17,9,13,2,1,0,0,78.10376031422572
23,25,4,12,2,1,0,0,74.5063991371982
26,20,5,14,0,0,1,1,77.47015843296084
17,26,2,19,1,1,0,0,79.26361725717268
33,24,7,16,2,1,1,0,81.99448360453484
12,26,5,22,2,1,1,0,83.61046692020183
35,26,4,12,1,0,1,1,81.34027608157244
25,25,4,17,4,1,1,1,84.22725502125311
23,33,10,13,1,1,1,1,82.1576868798339
27,18,7,13,1,0,0,0,73.66872023428883
30,26,4,18,0,1,1,1,83.7369449650106
16,27,5,25,2,1,1,1,90.88262994768208
31,19,6,15,2,0,1,1,81.21323118855452
15,23,6,17,1,1,1,0,77.50817313231065
21,25,4,8,1,0,1,0,72.1389200446656
20,29,6,23,0,0,1,0,84.26518901682624
23,17,8,16,0,0,1,1,79.26356057370394
26,18,5,19,3,0,1,1,82.80989468783139
20,26,6,20,2,0,1,1,86.766933724885
20,21,6,13,0,1,0,1,76.80697710817552
13,24,4,18,1,1,0,0,76.56494148095554
26,24,6,12,1,1,1,0,76.44205061938517
20,21,6,12,1,1,0,1,75.9329546831277
19,24,5,18,2,1,1,0,78.87713410563042
40,22,4,18,3,0,0,1,85.7148760338334
10,21,10,13,3,1,0,1,77.530764713153
14,19,2,19,1,0,0,0,74.59540446738895
44,26,4,11,3,1,0,1,82.74130110960957
14,26,8,16,2,1,1,1,82.96696798231234
19,19,6,20,1,1,0,0,80.17649851733836
23,21,3,17,1,1,1,1,80.94524468763287
18,21,7,12,2,1,1,1,78.9386194938965
31,26,5,14,1,1,0,0,76.38975092182648
24,20,4,14,2,1,1,1,78.09306849407471
27,33,3,14,1,1,0,1,80.64919219813422
31,24,6,14,2,0,1,0,79.13912732341431
28,18,6,14,0,0,1,0,74.31205287840854
19,26,5,12,2,1,1,0,75.4971358165096
21,16,6,17,0,0,1,0,76.79124607190843
14,26,5,13,1,0,1,1,79.89601665881476
22,20,7,16,2,1,1,0,78.90400083873229
38,21,5,15,1,1,0,0,77.4643833285051
22,31,6,9,0,0,1,1,77.8917928762796
29,26,5,7,1,1,1,0,72.43830754756208
8,30,11,12,2,1,0,0,77.9059172437498
8,21,7,12,2,0,0,0,73.99118127955603
44,22,5,17,1,1,1,0,84.47288916086454
18,16,4,13,1,0,1,0,71.79969000646658
20,25,1,20,1,0,1,0,79.04666207664681
20,25,5,11,2,0,1,1,77.41483639966813
26,26,3,13,2,1,0,0,77.04583803103769
11,23,6,16,2,0,1,0,76.83493487288477
30,27,5,26,2,1,1,0,87.40898363706773
7,23,7,16,1,1,1,1,81.67454485252952
17,25,7,18,1,1,1,0,81.06464265393139
32,20,4,11,3,1,1,0,75.91611352356536
25,22,4,6,1,1,0,1,72.989538615703
25,22,10,15,1,0,1,0,80.15133896672944
9,28,6,20,3,0,0,0,80.39373118177298
27,27,7,19,2,0,0,0,83.34297291656172
17,22,6,17,1,1,0,1,80.61894942051964
27,23,6,14,2,0,1,1,80.1059334955798
23,21,3,18,1,0,1,1,80.41920600220656
23,25,0,14,3,0,1,1,78.14625836204289
25,21,4,7,1,0,1,0,69.86384926044299
32,23,6,15,2,0,1,1,82.76585149103732
18,20,4,15,1,0,1,1,77.0513751904789
22,22,5,19,1,1,1,0,78.71492958400935
36,25,6,13,1,1,0,1,81.36083688112127
1,24,6,13,1,0,1,1,76.00042113610172
14,21,2,15,2,0,1,0,76.88863071862627
22,33,7,14,1,1,1,0,79.26930049633887
22,30,1,13,3,0,0,1,80.35684562166489
28,26,5,6,2,0,0,1,75.59394274381171
-2,24,8,12,2,0,0,0,72.13206882142715
17,23,2,15,0,0,1,0,74.56119178872585
17,26,7,26,2,0,1,0,89.33336101422675
23,25,4,15,2,0,0,0,77.85390860149325
24,18,2,23,2,1,1,1,83.53734772047608
29,24,7,17,2,0,1,1,85.44740413002403
17,26,6,23,0,0,1,0,83.65900214370923
9,27,6,27,1,0,1,1,89.10888270110995
21,26,4,18,1,1,0,0,78.35980492012932
10,26,5,13,2,1,0,1,77.01659096492573
48,23,8,19,2,0,1,0,87.02372075139677
37,20,4,13,3,0,1,1,78.61251692348951
10,26,10,19,2,1,0,0,82.00995136876372
35,16,1,11,2,1,1,0,71.7193633273206
22,18,4,11,1,0,0,0,69.28936972906476
26,25,9,13,2,0,0,0,77.3690570274235
33,24,4,18,2,1,0,1,83.77671466203104
50,26,8,14,2,1,0,1,88.14651459054045
22,27,2,16,2,0,0,0,78.96550491182585
34,28,3,15,3,1,1,1,84.01947683474667
16,26,8,19,1,1,1,0,82.047313230238
21,31,7,17,0,0,1,1,83.4417086173966
38,19,8,14,1,0,1,1,80.53440730220034
28,25,4,17,2,1,0,0,79.59767427677737
10,19,7,16,2,1,1,1,80.84028512226328
31,24,6,23,2,0,1,1,87.47644781462199
52,19,8,11,1,0,1,1,81.08923585297468
24,20,4,16,1,1,0,0,75.44023997128706
34,27,2,12,2,0,0,1,79.57145548475638
44,32,8,10,1,1,0,1,82.96011006101888
23,26,4,24,2,1,0,0,84.64084940672808
25,22,6,8,1,0,0,0,71.3835253496901
23,24,6,19,0,1,0,0,77.87696206115442
32,19,6,11,2,0,0,0,73.95551061938022
24,26,7,13,2,1,0,1,79.26650713749908
25,24,5,8,2,0,0,1,76.00728179686979
34,22,7,18,3,1,1,0,83.01158402665772
12,29,8,14,2,0,0,0,79.12623005755128
29,21,5,17,1,1,0,1,81.9281579656099
25,20,6,18,-1,1,0,1,81.14608601132964
25,17,5,15,0,1,0,1,77.83534603590155
18,16,7,17,2,0,1,0,76.62257344833426
19,22,3,21,1,0,1,1,82.53377589989366
43,30,4,15,2,1,0,1,87.08371692029301
34,18,3,9,2,1,1,1,74.43793513303099
34,24,7,11,1,1,0,1,80.84363873731931
47,21,4,20,2,1,0,1,86.24961204630227
26,28,6,17,1,1,1,0,81.68172839579472
40,24,7,13,1,1,0,0,78.87329579052793
37,26,6,14,2,0,0,1,82.90077176026578
29,27,6,13,2,1,0,0,80.72424909812435
12,18,5,18,2,1,0,0,76.71846411817498
32,25,5,7,4,0,0,0,72.79019096188075
21,22,5,10,1,1,0,0,70.62543348784553
27,27,3,15,3,0,0,0,77.49955018148343
20,23,6,15,2,0,1,1,80.2362546187739
15,26,7,15,2,1,0,1,81.67672752417592
20,28,6,9,1,1,1,1,78.93113114503399
22,25,0,18,2,1,1,0,79.73762375703313
32,23,3,8,4,0,1,0,75.9965425032202
30,21,1,19,2,1,0,0,76.93222007024798
16,25,3,23,2,0,1,1,85.59768479382504
44,31,3,16,2,0,1,1,85.42499589996267
14,20,2,14,2,0,0,0,72.62661269852744
27,21,3,16,2,0,1,1,81.083710737713
7,29,6,11,1,0,1,1,77.30814032214599
29,17,6,10,3,1,0,0,73.19824163873098
20,29,7,14,2,0,1,0,78.62293692680441
22,22,6,15,1,0,1,1,81.67656670922065
32,17,6,16,1,0,0,0,74.38158510174802
24,16,7,22,2,1,0,0,79.80306465237739
12,22,6,12,1,0,0,0,70.6611360777295
41,23,10,13,0,1,1,1,82.03115418571818
17,28,4,16,1,1,0,0,79.15062548523588
24,19,6,15,1,1,1,1,79.7263216801747
12,23,4,20,0,0,0,1,78.97878279762597
23,24,5,16,1,0,0,1,79.54139757113317
13,26,7,6,0,0,1,0,70.62883321744293
16,29,8,18,1,1,0,1,85.38734702439864
40,27,3,17,1,0,0,1,85.86890375741379
16,33,4,23,1,0,0,0,85.48011318742948
5,26,6,14,1,1,1,1,77.23988108204848
16,28,2,17,3,1,1,0,81.48381105937759
23,25,2,11,2,0,0,0,72.18141964008485
15,22,9,13,1,0,0,0,73.34126870428103
18,20,6,20,1,0,1,1,83.32338232003113
19,19,9,22,0,1,0,0,82.40267504776868
26,22,4,15,1,0,1,1,79.20899261338873
17,22,5,22,1,1,0,1,84.5044682955443
14,29,3,16,2,1,0,0,77.09708872334635
36,20,7,13,1,0,1,0,77.61072456537435
24,27,4,12,2,1,1,0,76.79282788571847
29,26,4,8,1,0,1,0,73.17262658257846
28,22,7,24,2,1,0,0,83.97625535580241
43,25,7,22,2,0,0,1,90.19352392730356
13,15,9,17,2,1,0,1,78.86297150542345
13,27,7,23,1,1,0,1,86.97635633204749
2,26,9,15,0,0,1,0,75.41501404430703
18,24,8,14,2,0,1,1,80.60316859312043
15,19,5,18,1,0,1,0,76.99480038501964
16,21,2,21,0,1,0,0,78.30538089011777
21,17,6,17,2,0,0,1,80.9843933595506
41,27,5,19,2,0,0,1,86.94489526683255
17,20,9,22,2,0,0,0,81.561691684417
