student_age,parent_education_years,classroom_size,school_funding,private_school,urban_location,tutoring_services,online_education_program,final_grade
15,25,5,20,1,1,1,1,90.54658123150732
24,22,7,20,0,0,0,0,90.81212568805935
37,24,4,18,0,0,1,0,100.85234644496713
34,24,6,18,0,1,1,1,107.6837808545977
11,25,9,14,1,1,1,1,92.78866406500084
27,25,4,11,0,1,1,1,101.35429399982388
26,27,3,15,0,1,1,0,91.36103500402476
26,25,8,11,0,0,1,0,94.56751346499593
11,16,2,17,1,0,1,1,78.35045447491557
17,34,9,17,1,0,0,1,104.42541685291948
24,24,7,14,1,0,1,1,97.896742590067
22,23,7,21,1,0,0,0,89.82045154686193
30,18,6,19,1,1,0,1,99.24591641043708
28,29,8,16,1,1,1,1,110.1639281238394
10,24,4,12,1,1,0,1,84.11297424067165
6,30,4,8,1,1,1,1,85.25564554278711
30,27,2,15,1,1,1,0,95.78488612769247
13,18,3,12,0,1,0,0,72.22735416814302
12,20,5,12,1,0,0,1,83.71438017680173
9,26,9,20,0,0,1,0,80.46767571536013
24,20,5,22,1,1,1,0,88.4007500077705
39,15,7,14,0,0,0,0,95.3117115288948
31,30,4,18,0,1,0,0,98.86531544940242
16,27,7,18,0,0,1,1,95.1246231801884
8,19,3,12,1,0,1,0,70.2508983906259
17,22,5,19,1,0,1,0,81.61157129297261
19,29,9,21,1,1,1,0,93.98091596764424
20,22,5,17,1,1,1,1,93.55349162182056
42,24,5,12,0,1,1,0,107.41276065263033
8,29,7,15,1,1,0,0,81.98502402317459
21,23,5,13,1,1,1,0,85.65686001407208
7,18,4,13,0,1,1,0,71.17548311907461
30,22,6,26,1,1,0,1,104.15797444031716
18,29,8,18,0,1,1,0,93.63284807865912
23,23,3,14,0,1,1,0,88.28475635160096
24,25,1,20,1,1,0,0,88.70314524203746
24,33,5,17,1,1,0,1,107.6901637529663
39,29,1,23,0,1,1,1,112.74587048263236
22,27,4,19,1,1,0,1,98.51258561179364
32,23,8,24,1,1,1,1,108.71436156137575
24,26,7,14,1,0,1,0,93.73429157915724
40,28,9,12,1,0,1,1,117.84114449791744
34,16,2,11,1,0,1,1,96.45649284901634
19,27,8,15,1,0,1,0,91.28196347056988
27,27,5,8,1,1,1,1,102.05480598658173
22,26,0,17,0,0,1,0,86.36210535804548
27,30,8,5,1,1,0,0,98.8925747247394
38,25,7,15,1,0,0,1,111.67444332705767
28,27,5,11,1,1,1,0,95.06356020223184
27,30,8,14,0,1,1,0,99.56042337987309
10,29,8,21,1,0,0,0,83.72894823807472
9,16,5,11,1,1,0,0,70.16195122756692
18,27,6,14,1,1,1,0,89.03829949157804
19,21,5,20,0,1,1,1,93.1409645983985
18,26,6,11,0,1,1,1,94.70816611130292
26,24,7,19,0,1,1,1,102.14844625436636
33,20,4,15,1,1,0,0,92.5405705188842
29,21,10,17,0,1,0,0,94.82590093195869
45,31,5,20,0,1,1,0,113.67981525395548
10,28,4,23,0,1,0,1,90.04735443580363
34,24,7,9,1,0,1,1,105.76900325687905
22,26,3,15,0,0,0,0,88.45310980333673
21,16,0,27,1,0,1,1,88.33289099570912
25,20,3,15,1,1,0,1,94.68891569441033
39,23,8,16,1,1,1,0,104.87151135244297
10,24,6,14,0,0,0,0,76.0150670577992
19,17,3,16,0,1,1,0,77.62232739528756
39,19,10,17,1,0,1,1,111.64931643717507
25,21,7,11,1,0,0,1,97.63519518701486
39,27,7,9,0,0,0,1,112.9477351641797
26,17,1,13,1,0,1,1,91.13868070579962
40,25,3,9,0,1,1,0,103.25463491694728
23,19,6,16,0,1,0,0,85.1207590624782
16,22,4,13,1,1,0,0,80.28090173626843
28,24,5,17,1,0,1,0,92.02809057131896
28,19,4,24,1,1,0,1,98.12517014436068
29,17,5,20,1,0,1,0,88.66339045508468
23,16,3,21,1,1,1,0,81.27912940429918
19,18,7,20,1,0,1,0,83.46093102158642
16,28,4,20,0,0,1,0,87.13597078408601
24,20,4,24,1,0,0,1,95.19638266924196
9,13,4,18,1,0,0,0,66.10685238461336
25,22,5,16,1,1,1,0,90.73253353456242
30,26,4,11,0,0,0,0,94.64392822840482
36,14,5,17,0,1,1,1,101.38758822728424
17,28,9,14,1,1,0,1,98.82304296559596
29,18,5,21,0,1,0,1,98.9559701795695
21,22,5,21,0,1,1,1,96.82679618217976
44,21,6,16,1,1,1,1,112.39099779897292
27,23,4,28,1,1,0,0,90.29890398291084
36,24,8,14,0,1,1,0,100.37771463714836
12,13,6,22,1,1,0,0,72.96712564704447
19,15,6,11,1,0,1,0,76.89225232808477
26,23,6,15,1,1,1,0,90.9016258313535
28,20,6,14,1,1,1,0,90.26132177900186
14,24,7,16,0,1,1,0,81.74913960518343
24,28,9,17,1,1,1,1,106.96016422973416
16,18,8,14,1,1,1,0,80.55606086960634
25,22,5,17,0,1,1,0,88.47298037445321
16,23,5,19,0,1,1,1,90.02213568922426
42,29,5,18,1,1,1,1,121.63019036776078
23,19,2,18,0,0,0,1,90.01286502295535
22,29,7,9,0,1,0,1,100.6837584044722
18,25,6,14,1,1,0,0,84.67214529373439
29,15,2,24,1,0,1,0,86.1963367083099
24,23,4,24,0,1,1,1,100.28311020414218
19,20,4,19,0,0,1,0,81.99270754297285
11,22,5,13,1,1,0,0,74.41643353018465
18,27,7,14,1,1,1,1,97.08284202755786
28,31,2,21,1,1,1,1,106.39623783885077
22,20,7,13,1,1,1,0,85.64357994784322
21,22,4,11,0,1,0,0,80.9532208557002
42,25,6,16,0,0,0,0,105.81596752797924
27,25,3,19,1,1,1,0,92.2790203936898
10,26,5,16,1,0,1,0,80.46224001523508
29,33,7,16,0,1,1,0,102.86153632893696
28,21,6,29,0,0,1,1,101.70245390151356
23,26,6,15,1,1,1,0,90.14231460069162
5,30,7,13,0,1,0,0,78.83431359172897
19,29,7,6,1,0,1,1,98.59908071009764
17,27,5,16,0,1,1,1,96.43108346423487
18,20,4,22,1,1,1,1,91.09916156142636
11,23,6,17,1,0,0,1,87.119001327563
42,21,8,22,0,0,0,0,104.58371000475589
13,28,5,20,0,1,1,0,84.41720665252706
-4,26,7,4,1,0,1,1,76.96906598595862
26,24,4,16,1,0,0,0,89.14101946053195
43,18,7,14,0,0,0,0,102.91836775245724
20,22,6,18,1,1,0,1,94.91379491114505
25,19,6,7,1,1,0,0,85.98529062092203
13,22,9,19,1,0,0,1,89.49039124896933
28,23,8,24,1,1,0,0,95.56541843130192
29,27,7,7,1,1,1,0,96.35311796017662
38,28,7,15,0,0,0,1,115.48380308606572
31,28,5,25,1,1,1,1,111.39205699655967
25,25,7,11,0,1,1,1,100.4703697429876
29,22,3,17,1,0,1,0,90.58150984026966
24,18,4,13,1,1,1,1,91.59558000588216
26,19,4,18,1,0,0,1,95.3361176542452
44,21,6,10,0,1,0,1,112.2026189826336
10,24,4,8,1,1,1,1,85.28657032725881
22,22,10,15,1,1,1,1,99.70327657336291
38,26,9,15,0,1,1,1,114.0086293185694
23,25,5,14,1,1,1,0,88.8274489676877
35,21,8,7,0,1,1,0,95.65811240418712
24,22,3,17,1,1,1,1,95.4880799427359
36,23,8,18,1,1,1,1,111.0856209675195
11,23,6,22,0,1,1,1,88.87819905239387
28,25,3,16,1,0,0,0,91.62700087807232
35,14,3,20,1,1,0,0,89.43452568576834
21,31,4,18,1,1,0,1,101.93082439778742
30,24,2,15,1,1,1,0,92.9102104737434
32,22,7,10,1,0,1,0,94.29240622192714
36,25,5,10,0,1,0,1,106.55547720450544
13,17,8,22,0,1,0,0,75.61723720926727
27,23,8,21,1,1,0,0,93.20801437515476
17,29,6,15,1,1,0,0,87.25729402924733
18,14,9,18,1,0,1,1,88.67645482707142
19,25,4,17,1,0,1,1,95.48444789807824
30,32,3,15,1,1,0,0,99.81106800571186
33,25,5,24,1,0,1,0,99.93168722878625
27,19,6,18,0,1,1,0,89.63111491318892
26,13,7,10,1,0,1,0,81.70484880126243
22,23,5,16,1,0,1,1,96.55335736714228
22,21,5,15,1,1,1,1,94.24952801198204
5,18,4,11,1,0,1,1,74.96953040139168
20,35,6,21,1,1,1,0,99.38968862592814
17,20,5,19,1,0,1,0,78.41347956885315
25,25,4,19,1,1,0,0,90.16722661669728
24,23,9,18,0,1,1,1,100.90126036770494
44,21,7,21,0,1,0,0,106.2877068751188
23,25,5,9,0,1,0,0,86.37251555150853
29,27,3,12,1,1,1,1,103.04598620808665
42,26,4,14,0,0,0,1,114.54463642987452
35,16,4,19,0,0,0,1,98.34088000257267
38,29,4,15,0,1,1,1,113.58744825803352
15,23,5,27,1,1,1,1,93.48685491118592
23,23,6,19,1,1,1,1,99.237178644506
34,28,3,11,1,1,1,1,107.96838171632558
13,21,4,18,1,1,1,1,86.60515615852731
7,25,6,13,1,0,1,1,83.58591234640872
33,27,3,15,1,1,0,0,98.1457381114926
10,23,4,21,0,1,1,0,78.1573347900891
21,20,2,12,1,1,0,0,79.9332935903427
13,33,8,12,1,0,1,1,98.6631547378416
27,24,4,17,1,1,1,1,102.8116758024528
18,27,5,25,1,1,1,0,89.16939754101466
28,27,4,21,1,1,1,1,105.12060502597518
31,17,5,19,1,0,1,1,99.60239738883148
36,22,1,17,0,0,1,1,101.54648565196844
15,18,4,18,1,1,1,1,86.48248181187141
16,21,0,16,1,1,1,1,86.07815342612945
24,20,10,10,1,0,1,0,89.855693107426
30,22,3,23,1,0,1,1,102.1714200798462
11,18,5,23,1,0,1,0,77.4191954044443
15,33,3,8,1,0,0,1,95.83432801111356
29,24,6,12,0,0,1,1,104.6281068066291
20,18,7,19,1,1,1,1,92.90476705653734
22,22,4,14,0,0,1,0,85.63455251221983
43,25,3,16,1,0,1,0,102.84842272762708
25,23,3,13,1,0,0,0,85.7167136558586
14,20,5,21,0,1,1,0,79.10287302908034
24,24,9,8,0,1,1,0,93.5983845778899
29,23,2,4,1,0,1,0,86.01831358795542
19,18,6,10,0,1,1,0,80.27581817224475
21,25,9,19,1,0,1,0,93.29519287949084
11,23,8,13,1,1,1,1,88.89106950527116
29,28,6,17,1,1,1,0,98.00976279856704
46,30,7,22,0,1,1,0,117.12885182770052
36,30,6,19,1,0,1,1,114.71483331919282
23,28,5,23,1,0,0,1,101.44561299422708
20,21,5,18,1,0,1,0,83.1750735529206
39,29,7,11,1,1,1,1,116.90072824135405
41,26,5,16,1,1,0,0,104.41476096379188
34,27,4,27,1,1,1,0,102.07346424154323
19,18,6,15,0,1,1,0,80.30605668229803
-4,24,5,18,0,0,0,0,66.45392887776785
20,25,4,13,1,0,0,0,84.85658610355887
27,20,6,12,0,1,1,0,89.36212219242393
21,19,10,20,0,1,0,0,85.51041741328748
24,25,9,20,0,0,1,0,94.99280576013274
34,23,7,10,1,1,0,0,96.15570109258404
23,19,1,11,0,0,1,0,82.47992717649214
32,17,5,13,1,1,1,1,98.375140341469
52,21,5,17,1,0,1,1,119.412468039931
26,16,8,20,1,1,1,0,89.194051867426
37,21,7,23,0,0,0,1,108.7482799722782
19,21,5,14,0,0,0,0,82.47247305753231
42,19,4,22,1,1,1,0,101.34331002251076
25,21,4,24,0,1,1,0,88.71120271250096
16,20,4,9,0,1,0,1,86.09320865761576
29,17,7,22,1,1,1,1,98.61478184486454
17,19,7,20,1,1,1,0,83.7250067307526
42,24,7,19,0,1,1,0,108.05405804176183
21,22,9,12,0,0,1,0,87.17553754011416
21,27,1,21,0,1,0,1,96.76774393469064
33,19,4,15,0,1,0,1,99.97393822906734
43,30,9,10,1,1,1,0,113.06502421031408
26,20,3,17,0,1,0,1,96.67217775267248
32,24,4,20,0,1,1,1,107.28780671698992
14,21,7,15,1,0,0,0,78.90001928139961
25,22,7,20,1,1,1,0,93.3646172674172
12,23,5,9,1,1,1,0,78.11375886566562
43,21,9,9,1,1,0,0,103.1098237403132
20,31,4,17,0,0,0,0,89.82395385476018
30,26,2,20,0,1,1,1,105.13820453661332
18,26,6,9,1,1,1,1,92.95179792891096
20,22,7,14,1,1,1,1,95.0472892484614
20,19,9,14,1,1,1,0,85.77718913700997
42,23,4,12,0,1,1,1,111.8011985973419
26,26,1,21,0,1,0,0,91.38158481402075
15,25,6,9,1,1,0,0,80.75592354186074
31,18,10,14,0,1,1,1,103.56140619790418
41,17,8,15,1,1,1,1,110.29325998528704
22,27,5,19,1,1,1,0,92.14227832790668
35,18,2,10,1,1,1,0,90.5763302230671
35,26,6,16,1,1,1,0,102.86255926527436
15,23,5,12,1,1,0,1,90.4438651345846
20,20,5,21,1,1,1,0,84.6205819871717
35,27,7,13,1,1,1,1,113.35002785502913
24,11,5,14,0,0,0,1,87.96225640844978
28,23,5,11,1,0,0,0,91.20731695473896
36,22,4,15,1,0,1,0,97.18474814040484
13,27,7,17,1,1,0,1,94.36993105770829
12,16,6,16,0,0,0,0,73.03876640981522
13,25,6,25,1,1,0,1,93.0545447579041
26,23,8,14,0,1,1,0,92.4554008001006
10,35,5,21,1,1,1,1,98.03314669584384
26,25,3,11,1,1,1,0,90.18027494507652
27,21,7,18,1,1,1,0,89.47198725081341
20,19,7,17,1,1,1,1,93.77462744799703
47,27,4,11,0,1,1,0,110.588203683896
22,27,8,16,1,1,1,0,92.87706653740764
51,20,7,19,1,0,1,0,111.51440932935624
41,18,4,11,1,0,0,1,105.0770674364767
39,21,4,12,0,0,0,0,97.38361907517044
21,16,5,13,1,0,0,0,78.78265398413363
50,23,9,18,1,0,1,0,114.85138082849126
22,29,6,14,0,0,1,1,101.49281624269452
11,20,4,18,1,0,0,1,82.68124551401147
25,18,7,18,1,1,1,0,86.25002439972097
26,20,4,19,1,1,1,1,97.34544850774714
28,27,7,16,0,1,0,0,96.09968757064888
17,28,4,19,1,1,1,1,94.34831351633888
39,25,4,14,0,0,1,1,110.6192117279511
33,28,7,18,0,1,1,1,112.60931388665747
32,23,3,26,0,0,0,0,95.53952986601392
20,22,6,12,1,0,1,0,83.39328186276556
24,25,5,12,0,1,1,0,87.72991872519522
32,25,3,21,1,1,1,1,106.51607490692228
16,25,3,19,0,0,1,1,92.98197556734576
31,21,8,15,1,1,0,0,94.78667979420756
4,30,7,20,1,1,0,0,79.98008510226985
19,17,1,14,0,1,1,1,85.86417235633856
14,20,7,20,1,1,1,0,80.07449479392994
27,24,7,15,1,1,0,1,101.71680627297572
14,28,5,19,1,0,0,1,93.93229268361156
25,25,7,10,0,1,1,0,91.94273366565676
23,22,6,9,1,1,1,1,96.53566732604398
14,26,6,17,0,0,0,0,82.7774869563958
23,20,8,14,1,1,0,0,86.59020625453607
28,20,7,11,0,0,1,0,90.49108463910127
34,22,3,14,0,1,1,0,95.45356618924116
25,24,9,15,1,1,1,0,94.78845974104816
21,27,4,26,0,1,0,1,98.34384405664788
8,32,9,18,1,1,1,0,86.63027454442353
36,23,2,10,1,1,0,1,104.41324142914918
20,30,3,15,1,0,1,0,90.87524860726144
34,22,6,20,1,1,1,0,95.87130033328069
35,18,9,22,1,0,1,1,106.45913946324876
26,24,2,24,1,1,0,0,91.45057389539636
29,25,7,16,1,1,1,1,107.95036244608472
21,24,6,12,0,1,1,1,96.04086411638106
20,23,4,25,1,1,0,1,95.37686544948365
27,22,8,16,0,0,0,0,91.32127076873672
26,21,6,8,1,1,1,0,87.35065054323422
32,18,9,15,1,0,1,0,92.67469364661494
19,31,6,16,0,0,0,1,100.18353730344072
6,19,4,15,1,0,1,0,68.56692782303935
26,25,4,22,0,0,1,1,99.3948211630486
17,24,1,17,0,0,1,0,80.41671776810075
17,27,4,11,1,0,1,1,93.85010317969788
33,24,10,24,1,1,1,0,103.44281520251472
11,21,4,16,1,1,1,0,74.7235320551152
28,17,6,8,0,0,1,1,95.05562076558788
14,25,6,15,0,0,1,1,90.50397001016094
27,24,3,16,1,0,0,1,99.51339428002248
24,18,5,20,1,0,1,1,93.956296028202
31,33,0,7,1,1,1,1,107.13204459460604
27,24,4,18,1,0,1,0,92.59953571864388
22,20,4,12,1,1,1,0,83.87424630298653
20,20,6,11,1,0,1,1,92.16963940140316
22,26,10,17,0,1,0,0,94.55592248805884
4,21,10,21,0,1,1,0,75.40639403601736
31,33,3,21,1,1,1,1,111.13089505943648
31,22,7,14,1,1,1,0,94.71185336237475
25,28,3,20,0,0,0,1,99.20825607666563
8,27,5,12,1,0,1,1,87.37685950269542
18,29,5,15,1,0,0,0,87.91477579984605
33,17,5,20,0,1,1,1,101.3051233239256
25,19,4,18,0,0,1,0,85.17649774363515
19,21,7,16,1,1,1,1,92.7595746302396
15,22,5,23,0,1,0,0,81.72058821030585
23,22,6,17,1,1,1,1,96.57664653744384
26,25,6,11,0,1,0,0,90.59594938712496
20,24,7,20,1,1,1,1,97.2084980273386
23,26,6,14,0,1,1,1,100.95892465971887
21,16,6,15,1,1,1,0,80.48314602490379
31,30,6,8,1,1,1,1,109.06964288148966
24,18,5,19,1,1,1,0,86.76147982103227
23,27,9,17,1,0,1,1,104.18251275825612
8,18,5,20,1,1,0,1,80.47070716132654
31,19,4,14,1,1,0,1,100.45954056170704
32,27,4,14,0,1,1,0,100.24820436179816
14,18,7,13,0,1,1,0,76.6756401804325
39,29,8,17,1,0,1,0,110.85580473323172
28,21,3,10,1,1,0,0,88.5681115672967
42,24,3,11,0,1,1,0,101.83326891190376
25,19,4,17,0,0,0,0,85.4786618435721
35,23,6,13,0,1,0,1,106.57422947107068
7,15,7,21,1,0,1,1,78.7547618437076
26,26,7,20,1,0,0,1,104.15563295551912
26,30,6,12,1,0,1,0,97.81481607962314
58,12,10,14,0,1,1,0,111.70923308511809
28,24,4,12,1,0,1,1,101.04700583296068
17,30,8,13,0,1,1,0,92.77618424825596
30,23,4,18,0,0,1,1,104.583781901199
32,19,7,9,1,1,0,0,92.4828230381288
41,22,3,18,0,1,1,0,101.60001385317848
44,23,4,15,0,1,0,1,111.87918541007627
21,21,6,19,1,1,1,0,85.68606233654842
24,23,3,19,1,0,0,0,88.41201522463992
13,25,6,11,1,1,1,0,81.39024515099372
22,21,5,11,1,1,1,0,84.78763869570251
32,17,7,18,1,1,0,1,99.19958626333796
20,26,1,5,1,1,0,0,82.49477950507028
14,19,9,14,0,1,0,0,79.2038914252053
28,19,5,12,0,0,1,0,88.51414898677164
31,27,4,19,1,0,1,1,106.3751547856448
21,24,5,16,1,1,1,0,87.34633192788094
32,21,7,14,1,1,0,1,103.08261867404008
7,28,7,21,1,0,1,0,80.87542076561117
36,20,5,19,0,1,1,1,104.79661532936514
31,27,6,16,0,1,0,0,97.78659711896904
19,23,4,12,1,1,0,0,83.80486469269174
21,24,9,19,1,0,0,0,91.0547320034825
21,22,4,25,1,1,1,1,94.67527967369652
38,25,6,19,0,0,1,1,112.72350788436306
28,25,2,16,1,0,1,0,91.29355261506224
20,22,7,17,0,1,0,1,94.23464000002012
25,29,9,12,0,0,0,1,104.13752324319702
17,25,6,11,0,0,1,0,84.22774195811789
23,21,5,15,1,1,1,0,85.9055391603733
35,29,4,16,0,1,0,1,111.11778072137894
35,19,6,13,0,1,1,1,104.89753639396196
15,29,5,18,0,0,1,1,95.12044478690368
37,26,4,11,1,1,0,0,101.32754977914392
24,16,6,11,0,1,1,1,91.80459931466808
17,24,2,20,1,0,1,0,83.21683040072162
17,16,3,16,1,1,1,1,84.45981163473789
10,23,10,19,1,0,0,0,80.68051099355189
20,32,6,14,1,1,0,1,102.55739886939156
20,22,7,14,0,1,1,0,85.92342405974841
15,22,6,12,1,1,1,0,79.47278751616224
26,23,6,13,0,1,1,0,88.17017178056473
23,27,4,18,0,1,1,0,92.48099472417744
6,25,5,18,1,0,0,1,84.15059302466315
28,27,7,11,1,1,1,1,104.82102338700771
21,30,2,25,0,0,0,0,90.2721751882286
28,26,4,13,0,1,1,1,103.19083106472044
23,23,8,20,1,1,0,1,101.45904863798567
25,23,3,10,0,1,0,1,94.45050946001612
25,23,9,10,1,0,1,1,101.35959270027716
25,25,6,23,0,1,1,0,93.63756112990644
15,23,5,13,1,1,1,0,81.12878814513442
26,25,4,15,1,1,1,0,92.08172568378718
41,27,5,12,1,0,1,0,106.5217986818938
21,24,3,20,0,1,0,0,85.16242879177581
29,20,8,23,1,1,0,1,103.64485745012566
28,21,5,9,0,0,1,0,88.16103473253162
29,28,4,28,1,0,1,0,101.02356313517072
