age,education_years,income_level,social_support_score,gender,minority_status,community_resource_availability,community_program_participation,social_mobility_score
10,30,14,15,1,1,8,-12,-16.280608560148615
6,31,10,10,1,0,8,-5,21.303768112683976
12,33,8,14,1,1,10,-11,-10.905061748951054
12,30,8,15,1,1,11,-6,18.03850836921691
10,30,8,16,1,0,6,-11,-9.869565148807602
5,29,12,11,0,0,6,-5,21.46596747650713
2,29,9,14,1,0,13,-1,40.87333407187133
8,31,10,15,1,0,6,-10,-3.149147818934545
8,30,10,17,0,1,6,-6,21.229380288621464
11,30,12,12,1,1,9,-7,11.230532755929602
6,25,6,9,1,0,9,1,55.57488154859296
13,32,9,12,1,1,6,-10,-3.0611762751896845
9,29,8,10,1,1,9,-3,34.25491230488831
8,33,7,17,1,1,11,-11,-9.861939134213458
7,32,1,17,1,1,10,-7,10.595216218560076
12,35,9,16,0,1,8,-13,-18.823675520055847
10,30,15,15,0,1,9,-9,3.774621573831133
9,25,9,15,1,0,7,-2,41.75658706447712
12,27,6,19,1,1,12,-9,0.6045266690466784
4,31,7,10,1,0,10,-5,19.12389623236158
10,27,5,12,0,1,9,-3,30.763440317614364
10,30,5,11,0,1,9,-7,7.311265838818707
9,28,9,14,1,0,7,-6,16.754719577802597
14,28,11,10,1,1,6,-8,9.85915876454381
11,34,8,11,0,0,11,-8,5.527173010019489
7,28,9,15,1,0,6,-6,18.4568017780866
8,29,7,12,1,0,8,-4,29.0732070854345
9,29,5,11,1,0,8,-2,39.60384894018147
14,32,7,13,0,0,5,-11,-9.418581442323442
10,33,8,13,1,1,10,-9,3.276715450403572
5,32,13,16,0,0,7,-11,-13.906407920481357
11,26,9,15,1,0,6,-7,15.722376690252148
11,30,11,11,0,1,9,-6,16.686399421882484
11,30,6,9,1,1,6,-5,20.884706917597672
10,26,9,14,0,0,9,-4,29.87756429016988
10,33,10,16,1,1,7,-15,-27.447888815525904
15,30,7,13,1,1,10,-12,-15.72984938531287
8,28,7,14,1,0,9,-7,9.748969202647196
14,26,4,15,1,0,7,-6,19.512254580383875
11,27,6,17,1,0,10,-6,17.529687588943577
10,27,6,16,1,0,7,-7,13.9865555650608
8,32,5,12,0,0,8,-6,16.08356909370397
7,27,9,15,0,1,11,-4,29.72303256567101
14,29,7,17,0,0,9,-8,9.53537271376117
9,26,6,16,0,0,10,-2,37.99692070182584
7,31,9,13,1,1,9,-3,36.42985412557486
7,31,14,15,0,1,7,-11,-9.09476241014149
12,33,8,12,0,0,12,-6,15.771411592634204
6,28,7,15,1,1,6,-4,31.031910814208665
16,30,12,14,1,0,8,-14,-22.795214409232933
6,26,3,11,1,0,9,2,61.70358497546132
3,31,9,11,1,1,6,-4,27.343830480420905
11,34,7,11,0,0,10,-8,4.806478231330542
6,32,11,20,1,1,6,-15,-31.312392866667025
7,30,8,14,1,0,5,-5,24.193682736511377
8,26,8,12,1,0,8,-2,39.96844293667236
10,28,13,17,0,0,8,-7,13.572576684920566
13,30,5,9,1,0,9,-4,27.99620841888912
6,30,11,14,0,0,10,-4,28.99435032769371
6,31,5,12,1,1,12,-4,27.258092540125773
5,32,0,17,0,1,9,-8,4.290954469473402
11,28,7,15,1,1,6,-9,3.0629895866118915
11,33,7,14,1,0,7,-11,-6.988110579996891
8,32,4,17,1,0,6,-10,-4.095432208655655
16,32,5,11,0,0,10,-9,2.005952891000487
10,30,9,17,1,0,7,-9,0.9074154593587918
16,27,4,14,1,1,12,-5,22.32554535238157
11,30,4,15,1,0,5,-7,15.230667167749894
10,29,7,15,0,0,6,-7,10.431578239963434
12,35,8,16,1,0,10,-15,-32.04066866453616
12,33,6,13,1,0,9,-8,6.83883631929576
10,26,2,16,1,1,11,-1,47.07045167532501
11,30,6,14,1,1,9,-8,7.832068733752811
9,30,7,13,1,1,10,-4,27.220513193861034
3,29,2,16,1,0,6,-2,39.810412482129856
13,29,4,12,1,0,6,-5,23.90706915981594
13,26,-1,12,1,0,9,-2,39.03688103171667
11,26,11,12,1,0,9,-3,35.07895326354812
11,30,4,20,1,0,8,-11,-7.264059798446443
8,26,11,14,0,0,6,-7,10.145355607321664
15,29,4,13,0,0,7,-7,12.170222723528816
12,31,12,13,0,1,12,-7,13.46816507068658
14,34,-2,17,1,1,8,-12,-11.911183929705397
6,32,9,14,0,0,7,-7,13.985778394956329
14,32,6,15,0,1,9,-11,-7.032387410171619
7,33,9,15,0,1,9,-8,7.170315550393683
11,27,8,11,1,1,7,-3,34.049154941547435
7,33,5,13,0,1,10,-6,16.6269029529236
13,29,9,13,0,1,11,-7,9.783712411753484
12,29,9,11,1,0,4,-8,6.603490643843473
8,27,5,16,0,1,9,-5,21.608009390503245
7,31,10,13,0,1,10,-7,13.259172532184316
11,35,5,11,1,1,5,-11,-7.900031431799424
10,30,7,14,1,0,7,-8,6.937014316660117
7,32,11,15,1,1,8,-8,8.364134263921578
6,34,4,15,0,1,11,-8,5.219049192665917
12,28,11,13,0,0,8,-7,14.938912210999188
9,25,10,9,0,1,8,-3,33.840385481885775
7,30,12,11,0,1,9,-4,28.43234605445961
10,26,5,15,0,1,9,-4,28.394902585897466
6,29,7,14,0,1,9,-5,20.69050808647885
12,31,3,16,1,1,9,-11,-8.754773604408497
12,31,7,14,0,1,9,-10,-3.43087608784046
6,32,6,14,0,1,10,-5,22.189583036353543
14,28,4,15,0,0,5,-8,7.675141633452965
8,28,8,10,0,1,9,-2,40.294293744566616
11,29,8,13,1,0,10,-5,25.137752633736
9,29,9,11,1,1,9,-5,22.711060527701008
11,30,10,9,0,0,7,-7,10.063211868366247
10,29,12,14,0,0,6,-10,-4.996796338611864
11,30,8,18,0,1,12,-6,20.27431395960669
10,27,10,14,0,0,4,-9,1.3955869771499123
9,28,6,16,1,0,8,-8,7.016072440820382
8,32,14,14,0,1,7,-13,-19.539766936487982
9,30,8,15,1,0,9,-7,11.33009224908886
13,26,8,14,1,1,13,-3,36.89631559585562
9,26,12,12,1,0,12,0,51.33554233269777
11,33,12,13,1,0,7,-13,-19.641380723016976
8,31,10,9,0,1,9,-8,3.2149189303586607
12,26,5,10,0,0,7,-2,39.22996021590709
7,32,5,15,0,0,8,-7,10.821061265696162
9,27,3,11,1,1,10,0,53.43106197010659
11,28,13,15,1,1,9,-8,8.028814064760684
6,25,9,18,0,0,7,-6,16.728199302699778
7,30,8,19,0,0,7,-10,-5.281127648085114
9,28,0,9,1,0,8,-3,32.998244719549135
10,32,7,14,0,1,10,-5,24.679673484732927
6,28,10,14,0,0,12,-4,25.05017261898008
13,32,7,13,0,1,7,-12,-15.74884417254935
12,30,9,12,1,1,7,-8,3.2214838187061883
8,29,1,8,1,0,10,-1,37.88264143406136
6,32,11,10,0,1,11,-6,11.18669876702178
10,31,7,17,0,0,11,-9,-1.2949628174926353
11,25,11,15,1,0,7,-7,12.860413331822516
9,35,3,14,1,0,10,-8,6.760403626429556
6,30,11,14,1,1,9,-5,21.168767212996062
11,27,5,9,1,0,8,-2,37.34824374349661
7,32,7,11,0,0,8,-4,27.960392097661284
9,28,1,10,0,0,13,0,49.538610763799895
6,31,11,11,1,0,6,-8,6.523608378628291
9,31,10,12,1,1,7,-9,-0.102069135047683
6,31,14,14,0,1,6,-11,-11.852303760892408
11,28,12,9,0,1,9,-8,3.771821236342116
8,29,10,14,0,0,10,-6,17.658254079069383
7,31,9,13,1,0,7,-5,22.1089996970538
10,25,6,16,1,0,12,-2,38.93997986987719
10,33,4,11,0,0,10,-6,17.773201057750903
12,26,8,17,1,1,6,-10,-3.5678125206032405
9,28,8,9,0,1,11,-1,43.18440140160604
12,30,11,11,0,0,12,-4,27.73750143904596
12,31,9,13,1,1,9,-10,-4.001085869787933
10,29,7,16,0,0,14,-6,16.899518445041256
11,28,9,11,1,0,9,-1,44.70081245374879
14,29,9,12,0,1,7,-11,-8.63705877069081
11,29,6,18,1,1,10,-8,8.18887547809397
7,32,8,16,1,1,7,-11,-7.097481418142596
7,30,15,14,1,1,8,-10,-2.3382277805283045
10,30,5,17,0,1,10,-10,-5.311924280298358
7,30,4,13,1,0,7,-4,27.807288457614515
18,29,9,19,1,1,8,-14,-24.49685865667528
10,27,11,19,1,1,8,-9,2.8949042896228474
10,30,3,11,0,1,10,-2,38.24153774545852
4,33,7,14,0,1,7,-8,3.9212700846822486
8,31,8,16,1,1,9,-8,6.923199849773948
10,30,9,15,0,0,7,-10,-4.1089420308673645
14,33,8,12,1,1,8,-10,-4.023383346481914
14,27,9,13,0,1,9,-8,4.991723964959924
9,28,7,12,0,1,8,-4,25.662541244461774
12,31,10,17,0,0,8,-13,-21.50352950290812
11,31,7,11,0,1,10,-7,9.594169173960983
12,26,8,15,1,0,8,-5,23.495595649630022
11,29,8,11,0,0,12,-3,33.883384724644344
8,30,5,15,0,0,10,-5,21.228806010494683
4,26,4,13,1,0,8,2,59.63051939432616
11,27,7,11,0,0,14,0,53.24897470640752
7,33,13,11,0,1,8,-8,7.17636901568154
6,30,6,13,0,0,8,-3,29.28392086214216
9,27,14,9,1,0,4,-8,5.595342592712914
5,30,7,9,1,0,5,-3,32.83364217746256
10,32,2,15,1,1,12,-6,19.19789050214625
14,34,10,7,1,0,7,-9,0.3480847758327182
11,26,4,13,1,1,11,-3,34.73146083391286
8,27,9,12,1,0,8,-7,12.593014594755536
10,30,14,13,0,1,11,-10,-3.816060995668691
4,30,6,11,0,1,8,-3,31.87854595850465
8,34,9,18,1,1,9,-11,-7.907968319722714
9,32,6,16,1,0,9,-10,-2.734697749239116
11,31,5,15,0,1,11,-8,4.277703713218461
8,33,9,17,0,1,12,-9,0.6969267557880927
12,28,6,16,1,1,7,-11,-7.582459986094742
12,30,12,17,1,0,7,-13,-18.5806372533472
11,28,1,8,1,0,8,-2,34.53647568580902
11,28,7,11,0,0,10,0,51.79077670593205
12,25,10,11,1,0,7,-5,21.237572739000612
7,34,7,17,0,1,9,-13,-23.628391561630075
12,30,2,15,0,1,8,-7,9.837815040444989
9,30,5,16,1,0,9,-7,11.683834050208814
9,30,7,13,0,0,8,-6,18.917808294771493
14,31,7,14,0,1,8,-10,-1.9716149229885924
7,28,6,13,1,1,11,-4,24.75319195748172
11,29,9,11,0,1,9,-4,29.48047268969151
10,29,8,15,0,0,9,-4,26.96476895232087
4,29,10,15,1,0,8,-7,9.643980191966827
11,30,8,11,0,1,5,-7,11.495503638748746
7,32,9,13,0,0,8,-8,3.744833913332971
5,28,8,10,1,1,12,0,47.1185800092512
7,30,5,12,1,0,8,-3,32.99958200913269
11,29,3,10,1,1,10,-3,30.78376574221805
12,31,14,14,0,1,8,-12,-15.60719576238677
9,31,12,12,0,1,8,-11,-9.69763136383756
7,25,8,15,0,1,7,-3,33.290407374948735
11,32,10,14,0,1,8,-13,-22.16008030149476
6,29,8,17,1,1,6,-5,23.9374484291468
13,33,4,11,0,0,5,-9,-1.444290953826323
16,30,10,11,1,0,11,-7,13.800604269441248
9,26,11,17,0,1,8,-9,-0.6591882106657168
13,30,9,15,0,0,10,-8,6.918307770303697
9,31,5,13,1,1,4,-10,-4.6398376126783605
13,27,11,9,1,0,6,-6,17.916412443097034
6,31,4,16,0,0,8,-6,14.21340181609118
5,32,5,12,1,0,10,-5,19.184134088386998
11,30,11,12,1,0,6,-9,0.3850140626082319
9,32,9,16,1,1,8,-9,1.757393127915401
12,31,8,12,0,1,7,-11,-11.247695510943874
5,32,10,17,0,0,8,-7,13.07658904991711
7,30,6,16,0,1,10,-7,10.206287699436269
7,30,2,15,1,1,7,-7,11.685916070859395
8,33,12,11,0,1,11,-8,4.998191961566343
10,27,8,12,1,1,7,-6,15.95294344014144
8,32,4,11,1,1,9,-7,11.392094771683238
12,32,3,14,0,0,12,-6,15.761611240388294
12,31,4,14,1,1,7,-7,13.745610502739089
11,27,11,14,0,0,8,-5,24.97292112275701
14,31,4,10,1,0,9,-6,15.7601156556135
14,24,7,15,1,1,14,-3,31.868144255579256
8,29,1,14,0,0,8,-3,34.59816295864456
11,27,4,17,0,1,9,-6,17.848397531805148
7,30,3,16,0,0,9,-5,22.082822796307436
14,30,8,13,1,0,7,-7,15.522000886365044
5,31,8,16,0,1,10,-6,16.14503212937669
11,31,5,16,1,1,7,-11,-8.39646950846491
10,28,6,8,1,1,6,-4,28.600870233973414
15,28,3,13,1,0,7,-6,17.371293762726225
11,29,15,16,0,1,5,-11,-7.294021987612921
12,30,6,13,1,0,10,-6,16.527372831940635
9,27,11,14,0,0,9,-4,27.356431674440337
7,27,5,14,0,1,9,0,52.26088177655426
6,30,12,14,0,1,7,-8,2.8169278558661848
13,27,7,13,1,1,8,-5,25.627651410910357
5,27,6,12,0,1,12,0,51.40061413158501
9,28,4,13,0,0,9,-5,18.23024581747962
14,29,5,13,1,1,6,-8,7.97069151736078
12,27,1,12,1,1,11,0,52.53245767360033
13,28,9,9,1,0,8,-6,19.11446422073696
8,31,11,18,1,1,8,-10,-2.315429689758174
7,28,7,18,1,1,10,-8,3.8001283101070418
11,30,6,13,0,1,6,-6,17.736711777552447
5,33,4,10,1,1,8,-3,32.98148846656317
12,31,13,16,1,1,9,-12,-12.447481313132888
11,31,9,17,0,0,10,-9,4.48589300704846
11,31,3,15,1,1,6,-8,6.908552600329472
9,27,2,16,1,1,8,-5,24.431020117314212
8,28,5,15,0,0,10,-2,38.92572668656487
9,24,11,12,1,1,8,-1,47.11866058988259
5,31,9,13,1,1,10,-5,21.99044618984445
7,28,4,13,0,1,7,-3,32.44877650186195
15,32,5,11,0,0,8,-10,-7.359128938992292
12,29,9,11,0,1,8,-6,19.11480322411214
10,30,5,11,0,0,9,-4,25.96023503025424
12,30,2,13,0,0,7,-6,16.19277891545786
8,30,6,12,0,0,7,-5,20.05909656275828
7,27,3,6,1,0,9,2,57.77726293527457
9,27,8,11,0,1,9,-4,29.73651018644053
12,27,9,12,0,0,8,-4,26.910133765327004
12,28,6,8,0,0,10,-2,35.72012737679771
9,27,5,12,1,0,7,-3,35.10954974418561
14,27,6,16,1,1,10,-7,14.66522639753108
10,29,10,19,1,0,9,-10,-2.9191132299939078
5,30,7,16,0,0,8,-4,29.161223855798237
11,31,6,14,0,0,9,-8,5.74784928076938
8,27,11,20,0,0,10,-7,15.106993073884752
11,29,9,12,1,1,11,-6,20.885045383269382
10,26,12,19,0,0,8,-7,15.606722921827044
7,32,5,15,1,0,7,-7,13.209492496836935
6,28,7,10,1,1,8,-2,38.933497747738805
7,32,13,9,0,1,6,-6,16.197921144613417
6,28,4,13,0,1,15,0,46.980414176732594
12,28,5,11,1,0,8,-4,27.21624735879514
8,28,2,12,1,0,10,2,62.89570021385264
9,32,9,14,0,1,7,-10,-5.746283185545675
9,31,8,16,0,0,6,-9,1.8536438576166572
14,29,9,16,0,0,12,-8,8.766916965745228
10,27,1,17,1,1,9,-2,41.981400467078025
12,29,10,14,0,0,9,-6,19.45249349859332
9,31,6,17,1,0,8,-6,18.758086965385072
11,31,11,13,0,0,4,-12,-15.090031717951858
6,30,5,11,1,0,8,-2,38.3780845968662
13,30,8,11,1,1,9,-9,0.6520458371569151
9,29,2,11,1,1,8,-2,39.676633761750495
9,35,7,15,0,1,3,-15,-32.3407216914857
13,26,11,16,1,1,7,-9,3.4594477314048984
14,32,5,15,1,1,10,-9,4.159651294642647
7,32,3,14,1,1,6,-9,-0.2331709719386972
8,33,0,12,0,1,10,-5,19.650695908122422
14,34,9,16,1,0,9,-13,-19.72559686261161
12,32,7,11,1,0,11,-5,23.946218901667173
10,30,11,11,1,0,8,-7,11.87837631146279
8,27,10,10,1,0,7,-3,34.14630769533228
11,29,4,14,1,0,8,-8,6.36893399713561
10,27,9,15,0,1,8,-4,31.523965692915286
11,30,9,13,1,1,9,-7,16.1866847869696
8,29,3,8,0,0,6,0,48.51708761450569
12,29,5,12,1,1,10,-7,9.71594099659062
14,31,4,12,1,1,9,-8,7.906015006170484
10,29,7,13,0,0,7,-7,11.432018366514244
11,29,5,15,1,0,8,-8,4.916466365193559
14,26,2,10,1,0,11,-2,40.69647167699955
8,30,1,15,0,0,11,-2,38.721610874097536
8,29,11,7,0,0,8,-3,31.756408738748835
17,29,10,12,0,0,6,-10,-5.286824313645617
7,29,9,17,0,0,10,-5,21.7518306337636
10,31,5,15,0,1,4,-10,-7.208156404015182
10,25,10,13,1,1,7,-4,30.482484006279904
10,28,8,14,1,1,12,-5,22.832499144452957
9,33,-1,18,1,0,8,-8,4.88818967298768
9,28,10,13,1,1,9,-5,24.92007052233878
12,33,9,12,1,1,8,-9,1.574378694531005
7,30,8,17,1,0,8,-8,6.639219302948741
5,30,11,16,0,1,7,-8,6.496040679108287
11,27,10,15,0,1,12,-5,22.774809973265533
6,26,4,17,1,1,10,0,51.74875398109238
7,32,8,12,1,1,9,-8,5.429998451330204
5,29,9,16,1,0,8,-6,15.301064739845714
10,33,4,15,1,1,7,-10,-3.123617779724948
14,30,14,14,0,0,14,-8,5.525538600478001
9,29,9,16,0,0,9,-7,12.576385852169068
4,27,10,14,0,1,5,-4,27.34500336545324
9,31,10,14,0,0,11,-8,5.789842052694991
9,32,6,13,0,1,7,-9,-0.3163244448518564
7,30,11,14,0,1,9,-4,27.828501972817584
10,33,4,15,1,0,5,-10,-4.998125961579546
8,28,12,15,0,1,11,-6,19.51645027180785
9,30,11,13,1,1,10,-6,16.038558889658297
12,35,0,13,1,1,8,-8,8.44371650437245
10,29,10,9,0,1,11,-4,26.72393239402081
12,32,12,12,1,1,9,-13,-21.651845756450708
18,28,9,17,1,1,7,-12,-11.498519683535244
7,31,5,19,1,1,7,-8,8.39464289421692
14,29,9,16,1,0,6,-12,-13.77972043043924
10,32,9,11,0,1,6,-8,5.748649827177907
8,29,11,15,0,1,9,-6,17.95775050839885
12,31,6,14,1,0,9,-9,2.2942614594263238
9,29,9,16,1,1,7,-9,4.515028988129838
8,29,7,13,1,0,11,-5,19.38973205017717
12,29,1,14,1,1,9,-5,24.205026710970703
12,30,9,16,1,0,11,-7,13.45343423766328
10,27,9,16,1,0,10,-6,16.442247039139488
14,32,7,15,1,0,6,-12,-14.497396525738552
11,28,11,11,1,0,9,-4,29.18603304972148
19,26,8,12,0,1,8,-8,8.988915285995217
6,27,8,13,0,0,8,-2,35.415151054793185
10,26,12,17,1,1,9,-12,-14.620505499832175
6,30,8,15,1,1,8,-8,3.5322205831537734
10,31,10,18,1,1,9,-12,-13.04017664421768
6,32,2,8,0,1,7,-2,36.613921981406925
8,31,3,14,1,1,9,-6,18.20179450787948
11,31,6,17,0,1,9,-11,-11.12266936465802
6,29,11,8,0,1,7,-5,19.12693567660393
6,28,10,17,1,1,8,-5,24.305693881787697
13,31,5,14,1,0,6,-11,-10.480378745660037
8,28,7,17,1,0,4,-7,13.839449093067907
10,29,7,14,0,1,8,-6,19.667962619173604
4,32,6,12,0,1,8,-4,24.32727593784326
7,31,9,12,1,0,10,-4,26.96494335719117
6,30,6,13,1,0,8,0,51.82816216247457
4,29,8,16,1,1,10,-4,28.72936587344319
10,29,6,14,1,1,12,-2,37.24581527854916
8,30,4,11,0,0,11,-1,43.17971867096047
14,30,14,15,1,1,5,-15,-31.57948017286377
16,33,6,12,0,1,11,-12,-13.973968949593552
8,27,8,10,0,0,3,-3,31.98334817834092
9,29,10,9,0,1,8,-3,32.43774918391725
7,30,7,13,1,1,9,-7,12.270046284517482
8,30,11,12,0,0,11,-5,20.99113648573772
13,27,8,13,1,0,11,-4,27.71966820137912
4,30,6,15,1,0,10,-3,34.62922702636671
10,32,14,11,0,1,8,-11,-10.591813947281503
15,30,14,15,1,0,4,-14,-22.850448643800902
5,27,7,17,0,1,5,-6,17.231604981168125
14,28,7,13,0,0,10,-6,19.43405810817334
9,28,6,13,1,0,6,-6,16.851691072340248
6,28,6,15,0,1,6,-5,22.80238817125828
7,29,9,14,0,1,13,-3,34.78937561347156
13,31,10,13,1,1,9,-10,-2.874361595893055
11,30,5,5,0,0,8,-2,37.05036752641809
13,33,13,13,1,0,9,-13,-19.71958799192467
11,29,9,16,1,1,9,-11,-8.402604872705243
9,25,10,12,1,0,8,-2,38.94985739205721
8,25,0,16,0,1,6,0,51.056679057641645
8,28,8,11,1,0,9,-4,27.872522044473055
17,31,12,13,0,1,8,-14,-25.177585261643618
6,29,6,18,1,1,9,-9,-0.4505719913058086
15,27,8,13,1,0,8,-8,8.921185189888051
8,32,3,15,0,1,8,-9,-0.8953287007056296
8,30,10,15,1,1,9,-9,-0.1319565010079761
7,29,6,12,0,1,5,-2,39.26285727334904
10,30,7,12,1,1,7,-4,30.042171587563097
8,29,5,20,0,1,6,-11,-12.001114483144985
11,31,10,12,0,1,13,-6,17.09246771274525
9,29,7,9,0,1,5,-5,19.069417563288383
10,29,1,13,0,1,10,0,49.6159898059747
14,29,7,13,1,1,10,-7,12.33342643825198
10,30,11,17,1,1,8,-11,-7.44585409698362
7,28,8,11,1,1,6,-7,9.424295727739928
11,31,9,15,0,1,11,-9,2.981603983632554
9,30,13,13,0,1,5,-10,-2.9451925126437075
12,30,6,18,0,1,9,-9,0.1905850743232891
6,29,6,12,0,1,9,-2,36.812812065008615
6,31,13,15,1,1,8,-9,2.8839969071324862
11,32,6,12,0,1,7,-8,7.426275473308009
8,30,6,9,1,1,6,-6,15.634858843188995
8,28,10,10,0,1,9,-3,32.94316151787384
8,33,9,13,0,0,10,-8,3.310508072757302
6,29,5,16,0,0,5,-6,17.220102304118026
3,29,10,12,1,0,10,-2,37.691365195697664
7,28,10,11,0,0,8,-5,20.92666900319401
15,30,7,18,0,0,9,-13,-19.732035438943733
10,26,7,16,0,1,8,-7,12.621695542122524
9,28,8,15,1,0,8,-8,5.59353688192892
12,30,5,12,0,1,9,-8,3.506214689206529
8,28,6,11,0,0,7,-4,26.995438128578886
7,35,11,15,0,0,10,-10,-3.267536036252581
10,31,8,17,0,1,10,-10,-3.669525163217864
12,28,12,14,0,1,8,-8,9.03362841423754
7,30,5,15,1,0,7,-8,2.267585136632194
12,28,5,18,0,1,8,-13,-20.798344722985316
11,28,9,17,0,0,9,-8,5.980004247702904
6,27,7,12,1,0,5,-3,32.91765870939485
14,30,6,10,0,0,9,-5,22.34735504899716
9,29,10,18,1,0,10,-7,13.3268962890233
7,29,15,11,0,1,7,-7,11.847237498279268
10,32,11,15,0,0,7,-10,-4.636663953812294
12,33,11,8,1,1,10,-9,0.5347454952356623
13,30,12,15,1,1,7,-9,5.30381440966508
11,29,8,5,1,1,13,-1,41.49534709278954
10,32,8,12,0,0,8,-8,4.356710893705789
10,30,5,8,1,0,14,0,51.334892894015184
12,31,7,14,1,1,7,-10,-2.894601996446601
12,28,8,12,0,0,8,-5,23.311859015920493
