parent_education_years,baseline_math_gpa,absences_last_term,free_lunch_eligible,english_language_learner,summer_program_invited,summer_program_attended,end_of_year_math_score
4,2,0,0,0,1,0,49.12274301962327
3,2,0,0,1,1,1,51.79331681287725
6,3,0,1,0,0,0,50.14001466780032
3,3,1,0,0,1,0,51.497936533619765
6,3,0,1,1,1,1,51.41438557803964
3,2,1,0,1,0,1,52.774269178804666
0,3,0,1,0,1,0,49.23971320247347
3,2,0,0,1,1,1,52.46531180248588
4,3,0,0,1,1,1,51.69920105700829
3,3,0,0,0,1,0,51.944344576544594
4,3,0,0,0,1,1,53.70675776720034
6,3,0,1,1,0,1,51.87386687892218
2,3,1,0,1,1,0,49.2834598568925
-2,3,0,1,0,1,0,50.10136358720951
4,3,0,0,0,1,0,49.960267720747375
7,3,0,0,0,1,1,51.671011735431705
2,3,0,1,0,0,0,51.38337622509346
4,2,0,0,0,1,1,52.06914887318077
-1,3,0,1,0,1,0,50.52870712117417
4,3,0,0,1,1,1,50.371855659794605
2,2,0,0,1,1,0,49.07173236092107
3,1,0,1,1,1,0,49.73761950163605
3,3,0,0,0,0,1,50.67444065130917
5,2,1,0,0,1,1,50.950043678452005
-3,3,0,1,0,1,0,49.00249741272881
2,3,-1,1,0,0,0,49.821094149157865
4,3,0,0,1,1,0,49.74842761339668
1,2,0,1,0,1,0,50.15027450861831
4,3,0,1,0,1,0,49.70402670454017
4,3,0,1,0,1,0,51.27545330557449
3,2,0,1,0,1,0,50.09608179649054
5,2,0,0,1,0,1,51.88662895371861
4,2,0,0,1,0,1,50.45488347824731
5,2,0,1,1,1,1,52.70242285275359
7,3,1,0,0,1,1,51.41634509642487
1,3,1,1,0,1,0,48.93127568833724
3,3,0,0,1,0,0,50.22263011252945
1,2,0,1,0,1,0,49.472550774365736
8,3,0,0,0,1,1,52.888009668244585
7,2,0,1,0,1,0,50.96204162227252
1,2,0,1,1,1,1,52.30768442613553
8,2,0,0,1,1,1,53.76922507805018
3,3,1,0,1,1,1,52.12414915692326
3,4,0,1,0,1,0,50.246227967562064
7,2,0,0,0,0,1,52.83583920880199
4,3,0,0,0,1,0,51.957016154815655
6,3,0,0,1,0,1,52.39016394224973
4,2,1,0,0,1,0,50.22352231672048
3,2,0,0,0,0,1,53.18688246055503
6,2,-1,0,1,1,1,52.99675283943975
5,3,0,0,0,1,1,50.99568768662925
4,2,0,0,1,1,1,53.05681009996601
5,3,0,0,0,1,0,49.0572312195999
3,3,0,0,1,1,1,53.58848407706061
4,3,0,1,1,1,1,53.146742860616015
2,2,0,1,1,0,1,53.67625697804651
7,3,0,1,1,0,0,51.08810368076228
4,3,0,0,0,0,0,50.234309690884224
0,2,0,1,1,0,0,52.08031215439236
6,2,0,1,1,1,1,52.20268474368877
3,3,0,1,1,1,0,50.81935764169816
4,3,0,1,1,1,1,52.518947667798656
2,2,0,1,0,1,0,51.25556594431848
2,2,1,0,1,1,0,50.01808336618845
6,2,0,1,0,1,0,49.7186153622286
1,3,0,0,0,1,1,53.19116202457613
4,2,0,1,0,1,0,48.97003451537783
6,1,0,0,1,1,1,50.25907998094452
5,1,0,1,1,1,1,52.10740061147858
4,3,0,0,0,1,0,50.78850345554867
5,2,0,0,1,1,1,52.86542092037621
6,3,0,1,0,0,1,52.986623234715616
5,2,0,1,0,1,0,49.78896109295623
3,2,0,0,0,1,0,47.31635304815283
5,3,0,0,1,1,1,51.84188935374212
5,3,0,1,0,1,0,51.33643949015411
6,2,1,1,1,1,1,52.357583745595456
4,3,1,0,0,1,1,52.58915021524753
7,3,0,1,1,1,1,52.07783487612425
5,2,1,0,1,0,1,51.97403487187183
7,2,0,1,1,1,1,53.23780074079875
7,3,0,0,0,1,1,52.4170651676207
4,1,0,0,1,1,1,51.26964532341288
5,3,0,0,1,1,0,50.95420380123287
5,3,0,1,0,0,0,51.4553822801402
2,1,0,0,0,1,1,51.70285535436496
6,2,0,0,0,1,1,52.03353663969847
2,2,0,0,0,1,0,49.77776737514573
4,2,0,0,1,0,1,52.277373431063154
4,3,0,0,1,1,1,52.57240074962484
6,2,0,1,1,1,1,52.89958969265047
2,2,1,0,0,1,0,51.54473964539472
2,3,1,1,0,1,0,51.05996175392729
6,2,0,0,0,1,1,52.94724848543277
4,2,-1,0,1,1,0,48.88921521932438
0,2,0,0,0,1,0,49.74136162543353
2,2,0,1,0,1,0,51.56887524364192
0,3,0,0,1,1,0,50.59083855182893
4,3,0,1,1,1,1,53.742708611524456
4,3,0,0,0,0,0,49.49192783746407
0,2,0,1,0,0,0,48.18023972095002
1,4,0,0,1,1,1,53.5589251268759
4,3,1,1,0,1,1,52.84805043576126
4,2,1,1,0,1,0,49.42872652398884
0,3,0,0,1,1,0,50.74273268325096
4,2,0,0,0,0,0,50.69252065943952
5,2,0,1,1,1,1,50.66995177103048
2,2,0,0,0,1,0,50.54940999012082
3,2,0,0,0,1,1,48.81551251883049
0,2,0,0,1,0,0,48.53809097725506
4,3,0,1,1,1,0,48.93327831473618
7,2,0,1,0,1,1,53.165246551125854
5,1,0,1,0,0,1,50.33603952720355
1,2,0,1,1,1,1,52.32938439929888
4,1,0,0,0,1,1,50.295573899784166
6,2,0,1,1,1,0,50.631212470450826
7,2,0,0,1,1,1,52.48111183149744
1,3,-1,0,0,1,0,49.26119670756928
4,3,0,0,1,1,1,53.46082976924831
2,3,0,0,1,1,0,49.02002659903858
10,1,0,0,0,1,1,52.4540417858547
0,3,0,0,0,1,0,48.495001491585306
5,2,0,0,0,1,1,49.97728670661882
11,3,0,1,1,1,1,54.13064776242173
4,2,0,1,1,1,1,51.39101625708476
1,2,0,0,0,0,0,49.69700211212849
4,2,0,0,0,1,1,52.46557169394328
4,2,1,1,1,1,1,51.76885458569456
1,2,0,1,1,0,0,50.174448995549504
5,3,0,0,1,1,1,53.20875125031156
2,2,0,1,1,1,0,50.17520456201763
4,3,0,0,1,0,1,51.21186531105021
3,2,0,0,1,1,1,52.23916812629105
3,2,0,0,0,1,0,50.39673295062909
2,2,1,0,1,1,1,49.71284896561014
2,2,1,1,0,1,0,50.57715222063958
0,2,0,0,1,1,1,51.27404387852528
1,3,0,0,0,1,1,52.02353601147993
7,3,0,0,1,0,1,50.98960683892398
5,3,0,1,0,0,0,50.8919148076772
1,2,0,1,1,1,1,51.777333280582816
4,3,0,0,1,1,1,50.81835386183682
3,2,0,1,0,1,0,50.16173287680167
3,2,0,0,1,1,1,52.05766041909779
3,3,0,0,1,1,1,55.13836217503988
5,3,1,1,1,1,0,50.61999338733165
4,3,0,1,1,1,1,52.83380551014781
4,4,0,1,1,1,0,50.41409427557885
1,3,0,0,0,1,0,49.53318881920826
2,2,1,0,1,0,0,47.759875407267614
3,2,0,0,1,1,1,51.61244374779551
6,2,1,1,1,1,1,53.98815057175917
7,2,0,0,1,1,1,53.67530981164983
3,3,1,1,1,1,0,49.8740038165127
0,2,0,0,1,0,0,48.299736063356086
4,2,0,1,0,1,1,52.21576843032189
1,3,0,0,1,1,1,53.33760018965367
5,2,0,0,0,1,1,52.720921941124246
5,3,0,0,1,1,1,51.95232409486447
4,3,0,1,0,0,0,49.17361400072444
4,2,0,1,1,1,0,51.78107142308165
2,3,0,1,0,0,0,51.65188043922022
2,3,0,0,0,0,1,53.6975652911112
5,3,0,0,1,1,1,53.237793213135646
7,3,0,1,0,1,0,49.84530308250119
1,3,0,1,1,1,1,52.54713012407817
7,2,-1,0,1,1,1,51.92786499783724
5,2,0,1,0,0,1,52.32168044037415
1,3,0,1,1,1,0,50.85164624479491
0,2,0,0,1,0,0,49.53931265698938
4,2,1,1,1,1,1,51.93455832563298
6,3,1,1,1,1,1,54.17920120987099
4,3,1,1,0,1,0,50.69151702008994
1,3,0,0,1,1,0,50.87678396584826
3,2,0,0,1,0,1,51.60817091512139
4,2,0,1,0,1,0,51.17260687000567
6,2,0,1,0,1,0,50.31548943092209
5,3,0,1,1,1,1,54.04240365049515
5,2,0,0,0,1,0,50.91998040372245
3,3,1,0,0,1,0,50.54159773583354
5,3,0,1,1,1,1,53.05199189900381
2,4,0,1,0,1,0,51.064376301761854
4,3,0,0,1,1,1,51.21953085125797
2,3,0,0,0,1,0,51.48650419918374
0,3,0,1,1,1,0,49.07465087877594
1,2,0,1,0,1,0,50.010822694916925
5,3,0,0,0,0,0,49.1251722727436
4,3,0,1,0,0,1,53.83359680236869
1,2,0,0,1,0,0,49.25127172822083
3,4,0,1,0,1,0,50.140195755532034
3,3,0,1,0,0,1,53.89185948998751
6,2,0,0,0,1,0,48.525719581961646
3,4,0,1,0,1,0,50.863129811683045
5,2,0,1,1,1,1,52.8385126724608
1,2,1,0,1,0,0,49.82381970853821
3,2,0,0,0,1,1,52.70402324473045
-1,3,0,0,0,1,0,51.46898927943007
2,3,0,0,1,0,0,48.99372410248147
5,2,0,1,0,0,0,50.70864098533921
5,1,0,1,1,1,1,49.801689580409445
3,3,0,0,1,0,0,50.125674070872805
7,2,0,0,0,0,0,48.94275525870348
4,3,0,1,1,0,0,50.67793304580057
3,2,0,0,1,1,0,47.84368173053746
4,3,0,0,0,1,1,50.59521985046711
7,3,0,0,0,1,1,54.17715811293864
4,2,0,1,0,0,0,50.24550375816987
0,3,0,0,1,1,1,52.521921203044144
5,2,0,0,0,0,1,51.68239895839511
4,2,0,0,1,0,1,51.047049625735454
0,1,0,1,0,1,0,48.78787518225632
7,2,0,0,1,1,1,52.13624096002676
4,2,0,0,0,1,0,50.40801588441824
5,2,0,1,1,1,1,50.15763963545752
0,3,0,0,1,0,0,49.993567521277136
4,3,1,0,0,0,0,51.337898965997326
6,3,1,1,1,1,1,53.152868544095085
1,3,0,0,0,1,1,52.98449131257576
4,2,0,1,1,0,1,51.811338238891054
5,2,0,0,0,1,0,47.2513231225733
2,2,0,1,0,1,0,48.83723737059107
3,2,0,1,1,1,1,52.77515386265104
10,2,0,0,1,1,1,49.40759452983518
6,2,1,1,1,1,0,49.21971731129815
4,2,0,0,0,1,1,51.8963396000923
1,3,0,1,1,0,0,50.85915643664716
2,1,0,1,1,1,0,50.35146790139896
4,3,0,1,0,0,0,50.20719224521002
4,2,0,1,1,1,0,51.42865918511125
3,2,0,1,0,1,0,49.05857747683449
5,2,0,0,1,1,1,52.574417061427056
3,3,0,0,1,1,1,52.10909915251488
4,2,0,0,0,1,1,51.237515435235856
7,2,0,0,0,0,1,51.91225726260501
6,3,0,1,0,1,0,50.31260750161852
1,3,0,1,1,1,0,51.84136335754131
1,2,0,0,1,1,0,49.56800578181868
4,2,0,0,1,0,0,47.90429341052792
5,2,0,0,0,1,1,53.44360029950043
5,2,0,0,0,1,1,52.21105812649132
6,2,0,1,0,1,0,50.95865081998985
7,3,0,1,0,1,1,51.98075028803474
4,3,0,1,0,1,0,50.06219560533089
1,2,0,0,1,1,1,53.177451035376656
5,2,0,0,0,1,0,50.987951059008246
4,2,0,0,1,1,1,53.41723458620835
0,2,0,0,0,1,0,48.74535079186975
4,3,0,0,1,1,1,50.87190733920417
3,2,0,1,0,0,0,50.01369105385062
3,2,0,1,0,1,1,51.70534392991078
6,2,0,0,1,1,1,51.82182318842116
3,3,0,0,1,1,1,51.57041701715784
4,2,0,1,1,1,1,52.945609004559415
2,3,0,0,1,1,1,51.15932000716844
0,2,1,0,0,0,0,50.6651628971553
6,2,0,1,0,0,0,50.04416048422764
0,3,0,1,0,0,0,49.55340416502745
9,2,0,1,0,1,1,53.62343969347168
7,2,0,0,0,1,1,52.548092650943126
6,3,0,0,1,1,1,51.81495865282735
3,3,0,1,1,1,0,49.14775835054414
4,3,0,1,0,0,0,51.572330955208514
2,2,0,0,0,0,1,52.75693646938334
2,2,1,0,0,1,0,49.28623320101386
5,3,0,0,0,1,0,50.56285008045934
1,2,0,0,1,0,0,49.10886859248185
7,3,0,0,1,1,1,51.72255129798064
4,3,0,0,1,1,1,53.20282786745995
4,3,0,0,1,1,1,53.28557604485243
6,3,0,1,0,0,1,53.34006186968665
6,3,0,1,1,1,1,53.36764087954613
5,3,1,0,0,0,1,53.09763546803515
3,3,-1,0,0,1,1,54.39396786144643
4,3,0,1,1,1,0,50.64820540010353
5,3,0,0,1,1,1,51.23104464161806
7,3,0,1,1,1,1,52.72279765698878
1,2,0,0,1,1,1,51.82155518609751
4,2,0,1,0,1,0,49.56758783657139
4,1,0,1,0,0,0,50.164052812234
3,2,0,1,0,1,1,51.1714676573338
2,1,0,0,0,0,0,49.03553018820366
10,3,0,1,1,1,1,52.96532477387485
6,3,0,0,0,1,1,50.75403904241255
5,3,0,1,0,1,1,51.96013313949568
2,3,0,1,1,1,0,49.76349248708467
1,2,0,0,0,1,1,50.34204634426291
4,3,0,0,1,1,1,52.57351580215445
5,3,0,0,0,1,1,51.62624508072236
2,3,0,0,1,1,0,49.05214474383073
2,3,-2,0,0,1,1,52.21505186917958
4,3,0,1,1,1,1,54.51797445126686
7,2,0,0,0,1,1,51.94396938578373
4,3,0,0,0,0,0,50.482428594080666
2,3,0,0,1,0,1,51.23389792574888
7,3,1,0,0,0,0,49.402340808553774
6,2,0,1,1,1,1,52.58616424461709
1,3,0,0,1,1,1,51.21664669756079
6,2,0,1,0,1,1,53.13950120275376
4,2,0,1,1,1,0,51.41330449464687
4,2,0,0,0,1,0,51.34900342231242
2,3,0,0,0,0,1,51.24001614705464
5,3,0,1,1,1,1,54.7798864570095
3,3,0,0,0,1,1,52.69944995644372
5,3,0,0,1,0,1,52.66938836249314
7,3,0,0,1,0,1,53.01966323423094
0,2,0,0,0,1,1,51.75074642685267
0,2,0,0,0,1,1,51.31375845221201
9,3,0,1,0,1,1,54.09448435563945
4,2,0,0,0,1,1,50.9843156338688
5,3,0,0,1,0,1,52.52143198779879
7,3,0,0,0,1,1,54.05839020747328
4,2,0,0,0,1,0,50.59347662790743
3,3,0,0,1,1,1,52.891776359974784
2,2,0,0,0,1,0,49.661337650300375
2,2,0,0,1,1,1,52.452916959977415
4,2,1,1,0,1,0,51.525287747965145
1,3,0,1,1,1,0,51.27645802914208
8,3,0,1,1,1,1,52.80777077968189
6,2,0,0,0,0,1,51.289560306611335
2,4,0,0,0,1,0,50.01273622989441
4,2,0,0,0,0,1,52.346958621954265
6,2,0,0,0,1,1,51.0391937634597
5,3,0,0,0,0,1,52.01660849490236
3,2,0,0,0,0,1,52.28498867572745
1,3,1,0,0,1,0,50.09704589652198
0,3,0,0,1,1,0,48.182950950683455
4,2,0,0,1,1,1,49.86071705253326
-2,2,0,0,1,0,0,49.02308943877527
4,3,0,1,0,1,1,54.271801341994944
1,3,0,1,1,1,0,50.79468640359961
4,2,-1,1,1,1,0,48.64649531903971
4,1,0,0,1,1,1,50.41519859625238
3,2,0,0,0,1,1,51.8085498338063
2,2,0,1,1,0,0,50.15697837313038
5,3,1,0,0,1,1,53.01311273282519
0,2,0,1,1,1,0,50.70727981978795
4,2,0,0,0,0,1,49.888328129227965
2,3,0,1,0,1,1,53.5651820131444
3,3,0,0,0,1,0,49.69595178916977
6,3,0,0,1,1,1,54.06800145903354
-1,3,1,1,0,0,0,51.41594485133651
6,3,0,1,0,1,1,52.11509449762775
5,2,0,1,0,1,0,50.54276032477472
0,4,0,0,0,1,0,51.72527679535832
0,4,1,0,1,0,0,49.36201537308758
6,3,1,1,1,1,0,50.35272820420151
2,3,0,0,0,1,0,50.09395407931906
3,2,0,0,1,1,1,51.69018876572647
0,3,0,1,0,0,0,50.88935770912116
4,2,0,0,1,1,1,51.86390367943971
7,3,0,1,1,1,0,52.18067988112634
1,3,0,0,0,1,0,49.75234339582371
6,3,0,1,0,1,1,52.53612212340055
4,3,0,0,0,0,1,51.96560704273765
0,2,0,0,1,1,0,50.69653199730402
4,2,0,1,0,0,1,51.95009632406202
5,3,0,0,1,1,1,53.93196206056077
2,2,0,1,1,1,0,48.73656915715442
7,2,0,1,0,1,1,51.01497286247155
6,3,0,1,0,1,0,51.319850954835374
1,4,0,0,1,0,1,55.563611310780274
5,3,0,1,0,1,1,50.56785427437739
4,3,0,1,0,1,0,50.40124656715152
4,2,0,0,1,1,1,51.13004909770713
0,3,0,1,1,1,0,50.6538776955157
3,2,0,0,1,0,1,49.93076008537681
2,3,0,0,0,1,0,49.61867422161675
2,3,0,1,1,1,1,53.88246240024188
3,2,0,0,0,1,1,50.53542898213028
5,4,0,0,0,1,1,51.83125422803767
1,2,0,0,1,1,1,51.85823922885112
