age,education_years,income_level,political_interest,rural_residency,previous_voter,got_information_brochure,voted_in_election
37,21,6,17,0,0,0,63.51658307344925
15,24,6,26,1,0,0,65.04984693466746
22,20,5,23,0,0,1,66.47269807852206
30,23,6,10,1,0,1,70.1962147836547
31,20,7,18,1,0,0,64.25136786900826
24,20,5,18,1,1,1,70.05819826360349
17,25,5,17,0,1,1,71.35967900119475
20,22,8,10,0,0,1,69.46657656653943
21,25,4,17,1,0,0,63.52917364230571
22,20,7,12,1,0,1,68.76741016247202
33,23,7,18,0,0,0,63.7793364086029
41,22,7,9,1,1,0,64.69346237648507
14,16,2,10,0,1,1,65.36994500832417
37,19,4,21,0,1,1,69.99956761903341
1,32,4,21,1,1,0,65.58396888321725
36,24,4,7,0,0,0,60.949872416571736
21,16,4,15,0,1,1,65.34773188271315
27,18,4,21,0,1,1,68.11046416113633
16,20,4,21,0,0,1,67.74490256958333
34,17,3,9,0,1,0,62.89209598076155
30,24,7,23,0,0,1,69.73313610738239
0,24,5,12,1,1,0,63.76657819742889
21,25,5,17,0,0,1,68.40206737468627
37,19,5,14,0,1,1,69.7475123954657
24,16,6,9,0,0,1,67.30956599867464
19,26,3,25,1,0,1,68.43509942758452
30,28,9,13,0,0,1,71.73470741929309
25,30,3,13,0,1,1,70.68934712877521
29,20,7,9,0,0,1,68.59835856136985
4,24,5,13,1,0,0,61.213569894853926
35,25,5,10,1,1,1,69.16464402409206
30,24,4,20,0,1,1,68.84426024525447
17,31,7,17,1,0,0,65.86059991130406
43,28,7,20,0,0,1,70.59600182421293
35,25,7,20,0,1,1,71.79951869779127
25,20,7,12,1,0,1,70.34135075696882
31,25,5,17,0,0,0,64.60946836625429
31,21,7,9,0,0,0,62.572007802678286
26,23,7,18,1,1,0,65.73007999475506
28,24,8,17,1,0,0,67.78916993916165
35,26,7,14,1,1,1,72.68837403814081
1,26,4,17,1,0,1,68.88090098498381
25,19,6,18,0,1,1,69.04682521189562
31,22,0,14,0,0,1,63.50961435339006
9,26,7,14,1,1,1,73.15141721585655
27,28,7,22,1,0,1,70.42469600726619
44,28,7,19,0,0,0,66.25986242929993
18,27,9,20,1,0,1,72.63095708635366
37,30,6,12,0,1,1,71.54136233045377
24,30,7,5,1,1,1,72.6505157473797
26,22,1,16,0,0,1,64.43417234115988
9,20,7,16,0,0,1,68.91692137024353
6,24,6,15,0,0,0,63.5414678906207
20,21,6,18,1,0,1,69.32961224406087
29,21,4,15,0,0,1,66.62941416573834
7,19,3,14,0,1,0,61.251729395714975
15,22,5,9,1,0,0,62.51764447444895
28,28,5,8,0,0,1,69.23573271812437
32,25,9,9,1,1,1,73.0172779733603
11,24,9,20,0,1,0,66.39979178755225
28,23,5,8,0,0,0,62.10462442739671
23,18,2,15,1,1,1,67.00716144481123
23,24,7,16,1,0,1,70.26811090653685
31,20,3,13,0,0,0,59.64727089151972
13,25,9,15,0,0,1,71.83308797035484
26,30,6,14,1,1,0,66.5722657375298
21,25,4,14,0,0,1,67.23884221520441
34,26,6,6,0,0,0,61.62074836768917
27,23,4,21,1,1,0,63.73270572578236
19,21,6,14,0,0,0,63.180155410630114
11,25,5,12,1,0,0,62.61986755573957
28,25,4,8,1,1,1,68.79577393858857
20,25,2,20,0,0,0,60.74590782177359
22,25,5,7,0,0,0,62.1264222476946
25,28,5,13,0,1,0,64.90226101259817
30,23,5,19,1,1,1,71.557598483141
47,18,3,10,1,1,1,67.20350259966023
31,28,7,6,0,0,1,72.03594673508069
23,28,8,13,0,0,1,73.76336134207712
29,26,6,21,0,0,1,72.07288645388603
27,18,6,11,1,0,1,68.1931926278878
42,25,1,22,0,1,1,68.70639984256096
24,34,6,19,1,1,1,73.5549791181393
16,19,6,20,0,1,1,70.76574247498546
29,20,6,19,0,1,0,62.51283065626208
31,31,5,17,0,0,1,69.41899062305399
24,26,8,17,1,1,1,72.80203256749911
20,21,2,13,1,0,1,66.94464428059752
36,19,1,16,1,0,0,58.554407892964726
26,22,-1,12,0,0,1,62.560267329575645
35,24,2,19,0,1,1,69.24276257416493
31,24,7,16,1,0,0,63.664758992570846
26,23,6,15,1,1,1,69.57859122063539
17,24,7,15,0,1,1,69.7951861232574
26,22,8,16,1,1,0,66.42550323898486
21,23,9,11,0,0,1,72.27860299071385
27,26,8,7,1,0,0,66.08677316244956
17,20,8,20,1,0,0,66.01844304075412
6,21,3,10,0,1,0,61.28373519813837
22,30,8,23,0,1,1,74.31448940123518
28,19,7,13,1,1,0,64.00139687114599
29,31,7,23,1,0,0,66.71160907066412
25,25,3,22,0,0,1,69.06523445232001
24,27,10,10,0,1,1,74.81680970100376
25,20,6,16,0,0,1,68.79077905388418
30,20,1,18,0,1,1,66.7528205030955
27,26,2,19,0,1,1,67.80671901273216
17,23,3,22,0,1,1,68.36957464549468
35,25,6,20,0,0,0,65.76964838084415
29,26,6,17,1,0,1,71.02796647624787
28,19,5,21,0,1,1,69.1140657277567
22,23,3,21,1,0,0,62.24062861066118
23,28,4,22,0,0,1,69.92406045330276
8,16,4,10,0,0,1,65.93648140061354
39,24,7,16,0,0,0,64.87684904274786
35,26,5,16,0,1,0,65.44101298460728
5,22,3,15,1,1,0,62.303401396440826
14,22,4,17,0,0,0,62.63087221289147
22,26,6,22,0,1,0,65.593414783402
26,25,7,19,0,1,1,73.27416707726644
48,24,7,25,0,0,0,66.4415848474956
27,24,5,18,1,1,1,72.23969185837986
19,33,5,21,0,0,1,72.28139580492685
30,33,5,19,0,1,0,66.6468098786195
13,23,4,22,1,0,0,62.02985501781989
-2,18,3,10,1,1,0,60.86164206090337
29,23,7,18,0,1,1,69.94045160417032
25,24,3,20,1,0,1,69.63070998821381
36,22,6,9,0,1,0,62.62712068674607
23,21,6,11,1,1,1,70.08775850985269
43,23,2,17,1,0,1,66.85723930179647
30,19,3,8,0,0,0,58.87046295757254
26,26,9,15,0,1,1,73.68576947944243
13,24,4,15,0,0,1,67.63673024367264
34,29,6,20,0,0,0,66.91994380443624
25,23,6,21,0,1,1,71.46610327972786
29,29,5,9,0,0,1,70.44694222878522
30,25,6,12,0,0,1,69.86835842288112
20,20,9,22,1,0,1,72.246716345665
23,24,7,28,0,0,0,64.0476875425731
36,18,7,25,0,1,0,63.74806903018602
25,9,7,8,0,1,0,60.20546985370388
15,26,7,19,0,1,0,66.96712843184146
35,25,7,15,0,1,1,72.78908254481273
40,22,2,17,1,1,0,61.10292618092687
56,24,9,17,0,0,1,74.40152066646932
14,28,4,19,1,1,1,71.60678807863817
34,30,7,11,1,1,0,67.55355210057965
35,10,2,26,0,1,1,67.14507349586741
18,23,6,17,1,0,1,69.71889462161008
22,25,7,15,0,0,1,69.19989504475386
27,28,1,17,1,0,0,60.977678420813
17,21,6,8,1,1,0,62.742351449428014
18,24,2,22,1,0,1,66.55909947687937
28,21,6,20,0,0,1,70.3678269186093
25,27,4,22,0,0,1,69.95301741687682
24,21,4,20,1,1,1,68.3414791652834
21,27,6,20,0,0,0,65.63277389176854
37,24,5,10,0,1,1,70.52477269249816
12,20,4,15,0,0,0,61.00376290238869
21,28,7,12,0,0,1,70.99540167892417
39,28,6,21,1,0,1,73.2430360966025
31,24,5,20,0,1,0,64.99249281210585
17,24,3,20,1,1,0,62.171368750919655
39,26,1,13,1,0,0,60.24444661177935
33,21,4,19,1,0,0,61.346121376925474
33,20,5,14,0,1,0,63.33846079143928
18,23,3,17,0,0,0,61.29359266532455
20,21,10,17,1,0,0,67.36424263869478
23,18,6,18,1,1,1,70.47037954998092
35,25,2,25,0,1,0,62.6884559390823
27,22,5,7,0,0,1,69.99952262490405
-2,17,5,12,1,0,1,67.42367051263074
23,22,4,16,1,0,0,61.32175595506383
26,29,3,17,0,0,0,63.28947133300343
4,31,4,13,0,1,0,64.48869246290643
37,25,5,13,0,1,0,64.33551871390928
33,31,10,10,0,0,1,74.95774218733233
21,29,8,28,1,0,1,72.75536496942557
21,29,6,14,0,0,0,64.64825742513676
31,18,5,12,1,0,1,67.64468852258815
17,32,4,19,1,0,1,71.87051095130764
30,25,4,20,1,0,0,64.85578342499701
14,25,4,12,0,1,1,68.77581280731503
30,25,3,16,1,0,1,66.86432458474232
24,28,6,17,0,1,1,70.33617301135119
14,24,2,16,0,0,0,58.7147441907389
23,16,7,15,1,1,1,70.76618758324231
37,23,7,9,1,0,1,69.19272772980052
16,19,6,17,0,1,1,68.74966433470154
34,25,3,16,0,0,1,68.50885054324846
32,27,5,12,1,1,0,67.71563134016718
21,24,2,13,0,1,0,62.395504363134286
12,19,9,18,0,0,0,66.34768168037874
29,22,2,14,0,1,1,67.75794817325546
16,26,6,23,0,0,1,69.60530389379018
42,23,8,10,1,0,0,64.43459836808033
2,22,5,24,1,0,0,64.31621662609366
24,18,7,11,0,1,0,62.83894857610306
27,26,5,15,1,1,1,69.22474685480402
22,22,5,18,1,0,0,63.735397961213046
37,22,8,18,0,0,0,65.22419431778474
35,27,6,14,0,1,0,64.95282580759329
25,16,5,13,0,0,0,60.34485665363717
18,28,2,8,0,0,0,60.79893422968521
40,26,7,16,1,0,1,72.0121729858676
29,28,7,17,1,0,0,66.10353089415189
27,15,6,16,0,1,1,69.52501777424175
26,26,7,15,0,1,1,71.36603569059866
38,28,4,14,0,1,1,69.25749643509062
37,24,2,9,0,0,1,66.43303233833699
6,25,7,19,0,1,1,70.70884882734657
29,19,6,17,0,1,1,68.9364941681642
16,27,5,17,1,0,0,63.080418479440375
18,26,4,16,0,0,1,68.42819687081513
32,23,5,10,1,0,0,62.15370004499845
24,22,10,13,0,0,1,72.42957170439982
36,23,3,25,1,0,0,61.92098247836229
27,23,5,18,0,0,0,61.66900725131229
13,22,6,14,1,1,1,70.98337430774188
6,24,8,12,1,1,0,66.66729953280307
26,28,4,19,1,1,0,64.86102236599477
18,19,1,12,1,1,0,59.78218534586159
31,25,9,12,1,0,1,72.66900795391564
36,16,9,16,0,0,0,64.07036533259642
21,23,4,13,0,0,1,66.43765039023609
31,32,4,16,1,0,1,70.16687090905278
26,23,6,19,1,0,1,69.14073597713184
7,19,9,12,0,1,1,69.87939902669764
25,23,7,9,1,1,0,67.49156348315154
3,24,8,16,0,0,0,64.49009986180882
28,30,5,10,0,0,1,70.3461834731021
15,19,6,14,1,1,1,70.11354402609301
24,22,7,10,0,1,1,69.62142351876102
30,25,2,16,0,1,1,66.80590976756199
35,23,6,14,1,0,1,69.5056614126465
13,23,9,16,1,0,0,65.00803519552319
21,28,10,19,0,1,0,68.984657960051
19,22,5,12,1,0,1,70.89839457729072
17,28,2,19,1,0,1,68.5350707930834
14,28,5,20,1,0,0,65.6949147485596
43,24,5,11,0,0,0,62.59997664985738
32,22,6,14,0,1,1,68.53912839662311
45,26,8,16,0,0,1,72.66891345493336
40,20,6,15,0,1,1,69.47023130698092
20,24,2,16,0,1,1,67.28867143675816
30,23,6,11,1,1,0,63.41139583112962
16,18,5,16,1,0,0,63.79342209473886
24,17,6,12,0,1,0,62.50830075416739
31,25,5,11,0,0,0,60.63723082405848
29,25,4,20,0,0,0,62.919220519555616
22,23,8,11,0,1,0,66.28276431857226
21,28,6,17,1,1,1,73.43518146853474
35,26,5,17,1,1,0,66.49200143158089
16,25,8,17,1,1,1,73.96698968916952
15,21,6,14,1,1,1,69.18731022675097
23,29,6,21,0,0,1,72.92033636819907
23,20,7,21,0,1,0,64.43488789235063
19,28,12,11,0,1,0,68.49254218080577
3,28,10,13,0,1,1,72.32783270449788
36,23,5,12,0,0,1,67.36227446524806
24,22,5,16,1,0,1,69.99415524998857
16,25,7,13,0,1,1,71.60993591764168
44,21,7,18,0,1,0,65.60669122316472
45,20,5,18,1,1,1,69.95494379057627
23,30,9,12,0,1,1,74.62275801032376
31,20,6,18,0,0,1,68.46949827404755
16,22,5,0,0,0,0,60.60987960124865
33,27,4,18,0,1,0,63.72169962278278
27,27,1,18,1,0,1,67.656379388958
24,22,7,14,1,0,0,62.77697985655877
18,29,6,13,0,0,1,71.58119241695798
35,21,3,16,0,1,0,61.06875779116798
3,29,6,11,1,0,0,65.74246221300382
27,20,8,20,1,1,0,67.57409748147333
18,25,7,11,1,0,1,70.55995248326522
28,33,8,16,0,1,0,65.98359547825305
30,26,6,5,0,1,0,64.32083957840015
12,20,7,24,1,0,1,69.70481345217033
29,21,6,11,0,0,0,63.02037303996539
37,25,6,11,0,1,0,65.70595972704415
13,28,6,15,0,0,1,70.73675868199207
-1,18,7,13,0,0,1,69.10962785607641
25,17,7,19,0,0,0,63.68869958136358
18,18,7,10,1,0,0,63.03752169727793
33,23,3,19,1,0,1,67.66246186552978
42,22,2,18,0,0,0,59.98389219992775
6,23,9,21,0,0,0,67.78157503601925
14,18,2,23,0,0,1,67.05197041164723
16,30,7,16,1,0,0,65.16688642289485
34,23,4,14,1,0,0,62.236947453216295
32,23,5,15,0,0,0,64.0703396393849
15,24,5,7,1,0,1,69.13145619468563
37,25,10,18,0,1,1,75.92111153442703
34,27,5,24,0,1,0,64.87775252159828
23,20,8,22,1,1,1,73.42814299635894
25,26,3,15,1,1,1,68.95897541851198
30,25,2,13,1,0,0,61.03428808217051
33,23,5,10,0,1,0,62.64540425836135
28,16,4,16,0,0,1,66.97738042866915
20,26,6,23,0,0,0,65.02910821847684
12,23,10,10,0,1,1,73.02620348294815
26,27,4,15,1,0,0,62.27574862438112
20,18,4,11,0,0,1,65.16473547379842
21,32,5,15,1,1,1,71.4448212107654
21,18,8,17,0,0,0,64.24995105145325
34,21,1,15,0,0,1,67.36139893237785
23,17,4,17,0,0,0,59.828494794677766
29,23,7,17,1,0,1,71.11975708525533
25,20,5,15,1,1,0,63.66584680636366
39,25,7,20,0,1,1,71.61982610140903
12,27,9,22,0,1,0,68.82355013404872
26,24,-1,10,0,1,1,65.7175867258154
21,27,2,12,1,0,1,68.80648432406517
11,26,6,18,0,0,0,64.1861221937465
23,24,3,19,1,0,0,62.77221049344602
41,21,3,21,0,1,0,63.12383118704355
14,26,10,12,1,1,1,73.1985967113139
28,21,6,14,1,1,1,70.94590500389047
46,26,2,15,1,1,0,61.80645285032448
32,22,6,22,0,1,1,72.22732377281707
27,26,6,16,0,1,1,71.40993320686849
27,28,5,6,0,0,1,70.00594568256487
27,23,6,10,1,1,0,63.78961942590324
19,23,3,12,0,0,0,61.03055380422721
34,26,5,14,0,1,0,64.3966467219128
40,18,5,15,0,1,0,61.83392393902756
20,28,7,22,0,1,0,68.82567975960454
19,24,9,13,0,0,1,70.5457419313329
16,26,8,17,1,0,1,72.40266083572342
27,27,0,19,1,1,0,62.320201580581966
26,26,5,15,1,1,1,69.79049883795489
32,17,5,20,1,0,1,68.16926748729473
35,26,6,14,0,0,1,69.13518255541791
8,25,10,13,0,1,1,72.25435219820841
25,26,8,9,0,0,1,70.32540453630271
19,23,4,25,1,0,0,61.716441403632736
27,20,7,15,1,1,0,63.95478952548512
36,25,8,19,1,0,0,65.15823107720195
28,20,4,19,0,0,1,66.47691285121647
32,25,8,11,0,0,1,70.41509932891832
42,16,3,21,1,1,0,61.017253606668056
15,18,6,13,1,1,0,65.45446207988063
7,19,0,18,1,1,0,57.53005539863417
32,24,9,7,1,0,1,73.0409696443458
29,22,5,13,1,1,1,68.21199753308485
32,28,3,13,1,0,1,68.02867777882696
21,22,7,13,0,1,1,68.88648553843721
31,24,3,19,0,0,0,61.74101355545525
31,23,3,16,1,0,0,62.00978113306611
34,24,7,15,1,0,1,71.10834014212371
35,21,7,11,0,0,0,66.1648147032467
28,26,6,13,1,1,1,69.89954937280105
11,25,8,15,1,1,1,74.51873996721673
15,22,3,9,1,1,0,60.16671008571591
35,28,5,10,1,0,0,65.93893368213816
26,17,5,22,0,0,1,67.46563789352014
22,30,7,16,0,0,0,66.05600433005733
23,26,2,11,1,0,1,66.97105008908785
8,22,6,11,1,0,1,69.87482114477994
21,21,5,22,0,1,1,68.96631201841892
32,21,4,16,0,0,1,68.65145635450615
18,24,7,22,0,0,0,66.14244628777264
30,26,6,20,0,0,0,64.3625829978415
23,31,4,17,1,0,1,70.0202862154097
35,24,5,6,0,0,0,63.30304312873051
24,26,4,13,1,0,0,62.4081148893287
26,26,6,18,1,1,1,72.94409465361413
