student_age,study_hours_per_week,gender,low_income_status,special_education_status,participation_in_remedial_classes,end_of_year_grades
40,16,0,1,1,1,57.84899950743188
15,18,0,1,1,0,56.13215947030563
20,25,1,1,1,1,61.807034801583065
32,20,1,0,1,0,56.528988103508645
27,18,0,1,1,1,59.74153756667278
32,14,1,0,1,0,55.22639887673213
34,29,0,0,0,1,65.7470698851391
29,11,0,1,1,0,53.322828016345504
32,11,1,1,1,0,53.59328580171794
22,24,1,1,1,0,59.328279199130925
17,13,1,1,1,1,59.81437302299037
38,12,0,1,1,1,57.01592718677484
36,13,0,1,1,1,60.46267412765605
28,21,0,1,0,1,61.5075419100459
22,19,1,0,1,1,59.80958034778232
23,21,0,1,0,0,58.62715961150237
41,7,0,1,0,1,54.13477470940932
34,22,1,0,1,1,62.2570630128832
28,29,1,1,1,1,63.43707273662815
46,24,0,1,0,0,60.76156037909949
19,15,0,1,0,0,56.062165722555726
21,18,1,0,1,1,59.70276035217964
17,30,1,0,1,1,62.97683617541188
26,22,1,1,1,1,60.579695759791534
30,23,1,1,1,0,59.12049785812982
21,27,0,1,0,0,61.29912812877457
32,25,1,1,1,0,60.33266759876579
33,14,0,1,1,1,57.26592657503082
37,6,0,0,0,1,55.63591704535539
20,18,1,1,1,1,59.83241325510813
40,21,0,1,1,0,57.57452436486092
35,24,1,1,0,0,59.35149674557013
14,31,0,0,0,0,63.3995541011508
30,18,1,0,1,1,59.50753205859109
23,30,1,1,1,0,62.02827159637889
36,23,0,0,1,1,61.70863310083411
23,24,1,0,1,1,60.78924318326995
50,32,0,1,1,0,63.813156931972095
33,22,1,1,0,1,60.87371690576359
29,17,1,1,0,1,59.072043839870624
36,30,0,0,1,0,61.33701674054258
18,17,0,0,1,0,57.03064082071326
30,19,1,1,0,1,59.33770361773491
23,21,1,0,0,0,57.368649853836565
24,21,0,1,1,0,59.25581139503755
39,22,1,0,0,0,57.50129965202527
18,14,1,1,0,0,55.25133785250294
39,18,1,1,1,1,59.7350931721784
32,20,1,1,1,1,60.01357034206569
36,25,0,0,1,1,61.56743458690207
36,29,1,0,1,1,62.25223715562965
37,21,0,1,1,0,57.43787719100635
42,13,1,1,1,1,57.67431966261914
19,34,0,1,0,0,65.11465617654096
23,15,1,1,0,0,56.41820515966048
38,14,0,0,0,1,56.96177636527933
34,16,1,0,1,0,54.6046301484034
30,13,0,1,1,1,58.26875817938921
36,19,0,1,1,0,57.82825149512309
34,20,1,1,1,1,61.34166905462995
33,11,0,1,1,1,58.4712893864424
15,5,1,1,1,1,53.48089883024418
34,24,1,0,1,1,62.71312894316132
31,9,1,1,1,1,53.35129916642059
26,19,1,1,1,0,57.458214066166086
24,13,0,1,1,1,59.718832835210165
44,6,1,0,1,0,49.84824508534052
17,18,1,0,0,1,59.08771592114376
31,14,1,1,1,1,57.945260628938414
28,15,0,1,0,1,58.64858366592095
24,9,0,0,0,1,55.97531492740588
40,19,1,1,1,0,57.07739406280782
28,28,1,0,1,0,60.84637110750907
28,18,1,1,0,1,59.116823098212365
33,22,0,1,1,0,59.475052475943016
44,33,0,1,1,0,63.190848866890775
38,29,0,0,1,1,63.1926496368346
30,13,0,0,1,1,57.67676096679586
31,25,0,1,1,1,64.48686889720271
24,22,1,1,1,0,60.77571280811475
39,20,0,1,1,0,58.76350601423015
34,30,0,1,1,0,62.38276610567252
33,36,1,0,1,0,63.97420994115885
19,18,1,0,1,1,59.510726507749695
25,29,1,1,0,0,62.13046667782394
21,11,0,0,0,0,55.06643299288994
20,11,0,1,1,0,54.752128165837966
21,15,1,1,1,0,56.73864200822126
33,28,1,1,1,1,61.41543405314328
28,17,1,0,1,1,57.82785331097632
48,21,0,1,0,1,61.50369441830688
25,19,1,1,1,1,61.20194098996805
28,17,0,1,0,1,59.9490662892644
31,20,0,0,1,0,57.41809922240648
30,21,1,1,0,1,62.93193768962068
22,22,1,0,1,1,61.370457798031325
25,24,1,1,1,1,61.52119658511849
31,25,0,1,1,1,62.449683335730576
24,15,1,0,1,1,55.46963118397652
35,13,0,0,1,1,56.49505122118786
25,10,1,0,1,0,52.17611096126998
23,31,0,1,1,1,66.34099796914646
20,14,1,0,1,0,54.54360359581784
26,22,0,0,0,0,59.66274373270311
29,10,0,1,0,0,56.331576703735934
34,11,0,1,0,1,56.349555218020015
32,15,1,0,0,1,57.83766684912951
31,25,1,1,1,1,62.771075712836605
33,18,1,1,1,1,59.77245750896161
36,16,0,1,0,1,59.57916674610702
27,19,0,1,1,0,58.20343426373829
17,29,1,0,0,1,64.49758237566897
43,15,1,0,1,1,57.15698052053416
32,19,1,1,1,0,59.399456715717164
48,23,0,1,0,0,60.48215033545702
24,18,0,0,0,0,58.00434885192321
38,7,0,1,1,0,51.58211312803333
32,30,0,1,0,0,63.635655988661775
33,15,0,1,0,0,56.70828575444212
39,17,1,1,1,0,56.03007684996841
22,29,1,1,0,1,64.40576127543859
24,12,1,0,0,1,56.22683055171897
20,18,0,1,0,0,56.82567570162399
25,11,1,0,0,1,55.533435680704
34,15,1,1,0,1,58.263467575363
35,20,1,1,1,1,61.31869313476341
38,23,1,0,1,0,59.1237314857801
16,18,1,1,1,1,59.00431777673974
27,14,1,1,0,0,55.29009026352657
33,22,0,0,1,1,59.92593923741303
24,12,1,1,1,0,54.96258306110293
21,17,0,1,0,0,59.49056246383712
24,11,1,1,0,1,56.83041751114416
27,27,1,0,1,1,64.09031077603348
39,33,0,1,0,0,65.29402892781964
18,9,1,1,1,1,55.00103341142354
26,17,1,1,0,1,58.915418290625816
31,19,0,0,1,1,59.472131816374976
21,15,0,1,1,0,57.35363503841246
17,19,0,0,1,1,58.56785043979708
27,23,1,1,1,0,60.22502361448348
30,15,0,0,1,0,56.646789027966015
47,19,0,1,0,1,59.84073148799138
19,18,0,0,1,0,55.55817551222936
18,27,0,0,1,0,61.05257238966472
42,18,0,1,1,0,58.800045718802586
28,15,1,0,0,1,56.76915401925245
29,22,0,1,1,1,62.22211564424187
41,26,0,0,1,1,62.69527276981098
37,17,0,0,1,1,58.02166069183154
42,17,1,1,1,0,56.51722052251543
28,19,1,1,0,0,57.110425311929184
30,11,1,0,0,1,55.03607207115032
32,22,1,1,1,0,60.65787458721629
34,10,0,1,1,1,58.03328399955378
29,27,0,0,1,0,61.40202345219303
25,21,0,1,0,0,59.28650394051103
18,15,0,0,1,1,58.65509438242627
47,16,0,0,1,0,55.86810029548659
37,20,1,1,1,1,62.54914941258258
39,23,1,1,0,0,58.99581969010461
26,17,1,0,0,0,57.37998415679152
19,28,1,0,0,1,64.19594439554133
22,19,0,0,1,0,58.434628456229966
16,14,1,1,0,0,56.80709034470119
36,15,1,0,0,0,53.34242259317036
29,20,1,0,1,0,59.56165469255209
22,23,1,1,0,0,57.41514825124629
40,27,0,1,1,1,63.89454061386275
32,17,1,0,1,1,56.73822459882644
49,18,0,0,0,1,58.80597877477793
14,11,1,1,0,0,56.46540592715856
39,25,1,0,1,0,57.94766056408309
36,18,1,1,1,1,59.09895338152812
36,24,1,0,1,0,59.73546515715201
24,21,0,1,1,1,61.143517906452296
36,17,0,1,1,1,59.44111183630421
36,27,0,1,1,0,63.21105475070448
44,14,0,1,1,0,56.59269681121179
13,23,0,1,1,0,59.96899515460409
29,23,0,0,1,0,57.93260474722676
30,20,0,0,1,0,58.08736772224984
37,20,0,0,1,0,58.00074539583389
19,28,1,1,1,1,64.07052811584211
19,9,0,0,1,1,53.77566862598594
24,20,0,0,0,0,57.39240275672946
23,21,1,1,0,0,60.16737259818031
27,26,0,1,1,0,61.57685605790834
40,19,1,0,1,1,60.02909559717249
32,31,0,1,0,0,61.0421306483896
34,17,0,0,0,0,57.39661923973888
26,17,1,0,1,0,56.822019151366064
28,22,1,1,1,0,57.9723418750467
21,35,1,1,0,0,66.27506932089204
17,15,0,1,1,0,55.83377266243271
23,24,1,0,0,0,57.94679059791698
40,7,1,1,0,0,53.7962708743443
23,25,0,1,1,0,59.849373240149056
29,23,0,0,1,0,59.37851805822117
27,19,1,1,1,0,56.47648083448038
7,18,1,0,1,0,57.39855798185846
23,23,0,0,0,1,61.79541512285685
35,23,1,0,1,1,60.0009506258053
30,18,0,0,0,1,61.20272313718298
27,26,0,0,0,1,63.73153362279
22,10,0,0,1,1,58.4197012554261
31,19,1,1,0,1,61.46914284264879
37,16,0,0,1,1,56.99270194518034
39,13,0,1,1,1,56.5829418841989
26,24,0,0,0,1,65.25127871298977
36,9,1,1,0,0,54.60030716075124
13,15,1,1,0,0,56.96181776471323
40,24,0,1,1,1,63.85381046442963
15,33,1,1,1,0,63.27582400047444
42,18,1,0,1,0,54.30846129960551
29,19,0,0,1,1,60.10075514417633
45,16,0,0,1,1,58.7199051668957
31,19,1,0,1,1,59.668057225059314
31,27,0,1,1,0,62.74173240985343
27,25,0,1,1,0,60.620419803614695
37,18,1,1,1,1,61.75423439307113
25,23,1,1,0,1,61.84655474694912
29,20,1,1,0,1,59.77281754172285
13,12,0,0,0,0,52.92429216931107
58,16,0,0,1,1,58.40819562800159
21,30,0,0,1,1,63.54460798470882
31,26,1,1,0,1,64.34120347043255
13,23,1,0,0,1,60.40054323190372
33,19,0,0,1,1,60.78216403950205
40,12,1,0,0,1,56.61977835625021
29,17,0,0,1,0,55.503303184519126
37,8,0,1,1,0,53.68139773813199
30,12,1,1,0,0,55.11562737284496
26,20,0,1,1,1,59.59274658454287
23,20,0,1,1,0,59.38538706279302
23,18,1,1,1,0,56.8655067227804
30,19,1,0,1,1,59.88649008456749
30,20,0,0,0,0,56.982027038266814
36,18,1,0,1,1,59.33644483915905
35,24,0,1,1,1,63.41845727055138
29,14,1,1,1,1,58.82211330091732
28,11,0,1,1,0,54.31602604044422
38,22,1,1,0,0,58.48214604956365
11,27,1,1,1,1,62.4195741303425
39,27,1,1,0,1,63.64643455014829
35,13,0,0,1,1,57.83765029030845
48,15,1,0,1,1,57.0089844910795
40,23,1,0,0,1,62.72310053282155
38,19,0,1,0,0,56.67526399522716
26,18,1,0,1,1,59.3273237666818
22,18,0,0,0,0,57.577315010798536
37,20,0,1,1,1,62.63722275632946
24,16,1,0,0,1,60.502703299202736
28,20,0,1,1,1,62.09921599195377
13,20,1,1,0,0,58.6776179140692
29,17,1,1,0,1,59.618254656921614
33,32,0,1,1,1,64.48579547420472
25,22,1,1,0,1,61.62666325613966
26,22,1,0,0,1,62.00761479275336
41,33,1,0,0,1,65.33384667826036
24,30,0,1,0,1,64.47346911193463
32,12,0,0,1,0,53.30944478535052
27,24,1,1,0,0,60.13740219832557
31,19,1,1,0,0,58.64644754664747
26,22,1,1,1,1,61.57970770643737
28,21,0,0,0,1,62.795264987214345
22,20,0,1,1,1,61.31680561973484
38,13,1,1,0,1,56.79541122371886
28,17,0,1,0,1,59.29356328875752
51,24,1,0,1,1,61.94726643929452
27,18,1,0,1,1,57.02029442939507
28,20,1,1,1,0,59.627288426590425
32,18,0,1,0,0,56.31369181265613
24,23,1,1,0,1,62.69230090885189
37,22,0,1,1,0,60.623073516726414
18,17,1,0,0,1,59.7569413280098
18,24,1,0,0,1,60.72627585331976
14,19,1,1,1,0,58.144866115010494
35,20,0,1,1,0,57.27583611020356
31,24,1,0,0,1,61.06848976811035
29,27,1,1,0,0,60.11935280383554
21,14,1,0,1,0,52.67072097458343
33,17,1,1,1,0,56.12949829078513
25,19,0,0,0,0,59.162408590515504
15,19,1,0,0,1,59.37593526409368
26,29,1,1,0,1,64.60893476249937
18,17,0,0,1,0,55.853233372186665
37,30,0,0,1,0,62.36683076248876
32,13,0,0,0,1,56.406044980945616
29,16,1,1,1,1,58.41264238477553
37,16,0,1,0,1,58.74427192023891
36,23,0,1,0,0,58.67934875215707
29,21,0,0,0,0,58.85957103768939
26,14,0,1,0,0,55.32026775265779
26,19,1,1,1,0,56.7199574710528
31,23,0,1,1,1,61.48360553216804
25,16,1,0,1,0,54.600834820016
23,25,1,1,0,0,60.79513218682838
21,7,0,1,1,0,53.44706182238013
35,23,1,1,1,0,58.79335063001985
31,16,1,1,1,0,56.476695264190695
31,23,0,0,0,0,57.53187401423231
28,23,1,0,1,1,59.16111779642338
37,13,0,1,0,1,57.54856234747996
32,22,0,1,0,0,59.56999532473651
