education_years,job_tenure_years,has_professional_certificate,union_member,invited_to_job_training,attended_job_training,annual_wage_thousand_usd
1,3,1,1,1,1,58.01291488457153
7,3,0,0,1,1,58.53484734933578
5,3,1,1,1,1,60.4489857214251
3,2,0,0,1,1,59.00600115686672
4,3,0,0,1,1,57.673780200781344
8,3,0,1,1,1,57.9699171573528
2,3,1,1,0,0,56.66447467656897
6,3,0,0,0,1,57.55236588867761
2,2,0,1,1,0,55.76447365205397
5,3,0,0,1,1,58.55942844479461
6,2,0,0,1,1,56.86182509429819
1,3,1,0,1,1,58.67304541739789
1,4,1,0,1,0,56.74372786004765
3,3,0,0,1,1,58.93532958898224
4,2,0,0,1,0,54.67552033415026
6,2,0,1,1,0,56.431284897436605
5,2,1,1,0,1,59.75311061512926
6,2,0,1,0,0,57.698048662608784
2,3,0,1,1,0,56.89153411374826
1,3,0,0,1,1,57.8312770782791
4,1,1,0,1,0,55.6091312558846
7,2,0,1,0,1,58.16309993114887
3,3,0,0,1,1,58.79517102466143
-1,2,1,0,1,1,59.12786340901128
4,2,1,1,1,1,58.38328307903463
2,3,1,1,1,0,54.71796019586554
5,3,0,0,1,1,56.79893971503084
0,2,1,0,1,0,56.48301513557777
6,3,1,0,1,1,57.75909411435573
4,2,1,0,1,1,57.0785463930992
5,2,1,1,1,1,56.73418668777462
2,3,0,1,1,0,56.21643919074358
2,3,1,0,0,0,56.44282610613946
2,2,0,1,0,0,57.12407384327206
3,2,1,0,1,0,54.78811817080005
1,3,1,1,1,1,61.10328636728506
2,3,0,0,0,0,56.13884758956829
5,3,1,0,1,1,57.324795453335376
6,3,0,0,1,1,57.80063601180416
4,3,0,1,0,1,58.36222041728541
6,2,1,0,1,1,59.089049267569024
2,2,0,0,1,0,57.11058059883912
3,2,1,0,0,0,57.166868587368896
4,3,0,0,1,1,57.43019360342143
3,2,1,0,1,1,56.542918921743805
1,2,0,0,1,1,60.653635628737696
2,3,0,0,1,1,57.98347165681139
5,3,0,1,1,1,59.3163547065359
1,3,0,1,1,0,57.75497532836629
3,3,0,0,1,1,57.73825382698032
2,2,0,1,1,0,57.7795844570842
3,3,1,0,1,1,58.38943231629921
1,4,1,0,1,0,55.74844148769282
2,3,0,1,0,0,56.47181523585067
4,2,1,0,0,0,56.22355812380325
2,3,0,1,1,1,60.11633413082248
5,3,1,0,0,0,55.91858157463208
2,2,0,1,1,0,57.480803905974085
6,2,0,0,0,1,57.83165521539895
3,2,1,0,1,0,55.08100342962874
4,1,0,1,1,1,59.42493188686343
5,2,0,0,1,0,55.13724009859008
3,1,1,0,1,0,55.12439664961429
7,3,0,0,1,1,56.88157062905544
4,3,0,1,1,0,54.9537908613972
1,3,0,0,1,1,58.93095320167608
2,2,1,1,1,0,56.98510881344139
4,2,0,1,0,1,58.16545006943314
3,3,1,0,1,1,58.455334670130426
1,3,1,1,0,0,57.08166323253161
6,4,0,1,1,1,58.62461378640256
3,2,0,0,1,1,59.703734303692
4,2,1,0,1,0,54.363760715633134
6,2,1,1,1,1,57.58440469365778
2,2,0,1,1,1,58.137108658890014
1,3,0,1,1,1,60.90190141510981
4,3,1,1,0,0,55.435998410151775
4,2,1,0,1,0,56.597837000486805
3,2,1,0,0,0,56.196289880548285
6,2,1,1,1,1,59.23092484456908
4,3,1,1,1,0,55.446267612978616
3,2,1,0,1,1,57.99708060744574
3,3,1,0,0,0,54.590784864175
4,2,0,1,1,1,57.95288530035028
2,2,0,1,1,1,59.94167713400367
1,3,0,1,1,1,58.50717080702276
4,2,1,1,1,0,56.50671021868554
5,3,0,1,1,0,55.93529597367653
3,3,0,0,1,0,54.59605338316753
3,3,1,0,1,1,60.29440313933871
-3,2,0,0,0,0,57.25514765926002
6,2,0,0,1,1,55.58496385473938
4,3,1,1,1,1,59.00886463749709
4,1,1,0,1,0,56.61616051249806
4,3,1,1,1,0,55.42361995016409
-2,3,0,0,1,1,61.43331562823943
3,4,1,0,0,0,56.31885788541678
6,2,0,0,0,1,58.09132946054744
6,3,1,1,1,1,59.763093395891474
5,2,0,0,1,0,55.520107388996216
2,3,1,1,1,0,58.30887035255732
2,2,0,0,0,0,57.45708634591533
4,3,0,0,0,1,56.76134365624345
7,2,1,1,1,1,58.76588856961874
3,3,0,0,0,0,56.50589808750432
5,3,0,0,1,1,57.34462916163838
6,3,1,0,1,1,56.25905899187101
3,2,1,0,1,0,55.44295710796887
6,2,0,0,0,0,54.39137290207034
5,3,1,1,0,0,53.86525054433015
4,2,0,1,1,1,59.51443297791277
4,3,1,1,0,0,55.71032261306944
6,2,0,0,0,0,53.84969236315636
1,2,0,1,1,0,56.03458272767541
3,2,0,0,0,0,54.9225752821623
1,3,1,1,1,0,57.37637715190251
4,3,0,1,1,0,55.37974476432103
5,3,0,1,1,1,58.875473716922095
1,2,0,1,1,1,59.854906268619104
3,2,0,0,1,0,54.22528753075901
2,2,1,1,1,0,57.42631892654224
2,2,1,1,0,0,55.20923806560163
4,3,0,0,0,0,54.87430665267998
1,3,1,0,0,0,54.88699637604199
3,3,1,0,1,1,58.70091930754624
0,2,1,0,1,0,57.10822994750026
1,2,0,1,1,1,59.238427725629975
7,2,1,0,0,1,56.5171891344677
6,3,1,0,0,1,58.13890939877451
-1,3,0,0,0,0,56.61765388973796
6,3,0,0,1,0,56.47064719669192
4,3,1,0,0,0,56.682105515821206
6,2,1,1,1,1,60.40346626602073
1,3,1,1,0,0,56.55492273136218
6,3,1,1,1,1,59.20119357940258
3,2,0,1,1,1,58.42884482599423
2,3,0,0,0,1,59.51202964644698
2,3,0,1,1,0,54.650254994583534
1,3,1,1,0,0,57.61945336336163
5,3,0,0,0,1,58.62457814805596
4,2,0,0,1,1,58.05938602539638
5,2,0,0,1,0,56.74099285685044
6,2,1,0,1,1,59.64659705279201
2,2,0,1,0,0,53.96880797823361
2,3,1,0,0,0,55.28717872349316
3,3,0,0,1,0,54.5337097225395
1,2,0,0,0,0,56.07229994740605
5,1,1,1,1,1,58.09595320284821
1,2,1,0,1,0,55.396191242294776
4,1,1,0,1,1,59.62946413648045
4,3,0,0,0,0,54.7433534933277
4,2,0,0,0,1,59.4863719895401
5,3,1,0,1,0,55.324766552015525
4,2,0,0,1,1,57.232257355495456
0,2,1,0,1,0,54.75770293985773
3,2,0,0,0,1,57.96092895803012
0,2,1,1,0,0,57.463239626297984
3,2,0,0,0,1,58.84041798076135
3,3,1,0,0,0,55.54368319331411
3,2,1,1,1,1,60.05677563574552
1,2,0,0,1,1,56.50315434586123
6,2,0,1,1,0,55.39836749218776
1,3,1,0,1,0,55.25904240492414
6,3,0,1,0,0,55.18003365167021
6,1,1,0,1,0,53.85985505671181
2,2,1,0,0,0,57.05090073299308
4,3,1,1,0,1,59.02885868058952
5,3,0,1,1,0,54.56861333343812
6,2,1,0,1,1,58.46190751933919
7,3,0,0,1,1,58.21979024665509
6,2,1,0,0,0,54.02710466516877
3,2,0,1,0,1,59.34814895453404
4,2,1,0,0,0,54.1478358503736
8,2,1,1,1,1,59.50870313550813
3,2,1,0,1,0,55.575853771359576
5,2,0,0,1,1,58.86518638036465
6,1,0,0,1,1,58.57388681619956
8,2,1,1,1,1,57.435862838731886
7,3,0,1,1,1,58.97998178452936
3,2,0,1,0,0,54.32746364806322
6,2,1,0,0,1,60.185486793861344
3,2,1,0,0,0,55.42840920005289
3,3,1,0,1,1,58.36835349394534
0,3,0,1,0,0,56.98623744952443
2,2,0,0,1,0,56.22806553831928
3,3,1,1,1,0,56.069650311734975
4,3,1,1,0,0,57.12755348026194
2,2,1,0,1,0,56.68708744601333
3,2,1,0,1,0,54.18073341193081
9,3,1,1,0,1,56.821924607771365
0,3,1,1,0,0,56.80384727936075
3,2,1,0,1,1,57.68850510296124
6,3,0,1,1,1,59.59431205382013
5,3,0,0,1,1,59.10194881704832
5,3,1,1,1,1,58.30470826545681
8,3,1,1,1,1,60.13971547250144
5,3,1,1,1,1,60.12104007306583
6,3,0,0,1,1,56.86165404263726
2,2,1,0,1,1,57.29364630236117
1,3,0,1,1,0,56.43122399827426
0,2,0,1,1,1,58.04663208067313
5,2,0,0,1,1,58.88062128311866
5,3,1,0,1,0,54.80396150124512
4,2,0,1,1,1,58.0407136746928
2,2,0,0,1,0,53.61764399915044
2,2,0,0,1,0,56.417346407546816
4,2,1,1,1,1,58.91696961649989
2,3,0,0,1,0,55.46337596890264
2,2,1,1,0,0,55.55684094907748
0,3,1,0,1,0,57.19820847739448
8,2,1,1,1,1,59.15518918497579
0,3,1,1,1,0,55.54707376060675
4,2,0,0,0,0,55.96355225299301
2,3,1,1,0,0,57.00658394486264
4,3,0,0,1,1,57.30339061289711
6,3,1,0,1,1,58.137876942258416
1,2,0,1,1,0,56.26863909718674
6,3,1,0,1,1,57.94804484676249
3,2,1,0,1,1,59.078916148023104
2,3,0,0,1,1,58.40632114088575
4,2,1,0,0,1,57.47206804051011
4,2,1,1,1,1,59.6389078308664
5,3,0,1,1,1,59.50533556038928
5,3,0,1,1,1,56.95866108877957
8,2,0,1,1,1,56.76534306279432
3,1,0,0,0,0,57.6136638959949
2,2,1,1,0,0,55.12198559121724
3,2,0,0,1,0,54.92251445277671
6,3,0,0,0,1,56.89945821553294
6,3,0,0,1,1,58.48493970722986
3,2,1,1,1,0,56.61566297927969
2,3,0,0,0,1,58.669905398770986
5,2,1,1,1,0,58.86452417244075
5,3,0,0,0,1,60.36992384901711
6,3,0,1,0,1,59.05667162222439
7,3,0,1,1,1,58.42329542952884
7,1,1,0,0,0,55.19609050767931
4,2,1,0,1,1,58.45676643156838
0,3,1,1,0,0,59.14467925298985
5,3,0,1,0,1,59.57044119941428
4,3,0,0,1,1,57.67146301402488
2,2,0,1,1,1,59.57758399837408
0,3,1,1,1,0,56.88796916653183
7,2,1,0,1,1,58.118341667737205
4,2,1,1,1,1,56.84410085675537
7,2,1,0,1,1,57.06449649718763
6,2,0,1,1,1,58.2464932592303
2,2,0,0,0,0,54.82121143421289
5,2,1,1,1,1,58.63090041975186
2,2,0,0,0,0,56.28208278465569
3,3,1,1,1,0,56.00600498622291
1,2,1,1,0,0,58.49660141792855
5,3,0,0,1,1,58.36108157996194
6,3,1,1,1,0,57.31396298200976
2,3,0,1,1,0,57.28122092991329
5,2,1,0,0,0,57.68980789670171
4,3,1,1,0,1,57.01200811439304
3,3,0,0,1,1,58.449324116041694
4,2,1,1,0,1,60.778340876229294
1,4,1,0,1,0,55.83869123409364
3,2,1,0,1,0,56.94321673760207
5,2,1,1,0,1,58.747314343311096
0,2,1,1,1,0,55.190520503506754
3,3,1,0,1,1,58.01936673210358
7,2,0,0,1,1,56.66364068550801
7,1,1,1,1,0,56.15700916388462
3,2,0,0,1,1,58.87945166167796
5,3,0,0,1,1,57.875965624514365
4,2,1,0,1,1,59.11856742076269
1,3,1,0,1,1,57.93983280493197
3,3,0,0,1,1,58.050307483906494
7,3,0,1,0,1,55.47113866600522
1,3,1,0,1,0,57.01295035624782
2,3,1,1,0,0,56.255367592728405
1,4,0,0,1,0,57.89145389073918
6,1,0,1,1,0,54.83700660522256
1,2,1,0,0,0,54.76296661987649
6,2,1,0,1,1,57.93089563417308
6,3,0,0,1,1,56.55436742734264
3,3,0,0,1,1,59.64982444952668
4,2,1,1,1,0,54.17862692062855
5,3,1,0,0,0,56.45730866619271
2,3,1,0,1,1,59.5921120871607
2,3,1,1,1,1,59.77428190046325
6,3,1,0,1,1,57.7198555049051
7,3,1,1,1,0,54.67632110740071
4,3,0,1,1,1,58.608571097065216
4,2,0,1,0,1,59.38110630687421
2,2,1,1,0,1,61.20791000294881
6,3,1,1,1,1,59.414219630901336
5,2,0,0,1,0,57.65375793999413
5,3,1,1,0,1,57.000177730040846
5,3,1,0,1,0,56.237277416786895
2,2,1,0,1,0,56.46167501779331
4,2,1,0,1,0,56.6805877514389
4,2,1,0,0,0,53.12434997013683
2,3,1,1,1,0,55.778083823728565
0,3,1,0,1,1,58.566855769963965
4,4,1,0,1,1,57.76972968238359
2,2,0,1,1,0,57.22682726958151
5,3,1,0,1,1,58.959655733305546
6,3,1,1,1,0,56.36215130480864
3,4,1,0,1,1,56.703297850434666
0,3,1,1,0,0,57.36477995752436
5,2,0,0,1,1,59.87644458092264
4,2,1,1,1,0,54.154916992395584
