age,education_years,income,socioeconomic_index,number_of_dependents,gender,minority_status,unemployed,participation_in_job_training,employment_status_after_year
43,19,4,20,5,0,0,0,0,66.63912381071209
18,31,12,7,6,1,0,0,0,66.18693346544737
28,19,7,11,2,0,0,0,0,63.233567544723165
31,10,9,13,3,0,1,1,1,70.24906020880616
25,13,10,12,2,0,0,1,1,70.46687786201386
25,21,9,12,4,1,0,0,0,67.1291634523922
37,20,4,16,2,0,1,1,1,68.89270161452164
28,12,3,17,4,1,0,0,0,64.2505286696326
22,26,12,5,5,0,1,1,1,69.48074918555272
26,11,11,15,5,1,0,0,0,69.60287262432637
40,14,6,9,3,1,1,1,0,62.63215235713968
25,8,13,17,6,0,0,0,1,75.34100906610082
44,15,11,17,4,0,0,1,0,71.40916550594964
24,18,8,0,5,1,1,0,0,57.03938951694912
35,27,6,20,4,0,1,1,0,68.28801866877049
31,29,7,14,1,0,0,0,0,67.28295528478367
34,17,14,16,3,1,1,0,1,76.2766723508808
24,20,6,10,3,0,1,1,0,62.51400141952363
30,19,9,10,4,1,1,0,1,71.72977790856571
33,23,7,9,1,0,0,0,0,61.69918176639795
33,27,8,16,5,0,0,0,0,68.279203133112
38,15,8,16,4,0,1,1,0,67.16450834819571
25,13,8,17,2,1,1,1,0,67.05781589595664
26,15,12,18,6,1,1,0,0,69.65929918525121
16,31,12,5,3,0,0,0,0,63.28786878812588
31,14,6,9,3,0,1,1,1,63.18212392082761
37,22,5,25,8,1,0,1,0,72.60127628841171
33,18,13,5,5,1,1,0,1,69.87798165087587
29,13,11,9,1,0,0,1,0,66.35409433177274
27,7,11,10,2,0,0,0,1,70.40065674409585
35,24,11,17,5,1,0,0,1,77.79749316576168
22,17,7,6,4,0,0,1,0,56.66923829792178
34,17,11,10,5,0,0,1,1,71.32538557593038
48,28,5,8,5,0,1,0,0,62.71071754305947
24,13,7,15,5,0,1,0,1,69.8001563636638
26,18,5,13,1,1,1,1,1,67.66662748529724
33,21,10,9,4,1,1,0,1,71.23167143133443
23,20,6,23,4,1,1,1,0,70.83555185947198
45,11,10,3,4,1,0,1,1,66.89656146943143
29,15,11,17,6,0,1,1,1,74.41413978258306
18,11,8,20,6,1,0,1,0,69.18997379425474
35,18,11,15,1,0,0,1,0,68.76477292038676
31,23,9,21,2,1,0,0,0,72.30250310035507
18,13,12,10,3,1,0,1,0,66.87406608178841
45,21,7,9,3,1,0,1,0,64.21830152781035
25,21,15,14,4,1,0,0,1,75.6971050250146
35,21,11,5,3,0,1,0,1,68.71609240752879
32,28,8,8,3,1,1,0,1,68.34350760073374
26,20,12,9,2,0,0,1,1,69.74523319753777
37,16,7,14,1,0,1,1,0,64.09293852071691
22,25,9,8,6,0,1,0,0,63.84616215006759
38,20,13,10,2,0,1,0,1,73.2874550128616
26,14,4,10,2,1,0,1,0,60.574939846028656
33,24,9,17,4,1,1,0,1,74.31683500549626
27,25,14,11,6,1,0,1,0,69.58911683352878
16,14,8,1,1,1,0,1,1,61.182951454551976
37,16,9,15,4,1,1,1,1,72.91119607970941
29,17,17,18,1,0,0,0,1,79.16544407415887
26,19,11,19,2,0,0,0,1,76.58140611637694
35,23,13,14,6,0,0,0,0,73.06130515271641
34,19,12,9,4,0,0,0,0,68.17025726385414
35,24,7,10,6,0,0,0,0,64.82684384067348
35,14,12,11,4,1,1,0,1,72.83719149449692
22,30,13,13,2,0,1,1,1,75.20616626887366
21,27,9,15,4,1,0,0,1,72.68666769868011
40,19,12,9,5,1,0,0,1,73.50077364647521
37,21,8,13,3,0,1,1,0,64.92123285424948
23,31,12,22,4,0,1,0,1,80.84026960080871
42,25,10,10,4,0,0,0,0,68.22574761439142
36,29,10,14,7,1,1,1,0,69.91903592392764
32,17,5,22,1,1,0,0,0,67.18617874720258
41,14,8,8,3,0,0,1,0,62.70818869130332
40,28,11,8,2,0,0,1,0,67.28775354395246
33,26,11,24,5,1,1,0,0,75.05689903159038
23,18,11,8,4,0,1,1,0,64.84435629230839
48,15,13,13,4,0,1,1,1,75.73912923954104
32,20,16,10,5,1,0,0,1,76.95567153571864
51,21,10,13,0,0,0,0,1,74.0035273843565
30,18,14,22,2,0,0,0,1,80.4809615141066
36,19,10,10,5,0,1,1,0,66.56661554061418
13,16,4,6,1,1,0,0,1,61.34247719848421
27,28,7,16,3,0,1,0,0,66.43774712226603
24,19,11,20,2,1,0,0,0,72.22969186141184
32,13,8,12,3,1,1,0,1,67.94331574600604
23,28,11,7,3,0,1,1,1,69.04860347747483
35,22,10,22,5,1,0,0,1,80.06676204599252
29,22,16,9,2,0,1,1,0,70.45693047219464
32,23,9,20,1,1,0,1,1,74.63091872058985
22,26,11,26,6,0,0,1,0,76.81812049285811
40,26,4,14,4,0,0,0,0,64.02366438053811
32,33,12,9,7,1,0,0,0,69.67442604482068
24,10,9,14,4,0,0,0,0,64.86180353563428
35,23,7,19,5,1,0,0,0,69.7884731873052
22,32,4,15,4,1,0,0,0,62.94933120431992
34,15,6,14,1,1,0,0,1,69.79274838879307
34,25,9,11,2,0,0,0,1,70.87799490588583
36,12,7,12,1,0,1,1,1,67.61967499921828
31,29,8,11,2,0,1,1,1,69.19285718752369
43,15,10,17,4,1,0,0,1,75.35751184616085
39,17,11,13,3,0,1,0,1,74.02710846575208
26,17,6,15,3,1,1,0,0,65.30204757212181
25,23,14,19,4,1,0,1,0,74.52275805242178
36,21,7,10,3,1,0,1,1,69.06980519848274
36,13,10,13,5,0,0,0,0,67.93079461719927
36,25,4,15,4,0,0,0,0,64.59725929758125
13,21,10,11,2,1,0,0,0,65.37579445315153
43,23,8,6,2,1,1,1,1,68.21427684785898
31,22,5,12,2,1,1,0,1,69.58326951012845
29,25,11,14,2,1,0,1,0,70.55453580259822
30,13,8,18,1,0,0,0,0,65.49241162826748
23,20,5,14,3,0,0,0,0,63.74509379857167
40,22,11,18,5,1,0,1,1,76.83857521635461
46,25,12,8,2,1,1,0,1,72.30908680568444
36,15,10,5,4,1,1,0,1,67.2983784457603
42,14,8,12,2,1,0,1,1,69.42209190230173
27,24,11,8,4,0,0,0,0,67.06922262647467
26,15,9,21,4,1,1,1,1,73.17168436649644
15,19,6,17,5,0,1,1,0,64.79717173391388
36,13,11,12,3,0,1,0,0,66.42303427998652
24,19,9,16,2,0,0,1,1,70.95629357179651
35,29,12,3,2,0,0,1,1,69.1375564429932
30,23,7,17,2,0,0,1,1,72.67893906763689
29,21,8,12,3,0,0,0,0,65.3048434031816
35,26,12,9,3,1,0,0,0,68.7164631920027
43,22,10,15,1,0,1,0,1,74.00564871629851
42,23,8,20,1,1,0,1,1,73.8678806215452
33,15,7,11,5,0,1,1,1,67.74547377711146
32,23,6,18,4,0,0,1,0,67.37117536409148
45,16,13,10,6,0,0,1,1,73.14844669444196
31,23,9,9,2,1,1,0,1,69.48612065882821
34,25,9,14,2,0,1,0,0,69.16154442096354
26,8,10,12,2,0,1,0,0,62.24637896751187
34,23,10,14,4,1,0,0,0,68.22232579311044
17,15,9,11,6,1,1,1,0,64.645473158913
37,19,10,3,2,1,0,0,1,66.98144713562458
21,24,7,15,4,1,0,0,0,68.03138395354047
20,26,7,21,6,0,1,1,0,69.65226129461617
27,21,4,17,0,0,1,0,1,69.56190709831107
32,19,10,5,0,1,0,0,1,67.6310914034647
25,19,10,11,2,0,1,1,1,69.34748277635907
41,17,8,5,4,1,0,0,1,65.28381542363054
22,16,13,7,1,0,0,1,1,69.08103127729211
36,19,8,14,0,0,0,1,1,71.51849542310201
49,22,11,10,1,0,1,1,0,66.78712026826389
18,26,11,10,-1,1,0,0,1,71.30047145061259
25,27,11,9,3,1,0,0,1,71.86300415461567
21,25,7,7,4,0,0,0,0,63.02426482046012
35,11,11,14,4,0,1,0,1,73.76667372980566
39,18,14,14,2,0,0,1,1,76.49122447576097
30,13,12,18,5,1,0,0,1,75.98370976621938
28,17,10,15,2,0,1,0,0,67.9417123664911
17,13,9,18,4,0,0,0,0,66.70159351864292
37,34,12,10,2,1,0,0,1,75.34182908215352
26,27,6,11,5,0,0,1,0,63.770590340115575
41,11,9,23,5,0,0,1,0,73.19731437849177
19,16,8,12,3,1,1,1,0,62.4828536061397
30,16,5,12,4,1,1,1,0,60.97823421091085
32,24,12,9,2,1,1,1,0,65.90574109816798
32,12,16,16,0,1,0,0,1,76.76645421683799
26,22,11,15,3,1,1,0,0,69.31326819609355
32,23,13,20,4,1,1,0,0,76.24373822611922
31,22,14,14,2,1,1,0,1,75.44400957290057
42,24,4,21,2,0,1,0,0,68.90074781419635
33,28,6,15,4,1,1,0,1,71.38792632817345
29,14,6,14,1,1,0,0,1,67.14065178185508
30,14,14,13,2,1,1,0,1,76.38475412692122
15,17,8,20,6,1,0,1,0,68.49442491106416
32,12,10,9,5,0,1,1,1,69.08015754128486
21,18,9,16,6,0,0,0,0,68.85607095220814
30,15,10,11,2,0,0,1,1,67.37823533795924
33,13,12,8,4,1,1,0,0,65.76950768789777
23,8,11,13,6,1,0,1,1,71.79736004794981
38,23,13,17,2,1,1,1,1,77.5928140604735
39,14,6,13,3,0,1,0,0,63.55097341484093
16,17,11,21,4,0,0,0,0,71.26366718715254
38,23,8,14,5,1,0,0,0,68.17241041028622
22,20,8,15,2,0,0,0,0,65.09471001024178
40,21,9,8,2,1,0,1,0,64.83872920688988
30,21,8,17,4,1,0,0,0,70.28464587929412
21,25,4,20,6,0,0,1,0,67.0408248078712
27,23,7,16,0,0,0,0,0,66.24337375679072
27,23,12,20,4,1,0,0,1,78.21468860008359
38,29,8,12,6,0,0,1,1,71.85608787727945
22,21,13,11,2,1,0,0,1,72.21347326224954
25,30,7,23,2,1,1,1,1,73.48828530163061
41,16,8,23,6,0,1,0,0,72.02457797336429
31,25,7,22,4,1,1,0,0,71.64245119202404
25,21,9,17,6,1,1,1,0,68.96029134113354
42,28,11,21,8,1,0,0,0,77.03270322174576
33,35,13,4,0,1,1,0,1,71.14819638865188
41,14,7,21,7,0,0,1,0,70.70240632172944
36,17,9,15,1,1,1,1,1,74.73538661755461
35,18,13,15,2,0,1,1,1,75.11718814862247
33,22,14,14,4,1,1,0,0,72.5744561759886
30,22,4,18,2,0,0,0,0,65.84985652544928
43,13,12,20,3,1,1,1,0,75.32360540329022
16,15,6,8,4,1,0,0,1,62.75094869452991
37,24,3,20,3,1,0,0,0,68.50807186267433
12,14,10,11,5,1,1,0,1,69.4588023707358
36,18,5,15,4,0,0,1,1,68.97912893862315
24,29,8,15,4,0,0,0,0,68.57828152759936
41,29,2,22,5,1,1,0,0,67.68551027098866
35,17,15,11,5,0,1,0,1,76.22722729306112
19,22,4,10,4,0,1,1,1,61.73161337407249
22,22,11,17,5,0,1,1,0,69.28478192669515
27,19,9,15,4,1,1,0,1,71.4217584111367
32,26,10,14,4,0,0,1,1,72.45119347067094
20,22,9,12,2,0,0,1,0,66.03408919323641
30,17,15,7,3,0,1,0,1,73.12104366852643
40,11,13,12,5,1,0,0,1,73.74429666701751
30,13,8,7,3,0,0,0,1,67.1165404434065
14,12,8,18,3,0,0,1,0,64.93113779251892
37,23,6,8,4,1,0,1,0,62.37233322398443
22,25,10,19,7,0,1,0,0,72.29539095297486
43,22,7,16,2,0,1,1,1,72.74874632274015
36,2,3,16,1,0,0,0,1,64.54307190581746
35,23,3,19,0,0,0,1,1,70.39289096342347
50,19,14,13,4,1,1,1,1,77.57476485024125
27,15,12,19,7,1,1,1,1,76.64608170178377
19,23,8,5,5,0,1,0,0,62.3382677170676
26,20,9,12,4,1,0,0,0,65.66235830691838
21,10,7,10,1,1,0,0,1,64.12615745352369
33,21,5,9,1,1,0,0,1,65.17282970443064
23,11,8,13,5,0,0,1,1,68.29424144537445
14,23,5,19,2,0,1,0,1,67.85352330642154
20,17,13,16,7,0,1,1,0,71.22382881454774
34,25,9,10,3,1,0,0,1,70.64008170394189
24,15,10,16,4,1,1,0,1,71.83253739958124
31,20,10,13,2,0,0,0,1,70.42455003425502
40,24,8,4,4,0,1,0,1,66.73339487117352
31,21,14,14,3,1,0,0,1,76.30297631905286
31,19,8,20,4,0,0,0,1,73.5608558600385
24,21,11,11,4,0,0,1,1,70.00040598898755
41,17,13,24,6,0,0,0,1,82.0769407848254
35,16,10,13,5,0,0,0,0,68.07947122043034
28,30,5,13,3,0,1,1,0,63.858720579056325
38,21,7,20,3,1,1,0,0,69.19884237967216
45,21,7,23,5,1,1,0,0,72.52657100091834
27,14,10,11,4,0,1,0,1,71.48395778318393
25,9,6,6,2,0,0,0,0,55.69337616455973
20,24,11,14,5,1,0,0,0,70.1701881510746
18,20,11,9,3,0,0,0,0,65.30352693183248
35,22,7,21,3,1,0,1,1,74.23540433918375
28,12,8,10,7,0,1,0,1,67.24345505414419
28,14,7,16,5,0,1,0,0,65.34728071972881
36,22,12,14,4,0,0,0,0,68.44077482222455
30,13,7,22,3,0,1,0,0,67.91855300088913
31,16,5,18,1,0,1,1,0,64.2329777189942
31,21,9,18,4,1,0,0,1,74.93738590399529
33,20,15,16,5,0,0,0,0,73.709358197787
36,13,5,2,2,1,0,0,0,57.371621269245765
32,14,9,22,6,1,0,1,1,76.67281322617758
46,14,7,21,4,0,0,0,0,69.02785760726239
26,19,8,4,4,0,1,0,0,61.27240707357667
19,22,11,12,4,1,0,0,0,66.39758947230077
25,19,13,4,-1,0,1,1,1,66.86474796581669
37,15,7,5,4,1,0,1,0,59.83706692985155
35,17,6,9,8,1,0,0,1,67.79523206832164
20,31,1,19,4,1,1,0,0,64.03329354086326
31,23,10,11,3,0,0,1,1,70.42096814879402
33,19,11,13,4,1,1,0,1,71.90892165277042
16,25,11,8,3,0,1,0,1,69.65298534498814
22,25,12,9,5,1,0,1,0,67.25533696527614
24,13,12,11,4,1,1,1,1,70.47041182291757
25,27,10,18,3,0,0,0,0,71.28184689628111
47,22,11,11,5,0,0,0,0,69.60288248468672
23,22,7,22,5,0,0,0,0,70.21561170585775
37,17,5,13,4,1,1,1,1,68.6452603460998
32,19,5,20,2,0,1,1,1,70.94395197225205
23,13,9,11,6,0,1,1,0,64.2549282788597
36,15,10,18,0,0,1,1,1,72.83828280204388
36,28,8,17,2,0,0,1,0,69.57856942626567
25,26,17,17,5,0,0,1,1,81.73662466049865
36,24,7,12,4,1,1,0,1,70.18242503242537
41,23,12,22,3,0,0,0,1,80.37083083250728
23,22,7,20,3,1,1,0,1,73.22295299139911
24,26,14,19,3,1,1,0,1,77.43337678275519
40,22,7,12,5,0,0,0,1,70.37642714767925
29,32,13,11,2,1,0,0,0,70.46359090236602
22,22,12,17,5,1,1,1,0,70.4762806926897
12,18,12,10,4,0,0,0,1,68.23854011050837
24,16,7,20,2,0,0,0,0,66.82817624492964
23,19,10,6,4,0,1,1,1,65.38021244747648
22,24,9,25,3,0,0,0,0,71.97199339978015
27,23,11,9,3,1,0,0,1,72.19173112930432
43,26,14,12,4,1,1,0,0,72.58158132824306
34,11,7,14,1,1,0,1,1,69.26582444378535
37,11,6,10,1,0,1,0,1,65.2745283950921
27,22,12,10,2,1,0,0,1,71.95380670235535
33,14,9,17,4,0,0,1,0,68.42023994671295
26,22,6,18,3,0,0,0,0,65.76027897447625
32,21,14,16,3,1,0,1,1,77.95536854081443
40,19,3,13,5,0,0,1,0,64.95922029982614
28,23,10,24,4,1,0,1,0,73.87117919823663
22,18,9,26,5,0,1,0,0,73.64913512608133
16,21,8,24,3,1,0,0,0,70.35611605072515
36,19,14,21,5,0,1,0,0,75.82659884890366
36,39,7,10,4,0,0,1,1,70.10746961362231
30,27,9,12,2,1,1,1,1,72.68422003350997
36,16,10,6,5,0,1,0,1,70.30675364197542
27,24,10,4,5,1,0,1,1,66.20343657724558
23,7,12,12,2,1,0,0,1,70.75151657455862
32,25,12,9,4,0,0,0,0,67.39067333005556
36,9,9,22,4,1,0,0,1,76.90149831078466
27,29,6,8,3,0,0,1,0,60.87252601287744
18,24,8,19,1,0,1,1,1,72.67234948415789
32,14,8,15,7,0,1,1,0,67.57969896689697
29,20,10,8,2,0,0,0,0,65.35901349000467
23,23,13,15,5,1,1,0,0,70.29996045976232
37,35,11,22,3,1,0,0,0,75.6606111692971
29,20,7,20,4,0,0,0,0,68.29666785217022
25,10,7,14,6,1,1,1,0,64.32986627193837
27,20,6,6,3,1,1,0,0,60.38822829013759
31,23,11,23,5,1,1,0,0,75.49135911741946
23,30,12,3,4,0,0,1,0,63.83733352743566
31,20,12,14,3,1,1,0,1,73.75449841529313
26,29,10,10,1,1,1,0,1,69.84300277440386
19,18,10,15,3,0,1,0,0,68.82458260068258
33,21,11,17,5,0,1,0,0,71.86459250917409
34,19,13,14,5,0,1,1,1,75.74807812140953
32,25,8,11,4,0,0,1,0,65.618111519374
27,29,9,15,3,0,1,0,1,72.53181526285447
38,25,13,16,7,1,1,0,0,73.54339273064494
35,19,8,20,5,1,1,1,0,71.83770892422399
25,14,15,17,3,1,0,0,1,78.1566074065869
21,17,12,20,2,0,0,0,0,72.72461437022162
23,25,14,14,5,0,1,0,0,71.35436020250788
20,12,3,9,3,0,1,1,0,57.67456204377852
24,12,16,14,1,0,1,0,1,74.63389706701967
37,21,8,15,4,0,1,1,1,71.06735847202101
25,26,13,1,2,0,1,1,1,66.80270818420516
32,27,6,21,0,1,0,0,1,74.49047103099916
37,23,9,19,2,1,0,1,0,69.83818838750247
38,25,10,6,3,1,0,0,0,66.27676829515141
33,11,15,16,6,0,0,0,0,72.85228700049714
27,28,13,19,2,0,1,1,1,77.40157513900591
27,16,9,11,1,0,0,0,1,68.40416742723454
40,28,12,11,4,1,0,0,0,69.90800174221562
33,11,7,18,1,0,1,1,1,69.44190868722255
21,18,5,16,4,0,1,1,0,65.20564888329159
39,18,10,23,2,0,1,1,1,78.51147274254237
23,22,9,5,6,1,1,0,0,60.82092253824759
20,17,9,12,8,0,1,0,1,70.5318746180518
39,8,7,19,0,0,0,0,0,67.7141120759914
32,21,10,8,5,1,0,0,0,63.82575596504302
38,15,11,11,3,1,1,0,0,68.25864450126814
41,23,7,15,3,0,1,1,0,66.84465705675859
31,17,5,16,-1,1,0,1,1,68.73837717742767
31,24,13,13,2,0,1,1,1,74.63000180064917
27,16,9,8,1,1,0,0,0,61.60107400630938
33,19,10,17,7,0,0,1,1,74.93950082063148
25,34,6,9,3,0,0,0,1,67.86573055005881
32,18,9,6,2,1,0,1,1,65.93925836349739
31,19,6,7,6,1,1,1,1,65.09014346675148
36,23,12,18,1,1,0,0,1,76.25281449194429
30,25,9,9,4,1,1,0,1,68.53158592586004
32,24,9,10,4,0,0,1,1,71.98418461600212
15,19,10,14,5,0,1,1,0,66.69493402082605
31,12,10,12,6,1,0,1,0,67.9516300624387
43,18,6,14,6,1,1,0,1,70.91574950965337
34,18,14,11,5,1,0,1,1,77.03709568901812
33,26,12,16,4,1,1,0,1,75.41627586725016
34,15,9,22,2,0,0,0,1,75.67399383602766
33,11,12,10,2,0,0,0,0,66.16768518159064
42,34,12,7,5,1,1,1,1,75.43695151026151
32,29,13,6,5,0,1,0,1,70.17909441116207
29,25,9,19,1,1,0,1,1,75.21519709287621
4,23,10,9,3,0,0,0,0,62.4432379483552
28,24,7,11,2,0,0,1,0,64.50211330664665
52,32,9,9,2,1,0,0,1,73.66234587367948
30,27,16,16,6,0,0,1,0,76.81903949487813
25,18,16,15,4,0,0,1,0,72.6339677995425
23,20,16,12,4,0,1,0,1,77.23530271299147
40,14,7,9,5,1,1,0,0,63.40212448223173
40,28,10,8,3,0,0,0,0,67.30878328948485
28,11,9,22,3,0,0,1,1,73.16695199944334
23,18,9,14,2,0,0,0,0,66.25593364061046
32,12,7,16,1,0,1,1,1,69.0611171832142
41,20,5,17,4,0,1,0,0,66.05358525609721
28,24,10,16,3,0,1,0,0,70.96387722810539
27,30,12,8,2,0,1,1,1,71.94411024097147
26,17,13,18,0,0,0,1,1,74.66021061249785
31,30,11,15,6,1,1,1,1,76.44647740779196
32,17,9,10,0,1,1,0,1,70.44209741784314
34,19,8,14,2,0,1,1,0,66.31422158263021
20,16,7,14,1,0,1,0,0,64.3204119921243
28,18,5,7,8,1,1,0,1,66.66626618390521
27,21,9,16,4,1,1,0,1,74.40553382614145
28,18,10,15,5,0,0,0,0,70.45010353178814
25,18,11,5,4,0,0,1,1,67.0491762071434
38,18,10,16,4,0,1,0,1,75.49653610641262
30,17,17,11,5,0,0,1,0,73.55356007029047
22,16,9,16,2,0,1,0,0,65.1826436354793
27,14,9,12,2,0,1,0,1,69.39932474791954
36,17,8,6,7,1,0,1,0,62.801401877212896
30,27,11,19,3,0,0,1,0,71.67399005310274
39,29,13,15,5,1,1,1,0,73.32335041563434
5,16,9,15,4,0,0,1,0,62.76412102364152
28,18,6,9,5,0,1,1,1,65.77260213387355
29,16,10,8,3,0,1,1,1,67.91036081658041
20,30,3,14,1,0,0,0,1,67.67436802528452
43,19,14,8,4,1,0,1,1,74.06777398029003
24,17,8,12,1,0,0,0,1,68.67322571564281
20,13,8,19,0,0,1,0,1,70.61437910452283
32,15,11,8,5,0,0,0,0,65.32247343592636
29,23,6,3,6,1,1,0,0,57.81555045050037
25,26,12,20,3,1,0,1,0,74.24216873888109
19,11,8,7,6,0,1,1,0,58.87068384333776
33,13,6,6,4,1,1,0,1,64.44091770330938
24,20,9,19,4,0,0,1,1,73.38959948269078
30,30,6,9,4,1,0,1,0,63.54327821559747
30,26,9,13,3,1,0,0,0,67.3608533561594
30,18,8,15,4,0,0,0,0,66.40777425692106
39,24,16,20,3,0,0,1,1,82.61189845391456
28,17,11,11,2,1,1,0,1,70.65027995706934
27,23,9,18,4,0,0,1,1,74.14675089857458
42,22,3,18,6,0,0,0,0,66.32757935065897
11,15,10,18,6,0,0,0,0,70.6717046099202
24,15,9,9,4,1,0,0,0,63.80241683066004
28,17,8,14,3,1,1,0,1,72.21125858408259
30,15,13,16,6,0,0,1,0,71.31812315389179
26,24,10,15,4,0,0,0,1,72.5963503667287
38,14,6,16,2,0,1,1,1,69.75871071614192
17,14,6,12,8,0,1,0,0,61.35943918988259
39,18,5,20,4,1,0,1,0,67.54781721637791
31,21,0,10,3,0,1,0,0,57.96029325640052
9,20,11,17,6,1,1,0,1,74.08927563852747
24,17,10,7,3,1,0,1,1,67.27487419966633
35,11,8,12,4,1,1,1,0,65.19995043153509
30,17,6,20,4,0,0,1,0,67.13772095491684
30,16,8,10,2,1,0,0,0,62.47595432153933
40,9,10,14,1,1,0,0,1,72.12914030457806
32,21,10,19,5,1,1,0,1,75.09771957779829
21,7,9,19,7,0,0,0,0,67.02434129355632
23,17,9,6,4,0,1,1,1,66.63304238795084
35,26,7,16,2,0,1,0,1,72.32990473374547
39,25,12,11,4,1,1,0,0,70.6804531442693
20,17,10,24,5,0,1,1,0,71.84922533116507
26,23,7,24,1,0,1,1,0,69.93903523061199
25,8,10,6,2,0,0,0,1,65.79508505046131
37,23,7,8,6,0,0,1,0,61.574784283726096
39,20,7,15,1,0,0,1,1,70.20053509624049
42,19,7,8,6,0,1,0,0,63.25856538994668
28,19,12,12,5,0,0,0,0,68.73949651097591
29,20,10,15,3,1,0,0,1,73.19553373672211
28,27,6,18,7,1,1,1,0,68.24525354856478
34,22,12,13,4,1,1,0,0,70.46121639927757
39,24,14,17,5,0,1,0,0,75.41258512468988
17,30,11,14,7,1,1,0,0,71.79227489390365
38,23,11,20,2,0,1,0,1,76.440087915823
21,13,11,7,5,0,1,1,1,66.79178698974268
19,14,5,20,3,1,1,0,0,66.20451117362556
35,31,8,12,2,1,1,0,1,72.61567138581353
36,22,11,9,3,0,0,0,1,71.98964261859336
27,24,8,10,3,0,1,0,1,68.70291828780093
25,17,10,8,5,1,1,0,0,63.986940349446
29,15,13,8,5,0,0,0,0,66.41016440523312
34,29,14,14,1,1,0,1,1,77.92638763868146
28,18,5,19,5,0,0,1,0,64.46804113098544
34,11,9,7,6,1,1,1,0,64.6134671599755
36,16,8,6,6,1,1,0,0,62.19088545493769
31,20,15,8,4,0,1,1,0,67.65435234469155
26,32,3,12,5,0,1,1,0,63.40789302926415
32,18,9,22,6,1,0,0,0,71.67115181159477
35,33,10,10,4,1,0,1,0,68.70025506524578
40,27,7,9,4,0,0,1,0,63.54097235330528
