student_age,parent_education_years,school_funding_per_student,rural_school,access_to_tutoring,online_education_program,final_grade
21,23,9,0,1,0,84.26371801838152
27,23,3,0,0,1,88.26553463586019
27,32,3,0,1,1,94.63513932920152
18,24,9,0,0,1,84.40141192672623
7,19,5,1,0,1,69.66571108854758
46,24,9,0,1,1,110.32181952243164
14,23,6,1,0,0,75.27597669512743
33,17,4,0,0,1,91.87228202213252
22,27,6,1,0,1,87.28603097021953
35,24,5,0,0,1,99.43156665180292
34,21,1,1,1,1,95.94227752798707
26,31,4,1,0,0,89.4019816656395
31,22,7,0,0,0,89.87988826627533
32,25,2,0,1,1,96.10249103344876
28,17,4,1,1,0,84.90736820922538
15,28,5,0,0,0,76.51825010758395
10,18,5,0,0,1,69.51687647167151
27,29,4,0,1,0,89.89923384757755
23,23,7,0,1,1,88.4349122086144
16,23,3,1,1,0,73.532073489747
13,22,10,0,1,1,78.06429465370219
29,24,5,0,0,1,91.671354073999
26,27,4,1,1,1,89.1159538404408
18,22,5,1,1,1,81.1790296501884
43,26,7,0,1,0,103.131789820862
18,19,6,1,1,0,75.12156175890954
14,23,10,0,0,0,75.40553471536606
19,22,1,0,0,1,80.37671928419856
25,21,3,0,0,0,83.84085971905358
32,22,1,1,1,0,88.30561151098503
10,17,8,0,1,1,72.13818578962116
15,23,7,0,0,1,79.65224691102547
38,25,3,1,0,0,96.13802888080858
31,20,6,1,0,0,88.42542829059276
30,19,7,1,1,1,91.3481494126342
0,19,3,0,0,1,63.70456648671854
33,24,3,1,0,0,92.0468854845188
31,21,5,1,0,1,93.55119396822828
28,26,5,1,0,0,89.22555615665337
25,24,2,1,1,0,82.86000124164366
17,21,5,0,1,1,80.58713722113339
29,20,7,1,0,0,86.3476414653042
21,18,7,1,0,0,76.11594501202711
25,28,4,0,1,1,91.11724689845032
14,24,9,1,0,0,76.03687611899129
7,21,5,0,1,0,67.32743238965652
25,24,2,0,1,0,85.82652869016722
32,25,5,1,0,1,95.25962664640716
1,24,7,0,0,1,67.92406363837455
22,28,6,1,1,0,84.07622963178781
20,25,4,1,0,0,80.85050333890607
32,21,7,1,1,1,95.1083032212136
31,32,8,1,1,0,95.86038560329148
33,19,2,1,1,0,88.65854259032554
34,27,2,1,1,1,97.58274735180972
24,31,3,1,0,1,91.584801614767
33,32,3,0,1,1,99.17486399792456
29,31,6,1,0,0,92.5688325634108
47,16,3,1,1,1,104.77460738715494
30,25,2,1,1,0,91.47549307632868
46,25,7,0,1,1,110.51384083116122
6,21,7,0,0,0,66.62320060345898
36,21,10,1,0,0,94.96648486286034
44,20,4,1,1,1,103.8873151798618
22,27,3,0,0,1,86.93218933771523
21,24,7,1,1,1,87.19155219520609
25,24,6,1,0,1,88.71158015249371
24,22,4,1,0,1,86.74158468300388
19,31,3,1,1,0,81.47272833854905
33,24,3,0,1,1,96.43553915420438
26,18,4,1,0,0,82.0566744468789
31,26,6,1,1,1,94.7428107532355
24,24,6,0,0,0,84.58286813705526
8,20,6,1,0,1,70.84596943089821
18,24,5,1,1,0,80.30048505811418
6,23,3,1,0,0,66.27761603437207
34,24,7,1,0,1,97.65528256071148
18,27,5,0,1,1,83.71590071132586
22,23,7,1,1,1,85.3218001086114
21,26,7,0,0,0,81.67583725090282
22,30,7,0,1,1,90.37823636460269
42,24,9,1,0,1,105.82567093591504
23,25,10,1,0,0,84.89121533220715
30,22,3,0,1,0,86.78793072614219
22,25,6,0,0,0,80.96198551126233
31,22,4,1,1,1,95.22631657556984
37,21,7,1,1,0,96.69756348606204
15,22,5,0,0,1,76.61633129192847
28,27,8,0,1,0,89.66373280887933
28,19,5,0,1,0,83.07842821569811
27,21,3,1,0,1,89.05931312436499
21,25,2,0,0,0,80.57338987989604
27,21,6,1,1,0,84.6059839004208
25,28,5,0,1,0,87.70890234621781
23,22,7,1,0,1,85.72738562341291
27,16,5,1,1,0,83.62498228838803
20,20,3,0,1,0,76.28224269123054
17,21,8,0,0,0,76.59417085592744
26,21,6,0,1,1,90.81197543605742
11,22,6,0,0,1,75.46454943883784
29,24,1,0,1,1,91.33350113740156
3,22,5,1,1,1,67.45005853569663
14,24,9,1,0,0,74.6145083475574
32,17,8,0,1,0,90.62392775067688
27,30,8,0,0,0,90.3713878365638
32,17,8,1,0,1,92.95276023139242
16,28,4,0,0,1,81.17428852559529
39,23,5,1,1,0,97.3121860897901
12,19,3,0,0,1,74.45935153845895
19,21,5,1,1,1,81.87210134417776
11,25,3,0,0,1,75.15549198848277
22,28,5,0,0,1,89.46861112779166
26,27,4,0,0,0,86.59532412851573
21,25,9,0,1,0,82.87533883682934
-6,20,8,1,1,1,57.665886855694986
18,35,7,1,0,0,83.5276801337318
33,21,8,0,1,1,94.34060021181094
22,26,6,1,1,0,81.58245163233667
0,29,8,0,0,0,65.42976767978345
23,22,3,0,0,1,84.61784783995245
23,23,3,0,1,1,86.54951261796653
30,16,6,0,0,0,84.67839414498957
27,23,6,1,1,1,91.5242162349221
21,21,4,0,1,1,83.25448492035954
18,28,2,0,1,0,78.73178528599122
18,25,5,0,0,0,78.92411621842669
21,28,7,0,0,1,87.46482716682645
12,21,7,1,1,1,76.81873249813371
32,29,6,1,0,0,94.01257825023876
22,20,7,1,0,0,80.82486962121483
23,21,9,1,0,1,86.69580708331368
19,16,4,1,1,1,79.79702673032662
29,17,6,0,0,1,88.65037998051733
20,24,8,0,0,0,80.92910124300312
18,30,1,0,0,1,83.67733994702597
44,25,7,1,1,0,103.33262692619944
39,18,3,0,0,0,92.19449707975431
22,26,5,1,1,1,87.19873961307144
24,21,6,1,0,0,82.87105876647988
39,29,5,1,0,0,101.50470819837712
33,19,11,1,0,1,95.38210932446782
43,21,3,0,1,0,98.61839395706836
24,24,5,1,0,0,83.48695684984042
42,27,1,0,0,0,100.56369925504434
32,19,7,0,1,1,91.70954649895386
23,21,7,0,0,1,85.35178896004463
24,24,8,0,0,0,84.52034764436188
15,27,5,1,1,1,82.34350175129747
21,22,6,0,1,0,79.82733342979327
37,26,5,1,0,0,97.6081605282806
18,17,6,0,0,1,78.9895378931202
10,19,9,1,0,0,70.56403507595563
40,17,4,0,1,0,94.3359151139734
29,19,1,1,0,1,86.77726308059576
19,27,7,0,0,0,82.05300389138422
59,23,8,1,0,0,116.5184595480282
16,29,5,0,1,1,83.69074386138107
11,21,5,0,1,0,70.10716131900757
23,26,2,0,1,1,87.92290640944654
38,25,5,1,0,0,94.77628254262191
26,21,3,1,0,0,80.84769597740757
22,25,3,0,1,1,88.06542708536907
19,27,8,1,0,1,86.85595834740562
15,26,4,0,1,0,75.30971822627218
40,22,8,0,1,0,97.76105244649445
23,24,11,0,0,0,84.16736749114385
35,18,3,1,0,0,90.92950773331386
21,22,7,0,0,1,84.60620155572856
9,18,4,1,1,1,74.12756359082141
23,23,8,1,0,0,83.03056299197213
16,26,7,0,1,0,77.74678436386104
30,22,10,1,0,1,93.9345239144286
25,25,7,1,0,1,89.45013794962348
24,24,6,0,0,1,87.64164749293467
20,23,10,0,0,1,84.12389968161891
30,26,2,1,0,1,94.05954202587805
24,26,7,0,1,0,86.59827166409023
40,32,4,1,1,0,104.20734771872633
28,26,7,0,1,1,93.11938011809576
20,31,6,0,1,0,82.70247572318952
39,31,5,1,1,0,104.21609221569452
30,28,0,0,0,1,94.74929818319968
21,24,5,0,0,0,79.82945527736382
30,22,5,1,1,0,88.8830049847847
32,23,7,0,0,0,91.69744732623266
33,23,4,1,0,0,89.38307165876782
26,19,2,1,0,1,85.3541629594799
12,28,7,1,1,0,76.04004781545719
32,26,4,0,1,0,90.9081517442491
37,27,2,1,0,0,96.1892447611725
19,18,4,1,0,1,77.46402752932273
36,24,9,1,1,0,97.54150704318168
19,23,2,1,1,0,79.56907860554044
33,26,4,0,0,1,97.0330860285966
3,17,2,1,1,0,60.42795713577004
20,27,4,0,0,1,84.00859431249594
15,22,7,0,1,0,75.46048700606234
3,25,5,0,1,1,69.0085669136031
15,28,7,0,0,0,77.9583471226668
20,19,2,1,1,1,81.72537967149673
13,24,3,0,0,1,76.47415999875001
38,19,8,1,1,0,94.29603333706976
18,26,5,1,0,1,82.09104476481318
26,20,8,0,0,0,86.49217995454065
20,22,4,1,0,0,76.97977664273165
15,25,8,1,0,1,78.77618690210222
15,29,2,0,0,0,77.24229085791872
27,24,6,1,1,1,92.27611420537416
40,27,5,1,1,1,103.77959121473896
11,18,7,0,0,1,72.28561631503713
31,22,3,1,1,1,92.65470222266188
21,26,6,0,1,0,82.43351826158192
16,23,3,0,1,1,80.13758024001999
23,23,8,1,1,1,86.97075162703696
41,18,7,0,1,0,97.4494788903234
34,24,3,0,1,0,91.85273727597524
25,20,6,1,0,0,82.41378426621102
32,25,4,1,0,0,88.92394174445545
27,29,2,1,0,1,93.7245744846155
17,28,3,0,1,1,82.0681009248274
40,17,5,0,1,1,99.73014698045506
28,24,2,0,0,0,87.42692780648498
29,23,5,0,1,1,91.6618612599477
32,29,7,0,1,1,99.23004217354732
16,21,4,0,1,1,79.26115685136399
7,24,4,0,1,0,67.45704240762855
26,21,5,0,0,1,87.45018257273988
34,27,8,0,1,0,96.03458900541824
30,24,7,1,0,0,89.87804780832818
28,25,7,1,0,1,91.4955435537598
33,20,8,1,0,0,92.64454327761256
41,25,5,0,0,1,102.65941812924642
33,18,5,1,1,0,90.72934512060968
26,28,6,1,0,0,87.0447589013541
24,24,1,0,1,0,84.06434275053223
42,22,4,1,0,0,98.36599817839569
24,18,6,0,0,0,80.62673438674763
8,24,5,1,0,0,68.311995205015
20,23,5,1,0,0,81.0364065011198
28,22,7,1,0,0,85.94267474919359
20,19,6,0,0,0,78.28418479444728
0,19,7,1,0,1,64.06726050616085
24,22,7,0,1,0,85.09222181017765
19,23,3,1,1,1,82.56171706011656
38,26,5,1,1,1,101.80155258408456
24,26,4,0,0,0,83.66458162632625
29,22,7,0,0,0,86.85284776662127
16,22,3,1,0,1,79.47990269664008
28,26,4,0,1,1,93.83815867095568
36,24,6,0,0,1,98.9086216530404
14,32,5,0,0,0,78.87337055314072
26,22,3,1,0,0,85.0627489440077
26,25,6,1,0,1,91.02677106353757
31,29,9,0,0,0,93.68506814522952
26,19,14,1,0,1,90.37151483549498
38,22,6,0,0,0,95.0966360698776
35,15,4,1,0,0,88.97685548669381
30,25,5,1,0,1,93.98857769140903
23,20,6,1,0,0,81.72769156512544
25,19,8,0,1,0,84.0443664279047
27,27,5,0,0,0,88.49121018017912
26,26,4,0,0,0,86.3489552520919
32,15,6,1,1,1,91.99422634153528
23,19,10,0,1,1,88.21477688940095
21,29,6,0,0,1,87.79865244257867
28,24,5,1,1,0,83.93494749723689
16,24,8,1,0,1,81.84985005212938
33,21,3,0,0,1,93.26633830853424
27,20,3,0,1,0,83.76367956197862
21,26,5,1,1,0,80.82316843886791
7,24,8,1,0,1,72.06815998639951
24,26,7,1,1,0,84.83974266424484
27,25,7,1,1,1,91.4362622871315
26,22,4,1,0,0,83.00072334500904
32,29,9,0,0,0,95.79758577099057
16,21,4,0,1,0,76.3169687946691
15,25,7,0,1,0,73.72010065366834
31,26,4,0,1,0,89.92146737800648
53,29,7,1,1,0,114.54515345461304
19,24,7,1,1,0,80.9969393114366
21,23,4,0,0,1,84.19472425976774
21,25,5,1,1,1,86.04937507186972
33,24,4,0,1,0,90.95133831176166
24,17,4,0,0,0,78.52220106358857
36,35,2,0,0,1,102.19885841981586
25,25,2,1,1,1,88.50029556485981
20,24,4,1,1,0,80.19972988723953
12,28,2,1,1,0,75.19839744573778
15,21,7,0,1,0,76.40245500058728
25,16,8,1,0,1,86.00290959013515
29,22,4,1,1,1,92.07525305280224
42,17,4,1,1,1,99.17373321553164
31,26,4,0,1,1,95.22629272600788
28,25,6,0,1,1,91.88467305785106
23,23,3,0,1,0,81.90888346268328
12,29,0,1,0,1,77.56165211134515
30,27,5,0,0,0,90.61258579032604
23,28,5,1,1,1,89.29720540953807
26,26,8,1,0,1,92.36608517023171
25,29,3,0,1,0,86.6644722086107
33,26,5,1,0,1,95.71685884248524
8,26,4,1,1,0,70.51887512187353
15,28,3,1,0,0,74.91758139832108
21,22,2,1,0,1,80.83067600788002
