years_in_public_housing,household_size,prior_eviction,single_parent,recent_job_loss,counseling_offer,attended_counseling,housing_stability_score
4,3,0,1,1,1,0,52.553083950737246
5,2,0,0,0,0,0,50.93313406776684
4,3,0,0,1,1,1,56.86318198461404
0,3,0,1,1,1,1,56.636514804770194
4,3,0,1,1,0,0,51.66671691009117
2,4,0,0,1,1,1,55.87884800359078
0,2,0,1,0,1,0,51.16507149898572
7,3,0,1,1,1,1,55.750546352078814
0,2,0,1,0,1,0,50.48879228140463
0,3,0,1,0,1,0,49.742270527663486
4,1,1,0,1,1,0,50.4269376016096
2,2,0,1,1,0,0,51.92488927758708
7,3,0,1,0,0,0,50.26346619969832
1,3,0,1,0,1,0,51.22292410520758
1,4,0,1,1,1,1,58.04223186957961
1,3,0,1,1,1,1,56.935608563945024
1,3,0,1,1,0,0,50.11848404736482
3,3,0,1,0,1,1,56.94245483973916
5,2,0,0,1,0,1,55.694364386331664
4,2,0,0,1,0,0,50.94338572367212
6,3,0,0,1,1,0,50.22648149410143
3,3,0,1,0,0,1,57.26634430315603
4,2,0,1,0,1,0,50.63533401493324
4,3,0,1,1,0,0,50.07387481481674
0,2,0,1,1,1,1,56.88970278154119
3,2,-1,1,0,1,0,49.33415173166304
7,3,0,1,1,0,0,52.009385277971
2,3,0,0,1,0,0,50.91792121559254
4,2,0,1,1,0,0,50.71873249375371
1,2,0,1,1,1,1,56.81384236300873
5,2,0,1,0,1,1,56.41558963323363
0,2,0,1,0,1,1,55.10349821699363
1,2,0,0,0,1,0,52.012555953680206
-1,1,1,0,1,1,1,55.24759604477064
2,3,0,1,0,1,1,55.80817092614093
3,2,0,0,1,1,1,55.77132372269332
0,2,0,0,0,1,0,50.54577540739589
1,2,0,0,0,1,1,57.1713468005787
8,2,0,1,1,0,0,51.69684038029861
5,2,0,0,1,1,0,51.068991859434696
2,2,0,1,1,0,1,55.25852868295217
6,3,0,0,0,1,0,51.01795392108925
6,3,0,0,1,1,1,56.24548904578533
5,2,1,1,1,1,1,56.59739935990927
1,2,0,0,1,1,1,56.477977908721286
-1,2,0,0,0,1,0,49.62219381400399
2,1,0,1,1,1,1,55.00008491824212
1,3,0,1,0,1,0,50.62757331700448
2,3,0,1,1,1,1,56.56856866974009
2,3,0,1,1,1,0,51.06220292797973
1,3,0,0,1,1,0,51.43503554071112
3,3,0,1,1,1,1,54.18925621841461
3,3,0,1,1,1,1,55.94188498291629
5,2,0,1,0,1,0,48.36260215212959
5,2,0,1,0,0,0,52.154044277633474
3,3,0,0,0,1,1,57.71566917331671
0,3,0,0,1,1,1,56.240128895128805
3,2,0,1,1,1,1,56.681931769887605
2,2,1,1,0,1,0,49.99349116967754
2,2,0,1,0,1,0,49.89635093170241
7,2,0,0,0,0,1,56.35513816304172
1,3,1,0,1,1,0,51.41221007684163
1,2,-1,1,1,1,0,51.080118379388296
5,2,0,1,1,0,1,57.61809653162231
9,2,0,0,1,1,1,57.54875435458656
3,2,0,0,0,1,0,51.46942991159872
1,3,0,1,1,1,1,55.22076766135719
6,3,0,1,1,1,1,56.46559970792216
4,2,0,0,1,1,1,57.20567464574637
3,1,0,0,1,1,0,49.45597111583624
3,2,0,0,0,1,1,57.11154405754238
5,2,0,0,0,0,0,51.26447835750252
6,3,0,1,1,0,0,51.70319755456423
5,3,0,1,0,1,1,57.011996360274864
4,4,0,1,0,1,0,50.79852811234379
4,3,1,1,1,1,1,59.30703681096496
2,2,0,0,1,1,1,56.41770079194304
2,3,0,1,0,1,0,51.4030737751754
1,2,0,1,1,0,0,50.105172906002295
3,3,0,1,1,0,0,51.3107043032165
5,3,0,1,1,1,1,56.52575610186486
5,1,0,1,1,1,0,49.719781102414586
6,2,0,0,0,1,1,56.55733206076044
8,3,0,1,1,0,1,57.23447916099329
5,3,0,1,1,1,1,56.53454266498551
4,3,0,0,1,1,0,50.84987166239583
1,2,0,1,0,1,0,49.43993289062098
5,2,0,0,1,0,1,57.43162438567544
7,3,0,1,1,1,1,56.49794566482687
4,3,0,1,1,1,0,50.21415405951159
5,3,0,1,1,0,0,50.72848177570829
1,2,0,1,1,0,0,52.38731123256631
3,2,0,0,1,0,0,50.954470977707615
4,3,0,0,0,1,0,51.19608680921088
4,4,-1,1,0,1,1,60.13749832634584
5,3,0,1,1,1,1,56.53155862422143
3,3,0,1,1,1,0,50.71578529483567
0,3,0,1,1,1,1,56.381256086162615
4,2,0,0,0,1,0,51.36158874621855
2,2,0,0,1,1,1,57.23951741070898
1,2,0,1,1,1,1,54.32211766760762
2,3,0,0,0,1,1,57.40569262756215
1,2,0,1,1,0,1,56.568454998760274
0,3,0,0,0,1,0,51.22767971661777
5,3,0,0,0,0,0,50.2457789557411
6,2,0,0,1,1,1,54.813214949828
5,2,0,1,0,0,1,57.79967026705728
5,1,0,1,0,1,0,51.0841210442609
3,2,-1,0,0,1,1,56.2175771833875
2,2,0,0,1,1,1,56.1844517232864
3,2,0,1,0,1,0,49.191749921563655
3,3,-1,1,1,1,0,50.84043263237626
1,4,0,0,1,1,0,49.36861194190322
6,3,0,0,1,1,0,51.81784902139064
7,3,0,1,0,1,0,50.66980376102332
3,2,0,1,1,1,0,49.94024112936722
4,3,0,1,1,1,1,57.13005413395962
0,2,0,1,1,0,0,49.98597457010259
3,3,0,0,1,0,0,51.92349384631334
6,2,0,1,0,1,1,57.90827866294927
1,3,0,1,0,1,1,57.68278976290041
4,3,0,0,1,1,1,56.4827928040138
4,2,1,0,0,1,0,51.263673255690776
3,3,0,1,1,1,1,55.97698309532378
2,2,0,1,1,1,1,56.63663150391868
2,4,0,1,0,0,0,51.61406735874106
6,2,0,1,1,0,0,51.9409786731285
3,2,0,1,1,1,0,50.50976338766091
7,3,1,1,1,1,1,57.35069790357591
2,2,0,1,1,0,1,56.93662133964485
6,3,0,1,1,1,0,51.05344965736455
8,3,0,1,0,1,1,56.89592005791543
1,2,0,0,1,0,1,54.39394349908433
2,3,0,1,1,0,0,51.34103564536864
2,2,0,0,1,1,1,55.80068748379452
7,3,0,0,1,1,1,58.163489663255554
4,3,0,1,1,1,0,50.6189410780156
7,3,0,0,1,1,1,58.48841208937244
3,3,0,1,1,1,0,52.32239778791843
5,2,0,1,1,1,1,56.62271032252884
-1,2,0,1,0,1,0,50.51636119117883
1,3,0,1,0,1,0,51.939364788203775
5,2,0,0,1,1,1,56.32967752391338
5,2,0,0,1,1,1,56.81522642301862
0,3,0,0,1,1,1,56.25768367274685
5,2,0,0,1,0,1,56.39395927913439
5,2,0,0,1,0,1,56.12894553568124
3,2,0,1,0,1,1,56.25477797172773
1,2,0,0,1,1,1,57.27846236014621
6,2,-1,0,0,1,0,51.90594619266524
3,2,1,1,0,0,1,57.10458640870692
5,2,0,1,1,0,0,50.3746896949149
1,3,1,1,0,0,1,56.56408458649623
9,2,1,1,1,1,1,56.57992107477077
7,2,0,0,1,0,1,54.210758052651215
0,2,0,1,0,1,1,57.94779944977586
7,2,0,1,1,1,1,57.41331667202669
4,2,0,0,1,1,1,57.58775452197381
5,2,0,1,0,0,0,49.07517953449671
1,2,0,1,1,1,1,57.14940821710106
6,2,0,1,1,1,1,54.81685775354829
3,1,0,1,1,1,1,55.61225669316393
6,2,0,1,0,0,0,49.65788356756765
5,3,0,0,1,1,1,56.80660125177234
1,2,0,1,1,1,0,49.92056893632912
5,3,1,1,0,0,1,55.61500894264587
2,2,0,1,1,1,1,57.26728049908847
8,2,0,0,1,1,1,56.3878397138847
3,2,0,1,1,1,1,55.05535469819673
3,2,0,0,1,1,0,49.92015411490655
8,3,0,0,0,1,0,51.991289285379615
0,3,0,0,0,1,1,56.7834017594782
5,3,0,0,0,0,0,52.55020281945977
5,2,1,0,1,1,0,50.44532018374243
8,2,0,0,1,1,1,58.0254598404077
4,2,0,0,1,1,0,50.5672123370273
6,3,0,0,1,1,1,58.26591666535683
7,3,0,1,1,1,0,50.60914774257036
2,3,0,0,1,1,1,56.91521598415164
0,3,0,1,0,0,0,52.06421721066084
6,3,0,1,1,1,1,56.35744641525624
2,3,0,1,0,0,1,55.89774914341649
2,3,0,1,1,0,0,50.936116040937655
7,3,0,1,1,1,1,56.16092189630937
5,3,0,0,1,1,1,55.77124842381111
2,3,0,1,0,1,0,50.51318816917677
4,2,1,1,0,1,0,51.26761536270299
7,3,0,1,0,1,1,57.40069578838823
5,2,0,1,0,0,0,51.71553254110701
1,3,0,1,0,1,1,55.82830120096293
4,2,0,1,1,0,0,51.67789667000129
5,3,0,1,1,1,0,50.66843631340771
2,3,0,0,1,0,0,49.89454750781774
3,2,0,1,0,1,0,51.11532439051189
1,2,0,1,1,0,1,56.94225704181022
3,2,0,1,1,1,1,58.362434162038994
6,3,0,1,1,0,1,55.683737728258016
2,2,0,1,1,0,0,50.07959446568953
2,2,0,0,0,0,0,49.782936736534
4,3,0,0,0,1,1,56.14156169626399
2,1,0,1,1,0,1,54.7131099244677
3,2,0,0,1,0,1,58.05285826122994
1,3,0,0,0,1,1,56.8216011676619
0,3,1,1,1,1,0,50.11741874159357
5,3,0,0,1,0,0,51.372502850190735
7,1,0,0,0,1,0,49.95048189497508
6,2,0,1,0,1,0,49.41699173731156
3,3,0,0,0,1,1,56.65540724758194
5,3,0,1,0,1,1,55.29215137368549
2,3,0,0,0,1,1,56.41498457223721
5,3,0,1,0,1,1,56.23056141228648
2,3,0,1,1,0,0,53.23415678833912
3,2,0,1,1,1,1,59.480416109187175
9,3,0,0,0,0,1,57.3477382038823
7,3,0,1,1,1,0,50.413986757951925
3,3,0,0,1,0,1,56.19856766377138
0,3,0,1,1,1,1,57.28191181764826
5,3,0,0,1,1,0,53.512325350983645
4,2,0,1,1,1,0,50.23813142481853
5,3,0,0,0,1,0,50.02913524583618
6,2,1,0,0,0,1,54.38013926001678
6,3,0,1,1,1,1,55.92477602489552
1,3,0,1,1,1,1,56.87523254165379
6,2,1,0,1,1,1,58.20118884914973
9,2,0,0,1,1,1,57.11672405209478
4,2,0,1,1,1,1,56.319848457130256
5,2,0,1,1,1,0,49.37711723932179
4,2,0,1,0,0,0,49.856689684687794
6,3,0,1,0,1,1,57.109573043865545
1,2,0,1,0,0,0,50.99441451206459
1,2,1,1,0,1,0,50.46565459421348
6,3,0,1,0,1,1,55.331623958582526
3,2,0,0,1,1,1,56.52018989451432
5,3,1,1,1,0,1,56.34734794563395
0,3,0,1,0,1,1,57.29476997588903
7,2,0,0,1,1,0,51.54527517702856
8,3,0,0,1,1,1,57.71329361048987
3,2,0,1,1,1,1,56.729131076276175
3,2,0,1,1,1,1,56.61352214464581
2,3,0,1,1,1,0,51.28502329948004
5,3,0,1,0,0,0,50.31126441963304
1,2,0,1,1,1,0,50.65172890497237
3,4,1,0,1,1,0,50.41938992741799
1,2,0,0,1,1,1,55.202395661629645
3,2,0,0,1,1,0,51.4046403424588
2,4,0,0,0,1,1,58.43358821786858
6,2,0,1,0,1,0,50.949240348264745
3,3,0,1,0,1,0,51.23259212978074
6,3,0,0,0,1,0,51.21604931740018
0,2,0,1,1,1,1,56.51201710458186
3,1,0,0,1,1,1,56.31288420475791
4,3,0,1,1,1,1,56.62126676274629
3,3,0,1,0,1,1,56.71994881667738
5,3,0,1,1,1,0,50.77404357978524
0,2,0,1,1,1,1,55.65616145615608
2,3,0,1,1,1,1,58.12392917852401
5,2,0,1,0,1,1,54.75533737304246
7,5,0,1,1,0,0,51.067814974534734
7,3,0,1,1,1,1,55.2565069247761
6,2,0,0,1,1,0,49.98087261288238
4,2,0,1,1,1,0,50.95027600106155
3,3,0,1,1,0,1,55.67457951902905
6,3,0,1,1,1,0,51.82010907060339
1,3,0,1,1,0,0,52.90903869118266
2,3,0,0,1,1,0,50.5176582796471
4,3,0,1,0,1,0,48.57048134815304
5,2,0,1,0,1,0,51.677627179086535
4,3,0,1,0,1,0,50.47311707616366
2,3,0,1,1,1,1,56.46420184665534
8,3,0,1,1,1,0,51.21914112215993
5,2,1,1,1,1,1,53.584147407958646
2,2,0,1,1,1,0,50.88949890717802
2,2,0,1,1,0,1,58.12112310108213
7,2,0,1,1,1,0,51.80620138855163
0,2,0,1,1,1,0,52.34839648643108
5,3,0,1,1,0,1,56.05879549202052
5,3,1,0,1,0,0,50.787857067578535
4,2,0,1,0,1,1,57.13301282920828
5,3,0,1,1,1,0,50.7540874323776
5,2,0,1,0,0,0,51.21233191052728
2,3,0,1,0,1,0,50.27087622290932
5,3,0,1,1,1,0,52.04759518831646
5,3,0,1,0,1,1,56.30007430090887
3,4,0,1,1,0,0,51.92806913200408
2,3,0,1,0,1,0,50.14846905039523
3,3,1,0,1,0,1,57.3762660552355
4,3,0,0,1,0,1,58.162554950794735
3,3,0,1,1,1,1,56.29534217672217
4,3,0,1,0,1,0,51.00300288434323
1,3,0,1,1,0,0,50.73566977352413
3,2,0,1,1,1,1,56.07087866023469
3,2,0,0,1,0,1,55.997825977720325
5,3,0,1,0,1,0,51.78071728586294
2,3,0,1,1,1,0,50.78195672429933
3,2,0,1,0,0,0,50.68754553773345
4,3,0,1,0,1,0,50.09889574994784
3,2,0,1,1,1,1,56.15672476398508
6,3,0,0,0,0,0,52.195345087877854
4,2,0,1,1,1,1,57.45595149919149
3,2,0,1,0,1,0,51.09551831574744
2,2,0,1,1,0,1,54.94873478577336
2,2,0,0,0,0,0,50.30126897237306
5,3,0,1,1,1,1,56.97740977040523
0,4,0,0,1,1,0,51.20087464035537
2,2,0,1,0,1,0,51.37870678684966
0,3,0,0,0,1,1,55.96216467169676
3,3,0,1,1,0,0,50.41788312004536
1,3,0,0,0,1,1,56.826883851898025
6,3,1,0,1,0,1,56.92255139998748
4,2,1,1,1,0,1,56.15166877049664
0,2,0,0,1,1,0,50.73032920038111
4,2,0,0,1,1,1,56.066194690326114
2,3,0,0,1,1,1,57.013015448323785
5,3,0,1,1,1,0,52.16984707041288
2,2,0,1,1,1,1,56.87307621585418
4,2,0,0,1,0,1,57.06667034045279
4,3,0,0,0,1,0,50.45849526832826
4,2,0,1,0,1,0,52.33125637285669
1,2,0,1,0,1,0,50.17179925972408
4,3,0,1,1,1,1,55.60700816479672
3,2,0,1,1,0,0,51.18769597546616
5,3,0,1,1,0,0,50.19801392096373
1,1,0,0,1,0,1,56.98493029902898
0,2,0,1,0,1,0,51.717691159014
5,2,0,1,0,0,0,49.68394705347585
6,3,0,1,0,0,0,50.498531463605616
2,1,0,0,1,0,0,50.04009395691635
0,3,1,1,1,1,1,56.791591048172016
0,2,1,1,0,1,0,50.39408829990806
2,3,0,1,0,1,1,54.365333082697866
0,3,1,1,1,1,0,51.468188777630495
3,3,0,0,1,0,1,57.69319006588472
5,3,1,0,1,1,1,57.08570675053144
0,4,0,0,1,1,0,53.4166051961793
4,3,0,1,0,1,0,51.3912535788806
2,2,0,1,1,1,0,50.98271416408716
1,2,1,1,1,1,1,56.586943460071616
9,3,0,0,1,0,0,51.2650145558601
1,3,0,1,0,1,1,56.341256476605366
3,3,0,1,1,1,0,50.512979829300136
6,1,0,0,0,1,0,52.08464337902454
3,3,0,0,1,1,0,51.336889144636224
4,2,0,1,0,0,0,51.052822752627264
0,2,1,1,1,1,0,51.48788826099762
5,3,0,0,0,0,0,51.083842183984224
3,2,0,1,0,0,0,50.940145241093326
6,3,0,1,0,0,0,53.22597793466327
2,3,0,1,1,1,1,56.56189126077636
4,2,0,0,1,0,1,58.02747830861286
6,3,0,1,1,0,0,52.267748144015535
1,3,0,1,1,1,1,57.15767784982298
2,2,0,1,1,0,0,50.88956906826932
6,3,0,1,1,1,1,58.217335444580456
4,2,0,1,1,0,1,55.24682832326271
4,2,0,1,1,1,1,55.38348919859958
0,2,0,0,1,1,1,56.65034497014082
4,2,0,1,1,1,1,56.27007335916564
5,3,0,0,0,1,0,50.95202530458168
2,2,0,0,1,1,1,56.30556359592112
3,3,0,1,1,1,1,57.92363884981221
0,2,0,1,1,0,0,51.528890126667406
6,2,0,0,1,1,1,56.90219460732649
3,2,0,1,1,1,1,55.87094869356813
6,2,0,1,1,0,0,52.293330220329054
7,3,0,1,1,1,1,53.76592117385959
4,3,-1,0,1,0,1,55.89647359891342
3,2,0,0,0,1,0,51.21666179681071
8,3,0,1,1,0,0,48.905619786584246
4,2,0,1,0,1,0,49.67471957747046
2,4,1,0,1,1,1,55.77244962939051
