age,education_years,work_hours_week,household_income,female,urban_residency,city_housing_budget,housing_voucher,housing_quality
16,31,7,11,1,1,8,22,274.7248782739514
10,26,5,17,1,1,10,24,297.93853668628395
11,31,6,19,1,0,13,24,299.508681660791
11,31,9,11,1,0,9,24,302.391205234434
7,30,13,17,0,1,13,22,284.63107907375434
5,29,2,15,0,0,12,30,361.93673136893307
9,27,6,15,0,0,10,25,309.27465341076294
10,30,8,17,0,0,12,26,322.0038334818569
8,31,12,14,1,0,16,25,313.53877292200843
5,29,3,13,1,1,12,28,339.50048799292944
10,27,12,13,1,1,14,25,314.4106619384769
11,30,12,16,1,1,13,23,293.80270422364765
13,33,15,11,0,0,8,21,276.61154001501893
5,32,4,14,0,0,13,30,361.6725838328196
12,27,11,12,0,0,9,21,271.6396541147751
9,26,9,13,0,0,8,23,294.0133657219482
7,31,10,14,0,0,12,27,336.68426509440434
13,32,6,13,1,0,9,22,277.4324115914278
7,30,4,12,1,1,13,31,371.2416756634881
13,31,9,17,1,0,11,23,295.1848318596462
8,26,4,14,0,0,12,26,318.0052704077244
11,27,5,13,0,0,11,27,329.1949678996546
13,27,6,12,1,1,13,24,294.3555433837894
6,26,12,14,1,1,9,24,306.008205996885
12,33,7,14,1,1,12,27,331.964779392329
11,29,5,17,0,0,15,25,309.17255017386685
16,29,3,13,0,0,11,25,304.6912269464088
9,33,12,11,1,0,12,27,334.084858972287
8,28,17,17,0,0,13,24,311.7515284492016
11,32,10,9,1,1,13,26,320.8641329941649
7,31,7,18,1,0,11,23,291.498317961607
9,33,4,17,0,0,9,24,301.64758915794926
11,30,5,13,1,0,9,26,317.2864338366475
12,32,5,14,1,1,11,26,320.23857115820283
14,29,7,15,0,0,15,24,299.17950150801755
13,29,2,16,1,1,11,23,285.6812922395929
13,27,9,14,1,0,13,24,300.7993025773624
12,28,7,14,0,1,12,21,267.63687326092565
10,24,0,16,0,1,11,26,315.2541587773767
9,27,7,15,0,0,13,26,324.5390629293992
11,28,13,10,0,0,12,27,334.835117240318
11,28,5,16,0,1,12,25,307.9735678361845
11,29,8,17,1,0,8,23,296.15458884675274
7,28,10,12,1,0,10,24,304.78059289150065
14,26,7,7,1,1,11,22,272.451535279829
13,31,10,15,0,0,11,22,283.9679604747395
11,28,10,15,1,0,9,22,283.71455531663594
10,32,10,9,1,1,14,29,351.30887112107905
16,29,9,19,1,0,12,18,238.08234778270577
11,33,7,14,1,0,14,26,322.0502218500624
13,33,8,18,0,1,10,23,295.2135479128095
11,31,10,14,1,0,12,22,282.78323276675496
10,32,4,12,0,0,14,31,370.9758865074523
2,30,12,13,1,0,12,28,348.3658745913923
6,28,3,14,0,1,14,32,380.6550377051294
12,27,5,14,1,1,15,26,319.9130695081368
8,27,10,15,1,1,10,21,272.4639835347092
13,27,8,16,0,0,15,23,288.67750760855694
8,27,6,15,0,1,12,22,278.2054759757536
10,27,10,16,1,1,14,23,289.9412455209119
12,30,10,13,0,0,15,27,335.8119642057963
9,27,10,11,0,0,11,27,331.1106003475305
11,28,4,11,1,0,12,29,349.67740476193546
10,33,10,9,1,0,9,28,344.483197832209
9,27,5,15,1,1,12,24,296.6174781117371
12,30,13,11,0,1,13,26,323.3089244966035
13,28,7,13,0,1,10,22,277.8092537688434
5,30,10,14,0,1,14,27,333.91295289377035
15,30,5,22,1,0,11,16,216.0083817775852
14,31,8,17,0,1,11,24,302.0432046038581
13,29,10,14,1,0,9,21,269.4010764360893
11,24,9,19,1,0,13,22,282.2411768397671
15,29,10,18,1,0,11,20,261.3696209537736
6,29,6,12,0,1,9,29,350.95105821895805
6,30,3,10,0,1,13,31,366.7704055245503
10,27,11,15,1,1,16,27,336.35933031070374
13,28,3,12,1,1,11,26,314.7985502156742
12,30,10,14,0,0,14,27,333.7023213509795
9,27,12,10,0,1,13,30,368.9504360912804
10,27,5,16,0,0,11,23,288.8022264680063
13,32,12,17,1,1,11,19,253.87478161293933
13,29,11,13,1,1,11,23,290.5843732347181
10,28,9,13,0,0,10,23,293.35910614890804
14,30,4,10,1,1,13,27,324.47357199444826
14,27,8,9,1,0,10,24,295.8840161122632
9,29,9,14,1,0,16,24,300.52212983662537
14,30,7,16,0,0,9,21,266.9998263471911
11,26,8,15,1,0,13,23,287.9959502454417
14,31,16,13,1,1,12,19,252.36466500661845
9,33,10,9,1,0,13,29,353.03198745634427
10,27,6,15,1,0,13,27,329.4507058610005
9,27,4,14,0,0,12,27,327.90584239427307
14,28,4,14,0,0,13,24,294.1304076416616
8,29,13,15,1,1,13,22,285.3105452549889
10,30,4,15,0,1,10,24,298.4181925890551
10,26,8,11,1,0,12,25,310.70553274366046
8,27,3,12,0,0,10,28,338.0539886640961
11,28,4,13,1,1,14,27,325.2453557456561
6,27,4,11,1,0,14,29,344.9741980531268
13,24,6,14,0,1,11,24,297.8987992671493
9,28,5,12,1,0,15,30,357.6564165098184
11,30,9,15,0,1,12,25,311.5284762326658
10,30,9,14,1,1,13,25,314.1451180597123
9,30,2,16,1,1,14,24,296.7134984106985
6,26,5,11,0,0,6,29,351.6468760815041
11,30,12,11,1,1,7,23,292.6587699460583
10,29,11,15,0,1,11,26,323.8698369520408
6,28,4,10,1,0,14,32,380.906475193474
13,29,5,17,0,1,14,25,309.643801660261
8,29,3,16,1,0,15,26,318.10044896606377
10,31,10,16,0,0,11,21,274.45117652289287
10,28,6,14,0,1,8,23,285.8093849350639
6,31,10,16,1,1,11,24,304.88984974499454
9,32,6,16,0,1,11,28,345.1428733618576
11,32,11,13,1,0,11,25,316.0697807506276
8,29,7,18,0,0,12,23,292.10930294043766
13,29,6,17,0,1,12,20,257.7525222911406
6,30,6,17,0,0,13,27,332.70816774419114
13,30,8,13,1,0,10,24,301.3033225276623
12,26,1,19,1,1,8,19,240.64819813130364
13,31,4,13,0,0,11,26,316.446484363994
15,30,13,9,1,1,11,23,292.60155143185847
9,28,9,9,1,0,13,30,362.21116288405017
12,29,9,10,1,0,13,26,319.0294848426069
7,30,10,14,0,0,17,30,365.6941958612378
8,34,5,13,0,1,8,25,310.500550467659
7,33,7,16,1,1,13,29,354.50353741433054
10,28,5,9,0,0,13,30,358.2389704833612
8,27,1,7,1,0,10,32,378.8592553909328
17,31,8,13,0,0,11,20,258.8721396606452
9,28,5,16,1,1,15,26,318.9912810349067
11,26,10,15,0,1,13,25,311.30134300677594
11,31,0,15,0,1,11,27,322.55106682302136
5,28,3,13,1,0,7,27,328.346904774673
13,30,14,11,1,1,10,23,294.5692966059319
7,33,10,13,1,1,14,27,333.9549055598906
11,31,13,12,1,1,13,25,313.1767433295436
7,34,12,14,1,0,12,26,326.91834489381256
13,27,13,12,0,0,10,21,272.85806154204147
11,27,4,15,0,1,10,24,298.46064884609297
8,27,4,14,0,0,7,26,318.7894645632341
9,26,8,10,1,0,14,27,329.3424901151982
9,29,9,12,0,1,13,28,343.7318609222881
12,30,9,13,1,1,11,25,311.8412487065045
8,26,10,14,0,0,11,24,300.8057911996708
12,32,3,18,1,1,15,25,307.00493823933635
11,30,6,15,1,1,15,27,330.2175918799937
11,31,4,12,1,0,11,26,314.4082639094932
6,29,4,12,0,0,14,32,381.2690856231238
9,29,8,7,1,1,11,31,371.0901002371646
15,29,9,15,1,1,11,21,265.9538397342198
7,33,11,13,0,1,13,27,335.7666739887322
12,30,5,12,1,1,9,24,293.03986923079293
5,27,4,11,0,0,10,30,360.6803627405339
8,31,8,14,0,1,12,26,323.825804688808
6,31,8,16,0,1,13,26,324.97835026027855
6,29,11,9,1,0,8,27,331.36799986491343
4,30,10,16,0,1,9,25,315.541349056095
15,27,7,17,1,0,12,21,266.30888996177487
5,28,5,15,0,0,10,27,333.3178114266613
11,31,7,21,1,1,10,18,239.0627141325384
10,32,8,16,1,0,13,23,291.7987985929896
14,27,10,14,0,1,11,23,289.31835536542815
12,27,4,14,0,1,12,26,318.1437963984655
9,27,9,13,1,0,9,25,312.4713208697707
9,31,8,16,1,1,12,24,301.7329454701727
11,29,6,14,0,1,14,26,315.91371217056155
11,32,7,13,1,0,12,25,309.7606181799599
12,29,8,11,1,0,12,28,338.9464708795272
11,29,8,15,0,1,12,25,310.4880224024125
6,29,11,16,0,1,13,25,316.43983315946343
10,27,8,13,0,0,13,27,331.1807074065075
17,30,10,18,1,1,14,18,235.8688280277114
11,31,11,9,1,0,13,27,331.8882604525816
13,28,6,11,1,0,10,25,304.7510993934771
13,30,6,11,1,0,8,24,299.0551747043349
8,28,4,7,1,1,12,32,377.9943998935378
10,28,6,16,1,1,10,23,289.25268008877697
9,32,8,19,0,1,13,23,290.8122079115956
7,29,5,11,1,1,11,29,348.37587389833493
5,31,1,16,0,0,10,30,361.22459644757583
11,28,4,14,1,0,13,26,317.39989241552314
7,29,7,10,1,0,14,29,351.3063062936599
10,27,12,12,1,1,14,26,320.63623930333216
15,28,6,15,0,0,11,22,278.2854717276288
7,32,9,11,0,1,12,30,365.393006598316
12,30,7,14,0,1,11,24,301.9290780411381
11,30,9,11,0,1,10,25,311.7788944149368
6,30,10,14,1,1,11,26,323.16729196097015
9,31,11,14,0,0,10,22,285.7052460030304
8,27,9,15,0,0,14,26,323.6673050343216
16,30,5,16,1,1,11,19,244.03421884508973
8,29,4,16,0,0,12,27,330.4281387396604
9,29,4,14,0,1,12,27,327.4933326497791
10,32,3,18,1,1,13,25,306.7830984278223
11,24,9,19,0,1,11,21,271.67681389205427
11,30,1,16,1,1,15,27,323.4781341268324
7,29,4,10,0,1,13,31,369.9442406898711
9,31,10,13,1,1,11,26,323.8140420643183
11,30,8,15,1,1,13,25,310.6716347573786
13,25,9,13,1,1,9,23,289.79248160539623
9,29,8,19,0,0,9,22,285.02462136078094
10,32,12,12,0,1,12,24,304.69860458233865
7,26,11,11,0,1,10,24,301.5635100955808
11,27,11,12,0,0,11,22,279.2108683453333
8,28,5,15,0,1,9,25,309.1424740507018
8,25,7,17,1,0,11,24,299.7400507426664
8,27,9,13,1,1,13,30,361.0346128806892
6,31,9,12,0,0,10,28,343.09786566632096
7,27,11,14,0,0,7,25,316.8366808719394
10,27,9,16,1,1,11,24,301.20343921480725
10,28,1,11,1,1,11,28,334.2449176034334
8,24,12,9,0,0,13,26,321.521503728602
9,32,7,9,0,0,14,32,382.0632756148835
12,30,6,16,0,1,9,22,278.422013372035
7,33,16,7,1,1,15,31,381.5387476590065
12,35,7,13,1,0,13,26,319.05860815351537
6,27,10,12,1,0,10,27,333.0290342717263
14,32,14,9,0,1,8,25,315.56887247939926
10,27,9,14,1,0,13,24,300.4509421154919
8,25,7,12,0,1,12,28,338.92141538584605
9,25,11,13,1,1,16,25,309.3291142817829
10,32,5,20,0,1,13,23,289.9636883237863
14,26,10,15,1,0,10,21,270.3172269288654
5,27,14,11,1,0,13,26,327.4007913001165
9,32,7,13,0,0,11,28,344.2951450309057
8,33,5,16,1,1,10,25,311.0994585049061
10,30,14,15,1,0,14,24,304.982378839686
11,35,2,15,0,1,12,26,317.43701980749915
12,31,8,13,1,1,14,25,307.99073427263994
11,25,5,12,0,1,8,23,287.25369566268205
9,29,4,18,0,1,12,23,288.5630794639361
10,29,2,13,1,0,10,27,327.4729262370519
11,30,9,18,1,1,12,19,249.08653544501263
10,30,10,12,0,0,13,29,354.0125798132444
7,27,7,10,0,1,11,28,341.4265402292039
5,32,6,7,1,0,11,31,370.9886810941014
10,32,3,19,0,1,14,28,338.7816728459457
9,28,9,12,0,1,11,24,302.65388249475325
14,32,11,14,0,1,12,21,269.1394376848151
10,23,3,16,1,1,13,25,305.63826667519766
14,30,3,14,1,0,11,24,293.56470248335575
8,30,9,19,0,1,12,22,281.88290881426485
10,26,11,15,0,1,11,23,291.6130042503059
8,32,9,14,0,0,8,24,303.8057090932649
8,28,7,18,0,0,11,23,292.311811598103
10,27,12,12,0,1,10,26,325.540268844606
12,27,4,16,1,1,13,24,294.28261774298966
7,27,0,15,0,0,10,27,325.5008889442221
10,33,11,15,1,0,11,23,297.4913644384484
11,27,7,18,0,1,12,27,332.33937619775884
10,30,12,14,0,0,8,23,295.4557641203292
1,26,0,11,0,1,13,33,387.00985654038175
17,30,6,11,1,0,12,22,271.4101156151665
13,32,9,11,0,0,10,26,320.9725176002684
8,31,3,19,0,0,13,25,307.1543509230359
11,30,8,17,0,0,12,22,280.0184078904252
11,30,0,12,1,0,12,32,375.5059311266029
7,28,10,14,1,0,10,23,294.51096316374986
10,33,8,11,1,1,12,27,330.4959914825861
12,29,4,13,0,1,11,24,292.1449197156875
13,29,14,13,0,1,12,23,295.69636892557486
15,33,8,12,0,0,14,27,331.15254922878063
12,34,6,16,1,1,11,23,289.33644816680135
8,29,6,12,0,1,11,28,339.4556700570199
8,28,0,13,0,0,12,27,324.27566818274977
12,25,3,16,1,0,12,25,305.4266286828307
9,32,4,12,0,0,10,28,339.6961875429942
10,30,2,14,0,0,13,30,354.5062689122176
14,33,9,14,1,1,13,23,291.9717627161425
9,29,9,15,1,1,12,26,323.1888173198336
6,30,0,10,1,0,13,32,377.286953723079
5,31,12,13,1,0,13,25,316.0336827216089
6,30,4,12,1,1,11,27,327.9279824770504
16,29,11,16,1,0,11,20,261.7971452431223
7,28,5,11,1,0,13,31,369.8637277727712
8,28,8,15,1,0,10,24,301.90616796213584
8,29,8,14,1,0,12,29,354.32420845371945
5,32,11,15,0,1,11,27,336.9411792947304
6,32,3,13,1,1,10,28,340.09771334802195
15,30,3,16,1,0,10,21,264.3860619087023
8,29,10,21,0,1,12,20,266.193133332226
7,29,6,12,1,1,12,28,339.4251140659948
9,26,5,13,1,1,11,27,329.1950009052459
11,27,11,15,0,0,9,23,293.1888613311123
13,31,4,13,1,0,10,23,287.23785775874404
4,30,12,15,0,1,13,27,337.8853508407222
5,27,9,14,0,1,10,24,300.7273107097316
14,25,7,18,1,1,10,18,237.5226297349396
14,30,0,15,0,0,12,25,301.6712390301585
5,30,6,14,1,1,13,26,319.35771144500467
9,28,8,11,1,1,12,27,329.5612644010588
9,30,12,14,1,1,13,26,326.0042747243429
9,31,14,13,0,0,11,25,316.29628101523275
12,27,9,16,0,1,13,22,280.1888116056421
5,27,4,15,0,1,8,30,362.6635394476706
4,36,9,12,0,1,12,31,374.8436234367279
6,32,7,14,1,1,10,26,323.83136216038406
14,28,8,16,0,0,13,25,314.1796586972571
9,30,5,15,1,0,12,25,308.69596382642175
9,30,9,10,1,0,13,31,374.7191434907455
10,27,7,13,1,0,14,28,342.50075421720607
13,33,5,10,1,1,13,29,345.78365471837384
8,26,13,18,0,0,11,23,299.35241610261795
10,28,14,10,1,0,8,23,295.6118205809959
17,28,7,16,1,0,14,22,275.9983576615044
13,27,10,14,0,1,12,24,301.03707451698125
10,29,5,15,1,0,13,23,286.90780603313533
13,29,7,9,0,1,7,24,297.19279799004886
8,27,4,14,1,0,11,28,337.7733804685405
10,28,7,18,0,0,11,22,278.531149628335
8,33,3,15,1,1,12,26,316.6995222808733
10,33,12,9,0,0,10,25,313.17557778006386
10,25,13,10,1,1,11,27,334.3946185992134
7,28,6,12,0,1,13,28,340.92650493611944
10,31,11,14,1,0,13,23,295.00691291606523
4,27,14,15,0,0,10,26,329.2903132993425
12,32,12,17,0,0,12,22,288.00877687857485
12,28,7,14,1,1,13,24,297.8770068194914
11,31,11,10,0,1,12,26,321.5821074832107
9,27,7,11,1,0,10,28,341.9973237153019
4,26,5,14,1,0,8,25,308.91484992958425
13,30,11,12,0,1,11,21,271.4285859649967
12,30,8,13,1,1,13,23,286.69767618679776
8,31,8,17,1,1,12,23,292.3819236577745
10,33,10,12,1,1,12,24,300.34875118901124
7,31,8,7,1,1,9,26,319.2025033782334
9,27,6,11,1,1,10,29,351.38472907622787
9,28,5,13,0,1,12,27,329.4627063186903
11,27,9,10,1,1,11,28,339.9339103710911
10,26,9,13,1,0,11,25,312.5117549774836
12,28,4,14,0,0,10,23,287.11625373633984
9,31,10,15,1,1,13,26,324.3115389026629
8,28,15,10,0,1,12,27,341.5945231049526
12,32,5,10,0,1,13,28,336.99907349693507
9,30,10,19,0,1,10,22,282.0268772093094
15,30,9,12,1,1,11,25,309.62328038876547
12,33,11,7,1,0,10,27,334.63272662913414
11,28,7,18,0,1,12,23,290.0080087356916
11,30,5,11,1,0,12,25,305.39437176743206
8,27,6,19,1,0,14,23,291.7490477835836
13,28,4,14,0,0,15,25,303.9653220403821
8,29,9,7,1,1,12,32,380.4707927895104
13,33,14,14,0,0,13,23,295.2082083835155
5,28,3,13,1,0,10,26,319.4005048728192
10,27,13,11,1,1,11,25,315.6921081407924
5,30,11,17,1,1,15,27,338.2719616982195
15,25,13,15,1,1,11,20,261.5011252243198
4,29,6,13,1,1,10,28,338.2994808785895
13,29,13,11,1,0,13,24,301.2673916786809
11,34,5,18,0,0,15,24,299.8246566923935
8,32,10,14,0,1,9,23,293.1937305436559
11,33,10,14,1,0,11,23,291.88105654077697
14,29,3,8,1,1,13,28,332.60697894764144
9,32,7,20,1,0,9,21,272.5849124007939
9,33,6,13,0,0,10,28,342.16108848256874
12,24,18,19,1,0,14,17,235.9066872761479
8,32,6,15,1,0,13,26,318.73121642869944
13,27,7,11,0,1,10,27,330.5951463357591
13,30,9,14,1,1,12,25,311.1266014165335
8,26,14,10,0,0,12,26,326.6144653688972
12,32,10,14,1,1,13,25,313.5370648600126
10,29,11,14,1,1,13,24,302.868303672282
11,29,9,14,1,0,13,25,311.9027363528475
10,31,8,14,0,0,12,26,322.9622563643606
4,30,5,12,1,1,12,33,395.5303166313649
10,27,7,15,1,1,13,25,311.351084915582
11,30,7,14,1,1,12,22,275.5186416492556
8,30,10,11,1,1,10,28,343.1840114719914
10,28,4,9,1,1,12,29,344.7592404265913
14,31,4,11,1,0,10,26,312.71069247331394
10,31,7,9,0,1,14,30,359.0455012389396
8,28,10,11,0,1,11,26,324.1358216767402
4,31,1,16,0,1,10,30,360.7616485962064
9,27,6,12,1,1,15,27,328.66277032834483
13,28,5,21,0,1,11,21,268.61326770845693
7,31,4,16,1,1,11,27,327.401385102402
6,29,6,14,1,1,9,22,279.6529725760788
12,27,13,13,0,1,10,22,282.69632987461347
11,30,10,13,1,1,13,26,320.70434367096465
10,27,8,11,0,0,11,27,330.7985862680826
11,27,6,14,1,0,12,25,309.03871895571524
8,29,6,14,1,1,17,28,337.1091698708939
10,27,5,10,1,0,12,25,306.57200742462305
12,31,14,11,0,0,9,24,306.6258094196283
11,32,8,14,1,1,11,23,289.9441738296917
10,31,6,15,1,1,13,26,322.69242591771484
9,26,14,10,1,0,13,27,338.45804498565496
8,29,5,16,0,0,14,27,329.26954246874845
8,33,7,12,1,1,13,30,358.7768629159341
7,32,11,13,1,0,10,26,325.16942209637875
6,30,10,13,0,1,11,28,345.5092219321307
9,30,7,14,0,0,9,25,308.94678539588847
8,33,8,13,0,1,12,27,333.43069823430744
8,31,11,14,1,1,7,23,295.8113348639012
16,29,6,16,0,1,10,23,287.6295562431547
15,26,14,16,1,1,9,16,220.3394430139309
11,28,10,17,1,0,8,19,253.1702619930389
12,28,14,13,1,0,14,23,294.1460173091363
16,30,2,15,0,1,15,22,269.3780652253713
7,33,3,14,1,0,12,29,350.0549044893646
11,28,9,16,1,0,12,21,269.0791730683054
11,28,5,11,1,0,11,28,339.7115705578891
11,33,9,10,0,1,10,28,341.18213118613244
10,29,5,11,1,0,10,28,341.4997662716646
8,30,7,14,0,1,12,27,330.4604331442005
12,26,5,11,0,0,10,26,316.5437505873137
9,27,11,12,0,0,9,24,303.88529069884555
9,29,4,11,1,0,11,28,336.4846583162635
5,31,1,15,1,0,9,28,338.5037835047358
4,30,9,12,1,0,9,29,357.75553957819045
9,28,5,16,1,0,10,23,288.05808570894465
8,32,6,15,1,0,11,25,310.1156984765907
7,30,8,16,1,1,8,24,304.5388618724849
10,26,6,14,0,1,8,25,306.0443570848081
21,28,10,13,0,1,14,23,290.24239860994425
12,27,1,19,1,1,10,20,250.6473471082515
9,31,5,14,1,0,14,27,331.0977980417811
9,29,6,17,1,0,12,25,312.52337907121785
9,30,8,15,1,0,10,24,302.3875229657046
