defendant_age,judge_experience_years,sentence_length,prior_convictions,public_defender_assigned,public_defender_experience,legal_representation_hours,appeal_won
5,30,6,0,0,9,42,242.25911655562712
8,30,8,0,1,6,34,200.7108154043932
7,30,9,1,1,12,39,228.4495841254968
6,31,2,0,1,10,43,242.9871983619197
12,32,5,1,0,11,48,265.57529043887746
8,33,5,1,1,9,44,250.09696412749557
4,31,13,0,0,6,28,176.71466456078628
6,29,12,1,1,5,30,188.25058358116956
11,33,9,0,1,10,41,234.3597447931306
15,28,12,0,1,9,36,213.71809698225917
13,32,12,1,0,9,37,211.85357282419773
13,29,2,1,1,9,48,267.9164126362893
7,30,12,1,0,9,37,220.71297557916856
8,28,0,0,0,12,49,271.9050093982672
8,32,10,1,0,10,40,233.5976053129185
10,27,11,1,1,12,38,225.17470555322564
10,28,5,0,0,9,45,256.5639906107054
8,30,12,0,1,7,34,206.4814394419356
10,30,15,0,0,7,35,208.90401444009456
12,37,4,0,1,8,46,253.846671332366
9,26,3,1,0,11,43,242.975854131102
15,32,8,1,1,9,46,258.0580386545757
7,27,6,1,0,12,43,249.15452940670568
10,29,10,0,1,10,38,223.92637634386483
11,27,8,1,1,12,41,236.87737342581545
7,33,10,1,0,12,38,224.13394517074263
11,33,7,1,0,11,45,252.09514252949268
12,33,6,1,1,10,45,252.63635280048487
12,32,8,1,1,7,44,251.49466627271343
14,34,9,1,0,8,43,239.89336988123364
7,31,8,1,0,12,41,235.610498471791
8,27,9,1,0,5,35,207.94029407579748
11,31,4,1,0,10,47,265.3038075442532
8,32,5,0,1,9,45,256.7209844930983
15,29,5,0,0,10,47,260.2894883935019
9,28,2,1,1,7,46,258.6477605801933
9,31,5,0,0,9,45,255.35903143351055
7,33,9,0,1,10,39,227.6522300760888
2,32,8,0,0,11,37,216.9469869337868
10,31,10,1,0,10,40,229.88490067030804
5,30,11,0,1,11,36,217.66204048849576
8,30,12,1,0,10,34,202.62599173251948
11,26,11,1,1,8,37,219.395353328132
11,32,10,0,1,10,40,230.44677643388508
12,34,8,0,1,13,44,248.81598652329424
9,33,7,1,0,8,41,229.80572365357855
16,28,7,0,1,12,45,250.6261884677431
7,28,8,0,1,9,37,218.0117957395485
13,30,4,0,1,11,48,267.87328190689067
14,28,6,0,0,11,46,256.6267605503432
7,30,-1,1,0,11,49,270.2785285751512
9,28,3,1,0,11,47,263.89160149985656
11,30,7,0,1,6,42,240.34136048894837
4,31,8,0,1,7,34,205.5800237121126
11,29,4,0,1,8,45,251.92429434929485
11,31,4,0,0,12,46,256.2100887785274
7,34,5,1,1,11,43,244.70318246009384
8,28,6,0,1,10,40,233.2113668377379
8,31,6,0,0,10,44,251.18650735528792
9,32,9,1,0,10,42,239.85764339804956
3,27,10,0,1,5,31,193.7808050684191
8,28,8,1,1,13,39,228.13998273446836
10,27,7,0,1,12,42,243.13161249240432
12,31,6,0,1,9,45,252.77145875462583
6,26,14,0,0,10,33,205.0403993678385
19,34,7,1,0,11,52,284.6648960757197
6,30,4,1,1,10,43,247.51655499939832
14,30,9,1,1,10,41,233.88558003437868
7,31,6,1,1,9,39,223.49863128121564
13,27,10,1,1,14,40,229.24587099930537
8,29,4,0,1,10,40,227.20121955177743
7,28,3,1,1,8,42,241.57875510843095
9,32,12,1,0,6,37,220.98632738236128
15,30,7,0,0,14,48,267.6478656702088
11,31,5,1,1,9,44,248.33637784616948
8,34,0,1,1,9,47,260.4031128803092
12,32,6,1,0,11,46,256.7109103332404
14,28,7,1,1,6,42,239.43042534142165
18,31,14,1,0,6,40,228.31256912989244
14,28,12,0,0,8,36,209.6315133195575
16,29,4,1,1,11,49,271.97900942155354
7,27,12,1,0,12,37,220.6285360466441
12,34,12,0,1,9,36,211.5850743021608
7,31,11,0,1,9,34,204.01480085993808
12,29,6,1,0,10,47,262.6299918210188
12,26,5,1,1,10,43,245.75313710020208
8,28,3,0,1,9,44,252.12126691403424
9,29,6,1,0,11,46,263.4607964263002
10,30,4,0,0,10,44,244.84697288728492
10,27,8,1,1,9,39,229.5721357213652
8,32,7,0,0,7,40,230.22922786072783
8,35,4,1,1,12,47,260.4898831864036
12,32,5,0,0,10,45,251.7462357615125
12,29,2,0,1,9,47,262.4962347037354
13,28,10,0,0,7,39,226.7648209684349
6,27,12,0,0,11,35,207.71245373035148
6,25,4,1,0,9,41,237.56404284183927
6,29,12,1,1,10,34,207.1226130005506
8,28,13,0,1,11,33,203.2834976839925
10,33,6,1,1,10,41,230.17835164789136
10,31,13,1,1,8,33,201.3415023150108
5,28,7,0,0,10,41,240.59171813400053
5,31,8,1,1,9,37,218.57406052531468
11,25,4,1,0,7,44,249.20229352074796
8,29,11,1,1,8,35,211.01460891077656
7,27,7,1,1,14,41,239.3003016520001
8,28,5,0,0,8,40,230.61307183065517
11,32,3,0,0,8,48,268.8437697128449
12,30,6,0,1,11,43,244.21304540444083
9,31,4,1,0,9,45,254.84169804402185
6,28,8,1,0,7,39,230.04445730719132
3,30,5,1,0,11,40,232.59402403617543
10,29,12,0,1,8,35,211.9937737236901
13,28,5,0,1,7,44,248.53416132212533
13,28,10,1,1,11,37,215.2637333760437
11,30,7,1,0,13,45,254.791489725974
10,29,4,1,1,11,45,251.9288130805813
7,30,7,1,1,12,42,241.05316211892136
11,32,7,1,0,9,45,253.4120619502542
11,31,6,1,1,7,41,232.38664264491328
10,27,3,1,0,12,46,257.3815044138865
10,28,16,1,0,10,31,193.31903378618236
12,27,8,1,0,11,39,225.3902182312493
10,29,7,1,1,12,43,246.91692249126947
15,26,9,0,0,12,43,245.2719312260527
10,30,1,1,1,8,47,263.4055107092287
10,29,1,0,1,8,48,268.3360439098077
9,29,1,0,0,7,45,252.6604109020309
14,26,14,0,1,9,33,200.8735532820079
11,29,6,0,0,9,43,244.57826373910407
12,26,5,1,0,8,43,243.0827991256636
6,27,7,1,1,8,36,214.1007663705314
9,28,8,0,0,11,38,220.05313526991503
4,29,11,1,1,10,32,197.2899020559316
9,31,8,0,1,9,40,232.3775675871625
10,29,9,0,1,6,36,214.1036555237196
12,29,8,1,1,11,42,239.2246340424785
10,27,11,0,0,9,39,231.2662301623579
11,26,4,1,1,8,43,244.489717866212
10,29,13,0,1,11,36,214.42614377470005
8,27,9,1,0,9,39,231.1169324776627
9,28,-1,0,1,11,51,282.9260951256872
13,29,11,1,1,11,40,233.20176810373044
10,31,9,1,0,11,41,235.76406241368323
9,30,3,1,1,13,45,252.65659215628904
11,31,8,0,1,13,41,235.3332941486351
11,30,10,1,0,11,40,230.96252750602355
8,30,8,1,1,8,37,217.6605483825936
15,28,7,0,0,9,45,254.71954253169565
13,29,11,1,0,12,38,219.43629624905984
13,30,5,1,0,8,45,250.49479058013156
5,29,11,1,1,7,32,200.0930439437281
7,29,12,1,1,8,32,195.6107846520541
11,31,10,1,1,7,37,216.62942108962903
13,27,11,1,0,11,42,244.69216776310464
10,32,12,0,0,8,34,202.59397067354027
12,30,9,1,1,9,39,226.0939063776241
11,35,5,0,1,13,46,258.4808973754711
11,29,10,0,0,9,41,239.5166361560772
10,29,8,1,1,7,36,209.76592209904328
13,30,6,0,1,10,41,232.6873910084045
11,28,3,0,1,9,46,258.34670196076786
9,29,1,0,1,10,47,259.78102429136607
9,29,14,0,1,12,34,201.4157844563425
8,32,8,1,1,12,40,229.31497303230333
10,31,8,1,1,13,41,234.3017772300101
11,28,6,1,0,12,42,238.36066288419343
7,34,7,1,1,9,39,224.9207191820158
6,30,10,1,0,9,34,205.20017464980063
5,31,8,1,1,12,39,226.87313434204927
16,28,7,1,0,13,47,259.0391145488577
11,29,5,1,1,12,45,254.19221689525116
6,30,4,0,0,12,45,254.91814850483013
9,25,5,0,1,8,41,236.5629170852684
6,34,5,0,0,13,44,250.06266250087077
9,28,8,1,0,11,40,231.6613641886405
7,27,7,1,0,9,35,207.04056161681456
9,32,8,1,1,13,43,245.7096697196652
15,27,1,0,0,10,53,292.16004852000293
12,30,5,1,1,9,43,244.1234397866414
4,31,4,1,0,12,41,234.25529964422927
11,34,9,1,1,8,39,222.5771988767785
3,28,11,1,1,9,32,197.6763205109058
9,33,6,1,0,11,45,255.63025949464824
12,33,15,1,1,13,37,220.7347400090458
12,27,7,1,1,12,44,250.2668551643664
14,29,11,1,1,10,40,231.32855525697892
8,28,10,0,1,9,36,215.9949533072105
8,32,4,1,0,5,42,236.53712696514205
9,33,10,0,1,10,38,220.3376633880409
12,23,9,1,1,6,37,219.16809052223329
7,26,1,1,1,9,47,266.90315324196484
14,30,9,1,1,9,41,234.6449395161234
6,29,2,1,0,10,45,253.63226548893545
10,26,3,0,0,11,44,249.03663182237383
9,30,4,1,1,11,44,248.227594351513
11,31,6,1,0,10,43,241.00897957777613
14,31,13,1,0,11,40,228.87017108943013
6,29,9,1,1,9,36,216.87457858495992
13,33,6,0,1,9,45,251.7908229151317
11,30,2,0,0,9,49,272.0714657657052
11,26,10,0,0,11,41,239.09649072903852
13,27,10,1,1,8,39,227.09699428946948
9,28,2,0,0,12,48,266.19671573209706
12,33,8,1,1,8,41,232.4535713759052
9,28,7,1,0,10,42,243.82953635497375
8,31,4,1,1,5,41,234.48047810702508
16,30,8,0,1,9,44,249.12084595748925
5,32,5,0,1,9,41,236.19109247729747
7,33,9,0,1,9,38,221.2651217189677
13,30,5,0,1,12,45,251.0157096806871
7,28,6,0,1,10,42,241.64741188445475
11,31,6,1,0,8,42,238.5049730349852
8,31,5,0,1,12,44,249.6851482375077
5,31,4,1,1,11,40,228.1493326978132
11,30,14,1,0,6,32,192.25406815813213
7,28,7,1,1,9,39,226.6319535091164
8,30,6,1,1,6,37,214.84567161209085
6,28,10,1,1,11,35,210.2825325748308
11,29,4,1,1,7,43,240.11254981263383
8,31,10,0,0,8,40,234.3444231371366
6,28,3,1,0,5,41,239.21896289528271
10,34,9,1,1,9,42,241.827657032427
15,30,8,1,1,11,44,248.14642921081037
9,29,2,1,1,9,48,267.7950451280614
10,29,7,0,1,11,41,235.2910270724276
9,28,11,1,1,11,35,209.03730173763503
14,26,2,0,0,11,48,267.0809821794055
11,25,10,0,1,10,36,214.4772432151877
10,30,9,1,0,11,40,229.0717315806332
10,31,8,0,0,9,39,226.9663587757884
13,31,2,1,1,9,48,263.50597057142653
10,31,6,1,0,10,43,242.54261952760308
13,33,11,1,1,11,41,235.8285520554292
9,29,9,1,0,7,37,215.21853190386736
11,32,4,0,0,8,47,259.5236929665812
16,32,2,0,0,11,54,294.795347286064
12,29,7,1,0,10,45,254.7126349766684
6,30,8,0,0,8,40,231.86189391626095
7,24,10,0,0,9,32,196.38303811585365
9,31,1,0,1,10,50,279.7282863315875
8,32,8,0,1,9,41,237.82111244632483
11,26,4,1,1,7,41,233.27380351097716
9,26,7,1,0,13,44,252.96637541577635
11,27,9,1,1,10,39,227.1971767860039
8,31,11,0,1,9,35,209.97878584330545
1,29,5,0,1,11,37,219.7817158161729
7,30,6,0,1,11,43,246.5650549527837
6,31,4,1,1,10,42,240.37376509341448
10,29,7,1,1,10,42,240.9781075772169
5,27,5,1,1,7,35,207.31689967899075
4,27,4,1,1,12,43,249.8911477164327
12,30,8,1,1,8,39,223.78076698529736
10,29,7,0,0,9,42,239.1171412638348
8,31,11,0,1,12,36,212.55680232307745
11,29,8,1,1,10,41,235.14928739756857
13,31,12,0,1,10,34,197.88860441729489
9,33,12,0,0,6,34,203.6135765746408
8,26,4,0,1,10,42,241.9914336041865
13,31,6,0,1,11,46,260.58225537670285
7,30,18,1,1,15,30,189.3446511921568
7,28,6,1,1,10,40,230.3265236797059
5,31,9,1,1,10,37,220.10366674237335
11,24,5,0,1,8,39,224.7000271732917
13,30,4,0,1,8,45,251.50542365117988
8,31,9,1,1,8,38,224.2502583138232
9,33,5,0,1,11,45,253.59272006978784
11,25,8,0,1,12,39,225.50761544092495
7,31,7,1,1,9,42,243.08193282004697
9,29,8,1,0,9,39,225.1711609151396
8,26,3,1,1,13,44,251.33416187320336
7,30,6,1,1,9,39,227.83651092503652
6,31,11,1,1,8,33,200.5206258116184
11,33,6,0,1,9,44,246.9509488557032
7,29,14,0,1,10,33,204.5539563108756
9,32,4,1,0,11,44,246.35306061824343
14,31,5,0,1,9,47,261.6423117368942
11,28,3,1,0,8,47,264.1613957621487
7,29,2,1,1,9,46,261.3485174906128
10,31,11,1,1,9,40,231.01850263145795
11,30,6,1,1,10,44,247.25601745087943
10,27,12,1,1,12,35,207.54951727193043
8,30,8,1,1,6,37,217.42119254016788
9,27,7,1,0,8,38,220.1065014393948
5,26,10,1,0,10,35,211.33862334229735
9,30,5,1,0,10,44,251.18373223643545
7,31,2,0,0,9,43,243.93637431993608
6,34,7,0,1,10,42,241.33166400925836
7,28,8,1,1,6,36,212.98100005473376
7,30,9,0,1,9,36,211.95145938559625
7,28,3,0,1,9,44,251.569054830952
9,30,9,1,0,8,39,228.85603497089485
8,30,8,1,1,6,34,203.94658363320815
12,30,5,0,1,7,41,232.38302033335347
6,28,6,0,1,7,37,218.9685793039426
9,30,8,1,0,10,39,226.22051457169655
15,30,1,1,0,6,50,271.9216836623293
12,27,15,0,0,11,35,210.2028805208469
13,30,13,0,1,9,32,188.43740327501257
10,29,3,0,0,10,47,264.97634373343624
12,30,4,0,0,7,45,252.233957458906
14,31,10,1,1,8,41,234.97168409430157
8,33,8,0,0,5,38,221.3048099150022
9,34,9,1,0,7,38,219.4223813196297
10,31,9,0,1,9,38,221.1915349491773
12,27,10,1,1,9,38,222.4941768749877
4,28,3,0,0,10,43,246.039783230842
8,27,3,1,1,9,42,239.0796537085366
8,29,8,1,1,10,40,233.73736976065507
10,31,10,1,1,11,37,216.89931423996933
12,27,8,1,0,6,41,238.8528279979064
10,30,12,0,0,10,39,230.94094529559052
7,29,9,0,0,9,37,217.77530084088284
7,31,2,1,0,10,45,251.4209253733905
11,30,9,1,1,11,43,247.39400834905368
15,31,8,0,1,12,43,245.4638655168354
11,27,6,1,1,9,40,232.06894680421843
8,29,9,1,1,9,35,207.8665055466643
10,29,10,0,0,7,36,213.72203102879715
9,32,8,1,1,15,43,243.7656145258422
12,29,3,0,1,6,43,241.7111950489902
11,26,5,1,1,8,42,241.31621213103588
12,29,12,0,1,11,34,200.8327879887322
8,29,6,0,1,13,42,240.01128847864712
11,26,1,0,1,12,48,268.57923068272135
7,28,9,1,1,9,38,227.13103021438377
9,24,11,1,0,11,37,219.20455764996944
11,31,12,1,1,7,37,218.89442372386048
8,30,8,1,1,10,40,234.66869372566376
12,27,8,0,1,8,38,222.2772671728993
10,29,12,1,1,10,37,219.42864708512656
9,28,9,0,1,12,38,224.7177074575616
2,26,5,1,1,5,35,208.9796443479673
17,28,8,1,1,12,45,251.1707221749246
6,28,10,1,0,9,35,209.1902044593498
11,28,6,0,1,9,41,234.6569607583185
6,29,10,0,1,9,35,210.4337770526388
3,30,7,1,0,9,38,224.23426324394995
12,29,13,0,1,7,33,198.21084723585136
9,35,19,0,1,7,29,182.6798311019093
11,29,7,1,1,8,38,218.18223415647
9,29,6,0,1,14,44,249.8896817658833
5,31,3,1,1,11,46,263.14160200544035
9,27,8,1,1,11,41,240.52551428155428
10,32,14,0,1,11,33,195.87006332605355
9,27,6,0,0,11,43,247.5946240794152
10,26,6,0,0,10,42,240.38698887890612
12,32,4,1,1,3,45,251.67027566394265
8,30,4,0,1,10,44,249.9738801524218
6,28,0,1,1,8,45,252.34842956933696
11,25,5,0,0,10,41,234.0896482325971
9,29,7,0,0,10,43,245.98346582617376
11,29,6,0,0,12,42,240.3188877933252
13,29,5,1,1,8,42,233.97288039110407
5,28,7,1,0,10,38,224.1344982997284
5,33,1,1,0,9,46,259.27389784942767
8,29,4,0,0,9,43,243.50983989220137
12,33,6,0,1,9,44,244.0169233958557
12,32,9,1,1,9,39,223.7896327332824
9,32,8,0,1,9,38,221.67631799420815
6,32,8,1,1,11,39,225.8515651170267
13,30,9,0,0,9,43,244.7877272088916
10,30,10,0,0,5,38,223.7678657148477
10,29,8,0,1,11,40,232.047529830804
8,32,7,1,1,9,43,248.66036696067997
13,30,5,0,1,12,49,277.097922557454
6,30,7,0,1,10,40,233.00307185922748
8,32,10,0,0,6,37,214.50822159426147
